PK_servico,categoria,grupo_indicador,servico,campo,atributo,META_nome_servico,META_nome_campo,META_tipo_campo,META_cod_campo,META_contexto
34,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantidadeDePessoasEmSituacaoDeRua","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmSituacaoDeRua","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas em Situação de Rua","numeric","AIA-5",1
33,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantidadeDePessoasEmTransito","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmTransito","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas em Transito","numeric","AIA-6",1
35,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AIA-7",1
36,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos","quantidadeDeUnidadesNoMunicipio","abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Unidades No Município","numeric","AIA-9",1
38,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AMV-2",1
39,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia","quantasPessoasForamAcolhidasComMedidaProtetiva","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasForamAcolhidasComMedidaProtetiva","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Acolhidas com Medida Protetiva","numeric","AMV-3",1
40,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia","quantasPessoasSaoBeneficiariasDeAuxilioNatalidade","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioNatalidade","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Beneficiárias de Auxílio Natalidade","numeric","AMV-4",1
41,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia","quantasPessoasSaoBeneficiariasDeAuxilioRecambio","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioRecambio","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Beneficiárias de Auxílio Recâmbio","numeric","AMV-5",1
42,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia","quantidadeDePessoasForamAcolhidas","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamAcolhidas","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Acolhidas","numeric","AMV-6",1
43,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AMV-7",1
44,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia","quantidadeDeUnidadesNoMunicipio","abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDeUnidadesNoMunicipio","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Unidades No Município","numeric","AMV-8",1
48,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","casasLaresCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","CLC-2",1
50,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDeUnidadesDeNaturezaPrivado","casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaPrivado","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades de Natureza Privada","numeric","CLC-10",1
52,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","CLC-3",1
54,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDePessoasForamAcolhidas","casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamAcolhidas","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Acolhidas","numeric","CLC-4",1
56,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDePessoasForamDesligadasDoServicoPorObito","casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorObito","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Desligadas do Servico Por Óbito","numeric","CLC-5",1
58,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","CLC-6",1
59,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDePessoasSaoBeneficiariasDoBPC","casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasSaoBeneficiariasDoBPC","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Beneficiárias do BPC","numeric","CLC-7",1
60,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDeUnidadesDeNaturezaGovernamental","casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades De Natureza Governamental","numeric","CLC-8",1
61,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","CLC-9",1
62,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresCriancasAdolescentes0A17Anos","quantidadeDeUnidadesNoMunicipio","casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Unidades No Município","numeric","CLC-11",1
63,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","casasLaresIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Casas Lares - Idosos","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","numeric","CL-1",1
64,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","casasLaresIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Casas Lares - Idosos","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","CL-2",1
65,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDeUnidadesDeNaturezaPrivado","casasLaresIdosos-quantidadeDeUnidadesDeNaturezaPrivado","Casas Lares - Idosos","Unidades de Natureza Privada","numeric","CL-10",1
66,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","casasLaresIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","Casas Lares - Idosos","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","CL-3",1
67,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDePessoasForamAcolhidas","casasLaresIdosos-quantidadeDePessoasForamAcolhidas","Casas Lares - Idosos","Pessoas Acolhidas","numeric","CL-4",1
68,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDePessoasForamDesligadasDoServicoPorObito","casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","Casas Lares - Idosos","Pessoas Desligadas do Servico Por Óbito","numeric","CL-5",1
69,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Casas Lares - Idosos","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","CL-6",1
70,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDePessoasSaoBeneficiariasDoBPC","casasLaresIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","Casas Lares - Idosos","Pessoas Beneficiárias do BPC","numeric","CL-7",1
71,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDeUnidadesDeNaturezaGovernamental","casasLaresIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","Casas Lares - Idosos","Unidades De Natureza Governamental","numeric","CL-8",1
72,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","casasLaresIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Casas Lares - Idosos","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","CL-9",1
73,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","casasLaresIdosos","quantidadeDeUnidadesNoMunicipio","casasLaresIdosos-quantidadeDeUnidadesNoMunicipio","Casas Lares - Idosos","Unidades No Município","numeric","CL-11",1
75,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","IPI-2",1
76,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDeUnidadesDeNaturezaPrivado","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaPrivado","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Unidades de Natureza Privada","numeric","IPI-10",1
77,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","IPI-3",1
78,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDePessoasForamAcolhidas","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamAcolhidas","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas Acolhidas","numeric","IPI-4",1
79,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDePessoasForamDesligadasDoServicoPorObito","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas Desligadas do Servico Por Óbito","numeric","IPI-5",1
