atributo,tipo_campo
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeImigrantes","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasAcolhidas","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmSituacaoDeRua","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmTransito","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio","INTEGER"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasForamAcolhidasComMedidaProtetiva","INTEGER"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioNatalidade","INTEGER"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioRecambio","INTEGER"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamAcolhidas","INTEGER"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDeUnidadesNoMunicipio","INTEGER"
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasComOAcolhhimentoEmAbrigoTemporario","INTEGER"
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeAuxilioMoradiaOuAluguelSocial","INTEGER"
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeBeneficioEventualEmSituacaoDeCalamidade","INTEGER"
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeEstado","INTEGER"
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeEstado","INTEGER"
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeEstado","INTEGER"
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeEstado","INTEGER"
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeMunicipio","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeEstado","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","INTEGER"
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeMunicipio","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamAcolhidas","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorObito","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasSaoBeneficiariasDoBPC","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaPrivado","INTEGER"
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio","INTEGER"
"casasLaresIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","INTEGER"
"casasLaresIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"casasLaresIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","INTEGER"
"casasLaresIdosos-quantidadeDePessoasForamAcolhidas","INTEGER"
"casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","INTEGER"
"casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"casasLaresIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","INTEGER"
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","INTEGER"
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaPrivado","INTEGER"
"casasLaresIdosos-quantidadeDeUnidadesNoMunicipio","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamAcolhidas","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaPrivado","INTEGER"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesNoMunicipio","INTEGER"
"numeroDeAdolescentesInseridosEmProgramasDeQualificacaoProfissional","INTEGER"
"numeroDeCriancasDe0A3AnosAcompanhadasComDeficencia","INTEGER"
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-amarelas","INTEGER"
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-brancas","INTEGER"
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-indigenas","INTEGER"
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-pardas","INTEGER"
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-pretas","INTEGER"
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-ciganos","INTEGER"
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","INTEGER"
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-extrativistas","INTEGER"
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-quilombolas","INTEGER"
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-rIbeirinhos","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasComDeficiencia","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-amarelas","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-brancas","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-indigenas","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-pardas","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-pretas","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-ciganos","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-extrativistas","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-quilombolas","INTEGER"
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-rIbeirinhos","INTEGER"
"numeroDeCriancasEAdolescentesOrfaosIdentificadasEInseridosNaRedeDeProtecaoIntegralNoMunicipio","INTEGER"
"numeroDeCriancasEAdolescentesQueAcessaramOAuxilioCuidar","INTEGER"
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-amarelas","INTEGER"
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-brancas","INTEGER"
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-indigenas","INTEGER"
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-pardas","INTEGER"
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-pretas","INTEGER"
"numeroDeFamiliasAcompanhadasCujoResponsavelFamiliaSejaMulher","INTEGER"
"numeroDeFamiliasAcompanhadasNoTotal","INTEGER"
"numeroDeFamiliasAcompanhadasPeloPAIFComConcessaoDeBeneficioEventual","INTEGER"
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-ciganos","INTEGER"
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","INTEGER"
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-extrativistas","INTEGER"
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-quilombolas","INTEGER"
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos","INTEGER"
"numeroDeFamiliasAtendidasPeloCRASQueEstaoInseridasNoCadastroUnico","INTEGER"
"numeroDeGestantesAcompanhadasComDeficencia","INTEGER"
"numeroDeGestantesAcompanhadasConformeRacaCor-amarelas","INTEGER"
"numeroDeGestantesAcompanhadasConformeRacaCor-brancas","INTEGER"
"numeroDeGestantesAcompanhadasConformeRacaCor-indigenas","INTEGER"
"numeroDeGestantesAcompanhadasConformeRacaCor-pardas","INTEGER"
"numeroDeGestantesAcompanhadasConformeRacaCor-pretas","INTEGER"
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-ciganos","INTEGER"
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","INTEGER"
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-extrativistas","INTEGER"
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-quilombolas","INTEGER"
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-rIbeirinhos","INTEGER"
"numeroDePessoasAtendidasComDeficencia","INTEGER"
"numeroDePessoasAtendidasComDeficiencia","INTEGER"
"numeroDePessoasAtendidasConformeAFaixaEtaria-adolescentesDe12A17Anos","INTEGER"
"numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe18A29Anos","INTEGER"
"numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe30A59Anos","INTEGER"
"numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe0A6Anos","INTEGER"
"numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe7A11Anos","INTEGER"
"numeroDePessoasAtendidasConformeAFaixaEtaria-idosos60AnosOuMais","INTEGER"
"numeroDePessoasAtendidasConformeRacaCor-amarelas","INTEGER"
"numeroDePessoasAtendidasConformeRacaCor-brancas","INTEGER"
"numeroDePessoasAtendidasConformeRacaCor-indigenas","INTEGER"
"numeroDePessoasAtendidasConformeRacaCor-pardas","INTEGER"
"numeroDePessoasAtendidasConformeRacaCor-pretas","INTEGER"
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-ciganos","INTEGER"
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","INTEGER"
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-extrativistas","INTEGER"
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-quilombolas","INTEGER"
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos","INTEGER"
"numeroDePessoasAtendidasDoGrupoLGBTQIA","INTEGER"
"numeroDePessoasAtendidasIdosas","INTEGER"
"numeroDePessoasAtendidasNoTotal","INTEGER"
"numeroDePessoasComDeficenciaNasFamiliasAcompanhadasPeloPAIF","INTEGER"
"numeroDePessoasConformeOSexo-feminino","INTEGER"
"numeroDePessoasConformeOSexo-masculino","INTEGER"
"numeroDePessoasDoGrupoLGBTQIANasFamiliasAcompanhadas","INTEGER"
"numeroDePessoasInseridasNosGruposDoServicoDeConvivenciaEFortalecimentoDeVinculosSCFVQueSaoDeFamiliasAcompanhadasPeloPAIF","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-adolescentesDe12A17Anos","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-adultosDe18A29Anos","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-adultosDe30A59Anos","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-criancasDe0A6Anos","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-criancasDe7A11Anos","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-idosos60AnosOuMais","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeOSexo-feminino","INTEGER"
"numeroDePessoasNasFamiliasAcompanhadasConformeOSexo-masculino","INTEGER"
"numeroDePessoasOuFamiliasQueAcolheramCriancasOuAdolescentesOrfaos","INTEGER"
"oProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizPromoveAcoesDeInterlocucaoComOProgramaBPCNaEscola","INTEGER"
"quantasCriancasDoProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizSaoAcompanhadasEmServicosDeAcolhimentoInstitucionalEFamiliar","INTEGER"
"quantidadeDeEncaminhamentosAsDemaisPoliticasPublicas","INTEGER"
"quantidadeDeEncaminhamentosParaAosDemaisServicosDaRedeSocioassistencial","INTEGER"
"quantidadeDeEncaminhamentosParaOPAIF","INTEGER"
"republicaIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"republicaIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","INTEGER"
"republicaIdosos-quantidadeDePessoasForamAcolhidas","INTEGER"
"republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","INTEGER"
"republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"republicaIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","INTEGER"
"republicaIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"republicaIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","INTEGER"
"republicaIdosos-quantidadeDeUnidadesDeNaturezaPrivado","INTEGER"
"republicaIdosos-quantidadeDeUnidadesNoMunicipio","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamAcolhidas","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamDesligadasDoServicoPorObito","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasSaoBeneficiariasDoBPC","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaGovernamental","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaPrivado","INTEGER"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesNoMunicipio","INTEGER"
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-decretouASituacaoDeEmergeciaOuCalamidadePublicaPorMeioDeLeiMunicipal","BOOLEAN"
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-oMunicipioJaRealizouAOfertaDesteServico","BOOLEAN"
"aConcessaoDosBeneficiosEventuaisEstaRegulamentada","BOOLEAN"
"aEquipeTecnicaDoPAIFUtilizaOProntuarioSUAS","BOOLEAN"
"casasLaresCriancasAdolescentes0A17Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
"diagnosticoSocioterritorial-possui","BOOLEAN"
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
"LeideRegulamentacaodoSUAS-possui","BOOLEAN"
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-analisa_dados_levantados","BOOLEAN"
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-dissemina_dados_e/ou_relatorios","BOOLEAN"
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-levanta_dados_no_territorio_equipamento_da_pas","BOOLEAN"
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_diagnostico_socioterritorial","BOOLEAN"
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_monitoramento_sistematico_dos_servicos_socioassistenciais","BOOLEAN"
