atributo,PK_Atributo
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDeUnidadesNoMunicipio",44
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-decretouASituacaoDeEmergeciaOuCalamidadePublicaPorMeioDeLeiMunicipal",45
"casasLaresCriancasAdolescentes0A17Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",46
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-oMunicipioJaRealizouAOfertaDesteServico",47
"casasLaresCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",48
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasComOAcolhhimentoEmAbrigoTemporario",49
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaPrivado",50
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeAuxilioMoradiaOuAluguelSocial",51
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial",52
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeBeneficioEventualEmSituacaoDeCalamidade",53
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamAcolhidas",54
"aConcessaoDosBeneficiosEventuaisEstaRegulamentada",55
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorObito",56
"aEquipeTecnicaDoPAIFUtilizaOProntuarioSUAS",57
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",58
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasSaoBeneficiariasDoBPC",59
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental",60
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil",61
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio",62
"casasLaresIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",63
"casasLaresIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",64
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaPrivado",65
"casasLaresIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial",66
"casasLaresIdosos-quantidadeDePessoasForamAcolhidas",67
"casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito",68
"casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",69
"casasLaresIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC",70
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaGovernamental",71
"casasLaresIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil",72
"casasLaresIdosos-quantidadeDeUnidadesNoMunicipio",73
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",74
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",75
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaPrivado",76
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial",77
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamAcolhidas",78
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito",79
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",80
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC",81
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaGovernamental",82
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil",83
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesNoMunicipio",84
"republicaIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",85
"republicaIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",86
"republicaIdosos-quantidadeDeUnidadesDeNaturezaPrivado",87
"republicaIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial",88
"republicaIdosos-quantidadeDePessoasForamAcolhidas",89
"republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito",90
"republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",91
"republicaIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC",92
"republicaIdosos-quantidadeDeUnidadesDeNaturezaGovernamental",93
"republicaIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil",94
"republicaIdosos-quantidadeDeUnidadesNoMunicipio",95
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA",96
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia",97
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaPrivado",98
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial",99
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamAcolhidas",100
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamDesligadasDoServicoPorObito",101
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar",102
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasSaoBeneficiariasDoBPC",103
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaGovernamental",104
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil",105
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesNoMunicipio",106
"numeroDeCriancasDe0A3AnosAcompanhadasComDeficencia",107
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasComDeficiencia",108
"numeroDeGestantesAcompanhadasComDeficencia",109
"oMunicipioDispoeDeComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFelizInstituido",110
"oMunicipioDispoeDePlanoMunicipalDePromocaoEDefesaDoDireitoAConvivenciaFamiliarEComunitariaDeCriancasEAdolescentes",111
"oMunicipioDispoeDePlanoMunicipalPelaPrimeiraInfancia",112
"oProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizPromoveAcoesDeInterlocucaoComOProgramaBPCNaEscola",113
"quantasCriancasDoProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizSaoAcompanhadasEmServicosDeAcolhimentoInstitucionalEFamiliar",114
"quantidadeDeEncaminhamentosAsDemaisPoliticasPublicas",115
"quantidadeDeEncaminhamentosParaAosDemaisServicosDaRedeSocioassistencial",116
"quantidadeDeEncaminhamentosParaOPAIF",117
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-pretas",118
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-pardas",119
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-indigenas",120
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-amarelas",121
"numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-brancas",122
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-quilombolas",123
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana",124
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-rIbeirinhos",125
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-extrativistas",126
"numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-ciganos",127
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-pretas",128
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-pardas",129
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-indigenas",130
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-amarelas",131
"numeroDeAdolescentesInseridosEmProgramasDeQualificacaoProfissional",132
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-brancas",133
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-quilombolas",134
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana",135
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-rIbeirinhos",136
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-extrativistas",137
"numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-ciganos",138
"numeroDeGestantesAcompanhadasConformeRacaCor-pretas",139
"numeroDeGestantesAcompanhadasConformeRacaCor-pardas",140
"numeroDeGestantesAcompanhadasConformeRacaCor-indigenas",141
"numeroDeGestantesAcompanhadasConformeRacaCor-amarelas",142
"numeroDeGestantesAcompanhadasConformeRacaCor-brancas",143
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-quilombolas",144
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana",145
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-rIbeirinhos",146
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-extrativistas",147
"numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-ciganos",148
"numeroDeCriancasEAdolescentesOrfaosIdentificadasEInseridosNaRedeDeProtecaoIntegralNoMunicipio",149
"numeroDeCriancasEAdolescentesQueAcessaramOAuxilioCuidar",150
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-amarelas",151
"numeroDePessoasAtendidasNoTotal",152
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-brancas",153
"numeroDePessoasAtendidasComDeficencia",154
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-indigenas",155
"numeroDePessoasAtendidasDoGrupoLGBTQIA",156
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-pardas",157
"numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe0A6Anos",158
"numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-pretas",159
"numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe7A11Anos",160
"numeroDeFamiliasAcompanhadasCujoResponsavelFamiliaSejaMulher",161
"numeroDePessoasAtendidasConformeAFaixaEtaria-adolescentesDe12A17Anos",162
"numeroDeFamiliasAcompanhadasNoTotal",163
"numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe18A29Anos",164
"numeroDeFamiliasAcompanhadasPeloPAIFComConcessaoDeBeneficioEventual",165
"numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe30A59Anos",166
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-ciganos",167
"numeroDePessoasAtendidasConformeAFaixaEtaria-idosos60AnosOuMais",168
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana",169
"numeroDePessoasAtendidasConformeRacaCor-pretas",170
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-extrativistas",171
"numeroDePessoasAtendidasConformeRacaCor-pardas",172
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-quilombolas",173
"numeroDePessoasAtendidasConformeRacaCor-indigenas",174
"numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos",175
"numeroDePessoasAtendidasConformeRacaCor-amarelas",176
"numeroDeFamiliasAtendidasPeloCRASQueEstaoInseridasNoCadastroUnico",177
"numeroDePessoasAtendidasConformeRacaCor-brancas",178
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-quilombolas",179
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana",180
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos",181
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-extrativistas",182
"numeroDePessoasAtendidasDePovosEComunidadesTradicionais-ciganos",183
"numeroDePessoasConformeOSexo-masculino",184
"numeroDePessoasConformeOSexo-feminino",185
"numeroDePessoasComDeficenciaNasFamiliasAcompanhadasPeloPAIF",186
"numeroDePessoasDoGrupoLGBTQIANasFamiliasAcompanhadas",187
"numeroDePessoasInseridasNosGruposDoServicoDeConvivenciaEFortalecimentoDeVinculosSCFVQueSaoDeFamiliasAcompanhadasPeloPAIF",188
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-adolescentesDe12A17Anos",189
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-adultosDe18A29Anos",190
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-criancasDe0A6Anos",191
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-criancasDe7A11Anos",192
"numeroDePessoasOuFamiliasQueAcolheramCriancasOuAdolescentesOrfaos",193
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-adultosDe30A59Anos",194
"numeroDePessoasNasFamiliasAcompanhadasConformeAFaixaEtaria-idosos60AnosOuMais",195
"numeroDePessoasNasFamiliasAcompanhadasConformeOSexo-masculino",196
"numeroDePessoasNasFamiliasAcompanhadasConformeOSexo-feminino",197
"numeroDePessoasAtendidasComDeficiencia",198
"numeroDePessoasAtendidasIdosas",199
"oServicoDeProtecaoSocialBasicaNoDomicilioNoMunicipioPossuiEquipeExclusiva",200
"planoDecenalDeAssistenciaSocial-possui",201
"planoMunicipalDeAssistenciaSocial-possui",202
"diagnosticoSocioterritorial-possui",203
"PlanoMunicipaldeEducacaoPermanentedoSUAS-possui",204
"RelatoriodeGestaoDoExercicioAnterior-possui",205
"LeideRegulamentacaodoSUAS-possui",206
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-gestao_do_trabalho",207
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-protecao_social_basica",208
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-protecao_social_especial",209
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-gestao_do_suas",210
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-levanta_dados_no_territorio_equipamento_da_pas",211
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-analisa_dados_levantados",212
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-sistematiza_dados_e_produz_relatorios",213
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-dissemina_dados_e/ou_relatorios",214
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_diagnostico_socioterritorial",215
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_monitoramento_sistematico_dos_servicos_socioassistenciais",216
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_reunioes_com_as_equipes_responsaveis_pela_execucao_dos_servicos_socioassistenciais",217
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeMunicipio",218
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeEstado",219
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeGovernoFederal",220
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeMunicipio",221
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeEstado",222
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal",223
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeMunicipio",224
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeEstado",225
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeGovernoFederal",226
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeMunicipio",227
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeEstado",228
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeGovernoFederal",229
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeMunicipio",230
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeEstado",231
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeGovernoFederal",232
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeMunicipio",233
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeEstado",234
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal",235
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeMunicipio",236
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeEstado",237
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeGovernoFederal",238
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeMunicipio",239
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeEstado",240
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeGovernoFederal",241
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeMunicipio",242
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeEstado",243
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeGovernoFederal",244
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeMunicipio",245
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeEstado",246
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal",247
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeMunicipio",248
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeEstado",249
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeGovernoFederal",250
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeMunicipio",251
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeEstado",252
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeGovernoFederal",253
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeMunicipio",254
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeEstado",255
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeGovernoFederal",256
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeMunicipio",257
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeEstado",258
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal",259
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeMunicipio",260
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeEstado",261
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeGovernoFederal",262
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeMunicipio",263
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeEstado",264
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeGovernoFederal",265
"quantidadeMensalDeReunioesExtraordinariasDoCEAS",266
"quantidadeMensalDeReunioesOrdinariasDoCEAS",267
"quantidadeMensalDeResolucoesEmitidasDoCEAS",268
"quantidadeMensalDeReunioesTecnicasRealizadasPeloCEAS",269
"quantidadeDeMunicipiosAcompanhadosRemotamente",270
"quantidadeDeMunicipiosVisitadosInLoco",271
"quantidadeDeMunicipiosComPlanoDeProvidenciasAcompanhados",272
"quantidadeDeNotasTecnicasElaboradasEPublicizadas",273
"quantidadeDeBoletinsElaboradosEPublicizados",274
"numeroDePessaosAtendidasNoTotal",275
