Land,Landcode,Maand,Waarde
"Viavac CZ","CZ","11",20067.666666666668
"Viavac CZ","CZ","12",20067.666666666668
"Marex","RS","1",14375
"Marex","RS","2",14375
"Marex","RS","3",14375
"Marex","RS","4",14375
"Marex","RS","5",14375
"Marex","RS","6",14375
"Marex","RS","7",14375
"Marex","RS","8",14375
"Marex","RS","9",14375
"Marex","RS","10",14375
"Marex","RS","11",14375
"Marex","RS","12",14375
"Letland","LV","1",9275
"Letland","LV","2",9275
"Letland","LV","3",9275
"Letland","LV","4",9275
"Letland","LV","5",9275
"Letland","LV","6",9275
"Letland","LV","7",9275
"Letland","LV","8",9275
"Letland","LV","9",9275
"Letland","LV","10",9275
"Letland","LV","11",9275
"Letland","LV","12",9275
"Turkije","TR","1",6125
"Turkije","TR","2",6125
"Turkije","TR","3",6125
"Turkije","TR","4",6125
"Turkije","TR","5",6125
"Turkije","TR","6",6125
"Turkije","TR","7",6125
"Turkije","TR","8",6125
"Turkije","TR","9",6125
"Turkije","TR","10",6125
"Turkije","TR","11",6125
"Turkije","TR","12",6125
"Roemenië","RO","1",8333.3333333333339
"Roemenië","RO","2",8333.3333333333339
"Roemenië","RO","3",8333.3333333333339
"Roemenië","RO","4",8333.3333333333339
"Roemenië","RO","5",8333.3333333333339
"Roemenië","RO","6",8333.3333333333339
"Roemenië","RO","7",8333.3333333333339
"Roemenië","RO","8",8333.3333333333339
"Roemenië","RO","9",8333.3333333333339
"Roemenië","RO","10",8333.3333333333339
"Roemenië","RO","11",8333.3333333333339
"Roemenië","RO","12",8333.3333333333339
"Denemarken","DK","1",5875
"Denemarken","DK","2",5875
"Denemarken","DK","3",5875
"Denemarken","DK","4",5875
"Denemarken","DK","5",5875
"Denemarken","DK","6",5875
"Denemarken","DK","7",5875
"Denemarken","DK","8",5875
"Denemarken","DK","9",5875
"Denemarken","DK","10",5875
"Denemarken","DK","11",5875
"Denemarken","DK","12",5875
"Zwitserland","CH","1",8878
"Zwitserland","CH","2",8878
"Zwitserland","CH","3",8878
"Zwitserland","CH","4",8878
"Zwitserland","CH","5",8878
"Zwitserland","CH","6",8878
"Zwitserland","CH","7",8878
"Zwitserland","CH","8",8878
"Zwitserland","CH","9",8878
"Zwitserland","CH","10",8878
"Zwitserland","CH","11",8878
"Zwitserland","CH","12",8878
"Bulgarije","BG","1",9583.3333333333339
"Bulgarije","BG","2",9583.3333333333339
"Bulgarije","BG","3",9583.3333333333339
"Bulgarije","BG","4",9583.3333333333339
"Bulgarije","BG","5",9583.3333333333339
"Bulgarije","BG","6",9583.3333333333339
"Bulgarije","BG","7",9583.3333333333339
"Bulgarije","BG","8",9583.3333333333339
"Bulgarije","BG","9",9583.3333333333339
"Bulgarije","BG","10",9583.3333333333339
"Bulgarije","BG","11",9583.3333333333339
"Bulgarije","BG","12",9583.3333333333339
"Finland","FI","1",17083.333333333332
"Finland","FI","2",17083.333333333332
"Finland","FI","3",17083.333333333332
"Finland","FI","4",17083.333333333332
"Finland","FI","5",17083.333333333332
"Finland","FI","6",17083.333333333332
"Finland","FI","7",17083.333333333332
"Finland","FI","8",17083.333333333332
"Finland","FI","9",17083.333333333332
"Finland","FI","10",17083.333333333332
"Finland","FI","11",17083.333333333332
"Finland","FI","12",17083.333333333332
"Spanje","ES","1",10833.333333333334
"Spanje","ES","2",10833.333333333334
"Spanje","ES","3",10833.333333333334
"Spanje","ES","4",10833.333333333334
"Spanje","ES","5",10833.333333333334
"Spanje","ES","6",10833.333333333334
"Spanje","ES","7",10833.333333333334
"Spanje","ES","8",10833.333333333334
"Spanje","ES","9",10833.333333333334
"Spanje","ES","10",10833.333333333334
"Spanje","ES","11",10833.333333333334
"Spanje","ES","12",10833.333333333334
"GCC","Overige1","1",9166.6666666666661
"GCC","Overige1","2",9166.6666666666661
"GCC","Overige1","3",9166.6666666666661
"GCC","Overige1","4",9166.6666666666661
"GCC","Overige1","5",9166.6666666666661
"GCC","Overige1","6",9166.6666666666661
"GCC","Overige1","7",9166.6666666666661
"GCC","Overige1","8",9166.6666666666661
"GCC","Overige1","9",9166.6666666666661
"GCC","Overige1","10",9166.6666666666661
"GCC","Overige1","11",9166.6666666666661
"GCC","Overige1","12",9166.6666666666661
"Australië","AU","1",5800
"Australië","AU","2",5800
"Australië","AU","3",5800
"Australië","AU","4",5800
"Australië","AU","5",5800
"Australië","AU","6",5800
"Australië","AU","7",5800
"Australië","AU","8",5800
"Australië","AU","9",5800
"Australië","AU","10",5800
"Australië","AU","11",5800
"Australië","AU","12",5800
"Overigen (Mexico Italie Japan)","Overige1","1",6000
"Overigen (Mexico Italie Japan)","Overige1","2",6000
"Overigen (Mexico Italie Japan)","Overige1","3",6000
"Overigen (Mexico Italie Japan)","Overige1","4",6000
"Overigen (Mexico Italie Japan)","Overige1","5",6000
"Overigen (Mexico Italie Japan)","Overige1","6",6000
"Overigen (Mexico Italie Japan)","Overige1","7",22000
"Overigen (Mexico Italie Japan)","Overige1","8",22000
"Overigen (Mexico Italie Japan)","Overige1","9",22000
"Overigen (Mexico Italie Japan)","Overige1","10",22000
"Overigen (Mexico Italie Japan)","Overige1","11",22000
"Overigen (Mexico Italie Japan)","Overige1","12",24000
"Overigen","Overige2","1",15050
"Overigen","Overige2","2",15050
"Overigen","Overige2","3",15050
"Overigen","Overige2","4",15050
"Overigen","Overige2","5",15050
"Overigen","Overige2","6",15050
"Overigen","Overige2","7",15050
"Overigen","Overige2","8",15050
"Overigen","Overige2","9",15050
"Overigen","Overige2","10",15050
"Overigen","Overige2","11",15050
"Overigen","Overige2","12",15050
