Omschrijving,Periode,Waarde,Service
"Overige huisvestingslasten","2020 - 1",640,"Verkoop"
"Overige huisvestingslasten","2020 - 2",640,"Verkoop"
"Overige huisvestingslasten","2020 - 3",640,"Verkoop"
"Overige huisvestingslasten","2020 - 4",640,"Verkoop"
"Overige huisvestingslasten","2020 - 5",640,"Verkoop"
"Overige huisvestingslasten","2020 - 6",640,"Verkoop"
"Overige huisvestingslasten","2020 - 7",640,"Verkoop"
"Overige huisvestingslasten","2020 - 8",1200,"Verkoop"
"Overige huisvestingslasten","2020 - 9",1200,"Verkoop"
"Overige huisvestingslasten","2020 - 10",1200,"Verkoop"
"Overige huisvestingslasten","2020 - 11",1200,"Verkoop"
"Overige huisvestingslasten","2020 - 12",1200,"Verkoop"
"   Totaal huisvestingskosten","2020 - 1",4461.6,"Verkoop"
"   Totaal huisvestingskosten","2020 - 2",4461.6,"Verkoop"
"   Totaal huisvestingskosten","2020 - 3",4461.6,"Verkoop"
"   Totaal huisvestingskosten","2020 - 4",4461.6,"Verkoop"
"   Totaal huisvestingskosten","2020 - 5",4461.6,"Verkoop"
"   Totaal huisvestingskosten","2020 - 6",4461.6,"Verkoop"
"   Totaal huisvestingskosten","2020 - 7",4461.6,"Verkoop"
"   Totaal huisvestingskosten","2020 - 8",8400,"Verkoop"
"   Totaal huisvestingskosten","2020 - 9",8400,"Verkoop"
"   Totaal huisvestingskosten","2020 - 10",8400,"Verkoop"
"   Totaal huisvestingskosten","2020 - 11",8400,"Verkoop"
"   Totaal huisvestingskosten","2020 - 12",8400,"Verkoop"
"Gereedschap","2020 - 1",180,"Verkoop"
"Gereedschap","2020 - 2",180,"Verkoop"
"Gereedschap","2020 - 3",180,"Verkoop"
"Gereedschap","2020 - 4",180,"Verkoop"
"Gereedschap","2020 - 5",180,"Verkoop"
"Gereedschap","2020 - 6",180,"Verkoop"
"Gereedschap","2020 - 7",180,"Verkoop"
"Gereedschap","2020 - 8",180,"Verkoop"
"Gereedschap","2020 - 9",180,"Verkoop"
"Gereedschap","2020 - 10",180,"Verkoop"
"Gereedschap","2020 - 11",180,"Verkoop"
"Gereedschap","2020 - 12",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 1",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 2",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 3",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 4",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 5",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 6",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 7",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 8",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 9",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 10",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 11",180,"Verkoop"
"Onderhoud machines/kleine aanschaffingen","2020 - 12",180,"Verkoop"
"Huur/lease machines","2020 - 1",180,"Verkoop"
"Huur/lease machines","2020 - 2",180,"Verkoop"
"Huur/lease machines","2020 - 3",180,"Verkoop"
"Huur/lease machines","2020 - 4",180,"Verkoop"
"Huur/lease machines","2020 - 5",180,"Verkoop"
"Huur/lease machines","2020 - 6",180,"Verkoop"
"Huur/lease machines","2020 - 7",180,"Verkoop"
"Huur/lease machines","2020 - 8",180,"Verkoop"
"Huur/lease machines","2020 - 9",180,"Verkoop"
"Huur/lease machines","2020 - 10",180,"Verkoop"
"Huur/lease machines","2020 - 11",180,"Verkoop"
"Huur/lease machines","2020 - 12",180,"Verkoop"
"     Totaal bedrijfskosten","2020 - 1",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 2",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 3",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 4",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 5",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 6",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 7",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 8",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 9",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 10",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 11",540,"Verkoop"
"     Totaal bedrijfskosten","2020 - 12",540,"Verkoop"
"Reclame en advertentiekosten","2020 - 1",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 2",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 3",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 4",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 5",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 6",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 7",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 8",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 9",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 10",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 11",7200,"Verkoop"
"Reclame en advertentiekosten","2020 - 12",7200,"Verkoop"
"Representatiekosten","2020 - 1",60,"Verkoop"
"Representatiekosten","2020 - 2",60,"Verkoop"
"Representatiekosten","2020 - 3",60,"Verkoop"
"Representatiekosten","2020 - 4",60,"Verkoop"
"Representatiekosten","2020 - 5",60,"Verkoop"
"Representatiekosten","2020 - 6",60,"Verkoop"
"Representatiekosten","2020 - 7",60,"Verkoop"
"Representatiekosten","2020 - 8",60,"Verkoop"
"Representatiekosten","2020 - 9",60,"Verkoop"
"Representatiekosten","2020 - 10",60,"Verkoop"
"Representatiekosten","2020 - 11",60,"Verkoop"
"Representatiekosten","2020 - 12",60,"Verkoop"
"Reis- en verblijfkosten","2020 - 1",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 2",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 3",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 4",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 5",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 6",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 7",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 8",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 9",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 10",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 11",586.19999999999993,"Verkoop"
"Reis- en verblijfkosten","2020 - 12",586.19999999999993,"Verkoop"
"Beurskosten","2020 - 1",2400,"Verkoop"
"Beurskosten","2020 - 2",2400,"Verkoop"
"Beurskosten","2020 - 3",2400,"Verkoop"
"Beurskosten","2020 - 4",2400,"Verkoop"
"Beurskosten","2020 - 5",2400,"Verkoop"
"Beurskosten","2020 - 6",2400,"Verkoop"
"Beurskosten","2020 - 7",2400,"Verkoop"
"Beurskosten","2020 - 8",2400,"Verkoop"
"Beurskosten","2020 - 9",2400,"Verkoop"
"Beurskosten","2020 - 10",2400,"Verkoop"
"Beurskosten","2020 - 11",2400,"Verkoop"
"Beurskosten","2020 - 12",2400,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 1",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 2",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 3",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 4",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 5",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 6",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 7",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 8",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 9",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 10",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 11",300,"Verkoop"
"Mutatie voorziening dub. vorderingen","2020 - 12",300,"Verkoop"
"Vertalingen","2020 - 1",210,"Verkoop"
"Vertalingen","2020 - 2",210,"Verkoop"
"Vertalingen","2020 - 3",210,"Verkoop"
"Vertalingen","2020 - 4",210,"Verkoop"
"Vertalingen","2020 - 5",210,"Verkoop"
"Vertalingen","2020 - 6",210,"Verkoop"
"Vertalingen","2020 - 7",210,"Verkoop"
"Vertalingen","2020 - 8",210,"Verkoop"
"Vertalingen","2020 - 9",210,"Verkoop"
"Vertalingen","2020 - 10",210,"Verkoop"
"Vertalingen","2020 - 11",210,"Verkoop"
"Vertalingen","2020 - 12",210,"Verkoop"
"Overige verkoopkosten","2020 - 1",900,"Verkoop"
"Overige verkoopkosten","2020 - 2",900,"Verkoop"
"Overige verkoopkosten","2020 - 3",900,"Verkoop"
"Overige verkoopkosten","2020 - 4",900,"Verkoop"
"Overige verkoopkosten","2020 - 5",900,"Verkoop"
"Overige verkoopkosten","2020 - 6",900,"Verkoop"
"Overige verkoopkosten","2020 - 7",900,"Verkoop"
"Overige verkoopkosten","2020 - 8",900,"Verkoop"
"Overige verkoopkosten","2020 - 9",900,"Verkoop"
"Overige verkoopkosten","2020 - 10",900,"Verkoop"
"Overige verkoopkosten","2020 - 11",900,"Verkoop"
"Overige verkoopkosten","2020 - 12",900,"Verkoop"
"     Totaal verkoopkosten","2020 - 1",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 2",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 3",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 4",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 5",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 6",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 7",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 8",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 9",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 10",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 11",11656.2,"Verkoop"
"     Totaal verkoopkosten","2020 - 12",11656.2,"Verkoop"
"Website","2020 - 1",1500,"Verkoop"
"Website","2020 - 2",1500,"Verkoop"
"Website","2020 - 3",1500,"Verkoop"
"Website","2020 - 4",1500,"Verkoop"
"Website","2020 - 5",1500,"Verkoop"
"Website","2020 - 6",1500,"Verkoop"
"Website","2020 - 7",1500,"Verkoop"
"Website","2020 - 8",1500,"Verkoop"
"Website","2020 - 9",1500,"Verkoop"
"Website","2020 - 10",1500,"Verkoop"
"Website","2020 - 11",1500,"Verkoop"
"Website","2020 - 12",1500,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 1",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 2",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 3",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 4",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 5",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 6",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 7",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 8",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 9",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 10",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 11",600,"Verkoop"
"Communicatiekosten en infrastructuur","2020 - 12",600,"Verkoop"
"Hardware","2020 - 1",300,"Verkoop"
"Hardware","2020 - 2",300,"Verkoop"
"Hardware","2020 - 3",300,"Verkoop"
"Hardware","2020 - 4",300,"Verkoop"
"Hardware","2020 - 5",300,"Verkoop"
"Hardware","2020 - 6",300,"Verkoop"
"Hardware","2020 - 7",300,"Verkoop"
"Hardware","2020 - 8",300,"Verkoop"
"Hardware","2020 - 9",300,"Verkoop"
"Hardware","2020 - 10",300,"Verkoop"
"Hardware","2020 - 11",300,"Verkoop"
"Hardware","2020 - 12",300,"Verkoop"
"Software en licenties","2020 - 1",1500,"Verkoop"
"Software en licenties","2020 - 2",1500,"Verkoop"
"Software en licenties","2020 - 3",1500,"Verkoop"
"Software en licenties","2020 - 4",1500,"Verkoop"
"Software en licenties","2020 - 5",1500,"Verkoop"
"Software en licenties","2020 - 6",1500,"Verkoop"
"Software en licenties","2020 - 7",1500,"Verkoop"
"Software en licenties","2020 - 8",1500,"Verkoop"
"Software en licenties","2020 - 9",1500,"Verkoop"
"Software en licenties","2020 - 10",1500,"Verkoop"
"Software en licenties","2020 - 11",1500,"Verkoop"
"Software en licenties","2020 - 12",1500,"Verkoop"
"     Totaal ICT kosten","2020 - 1",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 2",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 3",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 4",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 5",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 6",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 7",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 8",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 9",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 10",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 11",3900,"Verkoop"
"     Totaal ICT kosten","2020 - 12",3900,"Verkoop"
"Brandstof","2020 - 1",625,"Verkoop"
"Brandstof","2020 - 2",625,"Verkoop"
"Brandstof","2020 - 3",625,"Verkoop"
"Brandstof","2020 - 4",625,"Verkoop"
"Brandstof","2020 - 5",625,"Verkoop"
"Brandstof","2020 - 6",625,"Verkoop"
"Brandstof","2020 - 7",625,"Verkoop"
"Brandstof","2020 - 8",625,"Verkoop"
"Brandstof","2020 - 9",625,"Verkoop"
"Brandstof","2020 - 10",625,"Verkoop"
"Brandstof","2020 - 11",625,"Verkoop"
"Brandstof","2020 - 12",625,"Verkoop"
"Motorrijtuigenbelasting","2020 - 1",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 2",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 3",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 4",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 5",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 6",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 7",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 8",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 9",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 10",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 11",335,"Verkoop"
"Motorrijtuigenbelasting","2020 - 12",335,"Verkoop"
"Overige autokosten","2020 - 1",65,"Verkoop"
"Overige autokosten","2020 - 2",65,"Verkoop"
"Overige autokosten","2020 - 3",65,"Verkoop"
"Overige autokosten","2020 - 4",65,"Verkoop"
"Overige autokosten","2020 - 5",65,"Verkoop"
"Overige autokosten","2020 - 6",65,"Verkoop"
"Overige autokosten","2020 - 7",65,"Verkoop"
"Overige autokosten","2020 - 8",65,"Verkoop"
"Overige autokosten","2020 - 9",65,"Verkoop"
"Overige autokosten","2020 - 10",65,"Verkoop"
"Overige autokosten","2020 - 11",65,"Verkoop"
"Overige autokosten","2020 - 12",65,"Verkoop"
"     Totaal autokosten","2020 - 1",1025,"Verkoop"
"     Totaal autokosten","2020 - 2",1025,"Verkoop"
"     Totaal autokosten","2020 - 3",1025,"Verkoop"
"     Totaal autokosten","2020 - 4",1025,"Verkoop"
"     Totaal autokosten","2020 - 5",1025,"Verkoop"
"     Totaal autokosten","2020 - 6",1025,"Verkoop"
"     Totaal autokosten","2020 - 7",1025,"Verkoop"
"     Totaal autokosten","2020 - 8",1025,"Verkoop"
"     Totaal autokosten","2020 - 9",1025,"Verkoop"
"     Totaal autokosten","2020 - 10",1025,"Verkoop"
"     Totaal autokosten","2020 - 11",1025,"Verkoop"
"     Totaal autokosten","2020 - 12",1025,"Verkoop"
"Kantoorkosten","2020 - 1",519.6,"Verkoop"
"Kantoorkosten","2020 - 2",519.6,"Verkoop"
"Kantoorkosten","2020 - 3",519.6,"Verkoop"
"Kantoorkosten","2020 - 4",519.6,"Verkoop"
"Kantoorkosten","2020 - 5",519.6,"Verkoop"
"Kantoorkosten","2020 - 6",519.6,"Verkoop"
"Kantoorkosten","2020 - 7",519.6,"Verkoop"
"Kantoorkosten","2020 - 8",519.6,"Verkoop"
"Kantoorkosten","2020 - 9",519.6,"Verkoop"
"Kantoorkosten","2020 - 10",519.6,"Verkoop"
"Kantoorkosten","2020 - 11",519.6,"Verkoop"
"Kantoorkosten","2020 - 12",519.6,"Verkoop"
"Telefoonkosten","2020 - 1",132,"Verkoop"
"Telefoonkosten","2020 - 2",132,"Verkoop"
"Telefoonkosten","2020 - 3",132,"Verkoop"
"Telefoonkosten","2020 - 4",132,"Verkoop"
