Code_Client,Nb_Compte,Montant_Total_Compte,Montant_Total_Compte_Courant,Montant_Total_Compte_Epargne,Montant_Decouvert_Auto,Montant_Patrimoine,Nom_Client,Nb_Salarie,Date_Ouverture_1er_Compte,Date_Ouverture_Dernier_Compte,Code_Type_Client,Code_Adresse,Code_Salarie,Code_Secteur_activite
"CL0291",6,9956163,276707,563166,0,798892,"Mon Entreprise EURL 291",1,39571,39970,"EURL","AD0291","SAL0155","SA027"
"CL0296",2,5224549,210795,235868,0,495808,"Mon Entreprise EURL 296",1,40935,39745,"EURL","AD0296","SAL0160","SA018"
"CL0300",18,1956321,294226,58223,0,1950038,"Mon Entreprise EURL 300",1,31093,41141,"EURL","AD0300","SAL0164","SA008"
"CL0303",9,5741019,97338,445828,0,1130520,"Mon Entreprise EURL 303",1,36687,38584,"EURL","AD0303","SAL0166","SA004"
"CL0316",15,3891716,212051,91575,0,221370,"Mon Entreprise EURL 316",1,37303,39694,"EURL","AD0316","SAL0174","SA016"
"CL0329",7,2054444,367088,302757,0,911684,"Mon Entreprise EURL 329",1,43144,39237,"EURL","AD0329","SAL0178","SA025"
"CL0342",17,1503746,419471,986945,0,1468371,"Mon Entreprise EURL 342",1,41785,41040,"EURL","AD0342","SAL0189","SA013"
"CL0355",5,3735584,179669,187233,0,870718,"Mon Entreprise EURL 355",1,31840,39398,"EURL","AD0355","SAL0202","SA003"
"CL0368",6,6893361,295754,567993,0,913986,"Mon Entreprise EURL 368",1,42603,40863,"EURL","AD0368","SAL0204","SA014"
"CL0381",5,2521138,144596,799592,0,998425,"Mon Entreprise EURL 381",1,29546,40736,"EURL","AD0381","SAL0204","SA017"
"CL0394",9,6527732,459615,314198,0,815294,"Mon Entreprise EURL 394",1,39679,39154,"EURL","AD0394","SAL0210","SA003"
"CL0407",20,9303115,34350,390016,0,893075,"Mon Entreprise EURL 407",1,33367,39846,"EURL","AD0407","SAL0210","SA012"
"CL0411",10,11483173,2117,551992,0,447180,"Mon Entreprise EURL 411",1,43079,38934,"EURL","AD0411","SAL0210","SA006"
"CL0416",16,8697754,127267,719778,0,745652,"Mon Entreprise EURL 416",1,31031,41323,"EURL","AD0416","SAL0215","SA009"
"CL0420",19,6350185,490430,942693,0,1429030,"Mon Entreprise EURL 420",1,32716,42145,"EURL","AD0420","SAL0219","SA027"
"CL0425",15,822685,108965,794260,0,1447275,"Mon Entreprise EURL 425",1,34433,38982,"EURL","AD0425","SAL0224","SA012"
"CL0438",3,6133870,370243,115207,0,1982678,"Mon Entreprise EURL 438",1,37162,41359,"EURL","AD0438","SAL0237","SA022"
"CL0442",3,13345318,465638,748427,0,1105588,"Mon Entreprise EURL 442",1,32134,39650,"EURL","AD0442","SAL0237","SA026"
"CL0447",14,864658,477317,598660,0,894006,"Mon Entreprise EURL 447",1,43787,43744,"EURL","AD0447","SAL0237","SA011"
"CL0451",6,13584008,318718,338633,0,1335425,"Mon Entreprise EURL 451",1,31974,39870,"EURL","AD0451","SAL0237","SA007"
"CL0454",1,2470761,196042,15168,0,1886240,"Mon Entreprise EURL 454",1,32399,39121,"EURL","AD0454","SAL0238","SA020"
"CL0467",19,5538257,68066,79738,0,374165,"Mon Entreprise EURL 467",1,35389,41234,"EURL","AD0467","SAL0251","SA009"
"CL0480",11,11139837,348778,795004,0,1699246,"Mon Entreprise EURL 480",1,31589,42723,"EURL","AD0480","SAL0264","SA033"
"CL0493",7,7976571,452542,277241,0,1456801,"Mon Entreprise EURL 493",1,31149,40731,"EURL","AD0493","SAL0277","SA024"
"CL0506",15,3209802,384046,65184,0,870852,"Mon Entreprise EURL 506",1,30656,42879,"EURL","AD0506","SAL0290","SA008"
"CL0519",1,10961137,436857,153765,0,1908791,"Mon Entreprise EURL 519",1,30755,43795,"EURL","AD0519","SAL0303","SA014"
"CL0532",19,3561643,452467,436259,0,1390441,"Mon Entreprise EURL 532",1,36558,41324,"EURL","AD0532","SAL0316","SA032"
"CL0545",8,2653122,349776,424485,0,502377,"Mon Entreprise EURL 545",1,32600,43747,"EURL","AD0545","SAL0322","SA028"
"CL0558",6,11905953,460454,560855,0,126652,"Mon Entreprise EURL 558",1,38768,42850,"EURL","AD0558","SAL0322","SA021"
"CL0562",13,2399430,291406,886212,0,198531,"Mon Entreprise EURL 562",1,35563,42671,"EURL","AD0562","SAL0322","SA005"
"CL0567",15,8802925,66257,906911,0,1257815,"Mon Entreprise EURL 567",1,33188,39909,"EURL","AD0567","SAL0322","SA022"
"CL0571",6,13169169,352192,198653,0,508378,"Mon Entreprise EURL 571",1,31898,39614,"EURL","AD0571","SAL0322","SA015"
"CL0576",15,6724763,350757,565369,0,278479,"Mon Entreprise EURL 576",1,41864,40714,"EURL","AD0576","SAL0322","SA015"
"CL0589",10,3410104,385104,223688,0,1315026,"Mon Entreprise EURL 589",1,33829,42105,"EURL","AD0589","SAL0322","SA020"
"CL0593",2,7577199,79798,771057,0,442845,"Mon Entreprise EURL 593",1,39418,42278,"EURL","AD0593","SAL0322","SA029"
"CL0598",13,1720450,289060,748250,0,540196,"Mon Entreprise EURL 598",1,40856,42694,"EURL","AD0598","SAL0322","SA015"
"CL0602",8,5851438,475254,36951,0,1086494,"Mon Entreprise EURL 602",1,43262,43778,"EURL","AD0602","SAL0324","SA026"
"CL0605",17,14270250,259987,731832,0,1920694,"Mon Entreprise EURL 605",1,35247,38612,"EURL","AD0605","SAL0327","SA018"
"CL0618",14,9921023,364506,150399,0,1558812,"Mon Entreprise EURL 618",1,40841,40164,"EURL","AD0618","SAL0340","SA006"
"CL0631",17,646419,245847,214158,0,1246678,"Mon Entreprise EURL 631",1,39699,43108,"EURL","AD0631","SAL0350","SA012"
"CL0644",4,10879790,440850,529853,0,1969437,"Mon Entreprise EURL 644",1,30451,42423,"EURL","AD0644","SAL0350","SA033"
"CL0657",10,239539,357578,555730,0,1410552,"Mon Entreprise EURL 657",1,42440,40391,"EURL","AD0657","SAL0350","SA010"
"CL0670",12,9209487,321716,65225,0,1965304,"Mon Entreprise EURL 670",1,39723,39646,"EURL","AD0670","SAL0350","SA020"
"CL0683",7,10977403,482375,847184,0,1407232,"Mon Entreprise EURL 683",1,29835,43023,"EURL","AD0683","SAL0350","SA012"
"CL0696",8,1305060,483854,617092,0,1289827,"Mon Entreprise EURL 696",1,31692,41390,"EURL","AD0696","SAL0362","SA008"
"CL0709",14,9433980,79606,595592,0,1614441,"Mon Entreprise EURL 709",1,37190,43369,"EURL","AD0709","SAL0375","SA010"
"CL0713",18,8161645,108677,797607,0,917958,"Mon Entreprise EURL 713",1,38282,42597,"EURL","AD0713","SAL0379","SA014"
"CL0718",15,4106431,422881,717352,0,558432,"Mon Entreprise EURL 718",1,39716,40716,"EURL","AD0718","SAL0384","SA016"
"CL0722",10,7228911,469783,178412,0,1400609,"Mon Entreprise EURL 722",1,42949,42948,"EURL","AD0722","SAL0388","SA018"
"CL0727",19,11352524,124697,721212,0,980952,"Mon Entreprise EURL 727",1,30442,41754,"EURL","AD0727","SAL0393","SA019"
"CL0740",10,12280610,105160,99707,0,339795,"Mon Entreprise EURL 740",1,31010,39368,"EURL","AD0740","SAL0406","SA015"
"CL0744",6,1427703,398743,239525,0,465239,"Mon Entreprise EURL 744",1,36531,41169,"EURL","AD0744","SAL0410","SA027"
"CL0749",20,5779488,69950,858916,0,1486997,"Mon Entreprise EURL 749",1,30783,39642,"EURL","AD0749","SAL0415","SA007"
"CL0753",5,13944299,477955,752446,0,760068,"Mon Entreprise EURL 753",1,31665,43742,"EURL","AD0753","SAL0419","SA009"
"CL0756",2,11865081,162341,723319,0,199161,"Mon Entreprise EURL 756",1,33417,43715,"EURL","AD0756","SAL0422","SA022"
"CL0769",1,1372501,457236,184711,0,1532330,"Mon Entreprise EURL 769",1,43043,39525,"EURL","AD0769","SAL0435","SA025"
"CL0782",17,7220337,250970,61378,0,522212,"Mon Entreprise EURL 782",1,38546,39088,"EURL","AD0782","SAL0448","SA011"
"CL0795",1,957937,239464,646022,0,429547,"Mon Entreprise EURL 795",1,30257,40903,"EURL","AD0795","SAL1355","SA010"
"CL0808",17,5288769,238723,352125,0,776500,"Mon Entreprise EURL 808",1,30478,40447,"EURL","AD0808","SAL1355","SA002"
"CL0821",15,13294460,222056,617106,0,1716939,"Mon Entreprise EURL 821",1,42237,38878,"EURL","AD0821","SAL1355","SA013"
"CL0834",16,9371592,427745,352304,0,701116,"Mon Entreprise EURL 834",1,31281,41417,"EURL","AD0834","SAL1355","SA022"
"CL0847",8,10796985,40508,842792,0,1475553,"Mon Entreprise EURL 847",1,30379,42937,"EURL","AD0847","SAL1355","SA019"
"CL0860",1,8675470,107701,985041,0,1940660,"Mon Entreprise EURL 860",1,29378,42797,"EURL","AD0860","SAL1355","SA002"
"CL0864",13,13397356,194048,574480,0,1128214,"Mon Entreprise EURL 864",1,42201,38975,"EURL","AD0864","SAL1355","SA005"
"CL0869",8,9342908,21507,487180,0,539613,"Mon Entreprise EURL 869",1,42129,39376,"EURL","AD0869","SAL1355","SA014"
"CL0873",16,5190665,155783,73109,0,1353237,"Mon Entreprise EURL 873",1,42972,40882,"EURL","AD0873","SAL1355","SA024"
"CL0878",2,9105774,66360,271932,0,1707003,"Mon Entreprise EURL 878",1,33391,41761,"EURL","AD0878","SAL1355","SA025"
"CL0891",11,14346927,263860,244685,0,1655915,"Mon Entreprise EURL 891",1,42879,43076,"EURL","AD0891","SAL1355","SA024"
"CL0895",7,4063523,334012,63648,0,662135,"Mon Entreprise EURL 895",1,33055,41397,"EURL","AD0895","SAL1355","SA015"
"CL0900",2,12331394,223945,756333,0,143650,"Mon Entreprise EURL 900",1,40183,39405,"EURL","AD0900","SAL1355","SA004"
"CL0904",16,12471875,203309,934241,0,1203707,"Mon Entreprise EURL 904",1,37887,43571,"EURL","AD0904","SAL1355","SA026"
"CL0907",11,2178891,78623,849834,0,17259,"Mon Entreprise EURL 907",1,41845,42509,"EURL","AD0907","SAL1355","SA024"
"CL0920",11,4376440,212487,249914,0,755624,"Mon Entreprise EURL 920",1,36522,39572,"EURL","AD0920","SAL1355","SA007"
"CL0933",19,12163728,487799,537989,0,1376361,"Mon Entreprise EURL 933",1,43756,38824,"EURL","AD0933","SAL1355","SA024"
"CL0946",18,2971749,417952,216275,0,444674,"Mon Entreprise EURL 946",1,40837,39009,"EURL","AD0946","SAL1355","SA010"
"CL0959",6,9124887,192152,745859,0,1560742,"Mon Entreprise EURL 959",1,37891,38726,"EURL","AD0002","SAL0001","SA018"
"CL0972",5,5416565,107244,298912,0,1774526,"Mon Entreprise EURL 972",1,35749,39089,"EURL","AD0084","SAL0052","SA003"
"CL0985",18,12118492,254555,69747,0,532629,"Mon Entreprise EURL 985",1,34780,43410,"EURL","AD0097","SAL0052","SA024"
"CL0998",7,2164287,269749,741045,0,727945,"Mon Entreprise EURL 998",1,37049,42559,"EURL","AD0072","SAL0051","SA033"
"CL1011",1,4543547,-3235,584659,0,1550663,"Mon Entreprise EURL 1011",1,29786,38825,"EURL","AD0016","SAL0010","SA002"
"CL1015",8,7887367,129694,798582,0,105426,"Mon Entreprise EURL 1015",1,30137,43216,"EURL","AD0061","SAL0040","SA030"
"CL1020",7,14773396,-1199,439745,0,1258040,"Mon Entreprise EURL 1020",1,29367,40200,"EURL","AD0091","SAL0052","SA011"
"CL1024",1,13730249,353734,74588,0,536921,"Mon Entreprise EURL 1024",1,31799,42524,"EURL","AD0032","SAL0021","SA020"
"CL1029",9,7331359,286491,801014,0,256422,"Mon Entreprise EURL 1029",1,29580,40278,"EURL","AD0055","SAL0038","SA004"
"CL1042",11,135751,207384,297693,0,550707,"Mon Entreprise EURL 1042",1,38921,39348,"EURL","AD0070","SAL0049","SA030"
"CL1046",13,6420421,34541,42350,0,1737600,"Mon Entreprise EURL 1046",1,40090,40734,"EURL","AD0092","SAL0052","SA032"
"CL1051",14,11807624,62838,441980,0,228457,"Mon Entreprise EURL 1051",1,43001,40980,"EURL","AD0727","SAL0393","SA031"
"CL1055",18,1685039,316755,661262,0,296733,"Mon Entreprise EURL 1055",1,41511,42220,"EURL","AD0572","SAL0322","SA020"
"CL1058",15,1326748,232588,147810,0,637519,"Mon Entreprise EURL 1058",1,33313,42059,"EURL","AD0923","SAL1355","SA010"
"CL1066",12,9667057,62662,439472,0,271954,"Mon Entreprise EURL 1066",1,39985,39686,"EURL","AD0107","SAL0052","SA007"
"CL1070",3,10192402,39629,803855,0,362119,"Mon Entreprise EURL 1070",1,33189,38583,"EURL","AD0562","SAL0322","SA032"
"CL1073",13,4278133,206925,262341,0,1994971,"Mon Entreprise EURL 1073",1,38154,39102,"EURL","AD0444","SAL0237","SA025"
"CL1081",13,13131334,360981,849108,0,1295091,"Mon Entreprise EURL 1081",1,38995,39127,"EURL","AD0580","SAL0322","SA021"
"CL1085",14,4601472,260628,26738,0,503979,"Mon Entreprise EURL 1085",1,39839,40326,"EURL","AD0843","SAL1355","SA009"
"CL1088",19,9884667,55561,290222,0,836379,"Mon Entreprise EURL 1088",1,34031,38591,"EURL","AD0841","SAL1355","SA009"
"CL1096",1,4807282,354565,338854,0,794932,"Mon Entreprise EURL 1096",1,40485,38820,"EURL","AD0135","SAL0073","SA014"
"CL1100",12,11986079,49051,509767,0,1705,"Mon Entreprise EURL 1100",1,43123,43138,"EURL","AD0258","SAL0135","SA028"
"CL1103",19,10830281,432477,144693,0,987094,"Mon Entreprise EURL 1103",1,34446,42419,"EURL","AD0242","SAL0119","SA014"
"CL1111",20,8092708,458164,310615,0,1208340,"Mon Entreprise EURL 1111",1,35005,38633,"EURL","AD0389","SAL0210","SA021"
"CL1115",20,8472775,350455,973872,0,1051094,"Mon Entreprise EURL 1115",1,37433,40923,"EURL","AD0559","SAL0322","SA033"
"CL1118",4,11420385,118536,421168,0,750180,"Mon Entreprise EURL 1118",1,32824,43642,"EURL","AD0413","SAL0212","SA024"
"CL1126",17,6751258,35127,148261,0,989036,"Mon Entreprise EURL 1126",1,29556,38760,"EURL","AD0126","SAL0064","SA012"
"CL1130",17,1282531,468714,678259,0,1745860,"Mon Entreprise EURL 1130",1,29614,38566,"EURL","AD0749","SAL0415","SA014"
"CL1133",9,3294251,69500,86831,0,7613,"Mon Entreprise EURL 1133",1,40866,42902,"EURL","AD0901","SAL1355","SA025"
"CL1141",10,1387657,402406,74042,0,1295624,"Mon Entreprise EURL 1141",1,40994,40516,"EURL","AD0921","SAL1355","SA001"
"CL1145",19,3774520,495172,204399,0,11285,"Mon Entreprise EURL 1145",1,32964,41766,"EURL","AD0209","SAL0102","SA004"
"CL1148",6,14757641,134796,42389,0,479673,"Mon Entreprise EURL 1148",1,38660,40591,"EURL","AD0385","SAL0208","SA033"
"CL1156",5,10483346,160583,885256,0,1545723,"Mon Entreprise EURL 1156",1,42942,38657,"EURL","AD0245","SAL0122","SA016"
"CL1160",8,2721028,5526,358216,0,1782366,"Mon Entreprise EURL 1160",1,40950,42690,"EURL","AD0914","SAL1355","SA015"
"CL1163",1,9776225,135567,599255,0,1925385,"Mon Entreprise EURL 1163",1,30047,39199,"EURL","AD0554","SAL0322","SA021"
"CL1171",14,10895390,92361,52388,0,380449,"Mon Entreprise EURL 1171",1,38154,43078,"EURL","AD0914","SAL1355","SA027"
"CL1175",6,12417948,266050,447011,0,396225,"Mon Entreprise EURL 1175",1,36255,39286,"EURL","AD0331","SAL0178","SA016"
"CL1178",8,231257,44861,970316,0,764538,"Mon Entreprise EURL 1178",1,37121,40840,"EURL","AD0892","SAL1355","SA007"
"CL1186",11,13499194,400334,770776,0,961918,"Mon Entreprise EURL 1186",1,32253,41887,"EURL","AD0632","SAL0350","SA027"
"CL1190",10,5516495,300050,497287,0,671692,"Mon Entreprise EURL 1190",1,42931,39788,"EURL","AD0520","SAL0304","SA011"
"CL1193",16,14643151,199372,82656,0,1792952,"Mon Entreprise EURL 1193",1,43171,43607,"EURL","AD0470","SAL0254","SA016"
"CL1201",20,1756137,421647,699481,0,851404,"Mon Entreprise EURL 1201",1,30165,39398,"EURL","AD0550","SAL0322","SA001"
"CL1205",12,5855301,-2756,677759,0,1828824,"Mon Entreprise EURL 1205",1,40711,40277,"EURL","AD0743","SAL0409","SA030"
"CL1208",19,7955248,329599,801063,0,1902463,"Mon Entreprise EURL 1208",1,31256,40738,"EURL","AD0424","SAL0223","SA033"
"CL1216",10,9049,125067,36764,0,46597,"Mon Entreprise EURL 1216",1,35174,42345,"EURL","AD0368","SAL0204","SA023"
"CL1220",11,8968846,113871,354428,0,1956062,"Mon Entreprise EURL 1220",1,43389,40151,"EURL","AD0472","SAL0256","SA020"
"CL1223",18,11181793,497113,970652,0,1254939,"Mon Entreprise EURL 1223",1,42495,43237,"EURL","AD0304","SAL0166","SA010"
"CL1231",11,3765459,64892,594096,0,732577,"Mon Entreprise EURL 1231",1,43362,41063,"EURL","AD0490","SAL0274","SA016"
"CL1235",6,9165064,243019,111965,0,215434,"Mon Entreprise EURL 1235",1,35039,40260,"EURL","AD0619","SAL0341","SA003"
"CL1238",15,8344512,47952,771216,0,1309092,"Mon Entreprise EURL 1238",1,30427,39771,"EURL","AD0749","SAL0415","SA012"
"CL1246",18,6854168,312201,439065,0,361819,"Mon Entreprise EURL 1246",1,34908,41603,"EURL","AD0530","SAL0314","SA010"
"CL1250",14,354579,439244,100066,0,1540688,"Mon Entreprise EURL 1250",1,34585,38578,"EURL","AD0469","SAL0253","SA018"
"CL1253",3,5373503,423823,330975,0,878289,"Mon Entreprise EURL 1253",1,41263,38488,"EURL","AD0234","SAL0114","SA004"
"CL1261",3,13457784,473655,964662,0,1332540,"Mon Entreprise EURL 1261",1,33443,43316,"EURL","AD0862","SAL1355","SA012"
"CL1265",11,10609875,177395,169704,0,750045,"Mon Entreprise EURL 1265",1,33624,43112,"EURL","AD0731","SAL0397","SA019"
"CL1268",19,14816171,387362,860698,0,1761659,"Mon Entreprise EURL 1268",1,35047,39151,"EURL","AD0252","SAL0129","SA033"
"CL1276",18,2362265,97834,240333,0,1849871,"Mon Entreprise EURL 1276",1,39169,42775,"EURL","AD0646","SAL0350","SA023"
"CL1280",19,11579382,187301,675773,0,1472346,"Mon Entreprise EURL 1280",1,32073,43230,"EURL","AD0931","SAL1355","SA027"
"CL1283",14,4478551,275800,860400,0,1059444,"Mon Entreprise EURL 1283",1,31733,42089,"EURL","AD0384","SAL0207","SA030"
"CL1291",14,2532694,347915,971362,0,1749716,"Mon Entreprise EURL 1291",1,31178,42505,"EURL","AD0328","SAL0178","SA002"
"CL1295",12,9719318,54992,269933,0,8252,"Mon Entreprise EURL 1295",1,37826,40145,"EURL","AD0896","SAL1355","SA012"
"CL1298",15,10929402,391839,447595,0,1091499,"Mon Entreprise EURL 1298",1,32047,42845,"EURL","AD0391","SAL0210","SA018"
"CL1306",2,7991013,27882,271723,0,1995979,"Mon Entreprise EURL 1306",1,35899,41097,"EURL","AD0799","SAL1355","SA010"
"CL1310",1,9283099,65371,403151,0,494183,"Mon Entreprise EURL 1310",1,30322,40108,"EURL","AD0212","SAL0102","SA007"
"CL1313",6,5029690,3629,607776,0,1503452,"Mon Entreprise EURL 1313",1,35086,42747,"EURL","AD0847","SAL1355","SA003"
"CL1321",3,14276371,198315,285682,0,1710984,"Mon Entreprise EURL 1321",1,37799,42453,"EURL","AD0574","SAL0322","SA020"
"CL1325",15,12708457,295058,179905,0,941543,"Mon Entreprise EURL 1325",1,30289,39883,"EURL","AD0113","SAL0055","SA020"
"CL1328",19,6242794,348150,47339,0,46074,"Mon Entreprise EURL 1328",1,32808,40958,"EURL","AD0742","SAL0408","SA025"
"CL1336",13,1737860,167731,535196,0,747343,"Mon Entreprise EURL 1336",1,38724,38422,"EURL","AD0435","SAL0234","SA032"
"CL1340",20,14870202,290461,127126,0,1761302,"Mon Entreprise EURL 1340",1,35968,41786,"EURL","AD0544","SAL0322","SA014"
"CL1343",14,5322177,107056,687244,0,18021,"Mon Entreprise EURL 1343",1,41036,39972,"EURL","AD0153","SAL0081","SA012"
"CL1351",9,10050507,210892,15163,0,1452439,"Mon Entreprise EURL 1351",1,29887,43795,"EURL","AD0374","SAL0204","SA012"
"CL1355",17,8125269,188577,687005,0,691232,"Mon Entreprise EURL 1355",1,40822,38429,"EURL","AD0879","SAL1355","SA021"
"CL1358",9,10786713,74818,86760,0,1787356,"Mon Entreprise EURL 1358",1,39383,38616,"EURL","AD0261","SAL0137","SA033"
"CL1366",5,11747014,83447,112861,0,1483399,"Mon Entreprise EURL 1366",1,31208,38765,"EURL","AD0426","SAL0225","SA004"
"CL1370",7,5159636,80616,419519,0,1571947,"Mon Entreprise EURL 1370",1,29668,43592,"EURL","AD0627","SAL0349","SA003"
"CL1373",1,13599768,466127,280438,0,1450628,"Mon Entreprise EURL 1373",1,35051,39693,"EURL","AD0917","SAL1355","SA017"
"CL1381",1,13303209,227054,982989,0,846183,"Mon Entreprise EURL 1381",1,33550,41740,"EURL","AD0669","SAL0350","SA010"
"CL1385",13,10267686,286423,55241,0,1901427,"Mon Entreprise EURL 1385",1,34757,39272,"EURL","AD0129","SAL0067","SA027"
"CL1388",10,5815148,191318,808160,0,702926,"Mon Entreprise EURL 1388",1,43049,38606,"EURL","AD0833","SAL1355","SA026"
"CL1396",5,12823831,243510,567436,0,1759901,"Mon Entreprise EURL 1396",1,36667,42649,"EURL","AD0850","SAL1355","SA016"
"CL1400",9,1755571,452811,814735,0,1052704,"Mon Entreprise EURL 1400",1,37544,41416,"EURL","AD0283","SAL0154","SA019"
"CL1403",10,10105995,17247,995003,0,1527880,"Mon Entreprise EURL 1403",1,38041,38863,"EURL","AD0316","SAL0174","SA008"
"CL1411",4,4107717,390879,951559,0,560075,"Mon Entreprise EURL 1411",1,43527,38926,"EURL","AD0120","SAL0059","SA023"
"CL1415",14,5969762,466757,299111,0,519528,"Mon Entreprise EURL 1415",1,34125,39936,"EURL","AD0492","SAL0276","SA025"
"CL1418",10,11432701,332236,805158,0,667780,"Mon Entreprise EURL 1418",1,31182,41860,"EURL","AD0278","SAL0149","SA028"
"CL1426",4,6116929,392554,538240,0,16847,"Mon Entreprise EURL 1426",1,41429,38713,"EURL","AD0232","SAL0114","SA009"
"CL1430",20,4942274,407504,916207,0,1507139,"Mon Entreprise EURL 1430",1,29952,41409,"EURL","AD0946","SAL1355","SA030"
"CL1433",4,14197191,60486,232234,0,1738695,"Mon Entreprise EURL 1433",1,33193,41910,"EURL","AD0672","SAL0350","SA028"
"CL1441",8,6674903,29620,678790,0,1953599,"Mon Entreprise EURL 1441",1,41926,43390,"EURL","AD0725","SAL0391","SA024"
"CL1445",15,3984948,183256,968687,0,314793,"Mon Entreprise EURL 1445",1,42894,43604,"EURL","AD0241","SAL0118","SA014"
"CL1448",6,3782719,87707,986193,0,213905,"Mon Entreprise EURL 1448",1,32519,41554,"EURL","AD0257","SAL0134","SA027"
"CL1456",7,2124804,386654,839070,0,1864833,"Mon Entreprise EURL 1456",1,32567,40576,"EURL","AD0771","SAL0437","SA013"
"CL1460",6,9781114,390925,579834,0,1277142,"Mon Entreprise EURL 1460",1,41038,39252,"EURL","AD0675","SAL0350","SA005"
"CL1463",19,10587200,430080,678886,0,40927,"Mon Entreprise EURL 1463",1,34700,40770,"EURL","AD0397","SAL0210","SA033"
