verific,contagem
"004d76fef3dd46eb4f70da049c8d1f9328a652ff04e43c1bc57937a9f8770f9b3d871de0142ce09b7081e2b9d1733cb127/12/2017 11:10:33120002739",1
"004eab0fd8f28adaf8d488976f77febe0c753fe6a58dfa7a27bda5de76e779c37586919161935337bf6b6d7ff577964808/08/2017 15:45:1721501198",1
"004f5d8f238e8908e6864b874eda33915a848e4ab52fd5445cdc07aab1c40e48c826c40d7b19f62a09e2d7c5e7295ee206/03/2018 09:29:25122991561",1
"004fb11815bc03b01b20a614eef69d1468c923fddf7f83316b53252eaf8307247a67c85e85bb2ce8582c35f2203ad73630/11/2017 14:16:4272991975",1
"004fb5e6f90a178dc74ad2b016649249601a360bd2a916ecef0e88de72a6531a7a67c85e85bb2ce8582c35f2203ad73615/06/2017 10:02:38129991393",1
"0055b77cca3186676c147f532dd2547bd1c427060a0f73f6b889a5c7c61f2ac4a1043bafd471dff536d0c462352beb4825/02/2018 22:47:21149004037",1
"0057199db02d1a5ef41bacbf41f8f63b41eee23c25f7a574dfaf8d5c151dbb12e5a3438891c0bfdb9394643f95273d8e25/01/2018 09:07:5120301679",1
"00584d79015452d19fd3d044ba3abdc0d9c01b484ada6a360c2715a08fdf15687202e2ba20579a9bd1acb29e61fe71f627/07/2017 19:27:31109901227",1
"00588f5f20fee630b83d4709e0a42715bd6e8cf9fe4122c385da2bcb9f979d5d4e922959ae960d389249c378d1c939f529/08/2017 16:04:4589002590",1
"005997dca4c1fc45066d0a03d54a64692948658cb6abc82847412be7201bfc4c955fee9216a65b617aa5c0531780ce6016/04/2018 18:15:20120001375",1
"005a1dded353107dbabf8ffc83a203657e6c4a0bf900e259f50ba63331fd27856560211a19b47992c3666cc44a7e94c015/02/2018 18:10:5075001428",1
"005b49de51a4e006055e8487a50ad8e4381169576b9f3c083a1c3261da161a3b8c16d1f32a54d92897cc437244442e1b13/04/2017 13:50:0946861452",1
"005cad6157eadc7f1f09917607f1704a7e97894cc00196a56d6ec315c68b23537008613ea464bad5cb9b83456e1e6a8f20/04/2017 16:45:1396001484",1
"005d9a5423d47281ac463a968b3936fbfb7a100ec8c7b34f60cec22b1a9a10e0d98eec89afa3380e14463da2aabaea7224/10/2017 12:28:1649991812",1
"005e5166e99d1e4d0c4f808b0540ba9403bb24d19ea7449ce170e0888d830707e9bc59e7b60fc3063eb2290deda4cced01/03/2018 02:09:02120101660",1
"005f25968fc854ea16fb16f5bdbc87c7f9259c9e7c0f12c70f7a81409680a5ff3db66a856d18a9cba7c9241fc5221c5008/03/2018 14:50:5069901625",1
"00602f25bffa1dcfb71e202fbf9824fb32a8448d1612773bcfd0c5a8dd235e4e86ccac0b835037332a596a33b6949ee108/11/2017 02:31:1739905402",1
"00611822267e76e0055c25c18506f06e3d514fecadf6cef40a2a32a3c20cd1c823d7c96d4a1160db1c726b248601b25a03/08/2018 13:50:14159902031",1
"006127b8b9a1681a982313ed7129c3c0f819f0c84a64f02d3a5606ca95edd2727d13fca15225358621be4086e1eb096415/03/2018 02:30:23540001622",1
"0064d74f7de7917d54768d7722ad56acfa11ecd35f999783e96ac500532d9d452e90cb1677d35cfe24eef47d441b7c8714/09/2017 21:55:22189903117",1
"006557c3221c1fcd02b0106343ab357b7d187801885842645486f00fb166f378d91fb3b7d041e83b64a00a3edfb37e4f01/03/2018 14:51:131490827",1
"00664284de7a3470d22931ed78615ee4205604b962ebdae1c924e0d14e6e8ac11b938a7ec6ac5061a66a3766e0e75f9028/09/2017 13:30:1143901185",1
"0066a1fdaee16ad5022c5ef979d0b6612fb0efd1f61f186ffdda9e8ec70f27f21d8dbc4f32378d715c717c1c1fc57bae14/06/2018 20:17:26139008728",1
"0067c6030d65af0ff98790158ddb002002ed3b595447e948efc3eac897e4df0e640e21a7d01df7614a3b4923e990d40c03/05/2018 21:52:3640351371",1
"0068468c453d28c8ef3fd089e50a58472f763ba79d9cd987b2034aac7ceffe06822bad9bc42b51213ba522fe87b7ab5d30/11/2017 00:52:42469002085",1
"00685d31ae12e47470ba5c18ba74f22c71bdf1a4d18c3cd68f108547f0b4cd1c6fc26fe110feebd80a433e1f012a84f931/08/2017 21:55:1659001617",1
"0068e836900867da359bd81db9227a33735413ccfa564132a231aad945ef85ad5b67882648febfb6e1225e6ad7164f6b05/10/2017 02:24:4396991644",1
"0068fb0e223115e911d362627e8b8800e53e557d5a159f5aa2c5e995dfdf244b88460e8ebdecbfecb5f960183398193031/07/2018 02:50:1177901389",1
"006c42f310102c1910b3c5793ce5fc34b20004b530789d5db586f589da0ef3e3afa6714acee029b2dfdf357e5579cc0308/08/2018 16:24:34229992080",1
"006cb7cafc99b29548d4f412c7f9f493e10758160da97891c2fdcbc35f0f031d323ce52b5b81df2cd804b017b7f09aa722/02/2018 13:35:2856001414",1
"006cba07f62f921fe4f58365bde2b2eb83d199d296c44101c8c3b5c9c0cce9ea850f4f8af5ea87287ac68de36e29107f20/08/2017 21:05:0769991199",1
"006dd93155bc2abd844cc5eed3a0fe7f1ec486885049bbb9b79351d150ed18c4cab85505710c7cb9b720bceb52b01cee07/12/2017 01:29:284990778",1
"006df90050498994d670b40da4651d2285d619318aa201aca57171aabeed0048cea729054f157f5870bdd321a958d99416/08/2018 14:15:121400739",1
"006e05e81c068ddc38e48ebe189b922e02475368dfb38934fe55f574024fe1d76560211a19b47992c3666cc44a7e94c003/01/2018 22:07:2529001410",1
"006e43460a55bc60c0a437521e42652908574b074924071f4e201e151b152b4e001cca7ae9ae17fb1caed9dfb109483117/05/2017 01:30:2299004306",1
"006e91ddb0674525f84ce0da0655c7ba8474d936fee23f0c45620cc2022871cc2528513dd95219a6013d4d05176e391a16/04/2018 19:31:09499003035",1
"006f7dfffe2d90809598e8f1972b829baacfae7cd4bac4849766f640abf2db8a729b2d09b2a0bdab221076327f13d05028/03/2018 23:07:2339851279",1
"0070092bb6004faafa287e5fc35971e931a2f42a87890f87d77daebdfabc182e4c03b9dd4c11ee2cb35c96c49efc942031/07/2017 11:55:24149001406",1
"0071ee2429bc1efdc43aa3e073a5290e00ffe57f0110d73fd84d162252b2c78453e4c6e0f4312d4d2107a8c9cddf45cd26/01/2018 14:17:41179981246",1
"0072847849eafe70995fa51a714c81ac0f80705139ce16ea35bb489987399b55de23c3b98a88888289c6f5cc1209054a18/05/2018 04:52:44219991490",1
"00750f68bb64537034e93554c64b41b5526f833e1eb0a32ad9351145a761b9ab6560211a19b47992c3666cc44a7e94c017/11/2017 10:10:3212900816",1
"00756576f4e494406945ac21cb82cfe0bfc0d01be79d9038c7720f983bf954e0634964b17796e64304cadf1ad3050fb706/02/2018 02:53:55137001571",1
"00772b2af35643653f108fdac1155ee385b8a24337b4e2571f8fee38f4253a06c3867b4666c7d76867627c2f7fb22e2102/05/2017 11:05:1937001096",1
"00789ce015e7e5791c7914f32bb4fad4f9d774a1820f792952eea079a40a7c6b2709af9587499e95e803a6498a5a56e904/07/2017 23:43:34154001483",1
"0078a358a14592b887eb140ef515f5ab722f84416177a451c3be217ef8ffa082cca3071e3e9bb7d12640c9fbe230130610/11/2017 15:55:43253528286",1
"0079bca8e89bd52fdb87408e4f3fb94d19421075ae0b585f2dc13ff149e2119d4c2b230173bb36f9b240f2b8ac11786e10/05/2018 03:31:094990739",1
"007bbb40c95870c0f75a7855f2636c650ec7b6a863e219792bc4d50d3a62a8391e8b33f18b4f7598d87f5cbee2282cc230/04/2018 11:31:27148901395",1
"007beb35f98c075747e6fc4fd1c0cb73ce130b350f529a1d6288f927da7404eae38db885400cd35c71dfd162f2c1dbcf28/09/2017 08:50:1764901869",1
"007c7cb12ef3567531307ca78d39575815c30c08ae39469fbf52befff9569adb7e93a43ef30c4f03f38b393420bc753a26/02/2018 11:47:38179001600",1
"007ec946d4f798caf2b43c9d44c56421779559842fc122d55edbd03153f35e81f8db351d8c4c4c22c6835c19a46f01b030/11/2017 04:15:3827901510",1
"007ff0b0f79be782f633fc3b18cbe337e819fddd6622f30e872bfc89471c14087139dc5186aa238b006e066d8fbab2e408/02/2018 20:10:1039001611",1
"0080eebb288dba1857ccf048dfe6bdfe2083a6feb4bbb31f6abc92fc24e468c0cc419e0650a3c5ba77189a1882b7556a21/08/2017 17:45:167001410",1
"0081ab2c99dc85945c28926b77dc6960e1c0a39b7f806727ea5121c60035ed3c96493fab2fbb13a14d0c0e8772eef5c320/02/2018 23:31:20269001070",1
"0081ce648af7d6a7bac2a93b6035d1e31d417ca09479182e9fdf13a1c77c309f54965bbe3e4f07ae045b90b0b8541f5216/11/2017 02:51:0599901795",1
"0084209c576daad6ff4534902fcb48927340a3839a1de1e99d149b8cf052a2ec4a3ca9315b744ce9f8e937436149388411/07/2017 17:38:0269901524",1
"0084e195fbd72ae51599af47f04afedea963ea4d494221de09b70f1b4a70edbdbd0389da23d89b726abf911cccc5459621/03/2018 00:10:5989902313",1
"00858d03144cc35cfd1dd043647e7c88e40fa115d27ea4a80bf2136d5f0cfcd7d91fb3b7d041e83b64a00a3edfb37e4f20/03/2018 23:09:38165001903",1
"008720830a8a30e39e6f22f81818a14122d65c4f3ab25834df12163a3403da327a67c85e85bb2ce8582c35f2203ad73617/08/2017 16:55:1757991173",1
"0087889a1c836be17f58afd7f1729a4a62c89abe1afe3a23c17765d462718a4cfe2032dab1a61af8794248c8196565c927/10/2017 11:35:25259001063",1
"008819c6d5f6da6fa5cd9d50ca927cf457f2bc497c1a3ebe41ba7a06d78ed1596560211a19b47992c3666cc44a7e94c006/08/2018 21:50:115500765",1
"00891ba5de66f55000ee358ceea9b345eb8dbe7d2dd22ab3547925e49a78feb3218d46b86c1881d022bce9c68a7d4b1519/05/2017 17:35:15133001669",1
"008990da719764fb392914d8ab53ad04a8115d34a4b7b74388da609692162c3785d9eb9ddc5d00ca9336a2219c97bb1301/06/2018 19:37:4135901823",1
"008a1b3db2a8bf63418c2cf7c7f494b15b3aa845bba5aa7ba1216e36ae882cfa8b28d096634035667e8263d57ba3368c06/04/2018 09:48:3914891823",1
