Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
"Cuba","1.0","1.0","..","..","..","..","..","..","4.1","..","..",".."
"Curacao","1.8","1.8","1.3","1.3","0.7","0.7","..","..","1.6","..","1.6",".."
"Djibouti","177.7","177.7","..","..","..","..","..","..","0.4","0.6","0.6","0.1"
"Ecuador","1.0","1.0","0.5","0.5","0.5","0.5","..","..","1.9","2.5","0.4","-0.2"
"Egypt, Arab Rep.","14.7","17.7","3.1","3.6","0.2","0.2","..","..","22.9","21.4","29.5",".."
"El Salvador","1.0","1.0","0.5","0.5","0.5","0.5","..","..","0.9","1.9","1.0","1.1"
"Eritrea","..","..","..","..","..","..","..","..","..","..","..",".."
"Estonia","0.9","0.8","0.5","0.5","0.6","0.6","..","..","3.9","4.6","3.4","3.4"
"Ethiopia","22.4","26.1","9.1","10.0","0.4","0.4","..","..","6.7","12.5","9.8",".."
"Faroe Islands","6.7","6.7","..","..","..","..","..","..","..","..","..",".."
"French Polynesia","..","..","..","..","..","..","..","..","..","..","..",".."
"Greenland","6.7","6.7","..","..","..","..","..","..","0.3","..","..",".."
"Guam","1.0","1.0","..","..","..","..","..","..","0.9","..","..",".."
"Guatemala","7.3","7.5","4.0","4.0","0.5","0.5","..","..","3.6","2.9","4.4","3.8"
"Guinea","9,088.0","9,011.0","3,066.3","3,032.9","0.3","0.3","..","..","3.1","1.1","8.9","9.8"
"Guinea-Bissau","582.1","555.7","247.2","240.7","0.4","0.4","..","..","5.9","-0.4","1.4",".."
"Haiti","65.6","65.4","27.6","30.5","0.4","0.5","..","..","13.4","12.8","10.7","12.5"
"Honduras","23.7","24.1","11.7","11.6","0.5","0.5","..","..","4.4","1.8","3.9","4.3"
"India","64.4","69.9","17.8","18.1","0.3","0.3","..","..","3.8","4.2","2.5","4.9"
"Indonesia","13,380.8","14,236.9","4,181.1","4,245.6","0.3","0.3","..","..","4.3","3.8","3.8","3.2"
"Iraq","1,184.0","1,182.8","349.7","397.0","0.3","0.3","..","..","15.6","16.1","0.2","0.4"
"Isle of Man","0.8","0.8","..","..","..","..","..","..","..","..","..",".."
"Jamaica","128.4","128.9","72.4","74.2","0.6","0.6","..","..","6.7","4.8","4.4","3.7"
"Jordan","0.7","0.7","0.3","0.3","0.5","0.5","..","..","1.7","1.8","3.3","4.5"
"Kazakhstan","326.0","344.7","111.1","115.6","0.3","0.3","..","..","8.6","6.3","7.4",".."
"Kenya","103.4","101.3","49.8","50.1","0.5","0.5","..","..","10.6","2.8","8.0","4.7"
"Kiribati","1.3","1.3","1.0","0.9","0.7","0.7","..","..","0.6","2.0","..",".."
"Korea, Dem. People’s Rep.","..","..","..","..","..","..","..","..","..","..","..",".."
"Kosovo","0.9","0.8","0.3","0.3","0.4","0.4","..","..","1.4","0.2","1.5",".."
"Kuwait","0.3","0.3","0.1","0.1","0.4","0.5","..","..","13.7","16.6","2.2",".."
"Kyrgyz Republic","68.9","68.8","22.9","22.7","0.3","0.3","..","..","6.4","1.5","3.2",".."
"Lao PDR","8,351.5","8,407.0","2,917.0","2,900.8","0.3","0.3","..","..","1.9","1.7","0.8","2.0"
"Lebanon","1,507.5","1,507.5","922.1","954.7","0.6","0.6","..","..","3.6","5.9","4.3","6.1"
"Liberia","1.0","1.0","0.5","0.5","0.5","0.5","..","..","-2.2","-2.3","12.4","23.6"
"Libya","1.4","1.4","0.4","0.5","0.3","0.3","..","..","14.4","15.8","..",".."
"Liechtenstein","1.0","1.0","..","..","..","..","..","..","..","..","..",".."
"Lithuania","0.9","0.8","0.4","0.5","0.5","0.5","..","..","4.3","3.3","3.7","2.7"
"Madagascar","3,116.1","3,334.1","895.5","940.1","0.3","0.3","..","..","8.3","7.3","8.3","7.3"
"Maldives","15.4","15.4","10.3","10.3","0.7","0.7","..","..","3.2","2.2","2.8","-0.1"
"Mali","582.1","555.7","217.1","216.6","0.4","0.4","..","..","2.0","2.0","1.8",".."
"Marshall Islands","1.0","1.0","0.9","0.9","0.9","0.9","..","..","1.3","1.1","..",".."
"Mauritania","35.8","35.7","10.2","10.4","0.3","0.3","..","..","3.8","3.8","2.3","3.1"
"Mauritius","34.5","33.9","16.2","16.1","0.5","0.5","..","..","1.3","1.7","3.7","3.2"
"Micronesia, Fed. Sts.","1.0","1.0","0.9","0.9","0.9","0.9","..","..","-1.2","1.0","0.5",".."
"Monaco","0.9","0.8","..","..","..","..","..","..","0.7","..","..",".."
"Mongolia","2,439.8","2,472.5","700.6","738.7","0.3","0.3","..","..","10.6","7.8","4.1","6.8"
"Montenegro","0.9","0.8","0.4","0.4","0.4","0.4","..","..","3.8","2.5","2.4","2.6"
"Mozambique","63.6","60.3","21.7","22.3","0.3","0.4","..","..","12.9","5.0","..",".."
"Myanmar","1,355.7","1,460.5","274.5","290.7","..","..","..","..","6.2","8.3","4.6","6.9"
"Namibia","13.3","13.2","6.8","7.0","0.5","0.5","..","..","9.7","6.5","6.1","4.3"
"Nepal","106.2","104.4","33.4","34.9","0.3","0.3","..","..","8.7","7.1","3.6","4.1"
"New Caledonia","..","..","..","..","..","..","..","..","..","..","..",".."
"Niger","582.1","555.7","216.0","218.2","0.4","0.4","..","..","0.9","3.3","2.8","3.0"
"Northern Mariana Islands","1.0","1.0","..","..","..","..","..","..","1.8","..","..",".."
"Oman","0.4","0.4","0.1","0.2","0.4","0.4","..","..","8.3","9.7","1.6","0.9"
"Palau","1.0","1.0","0.9","0.9","0.9","0.9","..","..","-1.1","1.9","1.3",".."
"Panama","1.0","1.0","0.6","0.6","0.6","0.6","..","..","2.0","0.7","0.9","0.8"
"Peru","3.3","3.3","1.6","1.6","0.5","0.5","..","..","3.5","2.2","2.8","1.3"
"Puerto Rico","1.0","1.0","0.8","0.8","0.8","0.8","..","..","2.6","2.0","..",".."
"Qatar","3.6","3.6","1.8","2.0","0.5","0.5","..","..","8.3","13.4","0.4","0.3"
"Rwanda","831.5","861.2","304.5","295.4","0.4","0.3","..","..","7.3","-0.8","8.3","-0.3"
"San Marino","0.9","0.9","0.7","0.7","0.8","0.8","..","..","0.9","..","1.0",".."
"Sao Tome and Principe","21.7","20.8","11.9","12.2","0.5","0.6","..","..","2.0","4.7","5.7","7.9"
"Senegal","582.1","555.7","223.8","224.0","0.4","0.4","..","..","1.6","2.3","1.3","0.5"
"Serbia","107.8","100.2","41.2","41.6","0.4","0.4","..","..","3.0","2.0","3.1","2.0"
"Seychelles","13.6","13.9","7.4","7.5","0.5","0.5","..","..","3.4","4.1","2.9","3.7"
"Sint Maarten (Dutch part)","..","..","1.4","1.4","..","..","..","..","..","..","2.2",".."
"Slovenia","0.9","0.8","0.6","0.6","0.6","0.7","..","..","1.6","2.3","1.4","1.7"
"Somalia","23,097.9","23,967.0","..","..","..","..","..","..","..","..","..",".."
"South Sudan","113.6","141.4","7.3","7.3","0.2","0.2","..","..","..","..","187.9",".."
"Sri Lanka","152.4","162.5","48.6","49.6","0.3","0.3","..","..","8.2","4.3","7.7","2.1"
"St. Martin (French part)","..","..","..","..","..","..","..","..","..","..","..",".."
"Sudan","6.7","24.4","4.1","5.0","0.6","0.2","..","..","32.9","23.9","..",".."
"Suriname","7.5","7.5","2.7","2.9","0.4","0.4","..","..","14.5","9.1","..",".."
"Eswatini","13.3","13.2","5.0","5.1","0.4","0.4","..","..","3.3","4.7","6.2","4.8"
"Syrian Arab Republic","..","..","..","..","..","..","..","..","..","..","..",".."
"Tajikistan","8.5","9.2","2.1","2.2","0.3","0.2","..","..","4.4","4.8","..",".."
"Tanzania","2,228.9","2,263.8","724.7","737.1","0.3","0.3","..","..","2.7","4.0","5.3","3.5"
"Thailand","33.9","32.3","12.5","12.4","0.4","0.4","..","..","2.1","1.4","0.7","1.1"
"Timor-Leste","1.0","1.0","0.3","0.3","0.3","0.3","..","..","9.4","0.9","0.6",".."
"Tonga","2.2","2.2","1.5","1.5","0.7","0.7","..","..","4.1","3.6","7.4",".."
"Turkey","3.6","4.8","1.4","1.6","0.4","0.3","..","..","10.8","16.2","11.1","16.3"
"Turkmenistan","3.5","3.5","1.3","1.3","0.4","0.4","..","..","-1.6","1.2","..",".."
"Turks and Caicos Islands","1.0","1.0","1.1","1.1","1.1","1.1","..","..","-2.9","0.9","..",".."
"Tuvalu","1.3","1.3","1.2","1.2","0.9","0.9","..","..","3.6","4.9","..",".."
"United Arab Emirates","3.7","3.7","2.0","2.1","0.5","0.6","..","..","6.3","6.7","2.0","3.1"
"Uzbekistan","5,113.9","8,069.6","1,405.8","1,761.4","0.3","0.2","..","..","19.4","28.1","..",".."
"Vanuatu","107.8","108.8","103.2","103.1","1.0","0.9","..","..","2.6","2.1","3.1",".."
"Vietnam","22,370.1","22,597.7","7,716.4","7,792.7","0.3","0.3","..","..","4.1","3.3","3.5","3.5"
"Virgin Islands (U.S.)","1.0","1.0","..","..","..","..","..","..","1.5","..","..",".."
"West Bank and Gaza","1.0","1.0","2.3","2.2","0.6","0.6","..","..","4.7","-0.1","0.2",".."
"Yemen, Rep.","374.3","534.0","136.3","196.2","0.4","0.4","..","..","19.9","47.2","..",".."
"Zimbabwe","1.0","1.0","0.6","0.7","0.6","0.7","..","..","6.0","28.0","0.9",".."
"Algeria","111.0","116.4","29.4","31.9","0.3","0.3","97.8","93.3","4.4","10.8","5.6","4.3"
"Antigua and Barbuda","2.7","2.7","1.7","1.7","0.6","0.6","111.0","107.9","0.1","2.5","2.4","1.2"
"Armenia","482.7","483.0","196.4","197.0","0.4","0.4","100.1","100.2","2.2","2.6","1.0","2.5"
"Australia","1.3","1.3","1.4","1.4","1.1","1.1","93.7","89.9","3.7","1.8","1.9","1.9"
"Austria","0.9","0.8","0.8","0.8","0.9","0.9","100.8","102.8","1.3","1.6","2.1","2.0"
"Bahamas, The","1.0","1.0","1.0","1.0","1.0","1.0","100.6","100.4","1.3","..","1.5","2.3"
"Bahrain","0.4","0.4","0.2","0.2","0.5","0.5","110.1","109.2","5.8","4.7","1.4","2.1"
"Belgium","0.9","0.8","0.8","0.8","0.9","0.9","99.1","101.5","1.7","1.1","2.1","2.1"
"Belize","2.0","2.0","1.2","1.1","0.6","0.6","102.5","99.8","1.6","0.3","..",".."
"Bolivia","6.9","6.9","3.1","3.1","0.4","0.5","140.1","143.3","6.1","3.1","2.8","2.3"
"Brazil","3.2","3.7","2.0","2.0","0.6","0.6","79.3","71.0","3.5","3.0","3.4","3.7"
"Bulgaria","1.7","1.7","0.7","0.7","0.4","0.4","98.0","101.3","3.4","3.6","2.1","2.8"
"Burundi","1,729.1","1,782.9","686.5","661.1","0.4","0.4","129.8","118.4","11.5","-1.5","16.1","-2.8"
"Cameroon","582.1","555.7","227.0","225.0","0.4","0.4","96.6","98.0","1.5","1.3","0.6","1.1"
"Canada","1.3","1.3","1.3","1.2","1.0","1.0","82.7","82.3","2.6","1.9","1.6","2.3"
"Central African Republic","582.1","555.7","331.0","325.2","0.6","0.6","123.4","129.0","10.4","0.5","..",".."
"Chile","648.8","641.3","402.4","404.8","0.6","0.6","95.7","97.1","5.0","2.0","2.2","2.4"
"China","6.8","6.6","3.5","3.5","0.5","0.5","120.1","121.7","3.9","2.9","1.6","2.1"
"Hong Kong SAR, China","7.8","7.8","5.8","5.9","0.7","0.8","125.2","124.4","3.0","3.7","1.5","2.4"
"Colombia","2,951.3","2,955.7","1,297.1","1,310.7","0.4","0.4","76.4","77.2","5.1","3.3","4.3","3.2"
"Congo, Dem. Rep.","1,464.4","1,622.5","769.7","979.5","0.5","0.6","101.4","111.1","43.1","30.1","..",".."
"Costa Rica","567.5","577.0","392.9","393.3","0.7","0.7","108.5","105.7","2.5","2.4","1.6","2.2"
"Cote d'Ivoire","582.1","555.7","231.1","227.0","0.4","0.4","95.1","97.2","-1.7","0.4","0.7","0.4"
"Croatia","6.6","6.3","3.4","3.4","0.5","0.5","93.6","95.3","1.1","1.7","1.1","1.5"
"Cyprus","0.9","0.8","0.6","0.6","0.7","0.7","89.0","90.2","1.7","1.6","..",".."
"Czech Republic","23.4","21.7","12.5","12.6","0.5","0.6","94.7","99.1","1.4","2.5","2.5","2.1"
"Denmark","6.6","6.3","7.0","7.0","1.1","1.1","96.1","97.2","1.4","0.6","1.1","0.8"
"Dominica","2.7","2.7","1.8","1.8","0.7","0.7","98.5","96.9","-4.6","0.9","0.4",".."
"Dominican Republic","47.6","49.5","20.9","21.3","0.4","0.4","93.2","90.1","3.7","4.2","3.3","3.6"
"Equatorial Guinea","582.1","555.7","231.1","240.9","0.4","0.4","102.3","104.1","12.7","6.6","0.7","1.1"
"Fiji","2.1","2.1","1.2","1.2","0.6","0.6","111.9","112.7","0.4","0.0","3.4","4.1"
"Finland","0.9","0.8","0.9","0.9","1.0","1.0","96.7","98.6","0.6","2.0","0.8","1.1"
"France","0.9","0.8","0.8","0.8","0.9","0.9","93.4","95.4","0.5","0.8","1.0","1.9"
"Gabon","582.1","555.7","236.4","249.1","0.4","0.4","97.7","103.0","3.8","7.8","2.7","4.7"
"Gambia, The","46.6","48.2","19.5","20.1","0.4","0.4","90.4","89.1","4.9","5.7","8.0","6.5"
"Georgia","2.5","2.5","1.0","1.0","0.4","0.4","97.7","98.1","6.1","3.6","..",".."
"Germany","0.9","0.8","0.8","0.8","0.8","0.9","94.8","97.0","1.5","1.9","1.5","1.7"
"Ghana","4.4","4.6","2.0","2.1","0.5","0.5","73.6","73.8","10.4","10.2","12.4","9.8"
"Greece","0.9","0.8","0.6","0.6","0.7","0.7","90.3","90.8","0.6","0.5","1.1","0.6"
"Grenada","2.7","2.7","1.9","1.9","0.7","0.7","97.7","95.4","1.0","2.2","0.9","0.8"
"Guyana","206.5","208.2","116.3","112.6","0.6","0.5","107.6","105.2","-0.6","-1.0","1.9","1.3"
"Hungary","274.4","270.2","136.1","140.4","0.5","0.5","90.6","90.1","3.8","4.5","2.3","2.9"
"Iceland","106.8","108.3","137.7","138.3","1.3","1.3","143.7","139.9","-0.1","2.4","1.8","2.7"
"Iran, Islamic Rep.","33,735.9","33,735.9","9,036.0","9,036.0","0.3","0.3","98.6","94.8","12.2","..","10.0",".."
"Ireland","0.9","0.8","0.8","0.8","0.9","0.9","89.8","90.7","1.1","0.8","0.3","0.5"
"Israel","3.6","3.6","3.8","3.8","1.0","1.0","108.1","106.0","0.2","1.0","0.2","0.8"
"Italy","0.9","0.8","0.7","0.7","0.8","0.8","95.3","96.8","0.5","0.8","1.2","1.1"
"Japan","112.2","110.4","102.5","101.4","0.9","0.9","75.0","74.4","-0.2","-0.1","0.5","1.0"
"Korea, Rep.","1,130.4","1,100.6","866.0","860.5","0.8","0.8","154.4","156.8","2.3","0.3","1.9","1.5"
"Latvia","0.9","0.8","0.5","0.5","0.6","0.6","99.9","102.8","3.2","4.2","2.9","2.5"
"Lesotho","13.3","13.2","5.2","5.4","0.4","0.4","79.6","80.7","2.9","6.0","5.3","4.0"
"Luxembourg","0.9","0.8","0.9","0.9","1.0","1.0","98.9","100.3","2.2","3.8","1.7","1.5"
"North Macedonia","54.7","52.1","19.4","19.4","0.4","0.4","98.6","99.8","3.4","4.3","1.4","1.5"
"Malawi","730.3","732.3","205.2","217.9","0.3","0.3","71.4","76.9","13.5","8.6","11.5","12.4"
"Malaysia","4.3","4.0","1.5","1.4","0.3","0.4","85.1","88.6","3.8","0.9","3.9","0.9"
"Malta","0.9","0.8","0.6","0.6","0.7","0.7","92.9","94.4","2.5","2.2","1.4","1.2"
"Mexico","18.9","19.2","9.0","9.4","0.5","0.5","80.9","81.0","6.8","5.3","6.0","4.9"
"Moldova","18.5","16.8","7.3","7.3","0.4","0.4","112.1","122.4","6.3","2.1","6.6","3.0"
"Morocco","9.7","9.4","3.6","3.5","0.4","0.4","98.4","99.4","0.8","1.6","0.8","1.9"
"Netherlands","0.9","0.8","0.8","0.8","0.9","0.9","97.5","99.4","1.3","2.2","1.4","1.7"
"New Zealand","1.4","1.4","1.5","1.5","1.0","1.0","107.4","102.9","2.5","1.1","1.9","1.6"
"Nicaragua","30.1","31.6","11.5","11.6","0.4","0.4","98.3","95.6","4.5","3.4","3.9","4.9"
"Nigeria","305.8","325.0","102.2","110.2","0.3","0.3","100.8","109.1","11.1","10.2","16.5","12.1"
"Norway","8.3","8.1","10.1","10.1","1.2","1.2","85.6","86.1","3.9","5.5","1.9","2.8"
"Pakistan","104.8","110.0","29.3","29.2","0.3","0.3","121.5","107.1","4.0","2.1","4.1","5.1"
"Papua New Guinea","3.2","3.3","2.0","2.1","0.6","0.6","122.3","121.4","7.6","8.3","5.4",".."
"Paraguay","5,618.9","5,732.1","2,460.7","2,480.0","0.4","0.4","109.4","113.0","2.1","3.1","3.6","4.0"
"Philippines","50.4","52.7","18.0","18.3","0.4","0.3","103.4","100.5","2.3","3.8","2.9","5.2"
"Poland","3.8","3.6","1.8","1.8","0.5","0.5","91.8","93.4","2.0","1.1","2.1","1.8"
"Portugal","0.9","0.8","0.6","0.6","0.7","0.7","96.8","97.7","1.5","1.4","1.4","1.0"
"Romania","4.1","3.9","1.6","1.7","0.4","0.4","95.1","97.7","4.7","5.9","1.3","4.6"
"Russian Federation","58.3","62.7","24.3","25.6","0.4","0.4","91.4","84.5","5.4","10.3","3.7","2.9"
"Samoa","2.5","2.6","1.6","1.6","0.6","0.6","103.3","104.3","1.0","2.9","1.7","4.2"
"Saudi Arabia","3.8","3.8","1.5","1.6","0.4","0.4","114.4","113.4","7.6","11.2","-0.8","2.5"
"Sierra Leone","7,384.4","7,931.6","2,387.7","2,586.3","0.3","0.3","112.3","102.4","14.6","10.8","18.2","16.9"
"Singapore","1.4","1.3","0.9","0.9","0.6","0.6","106.8","106.2","2.6","1.9","0.6","0.4"
"Slovak Republic","0.9","0.8","0.5","0.5","0.5","0.6","97.7","99.9","1.2","2.1","1.3","2.5"
"Solomon Islands","7.9","8.0","7.0","7.1","0.9","0.9","126.3","130.8","2.7","4.2","0.5",".."
"South Africa","13.3","13.2","6.1","6.1","0.5","0.5","79.4","80.8","5.3","3.9","5.2","4.5"
"Spain","0.9","0.8","0.6","0.6","0.7","0.8","95.5","97.5","1.2","1.0","2.0","1.7"
"St. Kitts and Nevis","2.7","2.7","1.7","1.7","0.6","0.6","100.9","96.9","2.2","1.8","0.7","-1.0"
"St. Lucia","2.7","2.7","2.0","2.0","0.7","0.7","103.1","101.9","3.4","3.0","0.1","1.9"
"St. Vincent and the Grenadines","2.7","2.7","1.6","1.6","0.6","0.6","104.1","103.9","1.0","1.0","2.2","2.3"
"Sweden","8.5","8.7","8.9","8.9","1.0","1.0","93.0","89.2","2.3","2.2","1.8","2.0"
"Switzerland","1.0","1.0","1.2","1.2","1.2","1.2","106.0","103.1","-0.4","0.6","0.5","0.9"
"Togo","582.1","555.2","214.1","211.8","0.4","0.4","94.7","95.8","1.4","1.1","-1.0","0.9"
"Trinidad and Tobago","6.8","6.8","3.5","3.5","0.5","0.5","127.9","126.3","6.0","4.3","1.9",".."
"Tunisia","2.4","2.6","0.7","0.7","0.3","0.3","84.4","79.1","5.7","6.5","5.3","7.3"
"Uganda","3,528.3","3,658.7","1,145.4","1,157.3","0.3","0.3","94.9","91.3","6.3","3.3","5.2","2.6"
"Ukraine","26.6","27.2","8.1","9.1","0.3","0.3","74.7","79.5","22.1","15.4","14.4","11.0"
"United Kingdom","0.8","0.7","0.7","0.7","0.9","0.9","97.1","98.8","2.2","1.9","2.6","2.3"
"United States","1.0","1.0","1.0","1.0","1.0","1.0","114.1","113.0","1.9","2.3","2.1","2.4"
"Uruguay","30.2","30.7","21.9","22.6","0.7","0.7","115.0","116.7","4.7","5.6","6.2","7.6"
"Venezuela, RB","..","..","..","..","..","..","740.6","740.6","..","..","..",".."
"Zambia","9.5","10.5","3.6","3.8","0.4","0.4","94.9","89.1","10.2","9.3","6.6","7.5"
