Country,Region
"Sark",""
"Chinese Taipei",""
"Saint Eustatius",""
"Saba",""
"Saint Martin",""
"AFRICA",""
"ASIA",""
"Australia/New Zealand",""
"Caribbean",""
"Central America",""
"Eastern Africa",""
"Eastern Asia",""
"Eastern Europe",""
"EUROPE",""
"LATIN AMERICA AND THE CARIBBEAN",""
"Least developed countries",""
"Less developed regions",""
"Less developed regions, excluding China",""
"Less developed regions, excluding least developed countries",""
"Melanesia",""
"Middle Africa",""
"More developed regions",""
"Northern Africa",""
"NORTHERN AMERICA",""
"Northern Europe",""
"OCEANIA",""
"Polynesia",""
"South America",""
"South-Central Asia",""
"South-Eastern Asia",""
"Southern Africa",""
"Southern Europe",""
"Sub- Saharan Africa",""
"Western Africa",""
"Western Asia",""
"Western Europe",""
"WORLD",""
"Afghanistan","Asia"
"Albania","Europe"
"Algeria","Middle East"
"Andorra","Europe"
"Angola","Africa"
"Antigua and Barbuda","Americas"
"Argentina","Americas"
"Armenia","Europe"
"Australia","Asia"
"Austria","Europe"
"Azerbaijan","Asia"
"Bahamas","Americas"
"Bahrain","Asia"
"Bangladesh","Asia"
"Barbados","Americas"
"Belarus","Europe"
"Belgium","Europe"
"Belize","Americas"
"Benin","Africa"
"Bhutan","Asia"
"Bolivia","Americas"
"Bosnia and Herzegovina","Europe"
"Botswana","Africa"
"Brazil","Americas"
"Brunei","Asia"
"Bulgaria","Europe"
"Burkina Faso","Africa"
"Burundi","Africa"
"Cambodia","Asia"
"Cameroon","Africa"
"Canada","Americas"
"Cape Verde","Africa"
"Central African Republic","Africa"
"Chad","Africa"
"Chile","Americas"
"China","Asia"
"Colombia","Americas"
"Comoros","Africa"
"Congo, Dem. Rep.","Africa"
"Congo, Rep.","Africa"
"Costa Rica","Americas"
"Cote d'Ivoire","Africa"
"Croatia","Europe"
"Cuba","Americas"
"Cyprus","Europe"
"Czech Republic","Europe"
"Denmark","Europe"
"Djibouti","Africa"
"Dominica","Americas"
"Dominican Republic","Americas"
"Ecuador","Americas"
"Egypt","Africa"
"El Salvador","Americas"
"Equatorial Guinea","Africa"
"Eritrea","Africa"
"Estonia","Europe"
"Ethiopia","Africa"
"Fiji","Asia"
"Finland","Europe"
"France","Europe"
"Gabon","Africa"
"Gambia","Africa"
"Georgia","Asia"
"Germany","Europe"
"Ghana","Africa"
"Greece","Europe"
"Grenada","Americas"
"Guatemala","Americas"
"Guinea","Africa"
"Guinea-Bissau","Africa"
"Guyana","Africa"
"Haiti","Americas"
"Honduras","Americas"
"Hong Kong, China","Asia"
"Hungary","Europe"
"Iceland","Europe"
"India","Asia"
"Indonesia","Asia"
"Iran","Asia"
"Iraq","Asia"
"Ireland","Europe"
"Israel","Asia"
"Italy","Europe"
"Jamaica","Americas"
"Japan","Asia"
"Jordan","Asia"
"Kazakhstan","Asia"
"Kenya","Africa"
"Kiribati","Asia"
"North Korea","Asia"
"South Korea","Asia"
"Kuwait","Middle East"
"Kyrgyz Republic","Asia"
"Lao","Asia"
"Latvia","Europe"
"Lebanon","Middle East"
"Lesotho","Africa"
"Liberia","Africa"
"Libya","Middle East"
"Liechtenstein","Europe"
"Lithuania","Europe"
"Luxembourg","Europe"
"Macao, China","Asia"
"Macedonia, FYR","Europe"
"Madagascar","Africa"
"Malawi","Africa"
"Malaysia","Asia"
"Maldives","Asia"
"Mali","Africa"
"Malta","Europe"
"Marshall Islands","Asia"
"Mauritania","Africa"
"Mauritius","Africa"
"Mexico","Americas"
"Micronesia, Fed. Sts.","Asia"
"Moldova","Europe"
"Monaco","Europe"
"Mongolia","Asia"
"Montenegro","Europe"
"Morocco","Middle East"
"Mozambique","Africa"
"Myanmar","Asia"
"Namibia","Africa"
"Nauru","Asia"
"Nepal","Asia"
"Netherlands","Europe"
"New Zealand","Asia"
"Nicaragua","Americas"
"Niger","Africa"
"Nigeria","Africa"
"Norway","Europe"
"Oman","Middle East"
"Pakistan","Asia"
"Palau","Asia"
"Panama","Americas"
"Papua New Guinea","Asia"
"Paraguay","Americas"
"Peru","Americas"
"Philippines","Asia"
"Poland","Europe"
"Portugal","Europe"
"Qatar","Middle East"
"Romania","Europe"
"Russia","Europe"
"Rwanda","Africa"
"St. Kitts and Nevis","Americas"
"St. Lucia","Americas"
"St. Vincent and the Grenadines","Americas"
"Samoa","Asia"
"San Marino","Europe"
"Sao Tome and Principe","Africa"
"Saudi Arabia","Middle East"
"Senegal","Africa"
"Serbia","Europe"
"Seychelles","Africa"
"Sierra Leone","Africa"
"Singapore","Asia"
"Slovak Republic","Europe"
"Slovenia","Europe"
"Solomon Islands","Asia"
"Somalia","Africa"
"South Africa","Africa"
"Spain","Europe"
"Sri Lanka","Asia"
"Sudan","Middle East"
"Suriname","Americas"
"Swaziland","Africa"
"Sweden","Europe"
"Switzerland","Europe"
"Syria","Middle East"
"Taiwan","Asia"
"Tajikistan","Asia"
"Tanzania","Africa"
"Thailand","Asia"
"Timor-Leste","Asia"
"Togo","Africa"
"Tonga","Asia"
"Trinidad and Tobago","Americas"
"Tunisia","Middle East"
"Turkey","Europe"
"Turkmenistan","Asia"
"Tuvalu","Asia"
"Uganda","Africa"
"Ukraine","Europe"
"United Arab Emirates","Middle East"
"United Kingdom","Europe"
"United States","Americas"
"Uruguay","Americas"
"Uzbekistan","Asia"
"Vanuatu","Asia"
"Venezuela","Americas"
"Vietnam","Asia"
"Yemen","Middle East"
"Zambia","Africa"
"Zimbabwe","Africa"
"South Sudan","Africa"
"Central African Rep.","Africa"
"Czech Rep.","Europe"
"Dominican Rep.","Americas"
"Korea, Dem. Rep.","Asia"
"Korea, Rep.","Asia"
"Kyrgyzstan","Asia"
"Laos","Asia"
"Saint Lucia","Americas"
"Saint Vincent and the Grenadines","Americas"
"Yemen, Rep.","Middle East"
"GuineaBissau","Africa"
"TimorLeste","Asia"
"Saint Kitts and Nevis","Americas"
"Micronesia","Asia"
