Country,Happiness Rank,Happiness Score,GPD,Social Support,Freedom,Trust (Government Corruption),Generosity,Year,max_happ,min_happ,Life Expectancy
Colombia,33.0,6.477,0.91861,1.24018,0.53466,0.0512,0.18401,2015,7.808700085,2.566900015,0.69077
Tunisia,98.0,5.045,0.97724,0.43165,0.23553,0.0817,0.03936,2016,7.808700085,2.566900015,0.73793
Israel,13.0,7.139,1.276,1.455,0.371,0.082,0.261,2019,7.808700085,2.566900015,0.91387
Slovenia,62.0,5.75799989700317,1.3412059545517,1.45251882076263,0.572575807571411,0.0451289787888527,0.242649093270302,2017,7.808700085,2.566900015,0.87337
United Kingdom,11.0,7.19,1.244,1.433,0.464,0.082,0.262,2018,7.808700085,2.566900015,0.90943
Mauritius,55.0,5.891,1.09,1.387,0.584,0.05,0.245,2018,7.808700085,2.566900015,0.7095
Kosovo,46.0,6.1,0.882,1.232,0.489,0.006,0.262,2019,7.808700085,2.566900015,0.63132
Madagascar,,4.165599823,,0.668195903,0.557574093,0.817485631,-0.011823639,2020,7.808700085,2.566900015,0.46721
Hong Kong,75.0,5.458,1.5107,0.87021,0.48079,0.31647,0.40097,2016,7.808700085,2.566900015,1.01328
Mexico,,6.465000153,,0.838665426,0.858709276,0.806821585,-0.175266623,2020,7.808700085,2.566900015,0.81444
Zambia,138.0,4.107,0.578,1.058,0.431,0.087,0.247,2019,7.808700085,2.566900015,0.29924
Uganda,135.0,4.161,0.322,1.09,0.45,0.061,0.259,2018,7.808700085,2.566900015,0.33861
Turkmenistan,87.0,5.247,1.052,1.538,0.394,0.028,0.244,2019,7.808700085,2.566900015,0.53886
Nicaragua,43.0,6.07100009918213,0.737299203872681,1.28721570968628,0.447551846504211,0.130687981843948,0.301674216985703,2017,7.808700085,2.566900015,0.74314
Central African Republic,155.0,3.083,0.024,0.0,0.305,0.038,0.218,2018,7.808700085,2.566900015,0.06699
Tajikistan,96.0,5.04099988937378,0.524713635444641,1.27146327495575,0.471566706895828,0.146377146244049,0.248997643589973,2017,7.808700085,2.566900015,0.57379
North Cyprus,62.0,5.771,1.31141,0.81826,0.43596,0.16578,0.26322,2016,7.808700085,2.566900015,0.92356
United States,13.0,7.104,1.50796,1.04782,0.48163,0.14868,0.41077,2016,7.808700085,2.566900015,0.86179
Rwanda,152.0,3.515,0.32846,0.61586,0.5432,0.50521,0.23552,2016,7.808700085,2.566900015,0.42864
Egypt,,4.151400089,,0.735447824,0.708354175,0.787726879,-0.196878314,2020,7.808700085,2.566900015,0.61712
Croatia,62.0,5.759,1.08254,0.79624,0.25883,0.0243,0.05444,2015,7.808700085,2.566900015,0.78805
Belarus,67.0,5.56899976730347,1.15655755996704,1.44494521617889,0.295400261878967,0.156313821673393,0.15513750910759,2017,7.808700085,2.566900015,0.73608
Iraq,117.0,4.456,1.01,0.971,0.304,0.095,0.148,2018,7.808700085,2.566900015,0.60237
Morocco,90.0,5.151,0.84058,0.38595,0.25646,0.08404,0.04053,2016,7.808700085,2.566900015,0.60954
Slovakia,45.0,5.995,1.16891,1.26999,0.31751,0.03431,0.16893,2015,7.808700085,2.566900015,0.78902
Panama,30.0,6.4520001411438,1.23374843597412,1.37319254875183,0.550026834011078,0.070983923971653,0.21055693924427,2017,7.808700085,2.566900015,0.79661
South Sudan,143.0,3.832,0.39394,0.18519,0.19662,0.13015,0.25899,2016,7.808700085,2.566900015,
Paraguay,63.0,5.743,0.855,1.475,0.514,0.08,0.184,2019,7.808700085,2.566900015,0.66098
Bulgaria,134.0,4.218,1.01216,1.10614,0.30587,0.00872,0.11921,2015,7.808700085,2.566900015,0.76649
Lesotho,144.0,3.802,0.489,1.169,0.359,0.093,0.107,2019,7.808700085,2.566900015,0.07612
Russia,,5.546000004,,0.903150737,0.729892612,0.864802599,-0.151153743,2020,7.808700085,2.566900015,0.66926
Ecuador,48.0,5.973,0.889,1.33,0.556,0.12,0.114,2018,7.808700085,2.566900015,0.79075
Cyprus,,6.15899992,,0.805996239,0.779858291,0.856271744,0.043731496,2020,7.808700085,2.566900015,0.92356
Portugal,66.0,5.693,1.221,1.431,0.508,0.025,0.047,2019,7.808700085,2.566900015,0.87519
Sri Lanka,120.0,4.44000005722046,1.00985014438629,1.25997638702393,0.561213254928589,0.0736539661884308,0.490863561630249,2017,7.808700085,2.566900015,0.70806
Liberia,149.0,3.495,0.076,0.858,0.419,0.03,0.206,2018,7.808700085,2.566900015,0.34201
Congo (Kinshasa),132.0,4.245,0.069,1.136,0.312,0.052,0.197,2018,7.808700085,2.566900015,0.09806
Senegal,115.0,4.53499984741211,0.479309022426605,1.17969191074371,0.377922266721725,0.115460447967052,0.183468893170357,2017,7.808700085,2.566900015,0.4354
New Zealand,8.0,7.324,1.268,1.601,0.669,0.389,0.365,2018,7.808700085,2.566900015,0.90837
Malta,22.0,6.726,1.3,1.52,0.564,0.151,0.375,2019,7.808700085,2.566900015,0.88721
Malawi,150.0,3.41,0.191,0.56,0.443,0.089,0.218,2019,7.808700085,2.566900015,0.22562
Poland,40.0,6.182,1.206,1.438,0.483,0.05,0.117,2019,7.808700085,2.566900015,0.77903
Malawi,136.0,3.97000002861023,0.233442038297653,0.512568831443787,0.466914653778076,0.0727116540074348,0.287170469760895,2017,7.808700085,2.566900015,0.22562
Zimbabwe,131.0,4.193,0.35041,0.71478,0.25429,0.08582,0.18503,2016,7.808700085,2.566900015,0.33475
Liberia,116.0,4.571,0.0712,0.78968,0.28531,0.06232,0.24362,2015,7.808700085,2.566900015,0.34201
Kuwait,45.0,6.083,1.474,1.301,0.554,0.106,0.167,2018,7.808700085,2.566900015,0.72492
Japan,58.0,5.886,1.327,1.419,0.445,0.14,0.069,2019,7.808700085,2.566900015,0.99111
Swaziland,101.0,4.867,0.71206,1.07284,0.30658,0.0306,0.18259,2015,7.808700085,2.566900015,0.07566
Tunisia,107.0,4.739,0.88113,0.60429,0.26268,0.06358,0.06431,2015,7.808700085,2.566900015,0.73793
Romania,86.0,5.124,1.04345,0.88588,0.35068,0.00649,0.13748,2015,7.808700085,2.566900015,0.7689
South Korea,,5.872399807,,0.799387157,0.612965107,0.789067447,-0.043404032,2020,7.808700085,2.566900015,0.96538
Albania,107.0,4.719,0.947,0.848,0.383,0.027,0.178,2019,7.808700085,2.566900015,0.81325
Albania,95.0,4.959,0.87867,0.80434,0.35733,0.06413,0.14272,2015,7.808700085,2.566900015,0.81325
Nigeria,91.0,5.155,0.689,1.172,0.462,0.032,0.201,2018,7.808700085,2.566900015,0.16007
Kazakhstan,54.0,5.919,1.22943,0.95544,0.4052,0.11132,0.15011,2016,7.808700085,2.566900015,0.64368
