Interaction Type,Attribute Name,Attribute Type
"ConfirmationRequest","ChannelMessageId","string"
"ConfirmationRequest","RequestType","string"
"ConfirmationRequest","RequestObjectId","string"
"ConfirmationRequest","RequestObjectName","string"
"ConfirmationRequest","RequestObjectValue","string"
"ConfirmationRequest","MessageId","string"
"ConfirmationRequest","SendingId","string"
"ConfirmationRequest","VisitorId","string"
"ConfirmationRequest","SessionId","string"
"ConfirmationRequest","CountryIsoCode","string"
"ConfirmationRequest","State","string"
"ConfirmationRequest","City","string"
"ConfirmationRequest","PostalCode","string"
"ConfirmationRequest","BrowserId","string"
"ConfirmationRequest","BrowserVersion","string"
"ConfirmationRequest","OperatingSystemId","string"
"ConfirmationRequest","OperatingSystemVersion","string"
"ConfirmationRequest","CustomerJourneyId","string"
"ConfirmationRequest","CustomerJourneyIterationId","string"
"ConfirmationRequest","ActivityId","string"
"ConfirmationResponse","ConfirmationRequestId","string"
"ConfirmationResponse","ContactId","string"
"ConfirmationResponse","AccountId","string"
"ConfirmationResponse","ConfirmationValue","string"
"ConfirmationResponse","MessageId","string"
"ConfirmationResponse","SendingId","string"
"ConfirmationResponse","VisitorId","string"
"ConfirmationResponse","SessionId","string"
"ConfirmationResponse","CountryIsoCode","string"
"ConfirmationResponse","State","string"
"ConfirmationResponse","City","string"
"ConfirmationResponse","PostalCode","string"
"ConfirmationResponse","BrowserId","string"
"ConfirmationResponse","BrowserVersion","string"
"ConfirmationResponse","OperatingSystemId","string"
"ConfirmationResponse","OperatingSystemVersion","string"
"ConfirmationResponse","CustomerJourneyId","string"
"ConfirmationResponse","CustomerJourneyIterationId","string"
"ConfirmationResponse","ActivityId","string"
"ContactDeleted","DeletedContactId","string"
"CreateCrmActivityContactProcessed","ActivityId","string"
"CreateCrmActivityContactProcessed","CustomerJourneyId","string"
"CreateCrmActivityContactProcessed","ContactId","string"
"CreateCrmActivityContactProcessed","AccountId","string"
"CreateCrmActivityContactProcessed","WorkflowId","string"
"CreateCrmActivityContactProcessed","CustomerJourneyIterationId","string"
"CreateCustomChannelActivityContactProcessed","ActivityId","string"
"CreateCustomChannelActivityContactProcessed","CustomerJourneyId","string"
"CreateCustomChannelActivityContactProcessed","ContactId","string"
"CreateCustomChannelActivityContactProcessed","AccountId","string"
"CreateCustomChannelActivityContactProcessed","WorkflowId","string"
"CreateCustomChannelActivityContactProcessed","CustomerJourneyIterationId","string"
"CreateLeadActivityContactProcessed","ActivityId","string"
"CreateLeadActivityContactProcessed","CustomerJourneyId","string"
"CreateLeadActivityContactProcessed","ContactId","string"
"CreateLeadActivityContactProcessed","AccountId","string"
"CreateLeadActivityContactProcessed","WorkflowId","string"
"CreateLeadActivityContactProcessed","CustomerJourneyIterationId","string"
"CustomChannelResponse","ActivityId","string"
"CustomChannelResponse","CustomerJourneyId","string"
"CustomChannelResponse","CustomerJourneyIterationId","string"
"CustomChannelResponse","ContactId","string"
"CustomChannelResponse","AccountId","string"
"CustomChannelResponse","EntityId","string"
"CustomChannelResponse","EntityType","string"
"CustomChannelResponse","WorkflowId","string"
"CustomChannelResponse","ResponseType","string"
"CustomChannelResponse","TriggerKeyword","string"
"CustomerJourneyContactRecordUpdated","CustomerJourneyId","string"
"CustomerJourneyContactRecordUpdated","CustomerJourneyIterationId","string"
"CustomerJourneyContactRecordUpdated","ContactId","string"
"CustomerJourneyContactRecordUpdated","AccountId","string"
"CustomerJourneyContactRecordUpdated","ActivityId","string"
"CustomerJourneyIterationStarted","CustomerJourneyId","string"
"CustomerJourneyIterationStarted","CustomerJourneyIterationId","string"
"DomainNotOwnedByAnyone","SendingId","string"
"DomainNotOwnedByAnyone","ContactId","string"
"DomainNotOwnedByAnyone","AccountId","string"
"DomainNotOwnedByAnyone","MessageId","string"
"DomainNotOwnedByAnyone","CustomerJourneyId","string"
"DomainNotOwnedByAnyone","CustomerJourneyIterationId","string"
"DomainNotOwnedByAnyone","UsageType","string"
"DomainNotOwnedByAnyone","BlockedReason","string"
"DomainOwnedByDifferentOrganization","SendingId","string"
"DomainOwnedByDifferentOrganization","ContactId","string"
"DomainOwnedByDifferentOrganization","AccountId","string"
"DomainOwnedByDifferentOrganization","MessageId","string"
"DomainOwnedByDifferentOrganization","CustomerJourneyId","string"
"DomainOwnedByDifferentOrganization","CustomerJourneyIterationId","string"
"DomainOwnedByDifferentOrganization","UsageType","string"
"DomainOwnedByDifferentOrganization","BlockedReason","string"
"EmailBlockBounced","SendingId","string"
"EmailBlockBounced","ContactId","string"
"EmailBlockBounced","AccountId","string"
"EmailBlockBounced","MessageId","string"
"EmailBlockBounced","CustomerJourneyId","string"
"EmailBlockBounced","CustomerJourneyIterationId","string"
"EmailBlockBounced","UsageType","string"
"EmailBlockBounced","BounceCategory","string"
"EmailBlockBounced","ActivityId","string"
"EmailBlocked","SendingId","string"
"EmailBlocked","ContactId","string"
"EmailBlocked","AccountId","string"
"EmailBlocked","MessageId","string"
"EmailBlocked","CustomerJourneyId","string"
"EmailBlocked","UsageType","string"
"EmailBlocked","BlockedReason","string"
"EmailBlocked","CustomerJourneyIterationId","string"
"EmailBlocked","ActivityId","string"
"EmailBlockedByUnsubscription","SendingId","string"
"EmailBlockedByUnsubscription","ContactId","string"
"EmailBlockedByUnsubscription","AccountId","string"
"EmailBlockedByUnsubscription","MessageId","string"
"EmailBlockedByUnsubscription","CustomerJourneyId","string"
"EmailBlockedByUnsubscription","UsageType","string"
"EmailBlockedByUnsubscription","CustomerJourneyIterationId","string"
"EmailBlockedByUnsubscription","ActivityId","string"
"EmailBlockedByUser","SendingId","string"
"EmailBlockedByUser","ContactId","string"
"EmailBlockedByUser","AccountId","string"
"EmailBlockedByUser","MessageId","string"
"EmailBlockedByUser","CustomerJourneyId","string"
"EmailBlockedByUser","UsageType","string"
"EmailBlockedByUser","CustomerJourneyIterationId","string"
"EmailBlockedByUser","ActivityId","string"
"EmailBlockedDuplicateAddress","SendingId","string"
"EmailBlockedDuplicateAddress","ContactId","string"
"EmailBlockedDuplicateAddress","AccountId","string"
"EmailBlockedDuplicateAddress","MessageId","string"
"EmailBlockedDuplicateAddress","CustomerJourneyId","string"
"EmailBlockedDuplicateAddress","UsageType","string"
"EmailBlockedDuplicateAddress","CustomerJourneyIterationId","string"
"EmailBlockedDuplicateAddress","ActivityId","string"
"EmailBlockedExternalConsentFailure","SendingId","string"
"EmailBlockedExternalConsentFailure","ContactId","string"
"EmailBlockedExternalConsentFailure","AccountId","string"
"EmailBlockedExternalConsentFailure","MessageId","string"
"EmailBlockedExternalConsentFailure","CustomerJourneyId","string"
"EmailBlockedExternalConsentFailure","UsageType","string"
"EmailBlockedExternalConsentFailure","CustomerJourneyIterationId","string"
"EmailBlockedExternalConsentFailure","ActivityId","string"
"EmailBlockedInactiveContact","SendingId","string"
"EmailBlockedInactiveContact","ContactId","string"
"EmailBlockedInactiveContact","AccountId","string"
"EmailBlockedInactiveContact","MessageId","string"
"EmailBlockedInactiveContact","CustomerJourneyId","string"
"EmailBlockedInactiveContact","UsageType","string"
"EmailBlockedInactiveContact","CustomerJourneyIterationId","string"
"EmailBlockedInactiveContact","ActivityId","string"
"EmailBlockedMissingContactData","SendingId","string"
"EmailBlockedMissingContactData","ContactId","string"
"EmailBlockedMissingContactData","AccountId","string"
"EmailBlockedMissingContactData","MessageId","string"
"EmailBlockedMissingContactData","CustomerJourneyId","string"
"EmailBlockedMissingContactData","UsageType","string"
"EmailBlockedMissingContactData","CustomerJourneyIterationId","string"
"EmailBlockedMissingContactData","ActivityId","string"
"EmailBlockedMissingRelatedData","SendingId","string"
"EmailBlockedMissingRelatedData","ContactId","string"
"EmailBlockedMissingRelatedData","AccountId","string"
"EmailBlockedMissingRelatedData","MessageId","string"
"EmailBlockedMissingRelatedData","CustomerJourneyId","string"
"EmailBlockedMissingRelatedData","UsageType","string"
"EmailBlockedMissingRelatedData","CustomerJourneyIterationId","string"
"EmailBlockedMissingRelatedData","ActivityId","string"
"EmailClicked","LinkId","string"
"EmailClicked","ContactId","string"
"EmailClicked","AccountId","string"
"EmailClicked","LinkFriendlyName","string"
"EmailClicked","OriginalLink","string"
"EmailClicked","OriginalUrl","string"
"EmailClicked","MessageId","string"
"EmailClicked","SendingId","string"
"EmailClicked","EmailDomain","string"
"EmailClicked","EmailAddressUsed","string"
"EmailClicked","VisitorId","string"
"EmailClicked","SessionId","string"
"EmailClicked","CountryIsoCode","string"
"EmailClicked","State","string"
"EmailClicked","City","string"
"EmailClicked","PostalCode","string"
"EmailClicked","BrowserId","string"
"EmailClicked","BrowserVersion","string"
"EmailClicked","OperatingSystemId","string"
"EmailClicked","OperatingSystemVersion","string"
"EmailClicked","CustomerJourneyId","string"
"EmailClicked","CustomerJourneyIterationId","string"
"EmailClicked","UsageType","string"
"EmailClicked","ActivityId","string"
"EmailClicked","VisitorAnonymousStatus","string"
"EmailClicked","LeadId","string"
"EmailContainsBlacklistedLinks","SendingId","string"
"EmailContainsBlacklistedLinks","BlacklistedLink","string"
"EmailContainsBlacklistedLinks","ContactId","string"
"EmailContainsBlacklistedLinks","AccountId","string"
"EmailContainsBlacklistedLinks","MessageId","string"
"EmailContainsBlacklistedLinks","CustomerJourneyId","string"
"EmailContainsBlacklistedLinks","CustomerJourneyIterationId","string"
"EmailContainsBlacklistedLinks","UsageType","string"
"EmailContainsBlacklistedLinks","ActivityId","string"
"EmailDelivered","SendingId","string"
"EmailDelivered","ContactId","string"
"EmailDelivered","AccountId","string"
"EmailDelivered","MessageId","string"
"EmailDelivered","CustomerJourneyId","string"
"EmailDelivered","CustomerJourneyIterationId","string"
"EmailDelivered","UsageType","string"
"EmailDelivered","ActivityId","string"
"EmailDelivered","EmailDomain","string"
"EmailDelivered","EmailAddressUsed","string"
"EmailFeedbackLoop","SendingId","string"
"EmailFeedbackLoop","ContactId","string"
"EmailFeedbackLoop","AccountId","string"
"EmailFeedbackLoop","MessageId","string"
"EmailFeedbackLoop","CustomerJourneyId","string"
"EmailFeedbackLoop","CustomerJourneyIterationId","string"
"EmailFeedbackLoop","UsageType","string"
"EmailFeedbackLoop","ActivityId","string"
"EmailForwarded","MessageId","string"
"EmailForwarded","SendingId","string"
"EmailForwarded","EmailDomain","string"
"EmailForwarded","EmailAddressUsed","string"
"EmailForwarded","CustomerJourneyId","string"
"EmailForwarded","CustomerJourneyIterationId","string"
"EmailForwarded","UsageType","string"
"EmailForwarded","SecondaryRecipientProfileId","string"
"EmailForwarded","VisitorId","string"
"EmailForwarded","SessionId","string"
"EmailForwarded","ContactId","string"
"EmailForwarded","AccountId","string"
"EmailForwarded","CountryIsoCode","string"
"EmailForwarded","State","string"
"EmailForwarded","City","string"
"EmailForwarded","PostalCode","string"
"EmailForwarded","BrowserId","string"
"EmailForwarded","BrowserVersion","string"
"EmailForwarded","OperatingSystemId","string"
"EmailForwarded","OperatingSystemVersion","string"
"EmailForwarded","SearchPhrase","string"
"EmailForwarded","SearchEngineName","string"
"EmailForwarded","VisitorReturningStatus","string"
"EmailForwarded","VisitDuration","string"
"EmailForwarded","FormSubmissionId","string"
"EmailForwarded","VisitorAnonymousStatus","string"
"EmailForwarded","LeadId","string"
"EmailHardBounced","SendingId","string"
"EmailHardBounced","ContactId","string"
"EmailHardBounced","AccountId","string"
"EmailHardBounced","MessageId","string"
"EmailHardBounced","CustomerJourneyId","string"
"EmailHardBounced","CustomerJourneyIterationId","string"
"EmailHardBounced","UsageType","string"
"EmailHardBounced","BounceCategory","string"
"EmailHardBounced","RemoteBounce","string"
"EmailHardBounced","ActivityId","string"
"EmailHardBounced","EmailDomain","string"
"EmailHardBounced","EmailAddressUsed","string"
"EmailHardRemoteBounced","SendingId","string"
"EmailHardRemoteBounced","ContactId","string"
"EmailHardRemoteBounced","AccountId","string"
"EmailHardRemoteBounced","MessageId","string"
"EmailHardRemoteBounced","CustomerJourneyId","string"
"EmailHardRemoteBounced","CustomerJourneyIterationId","string"
"EmailHardRemoteBounced","UsageType","string"
"EmailHardRemoteBounced","BounceCategory","string"
"EmailHardRemoteBounced","RemoteBounce","string"
"EmailHardRemoteBounced","ActivityId","string"
"EmailHardRemoteBounced","EmailDomain","string"
"EmailHardRemoteBounced","EmailAddressUsed","string"
"EmailOpened","ContactId","string"
"EmailOpened","AccountId","string"
"EmailOpened","MessageId","string"
"EmailOpened","SendingId","string"
"EmailOpened","EmailDomain","string"
"EmailOpened","EmailAddressUsed","string"
"EmailOpened","CustomerJourneyId","string"
"EmailOpened","CustomerJourneyIterationId","string"
"EmailOpened","UsageType","string"
"EmailOpened","VisitorId","string"
"EmailOpened","SessionId","string"
"EmailOpened","CountryIsoCode","string"
"EmailOpened","State","string"
"EmailOpened","City","string"
"EmailOpened","PostalCode","string"
"EmailOpened","BrowserId","string"
"EmailOpened","BrowserVersion","string"
"EmailOpened","OperatingSystemId","string"
"EmailOpened","OperatingSystemVersion","string"
"EmailOpened","ActivityId","string"
"EmailOpened","VisitorAnonymousStatus","string"
"EmailOpened","LeadId","string"
"EmailSendingFailed","SendingId","string"
"EmailSendingFailed","ContactId","string"
"EmailSendingFailed","AccountId","string"
"EmailSendingFailed","MessageId","string"
"EmailSendingFailed","CustomerJourneyId","string"
"EmailSendingFailed","CustomerJourneyIterationId","string"
"EmailSendingFailed","UsageType","string"
"EmailSent","SendingId","string"
"EmailSent","ContactId","string"
"EmailSent","AccountId","string"
"EmailSent","MessageId","string"
"EmailSent","CustomerJourneyId","string"
"EmailSent","CustomerJourneyIterationId","string"
"EmailSent","UsageType","string"
"EmailSent","EmailAddressUsed","string"
"EmailSent","EmailDomain","string"
"EmailSent","ActivityId","string"
"EmailSoftBounced","SendingId","string"
"EmailSoftBounced","ContactId","string"
"EmailSoftBounced","AccountId","string"
"EmailSoftBounced","MessageId","string"
"EmailSoftBounced","CustomerJourneyId","string"
"EmailSoftBounced","CustomerJourneyIterationId","string"
"EmailSoftBounced","UsageType","string"
"EmailSoftBounced","BounceCategory","string"
"EmailSoftBounced","RemoteBounce","string"
"EmailSoftBounced","ActivityId","string"
"EmailSoftBounced","EmailDomain","string"
"EmailSoftBounced","EmailAddressUsed","string"
"EmailSoftRemoteBounced","SendingId","string"
"EmailSoftRemoteBounced","ContactId","string"
"EmailSoftRemoteBounced","AccountId","string"
"EmailSoftRemoteBounced","MessageId","string"
"EmailSoftRemoteBounced","CustomerJourneyId","string"
"EmailSoftRemoteBounced","CustomerJourneyIterationId","string"
"EmailSoftRemoteBounced","UsageType","string"
"EmailSoftRemoteBounced","BounceCategory","string"
"EmailSoftRemoteBounced","RemoteBounce","string"
"EmailSoftRemoteBounced","ActivityId","string"
"EmailSoftRemoteBounced","EmailDomain","string"
"EmailSoftRemoteBounced","EmailAddressUsed","string"
"EmailSubscriptionSubmit","SendingId","string"
"EmailSubscriptionSubmit","ContactId","string"
"EmailSubscriptionSubmit","AccountId","string"
"EmailSubscriptionSubmit","MessageId","string"
"EmailSubscriptionSubmit","CustomerJourneyId","string"
"EmailSubscriptionSubmit","CustomerJourneyIterationId","string"
"EmailSubscriptionSubmit","UsageType","string"
"EmailSubscriptionSubmit","CountryIsoCode","string"
"EmailSubscriptionSubmit","State","string"
"EmailSubscriptionSubmit","City","string"
"EmailSubscriptionSubmit","PostalCode","string"
"EmailSubscriptionSubmit","BrowserId","string"
"EmailSubscriptionSubmit","BrowserVersion","string"
"EmailSubscriptionSubmit","OperatingSystemId","string"
"EmailSubscriptionSubmit","OperatingSystemVersion","string"
"EmailSubscriptionSubmit","DeviceType","string"
"EmailSubscriptionSubmit","DeviceBrand","string"
"EmailSubscriptionSubmit","DeviceModel","string"
"EntityDeleted","DeletedEntityType","string"
"EntityDeleted","DeletedEntityId","string"
"EventCheckIn","EventId","string"
"EventCheckIn","EventCheckInId","string"
"EventCheckIn","ContactId","string"
"EventCheckIn","AccountId","string"
"EventCheckIn","CustomerJourneyId","string"
"EventRegistration","EventId","string"
"EventRegistration","EventRegistrationId","string"
"EventRegistration","ContactId","string"
"EventRegistration","AccountId","string"
"EventRegistration","CustomerJourneyId","string"
"EventRegistrationCanceled","EventId","string"
"EventRegistrationCanceled","ContactId","string"
