Location ID,Name,County,State Code,State,Type,Latitude,Longitude,Area Code,Population,Households,Median Income,Land Area,Water Area,Time Zone
"A131","St. Petersburg","Pinellas County","FL","Florida","City",27.77086,-82.67927,727,257083,105443,45748,159935822,196559588,"America/New York"
"A132","Tallahassee","Leon County","FL","Florida","City",30.43826,-84.28073,850,189907,74388,39681,260089732,8300437,"America/New York"
"A133","Tampa","Hillsborough County","FL","Florida","City",27.94752,-82.45843,813,369075,142232,44185,293748385,160056620,"America/New York"
"A134","West Palm Beach","Palm Beach County","FL","Florida","City",26.71534,-80.05337,561,106779,41474,45800,142798170,6628847,"America/New York"
"A136","Atlanta","DeKalb County/Fulton County","GA","Georgia","City",33.76291,-84.42267,678,463878,185820,47527,345684978,2311315,"America/New York"
"A138","Columbus","Muscogee County","GA","Georgia","City",32.46098,-84.98771,706,200579,72760,42306,560530243,11873622,"America/New York"
"A140","Sandy Springs","Fulton County","GA","Georgia","City",33.92427,-84.37854,678,105330,43058,63917,97526360,2245984,"America/New York"
"A141","Savannah","Chatham County","GA","Georgia","City",32.08354,-81.09983,912,145674,52798,36466,268318796,13908113,"America/New York"
"A142","Boston","Suffolk County","MA","Massachusetts","City",42.35843,-71.05977,857,667137,256294,55777,125219114,106849577,"America/New York"
"A143","Cambridge","Middlesex County","MA","Massachusetts","City",42.3751,-71.10561,857,110402,43801,79416,16556713,1861901,"America/New York"
"A144","Lowell","Middlesex County","MA","Massachusetts","City",42.63342,-71.31617,351,110699,38489,48002,35187375,2442614,"America/New York"
"A145","Springfield","Hampden County","MA","Massachusetts","City",42.10148,-72.58981,413,154341,55644,34728,82538680,3142825,"America/New York"
"A146","Worcester","Worcester County","MA","Massachusetts","City",42.26259,-71.80229,774,184815,68576,45472,96758525,2814766,"America/New York"
"A147","Baltimore","Baltimore city","MD","Maryland","City",39.29038,-76.61219,410,621849,242268,42241,209643557,28767622,"America/New York"
"A150","Charlotte","Mecklenburg County","NC","North Carolina","City",35.22709,-80.84313,704,827097,305488,53637,790925550,5215849,"America/New York"
"A151","Durham","Durham County/Orange County/Wake County","NC","North Carolina","City",35.98115,-78.90293,919,257636,100513,50420,284339132,2323182,"America/New York"
"A152","Fayetteville","Cumberland County","NC","North Carolina","City",35.05266,-78.87836,910,201963,78439,43630,382659645,4765966,"America/New York"
"A153","Greensboro","Guilford County","NC","North Carolina","City",36.07264,-79.79198,336,285342,114080,41628,332338206,13707999,"America/New York"
"A154","High Point","Davidson County/Randolph County/Forsyth County/Guilford County","NC","North Carolina","City",35.98998,-79.99047,336,110268,40973,42299,142972062,3925954,"America/New York"
"A155","Raleigh","Durham County/Wake County","NC","North Carolina","City",35.8306,-78.64177,919,451066,170366,55398,375740493,2876470,"America/New York"
"A156","Wilmington","New Hanover County","NC","North Carolina","City",34.22573,-77.94471,910,115933,48425,42128,133663628,3951737,"America/New York"
"A157","Winston-Salem","Forsyth County","NC","North Carolina","City",36.09986,-80.24422,336,241218,93267,39882,343173025,3173027,"America/New York"
"A158","Manchester","Hillsborough County","NH","New Hampshire","City",42.99564,-71.45479,603,110229,45145,54282,85627013,4850146,"America/New York"
"A160","Elizabeth","Union County","NJ","New Jersey","City",40.66399,-74.2107,908,129007,39433,43568,31905474,3459587,"America/New York"
"A161","Jersey City","Hudson County","NJ","New Jersey","City",40.72816,-74.07764,551,264290,99058,59537,38318201,16417392,"America/New York"
"A162","Newark","Essex County","NJ","New Jersey","City",40.73566,-74.17237,973,281944,92675,33139,62531085,4509710,"America/New York"
"A163","Paterson","Passaic County","NJ","New Jersey","City",40.91677,-74.17181,973,147754,43037,32915,21790122,762701,"America/New York"
"A169","Buffalo","Erie County","NY","New York","City",42.88645,-78.87837,716,258071,110549,31918,104592941,31362925,"America/New York"
"A174","New York City","Richmond County/Queens County/Kings County/New York County/Bronx County","NY","New York","City",40.66347,-73.9387,718,8550405,3113535,53373,780785193,431834008,"America/New York"
"A179","Rochester","Monroe County","NY","New York","City",43.15478,-77.61556,716,209802,85741,30960,92678538,3546651,"America/New York"
"A182","Syracuse","Onondaga County","NY","New York","City",43.04812,-76.14742,315,144142,54781,31881,64867329,1463257,"America/New York"
"A184","Yonkers","Westchester County","NY","New York","City",40.93121,-73.89875,914,201116,73073,59049,46651457,5916223,"America/New York"
"A185","Providence","Providence County","RI","Rhode Island","City",41.82399,-71.41283,401,179207,61481,37501,47655935,5618032,"America/New York"
"A186","Charleston","Berkeley County/Charleston County","SC","South Carolina","City",32.81793,-79.95896,843,132609,52450,55546,282372739,47927393,"America/New York"
"A187","Columbia","Lexington County/Richland County","SC","South Carolina","City",34.0291,-80.89804,803,133803,44506,41260,345805347,6998722,"America/New York"
"A188","North Charleston","Dorchester County/Berkeley County/Charleston County","SC","South Carolina","City",32.91782,-80.06503,843,108304,37597,39543,190807625,8969264,"America/New York"
"A189","Alexandria","Alexandria city","VA","Virginia","City",38.80484,-77.04692,571,153511,66879,89134,38977688,1127171,"America/New York"
"A191","Chesapeake","Chesapeake city","VA","Virginia","City",36.81904,-76.27494,757,235429,81518,68620,876737780,32210024,"America/New York"
"A192","Hampton","Hampton city","VA","Virginia","City",37.02987,-76.34522,757,136454,52940,49190,133308913,219591352,"America/New York"
"A193","Newport News","Newport News city","VA","Virginia","City",36.97876,-76.428,757,182385,69073,50077,178921044,130901482,"America/New York"
"A194","Norfolk","Norfolk city","VA","Virginia","City",36.84681,-76.28522,757,246393,87045,44480,137985835,111697132,"America/New York"
"A195","Richmond","Richmond city","VA","Virginia","City",37.55376,-77.46026,804,220289,87224,40758,154942138,6879776,"America/New York"
"A196","Virginia Beach","Virginia Beach city","VA","Virginia","City",36.85293,-75.97799,757,452745,166242,66634,633821720,654694207,"America/New York"
"A101","Bridgeport (Town)","Fairfield County","CT","Connecticut","Town",41.18739,-73.19576,203,147629,50367,41801,41591056,8721419,"America/New York"
"A103","Hartford (Town)","Hartford County","CT","Connecticut","Town",41.76593,-72.68158,959,124006,45239,30630,45016120,1748078,"America/New York"
"A105","New Haven (Town)","New Haven County","CT","Connecticut","Town",41.310810000000004,-72.92495,203,130322,49771,37192,48407373,3739487,"America/New York"
"A107","Stamford (Town)","Fairfield County","CT","Connecticut","Town",41.07986,-73.54603,203,128874,46974,79359,97430571,37323740,"America/New York"
"A109","Waterbury (Town)","New Haven County","CT","Connecticut","Town",41.5585,-73.03668,203,108802,40213,40467,73880017,1086045,"America/New York"
"A110","Brandon","Hillsborough County","FL","Florida","CDP",27.9378,-82.28592,813,106604,40453,56464,85738633,4903052,"America/New York"
"A114","Davie","Broward County","FL","Florida","Town",26.06287,-80.2331,954,100882,33707,59680,90395673,2163582,"America/New York"
"A121","Lehigh Acres","Lee County","FL","Florida","CDP",26.62535,-81.6248,941,106747,31831,40226,239916420,3912093,"America/New York"
"A130","Spring Hill","Hernando County","FL","Florida","CDP",28.47689,-82.52546,352,100270,39038,41308,154983928,6194314,"America/New York"
"A135","Athens","Clarke County","GA","Georgia","Unified Government",33.95219,-83.36715,706,123912,45389,39464,308738452,4741286,"America/New York"
"A137","Augusta","Richmond County","GA","Georgia","Consolidated Government",33.36149,-82.075,706,201793,73917,39464,840008393,11042219,"America/New York"
"A139","Macon","Bibb County","GA","Georgia","Other",32.80884,-83.69419,478,153515,57025,36568,645603627,14488557,"America/New York"
"A148","Columbia","Howard County","MD","Maryland","CDP",39.24038,-76.83942,410,102116,39893,100849,82691135,667179,"America/New York"
"A149","Cary","Chatham County/Wake County","NC","North Carolina","Town",35.78088,-78.81327,919,159769,56034,91579,146322917,2815890,"America/New York"
"A159","Edison","Middlesex County","NJ","New Jersey","Township",40.50399,-74.34941,848,102701,35198,90515,77862691,1630832,"America/New York"
"A164","Woodbridge (Township)","Middlesex County","NJ","New Jersey","Township",40.56073,-74.2927,848,102105,33375,79720,60235960,3515266,"America/New York"
"A165","Amherst","Erie County","NY","New York","Town",43.01164,-78.75715,716,125109,49558,68294,137777476,1003270,"America/New York"
"A166","Babylon (Town)","Suffolk County","NY","New York","Town",40.64092,-73.31669,631,213776,68789,80327,135481314,160302131,"America/New York"
"A167","Brookhaven","Suffolk County","NY","New York","Town",40.85745,-72.95984,631,489278,161116,87040,671934794,704749682,"America/New York"
"A168","Brooklyn","Kings County","NY","New York","Borough",40.62472,-73.95222,347,2636735,880727,32135,180000000,70000000,"America/New York"
"A170","Hempstead (Town)","Nassau County","NY","New York","Town",40.63396,-73.6091,516,771018,241539,94999,307389025,189288363,"America/New York"
"A171","Huntington","Suffolk County","NY","New York","Town",40.88409,-73.37676,631,204398,69000,105451,243808665,111325968,"America/New York"
"A172","Islip","Suffolk County","NY","New York","Town",40.71258,-73.19552,631,336113,101387,86864,268844871,153259682,"America/New York"
"A173","Manhattan","New York County","NY","New York","Borough",40.72833,-73.99417,212,1644518,738644,47030,59100000,28000000,"America/New York"
"A175","North Hempstead","Nassau County","NY","New York","Town",40.80336,-73.6784,516,230614,76523,104698,138598541,40538082,"America/New York"
"A176","Oyster Bay","Nassau County","NY","New York","Town",40.80049,-73.51056,516,298768,98509,112162,268689279,170041808,"America/New York"
"A177","Queens","Queens County","NY","New York","Borough",40.75,-73.86667,718,2339150,782664,42439,109000000,70000000,"America/New York"
"A178","Ramapo","Rockland County","NY","New York","Town",41.14077,-74.10498,845,135257,34566,66911,158352484,1803573,"America/New York"
"A180","Smithtown","Suffolk County","NY","New York","Town",40.91922,-73.17912,631,118275,39425,112693,139096977,149547375,"America/New York"
"A181","Staten Island","Richmond County","NY","New York","Borough",40.57628,-74.14484,718,474558,156341,55039,152000000,110000000,"America/New York"
"A183","The Bronx","Bronx County","NY","New York","Borough",40.83722,-73.88611,347,1455444,523690,34299,110000000,40000000,"America/New York"
"A190","Arlington","Arlington County","VA","Virginia","CDP",38.890390000000004,-77.08414,571,220173,98441,105763,67318429,244142,"America/New York"
