Product ID,Product Name,Cost,Original Sale Price,Discount Code,Discount,Current Price,Taxes,Product Groups
"ENX2078","Product 79",971,1798,"",0,1798,269.7,"Mid Range"
"ENX2079","Product 80",1363,1725,"",0,1725,258.75,"Mid Range"
"ENX2080","Product 81",1788,2353,"",0,2353,352.95,"High Price"
"ENX2081","Product 82",1190,1566,"",0,1566,234.89999999999998,"Mid Range"
"ENX2082","Product 83",838,1103,"",0,1103,165.45,"Mid Range"
"ENX2083","Product 84",1777,2141,"",0,2141,321.15,"High Price"
"ENX2084","Product 85",1230,1783,"",0,1783,267.45,"Mid Range"
"ENX2085","Product 86",1173,1862,"",0,1862,279.3,"Mid Range"
"ENX2086","Product 87",84,123,"",0,123,18.45,"Low Price"
"ENX2087","Product 88",818,1022,"",0,1022,153.29999999999998,"Mid Range"
"ENX2088","Product 89",416,603,"",0,603,90.45,"Low Price"
"ENX2089","Product 90",1399,2294,"",0,2294,344.09999999999997,"High Price"
"ENX2090","Product 91",682,1338,"",0,1338,200.7,"Mid Range"
"ENX2091","Product 92",294,368,"",0,368,55.199999999999996,"Low Price"
"ENX2092","Product 93",1295,1639,"",0,1639,245.85,"Mid Range"
"ENX2093","Product 94",90,112,"",0,112,16.8,"Low Price"
"ENX2094","Product 95",648,771,"",0,771,115.64999999999999,"Low Price"
"ENX2095","Product 96",872,1743,"",0,1743,261.45,"Mid Range"
"ENX2096","Product 97",1301,1587,"",0,1587,238.04999999999998,"Mid Range"
"ENX2097","Product 98",589,1052,"",0,1052,157.79999999999998,"Mid Range"
"ENX2098","Product 99",683,1178,"",0,1178,176.7,"Mid Range"
"ENX2099","Product 100",984,1367,"",0,1367,205.04999999999998,"Mid Range"
"ENX2100","Product 101",455,799,"",0,799,119.85,"Low Price"
