IMDB ID,Title,Date Published,Genre,Minutes,Directors,Production Company,Description,Viewers Score,Budget,USA Gross,Worldwide Gross,Critics Score
tt2279339,Love the Coopers,2015-11-26 00:00:00.000,Comedy,107,Jessie Nelson,CBS Films,The intertwined stories of four generations of Coopers unfold right before the annual family reunion on Christmas Eve. Can they survive the most beautiful time of the year?,5.8,17000000,26302731,42426912,3.1
tt1727776,Scouts Guide to the Zombie Apocalypse,2015-10-30 00:00:00.000,Action,93,Christopher Landon,Paramount Pictures,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",6.3,15000000,3703046,16137046,3.2
tt1270262,The Devil's Double,2011-09-08 00:00:00.000,Biography,109,Lee Tamahori,Corsan,A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.,7.1,19100000,1361512,5728213,5.2
tt0081633,Time Bandits,1983-01-06 00:00:00.000,Adventure,116,Terry Gilliam,HandMade Films,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",7.0,5000000,42365581,42368025,7.9
tt4669986,Loving,2017-03-16 00:00:00.000,Biography,123,Jeff Nichols,Raindog Films,"The story of Richard and Mildred Loving, a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.",7.0,9000000,7751969,12957265,7.9
tt0089543,The Man with One Red Shoe,1986-05-30 00:00:00.000,Comedy,92,Stan Dragoti,Twentieth Century Fox,A man picked randomly out of a crowd is made the target of CIA survelliance and pursuit.,5.7,16000000,8645411,8645411,3.1
tt6512428,Indivisible,2018-10-26 00:00:00.000,Drama,119,David G. Evans,Provident Films,"The extraordinary true story of Army Chaplain Darren Turner and his wife Heather. When war etches battle scars on their hearts, they face one more battle: the fight to save their marriage. One marriage, one family, under God.",5.8,2700000,3511417,3589633,5.3
tt0878804,The Blind Side,2009-11-20 00:00:00.000,Biography,129,John Lee Hancock,Alcon Entertainment,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",7.6,29000000,255959475,309208309,5.3
tt0122541,An Ideal Husband,2000-02-11 00:00:00.000,Comedy,97,Oliver Parker,Arts Council of England,"London 1895: Cabinet minister, Sir Chiltern, and bachelor, Lord Goring, are victims of scheming women.",6.8,14000000,18542974,18542974,6.7
tt1213012,Alpha and Omega,2010-09-17 00:00:00.000,Animation,90,Anthony Bell,Lions Gate Family Entertainment,"Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.",5.2,20000000,25107267,50507267,3.6
tt0120389,Turbo: A Power Rangers Movie,1997-03-28 00:00:00.000,Action,99,Shuki Levy,Twentieth Century Fox,"The TV heroes return for a sequel, chasing a vicious villainess named Divatox. Can they rescue the kindly wizard Lerigot from her clutches before he's thrown into the volcano?",3.7,8000000,8363899,9615840,3.5
tt0095179,Friday the 13th Part VII: The New Blood,1988-05-13 00:00:00.000,Horror,88,John Carl Buechler,Paramount Pictures,"Years after Tommy Jarvis chained him underwater at Camp Crystal Lake, the dormant Jason Voorhees is accidentally released from his prison by a telekinetic teenager. Now, only she can stop him.",5.3,2800000,19170001,19170001,1.3
tt6574272,Phoenix Forgotten,2017-04-21 00:00:00.000,Horror,87,Justin Barber,Cinelou Films,"20 years after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix, Arizona, unseen footage from that night has been discovered, chronicling the final hours of their fateful expedition.",5.3,2800000,3600146,3697729,3.3
tt0218182,An Everlasting Piece,2001-03-23 00:00:00.000,Comedy,103,Barry Levinson,Baltimore Spring Creek Productions,"Colm (Barry McEvoy) is a Catholic, and George (Brian O'Byrne) is a poetry-loving Protestant. In Belfast, Northern Ireland in the 1980s, they could have been enemies, but instead, they ...",6.3,14000000,75228,75228,5.6
tt0106827,Ernest Rides Again,1993-11-12 00:00:00.000,Family,96,John R. Cherry III,Emshell Producers,Buffoonish Ernest and his dimwitted pal Abner unearth a huge cannon reputed to contain the crown jewels of England.,5.0,5500000,1450029,1450029,2.8
tt3623726,Ricki and the Flash,2015-09-10 00:00:00.000,Comedy,101,Jonathan Demme,Clinica Estetico,"A musician who gave up everything for her dream of rock-and-roll stardom returns home, looking to make things right with her family.",5.9,18000000,26822144,41325328,5.4
tt0262432,George Washington,2001-09-28 00:00:00.000,Drama,89,David Gordon Green,Free Country U.S.A.,"A group of children, in a depressed small town, band together to cover up a tragic mistake one summer.",7.3,42000,247406,283846,8.2
tt0235737,The Salton Sea,2002-06-21 00:00:00.000,Crime,103,D.J. Caruso,Castle Rock Entertainment,"After a tragic incident, a man drifts into a world populated by thugs and speed junkies.",7.1,18000000,764554,1073198,4.1
tt5719700,Home Again,2017-10-05 00:00:00.000,Comedy,97,Hallie Meyers-Shyer,Black Bicycle Entertainment,Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.,5.8,12000000,27020284,37270721,4.1
tt0120623,A Bug's Life,1999-02-12 00:00:00.000,Animation,95,John Lasseter,Pixar Animation Studios,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",7.2,120000000,162798565,363258859,7.7
tt0101917,Freddy's Dead: The Final Nightmare,1991-09-13 00:00:00.000,Fantasy,89,Rachel Talalay,New Line Cinema,"Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.",4.9,11000000,34872033,34872033,3.9
tt0096018,Running on Empty,1990-02-24 00:00:00.000,Crime,116,Sidney Lumet,Double Play,The eldest son of a fugitive family comes of age and wants to live a life of his own.,7.7,7000000,2835116,2847941,6.7
tt0084088,Honkytonk Man,1982-12-15 00:00:00.000,Comedy,122,Clint Eastwood,The Malpaso Company,A boy with a music talent goes on a journey with his uncle for a stage concert.,6.6,2000000,4484991,4484991,5.0
tt0104070,Death Becomes Her,1992-12-18 00:00:00.000,Comedy,104,Robert Zemeckis,Universal Pictures,"When a woman learns of an immortality treatment, she sees it as a way to outdo her long-time rival.",6.6,55000000,58422650,149022650,5.6
tt4701182,Bumblebee,2018-12-20 00:00:00.000,Action,114,Travis Knight,Hasbro,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",6.8,135000000,127195589,467989645,6.6
tt0117333,Phenomenon,1996-10-18 00:00:00.000,Drama,123,Jon Turteltaub,Touchstone Pictures,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",6.4,32000000,104636382,152036382,4.1
tt0090060,St. Elmo's Fire,1986-07-04 00:00:00.000,Drama,110,Joel Schumacher,Columbia Pictures,"A group of friends, just out of college, struggle with adulthood.",6.4,10000000,37803872,37803872,3.5
tt5303442,In Like Flynn,2018-10-11 00:00:00.000,Action,106,Russell Mulcahy,308 Ent,The adventurous life of young Errol Flynn in Australia before he became a famous Hollywood actor.,5.2,20000000,11255,11255,6.6
tt1226837,Beautiful Boy,2019-06-13 00:00:00.000,Biography,120,Felix van Groeningen,Amazon Studios,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",7.3,25000000,7649973,16636604,6.2
tt3179568,"Men, Women & Children",2014-10-17 00:00:00.000,Comedy,119,Jason Reitman,Paramount Pictures,"A group of high school teenagers and their parents attempt to navigate the many ways the Internet has changed their relationships, their communications, their self-images, and their love lives.",6.7,16000000,705908,1705908,3.8
tt0396269,Wedding Crashers,2005-09-09 00:00:00.000,Comedy,119,David Dobkin,New Line Cinema,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",6.9,40000000,209255921,288467645,6.4
tt3881784,Stronger,2018-07-04 00:00:00.000,Biography,119,David Gordon Green,Lionsgate,"Stronger is the inspiring real life story of Jeff Bauman, an ordinary man who captured the hearts of his city and the world to become a symbol of hope after surviving the 2013 Boston Marathon bombing.",6.9,30000000,4211129,8503658,7.6
tt1415269,Immigration Tango,2010-04-17 00:00:00.000,Comedy,92,David Burton Morris,Mutressa Movies,An American couple and a foreign couple test the limits of friendship and love when they switch partners and get married for green cards.,3.5,1100000,24554,24554,2.8
tt0089175,Fright Night,1986-02-06 00:00:00.000,Fantasy,106,Tom Holland,Columbia Pictures,"A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead.",7.1,9000000,24922237,24922237,6.2
tt0109813,The Flintstones,1994-10-06 00:00:00.000,Comedy,91,Brian Levant,Universal Pictures,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",4.9,46000000,130531208,341631208,3.8
tt1045772,I Love You Phillip Morris,2010-04-02 00:00:00.000,Biography,102,Glenn Ficarra,EuropaCorp,"A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.",6.6,13000000,2037459,39408227,6.5
tt0088323,Die unendliche Geschichte,1984-12-06 00:00:00.000,Adventure,102,Wolfgang Petersen,Constantin Film,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,7.4,27000000,20158808,20251411,4.6
tt0279286,On the Line,2002-07-05 00:00:00.000,Comedy,85,Eric Bross,A Happy Place,"A shy advertising employee meets his dream girl on the El train, but doesn't remember to get her phone number, resulting in an all-out search for the mystery girl",4.2,16000000,4365455,4544601,3.4
tt0113026,The Fantasticks,2000-09-22 00:00:00.000,Musical,86,Michael Ritchie,Michael Ritchie Productions,A mysterious fair that comes to a small community in the countryside could make real the illusions of two teenagers.,5.6,10000000,49666,49666,4.8
tt1392170,The Hunger Games,2012-05-01 00:00:00.000,Action,142,Gary Ross,Lionsgate,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,7.2,78000000,408010692,694394724,6.8
tt7014006,Eighth Grade,2018-08-03 00:00:00.000,Comedy,93,Bo Burnham,A24,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,7.4,2000000,13539709,14347433,8.9
tt0808279,Funny Games,2008-07-11 00:00:00.000,Crime,111,Michael Haneke,Celluloid Dreams,Two psychopathic young men take a family hostage in their cabin.,6.6,15000000,1294919,7938872,4.4
tt0486028,Thr3e,2007-01-05 00:00:00.000,Drama,101,Robby Henson,MovieRoom Productions,Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end the game before one or all of them die.,5.0,2400000,1008849,1420418,3.4
tt2345112,Parkland,2013-10-02 00:00:00.000,Drama,93,Peter Landesman,Exclusive Media Group,A recounting of the chaotic events that occurred at Dallas' Parkland Hospital on the day U.S. President,6.4,10000000,653651,1412181,5.1
tt2132374,Life's a Breeze,2013-07-19 00:00:00.000,Comedy,83,Lance Daly,Fastnet Films,Tells the story of a family as they search for a lost fortune around the streets of Dublin.,6.3,4000000,3450,103118,5.5
tt0960770,Holding Trevor,2007-06-16 00:00:00.000,Drama,88,Rosser Goodman,Circle Content,"Young, beautiful and intelligent, Trevor (screenwriter Brent Gorski) is in a stalemate. Entangled in an unhealthy relationship with Darrell, a self-destructive heroin addict, and trapped in...",5.5,55000,16814,16814,3.6
tt2304933,The 5th Wave,2016-02-04 00:00:00.000,Action,112,J Blakeson,Columbia Pictures,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.",5.2,38000000,34916787,109906372,3.3
tt1748122,Moonrise Kingdom,2012-12-05 00:00:00.000,Comedy,94,Wes Anderson,Indian Paintbrush,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",7.8,16000000,45512466,68263166,8.4
tt0173716,Cecil B. Demented,2001-06-28 00:00:00.000,Comedy,87,John Waters,Artic Productions LLC,An insane independent film director and his renegade group of teenage filmmakers kidnap an A-list Hollywood actress and force her to star in their underground film.,6.3,10000000,1284646,1961544,5.7
tt3139764,Unsullied,2015-08-28 00:00:00.000,Action,93,Simeon Rice,Dreamline Pictures LLC,"Follows Reagan, a track star, who is kidnapped by a pair of sociopaths after her car breaks down on a deserted road.",4.3,1500000,510957,510957,4.2
tt0420294,The Texas Chainsaw Massacre: The Beginning,2006-11-17 00:00:00.000,Horror,91,Jonathan Liebesman,New Line Cinema,"Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.",5.8,16000000,39517763,51764406,3.0
tt0129280,The Out-of-Towners,1999-09-03 00:00:00.000,Comedy,90,Sam Weisman,Cherry Alley Productions,The remake of the 1970 Neil Simon comedy follows the adventures of married couple Henry and Nancy Clark as they are vexed by misfortune while in New York City for a job interview.,5.5,75000000,28544120,28544120,3.3
tt0327056,Mystic River,2003-10-24 00:00:00.000,Crime,138,Clint Eastwood,Warner Bros.,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,7.9,25000000,90135191,156595191,8.4
tt0315431,Constellation,2007-02-02 00:00:00.000,Drama,96,Jordan Walker-Pearlman,Constellation LLC,A painter living in exile returns home where his family endured generations of racial violence. There he begins to fantasize the people around him as a series of portraits in order to bury the pain and find something beautiful to feel.,4.0,7200000,306533,306533,4.1
tt1024770,The People I've Slept With,2013-11-08 00:00:00.000,Comedy,89,Quentin Lee,Margin Films,The People I've Slept With - a promiscuous woman who finds herself with an unplanned pregnancy and needs to figure out who the baby daddy is...NOW. Angela Yang loves sex. She loves it so ...,4.8,3000000,19137,19137,4.5
tt0455407,The Crazies,2010-04-23 00:00:00.000,Horror,101,Breck Eisner,Overture Films,"After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people.",6.5,20000000,39123589,54806823,5.6
tt0090660,Armed and Dangerous,1988-07-29 00:00:00.000,Action,88,Mark L. Lester,Columbia Pictures,A fired cop and useless lawyer sign up as security guards and find they've joined a corrupt union.,5.7,12000000,15945534,15945534,1.7
tt2091935,Mr. Right,2017-05-13 00:00:00.000,Action,95,Paco Cabezas,Amasia Entertainment,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",6.3,8000000,34694,607595,5.2
tt6107548,Late Night,2019-09-12 00:00:00.000,Comedy,102,Nisha Ganatra,3 Arts Entertainment,A late night talk show host suspects that she may soon lose her long-running show.,6.5,4000000,15499454,22386555,7.0
tt0297037,Brown Sugar,2003-06-06 00:00:00.000,Romance,109,Rick Famuyiwa,Fox Searchlight Pictures,"Friends since childhood, a magazine editor and a hip-hop record executive stumble into romantic territory.",6.5,8000000,27363891,28316451,5.8
tt3125324,Beyond the Lights,2014-11-14 00:00:00.000,Drama,116,Gina Prince-Bythewood,Black Entertainment Television (BET),"The pressures of fame have superstar singer Noni on the edge, until she meets Kaz, a young cop who works to help her find the courage to develop her own voice and break free to become the artist she was meant to be.",6.9,7000000,14618727,14618727,7.3
tt0457513,Scoop,2006-10-06 00:00:00.000,Comedy,96,Woody Allen,BBC Films,"An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls.",6.7,4000000,10525717,39220946,4.8
tt0239986,Sidewalks of New York,2002-02-22 00:00:00.000,Comedy,108,Edward Burns,Artists Production Group (APG),The interlocking lives and loves of six New Yorkers.,6.4,1000000,2402652,3520373,4.9
tt0778661,Daddy's Little Girls,2007-02-14 00:00:00.000,Drama,100,Tyler Perry,Lions Gate Films,A mechanic falls in love with his attorney.,5.7,10000000,31366978,31609243,4.9
tt3065204,The Conjuring 2,2016-06-23 00:00:00.000,Horror,134,James Wan,New Line Cinema,Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,7.3,40000000,102470008,320392818,6.5
tt0081184,Motel Hell,1980-10-24 00:00:00.000,Comedy,101,Kevin Connor,Camp Hill,"A seemingly friendly farmer and his sister kidnap unsuspecting travelers and bury them alive, using them to create the ""special meat"" they are famous for.",6.0,3000000,6342668,6342668,6.4
tt0101775,Drop Dead Fred,1991-05-24 00:00:00.000,Comedy,103,Ate de Jong,PolyGram Filmed Entertainment,A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.,6.0,6788000,13878334,13878334,2.5
tt0100802,Total Recall,1990-12-13 00:00:00.000,Action,113,Paul Verhoeven,Carolco Pictures,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",7.5,65000000,119412921,261317921,5.7
tt0104745,The Living End,1992-08-21 00:00:00.000,Comedy,81,Gregg Araki,Desperate Pictures,"Luke is a gay hustler. Jon is a movie critic. Both are HIV positive. They go on a hedonistic, dangerous journey, their motto ""Fuck the world"".",6.5,22769,692585,692585,6.5
tt1047540,Parental Guidance,2013-07-11 00:00:00.000,Comedy,105,Andy Fickman,Twentieth Century Fox,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,6.0,25000000,77267296,119772232,3.6
tt0451079,Horton Hears a Who!,2008-04-18 00:00:00.000,Animation,86,Jimmy Hayward,Blue Sky Studios,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,6.8,85000000,154529439,298572799,7.1
tt0086129,Porky's II: The Next Day,1983-06-24 00:00:00.000,Comedy,98,Bob Clark,Astral Bellevue Path̩,The naughty high schoolers of Angel Beach High now seek revenge on a group of KKK religious fanatics and corrupt politicians who want to shut down their Shakespeare production after they cast a Seminole transfer student in the lead.,5.1,6500000,33759266,33759266,3.8
tt0228333,Ghosts of Mars,2001-09-07 00:00:00.000,Action,98,John Carpenter,Screen Gems,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",4.9,28000000,8709640,14010832,3.5
tt0119465,"Kiss Me, Guido",1997-07-18 00:00:00.000,Comedy,86,Tony Vitale,Capitol Films,"Warren has an extra room in his apartment (and is five months behind on the rent) after his lover moves out, so a friend places an ad on his behalf for a GWM roommate. Frankie, a pizza ...",6.1,740000,1918497,1918497,4.6
tt0483726,Man of the Year,2007-05-11 00:00:00.000,Comedy,115,Barry Levinson,Universal Pictures,"A comedian who hosts a news satire program decides to run for president, and a computerized voting machine malfunction gets him elected.",6.2,20000000,37327390,42472472,3.9
tt0092115,Troll,1986-01-17 00:00:00.000,Comedy,82,John Carl Buechler,Empire Pictures,A wicked troll king in search of a mystical ring that will transform him to human form invades a San Francisco apartment complex where a powerful witch lives.,4.5,1100000,5450815,5450815,3.0
