Director Name
"Oliver Parker"
"Peter Berg"
"Trey Parker"
"Mark Steven Johnson"
"Michael Corrente"
"Andrew Adamson"
"Mike Figgis"
"Hilary Brougher"
"Keith Gordon"
"Harry Elfont"
"Brad Bird"
"Sam Weisman"
"Danny Cannon"
"Kelly Makin"
"Eric Leighton"
"Chris Roberts"
"Des McAnuff"
"Kinka Usher"
"Kevin Williamson"
"Lana Wachowski"
"Robert Rodriguez"
"Bruce Paltrow"
"Risa Bramon Garcia"
"Mark Pellington"
"John Madden"
"Rand Ravich"
"Rodman Flender"
"Bibo Bergeron"
"Myles Berkowitz"
"Luis Mandoki"
"Josef Rusnak"
"Bronwen Hughes"
"Peter Chelsom"
"Antonio Banderas"
"John Duigan"
"Ronny Yu"
"Andrew Fleming"
"Simon West"
"Damon Santostefano"
"Jamie Blanks"
"Marek Kanievska"
"Bruce Beresford"
"Anand Tucker"
"Raja Gosnell"
"Mike Judge"
"Christopher Nolan"
"Nickolas Perry"
"Darren Stein"
"Tom Gilroy"
"Scott Alexander"
"Kevin Allen"
"Michael Patrick Jann"
"Rod Lurie"
"Tim Hill"
"Sofia Coppola"
"Anthony Minghella"
"Ismail Merchant"
"Gary Halvorson"
"Christian Duguay"
"Kevin Brodie"
"Audrey Wells"
"Michael Rymer"
"Richard Rich"
"Janusz Kaminski"
"JosÃ© Luis Valenzuela"
"Robert Iscove"
"Gavin O'Connor"
"Rick Famuyiwa"
"Terry Zwigoff"
"Kevin Jordan"
"Mark Illsley"
"Michael Polish"
"Michael Meredith"
"Chi Muoi Lo"
"Diane Keaton"
"Hugh Johnson"
"Paul Weitz"
"Albert Brooks"
"John Schultz"
"Adam Rifkin"
"Kelly Asbury"
"Bruce McCulloch"
"Kevin Alyn Elders"
"Hans Petter Moland"
"Malcolm D. Lee"
"Sam Mendes"
"John Leekley"
"Eric Blakeney"
"Lynne Ramsay"
"Kimberly Peirce"
"Craig Bolotin"
"Allison Anders"
"Hironobu Sakaguchi"
"Matthew Warchus"
"Joan Chen"
"Mic Rodgers"
"Peter Askin"
"Jamie Babbit"
"Dwight Yoakam"
"Darren Aronofsky"
"Craig Mazin"
"Jon Shear"
"Ed Harris"
"Tim Blake Nelson"
"Chris Koch"
"Roger Christian"
"William Malone"
"Steven Brill"
"Daniel Myrick"
"Nick Gomez"
"Gregory Hoblit"
"Alison Maclean"
"Linda Yellen"
"Francine McDougall"
"Carlos Avila"
"Jeff Franklin"
"John Swanbeck"
"Courtney Solomon"
"Vic Sarin"
"Tommy O'Haver"
"Rob Cohen"
"John Ottman"
"Joey Travolta"
"Henry Bromell"
"Mark Piznarski"
"Robert Vince"
"Matt Williams"
"Pete Docter"
"DJ Pooh"
"Jane Campion"
"Antony Hoffman"
"Louis Morneau"
"Miguel Arteta"
"David McNally"
"David Raynr"
"Kenneth Lonergan"
"Piyush Dinker Pandya"
"Robert Marcarelli"
"Hamlet Sarkissian"
"Peyton Reed"
"Mike Mitchell"
"Britt Allcroft"
"William Bindley"
"Robert Lee King"
"Thomas Carter"
"Christine Lahti"
"Nancy Meyers"
"Michael Kalesniko"
"Stephen Kay"
"Tarsem Singh"
"John Fawcett"
"Maggie Greenwald"
"Sally Field"
"Boaz Yakin"
"Kevin Lima"
"James Isaac"
"Antoine Fuqua"
"Greg Harrison"
"Anne De Salvo"
"Todd Phillips"
"Robert Adetuyi"
"M. Night Shyamalan"
"Stephen Carpenter"
"Patrick Lussier"
"Jun Falkenstein"
"Kate Montgomery"
"Krutin Patel"
"Ethan Hawke"
"Marc Forster"
"Alejandro AmenÃ¡bar"
"Pat O'Connor"
"Chris Weitz"
"Demian Lichtenstein"
"Michael Tollin"
"D.J. Caruso"
"Richard Dutcher"
"Kurt Wimmer"
"Peter Care"
"Lawrence Guterman"
"J.B. Rogers"
"Edward Burns"
"Steve Carr"
"Shekhar Kapur"
"Tom Green"
"Dewey Nicks"
"Ed Decter"
"Andrzej Bartkowiak"
"Michael Cuesta"
"Sharon Maguire"
"Jon Gunn"
"Rob Minkoff"
"David Wain"
"Eric Schaeffer"
"Gillian Armstrong"
"J.S. Cardone"
"P.J. Posner"
"Steve Guttenberg"
"Steve Beck"
"Dennie Gordon"
"Tony Piccirillo"
"Chris Ver Wiel"
"Richard Kelly"
"Gregory Poirier"
"Jesse Vaughan"
"Stephen Daldry"
"John Stockwell"
"Scott McGehee"
"Robert Luketic"
"Rob Zombie"
"Scott Hicks"
"James Bolton"
"Rob Bowman"
"Tim McCann"
"Brendan Malloy"
"Roger Kumble"
"Luke Greenfield"
"Alexander Payne"
"Louis C.K."
"Blair Hayes"
"Mamoru Hosoda"
"David Gordon Green"
"Victor Salva"
"Brian Trenchard-Smith"
"Bruno Barreto"
"Roger Michell"
"Bill Paxton"
"Charles Herman-Wurmfeld"
"Joe Roth"
"Gil Junger"
"Shawn Levy"
"George Hickenlooper"
"Mark Romanek"
"Chuck Sheetz"
"John Lee Hancock"
"Andrew Stanton"
"Alex Smith"
"James Wong"
"Chris Wedge"
"John A. Davis"
"Simon Wells"
"Mark Brown"
"Frank Whaley"
"Anthony Russo"
"Seth Kearsley"
"Ellory Elkayem"
"Jon Purdy"
"John D. Hancock"
"Iain Softley"
"Jaume BalaguerÃ³"
"Mars Callahan"
"Daniel Algrant"
"Steven Shainberg"
"Peter Hastings"
"Lars von Trier"
"Jessie Nelson"
"Joel Gallen"
"Jesse Dylan"
"Ron Maxwell"
"Eric Bross"
"Uwe Boll"
"Callie Khouri"
"Robin Budd"
"Julie Davis"
"Bob Dolman"
"Justin Lin"
"Burr Steers"
"Richard Eyre"
"Adam Shankman"
"Cathy Malkasian"
"Jonathan Liebesman"
"Jonas Ã…kerlund"
"John Polson"
"Walt Becker"
"Kurt Voss"
"Steve Trenbirth"
"Robert Harmon"
"Tom Dey"
"Jordan Susman"
"Eriq La Salle"
"David Jacobson"
"Richard Kwietniowski"
"Pete Jones"
"Gordon Chan"
"Craig McCracken"
"David Mackenzie"
"Eric Bress"
"Karen Moncrieff"
"Menno Meyjes"
"FranÃ§ois Velle"
"Guy Maddin"
"Marcus Raboy"
"Rebecca Miller"
"Perry Andelin Blake"
"Rob Schmidt"
"Rich Christiano"
"Blair Treu"
"Don Michael Paul"
"Eric Eason"
"Ian McCrudden"
"Mike Nawrocki"
"Finn Taylor"
"Tim Fywell"
"Thaddeus O'Sullivan"
"Sherman Alexie"
"Lucky McKee"
"Eli Roth"
"Charles Stone III"
"Alfonso CuarÃ³n"
"Ed Solomon"
"Michael Lembeck"
"John Stainton"
"Klaus Menzel"
"Larry Blamire"
"John Deery"
"Wych Kaosayananda"
"Paul Bolger"
"Neil Burger"
"David R. Ellis"
"Glen Morgan"
"Steve Box"
"Charles S. Dutton"
"Bo Welch"
"Marc Lawrence"
"Harald Zwart"
"Tuck Tucker"
"Jordan Walker-Pearlman"
"Alejandro G. IÃ±Ã¡rritu"
"Wayne Kramer"
"Alexander Witt"
"Mike Mills"
"Jon Favreau"
"Clare Kilner"
"Fenton Bailey"
"Len Wiseman"
"Bille Woodruff"
"Adam Goldberg"
"Damian Nieman"
"Billy Ray"
"E. Elias Merhige"
"Marcus Nispel"
"Trish Doolan"
"Chris Rock"
"Lindy Heymann"
"Reggie Rock Bythewood"
"Neema Barnette"
"John Hoffman"
"Allen Wolf"
"Tim Johnson"
"Tim McCanlies"
"Robert Parigi"
"John Whitesell"
"Troy Miller"
"Joseph Kahn"
"Lone Scherfig"
"Lee Tamahori"
"Jonathan Hensleigh"
"Kristian Levring"
"Jay Chandrasekhar"
"Nick Cassavetes"
"Brian Dannelly"
"John Crowley"
"Peter Webber"
"Nick Hamm"
"James Cox"
"John Eng"
"Jonathan Glazer"
"Nigel Cole"
"Michel Gondry"
"Richard Janes"
"Casey La Scala"
"Michael Burke"
"Kirk Davis"
"Katrina Holden Bronson"
"Reverge Anselmo"
"Jacob Tierney"
"IstvÃ¡n SzabÃ³"
"Florent-Emilio Siri"
"Patty Jenkins"
"Monty Lapica"
"Louis Leterrier"
"Joey Curtis"
"Luc Besson"
"Michael Winterbottom"
"C. Jay Cox"
"Stephen Hillenburg"
"Sven Pape"
"Tod Williams"
"Mathieu Kassovitz"
"Daniel Taplitz"
"Michael Clancy"
"Jay Russell"
"Timothy BjÃ¶rklund"
"Kevin Bray"
"Mary McGuckian"
"Peter Hewitt"
"Martin Guigui"
"Michael Mayer"
"Matthew Cole Weiss"
"Gary Chapman"
"John Curran"
"Elliot Greenebaum"
"Sara Sugarman"
"Marc F. Adler"
"Nick Hurran"
"Bill Condon"
"John Simpson"
"Al Corley"
"Zack Snyder"
"Derick Martini"
"Liam Lynch"
"Mike Binder"
"Chris Stokes"
"Ben Coccio"
"John Maybury"
"Dave McKean"
"John Cameron Mitchell"
"Noah Baumbach"
"Mick Davis"
"Brett Ratner"
"Angela Robinson"
"Tommy Wiseau"
"Deborah Kampmeier"
"Cameron Crowe"
"Joe Nussbaum"
"Seth Gordon"
"Colin Trevorrow"
"Paul Dinello"
"Garth Jennings"
"Alexander Bulkley"
"Michael S. Ojeda"
"Q. Allan Brocka"
"Dan Harris"
"Marcos Siega"
"Shane Black"
"David Yates"
"Chris Kentis"
"Roland JoffÃ©"
"Zak Penn"
"Jared Hess"
"Rowdy Herrington"
"Geoffrey Sax"
"David Bowers"
"Frederik Du Chau"
"Wayne Beach"
"Chuck Parello"
"John Moore"
"Jacob Estes"
"Hideo Nakata"
"Philip Saville"
"Bennett Miller"
"Mark Rosman"
"Adam Rapp"
"Matthew O'Callaghan"
"Walter Salles"
"Mike Leigh"
"Jeff Wadlow"
"Christophe Gans"
"Steve Pink"
"Andrew Douglas"
"Craig Lucas"
"Gil Kenan"
"Philip Zlotorynski"
"Ben Younger"
"James Wan"
"Michael Dowse"
"Jeffrey W. Byrd"
"Stevan Mena"
"David Slade"
"Simon J. Smith"
"Jeff Garlin"
"Rian Johnson"
"Susan Stroman"
"Susannah Grant"
"Ira Sachs"
"Niki Caro"
"Tom Tykwer"
"Stephen J. Anderson"
"Joel Zwick"
"Kirk Jones"
"Jaume Collet-Serra"
"Frank Marshall"
"Byron Howard"
"Nathan Greno"
"Gabor Csupo"
"Armand Mastroianni"
"Robert C. Ramirez"
"Corey Yuen"
"Tennyson Bardwell"
"Roger Allers"
"Peter Paige"
"Frank Miller"
"Jeremy Haft"
"Karyn Kusama"
"Steve Boyum"
"Hatsuki Tsuji"
"Todd Field"
"Steve 'Spaz' Williams"
"Tim Kirkman"
"Jane Anderson"
"Arie Posin"
"Frank Nissen"
"David Munro"
"Richard Loncraine"
"Josh Stolberg"
"Randall Miller"
"Jennifer Lynch"
"Craig Brewer"
"Alejandro Agresti"
"Jennifer Flackett"
"Johan Renck"
"Jim Jarmusch"
"Chris Miller"
"Gary Winick"
"Joe Wright"
"Tommy Stovall"
"Miranda July"
"Gina Prince-Bythewood"
"Julian Jarrold"
"Lee Friedlander"
"Bryan Barber"
"Bent Hamer"
"John Gatins"
"Phil Morrison"
"Richard E. Grant"
"Jonathan Kasdan"
"Craig Gillespie"
"Sam Fell"
"Lodge Kerrigan"
"Martin Curland"
"Dan Ireland"
"Ol Parker"
"Darren Grant"
"Adam Green"
"Billy Kent"
"Laurie Collyer"
"Ash Brannon"
"Jon Poll"
"Greg Coolidge"
"Paul McGuigan"
"Nick Guthe"
"David Schwimmer"
"Danny Pang"
"John Gulager"
"Kirsten Sheridan"
"Denzel Washington"
"Scott Frank"
"Jason Reitman"
"Steve Taylor"
"Danny Green"
"Elizabeth Allen Rosenbaum"
"Michael O. Sajbel"
"Diane English"
"Colin Brady"
"Ole Bornedal"
"Eric Werthman"
"Mark Fergus"
"Rupert Wainwright"
"Darren Lynn Bousman"
"Michael Spierig"
"George Clooney"
"Robert Edwards"
"Asif Kapadia"
"James McTeigue"
"Hans Canosa"
"David S. Goyer"
"Jay Duplass"
"Gregory Dark"
"Doug Atchison"
"Carlos Saldanha"
"Kathleen Slattery-Moschkau"
"Scott Storm"
"Ryan Murphy"
"James Gunn"
"Brian Jun"
"Davis Guggenheim"
"Mark Osborne"
"Todd Robinson"
"William Brent Bell"
"Todd Stephens"
"Stuart Gordon"
"James Westby"
"Clark Johnson"
"Niall Johnson"
"Julie Taymor"
"Ericson Core"
"Edgar Wright"
"Liz Friedlander"
"Gil Cates Jr."
"Patrick Stettner"
"Steve Stockman"
"Stefen Fangmeier"
"Jonathan Dayton"
"Rodrigo GarcÃ­a"
"Lexi Alexander"
"Simon Brand"
"Mikael HÃ¥fstrÃ¶m"
"Rob Hardy"
"Jimmy Hayward"
"Ben Affleck"
"Mark Helfrich"
"Robert Schwentke"
"NimrÃ³d Antal"
"Sean Anders"
"Frank Sebastiano"
"Wil Shriner"
"Kevin Munroe"
"Alexandre Aja"
"Larry Fessenden"
"Jim Sonzero"
"Andy Fickman"
"Matt Maiellaro"
"Breck Eisner"
"Robert B. Weide"
"Dave Meyers"
"Joey Lauren Adams"
"Zach Helm"
"John G. Young"
"Andrew Currie"
"Pascal Chaumeil"
"Gavin Hood"
"Fred Savage"
"Trent Cooper"
"Doug Lefler"
"David Silverman"
"Oren Rudavsky"
"Anne Fletcher"
"Juan Carlos Fresnadillo"
"Chris Graham"
"Michael D. Sellers"
"Tony Leondis"
"Tony Gilroy"
"Aaron Seltzer"
"Chris Robinson"
"Justin Chadwick"
"Ryan Fleck"
"Kelly Reichardt"
"Susanne Bier"
"Austin Chick"
"Alex Garland"
"Shane Acker"
"Brian Hecker"
"Mark Palansky"
"Armen Kaprelian"
"Preston A. Whitmore II"
"Mike Newell"
"Stewart Wade"
"Adrienne Shelly"
"Claudia Myers"
"Ethan Coen"
"Bruce Leddy"
"Joe Carnahan"
"Mennan Yapo"
"Jeffrey Blitz"
"Dan Gildark"
"Rolfe Kanefsky"
"Terrence Malick"
"Judd Apatow"
"Carl Colpaert"
"Hal Haberman"
"David Von Ancken"
"Eric Valette"
"Paul Johansson"
"Peter Hedges"
"Francis Lawrence"
"Robert Cary"
"Sylvain White"
"Kirk DeMicco"
"Bryan Bertino"
"Neil Marshall"
"David L. Cunningham"
"Robby Henson"
"Gregory Jacobs"
"Ben Stassen"
"Matthew Vaughn"
"Kyle Newman"
"Sol Tryon"
"Bruce Campbell"
"Jeff Broadstreet"
"Fred Wolf"
"Nnegest LikkÃ©"
"Peter Cornwell"
"Francesco Lucente"
"Timur Bekmambetov"
"Daniel Waters"
"F. Javier GutiÃ©rrez"
"Robert Ben Garant"
"Colin Strause"
"Mike Akel"
"McG"
"Jean-Claude La Marre"
"Frank A. Cappello"
"Nia Vardalos"
"Ken Kwapis"
"Catherine Hardwicke"
"Dave Borthwick"
"Kar-Wai Wong"
"Cal Brunker"
"Bryan Gunnar Cole"
"Mark Mylod"
"Aaron Woodley"
"Rachel Samuels"
"Jim Strouse"
"Franc. Reyes"
"Tyler Perry"
"Joseph Greco"
"Michael Radford"
"Martin McDonagh"
"Karey Kirkpatrick"
"Bruce A. Evans"
"Andy Cheng"
"David Bruckner"
"Fred Durst"
"Bob Odenkirk"
"Thor Freudenthal"
"Jeff Lowell"
"Graham Annable"
"Jason Todd Ipson"
"Christopher McQuarrie"
"Tom Brady"
"Christian Alvart"
"J.J. Abrams"
"Jason Friedberg"
"Martin Weisz"
"Duncan Jones"
"Anna Boden"
"Alex Kendrick"
"RyÃ»hei Kitamura"
"Michael Haneke"
"Michael Landon Jr."
"Chris Eigeman"
"Marco Schnabel"
"Vadim Perelman"
