Rank,Name,Private Score,Submitted,authorUrl,SubmittedDate,Pub. Rank,Public Score,authorId,DifRank,RankStatus
11,"Thanish Batcha",0.86931818,"30/09 16:03","https://gallery.cortanaintelligence.com/Home/Author?authorId=62CE32A3A182B51B170EF0FE1184138AF519AF466BE79D7C962638EF14EC71B8",2016-09-30 16:03:15.000,10,0.87269285,"62CE32A3A182B51B170EF0FE1184138AF519AF466BE79D7C962638EF14EC71B8",-1,"Worst"
12,"orz2051",0.86789772999999992,"01/10 06:58","https://gallery.cortanaintelligence.com/Home/Author?authorId=D538E633EDC12A3FAB24AA60D373A3A039B6B13345C749E5E6A7EC5021055E3C",2016-10-01 06:58:37.000,8,0.87316611,"D538E633EDC12A3FAB24AA60D373A3A039B6B13345C749E5E6A7EC5021055E3C",-4,"Worst"
13,"Rui Quintino",0.86576705000000009,"28/09 13:59","https://gallery.cortanaintelligence.com/Home/Author?authorId=889920A0A763185AD600814737B0718E4801CF7E694461F549E70B11F89A1B48",2016-09-28 13:59:43.000,6,0.87363938000000008,"889920A0A763185AD600814737B0718E4801CF7E694461F549E70B11F89A1B48",-7,"Worst"
14,"Howard Chen",0.86505682,"24/09 12:59","https://gallery.cortanaintelligence.com/Home/Author?authorId=3845E48A0B1D33002AFD26A07F0DC06D80D55BAD1B99ECEFBEF21ACB0F217967",2016-09-24 12:59:49.000,18,0.8670137200000001,"3845E48A0B1D33002AFD26A07F0DC06D80D55BAD1B99ECEFBEF21ACB0F217967",4,"Better"
15,"Jie Chen",0.86505682,"29/09 17:10","https://gallery.cortanaintelligence.com/Home/Author?authorId=EC24096F77C0813E429BD0A545997DAB9427C6FD701500D39B5D731CFD10B866",2016-09-29 17:10:27.000,19,0.8670137200000001,"EC24096F77C0813E429BD0A545997DAB9427C6FD701500D39B5D731CFD10B866",4,"Better"
16,"Alexey Matveev",0.86434658999999991,"19/09 19:25","https://gallery.cortanaintelligence.com/Home/Author?authorId=A92E0A5C89016EF8DE4DD129DD1E96E6FCB3C1259BA96A1AA6FC1C985FE68AC0",2016-09-19 19:25:40.000,26,0.86464742,"A92E0A5C89016EF8DE4DD129DD1E96E6FCB3C1259BA96A1AA6FC1C985FE68AC0",10,"Better"
17,"Grisha Iv",0.86363636,"29/09 18:29","https://gallery.cortanaintelligence.com/Home/Author?authorId=62B757B3789530C5D9F091CD2556C20BBC9B86AAD4FF9BB761EC4FF763BB07C0",2016-09-29 18:29:57.000,15,0.86843351,"62B757B3789530C5D9F091CD2556C20BBC9B86AAD4FF9BB761EC4FF763BB07C0",-2,"Worst"
18,"Uluumy Instructor",0.86363636,"01/10 03:35","https://gallery.cortanaintelligence.com/Home/Author?authorId=60E71BA78919401F1F9A03294F0B41CFFDD8BA71EB902FEE824D13F377136EE6",2016-10-01 03:35:14.000,17,0.86796025,"60E71BA78919401F1F9A03294F0B41CFFDD8BA71EB902FEE824D13F377136EE6",-1,"Worst"
19,"Kristaps Ulmanis",0.86292614,"05/07 22:09","https://gallery.cortanaintelligence.com/Home/Author?authorId=D80AE87B2D1BF40C90CDFADD6952372A63C5328F6B97CC4FFC2DD4BCFE8A162A",2016-07-05 22:09:55.000,23,0.86512068,"D80AE87B2D1BF40C90CDFADD6952372A63C5328F6B97CC4FFC2DD4BCFE8A162A",4,"Better"
20,"Mª CARMEN CABANILLAS CAMPOS",0.86292614,"17/07 16:53","https://gallery.cortanaintelligence.com/Home/Author?authorId=E3E7D4F7B14AE95563118C75DE57C31A922EB3B3645C6F15C61D25F20449974E",2016-07-17 16:53:16.000,34,0.86180786,"E3E7D4F7B14AE95563118C75DE57C31A922EB3B3645C6F15C61D25F20449974E",14,"Better"
21,"Bruno Ferreira",0.86292614,"24/07 01:31","https://gallery.cortanaintelligence.com/Home/Author?authorId=3817EFBC171246E957F85C158DFFE6D8CFEA998A220B050F3217B93CB8212E09",2016-07-24 01:31:59.000,16,0.86796025,"3817EFBC171246E957F85C158DFFE6D8CFEA998A220B050F3217B93CB8212E09",-5,"Worst"
22,"Si Meng",0.86292614,"23/08 07:46","https://gallery.cortanaintelligence.com/Home/Author?authorId=694932D63971548EC3EDE6F11D621862984C4E03E1DF1EAA126FC4D134879691",2016-08-23 07:46:19.000,27,0.86417416,"694932D63971548EC3EDE6F11D621862984C4E03E1DF1EAA126FC4D134879691",5,"Better"
23,"HUYNH XUAN PHUNG",0.86292614,"05/09 07:27","https://gallery.cortanaintelligence.com/Home/Author?authorId=D1FCE7C5148A736A10DE0A5C0F8DE20CD3D4157EBAD82188FD31C2F9826F6CEC",2016-09-05 07:27:12.000,43,0.85849502999999994,"D1FCE7C5148A736A10DE0A5C0F8DE20CD3D4157EBAD82188FD31C2F9826F6CEC",20,"Better"
24,"Fabio Batista",0.86292614,"08/09 16:02","https://gallery.cortanaintelligence.com/Home/Author?authorId=E2ACD1F7E7FED604A789B479DEC8B675174DC72835BB134567B0A116F5C92213",2016-09-08 16:02:01.000,35,0.86180786,"E2ACD1F7E7FED604A789B479DEC8B675174DC72835BB134567B0A116F5C92213",11,"Better"
25,"Miguel Loncke",0.86221591000000009,"04/08 15:00","https://gallery.cortanaintelligence.com/Home/Author?authorId=53B868545A0EBC4B1F9D5DB9133BBE2AFA6323998ADE2BED545FF842DF9E7777",2016-08-04 15:00:20.000,14,0.86890676999999994,"53B868545A0EBC4B1F9D5DB9133BBE2AFA6323998ADE2BED545FF842DF9E7777",-11,"Worst"
26,"Nikunj Banker",0.86221591000000009,"26/09 02:08","https://gallery.cortanaintelligence.com/Home/Author?authorId=7181DF6976E5D173C919879073631AE2BA523C0CD118B8A676B8E81E605B7A99",2016-09-26 02:08:14.000,30,0.8637009,"7181DF6976E5D173C919879073631AE2BA523C0CD118B8A676B8E81E605B7A99",4,"Better"
27,"Stuart Anderson",0.86150568,"27/07 08:50","https://gallery.cortanaintelligence.com/Home/Author?authorId=4A6CEB703111DFB9AA45CBE70C459D03E88FC55D1E6A95E49FEDC8413B757BB1",2016-07-27 08:50:20.000,20,0.86606719999999993,"4A6CEB703111DFB9AA45CBE70C459D03E88FC55D1E6A95E49FEDC8413B757BB1",-7,"Worst"
28,"Jürgen Friedmann",0.86150568,"27/07 09:36","https://gallery.cortanaintelligence.com/Home/Author?authorId=C41A47C481E96DC13056F6F68FD8BC802E90888569C8468A2C1B0A4E50676B1F",2016-07-27 09:36:07.000,3,0.87363938000000008,"C41A47C481E96DC13056F6F68FD8BC802E90888569C8468A2C1B0A4E50676B1F",-25,"Worst"
29,"Justin Nafe",0.86150568,"24/09 17:31","https://gallery.cortanaintelligence.com/Home/Author?authorId=02A164AB42F02E25CB1E7BA80D28DE3D89E01E437DE8D9CB84B3E130BD063760",2016-09-24 17:31:29.000,40,0.85944155,"02A164AB42F02E25CB1E7BA80D28DE3D89E01E437DE8D9CB84B3E130BD063760",11,"Better"
30,"Zay Maung Maung Aye",0.86150568,"01/10 05:15","https://gallery.cortanaintelligence.com/Home/Author?authorId=507589E52992A51C4A539874C547A11E81B6E8788F26628C4AB5BAEA40D211C2",2016-10-01 05:15:41.000,32,0.86275437999999993,"507589E52992A51C4A539874C547A11E81B6E8788F26628C4AB5BAEA40D211C2",2,"Better"
31,"Vevake Balaraman",0.86079544999999991,"18/09 14:56","https://gallery.cortanaintelligence.com/Home/Author?authorId=C940C73A4AD57EB41106134901CA7FE443B8575AE21220AB9269020D78ACB5CA",2016-09-18 14:56:07.000,33,0.86228112,"C940C73A4AD57EB41106134901CA7FE443B8575AE21220AB9269020D78ACB5CA",2,"Better"
32,"Matt Silvermind",0.86079544999999991,"22/09 19:32","https://gallery.cortanaintelligence.com/Home/Author?authorId=999F8F86F6B53A05E27C1CDD2686B15C2AA53DD750FA185DF47068B4B170C4F9",2016-09-22 19:32:05.000,55,0.85470894,"999F8F86F6B53A05E27C1CDD2686B15C2AA53DD750FA185DF47068B4B170C4F9",23,"Better"
33,"Jaime Lust",0.86079544999999991,"01/10 06:08","https://gallery.cortanaintelligence.com/Home/Author?authorId=EE5D30B8D980558AE43597A65AB464D4D7194D6A9DE22B122BCE046807D69AA4",2016-10-01 06:08:18.000,12,0.87174633,"EE5D30B8D980558AE43597A65AB464D4D7194D6A9DE22B122BCE046807D69AA4",-21,"Worst"
34,"Navin Narra",0.86008522999999992,"24/08 01:11","https://gallery.cortanaintelligence.com/Home/Author?authorId=79D0D957C33CEC18F44E82FFA9EB6D381953B7CF60ADCCDFE686EC10654DE9AF",2016-08-24 01:11:24.000,21,0.86559394,"79D0D957C33CEC18F44E82FFA9EB6D381953B7CF60ADCCDFE686EC10654DE9AF",-13,"Worst"
35,"Angel Santamaria",0.86008522999999992,"13/09 15:26","https://gallery.cortanaintelligence.com/Home/Author?authorId=403C6A6AF089F79D66C3CB730155BD06D1B02CBC9518880382C62E2EC3AA262E",2016-09-13 15:26:23.000,29,0.8637009,"403C6A6AF089F79D66C3CB730155BD06D1B02CBC9518880382C62E2EC3AA262E",-6,"Worst"
36,"Jose Luis Latorre Millás",0.859375,"08/07 22:17","https://gallery.cortanaintelligence.com/Home/Author?authorId=1CE539A9535F7B8CAE44A96FDB56D53BB950E1386A306B6F3A827E1046310656",2016-07-08 22:17:41.000,70,0.84997634,"1CE539A9535F7B8CAE44A96FDB56D53BB950E1386A306B6F3A827E1046310656",34,"Better"
37,"RODRIGO DOMINGOS",0.85826071,"18/08 11:18","https://gallery.cortanaintelligence.com/Home/Author?authorId=0A769DA7A477C3644047490272873A8C9E9872D3A3E431DE14FED38EF165052B",2016-08-18 11:18:55.000,37,0.86038807000000006,"0A769DA7A477C3644047490272873A8C9E9872D3A3E431DE14FED38EF165052B",0,"Same"
38,"yiyu jia",0.85795455000000009,"01/09 00:49","https://gallery.cortanaintelligence.com/Home/Author?authorId=2903EF67566854BFA07B3399CF132DAD17F5B7E8FFA88B35B6AE8A977256A875",2016-09-01 00:49:59.000,64,0.85234263999999993,"2903EF67566854BFA07B3399CF132DAD17F5B7E8FFA88B35B6AE8A977256A875",26,"Better"
39,"Paul Vega",0.85795455000000009,"21/09 17:31","https://gallery.cortanaintelligence.com/Home/Author?authorId=A6CC9933820A92DC7DA51600B59C5889D7A6CD878CFB64FE26B086F93B49AA46",2016-09-21 17:31:49.000,36,0.86038807000000006,"A6CC9933820A92DC7DA51600B59C5889D7A6CD878CFB64FE26B086F93B49AA46",-3,"Worst"
40,"Déborah Mesquita",0.85724432,"15/09 03:39","https://gallery.cortanaintelligence.com/Home/Author?authorId=A6052C72B7EAC65F81222D0759492FCF9512403AAF41B2EC820DD17027066EC8",2016-09-15 03:39:52.000,31,0.86275437999999993,"A6052C72B7EAC65F81222D0759492FCF9512403AAF41B2EC820DD17027066EC8",-9,"Worst"
41,"superfly.hn",0.85653408999999991,"10/09 12:44","https://gallery.cortanaintelligence.com/Home/Author?authorId=AC90634E185C960257C463A4D2FC6BAD07AE23B46776197BE71FBB75FE91913F",2016-09-10 12:44:10.000,51,0.85565547,"AC90634E185C960257C463A4D2FC6BAD07AE23B46776197BE71FBB75FE91913F",10,"Better"
42,"rmorozevych",0.85653408999999991,"12/09 11:42","https://gallery.cortanaintelligence.com/Home/Author?authorId=EB963FF65017F32755E69318CA13AD1BFF494EC652C009E5489B891103B41D21",2016-09-12 11:42:21.000,65,0.85186938,"EB963FF65017F32755E69318CA13AD1BFF494EC652C009E5489B891103B41D21",23,"Better"
43,"Gautham B A",0.85653408999999991,"30/09 11:19","https://gallery.cortanaintelligence.com/Home/Author?authorId=261E5D6592AB4790152D38A8D022268A57692B0930B8A5C589037916CE73C252",2016-09-30 11:19:49.000,48,0.85612872999999989,"261E5D6592AB4790152D38A8D022268A57692B0930B8A5C589037916CE73C252",5,"Better"
44,"Pau Sempere Sánchez",0.85582386,"20/07 10:51","https://gallery.cortanaintelligence.com/Home/Author?authorId=1E7F3F8845CBBE3CA1365E0712980BD5B120CE2D1631F7CC2CC9C7EE9523FC83",2016-07-20 10:51:12.000,56,0.85423568,"1E7F3F8845CBBE3CA1365E0712980BD5B120CE2D1631F7CC2CC9C7EE9523FC83",12,"Better"
45,"Premalatha Unnikrishnan",0.85582386,"24/08 23:57","https://gallery.cortanaintelligence.com/Home/Author?authorId=16F268836FC5EDA68E5F419E73BE5255F91D2E493231504C19EC5885DC9FF523",2016-08-24 23:57:54.000,50,0.85565547,"16F268836FC5EDA68E5F419E73BE5255F91D2E493231504C19EC5885DC9FF523",5,"Better"
46,"Débora Ito",0.85582386,"12/09 23:29","https://gallery.cortanaintelligence.com/Home/Author?authorId=BFD3DB6BC1AEFB3C74A363D0CA2944A0D5BED4E7DE056F0444FC7CA549A7E1E3",2016-09-12 23:29:06.000,25,0.86464742,"BFD3DB6BC1AEFB3C74A363D0CA2944A0D5BED4E7DE056F0444FC7CA549A7E1E3",-21,"Worst"
47,"Keshavan Ravi",0.85582386,"23/09 06:30","https://gallery.cortanaintelligence.com/Home/Author?authorId=D1C532CF3AD81447E704F4641DF2B7D7DCF2C8921BEA52D5CB98E1FF014A0E52",2016-09-23 06:30:08.000,69,0.85092286000000006,"D1C532CF3AD81447E704F4641DF2B7D7DCF2C8921BEA52D5CB98E1FF014A0E52",22,"Better"
48,"Jim van Kruyssen",0.85511364,"25/07 22:52","https://gallery.cortanaintelligence.com/Home/Author?authorId=CD02F3D895B61F616898128DC657E34206E334ADA11EACBDE5668E80E7388BE6",2016-07-25 22:52:40.000,45,0.85802177,"CD02F3D895B61F616898128DC657E34206E334ADA11EACBDE5668E80E7388BE6",-3,"Worst"
49,"Ocean Celestino",0.85511364,"28/08 21:35","https://gallery.cortanaintelligence.com/Home/Author?authorId=7ADF3D86F49C5D2BFBBB2DBC4440678841D44ABC24C8982C022DF1CFC7EE77BD",2016-08-28 21:35:47.000,53,0.85518220999999994,"7ADF3D86F49C5D2BFBBB2DBC4440678841D44ABC24C8982C022DF1CFC7EE77BD",4,"Better"
50,"Simon Schofield",0.85511364,"11/09 09:17","https://gallery.cortanaintelligence.com/Home/Author?authorId=49A23D9873BD68FE0CD3A47769D36E287C4F4857FCBFF89F067C1CC9591F0C9B",2016-09-11 09:17:27.000,46,0.85754851,"49A23D9873BD68FE0CD3A47769D36E287C4F4857FCBFF89F067C1CC9591F0C9B",-4,"Worst"
51,"Anh Hoang Duc",0.85440341000000009,"20/09 03:35","https://gallery.cortanaintelligence.com/Home/Author?authorId=777B69E2139B3CE126397894C9551E3AEB28DDB45AFFA4BD44074EBF403028F8",2016-09-20 03:35:24.000,13,0.87032655,"777B69E2139B3CE126397894C9551E3AEB28DDB45AFFA4BD44074EBF403028F8",-38,"Worst"
52,"Chaitanya Devaguptapu",0.85369318,"21/07 05:34","https://gallery.cortanaintelligence.com/Home/Author?authorId=AE57CED14919B17CDDF6F12FA37AAB5D03FCD619CF0608221D3175542076BE90",2016-07-21 05:34:53.000,44,0.85802177,"AE57CED14919B17CDDF6F12FA37AAB5D03FCD619CF0608221D3175542076BE90",-8,"Worst"
53,"Mingjian Si",0.85369318,"30/08 15:47","https://gallery.cortanaintelligence.com/Home/Author?authorId=38C2E3F9B8492A5DE1D080794AB118F9DC2F2270ACEDBF8600B19EEE5ED7776A",2016-08-30 15:47:27.000,49,0.85565547,"38C2E3F9B8492A5DE1D080794AB118F9DC2F2270ACEDBF8600B19EEE5ED7776A",-4,"Worst"
54,"Sleeba Paul",0.85369318,"05/09 21:08","https://gallery.cortanaintelligence.com/Home/Author?authorId=1FE06266F5F98327F2A8C92F3B8E26372480B8E05C4EBC7976188705991F6C26",2016-09-05 21:08:57.000,41,0.85896829,"1FE06266F5F98327F2A8C92F3B8E26372480B8E05C4EBC7976188705991F6C26",-13,"Worst"
55,"N Aman",0.85369318,"01/10 06:49","https://gallery.cortanaintelligence.com/Home/Author?authorId=B3B4F592EE33E347004B3AD6953DA13655AC307C5FFD85A77AEF9486335BC4DD",2016-10-01 06:49:40.000,59,0.85376242,"B3B4F592EE33E347004B3AD6953DA13655AC307C5FFD85A77AEF9486335BC4DD",4,"Better"
56,"Frederico Nogueira",0.85298294999999991,"30/09 14:08","https://gallery.cortanaintelligence.com/Home/Author?authorId=0985F006D73F29041EA38DD5A238F0AC90E2A44FE0195FAC20560C34960C7F3C",2016-09-30 14:08:03.000,38,0.85991480999999992,"0985F006D73F29041EA38DD5A238F0AC90E2A44FE0195FAC20560C34960C7F3C",-18,"Worst"
57,"Strien, Koos van",0.85227272999999992,"10/08 07:42","https://gallery.cortanaintelligence.com/Home/Author?authorId=DCE6E9A3B781810EF99A3CDD731C0110C5B4DDEE4F6F76422402CCF9674B96A4",2016-08-10 07:42:17.000,60,0.8532891600000001,"DCE6E9A3B781810EF99A3CDD731C0110C5B4DDEE4F6F76422402CCF9674B96A4",3,"Better"
58,"David Pérez València",0.8515625,"28/07 16:59","https://gallery.cortanaintelligence.com/Home/Author?authorId=334F5CE4787ACFFE28D3331B4D979B28544E58A45B4D6BF55FE1E1D66C41BF29",2016-07-28 16:59:40.000,84,0.84619024999999992,"334F5CE4787ACFFE28D3331B4D979B28544E58A45B4D6BF55FE1E1D66C41BF29",26,"Better"
59,"Pankaj Sharma",0.8515625,"15/08 17:54","https://gallery.cortanaintelligence.com/Home/Author?authorId=6506B253839238B2B14D17610CDFDB2A36911394E6CAC8365F36E442190540E3",2016-08-15 17:54:13.000,67,0.85139612,"6506B253839238B2B14D17610CDFDB2A36911394E6CAC8365F36E442190540E3",8,"Better"
60,"johnberrynnr",0.8515625,"23/09 05:54","https://gallery.cortanaintelligence.com/Home/Author?authorId=6B44484605BE4388E1CC75B00F4F5D5540E8DC4A26713634496D49A80ED25AE6",2016-09-23 05:54:23.000,54,0.85470894,"6B44484605BE4388E1CC75B00F4F5D5540E8DC4A26713634496D49A80ED25AE6",-6,"Worst"
61,"Christopher Kintzel",0.85085227000000008,"17/07 20:53","https://gallery.cortanaintelligence.com/Home/Author?authorId=FE0299CE8700C9ECFD2429BC97739D0BDD378424F631661C66007F0104C58B02",2016-07-17 20:53:40.000,86,0.84571699,"FE0299CE8700C9ECFD2429BC97739D0BDD378424F631661C66007F0104C58B02",25,"Better"
62,"Jing",0.85085227000000008,"21/08 23:12","https://gallery.cortanaintelligence.com/Home/Author?authorId=4478B541316990CAF91C07A99370CABFC62D1BCF63EAE2ECAAAFECE47A01B5DD",2016-08-21 23:12:14.000,98,0.83625177,"4478B541316990CAF91C07A99370CABFC62D1BCF63EAE2ECAAAFECE47A01B5DD",36,"Better"
63,"Yanfei Ma",0.85085227000000008,"24/08 22:26","https://gallery.cortanaintelligence.com/Home/Author?authorId=319AA6C462EF448D1CB79C186DF1FD2D5084D23AE0662BCF6A63E37F32722B79",2016-08-24 22:26:14.000,39,0.85944155,"319AA6C462EF448D1CB79C186DF1FD2D5084D23AE0662BCF6A63E37F32722B79",-24,"Worst"
64,"Nguyen Thanh Tung",0.85085227000000008,"20/09 08:39","https://gallery.cortanaintelligence.com/Home/Author?authorId=5AE6AB28943682034917C290E6283E686329894EFCCDB4C24C4AB6684B17386A",2016-09-20 08:39:49.000,52,0.85565547,"5AE6AB28943682034917C290E6283E686329894EFCCDB4C24C4AB6684B17386A",-12,"Worst"
65,"Viktor Cirbus",0.85085227000000008,"26/09 09:11","https://gallery.cortanaintelligence.com/Home/Author?authorId=22D10D8AD45C73F50AB3BFC2FC10E715A3B20B759D0DF93513363FB671870A2C",2016-09-26 09:11:37.000,42,0.85896829,"22D10D8AD45C73F50AB3BFC2FC10E715A3B20B759D0DF93513363FB671870A2C",-23,"Worst"
66,"Sherryl Manalo",0.85014205000000009,"23/08 08:19","https://gallery.cortanaintelligence.com/Home/Author?authorId=A745E2385F45D127F7AF3AD0C4A5482F8472A5BDE75D8781A826BE99A83E91E2",2016-08-23 08:19:26.000,81,0.84808329,"A745E2385F45D127F7AF3AD0C4A5482F8472A5BDE75D8781A826BE99A83E91E2",15,"Better"
67,"Hanuma Srikiran Akula",0.85014205000000009,"23/08 08:48","https://gallery.cortanaintelligence.com/Home/Author?authorId=01B368760CDFE1D9E71025DC368EE9C71536C3EA8D9482D37CAF8A13D8A83776",2016-08-23 08:48:41.000,91,0.84240416,"01B368760CDFE1D9E71025DC368EE9C71536C3EA8D9482D37CAF8A13D8A83776",24,"Better"
68,"Isaac Tumuti",0.84943182,"06/07 12:24","https://gallery.cortanaintelligence.com/Home/Author?authorId=3FC038EFD04351C3ED26DA5B64D37392F7005C0621F292C09B61C1EE25D5EBF6",2016-07-06 12:24:39.000,74,0.84902981999999994,"3FC038EFD04351C3ED26DA5B64D37392F7005C0621F292C09B61C1EE25D5EBF6",6,"Better"
69,"Roman Lutz",0.84943182,"02/08 01:55","https://gallery.cortanaintelligence.com/Home/Author?authorId=4789636BDEC171D073241AEAAB042929E105A39A20EB6DFFAA7BD3385CF71598",2016-08-02 01:55:57.000,88,0.84571699,"4789636BDEC171D073241AEAAB042929E105A39A20EB6DFFAA7BD3385CF71598",19,"Better"
70,"Michael Ingrisch",0.84943182,"22/09 19:12","https://gallery.cortanaintelligence.com/Home/Author?authorId=A177BC5C68E2581FFC1191BC3D998EE193E1D8C69C1A1C714B06A86338479328",2016-09-22 19:12:47.000,68,0.85139612,"A177BC5C68E2581FFC1191BC3D998EE193E1D8C69C1A1C714B06A86338479328",-2,"Worst"
71,"Jung Tak Joo",0.84943182,"25/09 08:00","https://gallery.cortanaintelligence.com/Home/Author?authorId=7C230E7A19868C03A75BFB1E5F2691983CEC650AA1C159705359AED90C520BCA",2016-09-25 08:00:35.000,47,0.85754851,"7C230E7A19868C03A75BFB1E5F2691983CEC650AA1C159705359AED90C520BCA",-24,"Worst"
72,"tony gracious",0.84943182,"29/09 10:33","https://gallery.cortanaintelligence.com/Home/Author?authorId=05F2BC2E1060B27C7B1C665317A5F61FCF8D247C9200007EBC5F0D0369C32D54",2016-09-29 10:33:39.000,78,0.84855655,"05F2BC2E1060B27C7B1C665317A5F61FCF8D247C9200007EBC5F0D0369C32D54",6,"Better"
73,"Mani Teja",0.84872158999999991,"06/07 11:29","https://gallery.cortanaintelligence.com/Home/Author?authorId=780C8930CB2AB80E7DF92615643EBB25CCAF80E37C04CBB9049AA05AC66BFD41",2016-07-06 11:29:39.000,99,0.83577850999999992,"780C8930CB2AB80E7DF92615643EBB25CCAF80E37C04CBB9049AA05AC66BFD41",26,"Better"
74,"waqas ahmed",0.84872158999999991,"09/07 00:04","https://gallery.cortanaintelligence.com/Home/Author?authorId=20CDD6A72C4A4FD9A59EBD8741CCE199093BCBA44B2FAFEFFA5EAF5BDFD9ECD9",2016-07-09 00:04:37.000,72,0.84950308000000008,"20CDD6A72C4A4FD9A59EBD8741CCE199093BCBA44B2FAFEFFA5EAF5BDFD9ECD9",-2,"Worst"
75,"Bansari shah",0.84872158999999991,"09/07 12:09","https://gallery.cortanaintelligence.com/Home/Author?authorId=739FDA1F3B3A765B5D6186C0AFDD3E2064CC8F3F4A8A3F1A9D3640C53D6EE477",2016-07-09 12:09:04.000,100,0.83577850999999992,"739FDA1F3B3A765B5D6186C0AFDD3E2064CC8F3F4A8A3F1A9D3640C53D6EE477",25,"Better"
76,"Prabhu Rajendran",0.84872158999999991,"03/08 22:58","https://gallery.cortanaintelligence.com/Home/Author?authorId=8875D0B09D9F3AA3E219315C9038F867BD42E475194CE347A6FDA3EA63707EBD",2016-08-03 22:58:41.000,101,0.83577850999999992,"8875D0B09D9F3AA3E219315C9038F867BD42E475194CE347A6FDA3EA63707EBD",25,"Better"
77,"Matt Pantana",0.84872158999999991,"15/08 03:54","https://gallery.cortanaintelligence.com/Home/Author?authorId=EC942E552CD0873775BD1C7BA8D89C4DC8C965D20274F8DF848ECE13E25B7AD1",2016-08-15 03:54:49.000,82,0.84713677000000009,"EC942E552CD0873775BD1C7BA8D89C4DC8C965D20274F8DF848ECE13E25B7AD1",5,"Better"
