Closing period - Date,SLA eligible,SLA missed,Number of requests,HR User Role ID,Country ID
2020-09-28 00:00:00.000,SLA eligible,SLA processed on time,5,,GB
2020-09-29 00:00:00.000,SLA eligible,SLA processed on time,1,,HU
2020-10-02 00:00:00.000,Not eligible to SLA,SLA processed on time,3,,US
2020-09-14 00:00:00.000,SLA eligible,SLA processed on time,1,,GB
2020-09-03 00:00:00.000,SLA eligible,SLA processed on time,1,,ES
2020-09-21 00:00:00.000,SLA eligible,SLA processed on time,1,,VI
2020-10-02 00:00:00.000,SLA eligible,SLA processed on time,2,,SE
2020-09-24 00:00:00.000,SLA eligible,SLA processed on time,2,,AU
2020-09-17 00:00:00.000,SLA eligible,SLA overdue,1,,GB
2020-09-15 00:00:00.000,SLA eligible,SLA processed on time,21,,US
2020-09-24 00:00:00.000,SLA eligible,SLA overdue,1,,US
2020-09-30 00:00:00.000,SLA eligible,SLA overdue,1,,GB
2020-10-06 00:00:00.000,Not eligible to SLA,SLA processed on time,1,,US
2020-09-01 00:00:00.000,Not eligible to SLA,SLA processed on time,5,,US
2020-09-16 00:00:00.000,SLA eligible,SLA processed on time,10,,CA
2020-10-09 00:00:00.000,Not eligible to SLA,SLA processed on time,3,,US
2020-09-29 00:00:00.000,SLA eligible,SLA processed on time,3,,BE
2020-10-01 00:00:00.000,SLA eligible,SLA processed on time,4,,HU
2020-09-30 00:00:00.000,SLA eligible,SLA processed on time,1,,AU
2020-09-29 00:00:00.000,Not eligible to SLA,SLA processed on time,3,,PL
2020-09-15 00:00:00.000,SLA eligible,SLA processed on time,2,,AU
2020-09-25 00:00:00.000,SLA eligible,SLA processed on time,7,,CA
2020-10-07 00:00:00.000,Not eligible to SLA,SLA processed on time,1,,US
2020-10-02 00:00:00.000,SLA eligible,SLA processed on time,1,,HU
2020-10-07 00:00:00.000,SLA eligible,SLA processed on time,1,,DK
2020-10-06 00:00:00.000,SLA eligible,SLA processed on time,1,,HU
2020-10-01 00:00:00.000,SLA eligible,SLA overdue,3,,US
2020-09-30 00:00:00.000,Not eligible to SLA,SLA processed on time,2,,HU
2020-10-08 00:00:00.000,SLA eligible,SLA processed on time,1,,AU
2020-09-08 00:00:00.000,SLA eligible,SLA processed on time,3,,AU
2020-09-25 00:00:00.000,SLA eligible,SLA overdue,3,,US
2020-10-06 00:00:00.000,SLA eligible,SLA processed on time,2,,DE
2020-10-05 00:00:00.000,SLA eligible,SLA overdue,2,,GB
2020-09-14 00:00:00.000,SLA eligible,SLA processed on time,1,,HU
2020-09-30 00:00:00.000,SLA eligible,SLA processed on time,2,,GB
2020-10-08 00:00:00.000,SLA eligible,SLA processed on time,7,,US
2020-09-25 00:00:00.000,SLA eligible,SLA processed on time,1,,VI
2020-09-10 00:00:00.000,SLA eligible,SLA processed on time,1,,DK
2020-09-01 00:00:00.000,Not eligible to SLA,SLA processed on time,1,,
2020-09-17 00:00:00.000,SLA eligible,SLA processed on time,1,,DE
2020-09-30 00:00:00.000,SLA eligible,SLA processed on time,16,,CA
2020-09-28 00:00:00.000,SLA eligible,SLA processed on time,2,,
2020-09-24 00:00:00.000,SLA eligible,SLA overdue,2,,US
2020-10-07 00:00:00.000,SLA eligible,SLA processed on time,11,,US
2020-10-05 00:00:00.000,SLA eligible,SLA processed on time,1,,US
2020-09-16 00:00:00.000,SLA eligible,SLA processed on time,2,,
2020-09-15 00:00:00.000,SLA eligible,SLA processed on time,6,,GB
2020-09-10 00:00:00.000,SLA eligible,SLA overdue,1,,SE
2020-09-30 00:00:00.000,SLA eligible,SLA processed on time,1,,FR
2020-10-09 00:00:00.000,SLA eligible,SLA overdue,1,,US
2020-09-30 00:00:00.000,SLA eligible,SLA processed on time,1,,AU
2020-09-22 00:00:00.000,Not eligible to SLA,SLA processed on time,9,,US
2020-09-15 00:00:00.000,SLA eligible,SLA processed on time,5,,FR
2020-09-15 00:00:00.000,SLA eligible,SLA processed on time,3,,IT
2020-09-29 00:00:00.000,SLA eligible,SLA overdue,1,,NO
2020-09-17 00:00:00.000,SLA eligible,SLA processed on time,5,,
2020-09-01 00:00:00.000,SLA eligible,SLA processed on time,2,,NZ
2020-09-29 00:00:00.000,SLA eligible,SLA processed on time,13,,US
2020-09-15 00:00:00.000,SLA eligible,SLA processed on time,2,,CH
2020-10-08 00:00:00.000,Not eligible to SLA,SLA processed on time,2,,US
2020-09-24 00:00:00.000,SLA eligible,SLA processed on time,10,,GB
2020-09-25 00:00:00.000,SLA eligible,SLA overdue,1,,ES
2020-09-16 00:00:00.000,SLA eligible,SLA processed on time,1,,AU
2020-09-17 00:00:00.000,SLA eligible,SLA overdue,1,,SE
2020-09-28 00:00:00.000,SLA eligible,SLA processed on time,1,,VI
2020-09-30 00:00:00.000,SLA eligible,SLA processed on time,1,,NZ
