Index,Territory,City,Country,Full
54,"South Australia","Port Augusta","Australia","Port Augusta, South Australia, Australia"
55,"South Australia","Port Pirie","Australia","Port Pirie, South Australia, Australia"
56,"South Australia","Port Lincoln","Australia","Port Lincoln, South Australia, Australia"
57,"South Australia","Victor Harbor","Australia","Victor Harbor, South Australia, Australia"
58,"South Australia","Whyalla","Australia","Whyalla, South Australia, Australia"
59,"Tasmania","Hobart","Australia","Hobart, Tasmania, Australia"
60,"Tasmania","Burnie","Australia","Burnie, Tasmania, Australia"
61,"Tasmania","Clarence","Australia","Clarence, Tasmania, Australia"
62,"Tasmania","Devonport","Australia","Devonport, Tasmania, Australia"
63,"Tasmania","Glenorchy","Australia","Glenorchy, Tasmania, Australia"
64,"Tasmania","Launceston","Australia","Launceston, Tasmania, Australia"
65,"Victoria","Melbourne","Australia","Melbourne, Victoria, Australia"
66,"Victoria","Benalla","Australia","Benalla, Victoria, Australia"
67,"Victoria","Ballarat","Australia","Ballarat, Victoria, Australia"
68,"Victoria","Bendigo","Australia","Bendigo, Victoria, Australia"
69,"Victoria","Geelong","Australia","Geelong, Victoria, Australia"
70,"Victoria","Latrobe City","Australia","Latrobe City, Victoria, Australia"
71,"Victoria","Mildura","Australia","Mildura, Victoria, Australia"
72,"Victoria","Shepparton","Australia","Shepparton, Victoria, Australia"
73,"Victoria","Swan Hill","Australia","Swan Hill, Victoria, Australia"
74,"Victoria","Wangaratta","Australia","Wangaratta, Victoria, Australia"
75,"Victoria","Warrnambool","Australia","Warrnambool, Victoria, Australia"
76,"Victoria","Wodonga","Australia","Wodonga, Victoria, Australia"
77,"Western Australia","Perth","Australia","Perth, Western Australia, Australia"
78,"Western Australia","Albany","Australia","Albany, Western Australia, Australia"
79,"Western Australia","Broome","Australia","Broome, Western Australia, Australia"
80,"Western Australia","Bunbury","Australia","Bunbury, Western Australia, Australia"
81,"Western Australia","Geraldton","Australia","Geraldton, Western Australia, Australia"
82,"Western Australia","Fremantle","Australia","Fremantle, Western Australia, Australia"
83,"Western Australia","Kalgoorlie","Australia","Kalgoorlie, Western Australia, Australia"
84,"Western Australia","Mandurah","Australia","Mandurah, Western Australia, Australia"
85,"Western Australia","Port Hedland","Australia","Port Hedland, Western Australia, Australia"
