Pedido,Data.Pedido,Prazo.Entrega,Data.Entrega,Cod.Vendedor,Cod.Unidade,Cod.Cliente,Ocorrência,Vl.Frete,Status,OCT,On Time,In full
70438,2019-05-22 00:00:00.000,2019-05-28 00:00:00.000,2019-05-28 00:00:00.000,10595236,104,286610,"Nenhuma",0,"Entregue",6,"Sim","Sim"
70783,2019-05-24 00:00:00.000,2019-06-03 00:00:00.000,2019-06-03 00:00:00.000,10595236,104,124739,"Nenhuma",0,"Entregue",10,"Sim","Sim"
70786,2019-05-24 00:00:00.000,2019-06-10 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,287197,"Nenhuma",0,"Entregue",17,"Sim","Sim"
70790,2019-05-24 00:00:00.000,2019-06-03 00:00:00.000,2019-06-03 00:00:00.000,10595236,104,57297,"Nenhuma",0,"Entregue",10,"Sim","Sim"
71143,2019-05-27 00:00:00.000,2019-05-30 00:00:00.000,2019-05-30 00:00:00.000,10595236,104,57910,"Nenhuma",0,"Entregue",3,"Sim","Sim"
71145,2019-05-27 00:00:00.000,2019-06-03 00:00:00.000,2019-06-03 00:00:00.000,10595236,104,24264,"Nenhuma",0,"Entregue",7,"Sim","Sim"
71157,2019-05-27 00:00:00.000,2019-06-01 00:00:00.000,2019-05-31 00:00:00.000,10595236,104,286558,"Nenhuma",0,"Entregue",4,"Sim","Sim"
71158,2019-05-27 00:00:00.000,2019-05-31 00:00:00.000,2019-05-31 00:00:00.000,10595236,104,286618,"Nenhuma",0,"Entregue",4,"Sim","Sim"
71170,2019-05-27 00:00:00.000,2019-06-06 00:00:00.000,2019-06-06 00:00:00.000,10595236,104,286663,"Nenhuma",0,"Entregue",10,"Sim","Sim"
71176,2019-05-27 00:00:00.000,2019-06-01 00:00:00.000,2019-05-31 00:00:00.000,10595236,104,58047,"Nenhuma",0,"Entregue",4,"Sim","Sim"
71179,2019-05-27 00:00:00.000,2019-06-04 00:00:00.000,2019-06-04 00:00:00.000,10595236,104,31974,"Nenhuma",0,"Entregue",8,"Sim","Sim"
71247,2019-05-28 00:00:00.000,2019-06-13 00:00:00.000,2019-06-13 00:00:00.000,10595236,104,286695,"Nenhuma",0,"Entregue",16,"Sim","Sim"
71445,2019-05-29 00:00:00.000,2019-06-05 00:00:00.000,2019-06-05 00:00:00.000,10595236,104,286528,"Nenhuma",0,"Entregue",7,"Sim","Sim"
71656,2019-05-30 00:00:00.000,2019-06-07 00:00:00.000,2019-06-07 00:00:00.000,10595236,104,55942,"Nenhuma",0,"Entregue",8,"Sim","Sim"
71658,2019-05-30 00:00:00.000,2019-06-07 00:00:00.000,2019-06-07 00:00:00.000,10595236,104,286909,"Nenhuma",0,"Entregue",8,"Sim","Sim"
71663,2019-05-30 00:00:00.000,2019-06-10 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,124638,"Nenhuma",0,"Entregue",11,"Sim","Sim"
71667,2019-05-30 00:00:00.000,2019-06-07 00:00:00.000,2019-06-07 00:00:00.000,10595236,104,286607,"Nenhuma",0,"Entregue",8,"Sim","Sim"
71670,2019-05-30 00:00:00.000,2019-06-06 00:00:00.000,2019-06-07 00:00:00.000,10595236,104,286993,"Nenhuma",0,"Entregue",8,"Não","Sim"
71850,2019-05-31 00:00:00.000,2019-06-06 00:00:00.000,2019-06-06 00:00:00.000,10595236,104,286637,"Nenhuma",0,"Entregue",6,"Sim","Sim"
71857,2019-05-31 00:00:00.000,2019-06-07 00:00:00.000,2019-06-07 00:00:00.000,10595236,104,286576,"Nenhuma",0,"Entregue",7,"Sim","Sim"
71861,2019-05-31 00:00:00.000,2019-06-12 00:00:00.000,2019-06-12 00:00:00.000,10595236,104,286593,"Nenhuma",0,"Entregue",12,"Sim","Sim"
72266,2019-06-03 00:00:00.000,2019-06-08 00:00:00.000,2019-06-11 00:00:00.000,10595236,104,275361,"Nenhuma",0,"Entregue",8,"Não","Sim"
72269,2019-06-03 00:00:00.000,2019-06-10 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,124638,"Nenhuma",0,"Entregue",7,"Sim","Sim"
72271,2019-06-03 00:00:00.000,2019-06-12 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,286993,"Nenhuma",0,"Entregue",7,"Sim","Sim"
72275,2019-06-03 00:00:00.000,2019-06-06 00:00:00.000,2019-06-06 00:00:00.000,10595236,104,287135,"Nenhuma",0,"Entregue",3,"Sim","Sim"
72288,2019-06-03 00:00:00.000,2019-06-10 00:00:00.000,2019-06-11 00:00:00.000,10595236,104,286625,"Nenhuma",0,"Entregue",8,"Não","Sim"
72355,2019-06-04 00:00:00.000,2019-07-09 00:00:00.000,2019-07-02 00:00:00.000,10595236,104,58944,"Nenhuma",0,"Entregue",28,"Sim","Sim"
72365,2019-06-04 00:00:00.000,2019-06-10 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,287234,"Nenhuma",0,"Entregue",6,"Sim","Sim"
72367,2019-06-04 00:00:00.000,2019-06-28 00:00:00.000,2019-06-24 00:00:00.000,10595236,104,287228,"Nenhuma",0,"Entregue",20,"Sim","Sim"
72374,2019-06-04 00:00:00.000,2019-06-10 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,286630,"Nenhuma",0,"Entregue",6,"Sim","Sim"
72512,2019-06-05 00:00:00.000,2019-06-12 00:00:00.000,2019-06-12 00:00:00.000,10595236,104,286986,"Nenhuma",0,"Entregue",7,"Sim","Sim"
72513,2019-06-05 00:00:00.000,2019-06-12 00:00:00.000,2019-06-12 00:00:00.000,10595236,104,55942,"Nenhuma",0,"Entregue",7,"Sim","Sim"
72515,2019-06-05 00:00:00.000,2019-06-10 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,286628,"Nenhuma",0,"Entregue",5,"Sim","Sim"
72520,2019-06-05 00:00:00.000,2019-06-13 00:00:00.000,2019-06-12 00:00:00.000,10595236,104,286531,"Nenhuma",0,"Entregue",7,"Sim","Sim"
72526,2019-06-05 00:00:00.000,2019-06-10 00:00:00.000,2019-06-10 00:00:00.000,10595236,104,286547,"Nenhuma",0,"Entregue",5,"Sim","Sim"
72967,2019-06-07 00:00:00.000,2019-06-14 00:00:00.000,2019-06-12 00:00:00.000,10595236,104,286667,"Nenhuma",0,"Entregue",5,"Sim","Sim"
72977,2019-06-07 00:00:00.000,2019-06-22 00:00:00.000,2019-06-19 00:00:00.000,10595236,104,286623,"Nenhuma",0,"Entregue",12,"Sim","Sim"
73327,2019-06-10 00:00:00.000,2019-06-17 00:00:00.000,2019-06-17 00:00:00.000,10595236,104,57569,"Nenhuma",0,"Entregue",7,"Sim","Sim"
73328,2019-06-10 00:00:00.000,2019-06-17 00:00:00.000,2019-06-17 00:00:00.000,10595236,104,286659,"Nenhuma",0,"Entregue",7,"Sim","Sim"
73417,2019-06-11 00:00:00.000,2019-06-18 00:00:00.000,2019-06-20 00:00:00.000,10595236,104,58047,"Nenhuma",0,"Entregue",9,"Não","Sim"
73427,2019-06-11 00:00:00.000,2019-06-18 00:00:00.000,2019-06-18 00:00:00.000,10595236,104,287078,"Nenhuma",0,"Entregue",7,"Sim","Sim"
73435,2019-06-11 00:00:00.000,2019-06-17 00:00:00.000,2019-06-17 00:00:00.000,10595236,104,286533,"Nenhuma",0,"Entregue",6,"Sim","Sim"
73436,2019-06-11 00:00:00.000,2019-06-21 00:00:00.000,2019-06-21 00:00:00.000,10595236,104,286663,"Nenhuma",0,"Entregue",10,"Sim","Sim"
73438,2019-06-11 00:00:00.000,2019-06-15 00:00:00.000,2019-06-14 00:00:00.000,10595236,104,264973,"Nenhuma",0,"Entregue",3,"Sim","Sim"
73649,2019-06-12 00:00:00.000,2019-06-20 00:00:00.000,2019-06-20 00:00:00.000,10595236,104,24264,"Nenhuma",0,"Entregue",8,"Sim","Sim"
73661,2019-06-12 00:00:00.000,2019-06-20 00:00:00.000,2019-06-20 00:00:00.000,10595236,104,286846,"Nenhuma",0,"Entregue",8,"Sim","Sim"
73896,2019-06-13 00:00:00.000,2019-06-18 00:00:00.000,2019-06-18 00:00:00.000,10595236,104,286524,"Nenhuma",0,"Entregue",5,"Sim","Sim"
73898,2019-06-13 00:00:00.000,2019-07-04 00:00:00.000,2019-07-04 00:00:00.000,10595236,104,58434,"Nenhuma",0,"Entregue",21,"Sim","Sim"
73900,2019-06-13 00:00:00.000,2019-06-18 00:00:00.000,2019-06-18 00:00:00.000,10595236,104,124638,"Nenhuma",0,"Entregue",5,"Sim","Sim"
73905,2019-06-13 00:00:00.000,2019-06-20 00:00:00.000,2019-06-20 00:00:00.000,10595236,104,286787,"Nenhuma",0,"Entregue",7,"Sim","Sim"
73907,2019-06-13 00:00:00.000,2019-06-18 00:00:00.000,2019-06-19 00:00:00.000,10595236,104,286562,"Nenhuma",0,"Entregue",6,"Não","Sim"
73909,2019-06-13 00:00:00.000,2019-06-21 00:00:00.000,2019-06-20 00:00:00.000,10595236,104,286858,"Nenhuma",0,"Entregue",7,"Sim","Sim"
73914,2019-06-13 00:00:00.000,2019-06-21 00:00:00.000,2019-06-21 00:00:00.000,10595236,104,286853,"Nenhuma",0,"Entregue",8,"Sim","Sim"
73916,2019-06-13 00:00:00.000,2019-06-25 00:00:00.000,2019-06-25 00:00:00.000,10595236,104,286532,"Nenhuma",0,"Entregue",12,"Sim","Sim"
74071,2019-06-14 00:00:00.000,2019-06-19 00:00:00.000,2019-06-19 00:00:00.000,10595236,104,286711,"Nenhuma",0,"Entregue",5,"Sim","Sim"
74377,2019-06-17 00:00:00.000,2019-06-24 00:00:00.000,2019-06-25 00:00:00.000,10595236,104,286643,"Nenhuma",0,"Entregue",8,"Não","Sim"
74378,2019-06-17 00:00:00.000,2019-06-24 00:00:00.000,2019-06-25 00:00:00.000,10595236,104,286661,"Nenhuma",0,"Entregue",8,"Não","Sim"
74380,2019-06-17 00:00:00.000,2019-06-21 00:00:00.000,2019-06-21 00:00:00.000,10595236,104,286556,"Nenhuma",0,"Entregue",4,"Sim","Sim"
74389,2019-06-17 00:00:00.000,2019-06-22 00:00:00.000,2019-06-25 00:00:00.000,10595236,104,286798,"Nenhuma",0,"Entregue",8,"Não","Sim"
74466,2019-06-18 00:00:00.000,2019-06-25 00:00:00.000,2019-06-25 00:00:00.000,10595236,104,286688,"Nenhuma",0,"Entregue",7,"Sim","Sim"
74473,2019-06-18 00:00:00.000,2019-06-29 00:00:00.000,2019-06-28 00:00:00.000,10595236,104,286849,"Nenhuma",0,"Entregue",10,"Sim","Sim"
74480,2019-06-18 00:00:00.000,2019-06-26 00:00:00.000,2019-06-26 00:00:00.000,10595236,104,286907,"Nenhuma",0,"Entregue",8,"Sim","Sim"
74483,2019-06-18 00:00:00.000,2019-06-28 00:00:00.000,2019-06-26 00:00:00.000,10595236,104,287184,"Nenhuma",0,"Entregue",8,"Sim","Sim"
74484,2019-06-18 00:00:00.000,2019-06-28 00:00:00.000,2019-06-26 00:00:00.000,10595236,104,287135,"Nenhuma",0,"Entregue",8,"Sim","Sim"
74485,2019-06-18 00:00:00.000,2019-06-26 00:00:00.000,2019-06-26 00:00:00.000,10595236,104,286549,"Nenhuma",0,"Entregue",8,"Sim","Sim"
74618,2019-06-19 00:00:00.000,2019-06-29 00:00:00.000,2019-06-27 00:00:00.000,10595236,104,55942,"Nenhuma",0,"Entregue",8,"Sim","Sim"
74624,2019-06-19 00:00:00.000,2019-06-25 00:00:00.000,2019-06-25 00:00:00.000,10595236,104,57753,"Nenhuma",0,"Entregue",6,"Sim","Sim"
74625,2019-06-19 00:00:00.000,2019-06-27 00:00:00.000,2019-06-25 00:00:00.000,10595236,104,58565,"Nenhuma",0,"Entregue",6,"Sim","Sim"
74631,2019-06-19 00:00:00.000,2019-06-27 00:00:00.000,2019-06-27 00:00:00.000,10595236,104,286541,"Nenhuma",0,"Entregue",8,"Sim","Sim"
74632,2019-06-19 00:00:00.000,2019-06-27 00:00:00.000,2019-06-27 00:00:00.000,10595236,104,290468,"Nenhuma",0,"Entregue",8,"Sim","Sim"
75017,2019-06-21 00:00:00.000,2019-07-17 00:00:00.000,2019-07-17 00:00:00.000,10595236,104,2397,"Nenhuma",0,"Entregue",26,"Sim","Sim"
75024,2019-06-21 00:00:00.000,2019-07-01 00:00:00.000,2019-07-01 00:00:00.000,10595236,104,286933,"Nenhuma",0,"Entregue",10,"Sim","Sim"
75035,2019-06-21 00:00:00.000,2019-06-28 00:00:00.000,2019-06-28 00:00:00.000,10595236,104,286947,"Nenhuma",0,"Entregue",7,"Sim","Sim"
75451,2019-06-24 00:00:00.000,2019-07-02 00:00:00.000,2019-07-02 00:00:00.000,10595236,104,286612,"Nenhuma",0,"Entregue",8,"Sim","Sim"
75465,2019-06-24 00:00:00.000,2019-06-27 00:00:00.000,2019-06-27 00:00:00.000,10595236,104,287060,"Nenhuma",0,"Entregue",3,"Sim","Sim"
75470,2019-06-24 00:00:00.000,2019-07-03 00:00:00.000,2019-07-02 00:00:00.000,10595236,104,286853,"Nenhuma",0,"Entregue",8,"Sim","Sim"
75471,2019-06-24 00:00:00.000,2019-07-01 00:00:00.000,2019-07-01 00:00:00.000,10595236,104,286652,"Nenhuma",0,"Entregue",7,"Sim","Sim"
75472,2019-06-24 00:00:00.000,2019-07-02 00:00:00.000,2019-07-02 00:00:00.000,10595236,104,286801,"Nenhuma",0,"Entregue",8,"Sim","Sim"
75569,2019-06-25 00:00:00.000,2019-06-27 00:00:00.000,2019-06-28 00:00:00.000,10595236,104,24264,"Nenhuma",0,"Entregue",3,"Não","Sim"
75576,2019-06-25 00:00:00.000,2019-06-30 00:00:00.000,2019-07-01 00:00:00.000,10595236,104,286661,"Nenhuma",0,"Entregue",6,"Não","Sim"
75581,2019-06-25 00:00:00.000,2019-07-02 00:00:00.000,2019-07-02 00:00:00.000,10595236,104,286664,"Nenhuma",0,"Entregue",7,"Sim","Sim"
75779,2019-06-26 00:00:00.000,2019-07-04 00:00:00.000,2019-07-04 00:00:00.000,10595236,104,287234,"Nenhuma",0,"Entregue",8,"Sim","Sim"
75782,2019-06-26 00:00:00.000,2019-07-07 00:00:00.000,2019-07-04 00:00:00.000,10595236,104,286578,"Nenhuma",0,"Entregue",8,"Sim","Sim"
76055,2019-06-27 00:00:00.000,2019-07-03 00:00:00.000,2019-07-02 00:00:00.000,10595236,104,13350,"Nenhuma",0,"Entregue",5,"Sim","Sim"
76057,2019-06-27 00:00:00.000,2019-07-04 00:00:00.000,2019-07-03 00:00:00.000,10595236,104,124739,"Nenhuma",0,"Entregue",6,"Sim","Sim"
76171,2019-06-28 00:00:00.000,2019-07-05 00:00:00.000,2019-07-05 00:00:00.000,10595236,104,286787,"Nenhuma",0,"Entregue",7,"Sim","Sim"
76575,2019-07-01 00:00:00.000,2019-07-10 00:00:00.000,2019-07-10 00:00:00.000,10595236,104,287295,"Nenhuma",0,"Entregue",9,"Sim","Sim"
76683,2019-07-02 00:00:00.000,2019-07-10 00:00:00.000,2019-07-10 00:00:00.000,10595236,104,13350,"Nenhuma",0,"Entregue",8,"Sim","Sim"
76684,2019-07-02 00:00:00.000,2019-07-10 00:00:00.000,2019-07-10 00:00:00.000,10595236,104,286553,"Nenhuma",0,"Entregue",8,"Sim","Sim"
76685,2019-07-02 00:00:00.000,2019-07-12 00:00:00.000,2019-07-12 00:00:00.000,10595236,104,58047,"Nenhuma",0,"Entregue",10,"Sim","Sim"
76689,2019-07-02 00:00:00.000,2019-07-05 00:00:00.000,2019-07-05 00:00:00.000,10595236,104,286909,"Nenhuma",0,"Entregue",3,"Sim","Sim"
76693,2019-07-02 00:00:00.000,2019-07-06 00:00:00.000,2019-07-05 00:00:00.000,10595236,104,287121,"Nenhuma",0,"Entregue",3,"Sim","Sim"
76699,2019-07-02 00:00:00.000,2019-07-10 00:00:00.000,2019-07-10 00:00:00.000,10595236,104,286592,"Nenhuma",0,"Entregue",8,"Sim","Sim"
76962,2019-07-04 00:00:00.000,2019-07-08 00:00:00.000,2019-07-11 00:00:00.000,10595236,104,124638,"Nenhuma",0,"Entregue",7,"Não","Sim"
76963,2019-07-04 00:00:00.000,2019-07-12 00:00:00.000,2019-07-12 00:00:00.000,10595236,104,286854,"Nenhuma",0,"Entregue",8,"Sim","Sim"
76966,2019-07-04 00:00:00.000,2019-07-14 00:00:00.000,2019-07-15 00:00:00.000,10595236,104,286667,"Nenhuma",0,"Entregue",11,"Não","Sim"
76970,2019-07-04 00:00:00.000,2019-07-10 00:00:00.000,2019-07-10 00:00:00.000,10595236,104,124906,"Nenhuma",0,"Entregue",6,"Sim","Sim"
77150,2019-07-05 00:00:00.000,2019-07-12 00:00:00.000,2019-07-12 00:00:00.000,10595236,104,55942,"Nenhuma",0,"Entregue",7,"Sim","Sim"
77161,2019-07-05 00:00:00.000,2019-07-11 00:00:00.000,2019-07-11 00:00:00.000,10595236,104,58266,"Nenhuma",0,"Entregue",6,"Sim","Sim"
77445,2019-07-08 00:00:00.000,2019-07-13 00:00:00.000,2019-07-12 00:00:00.000,10595236,104,13350,"Nenhuma",0,"Entregue",4,"Sim","Sim"
77448,2019-07-08 00:00:00.000,2019-07-29 00:00:00.000,2019-07-29 00:00:00.000,10595236,104,124638,"Nenhuma",0,"Entregue",21,"Sim","Sim"
77458,2019-07-08 00:00:00.000,2019-07-16 00:00:00.000,2019-07-15 00:00:00.000,10595236,104,286482,"Nenhuma",0,"Entregue",7,"Sim","Sim"
77462,2019-07-08 00:00:00.000,2019-07-18 00:00:00.000,2019-07-18 00:00:00.000,10595236,104,286618,"Nenhuma",0,"Entregue",10,"Sim","Sim"
77469,2019-07-08 00:00:00.000,2019-07-15 00:00:00.000,2019-07-15 00:00:00.000,10595236,104,260985,"Nenhuma",0,"Entregue",7,"Sim","Sim"
77479,2019-07-08 00:00:00.000,2019-07-24 00:00:00.000,2019-07-24 00:00:00.000,10595236,104,287135,"Nenhuma",0,"Entregue",16,"Sim","Sim"
77511,2019-07-09 00:00:00.000,2019-07-16 00:00:00.000,2019-07-16 00:00:00.000,10595236,104,24264,"Nenhuma",0,"Entregue",7,"Sim","Sim"
77516,2019-07-09 00:00:00.000,2019-07-31 00:00:00.000,2019-07-31 00:00:00.000,10595236,104,264973,"Nenhuma",0,"Entregue",22,"Sim","Sim"
77536,2019-07-09 00:00:00.000,2019-07-24 00:00:00.000,2019-07-25 00:00:00.000,10595236,104,286778,"Nenhuma",0,"Entregue",16,"Não","Sim"
77539,2019-07-09 00:00:00.000,2019-07-16 00:00:00.000,2019-07-16 00:00:00.000,10595236,104,286801,"Nenhuma",0,"Entregue",7,"Sim","Sim"
77722,2019-07-10 00:00:00.000,2019-07-17 00:00:00.000,2019-07-17 00:00:00.000,10595236,104,67334,"Nenhuma",0,"Entregue",7,"Sim","Sim"
77939,2019-07-11 00:00:00.000,2019-07-19 00:00:00.000,2019-07-19 00:00:00.000,10595236,104,13350,"Nenhuma",0,"Entregue",8,"Sim","Sim"
77942,2019-07-11 00:00:00.000,2019-07-16 00:00:00.000,2019-07-16 00:00:00.000,10595236,104,287057,"Nenhuma",0,"Entregue",5,"Sim","Sim"
78094,2019-07-12 00:00:00.000,2019-07-22 00:00:00.000,2019-07-22 00:00:00.000,10595236,104,55942,"Nenhuma",0,"Entregue",10,"Sim","Sim"
78106,2019-07-12 00:00:00.000,2019-07-22 00:00:00.000,2019-07-22 00:00:00.000,10595236,104,287353,"Nenhuma",0,"Entregue",10,"Sim","Sim"
78344,2019-07-15 00:00:00.000,2019-07-22 00:00:00.000,2019-07-22 00:00:00.000,10595236,104,286787,"Nenhuma",0,"Entregue",7,"Sim","Sim"
78355,2019-07-15 00:00:00.000,2019-07-30 00:00:00.000,2019-07-30 00:00:00.000,10595236,104,25361,"Nenhuma",0,"Entregue",15,"Sim","Sim"
78356,2019-07-15 00:00:00.000,2019-07-22 00:00:00.000,2019-07-22 00:00:00.000,10595236,104,286483,"Nenhuma",0,"Entregue",7,"Sim","Sim"
78423,2019-07-16 00:00:00.000,2019-07-24 00:00:00.000,2019-07-24 00:00:00.000,10595236,104,286681,"Nenhuma",0,"Entregue",8,"Sim","Sim"
78435,2019-07-16 00:00:00.000,2019-07-19 00:00:00.000,2019-07-19 00:00:00.000,10595236,104,286793,"Nenhuma",0,"Entregue",3,"Sim","Sim"
78442,2019-07-16 00:00:00.000,2019-07-22 00:00:00.000,2019-07-23 00:00:00.000,10595236,104,287234,"Nenhuma",0,"Entregue",7,"Não","Sim"
78553,2019-07-17 00:00:00.000,2019-08-01 00:00:00.000,2019-08-01 00:00:00.000,10595236,104,286669,"Nenhuma",0,"Entregue",15,"Sim","Sim"
78555,2019-07-17 00:00:00.000,2019-07-25 00:00:00.000,2019-07-25 00:00:00.000,10595236,104,58708,"Nenhuma",0,"Entregue",8,"Sim","Sim"
78566,2019-07-17 00:00:00.000,2019-07-24 00:00:00.000,2019-07-24 00:00:00.000,10595236,104,286792,"Nenhuma",0,"Entregue",7,"Sim","Sim"
78735,2019-07-18 00:00:00.000,2019-07-24 00:00:00.000,2019-07-24 00:00:00.000,10595236,104,286637,"Nenhuma",0,"Entregue",6,"Sim","Sim"
78736,2019-07-18 00:00:00.000,2019-07-29 00:00:00.000,2019-07-29 00:00:00.000,10595236,104,286667,"Nenhuma",0,"Entregue",11,"Sim","Sim"
78738,2019-07-18 00:00:00.000,2019-07-26 00:00:00.000,2019-07-24 00:00:00.000,10595236,104,286851,"Nenhuma",0,"Entregue",6,"Sim","Sim"
78744,2019-07-18 00:00:00.000,2019-07-25 00:00:00.000,2019-07-25 00:00:00.000,10595236,104,286526,"Nenhuma",0,"Entregue",7,"Sim","Sim"
78811,2019-07-19 00:00:00.000,2019-08-05 00:00:00.000,2019-08-06 00:00:00.000,10595236,104,286684,"Nenhuma",0,"Entregue",18,"Não","Sim"
78812,2019-07-19 00:00:00.000,2019-07-26 00:00:00.000,2019-07-26 00:00:00.000,10595236,104,286688,"Nenhuma",0,"Entregue",7,"Sim","Sim"
79176,2019-07-22 00:00:00.000,2019-07-26 00:00:00.000,2019-07-26 00:00:00.000,10595236,104,124638,"Nenhuma",0,"Entregue",4,"Sim","Sim"
79185,2019-07-22 00:00:00.000,2019-07-30 00:00:00.000,2019-07-30 00:00:00.000,10595236,104,286754,"Nenhuma",0,"Entregue",8,"Sim","Sim"
79186,2019-07-22 00:00:00.000,2019-07-27 00:00:00.000,2019-07-26 00:00:00.000,10595236,104,286661,"Nenhuma",0,"Entregue",4,"Sim","Sim"
79189,2019-07-22 00:00:00.000,2019-07-29 00:00:00.000,2019-07-29 00:00:00.000,10595236,104,286659,"Nenhuma",0,"Entregue",7,"Sim","Sim"
79190,2019-07-22 00:00:00.000,2019-07-25 00:00:00.000,2019-07-25 00:00:00.000,10595236,104,287718,"Nenhuma",0,"Entregue",3,"Sim","Sim"
79263,2019-07-23 00:00:00.000,2019-07-30 00:00:00.000,2019-07-30 00:00:00.000,10595236,104,286909,"Nenhuma",0,"Entregue",7,"Sim","Sim"
79265,2019-07-23 00:00:00.000,2019-07-26 00:00:00.000,2019-07-26 00:00:00.000,10595236,104,58944,"Nenhuma",0,"Entregue",3,"Sim","Sim"
79269,2019-07-23 00:00:00.000,2019-08-03 00:00:00.000,2019-07-31 00:00:00.000,10595236,104,286642,"Nenhuma",0,"Entregue",8,"Sim","Sim"
79272,2019-07-23 00:00:00.000,2019-07-26 00:00:00.000,2019-07-26 00:00:00.000,10595236,104,286679,"Nenhuma",0,"Entregue",3,"Sim","Sim"
79279,2019-07-23 00:00:00.000,2019-08-02 00:00:00.000,2019-08-02 00:00:00.000,10595236,104,286848,"Nenhuma",0,"Entregue",10,"Sim","Sim"
79494,2019-07-24 00:00:00.000,2019-08-13 00:00:00.000,2019-08-09 00:00:00.000,10595236,104,55657,"Nenhuma",0,"Entregue",16,"Sim","Sim"
