credata_pk,vendor,region,tenancy,environment_type,instance_type,compute_type,recommendation_type,ru_recommendation_metric,safety_factor,saved_doql_query,recommend_burstable,recommend_amd,recommend_arm,ignore_hyperv,os_filter,device_type_filter,tag_filter,service_level,device_data,device_fk,device_name,orig_total_cores,orig_memory,orig_hard_disk,orig_os,orig_nic_out_transfer,orig_nic_in_transfer,orig_nic_speed,orig_disk_throughput,orig_disk_read_throughput,orig_disk_write_throughput,orig_disk_iops,orig_disk_read_iops,orig_disk_write_iops,orig_disk_latency,orig_disk_read_latency,cluster_device_fk,cluster_device_name,recommended_instance,burstable,cpu,total_cores,memory,network,matching_os,monthly_ondemand_cost,monthly_premptible_cost,monthly_1yr_resvd_cost,monthly_1yr_resvd_noupfront_cost,monthly_prorated_3yr_resvd_cost,monthly_1yr_resvd_partupfront_cost,monthly_1yr_resvd_allupfront_cost,monthly_prorated_3yr_resvd_noupfront_cost,monthly_prorated_3yr_resvd_partupfront_cost,monthly_prorated_3yr_resvd_allupfront_cost,yearly_ondemand_cost,yearly_premptible_cost,yearly_1yr_resvd_cost,yearly_1yr_resvd_noupfront_cost,yearly_1yr_resvd_partupfront_cost,yearly_1yr_resvd_allupfront_cost,yearly_prorated_3yr_resvd_cost,yearly_prorated_3yr_resvd_noupfront_cost,yearly_prorated_3yr_resvd_partupfront_cost,yearly_prorated_3yr_resvd_allupfront_cost,storage,block_volume_storage,monthly_storage_cost,yearly_storage_cost,monthly_networking_cost,yearly_networking_cost,local_disk,row_color,missing_ru_data,status,first_added,last_updated
3162554,Oracle,,,,,vm,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 16372}",16372.0,selenium-hub_eca42f3d1679,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:29.200,2021-11-12 06:33:29.200
3161187,Oracle,,,,,vm,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': 2700.0, 'os_name': u'Microsoft Windows Server 2012 R2 Standard', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': Decimal('77.00'), 'ram': 4096.0, 'total_cores': 2, 'hard_disk_size': Decimal('77.00'), 'os_arch': u'64', 'hard_disk_size_type': None, 'cpucount': 2, 'os_fk': 107, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 10455}",10455.0,WINDOWS-64APMKB.d42-laps.local,2.0,4.0,77.00,Microsoft Windows Server 2012 R2 Standard,,,,,,,,,,,,,,VM.Standard2.1,,"Intel Xeon Platinum 8167M. Base frequency 2.0 GHz, max turbo frequency 2.4 GHz.",2.0,15.0,1 Gbps,Windows Server OS,113.71,,,,,,,,,,1364.81,,,,,,,,,,Up to 1 PB of remote Block Volumes,77.0,1.96,23.52,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_latency, disk_write_latency, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:28.480,2021-11-12 06:33:28.480
3155640,AWS,US East (N. Virginia),Shared,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 16139}",16139.0,cranky_yalow_7f48b18906b3,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:23.296,2021-11-12 06:33:23.296
3158814,Azure,East US,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Microsoft Windows Server 2008 R2 (64-bit)', 'ram_size_type': u'MB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 512.0, 'total_cores': 1, 'hard_disk_size': Decimal('10.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 1, 'os_fk': 247, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 10108}",10108.0,w2k8-min-250104,1.0,0.5,10.00,Microsoft Windows Server 2008 R2 (64-bit),,,,,,,,,,,,,,D2ads v5,No,2.55Ghz AMD EPYC 7763v,2.0,8.0,,Windows OS,0.0,,,,,,,,,,0.0,,,,,,,,,,"E3 (16 GiB, 500 (600) IOPS, 60 MB/second (150 MB/second) Throughput)",,1.2,14.4,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:26.653,2021-11-12 06:33:26.653
3156202,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': 2000.0, 'os_name': u'Ubuntu', 'ram_size_type': u'MB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 512.0, 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': 1, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 874}",874.0,webserver.dev,1.0,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:24.316,2021-11-12 06:33:24.316
3159097,Azure,East US,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'CentOS', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': True, 'total_part_disk_size': None, 'ram': 8192.0, 'total_cores': 2, 'hard_disk_size': Decimal('100.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 2, 'os_fk': 19, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 13386}",13386.0,Device42_v15_00,2.0,8.0,100.00,CentOS,,,,,,,,,,,,,,D2ads v5,No,2.55Ghz AMD EPYC 7763v,2.0,8.0,,CentOS or Ubuntu Linux,0.0,,,,,,,,,,0.0,,,,,,,,,,"S10 (128 GiB, Up to 500 IOPS, Up to 60 MB/second Throughput)",,5.89,70.68,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:26.913,2021-11-12 06:33:26.913
3157217,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 14211}",14211.0,ca2c69256183,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:25.393,2021-11-12 06:33:25.393
3156321,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': 2130.0, 'os_name': u'CentOS', 'ram_size_type': u'GB', 'type_id': 1, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 1024.0, 'total_cores': 1, 'hard_disk_size': None, 'os_arch': u'64', 'hard_disk_size_type': None, 'cpucount': 1, 'os_fk': 19, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 5559}",5559.0,centos-68-001,1.0,1.0,,CentOS,,,,,,,,,,,,,,e2-micro,Yes,2.0 GHz Intel Xeon Scalable Processor (Skylake),2.0,1.0,,Linux,6.89,2.07,4.34,,3.1,,,,,,82.64,24.79,52.06,,,,37.19,,,,,,,,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_write_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:24.360,2021-11-12 06:33:24.360
3161055,Oracle,,,,,vm,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Microsoft Windows Server 2008 R2 (64-bit)', 'ram_size_type': u'MB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 512.0, 'total_cores': 1, 'hard_disk_size': Decimal('10.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 1, 'os_fk': 247, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 10109}",10109.0,w2k8-min-250105,1.0,0.5,10.00,Microsoft Windows Server 2008 R2 (64-bit),,,,,,,,,,,,,,VM.Standard2.1,,"Intel Xeon Platinum 8167M. Base frequency 2.0 GHz, max turbo frequency 2.4 GHz.",2.0,15.0,1 Gbps,Windows Server OS,113.71,,,,,,,,,,1364.81,,,,,,,,,,Up to 1 PB of remote Block Volumes,10.0,0.26,3.12,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_latency, disk_write_latency, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:28.290,2021-11-12 06:33:28.290
3154508,AWS,US East (N. Virginia),Shared,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Linux', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 8192.0, 'total_cores': 2, 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': 1, 'os_fk': 58, 'service_level_id': 1, 'cpucore': 2, 'virtual_host': False, 'id': 12083}",12083.0,B696F98B-F1FE-4BDD-82BC-58020EA4309F/Device42-Trial-Test,2.0,8.0,,Linux,,,,,,,,,,,,,,t3a.large,Yes,AMD EPYC 7571,2.0,8.0,,Linux,54.9,,,34.38,,32.77,32.08,23.72,21.92,20.64,658.75,,,412.6,393.22,385.0,,284.7,263.07,247.67,,,,,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:22.233,2021-11-12 06:33:22.233
3161145,Oracle,,,,,vm,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': 2700.0, 'os_name': u'Microsoft Windows Server 2012 R2 Standard', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': Decimal('97.00'), 'ram': 4096.0, 'total_cores': 2, 'hard_disk_size': Decimal('97.00'), 'os_arch': u'64', 'hard_disk_size_type': None, 'cpucount': 2, 'os_fk': 107, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 10413}",10413.0,WINDOWS-IQOLR68,2.0,4.0,97.00,Microsoft Windows Server 2012 R2 Standard,,,,,,,,,,,,,,VM.Standard2.1,,"Intel Xeon Platinum 8167M. Base frequency 2.0 GHz, max turbo frequency 2.4 GHz.",2.0,15.0,1 Gbps,Windows Server OS,113.71,,,,,,,,,,1364.81,,,,,,,,,,Up to 1 PB of remote Block Volumes,97.0,2.47,29.64,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_latency, disk_write_latency, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:28.453,2021-11-12 06:33:28.453
3159264,Azure,East US,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Microsoft Windows Server 2008 R2 (64-bit)', 'ram_size_type': u'MB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 512.0, 'total_cores': 1, 'hard_disk_size': Decimal('10.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 1, 'os_fk': 247, 'service_level_id': 11, 'cpucore': 1, 'virtual_host': False, 'id': 13556}",13556.0,w2k8-min-25125,1.0,0.5,10.00,Microsoft Windows Server 2008 R2 (64-bit),,,,,,,,,,,,,,D2as v5,No,2.55Ghz AMD EPYC 7763v,2.0,8.0,,Windows OS,0.0,,,,,,,,,,0.0,,,,,,,,,,"E3 (16 GiB, 500 (600) IOPS, 60 MB/second (150 MB/second) Throughput)",,1.2,14.4,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:27.006,2021-11-12 06:33:27.006
3157177,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 13850}",13850.0,0d48597b39c4,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:25.360,2021-11-12 06:33:25.360
3153937,AWS,US East (N. Virginia),Shared,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': 2600.0, 'os_name': u'Microsoft Windows 8.1 Enterprise N', 'ram_size_type': u'GB', 'type_id': 2, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 8192.0, 'total_cores': 2, 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': 1, 'os_fk': 7, 'service_level_id': 8, 'cpucore': 2, 'virtual_host': False, 'id': 825}",825.0,laptop-09,2.0,8.0,,Microsoft Windows 8.1 Enterprise N,,,,,,,,,,,,,,t3a.large,Yes,AMD EPYC 7571,2.0,8.0,,Windows,75.04,,,54.53,,52.93,52.25,43.87,42.08,40.78,900.53,,,654.37,635.11,627.0,,526.48,504.95,489.33,,,,,,,,yellow,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:21.456,2021-11-12 06:33:21.456
3159095,Azure,East US,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'VMware ESX 4.x', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': True, 'total_part_disk_size': None, 'ram': 8192.0, 'total_cores': 4, 'hard_disk_size': Decimal('200.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 4, 'os_fk': 295, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 13384}",13384.0,ESXi4_1_NESTED,4.0,8.0,200.00,VMware ESX 4.x,,,,,,,,,,,,,,D4ads v5,No,2.55Ghz AMD EPYC 7763v,4.0,16.0,,CentOS or Ubuntu Linux,0.0,,,,,,,,,,0.0,,,,,,,,,,"S15 (256 GiB, Up to 500 IOPS, Up to 60 MB/second Throughput)",,11.33,135.96,,,,yellow,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:26.913,2021-11-12 06:33:26.913
3162118,Oracle,,,,,vm,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 15679}",15679.0,romantic_torvalds_dffe59e931c4,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:29.093,2021-11-12 06:33:29.093
