ID,State,Type,ModifiedTime,RefreshedTime,ModelID,Name,Active Flag,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,RelationshipStorageID,RelationshipStorage2ID,SecurityFilteringBehavior,From Table,To Table,From Column,To Column,Cross-Filtering Behavior
569642,1,1,2017-12-11 21:48:34.050,2018-01-03 19:00:19.216,1,"b014ec97-44e6-44f5-920a-00ced62fd24c",True,1,1,False,266,568400,2,1995,167836,1,569643,,1,"Internet Sales","Product","Product Key","Product Key","Single Direction"
571564,1,1,2017-12-11 21:48:34.050,2018-01-03 19:00:19.326,1,"8f0c0094-c0b6-42ef-afe8-e3a3b9c6846d",True,1,1,False,481,568486,2,1995,167836,1,571565,,1,"Reseller Sales","Product","Product Key","Product Key","Single Direction"
570902,1,1,2017-12-11 21:48:34.126,2018-01-03 19:00:19.233,1,"e1903781-84a6-4ba6-b457-efea7d3c00e6",True,1,1,False,266,570411,2,2343,569769,1,570903,,1,"Internet Sales","Sales Territory","Sales Territory Key","Sales Territory Key","Single Direction"
571547,1,1,2017-12-11 21:48:34.033,2018-01-03 19:00:19.310,1,"fb617d85-1210-4012-994d-47eaff538b34",True,1,1,False,481,568497,2,2343,569769,1,571548,,1,"Reseller Sales","Sales Territory","Sales Territory Key","Sales Territory Key","Single Direction"
589506,1,1,2017-12-11 21:48:34.033,2018-01-03 19:00:19.293,1,"c3a3503e-345f-4a08-8ed2-0863d99ac9ed",True,1,1,False,481,568475,2,2651,167273,1,589507,,1,"Reseller Sales","Reseller","Reseller Key","Reseller Key","Single Direction"
571530,1,1,2017-12-11 21:48:34.033,2018-01-03 19:00:19.293,1,"8484e9b8-f186-448e-b7ac-a92dcf021183",True,1,1,False,481,568464,2,2879,570941,1,571531,,1,"Reseller Sales","Employee","Employee Key","Employee Key","Single Direction"
30096,1,1,2017-12-11 21:48:33.986,2018-01-03 19:00:19.420,1,"5b99aed8-4aac-4e07-8050-89b5360f14f3",True,2,1,False,648,671,2,30043,30047,1,30097,,2,"Date","BridgeBudgetDate","Calendar Yr-Mo","Calendar Yr-Mo","Bidirectional"
376750,1,1,2017-12-11 21:48:33.986,2018-01-03 19:00:19.530,1,"498da80c-c754-4fbb-a96e-a88b56fd5b3a",True,1,1,False,376482,376486,2,30043,30047,1,376751,,1,"Sales and Margin Plan","BridgeBudgetDate","Calendar Yr-Mo","Calendar Yr-Mo","Single Direction"
37404,1,1,2017-12-11 21:48:34.050,2018-01-03 19:00:19.390,1,"4cdd298d-98b0-43b7-beee-892d49112dc0",True,2,1,False,1995,2038,2,37351,37355,1,37405,,2,"Product","BridgeProductSubCat","Product Subcategory","Product Subcategory","Bidirectional"
376767,1,1,2017-12-11 21:48:33.986,2018-01-03 19:00:19.513,1,"dd3dbb14-0efa-4b32-91f4-730e42a2118f",True,1,1,False,376482,376488,2,37351,37355,1,376768,,1,"Sales and Margin Plan","BridgeProductSubCat","Product Subcategory","Product Subcategory","Single Direction"
569447,1,1,2018-01-03 23:10:47.016,2018-01-03 19:00:19.763,1,"b2d95188-5817-46e2-a2a1-39589dd3477f",True,1,1,False,266,568409,2,67530,566267,1,569448,,1,"Internet Sales","Customer","Customer Key","Customer Key","Single Direction"
376784,1,1,2017-12-11 21:48:34.096,2018-01-03 19:00:19.246,1,"8fea30bf-bcc4-4c98-80b2-dfb1ba20795e",True,2,1,False,2343,2350,2,376427,376431,1,376817,,1,"Sales Territory","BridgeSalesTerritoryRegion","Sales Territory Region","Sales Territory Region","Bidirectional"
376833,1,1,2017-12-11 21:48:34.096,2018-01-03 19:00:19.543,1,"00102a78-935c-4d1d-aa43-dc2be037e02e",True,1,1,False,376482,376487,2,376427,376431,1,376834,,1,"Sales and Margin Plan","BridgeSalesTerritoryRegion","Sales Territory Region","Sales Territory Region","Single Direction"
