Column1,Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size,Average Pay
4051,2619837252,2018-04-04 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",3,"['backend', 'frontend', 'programming', 'node', 'devops', 'postgres']","United States",,,"",160,"Pluralsight","Information Technology & Services","1,001-5,000 employees",
4632,2722215945,2018-05-24 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'scrum', 'ci/cd', 'java', 'javascript', 'agile', 'python', 'coding', 'nosql']","United States",,,"",40,"NextGen Federal Systems","Information Technology & Services","51-200 employees",
4892,2642493538,2018-06-19 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['database', 'frontend', 'ci/cd', 'cloud', 'java', 'aws', 'agile', 'mongodb']","United States",,,"",370,"Cohere Health","Information Technology & Services","51-200 employees",
4975,2727655275,2018-06-30 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
5179,2706508274,2018-07-22 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['cloud', 'ios', 'coding', 'node', 'js']","United States",,,"",80,"Talentpair","Information Technology & Services","51-200 employees",
5457,2727650753,2018-08-16 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",2,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",10,"Trimble Inc.","Information Technology & Services","10,001+ employees",
5547,2700377026,2018-08-30 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['backend', 'cloud', 'unix', 'aws', 'ruby', 'agile', 'node', 'postgresql']","United States",,,"",20,"TISTA Science and Technology Corporation","Information Technology & Services","201-500 employees",
5687,2706509304,2018-09-20 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['sql', 'programming', 'database']","United States",,,"",1540,"Tata Consultancy Services","Information Technology & Services","10,001+ employees",
6144,2746608485,2018-11-11 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",5,"['cloud', 'aws', 'javascript/typescript', 'sql']","United States",,,"",110,"DISYS","Information Technology & Services","1,001-5,000 employees",
6438,2727643148,2018-12-08 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
6554,2727660057,2018-12-16 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
6615,2727637784,2018-12-20 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",2,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
7040,2727657572,2019-01-30 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",10,"Trimble Inc.","Information Technology & Services","10,001+ employees",
7782,2685233571,2019-04-21 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",3,"['sql', 'programming', 'database']","United States",,,"",1570,"Tata Consultancy Services","Information Technology & Services","10,001+ employees",
7982,2727657132,2019-05-21 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",8,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
8622,2727646505,2019-07-21 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
8814,2727641477,2019-08-08 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
8848,2709213496,2019-08-11 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",3,"['r', 'aws', 'python', 'postgresql', 'docker']","United States",,,"",580,"DUST Identity","Information Technology & Services","11-50 employees",
8853,2727654449,2019-08-11 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",2,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
8865,2727657071,2019-08-13 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",10,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
9071,2678143492,2019-08-29 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",3,"['github', 'git', 'scrum', 'ci/cd', 'docker', 'ubuntu']","United States",,,"",260,"raft","Information Technology & Services","11-50 employees",
9180,2727655371,2019-09-06 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
9898,2727654380,2019-11-02 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
10064,2676063905,2019-11-16 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['sql', 'programming', 'database']","United States",,,"",1530,"Tata Consultancy Services","Information Technology & Services","10,001+ employees",
10255,2679537901,2019-12-06 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['javascript', 'gitlab', 'ruby', 'vue.js', 'sass', 'docker', 'git', 'saas', 'css', 'html']","United States",,,"",830,"GoCanvas","Information Technology & Services","51-200 employees",
10407,2674797441,2019-12-18 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'agile', 'python', 'node', 'github', 'backend', 'aws', 'nosql', 'cicd', 'aurora']","United States",,,"",10,"Finexio","Information Technology & Services","11-50 employees",
11317,2699568744,2020-02-03 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['oracle', 'sap', 'database', 'scrum', 'microsoft', 'java', 'javascript', 'ibm']","United States",,,"",,"Apisero Inc.","Information Technology & Services","501-1,000 employees",
11678,2727656720,2020-04-12 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
11705,2727652596,2020-04-17 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
11855,2727653260,2020-05-01 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
12463,2727660008,2020-05-26 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
13656,2724588602,2020-07-01 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['excel', 'graphql', 'node.js', 'codebase', 'cloud', 'javascript', 'ios', 'aws', 'agile', 'docker']","United States",,,"",300,"Moven","Information Technology & Services","11-50 employees",
14349,2727642902,2020-07-26 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
14449,2727653377,2020-07-29 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
14693,2727642169,2020-08-06 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",10,"Trimble Inc.","Information Technology & Services","10,001+ employees",
15414,2696385737,2020-09-05 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['oracle', 'scrum', 'frontend', 'ci/cd', 'unix', 'cloud', 'java', 'aws', 'html', 'node', 'sql', 'docker', 'jquery', 'go', 'azure']","United States",,,"",160,"Apex Systems","Information Technology & Services","1,001-5,000 employees",
15473,2677242889,2020-09-08 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['database', 'javascript', 'asp.net', 'server', 'git', 'saas', 'css', 'ios', 'devops', 'c', 'warehousing', 'microsoft', 't-sql', 'ci/cd', 'html', 'sql', 'azure']","United States",,,"",40,"Inmar Intelligence","Information Technology & Services","1,001-5,000 employees",
15658,2553637646,2020-09-16 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",3,"['bash', 'scala', 'oracle', 'java', 'javascript', 'ruby', 'aws', 'python', 'docker', 'mongodb', 'jquery', 'server']","United States",,,"",20,"Backstop Solutions Group","Information Technology & Services","51-200 employees",
16322,2749228561,2020-10-14 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['r', 'oracle', 'database', 'git', 'microsoft', 'agile', 'programming', 'vba', 'jira', 'sql', 'server', 'c']","United States",,,"",20,"Cotiviti","Information Technology & Services","5,001-10,000 employees",
16743,2702465086,2020-12-16 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",3,"['node.js', 'saas', 'javascript', 'agile', 'kanban', 'postgres']","United States",,,"",110,"Pluralsight","Information Technology & Services","1,001-5,000 employees",
17044,2720353479,2021-01-07 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",4,"['cloud', 'java', 'aws', 'python', 'programming', 'azure']","United States",,,"",90,"Rescale","Information Technology & Services","51-200 employees",
17103,2589825558,2021-01-10 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",5,"['database', 'agile', 'sql']","United States",,,"",190,"OneLogin","Information Technology & Services","201-500 employees",
17928,2716573860,2021-02-15 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['node.js', 'frontend', 'saas', 'javascript', 'agile', 'kanban', 'postgres']","United States",,,"",300,"Pluralsight","Information Technology & Services","1,001-5,000 employees",
18037,2727644109,2021-02-18 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
18263,2678172700,2021-02-24 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['cloud', 'gitlab', 'agile', 'node', 'docker', 'r', 'git', 'scrum', 'saas', 'ci/cd', 'aws', 'sql', 'machine_learning']","United States",,,"",60,"Knowland","Information Technology & Services","51-200 employees",
18451,2727654370,2021-02-28 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",3,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
18587,2679242325,2021-03-04 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",7,"['database', 'cloud', 'javascript', 'asp.net', 'server', 'css', 'c', 'microsoft', 'redis', 'codebase', 'aws', 'sql', 'coding', 'jquery']","United States",,,"",280,"Modern Hire","Information Technology & Services","201-500 employees",
19143,2656534919,2021-03-20 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",7,"['cloud', 'javascript', 'agile', 'python', 'server', 'back-end', 'devops', 'go']","United States",,,"",30,"Trimble Inc.","Information Technology & Services","10,001+ employees",
19205,2707289287,2021-03-23 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['bash', 'perl', 'redis', 'cloud', 'java', 'css', 'javascript', 'aws', 'html', 'agile', 'python', 'mongodb', 'postgres', 'azure']","United States",,,"",270,"Dell Technologies","Information Technology & Services","10,001+ employees",
19876,2686182063,2021-05-03 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",2,"['agile', 'back-end', 'saas', 'programming', 'java', 'mysql', 'go']","United States",,,"",70,"Kuali, Inc.","Information Technology & Services","51-200 employees",
20176,2727657195,2021-05-19 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
20875,2683843143,2021-06-15 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['cloud', 'agile', 'jira', 'c']","United States",,,"",240,"Beyondsoft","Information Technology & Services","10,001+ employees",
21825,2727659110,2021-07-20 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",7,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
22134,2727649284,2021-08-11 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
22350,2727658134,2021-08-28 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
22603,2727640614,2021-09-13 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",7,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
23258,2555811231,2021-10-10 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['graphql', 'git', 'ci/cd', 'aws', 'python', 'postgres']","United States",,,"",330,"Pluralsight","Information Technology & Services","1,001-5,000 employees",
23278,2727639744,2021-10-11 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
23603,2727652590,2021-10-27 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
23871,2711792579,2021-11-10 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",3,"['cloud', 'agile', 'scrum', 'programming', 'java', 'aws', 'apache']","United States",,,"",40,"Eyefinity","Information Technology & Services","201-500 employees",
24062,2727656241,2021-11-19 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
24210,2711079678,2021-11-25 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",2,"['github', 'oracle', 'pl/sql', 'ci/cd', 'cloud', 'java', 'javascript', 'aws', 'agile', 'programming', 'azure']","United States",,,"",80,"Brooksource","Information Technology & Services","1,001-5,000 employees",
24237,2727649289,2021-11-26 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",1,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
170,2706547648,2017-01-20 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['node.js', 'git', 'ci/cd', 'json', 'gitlab', 'mysql', 'linux', 'docker']","United States",,,"",110,"Confidential","2 school alumni","",
185,2718261033,2017-01-22 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['python', 'programming', 'tableau', 'sql', 'devops']","United States",,,"",460,"Cloudely, Inc","Information Services","51-200 employees",
201,2704284603,2017-01-24 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",0,"['scala', 'c++', 'java', 'nlp', 'python', 'programming', 'hadoop', 'machine_learning', 'c', 'spark']","United States",,,"",80,"H1","Internet","201-500 employees",
458,2682681195,2017-03-01 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['cloud', 'git', 'programming', 'java', 'aws']","United States",,,"",110,"Cengage Group","E-learning","5,001-10,000 employees",
695,2696386307,2017-03-31 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['microsoft', 'frontend', 'javascript', 'aws', 'coding', 'asp.net', 'html5', 'c']","United States",,,"",180,"One Technologies","Consumer Services","51-200 employees",
992,2717080687,2017-05-09 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['c++', 'python', 'linux']","United States",,,"",10,"Russell Tobin","Staffing & Recruiting","201-500 employees",
1231,2592623360,2017-06-06 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['database', 'cloud', 'javascript', 'python', 'bigquery', 'gcp', 'aws', 'mysql', 'snowflake', 'sql', 'go', 'postgres']","United States",,,"",610,"Clover Health","Hospital & Health Care","201-500 employees",
1349,2731836938,2017-06-17 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['javascript', 'agile', 'node', 'html5', 'frontend', 'css', 'slack', 'programming', 'php', 'c', 'backend', 'redis', 'java', 'go']","United States",,,"",110,"VetJobs","Military","51-200 employees",
1415,2751669627,2017-06-23 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['database', 'javascript', 'agile', 'java', 'sql']","United States",,,"",420,"GE Healthcare","Hospital & Health Care","10,001+ employees",
1586,2749793373,2017-07-11 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['database', 'cloud', 'javascript', 'agile', 'server', 'scrum', 'gcp', 'programming', 'devops', 'oracle', 'macros', 'backend', 'microsoft', 't-sql', 'ci/cd', 'aws', 'html', 'etl', 'sql', 'azure', 'excel']","United States",,,"",120,"PowerSchool","Education Management","1,001-5,000 employees",
1679,2681771895,2017-07-20 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['database', 'cloud', 'ruby', 'agile', 'git', 'scrum', 'saas', 'devops', 'redis', 'aws', 'mysql', 'postgresql', 'sql']","United States",,,"",30,"Oakwood Search","Staffing & Recruiting","11-50 employees",
1719,2733071232,2017-07-24 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['cloud', 'agile', 'programming']","United States",,,"",,"VSP Vision Care","Insurance","1,001-5,000 employees",
2396,2649310229,2017-10-16 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",4,"['mssql', 'microsoft', 'ruby', 'coding', 'programming', 'html5']","United States",,,"",430,"Paragon Hire","Staffing & Recruiting","1-10 employees",
2525,2713735410,2017-10-29 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",4,"['cloud', 'javascript', 'saas', 'backend', 'java', 'aws', 'go', 'kotlin', 'coding']","United States",,,"",20,"Virgin Pulse","Computer Software","1,001-5,000 employees",
2675,2651973634,2017-11-14 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",3,"['cloud', 'javascript', 'gitlab', 'aws', 'html', 'mysql', 'agile', 'python', 'slack', 'c/c++', 'postgresql', 'php', 'docker']","United States",,,"",50,"SONIFI Solutions, Inc.","Hospitality","501-1,000 employees",
2729,2674740620,2017-11-20 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['bash', 'scrum', 'saas', 'shell', 'aws', 'mysql', 'agile', 'python', 'programming', 'postgresql', 'paas', 'linux', 'sql', 'docker']","United States",,,"",190,"HireStarter, Inc.","Computer Software","1-10 employees",
2918,2718734669,2017-12-14 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",4,"['cloud', 'javascript', 'gitlab', 'aws', 'html', 'mysql', 'agile', 'python', 'slack', 'c/c++', 'postgresql', 'php', 'docker']","United States",,,"",90,"SONIFI Solutions, Inc.","Hospitality","501-1,000 employees",
3553,2682055227,2018-02-10 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['cloud', 'ruby', 'python', 'node.js', 'gcp', 'programming', 'aws', 'go', 'azure', 'c++']","United States",,,"",10,"RStudio PBC","Computer Software","201-500 employees",
3734,2568346988,2018-02-22 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['scrum', 'saas', 'java', 'css', 'javascript', 'ruby', 'html', 'programming', 'php', 'sql', 'c']","United States",,,"",520,"Granicus","Computer Software","501-1,000 employees",
3879,2715608199,2018-03-09 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['backend', 'cloud', 'agile', 'programming', 'devops', 'go', 'c']","United States",,,"",80,"Magellan Search & Staffing","Staffing & Recruiting","11-50 employees",
3898,2702542109,2018-03-12 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Director",8,"['mssql', 'json', 'java', 'javascript', 'programming', 'c/c++', 'sql', 'postgres']","United States",,,"",100,"StevenDouglas","Staffing & Recruiting","51-200 employees",
3930,2748690124,2018-03-18 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['sql', 'programming', 'database']","United States",,,"",800,"Tata ConsultanEngineercy Services","","",
3993,2718789474,2018-03-27 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",3,"['cloud', 'python', 'linux', 'programming', 'java', 'aws']","United States",,,"",100,"Talend","Computer Software","1,001-5,000 employees",
4216,2650081837,2018-04-21 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",3,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'node', 'bitbucket', 'programming', 'devops', 'ci/cd', 'aws', 'nosql', 'coding', 'js']","United States",,,"",130,"The College Board","Education Management","1,001-5,000 employees",
