AccountKey,ParentAccountKey,AccountCodeAlternateKey,ParentAccountCodeAlternateKey,Account Description,Account Type,Operator,Custom Members,Value Type,Custom Member Options,Path,Account Level 1,Account Level 2,Account Level 3,Account Level 4,Account Level 5,Account Level 6
42,41,3010,300,"Partner Capital","Liabilities","+","","Currency","","1|25|41|42","Balance Sheet","Liabilities and Owners Equity","Owners Equity","Partner Capital","",""
43,41,3020,300,"Additional Paid In Capital","Liabilities","+","","Currency","","1|25|41|43","Balance Sheet","Liabilities and Owners Equity","Owners Equity","Additional Paid In Capital","",""
44,41,3030,300,"Retained Earnings","Liabilities","+","","Currency","","1|25|41|44","Balance Sheet","Liabilities and Owners Equity","Owners Equity","Retained Earnings","",""
45,44,3540,3030,"Prior Year Retained Earnings","Liabilities","+","","Currency","","1|25|41|44|45","Balance Sheet","Liabilities and Owners Equity","Owners Equity","Retained Earnings","Prior Year Retained Earnings",""
46,44,3550,3030,"Current Retained Earnings","Liabilities","+","","Currency","","1|25|41|44|46","Balance Sheet","Liabilities and Owners Equity","Owners Equity","Retained Earnings","Current Retained Earnings",""
47,,4,,"Net Income","Revenue","+","","Currency","","47","Net Income","","","","",""
48,47,40,4,"Operating Profit","Revenue","+","","Currency","","47|48","Net Income","Operating Profit","","","",""
49,48,400,40,"Gross Margin","Revenue","+","","Currency","","47|48|49","Net Income","Operating Profit","Gross Margin","","",""
50,49,4100,400,"Net Sales","Revenue","+","","Currency","","47|48|49|50","Net Income","Operating Profit","Gross Margin","Net Sales","",""
51,50,4110,4100,"Gross Sales","Revenue","+","","Currency","","47|48|49|50|51","Net Income","Operating Profit","Gross Margin","Net Sales","Gross Sales",""
52,51,4500,4110,"Intercompany Sales","Revenue","+","","Currency","","47|48|49|50|51|52","Net Income","Operating Profit","Gross Margin","Net Sales","Gross Sales","Intercompany Sales"
56,55,5020,5000,"Standard Cost of Sales","Expenditures","+","","Currency","","47|48|49|55|56","Net Income","Operating Profit","Gross Margin","Total Cost of Sales","Standard Cost of Sales",""
57,55,5050,5000,"Variances","Expenditures","+","","Currency","","47|48|49|55|57","Net Income","Operating Profit","Gross Margin","Total Cost of Sales","Variances",""
59,58,600,60,"Labor Expenses","Expenditures","+","","Currency","","47|48|58|59","Net Income","Operating Profit","Operating Expenses","Labor Expenses","",""
60,59,6000,600,"Salaries","Expenditures","+","","Currency","","47|48|58|59|60","Net Income","Operating Profit","Operating Expenses","Labor Expenses","Salaries",""
61,59,6020,600,"Payroll Taxes","Expenditures","+","","Currency","","47|48|58|59|61","Net Income","Operating Profit","Operating Expenses","Labor Expenses","Payroll Taxes",""
62,59,6040,600,"Employee Benefits","Expenditures","+","","Currency","","47|48|58|59|62","Net Income","Operating Profit","Operating Expenses","Labor Expenses","Employee Benefits",""
63,58,6100,60,"Commissions","Expenditures","+","","Currency","","47|48|58|63","Net Income","Operating Profit","Operating Expenses","Commissions","",""
64,58,620,60,"Travel Expenses","Expenditures","+","","Currency","","47|48|58|64","Net Income","Operating Profit","Operating Expenses","Travel Expenses","",""
65,64,6200,620,"Travel Transportation","Expenditures","+","","Currency","","47|48|58|64|65","Net Income","Operating Profit","Operating Expenses","Travel Expenses","Travel Transportation",""
66,64,6210,620,"Travel Lodging","Expenditures","+","","Currency","","47|48|58|64|66","Net Income","Operating Profit","Operating Expenses","Travel Expenses","Travel Lodging",""
67,64,6220,620,"Meals","Expenditures","+","","Currency","","47|48|58|64|67","Net Income","Operating Profit","Operating Expenses","Travel Expenses","Meals",""
68,64,6230,620,"Entertainment","Expenditures","+","","Currency","","47|48|58|64|68","Net Income","Operating Profit","Operating Expenses","Travel Expenses","Entertainment",""
69,64,6240,620,"Other Travel Related","Expenditures","+","","Currency","","47|48|58|64|69","Net Income","Operating Profit","Operating Expenses","Travel Expenses","Other Travel Related",""
70,58,630,60,"Marketing","Expenditures","+","","Currency","","47|48|58|70","Net Income","Operating Profit","Operating Expenses","Marketing","",""
71,70,6300,630,"Conferences","Expenditures","+","","Currency","","47|48|58|70|71","Net Income","Operating Profit","Operating Expenses","Marketing","Conferences",""
72,70,6310,630,"Marketing Collateral","Expenditures","+","","Currency","","47|48|58|70|72","Net Income","Operating Profit","Operating Expenses","Marketing","Marketing Collateral",""
73,58,6400,60,"Office Supplies","Expenditures","+","","Currency","","47|48|58|73","Net Income","Operating Profit","Operating Expenses","Office Supplies","",""
74,58,6500,60,"Professional Services","Expenditures","+","","Currency","","47|48|58|74","Net Income","Operating Profit","Operating Expenses","Professional Services","",""
75,58,660,60,"Telephone and Utilities","Expenditures","+","","Currency","","47|48|58|75","Net Income","Operating Profit","Operating Expenses","Telephone and Utilities","",""
76,75,6610,660,"Telephone","Expenditures","+","","Currency","","47|48|58|75|76","Net Income","Operating Profit","Operating Expenses","Telephone and Utilities","Telephone",""
77,75,6620,660,"Utilities","Expenditures","+","","Currency","","47|48|58|75|77","Net Income","Operating Profit","Operating Expenses","Telephone and Utilities","Utilities",""
78,58,6700,60,"Other Expenses","Expenditures","+","","Currency","","47|48|58|78","Net Income","Operating Profit","Operating Expenses","Other Expenses","",""
79,58,680,60,"Depreciation","Expenditures","+","","Currency","","47|48|58|79","Net Income","Operating Profit","Operating Expenses","Depreciation","",""
80,79,6810,680,"Building Leasehold","Expenditures","+","","Currency","","47|48|58|79|80","Net Income","Operating Profit","Operating Expenses","Depreciation","Building Leasehold",""
81,79,6820,680,"Vehicles","Expenditures","+","","Currency","","47|48|58|79|81","Net Income","Operating Profit","Operating Expenses","Depreciation","Vehicles",""
82,79,6830,680,"Equipment","Expenditures","+","","Currency","","47|48|58|79|82","Net Income","Operating Profit","Operating Expenses","Depreciation","Equipment",""
83,79,6840,680,"Furniture and Fixtures","Expenditures","+","","Currency","","47|48|58|79|83","Net Income","Operating Profit","Operating Expenses","Depreciation","Furniture and Fixtures",""
84,79,6850,680,"Other Assets","Expenditures","+","","Currency","","47|48|58|79|84","Net Income","Operating Profit","Operating Expenses","Depreciation","Other Assets",""
85,79,6860,680,"Amortization of Goodwill","Expenditures","+","","Currency","","47|48|58|79|85","Net Income","Operating Profit","Operating Expenses","Depreciation","Amortization of Goodwill",""
87,58,6920,60,"Rent","Expenditures","+","","Currency","","47|48|58|87","Net Income","Operating Profit","Operating Expenses","Rent","",""
88,47,80,4,"Other Income and Expense","Revenue","+","","Currency","","47|88","Net Income","Other Income and Expense","","","",""
89,88,8000,80,"Interest Income","Revenue","+","","Currency","","47|88|89","Net Income","Other Income and Expense","Interest Income","","",""
91,88,8020,80,"Gain/Loss on Sales of Asset","Revenue","+","","Currency","","47|88|91","Net Income","Other Income and Expense","Gain/Loss on Sales of Asset","","",""
92,88,8030,80,"Other Income","Revenue","+","","Currency","","47|88|92","Net Income","Other Income and Expense","Other Income","","",""
93,88,8040,80,"Curr Xchg Gain/(Loss)","Revenue","+","","Currency","","47|88|93","Net Income","Other Income and Expense","Curr Xchg Gain/(Loss)","","",""
100,27,2220,2200,"Current Installments of Long-term Debt","Liabilities","+","","Currency","","1|25|26|27|100","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Current Installments of Long-term Debt",""
101,51,4200,4110,"Trade Sales","Revenue","+","","Currency","","47|48|49|50|51|101","Net Income","Operating Profit","Gross Margin","Net Sales","Gross Sales","Trade Sales"
1,,1,,"Balance Sheet","","~","","Currency","","1","Balance Sheet","","","","",""
25,1,20,1,"Liabilities and Owners Equity","Liabilities","-","","Currency","","1|25","Balance Sheet","Liabilities and Owners Equity","","","",""
53,50,4130,4100,"Returns and Adjustments","Expenditures","-","","Currency","","47|48|49|50|53","Net Income","Operating Profit","Gross Margin","Net Sales","Returns and Adjustments",""
54,50,4140,4100,"Discounts","Expenditures","-","","Currency","","47|48|49|50|54","Net Income","Operating Profit","Gross Margin","Net Sales","Discounts",""
55,49,5000,400,"Total Cost of Sales","Expenditures","-","","Currency","","47|48|49|55","Net Income","Operating Profit","Gross Margin","Total Cost of Sales","",""
58,48,60,40,"Operating Expenses","Expenditures","-","","Currency","","47|48|58","Net Income","Operating Profit","Operating Expenses","","",""
90,88,8010,80,"Interest Expense","Expenditures","-","","Currency","","47|88|90","Net Income","Other Income and Expense","Interest Expense","","",""
94,47,8500,4,"Taxes","Expenditures","-","","Currency","","47|94","Net Income","Taxes","","","",""
95,,9500,,"Statistical Accounts","Statistical","~","","Units","","95","Statistical Accounts","","","","",""
96,95,9510,9500,"Headcount","Balances","~","","Units","","95|96","Statistical Accounts","Headcount","","","",""
97,95,9520,9500,"Units","Flow","~","","Units","","95|97","Statistical Accounts","Units","","","",""
98,95,9530,9500,"Average Unit Price","Balances","~","[Account].[Accounts].[Account Level 04].&[50]/[Account].[Accounts].[Account Level 02].&[97]","Currency","","95|98","Statistical Accounts","Average Unit Price","","","",""
99,95,9540,9500,"Square Footage","Balances","~","","Units","","95|99","Statistical Accounts","Square Footage","","","",""
