Medal Ceremony?,Sport Group,Events Split,UK Date Time,Sport,Venue,US Date Time,US Date Time - Date,Medal?
False,Sailing,49er FX Women,2021-07-31 04:00:00.000,Sailing,Enoshima Yacht Harbour,2021-07-30 22:00:00.000,2021-07-30 00:00:00.000,
False,Wrestling,Men's Freestyle 74 kg Repechage,2021-08-06 03:00:00.000,Wrestling,Makuhari Messe Hall,2021-08-05 21:00:00.000,2021-08-05 00:00:00.000,
False,Athletics,Women's Pole Vault Final,2021-08-05 11:00:00.000,Athletics,Olympic Stadium,2021-08-05 05:00:00.000,2021-08-05 00:00:00.000,
False,Shooting,Skeet Men's Qualification - Day 1,2021-07-25 01:00:00.000,Shooting,Asaka Shooting Range,2021-07-24 19:00:00.000,2021-07-24 00:00:00.000,
False,Boxing,Men's Light Heavy (75-81kg) Quarterfinals,2021-07-30 09:00:00.000,Boxing,Kokugikan Arena,2021-07-30 03:00:00.000,2021-07-30 00:00:00.000,
False,Boxing,Women's Welter (64-69kg) Final,2021-08-07 06:00:00.000,Boxing,Kokugikan Arena,2021-08-07 00:00:00.000,2021-08-07 00:00:00.000,
False,Hockey,Men's Pool B: Great Britain vs South Africa,2021-07-24 10:30:00.000,Hockey,Oi Hockey Stadium,2021-07-24 04:30:00.000,2021-07-24 00:00:00.000,
False,Athletics,Women's 1500m Final,2021-08-06 11:50:00.000,Athletics,Olympic Stadium,2021-08-06 05:50:00.000,2021-08-06 00:00:00.000,
False,Rowing,Lightweight Women's Double Sculls Heats,2021-07-24 00:30:00.000,Rowing,Sea Forest Waterway,2021-07-23 18:30:00.000,2021-07-23 00:00:00.000,
False,Water Polo,Men's Preliminary Round - Group A: Japan vs South Africa,2021-08-02 10:20:00.000,Water Polo,Tatsumi Water Polo Centre,2021-08-02 04:20:00.000,2021-08-02 00:00:00.000,
False,Swimming,Women's 400m Individual Medley - Heats,2021-07-24 11:00:00.000,Swimming,Tokyo Aquatics Centre,2021-07-24 05:00:00.000,2021-07-24 00:00:00.000,
False,Boxing,Women's Middle (69-75kg) Semifinals,2021-08-06 06:00:00.000,Boxing,Kokugikan Arena,2021-08-06 00:00:00.000,2021-08-06 00:00:00.000,
False,Tennis,Women's Doubles Semifinals,2021-07-29 03:00:00.000,Tennis,Ariake Tennis Park,2021-07-28 21:00:00.000,2021-07-28 00:00:00.000,
False,Tennis,Men's Singles Semifinals,2021-07-29 07:00:00.000,Table Tennis,Tokyo Metropolitan Gymnasium,2021-07-29 01:00:00.000,2021-07-29 00:00:00.000,
False,Handball,Men's Preliminary Round Group B: Portugal vs Egypt,2021-07-24 11:30:00.000,Handball,Yoyogi National Stadium,2021-07-24 05:30:00.000,2021-07-24 00:00:00.000,
False,Canoeing,Men's Kayak Single 200m Heats,2021-08-04 01:30:00.000,Canoe Sprint,Sea Forest Waterway,2021-08-03 19:30:00.000,2021-08-03 00:00:00.000,
False,Boxing,Women's Welter (64-69kg) - Preliminaries - Round of 16,2021-07-27 09:00:00.000,Boxing,Kokugikan Arena,2021-07-27 03:00:00.000,2021-07-27 00:00:00.000,
False,Equestrian,Eventing Dressage Team and Individual Day 1 - Session 1,2021-07-30 00:30:00.000,Equestrian,Equestrian Park,2021-07-29 18:30:00.000,2021-07-29 00:00:00.000,
False,Hockey,Men's Pool B: Germany vs Netherlands,2021-07-30 10:30:00.000,Hockey,Oi Hockey Stadium,2021-07-30 04:30:00.000,2021-07-30 00:00:00.000,
True,Water Polo,Men's Gold Medal Match,2021-08-08 08:30:00.000,Water Polo,Tatsumi Water Polo Centre,2021-08-08 02:30:00.000,2021-08-08 00:00:00.000,🏅
False,Tennis,Women's Team Semifinals,2021-08-03 11:30:00.000,Tennis,Ariake Tennis Park,2021-08-03 05:30:00.000,2021-08-03 00:00:00.000,
False,Equestrian,Jumping Individual Qualifier,2021-08-03 11:00:00.000,Equestrian,Equestrian Park,2021-08-03 05:00:00.000,2021-08-03 00:00:00.000,
False,Martial Arts,Men -80 kg Bronze Medal Contests (2 matches),2021-07-26 11:00:00.000,Taekwondo,Makuhari Messe Hall,2021-07-26 05:00:00.000,2021-07-26 00:00:00.000,
False,Athletics,Women's Heptathlon 100m Hurdles,2021-08-04 01:00:00.000,Athletics,Olympic Stadium,2021-08-03 19:00:00.000,2021-08-03 00:00:00.000,
False,Water Polo,Men's Preliminary Round - Group B: Spain vs Kazakhstan,2021-07-29 02:00:00.000,Water Polo,Tatsumi Water Polo Centre,2021-07-28 20:00:00.000,2021-07-28 00:00:00.000,
False,Handball,Men's Preliminary Round Group B: Egypt vs Denmark,2021-07-26 06:15:00.000,Handball,Yoyogi National Stadium,2021-07-26 00:15:00.000,2021-07-26 00:00:00.000,
True,Boxing,Women's Light (57-60kg) Victory Ceremony,2021-08-08 06:00:00.000,Boxing,Kokugikan Arena,2021-08-08 00:00:00.000,2021-08-08 00:00:00.000,🏅
False,Surfing,Men's Bronze Medal Match,2021-07-28 00:00:00.000,Surfing,Tsurigasaki Surfing Beach,2021-07-27 18:00:00.000,2021-07-27 00:00:00.000,
True,Baseball,Softball Gold Medal Game,2021-07-27 12:00:00.000,Baseball/Softball,Yokohama Baseball Stadium,2021-07-27 06:00:00.000,2021-07-27 00:00:00.000,🏅
False,Hockey,Women's Pool A: Germany vs Ireland,2021-07-28 02:00:00.000,Hockey,Oi Hockey Stadium,2021-07-27 20:00:00.000,2021-07-27 00:00:00.000,
False,Modern Pentathlon,Women's Fencing Bonus Round,2021-08-06 06:30:00.000,Modern Pentathlon,Tokyo Stadium,2021-08-06 00:30:00.000,2021-08-06 00:00:00.000,
False,Martial Arts,Women -67 kg Quarterfinals (4 matches),2021-07-26 02:00:00.000,Taekwondo,Makuhari Messe Hall,2021-07-25 20:00:00.000,2021-07-25 00:00:00.000,
False,Swimming,Women's 200m Freestyle - Heats,2021-07-26 11:00:00.000,Swimming,Tokyo Aquatics Centre,2021-07-26 05:00:00.000,2021-07-26 00:00:00.000,
False,Rugby,Men's Bronze Medal Match,2021-07-28 08:30:00.000,Rugby,Tokyo Stadium,2021-07-28 02:30:00.000,2021-07-28 00:00:00.000,
False,Martial Arts,Women -78 kg Repechage,2021-07-25 09:00:00.000,Judo,Nippon Budokan,2021-07-25 03:00:00.000,2021-07-25 00:00:00.000,
False,Sport Climbing,Women's Combined Final - Bouldering,2021-08-06 09:30:00.000,Sport Climbing,Aomi Urban Sports Park,2021-08-06 03:30:00.000,2021-08-06 00:00:00.000,
False,Canoeing,Women's Canoe Single 200m Finals,2021-08-05 01:30:00.000,Canoe Sprint,Sea Forest Waterway,2021-08-04 19:30:00.000,2021-08-04 00:00:00.000,
False,Canoeing,Men's Kayak Single 200m Quarterfinals,2021-08-04 01:30:00.000,Canoe Sprint,Sea Forest Waterway,2021-08-03 19:30:00.000,2021-08-03 00:00:00.000,
False,Tennis,Men's Singles Round 2,2021-07-26 02:00:00.000,Table Tennis,Tokyo Metropolitan Gymnasium,2021-07-25 20:00:00.000,2021-07-25 00:00:00.000,
False,Badminton,Men's Singles Group Play Stage,2021-07-24 01:00:00.000,Badminton,Musashino Forest Sport Plaza,2021-07-23 19:00:00.000,2021-07-23 00:00:00.000,
False,Swimming,Men's 800m Freestyle - Heats,2021-07-27 11:00:00.000,Swimming,Tokyo Aquatics Centre,2021-07-27 05:00:00.000,2021-07-27 00:00:00.000,
False,Baseball,Baseball Bronze Medal Game (#9),2021-08-07 04:00:00.000,Baseball/Softball,Yokohama Baseball Stadium,2021-08-06 22:00:00.000,2021-08-06 00:00:00.000,
False,Skateboarding,Women's Street Prelims Heats,2021-07-26 01:00:00.000,Skateboarding,Ariake Urban Sports Park,2021-07-25 19:00:00.000,2021-07-25 00:00:00.000,
False,Martial Arts,Men's Kumite -67 kg Elimination Round,2021-08-05 02:00:00.000,Karate,Nippon Budokan,2021-08-04 20:00:00.000,2021-08-04 00:00:00.000,
False,Martial Arts,Men -73 kg Semifinals,2021-07-26 09:00:00.000,Judo,Nippon Budokan,2021-07-26 03:00:00.000,2021-07-26 00:00:00.000,
False,Sailing,49er Men,2021-07-31 04:00:00.000,Sailing,Enoshima Yacht Harbour,2021-07-30 22:00:00.000,2021-07-30 00:00:00.000,
False,Rowing,Women's Single Sculls Final B,2021-07-30 00:45:00.000,Rowing,Sea Forest Waterway,2021-07-29 18:45:00.000,2021-07-29 00:00:00.000,
False,Martial Arts,Women -70 kg Repechage,2021-07-29 09:00:00.000,Judo,Nippon Budokan,2021-07-29 03:00:00.000,2021-07-29 00:00:00.000,
False,Boxing,Men's Welter (63-69kg) Semifinal,2021-08-01 09:00:00.000,Boxing,Kokugikan Arena,2021-08-01 03:00:00.000,2021-08-01 00:00:00.000,
False,Sailing,Finn Men - Medal Race,2021-08-03 06:30:00.000,Sailing,Enoshima Yacht Harbour,2021-08-03 00:30:00.000,2021-08-03 00:00:00.000,
False,Hockey,Women's Pool A: Germany vs Netherlands,2021-07-31 10:30:00.000,Hockey,Oi Hockey Stadium,2021-07-31 04:30:00.000,2021-07-31 00:00:00.000,
False,Hockey,Women's Pool A: South Africa vs Germany,2021-07-30 01:30:00.000,Hockey,Oi Hockey Stadium,2021-07-29 19:30:00.000,2021-07-29 00:00:00.000,
False,Tennis,Women's Singles Quarterfinals,2021-07-28 02:00:00.000,Table Tennis,Tokyo Metropolitan Gymnasium,2021-07-27 20:00:00.000,2021-07-27 00:00:00.000,
False,Cycling,Women's Sprint 1/32 Finals Repechages,2021-08-06 07:30:00.000,Cycling Track,Izu Velodrome,2021-08-06 01:30:00.000,2021-08-06 00:00:00.000,
False,Wrestling,Men's Freestyle 57 kg Final,2021-08-05 10:15:00.000,Wrestling,Makuhari Messe Hall,2021-08-05 04:15:00.000,2021-08-05 00:00:00.000,
False,Cycling,Men's Keirin First Round,2021-08-07 07:30:00.000,Cycling Track,Izu Velodrome,2021-08-07 01:30:00.000,2021-08-07 00:00:00.000,
False,Swimming,Women's 200m Breaststroke Final,2021-07-30 02:30:00.000,Swimming,Tokyo Aquatics Centre,2021-07-29 20:30:00.000,2021-07-29 00:00:00.000,
False,Fencing,Women's Epée Individual Semifinals,2021-07-24 10:00:00.000,Fencing,Makuhari Messe Hall,2021-07-24 04:00:00.000,2021-07-24 00:00:00.000,
False,Wrestling,Men's Greco-Roman 67 kg 1/8 Finals,2021-08-03 03:00:00.000,Wrestling,Makuhari Messe Hall,2021-08-02 21:00:00.000,2021-08-02 00:00:00.000,
False,Football,Women's Group E: Chile vs Canada,2021-07-24 08:30:00.000,Football,Sapporo Dome,2021-07-24 02:30:00.000,2021-07-24 00:00:00.000,
False,Handball,Men's Quarterfinal,2021-08-03 01:30:00.000,Handball,Yoyogi National Stadium,2021-08-02 19:30:00.000,2021-08-02 00:00:00.000,
False,Volleyball,Men's or Women's Preliminaries (4 matches),2021-07-26 01:00:00.000,Beach Volleyball,Shiokaze Park,2021-07-25 19:00:00.000,2021-07-25 00:00:00.000,
True,Athletics,Women's Triple Jump Victory Ceremony,2021-08-02 01:00:00.000,Athletics,Olympic Stadium,2021-08-01 19:00:00.000,2021-08-01 00:00:00.000,🏅
False,Badminton,Women's Doubles Group Play Stage,2021-07-27 10:00:00.000,Badminton,Musashino Forest Sport Plaza,2021-07-27 04:00:00.000,2021-07-27 00:00:00.000,
False,Water Polo,Women's Preliminary Round - Group B: ROC vs Japan,2021-08-01 10:20:00.000,Water Polo,Tatsumi Water Polo Centre,2021-08-01 04:20:00.000,2021-08-01 00:00:00.000,
False,Cycling,Women's Madison Final,2021-08-06 07:30:00.000,Cycling Track,Izu Velodrome,2021-08-06 01:30:00.000,2021-08-06 00:00:00.000,
False,Boxing,Men's Feather (52-57kg) Final,2021-08-05 06:00:00.000,Boxing,Kokugikan Arena,2021-08-05 00:00:00.000,2021-08-05 00:00:00.000,
False,Tennis,Men's Singles Bronze Medal Match,2021-07-31 04:00:00.000,Tennis,Ariake Tennis Park,2021-07-30 22:00:00.000,2021-07-30 00:00:00.000,
False,Volleyball,Men's Quarterfinal,2021-08-03 13:30:00.000,Volleyball,Ariake Arena,2021-08-03 07:30:00.000,2021-08-03 00:00:00.000,
False,Boxing,Men's Heavy (81-91kg) - Preliminaries - Round of 16,2021-07-27 09:00:00.000,Boxing,Kokugikan Arena,2021-07-27 03:00:00.000,2021-07-27 00:00:00.000,
True,Boxing,Women's Fly (48-51kg) Victory Ceremony,2021-08-07 06:00:00.000,Boxing,Kokugikan Arena,2021-08-07 00:00:00.000,2021-08-07 00:00:00.000,🏅
False,Surfing,Women's Quarterfinals,2021-07-27 23:00:00.000,Surfing,Tsurigasaki Surfing Beach,2021-07-27 17:00:00.000,2021-07-27 00:00:00.000,
False,Athletics,Women's 1500m Semifinals,2021-08-04 10:30:00.000,Athletics,Olympic Stadium,2021-08-04 04:30:00.000,2021-08-04 00:00:00.000,
False,Athletics,Men's 4 x 400m Relay Final,2021-08-07 11:00:00.000,Athletics,Olympic Stadium,2021-08-07 05:00:00.000,2021-08-07 00:00:00.000,
False,Cycling,Women's Sprint Qualifying,2021-08-06 07:30:00.000,Cycling Track,Izu Velodrome,2021-08-06 01:30:00.000,2021-08-06 00:00:00.000,
False,Water Polo,Men's Bronze Medal Match,2021-08-08 05:40:00.000,Water Polo,Tatsumi Water Polo Centre,2021-08-07 23:40:00.000,2021-08-07 00:00:00.000,
False,Boxing,Men's Super Heavy (+91kg) Semifinals,2021-08-04 06:00:00.000,Boxing,Kokugikan Arena,2021-08-04 00:00:00.000,2021-08-04 00:00:00.000,
False,Volleyball,Men's or Women's Lucky Loser (1 match),2021-07-31 07:00:00.000,Beach Volleyball,Shiokaze Park,2021-07-31 01:00:00.000,2021-07-31 00:00:00.000,
True,Athletics,Women's Shot Put Victory Ceremony,2021-08-01 11:00:00.000,Athletics,Olympic Stadium,2021-08-01 05:00:00.000,2021-08-01 00:00:00.000,🏅
False,Rowing,Men's Double Sculls Repechage,2021-07-24 00:30:00.000,Rowing,Sea Forest Waterway,2021-07-23 18:30:00.000,2021-07-23 00:00:00.000,
False,Archery,Team Semifinals,2021-07-25 05:45:00.000,Archery,Yumenoshima Park Archery Field,2021-07-24 23:45:00.000,2021-07-24 00:00:00.000,
False,Martial Arts,Men -90 kg Elimination Rounds,2021-07-29 03:00:00.000,Judo,Nippon Budokan,2021-07-28 21:00:00.000,2021-07-28 00:00:00.000,
True,Swimming,Women's 100m Butterfly Victory Ceremony,2021-07-26 02:30:00.000,Swimming,Tokyo Aquatics Centre,2021-07-25 20:30:00.000,2021-07-25 00:00:00.000,🏅
