Date,Store,Spending Category,variable,value
2018-12-01 00:00:00.000,9.0,Security,Actual Cost,891.0
2018-06-01 00:00:00.000,5.0,Utilities,Actual Cost,1136.2
2018-03-01 00:00:00.000,4.0,Rent,Actual Cost,3802.77
2017-01-01 00:00:00.000,1.0,Salary,Actual Cost,12861.66
2019-03-01 00:00:00.000,5.0,Marketing,Actual Cost,3004.83
2018-02-01 00:00:00.000,3.0,Utilities,Actual Cost,1281.54
2018-06-01 00:00:00.000,2.0,Miscelaneous,Actual Cost,610.4
2019-07-01 00:00:00.000,3.0,Salary,Actual Cost,11834.55
2019-12-01 00:00:00.000,5.0,Stationery,Actual Cost,116.39
2017-11-01 00:00:00.000,2.0,Rent,Actual Cost,3436.0
2017-07-01 00:00:00.000,7.0,Marketing,Actual Cost,1639.44
2019-03-01 00:00:00.000,12.0,Utilities,Actual Cost,621.18
2017-01-01 00:00:00.000,5.0,Salary,Actual Cost,13359.66
2018-04-01 00:00:00.000,4.0,Rent,Actual Cost,4852.92
2017-06-01 00:00:00.000,11.0,Miscelaneous,Actual Cost,2295.4
2018-03-01 00:00:00.000,1.0,Salary,Actual Cost,14385.35
2017-04-01 00:00:00.000,5.0,Marketing,Actual Cost,1926.95
2017-10-01 00:00:00.000,9.0,Utilities,Actual Cost,967.68
2018-05-01 00:00:00.000,8.0,Rent,Actual Cost,3794.28
2017-08-01 00:00:00.000,2.0,Utilities,Actual Cost,1142.28
2019-03-01 00:00:00.000,3.0,Marketing,Actual Cost,1836.0
2018-03-01 00:00:00.000,6.0,Salary,Actual Cost,11883.0
2019-07-01 00:00:00.000,8.0,Utilities,Actual Cost,956.12
2019-08-01 00:00:00.000,8.0,Miscelaneous,Actual Cost,1666.68
2017-02-01 00:00:00.000,4.0,Security,Actual Cost,808.83
2017-03-01 00:00:00.000,4.0,Security,Actual Cost,664.8
2018-12-01 00:00:00.000,6.0,Salary,Actual Cost,10814.04
2017-09-01 00:00:00.000,6.0,Salary,Actual Cost,12406.03
2019-04-01 00:00:00.000,6.0,Marketing,Actual Cost,1589.0
2018-11-01 00:00:00.000,5.0,Security,Actual Cost,460.6
2018-04-01 00:00:00.000,2.0,Salary,Actual Cost,15011.63
2019-10-01 00:00:00.000,11.0,Miscelaneous,Actual Cost,1725.91
2018-06-01 00:00:00.000,11.0,Utilities,Actual Cost,1260.48
2019-09-01 00:00:00.000,1.0,Salary,Actual Cost,14099.52
2019-03-01 00:00:00.000,7.0,Security,Actual Cost,675.12
2019-07-01 00:00:00.000,5.0,Salary,Actual Cost,8996.8
2018-12-01 00:00:00.000,3.0,Rent,Actual Cost,3562.08
2019-08-01 00:00:00.000,4.0,Salary,Actual Cost,10359.58
2017-08-01 00:00:00.000,7.0,Miscelaneous,Actual Cost,977.44
2019-08-01 00:00:00.000,4.0,Stationery,Actual Cost,278.05
2017-04-01 00:00:00.000,4.0,Rent,Actual Cost,3749.6
