ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
IN10096542,CLOSED,NW000429,Email,Email,04AUG2018:05:30:18,
IN10067312,QUEUED,DC000152,Middleware,Middleware,18OCT2017:14:05:32,0.2833333333
IN10236805,QUEUED,ENT00005,Mobile Devices,Mobile - Voice & Data,27JAN2021:08:29:50,0.0833333333
IN10084806,CLOSED,ITS00346,Secure Remote Access,Secure Remote Access,27APR2018:05:30:01,
IN10167973,NEW,,,,15NOV2019:18:19:38,
IN10188051,QUEUED,DC000202,Midrange,Midrange - Windows -X86,20MAR2020:21:10:02,0.0
IN10289827,RESOLVED,NW000456,Other Activities,Other - Telecom & Network,,0.0
IN10071799,RESOLVED,NW000461,GC WAN,GC WAN,08DEC2017:15:38:46,0.0
IN10097050,QUEUED,ESI00011,Other Activities,Other - Service Management,20NOV2018:15:56:13,5.4833333333
IN10052614,CLOSED,DC000115,Midrange,Midrange - Windows -X86,29APR2017:05:30:11,
IN10078310,RESOLVED,ENT00045,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,27FEB2018:10:55:00,0.0
IN10121055,NEW,,,,09JAN2019:14:41:01,
IN10065679,CLOSED,NW000405,Intra-building Network Services,IBN - GC LAN,13OCT2017:05:30:12,
IN10067954,SLAHOLD,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),25OCT2017:14:42:55,2.6333333333
IN10149810,AWAITCUS,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,22JUL2019:10:23:14,9.1333333333
IN10115844,INPROG,NW000438,Intra-building Network Services,IBN - GC Wi-Fi,04DEC2018:08:56:26,1.7
IN10194124,RESOLVED,DC000203,Midrange,Midrange - Windows -X86,01MAY2020:10:29:37,0.0
IN10282147,QUEUED,DC000209,Midrange,Midrange,,
IN10126246,QUEUED,DC000209,Midrange,Midrange,08FEB2019:22:26:21,0.0833333333
IN10091414,NEW,,,,12JUN2018:09:09:25,
IN10129867,SLAHOLD,DC000119,Other Activities,Other - Data Centre,05MAR2019:10:39:06,30.25
IN10212154,QUEUED,DC000216,Storage,Storage - File,25AUG2020:09:28:28,0.0666666667
IN10238259,CLOSED,DC000242,Other Activities,Other - Telecom & Network,15FEB2021:05:30:03,
IN10078416,INPROG,DC000155,Mainframe,Mainframe,16MAR2018:09:22:44,0.0666666667
IN10197789,NEW,,,,27MAY2020:17:07:37,
IN10219047,QUEUED,DC000188,Midrange,Midrange,07OCT2020:08:49:26,0.6166666667
IN10158883,CLOSED,ITS00343,Firewall,Firewall,06OCT2019:05:30:17,
IN10038276,QUEUED,EDC00066,Other Activities,Other - Service Management,19SEP2016:07:16:24,663.53333333
IN10192735,SLAHOLD,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),20JUL2020:11:27:51,9.0833333333
IN10183043,INPROG,NW000440,Fixed Line,Fixed - PBX,06MAR2020:10:01:55,140.66666667
IN10072171,NEW,,,,08DEC2017:13:31:04,
IN10040166,CLOSED,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,17OCT2016:05:30:06,
IN10131656,QUEUED,DC000107,Data Centre Facilities Management,Data Centre Facilities Management,13MAR2019:13:27:44,0.1666666667
IN10235622,CLOSED,ITS00332,Secure Remote Access,Secure Remote Access,13FEB2021:05:30:08,
IN10263389,QUEUED,DC000132,High-performance Computing,High-performance Computing,26JUN2021:01:54:42,0.0
IN10184424,CLOSED,NW000434,Fixed Line,Fixed Line,10MAR2020:05:30:20,
IN10176587,QUEUED,DC000203,Midrange,Midrange - Windows -X86,15JAN2020:00:29:00,7.1333333333
IN10178525,RESOLVED,DC000198,Midrange,Midrange - Windows -X86,27JAN2020:08:16:38,0.0
IN10155614,CLOSED,NW000440,Fixed Line,Fixed - PBX,30DEC2019:05:30:03,
IN10207382,CLOSED,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,10AUG2020:05:30:15,
IN10114607,AWAITVEN,COR00554,Other Activities,Other - Internal Services & Strategy,03DEC2018:06:44:09,185.6
IN10080588,NEW,,,,09MAR2018:11:30:33,
IN10207273,CLOSED,DC000152,Middleware,Middleware,06AUG2020:05:30:03,
IN10212387,RESOLVED,DC000127,High-performance Computing,HPC -Big Data Exchange,27AUG2020:15:34:09,0.0
IN10280663,AWAITCUS,ITS00344,Firewall,Firewall,,
IN10166383,CLOSED,NW000405,Intra-building Network Services,IBN - GC LAN,17NOV2019:08:54:33,
IN10054799,CLOSED,EDC00002,Midrange,Midrange - Windows -X86,28MAY2017:05:30:09,
IN10164748,INPROG,EDC00029,Other Activities,Other - Service Management,28OCT2019:22:11:09,7.4666666667
IN10213197,RESOLVED,DC000119,Other Activities,Other - Data Centre,01SEP2020:06:53:37,0.0
IN10046475,INPROG,DC000127,High-performance Computing,HPC -Big Data Exchange,17JAN2017:12:04:03,18.366666667
IN10039587,CLOSED,NW000405,Intra-building Network Services,IBN - GC LAN,10OCT2016:06:31:15,
IN10268452,RESOLVED,ITS00380,Directory Services,Directory Services,,0.0
IN10277803,AWAITVEN,DC000132,High-performance Computing,High-performance Computing,,
IN10057082,CLOSED,DC000115,Midrange,Midrange - Windows -X86,30JUN2017:05:30:06,
IN10130907,CLOSED,ENT00005,Mobile Devices,Mobile - Voice & Data,19MAR2019:05:30:14,
IN10130238,AWAITVEN,NW000410,Conferencing Services,Conferencing - Videoconferencing,11MAR2019:09:30:56,218.23333333
IN10138548,CLOSED,,,,26APR2019:16:23:49,
