Order Number,variable,value
SO - 0006503,Channel,Wholesale
SO - 0005413,Channel,Export
SO - 0006260,Channel,Wholesale
SO - 0008661,Channel,Wholesale
SO - 0006821,Channel,Wholesale
SO - 0009674,Channel,Wholesale
SO - 0003251,Channel,Wholesale
SO - 0005808,Channel,Export
SO - 0006767,Channel,Distributor
SO - 0009206,Channel,Distributor
SO - 0004037,Channel,Distributor
SO - 0005057,Channel,Distributor
SO - 0010228,Channel,Distributor
SO - 0006531,Channel,Wholesale
SO - 0006094,Channel,Wholesale
SO - 0005765,Channel,Distributor
SO - 0009408,Channel,Wholesale
SO - 0004668,Channel,Export
SO - 0010351,Channel,Distributor
SO - 0010302,Channel,Wholesale
SO - 0005045,Channel,Distributor
SO - 0005640,Channel,Wholesale
SO - 0007424,Channel,Wholesale
SO - 0010135,Channel,Wholesale
SO - 0006283,Channel,Wholesale
SO - 000242,Channel,Wholesale
SO - 0002939,Channel,Export
SO - 000239,Channel,Wholesale
SO - 0002890,Channel,Distributor
SO - 0009298,Channel,Distributor
SO - 0007958,Channel,Distributor
SO - 0001109,Channel,Distributor
SO - 0001690,Channel,Distributor
SO - 0008959,Channel,Distributor
SO - 0006714,Channel,Distributor
SO - 0003768,Channel,Export
SO - 0004489,Channel,Wholesale
SO - 0009204,Channel,Distributor
SO - 0002280,Channel,Wholesale
SO - 0003434,Channel,Wholesale
SO - 0006898,Channel,Wholesale
SO - 0001115,Channel,Wholesale
SO - 0009404,Channel,Wholesale
SO - 0007970,Channel,Export
SO - 0006679,Channel,Wholesale
SO - 0002082,Channel,Wholesale
SO - 000696,Channel,Distributor
SO - 0003160,Channel,Distributor
SO - 0007578,Channel,Distributor
SO - 0002878,Channel,Distributor
SO - 0002641,Channel,Wholesale
SO - 0003739,Channel,Wholesale
SO - 0003986,Channel,Distributor
SO - 0006259,Channel,Distributor
SO - 0008485,Channel,Wholesale
SO - 0008717,Channel,Wholesale
SO - 0002697,Channel,Wholesale
SO - 0010200,Channel,Distributor
SO - 0003349,Channel,Export
SO - 0004213,Channel,Distributor
SO - 0007654,Channel,Distributor
SO - 0005020,Channel,Distributor
SO - 0007871,Channel,Wholesale
SO - 0004998,Channel,Distributor
SO - 0007780,Channel,Wholesale
SO - 000852,Channel,Wholesale
SO - 000378,Channel,Wholesale
SO - 0005686,Channel,Wholesale
SO - 000489,Channel,Distributor
SO - 0008150,Channel,Distributor
SO - 0005238,Channel,Export
SO - 0010134,Channel,Wholesale
SO - 0001193,Channel,Wholesale
SO - 0006517,Channel,Wholesale
SO - 0010476,Channel,Wholesale
SO - 0003133,Channel,Wholesale
SO - 0007447,Channel,Distributor
SO - 0002987,Channel,Wholesale
SO - 0008635,Channel,Export
SO - 0003966,Channel,Wholesale
SO - 0009878,Channel,Distributor
SO - 0005845,Channel,Wholesale
SO - 0003815,Channel,Wholesale
SO - 0010614,Channel,Distributor
SO - 0003281,Channel,Wholesale
SO - 0006341,Channel,Export
SO - 0007071,Channel,Export
SO - 0009334,Currency Code,EUR
SO - 0001970,Currency Code,EUR
SO - 0004258,Currency Code,EUR
SO - 0007884,Currency Code,EUR
SO - 0009947,Currency Code,EUR
SO - 0002295,Currency Code,EUR
SO - 0004085,Currency Code,EUR
SO - 0003507,Currency Code,EUR
SO - 0009263,Currency Code,EUR
SO - 0005175,Currency Code,EUR
SO - 0002549,Currency Code,EUR
SO - 0009598,Currency Code,EUR
SO - 0002811,Currency Code,EUR
SO - 0006503,Currency Code,EUR
SO - 0005413,Currency Code,EUR
SO - 0006260,Currency Code,EUR
SO - 0008661,Currency Code,EUR
SO - 0006821,Currency Code,EUR
SO - 0009674,Currency Code,EUR
SO - 0003251,Currency Code,EUR
SO - 0005808,Currency Code,EUR
SO - 0006767,Currency Code,EUR
SO - 0009206,Currency Code,EUR
SO - 0004037,Currency Code,EUR
SO - 0005057,Currency Code,EUR
SO - 0010228,Currency Code,EUR
SO - 0006531,Currency Code,EUR
SO - 0006094,Currency Code,EUR
SO - 0005765,Currency Code,EUR
SO - 0009408,Currency Code,EUR
SO - 0004668,Currency Code,EUR
SO - 0010351,Currency Code,EUR
SO - 0010302,Currency Code,EUR
SO - 0005045,Currency Code,EUR
SO - 0005640,Currency Code,EUR
SO - 0007424,Currency Code,EUR
SO - 0010135,Currency Code,EUR
SO - 0006283,Currency Code,EUR
SO - 000242,Currency Code,EUR
SO - 0002939,Currency Code,EUR
SO - 000239,Currency Code,EUR
SO - 0002890,Currency Code,EUR
SO - 0009298,Currency Code,EUR
SO - 0007958,Currency Code,EUR
SO - 0001109,Currency Code,EUR
SO - 0001690,Currency Code,EUR
SO - 0008959,Currency Code,EUR
SO - 0006714,Currency Code,EUR
SO - 0003768,Currency Code,EUR
SO - 0004489,Currency Code,EUR
SO - 0009204,Currency Code,EUR
SO - 0002280,Currency Code,EUR
SO - 0003434,Currency Code,EUR
SO - 0006898,Currency Code,EUR
SO - 0001115,Currency Code,EUR
SO - 0009404,Currency Code,EUR
SO - 0007970,Currency Code,EUR
SO - 0006679,Currency Code,EUR
SO - 0002082,Currency Code,EUR
SO - 000696,Currency Code,EUR
SO - 0003160,Currency Code,EUR
SO - 0007578,Currency Code,EUR
SO - 0002878,Currency Code,EUR
SO - 0002641,Currency Code,EUR
SO - 0003739,Currency Code,EUR
SO - 0003986,Currency Code,EUR
SO - 0006259,Currency Code,EUR
SO - 0008485,Currency Code,EUR
SO - 0008717,Currency Code,EUR
SO - 0002697,Currency Code,EUR
SO - 0010200,Currency Code,EUR
SO - 0003349,Currency Code,EUR
SO - 0004213,Currency Code,EUR
SO - 0007654,Currency Code,EUR
SO - 0005020,Currency Code,EUR
SO - 0007871,Currency Code,EUR
SO - 0004998,Currency Code,EUR
SO - 0007780,Currency Code,EUR
SO - 000852,Currency Code,EUR
SO - 000378,Currency Code,EUR
SO - 0005686,Currency Code,EUR
SO - 000489,Currency Code,EUR
SO - 0008150,Currency Code,EUR
SO - 0005238,Currency Code,EUR
SO - 0010134,Currency Code,EUR
SO - 0001193,Currency Code,EUR
SO - 0006517,Currency Code,EUR
SO - 0010476,Currency Code,EUR
SO - 0003133,Currency Code,EUR
SO - 0007447,Currency Code,EUR
SO - 0002987,Currency Code,EUR
SO - 0008635,Currency Code,EUR
SO - 0003966,Currency Code,EUR
SO - 0009878,Currency Code,EUR
SO - 0005845,Currency Code,EUR
SO - 0003815,Currency Code,EUR
SO - 0010614,Currency Code,EUR
SO - 0003281,Currency Code,EUR
SO - 0006341,Currency Code,EUR
SO - 0007071,Currency Code,EUR
SO - 0009334,Warehouse Code,NXH382
SO - 0001970,Warehouse Code,AXW291
SO - 0004258,Warehouse Code,AXW291
SO - 0007884,Warehouse Code,GUT930
SO - 0009947,Warehouse Code,AXW291
SO - 0002295,Warehouse Code,AXW291
SO - 0004085,Warehouse Code,AXW291
SO - 0003507,Warehouse Code,NXH382
SO - 0009263,Warehouse Code,AXW291
SO - 0005175,Warehouse Code,AXW291
SO - 0002549,Warehouse Code,GUT930
SO - 0009598,Warehouse Code,AXW291
SO - 0002811,Warehouse Code,NXH382
SO - 0006503,Warehouse Code,AXW291
SO - 0005413,Warehouse Code,AXW291
SO - 0006260,Warehouse Code,NXH382
SO - 0008661,Warehouse Code,GUT930
SO - 0006821,Warehouse Code,NXH382
SO - 0009674,Warehouse Code,AXW291
SO - 0003251,Warehouse Code,AXW291
SO - 0005808,Warehouse Code,AXW291
SO - 0006767,Warehouse Code,GUT930
SO - 0009206,Warehouse Code,FLR025
SO - 0004037,Warehouse Code,GUT930
SO - 0005057,Warehouse Code,FLR025
SO - 0010228,Warehouse Code,AXW291
SO - 0006531,Warehouse Code,AXW291
SO - 0006094,Warehouse Code,AXW291
SO - 0005765,Warehouse Code,AXW291
SO - 0009408,Warehouse Code,FLR025
SO - 0004668,Warehouse Code,FLR025
SO - 0010351,Warehouse Code,FLR025
SO - 0010302,Warehouse Code,AXW291
SO - 0005045,Warehouse Code,FLR025
SO - 0005640,Warehouse Code,GUT930
SO - 0007424,Warehouse Code,AXW291
SO - 0010135,Warehouse Code,NXH382
SO - 0006283,Warehouse Code,AXW291
SO - 000242,Warehouse Code,AXW291
SO - 0002939,Warehouse Code,AXW291
SO - 000239,Warehouse Code,AXW291
SO - 0002890,Warehouse Code,FLR025
SO - 0009298,Warehouse Code,GUT930
SO - 0007958,Warehouse Code,AXW291
SO - 0001109,Warehouse Code,AXW291
SO - 0001690,Warehouse Code,GUT930
SO - 0008959,Warehouse Code,NXH382
SO - 0006714,Warehouse Code,FLR025
SO - 0003768,Warehouse Code,GUT930
SO - 0004489,Warehouse Code,NXH382
SO - 0009204,Warehouse Code,NXH382
SO - 0002280,Warehouse Code,AXW291
SO - 0003434,Warehouse Code,GUT930
SO - 0006898,Warehouse Code,AXW291
SO - 0001115,Warehouse Code,NXH382
SO - 0009404,Warehouse Code,AXW291
SO - 0007970,Warehouse Code,AXW291
SO - 0006679,Warehouse Code,AXW291
SO - 0002082,Warehouse Code,FLR025
SO - 000696,Warehouse Code,NXH382
SO - 0003160,Warehouse Code,FLR025
SO - 0007578,Warehouse Code,GUT930
SO - 0002878,Warehouse Code,AXW291
SO - 0002641,Warehouse Code,AXW291
SO - 0003739,Warehouse Code,NXH382
SO - 0003986,Warehouse Code,AXW291
SO - 0006259,Warehouse Code,NXH382
SO - 0008485,Warehouse Code,NXH382
SO - 0008717,Warehouse Code,NXH382
SO - 0002697,Warehouse Code,NXH382
SO - 0010200,Warehouse Code,NXH382
SO - 0003349,Warehouse Code,FLR025
SO - 0004213,Warehouse Code,GUT930
SO - 0007654,Warehouse Code,AXW291
SO - 0005020,Warehouse Code,AXW291
SO - 0007871,Warehouse Code,AXW291
SO - 0004998,Warehouse Code,AXW291
SO - 0007780,Warehouse Code,AXW291
SO - 000852,Warehouse Code,FLR025
SO - 000378,Warehouse Code,GUT930
SO - 0005686,Warehouse Code,GUT930
SO - 000489,Warehouse Code,NXH382
SO - 0008150,Warehouse Code,AXW291
SO - 0005238,Warehouse Code,AXW291
SO - 0010134,Warehouse Code,GUT930
SO - 0001193,Warehouse Code,AXW291
SO - 0006517,Warehouse Code,AXW291
SO - 0010476,Warehouse Code,FLR025
SO - 0003133,Warehouse Code,AXW291
SO - 0007447,Warehouse Code,AXW291
SO - 0002987,Warehouse Code,GUT930
SO - 0008635,Warehouse Code,FLR025
SO - 0003966,Warehouse Code,AXW291
SO - 0009878,Warehouse Code,FLR025
SO - 0005845,Warehouse Code,NXH382
SO - 0003815,Warehouse Code,FLR025
SO - 0010614,Warehouse Code,FLR025
SO - 0003281,Warehouse Code,GUT930
SO - 0006341,Warehouse Code,AXW291
SO - 0007071,Warehouse Code,FLR025
SO - 0009334,Delivery Region Index,46
SO - 0001970,Delivery Region Index,36
SO - 0004258,Delivery Region Index,21
SO - 0007884,Delivery Region Index,29
SO - 0009947,Delivery Region Index,41
SO - 0002295,Delivery Region Index,7
SO - 0004085,Delivery Region Index,84
SO - 0003507,Delivery Region Index,64
SO - 0009263,Delivery Region Index,45
SO - 0005175,Delivery Region Index,64
SO - 0002549,Delivery Region Index,39
SO - 0009598,Delivery Region Index,22
SO - 0002811,Delivery Region Index,53
SO - 0006503,Delivery Region Index,74
SO - 0005413,Delivery Region Index,65
SO - 0006260,Delivery Region Index,16
SO - 0008661,Delivery Region Index,20
SO - 0006821,Delivery Region Index,65
SO - 0009674,Delivery Region Index,21
SO - 0003251,Delivery Region Index,29
SO - 0005808,Delivery Region Index,26
SO - 0006767,Delivery Region Index,6
SO - 0009206,Delivery Region Index,80
SO - 0004037,Delivery Region Index,73
SO - 0005057,Delivery Region Index,22
SO - 0010228,Delivery Region Index,83
SO - 0006531,Delivery Region Index,14
SO - 0006094,Delivery Region Index,83
SO - 0005765,Delivery Region Index,28
SO - 0009408,Delivery Region Index,61
SO - 0004668,Delivery Region Index,7
SO - 0010351,Delivery Region Index,13
SO - 0010302,Delivery Region Index,41
SO - 0005045,Delivery Region Index,41
SO - 0005640,Delivery Region Index,52
SO - 0007424,Delivery Region Index,9
SO - 0010135,Delivery Region Index,8
SO - 0006283,Delivery Region Index,21
SO - 000242,Delivery Region Index,44
SO - 0002939,Delivery Region Index,8
SO - 000239,Delivery Region Index,31
SO - 0002890,Delivery Region Index,79
SO - 0009298,Delivery Region Index,36
SO - 0007958,Delivery Region Index,36
SO - 0001109,Delivery Region Index,15
SO - 0001690,Delivery Region Index,5
SO - 0008959,Delivery Region Index,84
SO - 0006714,Delivery Region Index,57
SO - 0003768,Delivery Region Index,76
SO - 0004489,Delivery Region Index,24
SO - 0009204,Delivery Region Index,24
SO - 0002280,Delivery Region Index,37
SO - 0003434,Delivery Region Index,24
SO - 0006898,Delivery Region Index,59
SO - 0001115,Delivery Region Index,37
SO - 0009404,Delivery Region Index,61
SO - 0007970,Delivery Region Index,9
SO - 0006679,Delivery Region Index,50
SO - 0002082,Delivery Region Index,42
SO - 000696,Delivery Region Index,72
SO - 0003160,Delivery Region Index,29
SO - 0007578,Delivery Region Index,82
SO - 0002878,Delivery Region Index,2
SO - 0002641,Delivery Region Index,71
SO - 0003739,Delivery Region Index,19
SO - 0003986,Delivery Region Index,4
SO - 0006259,Delivery Region Index,30
SO - 0008485,Delivery Region Index,49
SO - 0008717,Delivery Region Index,61
SO - 0002697,Delivery Region Index,60
SO - 0010200,Delivery Region Index,29
SO - 0003349,Delivery Region Index,69
SO - 0004213,Delivery Region Index,19
SO - 0007654,Delivery Region Index,67
SO - 0005020,Delivery Region Index,9
SO - 0007871,Delivery Region Index,20
SO - 0004998,Delivery Region Index,6
SO - 0007780,Delivery Region Index,60
SO - 000852,Delivery Region Index,4
SO - 000378,Delivery Region Index,19
SO - 0005686,Delivery Region Index,26
SO - 000489,Delivery Region Index,16
SO - 0008150,Delivery Region Index,3
SO - 0005238,Delivery Region Index,27
SO - 0010134,Delivery Region Index,4
SO - 0001193,Delivery Region Index,76
SO - 0006517,Delivery Region Index,13
SO - 0010476,Delivery Region Index,37
SO - 0003133,Delivery Region Index,13
SO - 0007447,Delivery Region Index,54
SO - 0002987,Delivery Region Index,39
SO - 0008635,Delivery Region Index,50
SO - 0003966,Delivery Region Index,79
SO - 0009878,Delivery Region Index,57
SO - 0005845,Delivery Region Index,41
SO - 0003815,Delivery Region Index,65
SO - 0010614,Delivery Region Index,15
SO - 0003281,Delivery Region Index,70
SO - 0006341,Delivery Region Index,51
SO - 0007071,Delivery Region Index,14
SO - 0009334,Product Description Index,16
SO - 0001970,Product Description Index,7
SO - 0004258,Product Description Index,19
SO - 0007884,Product Description Index,20
SO - 0009947,Product Description Index,13
SO - 0002295,Product Description Index,16
SO - 0004085,Product Description Index,25
SO - 0003507,Product Description Index,5
SO - 0009263,Product Description Index,2
SO - 0005175,Product Description Index,5
SO - 0002549,Product Description Index,26
SO - 0009598,Product Description Index,6
SO - 0002811,Product Description Index,28
SO - 0006503,Product Description Index,13
SO - 0005413,Product Description Index,6
SO - 0006260,Product Description Index,25
SO - 0008661,Product Description Index,25
SO - 0006821,Product Description Index,3
SO - 0009674,Product Description Index,5
SO - 0003251,Product Description Index,5
SO - 0005808,Product Description Index,8
SO - 0006767,Product Description Index,16
SO - 0009206,Product Description Index,12
SO - 0004037,Product Description Index,26
SO - 0005057,Product Description Index,10
SO - 0010228,Product Description Index,15
SO - 0006531,Product Description Index,2
SO - 0006094,Product Description Index,30
SO - 0005765,Product Description Index,13
SO - 0009408,Product Description Index,17
SO - 0004668,Product Description Index,15
SO - 0010351,Product Description Index,9
SO - 0010302,Product Description Index,15
SO - 0005045,Product Description Index,5
SO - 0005640,Product Description Index,25
SO - 0007424,Product Description Index,23
SO - 0010135,Product Description Index,4
SO - 0006283,Product Description Index,28
SO - 000242,Product Description Index,17
SO - 0002939,Product Description Index,4
SO - 000239,Product Description Index,9
SO - 0002890,Product Description Index,19
SO - 0009298,Product Description Index,12
SO - 0007958,Product Description Index,4
SO - 0001109,Product Description Index,6
SO - 0001690,Product Description Index,13
SO - 0008959,Product Description Index,3
SO - 0006714,Product Description Index,25
SO - 0003768,Product Description Index,26
SO - 0004489,Product Description Index,4
SO - 0009204,Product Description Index,13
SO - 0002280,Product Description Index,26
SO - 0003434,Product Description Index,2
SO - 0006898,Product Description Index,26
SO - 0001115,Product Description Index,10
SO - 0009404,Product Description Index,25
SO - 0007970,Product Description Index,11
SO - 0006679,Product Description Index,23
SO - 0002082,Product Description Index,26
SO - 000696,Product Description Index,26
SO - 0003160,Product Description Index,21
SO - 0007578,Product Description Index,26
SO - 0002878,Product Description Index,12
SO - 0002641,Product Description Index,15
SO - 0003739,Product Description Index,2
SO - 0003986,Product Description Index,2
SO - 0006259,Product Description Index,29
SO - 0008485,Product Description Index,3
SO - 0008717,Product Description Index,5
SO - 0002697,Product Description Index,4
SO - 0010200,Product Description Index,29
SO - 0003349,Product Description Index,20
SO - 0004213,Product Description Index,11
SO - 0007654,Product Description Index,27
SO - 0005020,Product Description Index,26
SO - 0007871,Product Description Index,1
SO - 0004998,Product Description Index,6
SO - 0007780,Product Description Index,13
SO - 000852,Product Description Index,4
SO - 000378,Product Description Index,13
SO - 0005686,Product Description Index,12
SO - 000489,Product Description Index,25
SO - 0008150,Product Description Index,13
SO - 0005238,Product Description Index,26
SO - 0010134,Product Description Index,26
SO - 0001193,Product Description Index,25
SO - 0006517,Product Description Index,25
SO - 0010476,Product Description Index,16
SO - 0003133,Product Description Index,26
SO - 0007447,Product Description Index,3
SO - 0002987,Product Description Index,13
SO - 0008635,Product Description Index,25
SO - 0003966,Product Description Index,25
SO - 0009878,Product Description Index,1
SO - 0005845,Product Description Index,24
SO - 0003815,Product Description Index,14
SO - 0010614,Product Description Index,15
SO - 0003281,Product Description Index,1
SO - 0006341,Product Description Index,26
SO - 0007071,Product Description Index,25
SO - 0009334,Order Quantity,6
SO - 0001970,Order Quantity,7
SO - 0004258,Order Quantity,9
SO - 0007884,Order Quantity,11
SO - 0009947,Order Quantity,8
SO - 0002295,Order Quantity,5
SO - 0004085,Order Quantity,10
SO - 0003507,Order Quantity,6
SO - 0009263,Order Quantity,8
SO - 0005175,Order Quantity,7
SO - 0002549,Order Quantity,10
