ModYearReg,UnitSold,Lowercase,ModelID,YearID,RegID
"M6Y1ON",9542,"m6y1on","M6","Y1","ON"
"M7Y1ON",8456,"m7y1on","M7","Y1","ON"
"M8Y1ON",3284,"m8y1on","M8","Y1","ON"
"M1Y1PE",121,"m1y1pe","M1","Y1","PE"
"M2Y1PE",141,"m2y1pe","M2","Y1","PE"
"M3Y1PE",46,"m3y1pe","M3","Y1","PE"
"M4Y1PE",87,"m4y1pe","M4","Y1","PE"
"M5Y1PE",97,"m5y1pe","M5","Y1","PE"
"M6Y1PE",25,"m6y1pe","M6","Y1","PE"
"M7Y1PE",102,"m7y1pe","M7","Y1","PE"
"M8Y1PE",250,"m8y1pe","M8","Y1","PE"
"M1Y1QC",7571,"m1y1qc","M1","Y1","QC"
"M2Y1QC",7789,"m2y1qc","M2","Y1","QC"
"M3Y1QC",7321,"m3y1qc","M3","Y1","QC"
"M4Y1QC",5531,"m4y1qc","M4","Y1","QC"
"M5Y1QC",4755,"m5y1qc","M5","Y1","QC"
"M6Y1QC",4321,"m6y1qc","M6","Y1","QC"
"M7Y1QC",6474,"m7y1qc","M7","Y1","QC"
"M8Y1QC",3124,"m8y1qc","M8","Y1","QC"
"M1Y1SK",1724,"m1y1sk","M1","Y1","SK"
"M2Y1SK",1341,"m2y1sk","M2","Y1","SK"
"M3Y1SK",631,"m3y1sk","M3","Y1","SK"
"M4Y1SK",421,"m4y1sk","M4","Y1","SK"
"M5Y1SK",553,"m5y1sk","M5","Y1","SK"
"M6Y1SK",265,"m6y1sk","M6","Y1","SK"
"M7Y1SK",931,"m7y1sk","M7","Y1","SK"
"M8Y1SK",730,"m8y1sk","M8","Y1","SK"
"M1Y1YT",31,"m1y1yt","M1","Y1","YT"
"M2Y1YT",29,"m2y1yt","M2","Y1","YT"
"M3Y1YT",9,"m3y1yt","M3","Y1","YT"
"M4Y1YT",5,"m4y1yt","M4","Y1","YT"
"M5Y1YT",15,"m5y1yt","M5","Y1","YT"
"M6Y1YT",1,"m6y1yt","M6","Y1","YT"
"M7Y1YT",39,"m7y1yt","M7","Y1","YT"
"M8Y1YT",99,"m8y1yt","M8","Y1","YT"
"M1Y2AB",5463,"m1y2ab","M1","Y2","AB"
"M2Y2AB",4279,"m2y2ab","M2","Y2","AB"
"M3Y2AB",3647,"m3y2ab","M3","Y2","AB"
"M4Y2AB",2145,"m4y2ab","M4","Y2","AB"
"M5Y2AB",1531,"m5y2ab","M5","Y2","AB"
"M6Y2AB",3247,"m6y2ab","M6","Y2","AB"
"M7Y2AB",3334,"m7y2ab","M7","Y2","AB"
"M8Y2AB",2075,"m8y2ab","M8","Y2","AB"
"M1Y2BC",4932,"m1y2bc","M1","Y2","BC"
"M2Y2BC",5471,"m2y2bc","M2","Y2","BC"
"M3Y2BC",6971,"m3y2bc","M3","Y2","BC"
"M4Y2BC",2457,"m4y2bc","M4","Y2","BC"
"M5Y2BC",1347,"m5y2bc","M5","Y2","BC"
"M6Y2BC",4985,"m6y2bc","M6","Y2","BC"
"M7Y2BC",2147,"m7y2bc","M7","Y2","BC"
"M8Y2BC",1038,"m8y2bc","M8","Y2","BC"
"M1Y2MB",1948,"m1y2mb","M1","Y2","MB"
"M2Y2MB",1593,"m2y2mb","M2","Y2","MB"
"M3Y2MB",1086,"m3y2mb","M3","Y2","MB"
"M4Y2MB",579,"m4y2mb","M4","Y2","MB"
"M5Y2MB",456,"m5y2mb","M5","Y2","MB"
"M6Y2MB",473,"m6y2mb","M6","Y2","MB"
"M7Y2MB",949,"m7y2mb","M7","Y2","MB"
"M8Y2MB",863,"m8y2mb","M8","Y2","MB"
"M1Y2NB",1149,"m1y2nb","M1","Y2","NB"
"M2Y2NB",945,"m2y2nb","M2","Y2","NB"
"M3Y2NB",546,"m3y2nb","M3","Y2","NB"
"M4Y2NB",394,"m4y2nb","M4","Y2","NB"
"M5Y2NB",476,"m5y2nb","M5","Y2","NB"
"M6Y2NB",113,"m6y2nb","M6","Y2","NB"
"M7Y2NB",512,"m7y2nb","M7","Y2","NB"
"M8Y2NB",325,"m8y2nb","M8","Y2","NB"
"M1Y2NL",946,"m1y2nl","M1","Y2","NL"
"M2Y2NL",731,"m2y2nl","M2","Y2","NL"
"M3Y2NL",329,"m3y2nl","M3","Y2","NL"
"M4Y2NL",195,"m4y2nl","M4","Y2","NL"
"M5Y2NL",249,"m5y2nl","M5","Y2","NL"
"M6Y2NL",62,"m6y2nl","M6","Y2","NL"
"M7Y2NL",222,"m7y2nl","M7","Y2","NL"
"M8Y2NL",269,"m8y2nl","M8","Y2","NL"
"M1Y2NU",30,"m1y2nu","M1","Y2","NU"
"M2Y2NU",27,"m2y2nu","M2","Y2","NU"
"M3Y2NU",9,"m3y2nu","M3","Y2","NU"
"M4Y2NU",4,"m4y2nu","M4","Y2","NU"
"M5Y2NU",16,"m5y2nu","M5","Y2","NU"
"M6Y2NU",2,"m6y2nu","M6","Y2","NU"
"M7Y2NU",38,"m7y2nu","M7","Y2","NU"
"M8Y2NU",101,"m8y2nu","M8","Y2","NU"
"M1Y2NS",1439,"m1y2ns","M1","Y2","NS"
"M2Y2NS",1086,"m2y2ns","M2","Y2","NS"
"M3Y2NS",623,"m3y2ns","M3","Y2","NS"
"M4Y2NS",429,"m4y2ns","M4","Y2","NS"
"M5Y2NS",573,"m5y2ns","M5","Y2","NS"
"M6Y2NS",239,"m6y2ns","M6","Y2","NS"
"M7Y2NS",789,"m7y2ns","M7","Y2","NS"
"M8Y2NS",383,"m8y2ns","M8","Y2","NS"
"M1Y2NT",33,"m1y2nt","M1","Y2","NT"
"M2Y2NT",30,"m2y2nt","M2","Y2","NT"
"M3Y2NT",11,"m3y2nt","M3","Y2","NT"
"M4Y2NT",5,"m4y2nt","M4","Y2","NT"
"M5Y2NT",17,"m5y2nt","M5","Y2","NT"
"M6Y2NT",4,"m6y2nt","M6","Y2","NT"
"M7Y2NT",45,"m7y2nt","M7","Y2","NT"
"M8Y2NT",114,"m8y2nt","M8","Y2","NT"
"M1Y2ON",16621,"m1y2on","M1","Y2","ON"
"M2Y2ON",12321,"m2y2on","M2","Y2","ON"
"M3Y2ON",11624,"m3y2on","M3","Y2","ON"
"M4Y2ON",9121,"m4y2on","M4","Y2","ON"
"M5Y2ON",12321,"m5y2on","M5","Y2","ON"
"M6Y2ON",10021,"m6y2on","M6","Y2","ON"
"M7Y2ON",9321,"m7y2on","M7","Y2","ON"
"M8Y2ON",3055,"m8y2on","M8","Y2","ON"
"M1Y2PE",129,"m1y2pe","M1","Y2","PE"
"M2Y2PE",143,"m2y2pe","M2","Y2","PE"
"M3Y2PE",49,"m3y2pe","M3","Y2","PE"
"M4Y2PE",93,"m4y2pe","M4","Y2","PE"
"M5Y2PE",101,"m5y2pe","M5","Y2","PE"
"M6Y2PE",29,"m6y2pe","M6","Y2","PE"
"M7Y2PE",106,"m7y2pe","M7","Y2","PE"
"M8Y2PE",255,"m8y2pe","M8","Y2","PE"
"M1Y2QC",7894,"m1y2qc","M1","Y2","QC"
"M2Y2QC",8134,"m2y2qc","M2","Y2","QC"
"M3Y2QC",7951,"m3y2qc","M3","Y2","QC"
"M4Y2QC",5780,"m4y2qc","M4","Y2","QC"
"M5Y2QC",5126,"m5y2qc","M5","Y2","QC"
"M6Y2QC",4741,"m6y2qc","M6","Y2","QC"
"M7Y2QC",6954,"m7y2qc","M7","Y2","QC"
"M8Y2QC",2267,"m8y2qc","M8","Y2","QC"
"M1Y2SK",1736,"m1y2sk","M1","Y2","SK"
"M2Y2SK",1398,"m2y2sk","M2","Y2","SK"
"M3Y2SK",651,"m3y2sk","M3","Y2","SK"
"M4Y2SK",436,"m4y2sk","M4","Y2","SK"
"M5Y2SK",681,"m5y2sk","M5","Y2","SK"
"M6Y2SK",273,"m6y2sk","M6","Y2","SK"
"M7Y2SK",955,"m7y2sk","M7","Y2","SK"
"M8Y2SK",742,"m8y2sk","M8","Y2","SK"
"M1Y2YT",30,"m1y2yt","M1","Y2","YT"
"M2Y2YT",31,"m2y2yt","M2","Y2","YT"
"M3Y2YT",11,"m3y2yt","M3","Y2","YT"
"M4Y2YT",6,"m4y2yt","M4","Y2","YT"
"M5Y2YT",17,"m5y2yt","M5","Y2","YT"
"M6Y2YT",2,"m6y2yt","M6","Y2","YT"
"M7Y2YT",40,"m7y2yt","M7","Y2","YT"
"M8Y2YT",100,"m8y2yt","M8","Y2","YT"
"M1Y3AB",5536,"m1y3ab","M1","Y3","AB"
"M2Y3AB",4374,"m2y3ab","M2","Y3","AB"
"M3Y3AB",3762,"m3y3ab","M3","Y3","AB"
"M4Y3AB",2231,"m4y3ab","M4","Y3","AB"
"M5Y3AB",1649,"m5y3ab","M5","Y3","AB"
"M6Y3AB",3346,"m6y3ab","M6","Y3","AB"
"M7Y3AB",3479,"m7y3ab","M7","Y3","AB"
"M8Y3AB",2141,"m8y3ab","M8","Y3","AB"
"M1Y3BC",5021,"m1y3bc","M1","Y3","BC"
"M2Y3BC",5647,"m2y3bc","M2","Y3","BC"
"M3Y3BC",7124,"m3y3bc","M3","Y3","BC"
"M4Y3BC",2456,"m4y3bc","M4","Y3","BC"
"M5Y3BC",1651,"m5y3bc","M5","Y3","BC"
"M6Y3BC",5052,"m6y3bc","M6","Y3","BC"
"M7Y3BC",2305,"m7y3bc","M7","Y3","BC"
"M8Y3BC",1002,"m8y3bc","M8","Y3","BC"
"M1Y3MB",2031,"m1y3mb","M1","Y3","MB"
"M2Y3MB",1665,"m2y3mb","M2","Y3","MB"
"M3Y3MB",1193,"m3y3mb","M3","Y3","MB"
"M4Y3MB",586,"m4y3mb","M4","Y3","MB"
"M5Y3MB",491,"m5y3mb","M5","Y3","MB"
"M6Y3MB",486,"m6y3mb","M6","Y3","MB"
"M7Y3MB",986,"m7y3mb","M7","Y3","MB"
"M8Y3MB",755,"m8y3mb","M8","Y3","MB"
"M1Y3NB",1153,"m1y3nb","M1","Y3","NB"
"M2Y3NB",952,"m2y3nb","M2","Y3","NB"
"M3Y3NB",559,"m3y3nb","M3","Y3","NB"
"M4Y3NB",411,"m4y3nb","M4","Y3","NB"
"M5Y3NB",479,"m5y3nb","M5","Y3","NB"
"M6Y3NB",121,"m6y3nb","M6","Y3","NB"
"M7Y3NB",524,"m7y3nb","M7","Y3","NB"
"M8Y3NB",399,"m8y3nb","M8","Y3","NB"
"M1Y3NL",959,"m1y3nl","M1","Y3","NL"
"M2Y3NL",734,"m2y3nl","M2","Y3","NL"
"M3Y3NL",336,"m3y3nl","M3","Y3","NL"
"M4Y3NL",203,"m4y3nl","M4","Y3","NL"
"M5Y3NL",253,"m5y3nl","M5","Y3","NL"
"M6Y3NL",72,"m6y3nl","M6","Y3","NL"
"M7Y3NL",241,"m7y3nl","M7","Y3","NL"
"M8Y3NL",299,"m8y3nl","M8","Y3","NL"
"M1Y3NU",33,"m1y3nu","M1","Y3","NU"
"M2Y3NU",29,"m2y3nu","M2","Y3","NU"
"M3Y3NU",11,"m3y3nu","M3","Y3","NU"
"M4Y3NU",6,"m4y3nu","M4","Y3","NU"
"M5Y3NU",16,"m5y3nu","M5","Y3","NU"
"M6Y3NU",1,"m6y3nu","M6","Y3","NU"
"M7Y3NU",39,"m7y3nu","M7","Y3","NU"
"M8Y3NU",98,"m8y3nu","M8","Y3","NU"
"M1Y3NS",1489,"m1y3ns","M1","Y3","NS"
"M2Y3NS",1123,"m2y3ns","M2","Y3","NS"
"M3Y3NS",646,"m3y3ns","M3","Y3","NS"
"M4Y3NS",459,"m4y3ns","M4","Y3","NS"
"M5Y3NS",611,"m5y3ns","M5","Y3","NS"
"M6Y3NS",261,"m6y3ns","M6","Y3","NS"
"M7Y3NS",801,"m7y3ns","M7","Y3","NS"
"M8Y3NS",344,"m8y3ns","M8","Y3","NS"
"M1Y3NT",34,"m1y3nt","M1","Y3","NT"
"M2Y3NT",31,"m2y3nt","M2","Y3","NT"
"M3Y3NT",9,"m3y3nt","M3","Y3","NT"
"M4Y3NT",6,"m4y3nt","M4","Y3","NT"
"M5Y3NT",20,"m5y3nt","M5","Y3","NT"
"M6Y3NT",4,"m6y3nt","M6","Y3","NT"
"M7Y3NT",49,"m7y3nt","M7","Y3","NT"
"M8Y3NT",114,"m8y3nt","M8","Y3","NT"
"M1Y3ON",16751,"m1y3on","M1","Y3","ON"
"M2Y3ON",13124,"m2y3on","M2","Y3","ON"
"M3Y3ON",12197,"m3y3on","M3","Y3","ON"
"M4Y3ON",9456,"m4y3on","M4","Y3","ON"
"M5Y3ON",13354,"m5y3on","M5","Y3","ON"
"M6Y3ON",9547,"m6y3on","M6","Y3","ON"
"M7Y3ON",9340,"m7y3on","M7","Y3","ON"
"M8Y3ON",3254,"m8y3on","M8","Y3","ON"
"M1Y3PE",132,"m1y3pe","M1","Y3","PE"
"M2Y3PE",145,"m2y3pe","M2","Y3","PE"
"M3Y3PE",53,"m3y3pe","M3","Y3","PE"
"M4Y3PE",97,"m4y3pe","M4","Y3","PE"
"M5Y3PE",105,"m5y3pe","M5","Y3","PE"
"M6Y3PE",33,"m6y3pe","M6","Y3","PE"
"M7Y3PE",110,"m7y3pe","M7","Y3","PE"
"M8Y3PE",258,"m8y3pe","M8","Y3","PE"
"M1Y3QC",8221,"m1y3qc","M1","Y3","QC"
"M2Y3QC",8146,"m2y3qc","M2","Y3","QC"
"M3Y3QC",8203,"m3y3qc","M3","Y3","QC"
"M4Y3QC",6231,"m4y3qc","M4","Y3","QC"
"M5Y3QC",5178,"m5y3qc","M5","Y3","QC"
"M6Y3QC",4374,"m6y3qc","M6","Y3","QC"
"M7Y3QC",7139,"m7y3qc","M7","Y3","QC"
"M8Y3QC",2870,"m8y3qc","M8","Y3","QC"
"M1Y3SK",1811,"m1y3sk","M1","Y3","SK"
"M2Y3SK",1461,"m2y3sk","M2","Y3","SK"
"M3Y3SK",668,"m3y3sk","M3","Y3","SK"
"M4Y3SK",449,"m4y3sk","M4","Y3","SK"
"M5Y3SK",695,"m5y3sk","M5","Y3","SK"
"M6Y3SK",282,"m6y3sk","M6","Y3","SK"
"M7Y3SK",1018,"m7y3sk","M7","Y3","SK"
"M8Y3SK",702,"m8y3sk","M8","Y3","SK"
"M1Y3YT",33,"m1y3yt","M1","Y3","YT"
"M2Y3YT",32,"m2y3yt","M2","Y3","YT"
"M3Y3YT",13,"m3y3yt","M3","Y3","YT"
"M4Y3YT",6,"m4y3yt","M4","Y3","YT"
"M5Y3YT",18,"m5y3yt","M5","Y3","YT"
"M6Y3YT",2,"m6y3yt","M6","Y3","YT"
"M7Y3YT",46,"m7y3yt","M7","Y3","YT"
"M8Y3YT",95,"m8y3yt","M8","Y3","YT"
"M1Y4AB",5748,"m1y4ab","M1","Y4","AB"
"M2Y4AB",4483,"m2y4ab","M2","Y4","AB"
"M3Y4AB",3831,"m3y4ab","M3","Y4","AB"
"M4Y4AB",2321,"m4y4ab","M4","Y4","AB"
"M5Y4AB",1762,"m5y4ab","M5","Y4","AB"
"M6Y4AB",3456,"m6y4ab","M6","Y4","AB"
"M7Y4AB",3591,"m7y4ab","M7","Y4","AB"
"M8Y4AB",2165,"m8y4ab","M8","Y4","AB"
"M1Y4BC",5143,"m1y4bc","M1","Y4","BC"
"M2Y4BC",5731,"m2y4bc","M2","Y4","BC"
"M3Y4BC",7214,"m3y4bc","M3","Y4","BC"
"M4Y4BC",2654,"m4y4bc","M4","Y4","BC"
"M5Y4BC",1791,"m5y4bc","M5","Y4","BC"
"M6Y4BC",5121,"m6y4bc","M6","Y4","BC"
"M7Y4BC",2631,"m7y4bc","M7","Y4","BC"
"M8Y4BC",929,"m8y4bc","M8","Y4","BC"
"M1Y4MB",2116,"m1y4mb","M1","Y4","MB"
"M2Y4MB",1721,"m2y4mb","M2","Y4","MB"
"M3Y4MB",1209,"m3y4mb","M3","Y4","MB"
"M4Y4MB",588,"m4y4mb","M4","Y4","MB"
"M5Y4MB",504,"m5y4mb","M5","Y4","MB"
"M6Y4MB",539,"m6y4mb","M6","Y4","MB"
"M7Y4MB",1011,"m7y4mb","M7","Y4","MB"
"M8Y4MB",764,"m8y4mb","M8","Y4","MB"
"M1Y4NB",1189,"m1y4nb","M1","Y4","NB"
"M2Y4NB",984,"m2y4nb","M2","Y4","NB"
"M3Y4NB",586,"m3y4nb","M3","Y4","NB"
"M4Y4NB",426,"m4y4nb","M4","Y4","NB"
"M5Y4NB",496,"m5y4nb","M5","Y4","NB"
"M6Y4NB",139,"m6y4nb","M6","Y4","NB"
"M7Y4NB",539,"m7y4nb","M7","Y4","NB"
"M8Y4NB",385,"m8y4nb","M8","Y4","NB"
"M1Y4NL",969,"m1y4nl","M1","Y4","NL"
"M2Y4NL",748,"m2y4nl","M2","Y4","NL"
"M3Y4NL",356,"m3y4nl","M3","Y4","NL"
"M4Y4NL",226,"m4y4nl","M4","Y4","NL"
"M5Y4NL",279,"m5y4nl","M5","Y4","NL"
"M6Y4NL",89,"m6y4nl","M6","Y4","NL"
"M7Y4NL",279,"m7y4nl","M7","Y4","NL"
"M8Y4NL",249,"m8y4nl","M8","Y4","NL"
"M1Y4NU",34,"m1y4nu","M1","Y4","NU"
"M2Y4NU",31,"m2y4nu","M2","Y4","NU"
"M3Y4NU",13,"m3y4nu","M3","Y4","NU"
"M4Y4NU",6,"m4y4nu","M4","Y4","NU"
"M5Y4NU",18,"m5y4nu","M5","Y4","NU"
"M6Y4NU",2,"m6y4nu","M6","Y4","NU"
"M7Y4NU",38,"m7y4nu","M7","Y4","NU"
"M8Y4NU",96,"m8y4nu","M8","Y4","NU"
"M1Y4NS",1498,"m1y4ns","M1","Y4","NS"
"M2Y4NS",1143,"m2y4ns","M2","Y4","NS"
"M3Y4NS",658,"m3y4ns","M3","Y4","NS"
"M4Y4NS",467,"m4y4ns","M4","Y4","NS"
"M5Y4NS",633,"m5y4ns","M5","Y4","NS"
"M6Y4NS",279,"m6y4ns","M6","Y4","NS"
"M7Y4NS",859,"m7y4ns","M7","Y4","NS"
"M8Y4NS",378,"m8y4ns","M8","Y4","NS"
"M1Y4NT",37,"m1y4nt","M1","Y4","NT"
"M2Y4NT",33,"m2y4nt","M2","Y4","NT"
"M3Y4NT",11,"m3y4nt","M3","Y4","NT"
"M4Y4NT",8,"m4y4nt","M4","Y4","NT"
"M5Y4NT",19,"m5y4nt","M5","Y4","NT"
"M6Y4NT",3,"m6y4nt","M6","Y4","NT"
"M7Y4NT",56,"m7y4nt","M7","Y4","NT"
"M8Y4NT",109,"m8y4nt","M8","Y4","NT"
"M1Y4ON",17124,"m1y4on","M1","Y4","ON"
"M2Y4ON",13457,"m2y4on","M2","Y4","ON"
"M3Y4ON",12341,"m3y4on","M3","Y4","ON"
"M4Y4ON",9521,"m4y4on","M4","Y4","ON"
"M5Y4ON",13831,"m5y4on","M5","Y4","ON"
"M6Y4ON",10531,"m6y4on","M6","Y4","ON"
"M7Y4ON",9845,"m7y4on","M7","Y4","ON"
"M8Y4ON",3124,"m8y4on","M8","Y4","ON"
"M1Y4PE",144,"m1y4pe","M1","Y4","PE"
"M2Y4PE",149,"m2y4pe","M2","Y4","PE"
"M3Y4PE",57,"m3y4pe","M3","Y4","PE"
"M4Y4PE",98,"m4y4pe","M4","Y4","PE"
"M5Y4PE",107,"m5y4pe","M5","Y4","PE"
"M6Y4PE",34,"m6y4pe","M6","Y4","PE"
"M7Y4PE",113,"m7y4pe","M7","Y4","PE"
"M8Y4PE",261,"m8y4pe","M8","Y4","PE"
"M1Y4QC",8345,"m1y4qc","M1","Y4","QC"
"M2Y4QC",8245,"m2y4qc","M2","Y4","QC"
"M3Y4QC",8354,"m3y4qc","M3","Y4","QC"
"M4Y4QC",6456,"m4y4qc","M4","Y4","QC"
"M5Y4QC",5247,"m5y4qc","M5","Y4","QC"
"M6Y4QC",4684,"m6y4qc","M6","Y4","QC"
"M7Y4QC",7234,"m7y4qc","M7","Y4","QC"
"M8Y4QC",3390,"m8y4qc","M8","Y4","QC"
"M1Y4SK",1893,"m1y4sk","M1","Y4","SK"
"M2Y4SK",1496,"m2y4sk","M2","Y4","SK"
"M3Y4SK",703,"m3y4sk","M3","Y4","SK"
"M4Y4SK",476,"m4y4sk","M4","Y4","SK"
"M5Y4SK",716,"m5y4sk","M5","Y4","SK"
"M6Y4SK",302,"m6y4sk","M6","Y4","SK"
"M7Y4SK",1016,"m7y4sk","M7","Y4","SK"
"M8Y4SK",708,"m8y4sk","M8","Y4","SK"
"M1Y4YT",34,"m1y4yt","M1","Y4","YT"
"M2Y4YT",32,"m2y4yt","M2","Y4","YT"
"M3Y4YT",14,"m3y4yt","M3","Y4","YT"
"M4Y4YT",7,"m4y4yt","M4","Y4","YT"
"M5Y4YT",18,"m5y4yt","M5","Y4","YT"
"M6Y4YT",1,"m6y4yt","M6","Y4","YT"
"M7Y4YT",44,"m7y4yt","M7","Y4","YT"
"M8Y4YT",103,"m8y4yt","M8","Y4","YT"
"M1Y5AB",5831,"m1y5ab","M1","Y5","AB"
"M2Y5AB",4592,"m2y5ab","M2","Y5","AB"
"M3Y5AB",3946,"m3y5ab","M3","Y5","AB"
"M4Y5AB",2409,"m4y5ab","M4","Y5","AB"
"M5Y5AB",1863,"m5y5ab","M5","Y5","AB"
"M6Y5AB",3519,"m6y5ab","M6","Y5","AB"
"M7Y5AB",3684,"m7y5ab","M7","Y5","AB"
"M8Y5AB",2156,"m8y5ab","M8","Y5","AB"
"M1Y5BC",5211,"m1y5bc","M1","Y5","BC"
"M2Y5BC",5792,"m2y5bc","M2","Y5","BC"
"M3Y5BC",7248,"m3y5bc","M3","Y5","BC"
"M4Y5BC",2764,"m4y5bc","M4","Y5","BC"
"M5Y5BC",1811,"m5y5bc","M5","Y5","BC"
"M6Y5BC",5211,"m6y5bc","M6","Y5","BC"
"M7Y5BC",2851,"m7y5bc","M7","Y5","BC"
"M8Y5BC",1060,"m8y5bc","M8","Y5","BC"
"M1Y5MB",2154,"m1y5mb","M1","Y5","MB"
"M2Y5MB",1764,"m2y5mb","M2","Y5","MB"
"M3Y5MB",1239,"m3y5mb","M3","Y5","MB"
"M4Y5MB",593,"m4y5mb","M4","Y5","MB"
"M5Y5MB",516,"m5y5mb","M5","Y5","MB"
"M6Y5MB",549,"m6y5mb","M6","Y5","MB"
"M7Y5MB",1121,"m7y5mb","M7","Y5","MB"
"M8Y5MB",715,"m8y5mb","M8","Y5","MB"
"M1Y5NB",1215,"m1y5nb","M1","Y5","NB"
"M2Y5NB",993,"m2y5nb","M2","Y5","NB"
"M3Y5NB",596,"m3y5nb","M3","Y5","NB"
"M4Y5NB",442,"m4y5nb","M4","Y5","NB"
"M5Y5NB",523,"m5y5nb","M5","Y5","NB"
"M6Y5NB",146,"m6y5nb","M6","Y5","NB"
"M7Y5NB",547,"m7y5nb","M7","Y5","NB"
"M8Y5NB",393,"m8y5nb","M8","Y5","NB"
"M1Y5NL",971,"m1y5nl","M1","Y5","NL"
"M2Y5NL",753,"m2y5nl","M2","Y5","NL"
"M3Y5NL",364,"m3y5nl","M3","Y5","NL"
"M4Y5NL",246,"m4y5nl","M4","Y5","NL"
"M5Y5NL",286,"m5y5nl","M5","Y5","NL"
"M6Y5NL",91,"m6y5nl","M6","Y5","NL"
"M7Y5NL",286,"m7y5nl","M7","Y5","NL"
"M8Y5NL",273,"m8y5nl","M8","Y5","NL"
"M1Y5NU",34,"m1y5nu","M1","Y5","NU"
"M2Y5NU",33,"m2y5nu","M2","Y5","NU"
"M3Y5NU",12,"m3y5nu","M3","Y5","NU"
