SalesOrderNumber,SalesOrderLineNumber,SalesReasonKey
"SO51538",1,1
"SO51539",1,1
"SO51541",1,1
"SO51543",1,1
"SO51546",1,1
"SO51548",1,1
"SO51549",1,1
"SO51551",1,1
"SO51552",1,1
"SO51553",1,1
"SO51554",1,1
"SO51555",1,1
"SO51556",1,1
"SO51558",1,1
"SO51559",1,1
"SO51561",1,1
"SO51562",1,1
"SO51563",1,1
"SO51564",1,1
"SO51565",1,1
"SO51566",1,1
"SO51567",1,1
"SO51568",1,1
"SO51569",1,1
"SO51578",1,1
"SO51579",1,1
"SO51580",1,1
"SO51581",1,1
"SO51582",1,1
"SO51586",1,1
"SO51587",1,1
"SO51588",1,1
"SO51589",1,1
"SO51590",1,1
"SO51591",1,1
"SO51594",1,1
"SO51595",1,1
"SO51597",1,1
"SO51603",1,1
"SO51604",1,1
"SO51605",1,1
"SO51608",1,1
"SO51609",1,1
"SO51610",1,1
"SO51611",1,1
"SO51612",1,1
"SO51613",1,1
"SO51615",1,1
"SO51616",1,1
"SO51617",1,1
"SO51619",1,1
"SO51620",1,1
"SO51621",1,1
"SO51622",1,1
"SO51623",1,1
"SO51624",1,1
"SO51625",1,1
"SO51626",1,1
"SO51627",1,1
"SO51629",1,1
"SO51630",1,1
"SO51634",1,1
"SO51635",1,1
"SO51636",1,1
"SO51637",1,1
"SO51638",1,1
"SO51639",1,1
"SO51640",1,1
"SO51645",1,1
"SO51646",1,1
"SO51647",1,1
"SO51648",1,1
"SO51649",1,1
"SO51652",1,1
"SO51654",1,1
"SO51655",1,1
"SO51657",1,1
"SO51659",1,1
"SO51660",1,1
"SO51661",1,1
"SO51663",1,1
"SO51664",1,1
"SO51665",1,1
"SO51666",1,1
"SO51669",1,1
"SO51670",1,1
"SO51672",1,1
"SO51673",1,1
"SO51674",1,1
"SO51675",1,1
"SO51679",1,1
"SO51681",1,1
"SO51683",1,1
"SO51684",1,1
"SO51686",1,1
"SO51687",1,1
"SO51689",1,1
"SO51877",1,1
"SO51879",1,1
"SO51880",1,1
"SO51881",1,1
"SO51882",1,1
"SO51884",1,1
"SO51885",1,1
"SO51886",1,1
"SO51887",1,1
"SO51888",1,1
"SO51889",1,1
"SO51890",1,1
"SO51891",1,1
"SO51892",1,1
"SO51894",1,1
"SO51895",1,1
"SO51896",1,1
"SO51897",1,1
"SO51898",1,1
"SO51899",1,1
"SO51900",1,1
"SO51901",1,1
"SO51902",1,1
"SO51903",1,1
"SO51904",1,1
"SO51905",1,1
"SO51907",1,1
"SO51908",1,1
"SO51909",1,1
"SO51910",1,1
"SO51911",1,1
"SO51913",1,1
"SO51914",1,1
"SO51915",1,1
"SO51917",1,1
"SO51918",1,1
"SO51919",1,1
"SO51920",1,1
"SO51923",1,1
"SO51924",1,1
"SO51925",1,1
"SO51926",1,1
"SO51927",1,1
"SO51928",1,1
"SO51931",1,1
"SO51932",1,1
"SO51933",1,1
"SO51934",1,1
"SO51935",1,1
"SO51936",1,1
"SO51937",1,1
"SO51939",1,1
"SO51940",1,1
"SO51941",1,1
"SO51942",1,1
"SO51943",1,1
"SO51944",1,1
"SO51945",1,1
"SO51946",1,1
"SO51947",1,1
"SO51948",1,1
"SO51949",1,1
"SO51950",1,1
"SO51951",1,1
"SO51952",1,1
"SO51953",1,1
"SO51954",1,1
"SO51955",1,1
"SO51956",1,1
"SO51957",1,1
"SO51958",1,1
"SO51959",1,1
"SO51960",1,1
"SO51962",1,1
"SO51963",1,1
"SO51964",1,1
"SO51965",1,1
"SO51966",1,1
"SO51967",1,1
"SO51969",1,1
"SO51970",1,1
"SO51971",1,1
"SO51973",1,1
"SO51975",1,1
"SO51976",1,1
"SO51977",1,1
"SO51978",1,1
"SO51982",1,1
"SO51983",1,1
"SO51984",1,1
"SO51985",1,1
"SO51986",1,1
"SO51987",1,1
"SO51988",1,1
"SO51989",1,1
"SO51990",1,1
"SO51991",1,1
"SO51992",1,1
"SO51994",1,1
"SO51995",1,1
"SO51996",1,1
"SO51997",1,1
"SO51998",1,1
"SO51999",1,1
"SO52000",1,1
"SO52001",1,1
"SO52002",1,1
"SO52003",1,1
"SO52004",1,1
"SO52005",1,1
"SO52008",1,1
"SO52009",1,1
"SO52010",1,1
"SO52011",1,1
"SO52013",1,1
"SO52017",1,1
"SO52019",1,1
"SO52020",1,1
"SO52021",1,1
"SO52022",1,1
"SO52024",1,1
"SO52025",1,1
"SO52026",1,1
"SO52027",1,1
"SO52028",1,1
"SO52029",1,1
"SO52030",1,1
"SO52031",1,1
"SO52033",1,1
"SO52035",1,1
"SO52036",1,1
"SO52037",1,1
"SO52039",1,1
"SO52040",1,1
"SO52042",1,1
"SO52043",1,1
"SO52044",1,1
"SO52045",1,1
"SO52046",1,1
"SO52047",1,1
"SO52048",1,1
"SO52049",1,1
"SO52050",1,1
"SO52051",1,1
"SO52052",1,1
"SO52053",1,1
"SO52054",1,1
"SO52055",1,1
"SO52058",1,1
"SO52060",1,1
"SO52062",1,1
"SO52063",1,1
"SO52064",1,1
"SO52066",1,1
"SO52067",1,1
"SO52068",1,1
"SO52069",1,1
"SO52070",1,1
"SO52071",1,1
"SO52072",1,1
"SO52073",1,1
"SO52074",1,1
"SO52076",1,1
"SO52077",1,1
"SO52078",1,1
"SO52079",1,1
"SO52080",1,1
"SO52081",1,1
"SO52082",1,1
"SO52083",1,1
"SO52084",1,1
"SO52085",1,1
"SO52086",1,1
"SO52087",1,1
"SO52088",1,1
"SO52090",1,1
"SO52093",1,1
"SO52094",1,1
"SO52095",1,1
"SO52096",1,1
"SO52097",1,1
"SO52098",1,1
"SO52099",1,1
"SO52100",1,1
"SO52101",1,1
"SO52102",1,1
"SO52103",1,1
"SO52104",1,1
"SO52105",1,1
"SO52108",1,1
"SO52110",1,1
"SO52112",1,1
"SO52114",1,1
"SO52115",1,1
"SO52116",1,1
"SO52118",1,1
"SO52119",1,1
"SO52121",1,1
"SO52122",1,1
"SO52124",1,1
"SO52125",1,1
"SO52126",1,1
"SO52127",1,1
"SO52128",1,1
"SO52129",1,1
"SO52130",1,1
"SO52132",1,1
"SO52133",1,1
"SO52134",1,1
"SO52135",1,1
"SO52136",1,1
"SO52137",1,1
"SO52138",1,1
"SO52139",1,1
"SO52140",1,1
"SO52141",1,1
"SO52142",1,1
"SO52143",1,1
"SO52144",1,1
"SO52145",1,1
"SO52146",1,1
"SO52147",1,1
"SO52150",1,1
"SO52152",1,1
"SO52154",1,1
"SO52156",1,1
"SO52158",1,1
"SO52159",1,1
"SO52160",1,1
"SO52161",1,1
"SO52162",1,1
"SO52164",1,1
"SO52165",1,1
"SO52166",1,1
"SO52167",1,1
"SO52168",1,1
"SO52171",1,1
"SO52172",1,1
"SO52173",1,1
"SO52174",1,1
"SO52175",1,1
"SO52177",1,1
"SO52178",1,1
"SO52179",1,1
"SO52181",1,1
"SO52182",1,1
"SO52183",1,1
"SO52185",1,1
"SO52186",1,1
"SO52187",1,1
"SO52188",1,1
"SO52189",1,1
"SO52190",1,1
"SO52191",1,1
"SO52192",1,1
"SO52193",1,1
"SO52194",1,1
"SO52195",1,1
"SO52196",1,1
"SO52197",1,1
"SO52198",1,1
"SO52199",1,1
"SO52200",1,1
"SO52201",1,1
"SO52202",1,1
"SO52203",1,1
"SO52204",1,1
"SO52205",1,1
"SO52206",1,1
"SO52207",1,1
"SO52208",1,1
"SO52209",1,1
"SO52210",1,1
"SO52211",1,1
"SO52213",1,1
"SO52215",1,1
"SO52216",1,1
"SO52217",1,1
"SO52218",1,1
"SO52219",1,1
"SO52220",1,1
"SO52222",1,1
"SO52223",1,1
"SO52224",1,1
"SO52225",1,1
"SO52226",1,1
"SO52227",1,1
"SO52228",1,1
"SO52229",1,1
"SO52230",1,1
"SO52232",1,1
"SO52233",1,1
"SO52234",1,1
"SO52235",1,1
"SO52236",1,1
"SO52237",1,1
"SO52238",1,1
"SO52240",1,1
"SO52241",1,1
"SO52242",1,1
"SO52243",1,1
"SO52244",1,1
"SO52245",1,1
"SO52246",1,1
"SO52248",1,1
"SO52249",1,1
"SO52250",1,1
"SO52251",1,1
"SO52252",1,1
"SO52253",1,1
"SO52254",1,1
"SO52255",1,1
"SO52256",1,1
"SO52257",1,1
"SO52258",1,1
"SO52259",1,1
"SO52260",1,1
"SO52261",1,1
"SO52262",1,1
"SO52263",1,1
"SO52264",1,1
"SO52265",1,1
"SO52266",1,1
"SO52267",1,1
"SO52268",1,1
"SO52270",1,1
"SO52271",1,1
"SO52273",1,1
"SO52274",1,1
"SO52275",1,1
"SO52276",1,1
"SO52277",1,1
"SO52278",1,1
"SO52279",1,1
"SO52280",1,1
"SO52281",1,1
"SO52283",1,1
"SO52284",1,1
"SO52285",1,1
"SO52286",1,1
"SO52287",1,1
"SO52289",1,1
"SO52290",1,1
"SO52291",1,1
"SO52292",1,1
"SO52293",1,1
"SO52297",1,1
"SO52298",1,1
"SO52299",1,1
"SO52300",1,1
"SO52301",1,1
"SO52302",1,1
"SO52304",1,1
"SO52305",1,1
"SO52306",1,1
"SO52307",1,1
"SO52308",1,1
"SO52309",1,1
"SO52310",1,1
"SO52311",1,1
"SO52312",1,1
"SO52314",1,1
"SO52315",1,1
"SO52317",1,1
"SO52318",1,1
"SO52319",1,1
"SO52320",1,1
"SO52321",1,1
"SO52322",1,1
"SO52323",1,1
"SO52324",1,1
"SO52326",1,1
"SO52327",1,1
"SO52328",1,1
"SO52329",1,1
"SO52330",1,1
"SO52331",1,1
"SO52332",1,1
"SO52334",1,1
"SO52335",1,1
"SO52336",1,1
"SO52337",1,1
"SO52338",1,1
"SO52339",1,1
"SO52340",1,1
"SO52341",1,1
"SO52342",1,1
"SO52344",1,1
"SO52345",1,1
"SO52346",1,1
"SO52347",1,1
"SO52348",1,1
"SO52349",1,1
"SO52350",1,1
"SO52351",1,1
"SO52352",1,1
"SO52353",1,1
"SO52354",1,1
"SO52355",1,1
"SO52356",1,1
"SO52357",1,1
"SO52358",1,1
"SO52360",1,1
"SO52361",1,1
"SO52363",1,1
"SO52364",1,1
"SO52365",1,1
"SO52366",1,1
"SO52367",1,1
"SO52368",1,1
"SO52369",1,1
"SO52371",1,1
"SO52372",1,1
"SO52373",1,1
"SO52374",1,1
"SO52375",1,1
"SO52376",1,1
"SO52377",1,1
"SO52378",1,1
"SO52379",1,1
"SO52380",1,1
"SO52381",1,1
"SO52382",1,1
"SO52383",1,1
"SO52384",1,1
"SO52386",1,1
"SO52387",1,1
"SO52388",1,1
"SO52389",1,1
"SO52390",1,1
"SO52391",1,1
"SO52392",1,1
"SO52393",1,1
"SO52394",1,1
"SO52396",1,1
"SO52397",1,1
"SO52398",1,1
"SO52400",1,1
"SO52402",1,1
"SO52403",1,1
"SO52405",1,1
"SO52409",1,1
"SO52410",1,1
"SO52411",1,1
"SO52412",1,1
"SO52413",1,1
"SO52414",1,1
"SO52415",1,1
"SO52416",1,1
"SO52418",1,1
"SO52421",1,1
"SO52422",1,1
"SO52423",1,1
"SO52424",1,1
"SO52425",1,1
"SO52426",1,1
"SO52427",1,1
"SO52428",1,1
"SO52429",1,1
"SO52430",1,1
"SO52431",1,1
"SO52432",1,1
"SO52433",1,1
"SO52434",1,1
"SO52435",1,1
"SO52436",1,1
"SO52437",1,1
"SO52438",1,1
"SO52439",1,1
"SO52440",1,1
"SO52442",1,1
"SO52443",1,1
"SO52444",1,1
"SO52445",1,1
"SO52446",1,1
"SO52447",1,1
"SO52448",1,1
"SO52449",1,1
"SO52451",1,1
"SO52452",1,1
"SO52453",1,1
"SO52454",1,1
"SO52455",1,1
"SO52457",1,1
"SO52458",1,1
"SO52459",1,1
"SO52460",1,1
"SO52461",1,1
"SO52462",1,1
"SO52463",1,1
"SO52464",1,1
"SO52465",1,1
"SO52468",1,1
"SO52469",1,1
"SO52470",1,1
"SO52471",1,1
"SO52472",1,1
"SO52474",1,1
"SO52475",1,1
"SO52477",1,1
"SO52479",1,1
"SO52481",1,1
"SO52482",1,1
"SO52483",1,1
"SO52484",1,1
"SO52485",1,1
"SO52486",1,1
"SO52487",1,1
"SO52488",1,1
"SO52489",1,1
"SO52490",1,1
"SO52491",1,1
"SO52492",1,1
"SO52494",1,1
"SO52495",1,1
"SO52496",1,1
"SO52497",1,1
"SO52499",1,1
"SO52500",1,1
"SO52501",1,1
"SO52502",1,1
"SO52503",1,1
"SO52504",1,1
"SO52505",1,1
"SO52506",1,1
"SO52507",1,1
"SO52508",1,1
"SO52509",1,1
"SO52510",1,1
"SO52511",1,1
"SO52512",1,1
"SO52513",1,1
"SO52515",1,1
"SO52516",1,1
"SO52517",1,1
"SO52518",1,1
"SO52519",1,1
"SO52520",1,1
"SO52521",1,1
"SO52522",1,1
"SO52523",1,1
"SO52525",1,1
"SO52526",1,1
"SO52527",1,1
"SO52528",1,1
"SO52529",1,1
"SO52531",1,1
"SO52532",1,1
"SO52533",1,1
"SO52534",1,1
"SO52535",1,1
"SO52536",1,1
"SO52537",1,1
"SO52538",1,1
"SO52539",1,1
"SO52540",1,1
"SO52541",1,1
"SO52542",1,1
"SO52543",1,1
"SO52544",1,1
"SO52545",1,1
"SO52546",1,1
"SO52547",1,1
"SO52548",1,1
"SO52549",1,1
"SO52550",1,1
"SO52551",1,1
"SO52552",1,1
"SO52553",1,1
"SO52554",1,1
"SO52555",1,1
"SO52556",1,1
"SO52557",1,1
"SO52558",1,1
"SO52559",1,1
"SO52560",1,1
"SO52561",1,1
"SO52562",1,1
"SO52563",1,1
"SO52564",1,1
"SO52566",1,1
"SO52568",1,1
"SO52569",1,1
"SO52570",1,1
"SO52571",1,1
"SO52572",1,1
"SO52575",1,1
"SO52577",1,1
"SO52579",1,1
"SO52580",1,1
"SO52581",1,1
"SO52582",1,1
"SO52583",1,1
"SO52584",1,1
"SO52585",1,1
"SO52586",1,1
"SO52587",1,1
"SO52589",1,1
"SO52590",1,1
"SO52591",1,1
"SO52592",1,1
"SO52593",1,1
"SO52594",1,1
"SO52595",1,1
"SO52596",1,1
"SO52597",1,1
"SO52598",1,1
"SO52599",1,1
"SO52600",1,1
"SO52601",1,1
"SO52602",1,1
"SO52603",1,1
"SO52604",1,1
"SO52605",1,1
"SO52606",1,1
"SO52607",1,1
"SO52608",1,1
"SO52609",1,1
"SO52610",1,1
"SO52611",1,1
"SO52612",1,1
"SO52613",1,1
"SO52614",1,1
"SO52615",1,1
"SO52616",1,1
"SO52617",1,1
"SO52618",1,1
"SO52619",1,1
"SO52620",1,1
"SO52621",1,1
"SO52626",1,1
"SO52627",1,1
"SO52628",1,1
"SO52629",1,1
"SO52630",1,1
"SO52631",1,1
"SO52632",1,1
"SO52633",1,1
"SO52634",1,1
"SO52635",1,1
"SO52636",1,1
"SO52637",1,1
"SO52638",1,1
"SO52639",1,1
"SO52640",1,1
"SO52641",1,1
"SO52642",1,1
"SO52643",1,1
"SO52644",1,1
"SO52645",1,1
"SO52646",1,1
"SO52647",1,1
"SO52648",1,1
"SO52649",1,1
"SO52650",1,1
"SO52651",1,1
"SO52653",1,1
"SO52654",1,1
"SO52655",1,1
"SO52656",1,1
"SO52658",1,1
"SO52659",1,1
"SO52661",1,1
"SO52662",1,1
"SO52663",1,1
"SO52664",1,1
"SO52665",1,1
"SO52666",1,1
"SO52667",1,1
"SO52668",1,1
"SO52669",1,1
"SO52671",1,1
"SO52672",1,1
"SO52673",1,1
"SO52674",1,1
"SO52675",1,1
"SO52676",1,1
"SO52677",1,1
"SO52678",1,1
"SO52679",1,1
"SO52680",1,1
"SO52681",1,1
"SO52682",1,1
"SO52683",1,1
"SO52684",1,1
"SO52685",1,1
"SO52686",1,1
"SO52687",1,1
"SO52689",1,1
"SO52690",1,1
"SO52691",1,1
"SO52692",1,1
"SO52694",1,1
"SO52695",1,1
"SO52696",1,1
"SO52697",1,1
"SO52698",1,1
"SO52699",1,1
"SO52703",1,1
"SO52704",1,1
"SO52705",1,1
"SO52706",1,1
"SO52707",1,1
"SO52708",1,1
"SO52710",1,1
"SO52711",1,1
"SO52712",1,1
"SO52713",1,1
"SO52714",1,1
"SO52715",1,1
"SO52717",1,1
"SO52719",1,1
"SO52722",1,1
"SO52723",1,1
"SO52724",1,1
"SO52725",1,1
"SO52726",1,1
"SO52727",1,1
"SO52728",1,1
"SO52730",1,1
"SO52731",1,1
"SO52732",1,1
"SO52735",1,1
"SO52736",1,1
"SO52737",1,1
"SO52738",1,1
"SO52739",1,1
"SO52741",1,1
"SO52743",1,1
"SO52744",1,1
"SO52745",1,1
"SO52746",1,1
"SO52747",1,1
"SO52748",1,1
"SO52749",1,1
"SO52750",1,1
"SO52751",1,1
"SO52752",1,1
"SO52753",1,1
"SO52754",1,1
"SO52755",1,1
"SO52756",1,1
"SO52757",1,1
"SO52758",1,1
"SO52760",1,1
"SO52761",1,1
"SO52762",1,1
"SO52765",1,1
"SO52766",1,1
"SO52767",1,1
"SO52769",1,1
"SO52770",1,1
"SO52771",1,1
"SO52772",1,1
"SO52774",1,1
"SO52775",1,1
"SO52777",1,1
"SO52778",1,1
"SO52779",1,1
"SO52780",1,1
"SO52782",1,1
"SO52783",1,1
"SO52785",1,1
"SO52786",1,1
"SO52787",1,1
"SO52788",1,1
"SO52789",1,1
"SO52790",1,1
"SO52791",1,1
"SO52792",1,1
"SO52793",1,1
"SO52794",1,1
"SO52795",1,1
"SO52796",1,1
"SO52798",1,1
"SO52799",1,1
"SO52800",1,1
"SO52801",1,1
"SO52802",1,1
"SO52803",1,1
"SO52804",1,1
"SO52805",1,1
"SO52806",1,1
"SO52807",1,1
"SO52808",1,1
"SO52809",1,1
"SO52810",1,1
"SO52812",1,1
"SO52813",1,1
"SO52814",1,1
"SO52815",1,1
"SO52816",1,1
"SO52817",1,1
"SO52818",1,1
"SO52819",1,1
"SO52820",1,1
"SO52821",1,1
"SO52822",1,1
"SO52823",1,1
"SO52824",1,1
"SO52826",1,1
"SO52827",1,1
"SO52828",1,1
"SO52830",1,1
"SO52831",1,1
"SO52832",1,1
"SO52833",1,1
"SO52834",1,1
"SO52836",1,1
"SO52838",1,1
"SO52839",1,1
"SO52841",1,1
"SO52842",1,1
"SO52845",1,1
"SO52847",1,1
"SO52849",1,1
"SO52850",1,1
"SO52851",1,1
"SO52852",1,1
"SO52853",1,1
"SO52854",1,1
"SO52856",1,1
"SO52857",1,1
"SO52859",1,1
"SO52860",1,1
"SO52861",1,1
"SO52862",1,1
"SO52863",1,1
"SO52864",1,1
"SO52865",1,1
"SO52866",1,1
"SO52867",1,1
"SO52868",1,1
"SO52869",1,1
"SO52870",1,1
"SO52871",1,1
"SO52872",1,1
"SO52873",1,1
"SO52874",1,1
"SO52876",1,1
"SO52877",1,1
"SO52883",1,1
"SO52884",1,1
"SO52885",1,1
"SO52886",1,1
"SO52887",1,1
"SO52888",1,1
"SO52892",1,1
"SO52893",1,1
"SO52894",1,1
"SO52895",1,1
"SO52896",1,1
"SO52897",1,1
"SO52898",1,1
"SO52899",1,1
"SO52900",1,1
"SO52901",1,1
"SO52903",1,1
"SO52904",1,1
"SO52905",1,1
"SO52906",1,1
"SO52907",1,1
"SO52908",1,1
"SO52909",1,1
"SO52910",1,1
"SO52911",1,1
"SO52912",1,1
"SO52913",1,1
"SO52914",1,1
"SO52915",1,1
"SO52916",1,1
"SO52917",1,1
"SO52918",1,1
"SO52922",1,1
"SO52923",1,1
"SO52925",1,1
"SO52926",1,1
"SO52928",1,1
"SO52929",1,1
"SO52931",1,1
"SO52932",1,1
"SO52933",1,1
"SO52935",1,1
"SO52936",1,1
"SO52938",1,1
"SO52939",1,1
"SO52940",1,1
"SO52941",1,1
"SO52942",1,1
"SO52943",1,1
"SO52944",1,1
"SO52945",1,1
"SO52946",1,1
"SO52947",1,1
"SO52948",1,1
"SO52949",1,1
"SO52950",1,1
"SO52951",1,1
"SO52952",1,1
"SO52953",1,1
"SO52954",1,1
"SO52959",1,1
"SO52960",1,1
"SO52961",1,1
"SO52963",1,1
"SO52964",1,1
"SO52967",1,1
"SO52969",1,1
"SO52970",1,1
"SO52972",1,1
"SO52973",1,1
"SO52974",1,1
"SO52976",1,1
"SO52977",1,1
"SO52979",1,1
"SO52980",1,1
"SO52982",1,1
"SO52983",1,1
"SO52984",1,1
"SO52985",1,1
"SO52986",1,1
"SO52987",1,1
"SO52988",1,1
"SO52989",1,1
"SO52990",1,1
"SO52991",1,1
"SO52992",1,1
"SO52993",1,1
"SO52994",1,1
"SO52995",1,1
"SO52996",1,1
"SO52997",1,1
"SO52998",1,1
"SO53003",1,1
"SO53004",1,1
"SO53006",1,1
"SO53007",1,1
"SO53008",1,1
"SO53009",1,1
"SO53011",1,1
"SO53012",1,1
"SO53013",1,1
"SO53014",1,1
"SO53015",1,1
"SO53016",1,1
"SO53017",1,1
"SO53018",1,1
"SO53019",1,1
"SO53020",1,1
"SO53021",1,1
"SO53022",1,1
"SO53023",1,1
"SO53024",1,1
"SO53025",1,1
"SO53026",1,1
"SO53027",1,1
"SO53028",1,1
"SO53029",1,1
"SO53030",1,1
"SO53031",1,1
"SO53033",1,1
"SO53034",1,1
"SO53035",1,1
"SO53036",1,1
"SO53037",1,1
"SO53038",1,1
"SO53039",1,1
"SO53040",1,1
"SO53041",1,1
"SO53042",1,1
"SO53043",1,1
"SO53044",1,1
"SO53045",1,1
"SO53046",1,1
"SO53047",1,1
"SO53048",1,1
"SO53049",1,1
"SO53050",1,1
"SO53052",1,1
"SO53054",1,1
"SO53055",1,1
"SO53056",1,1
"SO53058",1,1
"SO53060",1,1
"SO53062",1,1
"SO53063",1,1
"SO53064",1,1
"SO53065",1,1
"SO53066",1,1
"SO53070",1,1
"SO53071",1,1
"SO53072",1,1
"SO53073",1,1
"SO53074",1,1
"SO53075",1,1
"SO53076",1,1
"SO53077",1,1
"SO53078",1,1
"SO53079",1,1
"SO53080",1,1
"SO53081",1,1
"SO53082",1,1
"SO53083",1,1
"SO53084",1,1
"SO53085",1,1
"SO53086",1,1
"SO53087",1,1
"SO53088",1,1
"SO53089",1,1
"SO53090",1,1
"SO53091",1,1
"SO53092",1,1
"SO53093",1,1
"SO53095",1,1
"SO53096",1,1
"SO53097",1,1
"SO53100",1,1
"SO53101",1,1
"SO53102",1,1
"SO53103",1,1
"SO53104",1,1
"SO53105",1,1
"SO53106",1,1
"SO53107",1,1
"SO53108",1,1
"SO53109",1,1
"SO53110",1,1
"SO53111",1,1
"SO53112",1,1
"SO53113",1,1
"SO53114",1,1
"SO53115",1,1
"SO53116",1,1
"SO53117",1,1
"SO53118",1,1
"SO53120",1,1
"SO53121",1,1
"SO53122",1,1
"SO53123",1,1
"SO53124",1,1
"SO53125",1,1
"SO53127",1,1
"SO53128",1,1
"SO53129",1,1
"SO53130",1,1
"SO53131",1,1
"SO53134",1,1
"SO53135",1,1
"SO53136",1,1
"SO53137",1,1
"SO53139",1,1
"SO53140",1,1
"SO53141",1,1
"SO53143",1,1
"SO53144",1,1
"SO53145",1,1
"SO53146",1,1
"SO53147",1,1
"SO53148",1,1
"SO53149",1,1
