OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 0007452,2021-06-19 00:00:00.000,150,Wholesale,GBP,AXW291,14,2,5,3658.2,18291.0,2487.5760000000005
SO - 0005150,2020-09-21 00:00:00.000,129,Wholesale,JPY,AXW291,15,15,11,1125.6,12381.600000000002,607.8240000000001
SO - 000668,2019-04-07 00:00:00.000,51,Wholesale,CAD,GUT930,34,7,6,247.9,1487.4,158.656
SO - 0005047,2020-09-10 00:00:00.000,73,Wholesale,JPY,NXH382,50,2,5,5996.5,29982.5,4557.34
SO - 0006245,2021-01-29 00:00:00.000,172,Wholesale,CAD,AXW291,31,5,9,998.3,8984.7,718.7760000000001
SO - 0006360,2021-02-11 00:00:00.000,109,Export,USD,AXW291,28,15,10,3323.2000000000003,33232.0,2592.0960000000005
SO - 0005759,2020-12-03 00:00:00.000,104,Wholesale,AUD,AXW291,25,13,9,3919.5,35275.5,2978.82
SO - 0004981,2020-09-04 00:00:00.000,23,Wholesale,JPY,NXH382,48,4,9,1065.3,9587.7,521.997
SO - 0006861,2021-04-11 00:00:00.000,172,Wholesale,CHF,AXW291,15,15,5,3678.3,18391.5,2427.6780000000003
SO - 0006197,2021-01-24 00:00:00.000,54,Export,EUR,AXW291,22,10,7,911.2,6378.4000000000015,400.928
SO - 0003086,2020-01-16 00:00:00.000,37,Distributor,AUD,GUT930,41,6,6,201.0,1206.0,136.68
SO - 0006495,2021-02-27 00:00:00.000,75,Wholesale,CAD,GUT930,32,7,9,1051.9,9467.1,831.0010000000002
SO - 0008021,2021-08-24 00:00:00.000,73,Distributor,EUR,GUT930,42,1,11,864.3,9507.3,708.726
SO - 0006244,2021-01-29 00:00:00.000,93,Wholesale,CHF,AXW291,15,5,12,3832.4,45988.8,1647.932
SO - 0003092,2020-01-17 00:00:00.000,67,Wholesale,JPY,AXW291,7,7,5,676.7,3383.5,345.117
SO - 0002774,2019-12-12 00:00:00.000,143,Wholesale,CHF,AXW291,16,10,6,3886.0,23316.0,1981.86
SO - 0006157,2021-01-19 00:00:00.000,160,Distributor,USD,GUT930,47,4,12,5695.0,68340.0,2847.5
SO - 000325,2019-02-27 00:00:00.000,22,Wholesale,GBP,GUT930,32,12,9,1078.7,9708.3,722.729
SO - 0002653,2019-11-28 00:00:00.000,122,Wholesale,AUD,AXW291,22,12,5,1031.8,5159.0,515.9
SO - 000233,2019-02-15 00:00:00.000,50,Wholesale,EUR,AXW291,30,4,8,2633.1,21064.8,1843.17
SO - 0004322,2020-06-15 00:00:00.000,73,Wholesale,USD,AXW291,26,2,7,3041.8,21292.6,1216.72
SO - 0005927,2020-12-23 00:00:00.000,89,Wholesale,JPY,GUT930,41,3,9,221.1,1989.9,161.403
SO - 0003341,2020-02-13 00:00:00.000,14,Wholesale,USD,AXW291,2,13,12,2224.4,26692.800000000003,1757.276
SO - 0004209,2020-05-31 00:00:00.000,13,Wholesale,EUR,AXW291,4,12,10,3899.4,38994.0,2924.55
SO - 0006797,2021-04-02 00:00:00.000,83,Wholesale,CAD,AXW291,7,9,6,6525.8,39154.8,3589.1900000000005
SO - 0004828,2020-08-16 00:00:00.000,106,Export,CAD,NXH382,53,13,6,5681.6,34089.600000000006,3238.512
SO - 0005804,2020-12-07 00:00:00.000,34,Wholesale,JPY,GUT930,46,10,6,2646.5,15879.0,1243.855
SO - 0005694,2020-11-25 00:00:00.000,108,Export,CAD,AXW291,15,8,9,1695.1,15255.9,678.0400000000001
SO - 0006885,2021-04-14 00:00:00.000,139,Wholesale,AUD,GUT930,45,14,7,3155.7000000000003,22089.9,1988.091
SO - 0005753,2020-12-02 00:00:00.000,155,Wholesale,CAD,AXW291,13,6,5,5735.2,28676.0,3670.528
SO - 0005808,2020-12-07 00:00:00.000,141,Export,GBP,AXW291,30,14,5,5902.7,29513.5,4958.268
SO - 0004079,2020-05-16 00:00:00.000,147,Wholesale,GBP,FLR025,63,8,8,703.5,5628.0,302.505
SO - 000242,2019-02-16 00:00:00.000,100,Wholesale,EUR,AXW291,31,6,9,3946.3,35516.700000000004,1657.446
SO - 000133,2019-02-03 00:00:00.000,175,Export,CAD,GUT930,39,6,12,3919.5,47034.0,2077.335
SO - 0006237,2021-01-28 00:00:00.000,116,Wholesale,JPY,NXH382,56,2,8,2646.5,21172.0,1905.48
SO - 0002726,2019-12-07 00:00:00.000,39,Wholesale,USD,AXW291,22,13,12,2633.1,31597.2,1211.226
SO - 0007301,2021-06-02 00:00:00.000,3,Wholesale,USD,AXW291,8,4,11,207.7,2284.7000000000003,85.157
SO - 0005544,2020-11-05 00:00:00.000,53,Wholesale,EUR,AXW291,3,12,11,5788.8,63676.8,4457.376
SO - 0003200,2020-01-28 00:00:00.000,122,Wholesale,USD,FLR025,60,9,7,1058.6,7410.2,868.052
SO - 0001309,2019-06-24 00:00:00.000,84,Distributor,GBP,FLR025,65,5,12,837.5,10050.0,586.25
SO - 0001810,2019-08-22 00:00:00.000,56,Export,USD,AXW291,13,12,10,1072.0,10720.0,889.76
SO - 0004520,2020-07-11 00:00:00.000,162,Distributor,USD,FLR025,66,13,7,3892.7,27248.9,3230.9410000000003
SO - 0001527,2019-07-20 00:00:00.000,148,Distributor,CHF,GUT930,41,14,7,6291.3,44039.1,4844.301
SO - 0005513,2020-11-01 00:00:00.000,117,Distributor,JPY,FLR025,62,13,10,3303.1,33031.0,2312.17
SO - 0006896,2021-04-15 00:00:00.000,35,Distributor,JPY,AXW291,12,15,5,998.3,4991.5,778.6740000000002
SO - 0004150,2020-05-25 00:00:00.000,62,Export,CAD,GUT930,37,11,11,3872.6,42598.6,2826.998
SO - 0002359,2019-10-19 00:00:00.000,46,Export,JPY,GUT930,36,6,5,2726.9,13634.5,1881.561
SO - 0008010,2021-08-23 00:00:00.000,48,Wholesale,USD,AXW291,9,8,5,3912.8,19564.0,2856.344
SO - 0002663,2019-11-30 00:00:00.000,96,Wholesale,AUD,AXW291,26,4,5,1031.8,5159.0,701.624
SO - 0002317,2019-10-14 00:00:00.000,157,Wholesale,AUD,NXH382,55,10,5,1005.0,5025.0,633.15
SO - 0006201,2021-01-24 00:00:00.000,83,Distributor,GBP,NXH382,55,7,5,1051.9,5259.5,452.317
SO - 0006804,2021-04-04 00:00:00.000,150,Wholesale,AUD,GUT930,40,5,5,1715.2,8576.0,1234.944
SO - 0003498,2020-03-04 00:00:00.000,17,Wholesale,CAD,NXH382,59,10,12,978.2,11738.4,498.882
SO - 0003212,2020-01-30 00:00:00.000,55,Wholesale,CAD,GUT930,46,8,6,227.8,1366.8000000000002,109.344
SO - 0007214,2021-05-23 00:00:00.000,68,Distributor,EUR,AXW291,3,2,8,1929.6,15436.8,1196.352
SO - 0008043,2021-08-27 00:00:00.000,96,Wholesale,AUD,AXW291,4,3,8,268.0,2144.0,142.04000000000002
SO - 0001597,2019-07-29 00:00:00.000,142,Distributor,AUD,AXW291,22,11,10,3611.3,36113.0,2672.362
SO - 0005736,2020-11-30 00:00:00.000,129,Export,GBP,AXW291,18,1,5,180.9,904.5,86.832
SO - 0003318,2020-02-11 00:00:00.000,104,Wholesale,USD,AXW291,18,9,12,6251.1,75013.20000000001,2938.017
SO - 0006893,2021-04-15 00:00:00.000,132,Distributor,AUD,GUT930,42,2,8,3852.5,30820.0,2311.5
SO - 000690,2019-04-10 00:00:00.000,168,Wholesale,AUD,AXW291,15,10,5,683.4,3417.0,382.704
SO - 0005222,2020-09-30 00:00:00.000,48,Distributor,USD,AXW291,6,15,12,3845.8,46149.600000000006,1615.236
SO - 0001080,2019-05-26 00:00:00.000,111,Distributor,JPY,FLR025,61,8,7,3886.0,27202.0,2215.02
SO - 0006965,2021-04-23 00:00:00.000,97,Distributor,AUD,GUT930,33,14,10,207.7,2077.0,128.774
SO - 0004450,2020-07-02 00:00:00.000,22,Wholesale,JPY,GUT930,37,9,10,1025.1,10251.000000000002,666.315
SO - 0007579,2021-07-03 00:00:00.000,107,Wholesale,GBP,AXW291,4,15,12,931.3,11175.6,651.91
SO - 0003418,2020-02-24 00:00:00.000,49,Export,GBP,AXW291,2,9,12,917.9,11014.8,523.203
SO - 0004127,2020-05-22 00:00:00.000,39,Export,AUD,AXW291,14,5,12,3953.0,47436.0,3043.81
SO - 0002374,2019-10-20 00:00:00.000,63,Wholesale,CAD,GUT930,32,11,8,2525.9,20207.2,1591.317
SO - 0005469,2020-10-27 00:00:00.000,20,Wholesale,USD,GUT930,40,2,10,1842.5,18425.0,1087.075
SO - 0005696,2020-11-25 00:00:00.000,151,Wholesale,USD,FLR025,61,5,11,1815.7,19972.7,1434.403
SO - 0001117,2019-05-30 00:00:00.000,20,Wholesale,EUR,AXW291,4,5,12,3953.0,47436.0,2964.75
SO - 0006273,2021-01-31 00:00:00.000,62,Distributor,GBP,AXW291,22,3,9,3356.7000000000003,30210.300000000003,1779.0510000000002
SO - 0007969,2021-08-18 00:00:00.000,107,Wholesale,CAD,NXH382,54,2,9,1876.0,16884.0,1331.96
SO - 000362,2019-03-03 00:00:00.000,172,Wholesale,JPY,NXH382,53,1,10,1031.8,10318.0,773.8499999999998
SO - 0004570,2020-07-17 00:00:00.000,143,Wholesale,JPY,GUT930,43,4,5,871.0,4355.0,374.53
SO - 0007645,2021-07-11 00:00:00.000,74,Distributor,EUR,NXH382,48,3,7,1252.9,8770.300000000001,764.269
SO - 0002142,2019-09-22 00:00:00.000,60,Wholesale,AUD,NXH382,51,6,11,1165.8,12823.8,687.8219999999999
SO - 0002551,2019-11-15 00:00:00.000,47,Export,CAD,AXW291,5,11,11,3859.2,42451.2,1929.6
SO - 000498,2019-03-19 00:00:00.000,149,Wholesale,CAD,NXH382,51,1,5,3932.9,19664.5,2635.043
SO - 0003877,2020-04-19 00:00:00.000,69,Export,USD,NXH382,56,11,11,1809.0,19899.0,777.87
SO - 0002251,2019-10-07 00:00:00.000,99,Distributor,GBP,GUT930,32,2,5,1795.6,8978.0,772.108
