Severity,Repair Type,Year,ModYear,Model,Repair Cost
Major.36,Fuel Supply,2018,M5Y3,Tacoma,3310200
Major.37,Fuel Supply,2017,M4Y2,Sienna,2921940
Major.38,Fuel Supply,2017,M6Y2,Yaris,3265785
Major.39,Fuel Supply,2016,M2Y1,Camry,4591080
Major.40,Fuel Supply,2016,M5Y1,Tacoma,3111615
Major.41,Suspension,2020,M4Y5,Sienna,5326860
Major.42,Suspension,2020,M6Y5,Yaris,5712960
Major.43,Suspension,2019,M3Y4,Prius,7776340
Major.44,Suspension,2019,M6Y4,Yaris,5539600
Major.45,Suspension,2019,M7Y4,Rav4,5996320
Major.46,Suspension,2018,M3Y3,Prius,7650280
Major.47,Suspension,2018,M6Y3,Yaris,5187820
Major.48,Suspension,2017,M3Y2,Prius,7371760
Major.49,Suspension,2016,M4Y1,Sienna,4635180
Major.50,Suspension,2016,M6Y1,Yaris,5033380
