RouteID,StartRoute,MiddleRoute,EndRoute,RailUse,Personalizado,Combinada,Combinada1,Combinada2,Directo
Route001,Plant001,DC001,Customer001,0,Road,Plant001 - DC001 - Customer001 - Road,Plant001 - DC001 - Road,DC001 - Customer001 - Road,Plant001 - Customer001
Route0089,Plant001,DC004,Customer002,1,Rail,Plant001 - DC004 - Customer002 - Rail,Plant001 - DC004 - Rail,DC004 - Customer002 - Rail,Plant001 - Customer002
Route00105,Plant001,DC005,Customer006,0,Road,Plant001 - DC005 - Customer006 - Road,Plant001 - DC005 - Road,DC005 - Customer006 - Road,Plant001 - Customer006
Route0066,Plant002,DC001,Customer006,0,Road,Plant002 - DC001 - Customer006 - Road,Plant002 - DC001 - Road,DC001 - Customer006 - Road,Plant002 - Customer006
Route0046,Plant001,DC001,Customer005,0,Road,Plant001 - DC001 - Customer005 - Road,Plant001 - DC001 - Road,DC001 - Customer005 - Road,Plant001 - Customer005
Route0032,Plant001,DC003,Customer002,1,Rail,Plant001 - DC003 - Customer002 - Rail,Plant001 - DC003 - Rail,DC003 - Customer002 - Rail,Plant001 - Customer002
Route0071,Plant002,DC005,Customer007,0,Road,Plant002 - DC005 - Customer007 - Road,Plant002 - DC005 - Road,DC005 - Customer007 - Road,Plant002 - Customer007
Route0043,Plant001,DC001,Customer004,1,Rail,Plant001 - DC001 - Customer004 - Rail,Plant001 - DC001 - Rail,DC001 - Customer004 - Rail,Plant001 - Customer004
Route0013,Plant002,DC001,Customer001,1,Rail,Plant002 - DC001 - Customer001 - Rail,Plant002 - DC001 - Rail,DC001 - Customer001 - Rail,Plant002 - Customer001
Route0016,Plant001,DC003,Customer001,1,Rail,Plant001 - DC003 - Customer001 - Rail,Plant001 - DC003 - Rail,DC003 - Customer001 - Rail,Plant001 - Customer001
Route00115,Plant002,DC001,Customer007,0,Road,Plant002 - DC001 - Customer007 - Road,Plant002 - DC001 - Road,DC001 - Customer007 - Road,Plant002 - Customer007
Route0077,Plant001,,Customer007,1,Rail,Plant001 -  - Customer007 - Rail,Plant001 -  - Rail, - Customer007 - Rail,Plant001 - Customer007
Route0098,Plant001,DC005,Customer005,0,Road,Plant001 - DC005 - Customer005 - Road,Plant001 - DC005 - Road,DC005 - Customer005 - Road,Plant001 - Customer005
Route0025,Plant003,DC004,Customer002,1,Rail,Plant003 - DC004 - Customer002 - Rail,Plant003 - DC004 - Rail,DC004 - Customer002 - Rail,Plant003 - Customer002
Route0079,Plant002,DC004,Customer007,0,Road,Plant002 - DC004 - Customer007 - Road,Plant002 - DC004 - Road,DC004 - Customer007 - Road,Plant002 - Customer007
Route0023,Plant004,DC003,Customer002,0,Road,Plant004 - DC003 - Customer002 - Road,Plant004 - DC003 - Road,DC003 - Customer002 - Road,Plant004 - Customer002
Route0097,Plant001,DC002,Customer005,0,Road,Plant001 - DC002 - Customer005 - Road,Plant001 - DC002 - Road,DC002 - Customer005 - Road,Plant001 - Customer005
Route0057,Plant002,DC003,Customer006,0,Road,Plant002 - DC003 - Customer006 - Road,Plant002 - DC003 - Road,DC003 - Customer006 - Road,Plant002 - Customer006
Route00111,Plant001,DC003,Customer007,0,Road,Plant001 - DC003 - Customer007 - Road,Plant001 - DC003 - Road,DC003 - Customer007 - Road,Plant001 - Customer007
Route0031,Plant001,DC001,Customer002,0,Road,Plant001 - DC001 - Customer002 - Road,Plant001 - DC001 - Road,DC001 - Customer002 - Road,Plant001 - Customer002
Route0054,Plant002,,Customer006,1,Rail,Plant002 -  - Customer006 - Rail,Plant002 -  - Rail, - Customer006 - Rail,Plant002 - Customer006
Route00119,Plant001,DC001,Customer003,0,Road,Plant001 - DC001 - Customer003 - Road,Plant001 - DC001 - Road,DC001 - Customer003 - Road,Plant001 - Customer003
Route0010,Plant001,DC001,Customer001,1,Rail,Plant001 - DC001 - Customer001 - Rail,Plant001 - DC001 - Rail,DC001 - Customer001 - Rail,Plant001 - Customer001
Route0034,Plant004,DC002,Customer002,1,Rail,Plant004 - DC002 - Customer002 - Rail,Plant004 - DC002 - Rail,DC002 - Customer002 - Rail,Plant004 - Customer002
Route0026,Plant004,DC004,Customer002,0,Road,Plant004 - DC004 - Customer002 - Road,Plant004 - DC004 - Road,DC004 - Customer002 - Road,Plant004 - Customer002
Route0070,Plant002,DC001,Customer007,1,Rail,Plant002 - DC001 - Customer007 - Rail,Plant002 - DC001 - Rail,DC001 - Customer007 - Rail,Plant002 - Customer007
Route0029,Plant004,DC004,Customer002,1,Rail,Plant004 - DC004 - Customer002 - Rail,Plant004 - DC004 - Rail,DC004 - Customer002 - Rail,Plant004 - Customer002
Route0099,Plant001,DC002,Customer005,1,Rail,Plant001 - DC002 - Customer005 - Rail,Plant001 - DC002 - Rail,DC002 - Customer005 - Rail,Plant001 - Customer005
Route0086,Plant003,DC002,Customer002,0,Road,Plant003 - DC002 - Customer002 - Road,Plant003 - DC002 - Road,DC002 - Customer002 - Road,Plant003 - Customer002
Route006,Plant001,DC005,Customer001,1,Rail,Plant001 - DC005 - Customer001 - Rail,Plant001 - DC005 - Rail,DC005 - Customer001 - Rail,Plant001 - Customer001
Route0091,Plant003,DC001,Customer002,0,Road,Plant003 - DC001 - Customer002 - Road,Plant003 - DC001 - Road,DC001 - Customer002 - Road,Plant003 - Customer002
Route0069,Plant002,DC003,Customer007,0,Road,Plant002 - DC003 - Customer007 - Road,Plant002 - DC003 - Road,DC003 - Customer007 - Road,Plant002 - Customer007
Route0040,Plant002,DC001,Customer003,0,Road,Plant002 - DC001 - Customer003 - Road,Plant002 - DC001 - Road,DC001 - Customer003 - Road,Plant002 - Customer003
Route0050,Plant001,DC003,Customer005,1,Rail,Plant001 - DC003 - Customer005 - Rail,Plant001 - DC003 - Rail,DC003 - Customer005 - Rail,Plant001 - Customer005
Route0036,Plant004,DC001,Customer003,0,Road,Plant004 - DC001 - Customer003 - Road,Plant004 - DC001 - Road,DC001 - Customer003 - Road,Plant004 - Customer003
Route0017,Plant002,DC004,Customer002,0,Road,Plant002 - DC004 - Customer002 - Road,Plant002 - DC004 - Road,DC004 - Customer002 - Road,Plant002 - Customer002
Route0067,Plant001,DC001,Customer007,0,Road,Plant001 - DC001 - Customer007 - Road,Plant001 - DC001 - Road,DC001 - Customer007 - Road,Plant001 - Customer007
Route0035,Plant002,DC003,Customer002,1,Rail,Plant002 - DC003 - Customer002 - Rail,Plant002 - DC003 - Rail,DC003 - Customer002 - Rail,Plant002 - Customer002
Route00114,Plant001,DC004,Customer006,0,Road,Plant001 - DC004 - Customer006 - Road,Plant001 - DC004 - Road,DC004 - Customer006 - Road,Plant001 - Customer006
Route008,Plant002,DC005,Customer001,1,Rail,Plant002 - DC005 - Customer001 - Rail,Plant002 - DC005 - Rail,DC005 - Customer001 - Rail,Plant002 - Customer001
Route0044,Plant001,DC004,Customer005,0,Road,Plant001 - DC004 - Customer005 - Road,Plant001 - DC004 - Road,DC004 - Customer005 - Road,Plant001 - Customer005
Route0073,Plant002,,Customer007,0,Road,Plant002 -  - Customer007 - Road,Plant002 -  - Road, - Customer007 - Road,Plant002 - Customer007
Route0068,Plant002,DC003,Customer007,1,Rail,Plant002 - DC003 - Customer007 - Rail,Plant002 - DC003 - Rail,DC003 - Customer007 - Rail,Plant002 - Customer007
Route0084,Plant001,DC002,Customer002,1,Rail,Plant001 - DC002 - Customer002 - Rail,Plant001 - DC002 - Rail,DC002 - Customer002 - Rail,Plant001 - Customer002
Route0028,Plant001,DC003,Customer002,0,Road,Plant001 - DC003 - Customer002 - Road,Plant001 - DC003 - Road,DC003 - Customer002 - Road,Plant001 - Customer002
Route0020,Plant002,DC002,Customer002,1,Rail,Plant002 - DC002 - Customer002 - Rail,Plant002 - DC002 - Rail,DC002 - Customer002 - Rail,Plant002 - Customer002
Route0096,Plant004,DC001,Customer003,1,Rail,Plant004 - DC001 - Customer003 - Rail,Plant004 - DC001 - Rail,DC001 - Customer003 - Rail,Plant004 - Customer003
Route00101,Plant002,DC003,Customer006,1,Rail,Plant002 - DC003 - Customer006 - Rail,Plant002 - DC003 - Rail,DC003 - Customer006 - Rail,Plant002 - Customer006
Route009,Plant002,DC003,Customer001,0,Road,Plant002 - DC003 - Customer001 - Road,Plant002 - DC003 - Road,DC003 - Customer001 - Road,Plant002 - Customer001
Route0014,Plant001,DC002,Customer001,1,Rail,Plant001 - DC002 - Customer001 - Rail,Plant001 - DC002 - Rail,DC002 - Customer001 - Rail,Plant001 - Customer001
Route0085,Plant002,DC003,Customer002,0,Road,Plant002 - DC003 - Customer002 - Road,Plant002 - DC003 - Road,DC003 - Customer002 - Road,Plant002 - Customer002
Route004,Plant001,DC004,Customer001,1,Rail,Plant001 - DC004 - Customer001 - Rail,Plant001 - DC004 - Rail,DC004 - Customer001 - Rail,Plant001 - Customer001
Route0018,Plant003,DC003,Customer002,1,Rail,Plant003 - DC003 - Customer002 - Rail,Plant003 - DC003 - Rail,DC003 - Customer002 - Rail,Plant003 - Customer002
Route0039,Plant003,DC001,Customer003,0,Road,Plant003 - DC001 - Customer003 - Road,Plant003 - DC001 - Road,DC001 - Customer003 - Road,Plant003 - Customer003
Route00118,Plant004,DC001,Customer002,0,Road,Plant004 - DC001 - Customer002 - Road,Plant004 - DC001 - Road,DC001 - Customer002 - Road,Plant004 - Customer002
Route007,Plant001,DC003,Customer001,0,Road,Plant001 - DC003 - Customer001 - Road,Plant001 - DC003 - Road,DC003 - Customer001 - Road,Plant001 - Customer001
Route0078,Plant002,DC002,Customer007,1,Rail,Plant002 - DC002 - Customer007 - Rail,Plant002 - DC002 - Rail,DC002 - Customer007 - Rail,Plant002 - Customer007
Route00112,Plant001,DC002,Customer001,0,Road,Plant001 - DC002 - Customer001 - Road,Plant001 - DC002 - Road,DC002 - Customer001 - Road,Plant001 - Customer001
Route0095,Plant001,DC001,Customer002,1,Rail,Plant001 - DC001 - Customer002 - Rail,Plant001 - DC001 - Rail,DC001 - Customer002 - Rail,Plant001 - Customer002
Route0055,Plant001,DC003,Customer006,0,Road,Plant001 - DC003 - Customer006 - Road,Plant001 - DC003 - Road,DC003 - Customer006 - Road,Plant001 - Customer006
Route0051,Plant002,,Customer006,0,Road,Plant002 -  - Customer006 - Road,Plant002 -  - Road, - Customer006 - Road,Plant002 - Customer006
Route0081,Plant002,DC003,Customer001,1,Rail,Plant002 - DC003 - Customer001 - Rail,Plant002 - DC003 - Rail,DC003 - Customer001 - Rail,Plant002 - Customer001
Route0047,Plant001,DC005,Customer005,1,Rail,Plant001 - DC005 - Customer005 - Rail,Plant001 - DC005 - Rail,DC005 - Customer005 - Rail,Plant001 - Customer005
Route0082,Plant002,DC004,Customer001,0,Road,Plant002 - DC004 - Customer001 - Road,Plant002 - DC004 - Road,DC004 - Customer001 - Road,Plant002 - Customer001
Route0062,Plant002,DC005,Customer006,0,Road,Plant002 - DC005 - Customer006 - Road,Plant002 - DC005 - Road,DC005 - Customer006 - Road,Plant002 - Customer006
Route00117,Plant002,,Customer007,1,Rail,Plant002 -  - Customer007 - Rail,Plant002 -  - Rail, - Customer007 - Rail,Plant002 - Customer007
Route0080,Plant001,DC005,Customer007,0,Road,Plant001 - DC005 - Customer007 - Road,Plant001 - DC005 - Road,DC005 - Customer007 - Road,Plant001 - Customer007
Route0094,Plant003,DC004,Customer002,0,Road,Plant003 - DC004 - Customer002 - Road,Plant003 - DC004 - Road,DC004 - Customer002 - Road,Plant003 - Customer002
Route0042,Plant001,DC001,Customer004,0,Road,Plant001 - DC001 - Customer004 - Road,Plant001 - DC001 - Road,DC001 - Customer004 - Road,Plant001 - Customer004
Route0059,Plant001,,Customer006,1,Rail,Plant001 -  - Customer006 - Rail,Plant001 -  - Rail, - Customer006 - Rail,Plant001 - Customer006
Route0049,Plant001,DC001,Customer005,1,Rail,Plant001 - DC001 - Customer005 - Rail,Plant001 - DC001 - Rail,DC001 - Customer005 - Rail,Plant001 - Customer005
Route00102,Plant002,DC002,Customer006,1,Rail,Plant002 - DC002 - Customer006 - Rail,Plant002 - DC002 - Rail,DC002 - Customer006 - Rail,Plant002 - Customer006
Route0058,Plant001,,Customer006,0,Road,Plant001 -  - Customer006 - Road,Plant001 -  - Road, - Customer006 - Road,Plant001 - Customer006
Route0076,Plant002,DC005,Customer007,1,Rail,Plant002 - DC005 - Customer007 - Rail,Plant002 - DC005 - Rail,DC005 - Customer007 - Rail,Plant002 - Customer007
Route0033,Plant004,DC001,Customer002,1,Rail,Plant004 - DC001 - Customer002 - Rail,Plant004 - DC001 - Rail,DC001 - Customer002 - Rail,Plant004 - Customer002
Route00113,Plant002,DC004,Customer006,0,Road,Plant002 - DC004 - Customer006 - Road,Plant002 - DC004 - Road,DC004 - Customer006 - Road,Plant002 - Customer006
Route0060,Plant002,DC002,Customer006,0,Road,Plant002 - DC002 - Customer006 - Road,Plant002 - DC002 - Road,DC002 - Customer006 - Road,Plant002 - Customer006
Route0064,Plant001,DC001,Customer006,0,Road,Plant001 - DC001 - Customer006 - Road,Plant001 - DC001 - Road,DC001 - Customer006 - Road,Plant001 - Customer006
Route00106,Plant002,DC002,Customer007,0,Road,Plant002 - DC002 - Customer007 - Road,Plant002 - DC002 - Road,DC002 - Customer007 - Road,Plant002 - Customer007
Route0038,Plant002,DC001,Customer003,1,Rail,Plant002 - DC001 - Customer003 - Rail,Plant002 - DC001 - Rail,DC001 - Customer003 - Rail,Plant002 - Customer003
Route0030,Plant002,DC001,Customer002,1,Rail,Plant002 - DC001 - Customer002 - Rail,Plant002 - DC001 - Rail,DC001 - Customer002 - Rail,Plant002 - Customer002
Route00116,Plant001,,Customer007,0,Road,Plant001 -  - Customer007 - Road,Plant001 -  - Road, - Customer007 - Road,Plant001 - Customer007
Route002,Plant002,DC002,Customer001,1,Rail,Plant002 - DC002 - Customer001 - Rail,Plant002 - DC002 - Rail,DC002 - Customer001 - Rail,Plant002 - Customer001
