_modifiedby_value,createdon,versionnumber,_modifiedonbehalfby_value,utcconversiontimezonecode,nadb_statuscode,nadb_statuspoints,nadb_indicatorname_status,_createdonbehalfby_value,nadb_name2,importsequencenumber,_owningbusinessunit_value,nadb_statuspoints2,_nadb_riskindicator_value,statuscode,overriddencreatedon,modifiedon,_owningteam_value,_createdby_value,_owninguser_value,timezoneruleversionnumber,nadb_statusname,statecode,nadb_variablerange,nadb_creditriskstatusid,_ownerid_value,_nadb_statusmethodology_value
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:53.000,12032727,"",,"Weak",,"Business Model","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"fb9930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:01.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.10.3",0,"","0c809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:54.000,12032640,"",,"Weak",,"Organizational Structure","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"fd9930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:00.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.11.3",0,"","13809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:54.000,12032704,"",,"Weak",,"Management Strategy","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"ff9930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:01.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.12.3",0,"","1a809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:54.000,12032653,"",,"Weak",,"Governance Structure","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"019a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:01.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.13.3",0,"","20809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:54.000,12032656,"",,"Weak",," Group Structure","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"039a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:01.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.14.3",0,"","26809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:54.000,12032666,"",,"Weak",,"Financial Transparency","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"059a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:01.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.15.3",0,"","2d809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:55.000,12033095,"",,"Weak",,"Implications of Default","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"0f9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:03.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.2.3",0,"","5b809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:55.000,12033091,"",,"Regular bank account controlled by Borrower or inexistent",,"Debt Service Reserve Fund","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"179a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:03.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.23.3",0,"","7b809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:55.000,12033099,"",,"Pays directly to NADB",,"Financial structure of payment (Primary source)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"199a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:03.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.24.4",0,"","84809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:55.000,12033198,"",,"No",,"Full compliance with contractual conditions and covenants","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"1b9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:04.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.25.2",0,"","88809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:56.000,12033152,"",,"Weak",,"Level of Integration","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"1f9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:03.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.3.3",0,"","94809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:56.000,12033159,"",,"Weak",,"History of Support","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"219a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:03.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.4.3",0,"","9a809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:56.000,12033214,"",,"Weak",,"Performance and Prospects","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"239a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:04.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.5.3",0,"","a0809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:56.000,12033301,"",,"Weak",," Business and Economic Environment","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"259a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:04.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.6.3",0,"","a6809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:56.000,12033275,"",,"Weak",,"Development of Sector Market","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"279a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:04.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.7.3",0,"","ac809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:56.000,12033309,"",,"Weak",,"Regulatory Environment","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"299a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:05.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.8.3",0,"","b2809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:56.000,12032780,"",,"Weak",,"Competitive Position","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"2b9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:01.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.9.3",0,"","b8809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:57.000,12032845,"",,"Pays directly to NADB",,"Financial structure of payment (Primary source)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"2f9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.10.4",0,"","c6809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:57.000,12032772,"",,"Without enhancements or Joint Obligor rated < BBB-",,"Additional enhancements","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"319a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:01.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.11.4",0,"","ce809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:57.000,12032822,"",,"No",,"Financial structure includes a debt service reserve fund","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"339a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.12.2",0,"","d2809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:57.000,12032865,"",,"No",,"Debt Service Coverage Ratio is above minimum required ratio from loan agreement","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"359a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.13.2",0,"","d6809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:57.000,12032846,"",,"Not rated",,"Municipality is currently rated by any credit rating agencies within the last 12 months","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"379a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.14.3",0,"","dc809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:58.000,12032838,"",,"Neutral",,"Sector Outlook","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"399a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.15.2",0,"","e0809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:58.000,12032870,"",,"<15.0%",,"Municipal Revenues (own-source) / Total Revenues","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"3f9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.4.3",0,"","f4809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:58.000,12032895,"",,"80.0% to 90.0%",,"(Operation Expenses + Non-earmarked Transfers)/ Available Revenues","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"419a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.5.2",0,"","f8809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:58.000,12032883,"",,"<5.0%",,"Cash & liquid investments / Total Revenues","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"439a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.6.3",0,"","00819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:58.000,12033006,"",,"Non-compliance",,"Full compliance with main contractual conditions and covenants","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"479a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:02.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"2.8.2",0,"","0c819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:59.000,12033384,"",,"Non-compliance",,"Full compliance with main contractual conditions and covenants","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"4d9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:05.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.10.2",0,"","1e819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:59.000,12033412,"",,"Pays directly to NADB",,"Financial structure of payment (Primary source)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"519a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:05.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.12.4",0,"","2e819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:59.000,12033420,"",,"Without enhancements or Joint Obligor rated < BBB-",,"Additional enhancements","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"539a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.13.4",0,"","36819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:59.000,12033430,"",,"No",,"Financial structure includes a debt service reserve fund","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"559a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.14.2",0,"","3a819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:59.000,12033439,"",,"No",,"Debt Service Coverage Ratio is above minimum required ratio from loan agreement","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"579a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.15.2",0,"","3e819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:59.000,12033444,"",,"Not rated",,"Municipality is currently rated by any credit rating agencies within the last 12 months","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"599a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.16.3",0,"","44819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:59.000,12033454,"",,"Neutral",,"Sector Outlook","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"5b9a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.17.2",0,"","48819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:07:00.000,12033472,"",,"< 56.91%",,"Phisycal Efficiency (invoiced volume/ produced volume)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"619a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.4.2",0,"","5a819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:07:00.000,12033474,"",,"< 72.1%",,"Commercial Efficiency (collected volume / billed volume)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"639a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.5.2",0,"","5e819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:07:00.000,12033512,"",,"< 43.65%",,"Global Efficiency (phisycal efficiency * commercial efficiency)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"659a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.6.2",0,"","62819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:07:00.000,12033505,"",,"120 to 250 days",,"Receivables turnover (days)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"679a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.7.3",0,"","68819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:07:00.000,12033516,"",,"0.30x to 0.15x",,"Cash & Liquid investments / Current Liabilities (times, x)","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"699a30ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:06.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"3.8.3",0,"","70819979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
