Number,Age,College,Team,Player,Height,Position,Category,Side,Division,Conference,City,RosterUrl,LogoUrl,Html Layout,Weight,Experience
99,27,Pittsburgh,Rams,Aaron Donald,73,Defensive Tackle,Defensive Line,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >99: Aaron Donald</div><div><a href='https://google.com'>Google</a></div></div>,280,5
50,23,Eastern Washington,Rams,Samson Ebukam,75,Outside Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >50: Samson Ebukam</div><div><a href='https://google.com'>Google</a></div></div>,245,2
59,24,Virginia,Rams,Micah Kiser,72,Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >59: Micah Kiser</div><div><a href='https://google.com'>Google</a></div></div>,244,0
92,24,Tulane,Rams,Tanzel Smart,73,Defensive Tackle,Defensive Line,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >92: Tanzel Smart</div><div><a href='https://google.com'>Google</a></div></div>,295,2
32,27,Oregon,Rams,Troy Hill,71,Cornerback,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >32: Troy Hill</div><div><a href='https://google.com'>Google</a></div></div>,183,3
66,26,Iowa,Rams,Austin Blythe,75,Center,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >66: Austin Blythe</div><div><a href='https://google.com'>Google</a></div></div>,298,3
31,25,Alabama-Birmingham,Rams,Darious Williams,69,Defensive Back,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >31: Darious Williams</div><div><a href='https://google.com'>Google</a></div></div>,187,0
65,33,Notre Dame,Rams,John Sullivan,76,Center,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >65: John Sullivan</div><div><a href='https://google.com'>Google</a></div></div>,312,11
45,23,Oklahoma,Rams,Ogbonnia Okoronkwo,74,Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >45: Ogbonnia Okoronkwo</div><div><a href='https://google.com'>Google</a></div></div>,253,0
49,23,Louisville,Rams,Trevon Young,76,Outside Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >49: Trevon Young</div><div><a href='https://google.com'>Google</a></div></div>,259,0
76,30,Indiana,Rams,Rodger Saffold,77,Guard,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >76: Rodger Saffold</div><div><a href='https://google.com'>Google</a></div></div>,323,9
37,31,Miami (Fla.),Rams,Sam Shields,71,Cornerback,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >37: Sam Shields</div><div><a href='https://google.com'>Google</a></div></div>,178,8
41,24,Midwestern State,Rams,Marqui Christian,71,Safety,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >41: Marqui Christian</div><div><a href='https://google.com'>Google</a></div></div>,207,3
64,22,Maine,Rams,Jamil Demby,77,Guard,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >64: Jamil Demby</div><div><a href='https://google.com'>Google</a></div></div>,321,0
83,23,Texas A&M,Rams,Josh Reynolds,75,Wide Receiver,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >83: Josh Reynolds</div><div><a href='https://google.com'>Google</a></div></div>,196,2
44,31,Ohio State,Rams,Jake McQuaide,74,Long Snapper,Special Teams,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >44: Jake McQuaide</div><div><a href='https://google.com'>Google</a></div></div>,235,8
24,25,Auburn,Rams,Blake Countess,70,Defensive Back,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >24: Blake Countess</div><div><a href='https://google.com'>Google</a></div></div>,191,3
26,29,Alabama,Rams,Mark Barron,74,Inside Lineback,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >26: Mark Barron</div><div><a href='https://google.com'>Google</a></div></div>,230,7
79,26,Wisconsin,Rams,Rob Havenstein,80,Offensive Tackle,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >79: Rob Havenstein</div><div><a href='https://google.com'>Google</a></div></div>,330,4
14,26,Oregon State,Rams,Sean Mannion,78,Quarterback,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >14: Sean Mannion</div><div><a href='https://google.com'>Google</a></div></div>,223,4
69,23,Rutgers,Rams,Sebastian Joseph-Day,76,Defensive Tackle,Defensive Line,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >69: Sebastian Joseph-Day</div><div><a href='https://google.com'>Google</a></div></div>,310,0
4,31,Missouri Western State,Rams,Greg Zuerlein,72,Kicker,Special Teams,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >4: Greg Zuerlein</div><div><a href='https://google.com'>Google</a></div></div>,191,7
54,26,Baylor,Rams,Bryce Hager,73,Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >54: Bryce Hager</div><div><a href='https://google.com'>Google</a></div></div>,237,4
