Category,Subcategory,variable,value
Attorney General (Base),,Actual                2018–19,1771
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Actual                2018–19,17
Attorney General (Total),,Actual                2018–19,1787
Board of Internal Economy (Total),,Actual                2018–19,371
"Children, Community and Social Services (Total)",,Actual                2018–19,16841
Colleges and Universities (Base),,Actual                2018–19,9030
Colleges and Universities, Student Financial Assistance,Actual                2018–19,2043
Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,Actual                2018–19,119
Colleges and Universities6 (Total),,Actual                2018–19,11192
"Economic Development, Job Creation and Trade (Base)",,Actual                2018–19,356
"Economic Development, Job Creation and Trade", Time-Limited Investments,Actual                2018–19,430
"Economic Development, Job Creation and Trade (Total)",,Actual                2018–19,786
Education (Base),,Actual                2018–19,28746
Education, Teachers’ Pension Plan,Actual                2018–19,1678
Education (Total),,Actual                2018–19,30424
"Energy, Northern Development and Mines (Base)8",,Actual                2018–19,1362
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual                2018–19,4243
"Energy, Northern Development and Mines (Total)",,Actual                2018–19,5605
"Environment, Conservation and Parks (Base)",,Actual                2018–19,464
"Environment, Conservation and Parks", Time-Limited Investments,Actual                2018–19,223
"Environment, Conservation and Parks (Total)",,Actual                2018–19,687
Executive Offices (Base),,Actual                2018–19,34
Executive Offices, Time-Limited Assistance,Actual                2018–19,0
Executive Offices (Total),,Actual                2018–19,34
Finance (Base),,Actual                2018–19,885
Finance, Time-Limited Investments,Actual                2018–19,0
Finance, Investment Management Corporation of Ontario9,Actual                2018–19,67
Finance, Ontario Municipal Partnership Fund,Actual                2018–19,510
Finance, Power Supply Contract Costs,Actual                2018–19,173
Finance, COVID‑19 Response: Support for People and Jobs Fund,Actual                2018–19,0
Finance (Total),,Actual                2018–19,1636
Francophone Affairs (Total),,Actual                2018–19,6
Government and Consumer Services (Base),,Actual                2018–19,651
Government and Consumer Services, Realty,Actual                2018–19,1012
Government and Consumer Services (Total),,Actual                2018–19,1664
Health (Total),,Actual                2018–19,57573
COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,Actual                2018–19,0
"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual                2018–19,935
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Actual                2018–19,588
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,Actual                2018–19,40
"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Actual                2018–19,1562
Indigenous Affairs (Base),,Actual                2018–19,75
Indigenous Affairs, One-Time Investments including Settlements,Actual                2018–19,215
Indigenous Affairs (Total),,Actual                2018–19,290
Infrastructure (Base),,Actual                2018–19,161
Infrastructure, Federal–Provincial Infrastructure Programs,Actual                2018–19,352
Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),Actual                2018–19,0
Infrastructure, Municipal Infrastructure Program Investments12,Actual                2018–19,0
Infrastructure (Total),,Actual                2018–19,513
"Labour, Training and Skills Development (Base)",,Actual                2018–19,130
"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,Actual                2018–19,183
"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,Actual                2018–19,943
"Labour, Training and Skills Development14 (Total)",,Actual                2018–19,1257
Long-Term Care (Total),,Actual                2018–19,4329
Municipal Affairs and Housing (Base),,Actual                2018–19,475
Municipal Affairs and Housing, Safe Restart Agreement,Actual                2018–19,0
Municipal Affairs and Housing, Time-Limited Investments,Actual                2018–19,636
Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,Actual                2018–19,367
Municipal Affairs and Housing (Total),,Actual                2018–19,1478
Natural Resources and Forestry (Base),,Actual                2018–19,505
Natural Resources and Forestry, Emergency Forest Firefighting,Actual                2018–19,208
Natural Resources and Forestry (Total),,Actual                2018–19,713
Seniors and Accessibility (Base),,Actual                2018–19,52
Seniors and Accessibility, Time-Limited Investments,Actual                2018–19,0
Seniors and Accessibility (Total),,Actual                2018–19,52
Solicitor General (Total),,Actual                2018–19,2681
Transportation (Base),,Actual                2018–19,4543
Transportation, Safe Restart Agreement,Actual                2018–19,0
Transportation, Federal–Provincial Infrastructure Programs,Actual                2018–19,297
Transportation (Total),,Actual                2018–19,4840
Treasury Board Secretariat (Base),,Actual                2018–19,201
Treasury Board Secretariat, Employee and Pensioner Benefits17,Actual                2018–19,1165
Treasury Board Secretariat, Operating Contingency Fund,Actual                2018–19,0
Treasury Board Secretariat, Capital Contingency Fund,Actual                2018–19,0
Treasury Board Secretariat (Total),,Actual                2018–19,1365
Interest on Debt18,,Actual                2018–19,12384
Total Expense,,Actual                2018–19,161135
"Agriculture, Food and Rural Affairs (Base)",,Actual                2019–20,298
"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,Actual                2019–20,94
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,Actual                2019–20,222
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,Actual                2019–20,518
"Agriculture, Food and Rural Affairs (Total)5",,Actual                2019–20,1132
Attorney General (Base),,Actual                2019–20,1750
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Actual                2019–20,192
Attorney General (Total),,Actual                2019–20,1942
Board of Internal Economy (Total),,Actual                2019–20,257
"Children, Community and Social Services (Total)",,Actual                2019–20,17104
Colleges and Universities (Base),,Actual                2019–20,9221
Colleges and Universities, Student Financial Assistance,Actual                2019–20,1296
Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,Actual                2019–20,2
Colleges and Universities6 (Total),,Actual                2019–20,10520
"Economic Development, Job Creation and Trade (Base)",,Actual                2019–20,319
"Economic Development, Job Creation and Trade", Time-Limited Investments,Actual                2019–20,263
"Economic Development, Job Creation and Trade (Total)",,Actual                2019–20,582
Education (Base),,Actual                2019–20,30181
Education, Teachers’ Pension Plan,Actual                2019–20,1570
Education (Total),,Actual                2019–20,31751
"Energy, Northern Development and Mines (Base)8",,Actual                2019–20,1100
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual                2019–20,5484
"Energy, Northern Development and Mines (Total)",,Actual                2019–20,6584
"Environment, Conservation and Parks (Base)",,Actual                2019–20,610
"Environment, Conservation and Parks", Time-Limited Investments,Actual                2019–20,2
"Environment, Conservation and Parks (Total)",,Actual                2019–20,612
Executive Offices (Base),,Actual                2019–20,32
Executive Offices, Time-Limited Assistance,Actual                2019–20,0
Executive Offices (Total),,Actual                2019–20,32
Finance (Base),,Actual                2019–20,806
Finance, Time-Limited Investments,Actual                2019–20,0
Finance, Investment Management Corporation of Ontario9,Actual                2019–20,88
Finance, Ontario Municipal Partnership Fund,Actual                2019–20,503
Finance, Power Supply Contract Costs,Actual                2019–20,122
Finance, COVID‑19 Response: Support for People and Jobs Fund,Actual                2019–20,0
Finance (Total),,Actual                2019–20,1520
Francophone Affairs (Total),,Actual                2019–20,5
Government and Consumer Services (Base),,Actual                2019–20,626
Government and Consumer Services, Realty,Actual                2019–20,924
Government and Consumer Services (Total),,Actual                2019–20,1550
Health (Total),,Actual                2019–20,59293
COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,Actual                2019–20,0
"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual                2019–20,908
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Actual                2019–20,656
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,Actual                2019–20,80
"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Actual                2019–20,1643
Indigenous Affairs (Base),,Actual                2019–20,73
Indigenous Affairs, One-Time Investments including Settlements,Actual                2019–20,14
Indigenous Affairs (Total),,Actual                2019–20,87
Infrastructure (Base),,Actual                2019–20,81
Infrastructure, Federal–Provincial Infrastructure Programs,Actual                2019–20,160
Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),Actual                2019–20,116
Infrastructure, Municipal Infrastructure Program Investments12,Actual                2019–20,0
Infrastructure (Total),,Actual                2019–20,358
"Labour, Training and Skills Development (Base)",,Actual                2019–20,100
"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,Actual                2019–20,152
"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,Actual                2019–20,922
"Labour, Training and Skills Development14 (Total)",,Actual                2019–20,1173
Long-Term Care (Total),,Actual                2019–20,4423
Municipal Affairs and Housing (Base),,Actual                2019–20,541
Municipal Affairs and Housing, Safe Restart Agreement,Actual                2019–20,0
Municipal Affairs and Housing, Time-Limited Investments,Actual                2019–20,317
Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,Actual                2019–20,341
Municipal Affairs and Housing (Total),,Actual                2019–20,1199
Natural Resources and Forestry (Base),,Actual                2019–20,541
Natural Resources and Forestry, Emergency Forest Firefighting,Actual                2019–20,136
Natural Resources and Forestry (Total),,Actual                2019–20,677
Seniors and Accessibility (Base),,Actual                2019–20,54
Seniors and Accessibility, Time-Limited Investments,Actual                2019–20,0
Seniors and Accessibility (Total),,Actual                2019–20,54
Solicitor General (Total),,Actual                2019–20,2774
Transportation (Base),,Actual                2019–20,4957
Transportation, Safe Restart Agreement,Actual                2019–20,0
Transportation, Federal–Provincial Infrastructure Programs,Actual                2019–20,188
Transportation (Total),,Actual                2019–20,5145
Treasury Board Secretariat (Base),,Actual                2019–20,189
Treasury Board Secretariat, Employee and Pensioner Benefits17,Actual                2019–20,1666
Treasury Board Secretariat, Operating Contingency Fund,Actual                2019–20,0
Treasury Board Secretariat, Capital Contingency Fund,Actual                2019–20,0
Treasury Board Secretariat (Total),,Actual                2019–20,1855
Interest on Debt18,,Actual                2019–20,12495
Total Expense,,Actual                2019–20,164768
"Agriculture, Food and Rural Affairs (Base)",,Current                 Outlook22020–21,314
"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,Current                 Outlook22020–21,104
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,Current                 Outlook22020–21,10
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,Current                 Outlook22020–21,443
"Agriculture, Food and Rural Affairs (Total)5",,Current                 Outlook22020–21,870
Attorney General (Base),,Current                 Outlook22020–21,1682
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Current                 Outlook22020–21,0
Attorney General (Total),,Current                 Outlook22020–21,1682
Board of Internal Economy (Total),,Current                 Outlook22020–21,281
"Children, Community and Social Services (Total)",,Current                 Outlook22020–21,17928
Colleges and Universities (Base),,Current                 Outlook22020–21,9395
Colleges and Universities, Student Financial Assistance,Current                 Outlook22020–21,1274
Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,Current                 Outlook22020–21,0
Colleges and Universities6 (Total),,Current                 Outlook22020–21,10669
"Economic Development, Job Creation and Trade (Base)",,Current                 Outlook22020–21,363
"Economic Development, Job Creation and Trade", Time-Limited Investments,Current                 Outlook22020–21,356
"Economic Development, Job Creation and Trade (Total)",,Current                 Outlook22020–21,719
Education (Base),,Current                 Outlook22020–21,31038
Education, Teachers’ Pension Plan,Current                 Outlook22020–21,1621
Education (Total),,Current                 Outlook22020–21,32659
"Energy, Northern Development and Mines (Base)8",,Current                 Outlook22020–21,1047
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Current                 Outlook22020–21,6209
"Energy, Northern Development and Mines (Total)",,Current                 Outlook22020–21,7256
"Environment, Conservation and Parks (Base)",,Current                 Outlook22020–21,669
"Environment, Conservation and Parks", Time-Limited Investments,Current                 Outlook22020–21,0
"Environment, Conservation and Parks (Total)",,Current                 Outlook22020–21,669
Executive Offices (Base),,Current                 Outlook22020–21,38
Executive Offices, Time-Limited Assistance,Current                 Outlook22020–21,2
Executive Offices (Total),,Current                 Outlook22020–21,40
Finance (Base),,Current                 Outlook22020–21,862
Finance, Time-Limited Investments,Current                 Outlook22020–21,616
Finance, Investment Management Corporation of Ontario9,Current                 Outlook22020–21,161
Finance, Ontario Municipal Partnership Fund,Current                 Outlook22020–21,502
Finance, Power Supply Contract Costs,Current                 Outlook22020–21,107
Finance, COVID‑19 Response: Support for People and Jobs Fund,Current                 Outlook22020–21,2050
Finance (Total),,Current                 Outlook22020–21,4298
Francophone Affairs (Total),,Current                 Outlook22020–21,7
Government and Consumer Services (Base),,Current                 Outlook22020–21,641
Government and Consumer Services, Realty,Current                 Outlook22020–21,1026
Government and Consumer Services (Total),,Current                 Outlook22020–21,1667
Health (Total),,Current                 Outlook22020–21,60110
COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,Current                 Outlook22020–21,8346
"Heritage, Sport, Tourism and Culture Industries (Base)",,Current                 Outlook22020–21,1032
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Current                 Outlook22020–21,515
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,Current                 Outlook22020–21,0
"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Current                 Outlook22020–21,1547
Indigenous Affairs (Base),,Current                 Outlook22020–21,82
Indigenous Affairs, One-Time Investments including Settlements,Current                 Outlook22020–21,14
Indigenous Affairs (Total),,Current                 Outlook22020–21,96
Infrastructure (Base),,Current                 Outlook22020–21,213
Infrastructure, Federal–Provincial Infrastructure Programs,Current                 Outlook22020–21,310
Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),Current                 Outlook22020–21,128
Infrastructure, Municipal Infrastructure Program Investments12,Current                 Outlook22020–21,202
Infrastructure (Total),,Current                 Outlook22020–21,854
"Labour, Training and Skills Development (Base)",,Current                 Outlook22020–21,128
"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,Current                 Outlook22020–21,82
"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,Current                 Outlook22020–21,1051
"Labour, Training and Skills Development14 (Total)",,Current                 Outlook22020–21,1261
Long-Term Care (Total),,Current                 Outlook22020–21,4536
Municipal Affairs and Housing (Base),,Current                 Outlook22020–21,482
Municipal Affairs and Housing, Safe Restart Agreement,Current                 Outlook22020–21,1900
Municipal Affairs and Housing, Time-Limited Investments,Current                 Outlook22020–21,256
Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,Current                 Outlook22020–21,315
Municipal Affairs and Housing (Total),,Current                 Outlook22020–21,2953
Natural Resources and Forestry (Base),,Current                 Outlook22020–21,557
Natural Resources and Forestry, Emergency Forest Firefighting,Current                 Outlook22020–21,100
Natural Resources and Forestry (Total),,Current                 Outlook22020–21,656
Seniors and Accessibility (Base),,Current                 Outlook22020–21,58
Seniors and Accessibility, Time-Limited Investments,Current                 Outlook22020–21,129
Seniors and Accessibility (Total),,Current                 Outlook22020–21,187
Solicitor General (Total),,Current                 Outlook22020–21,2874
Transportation (Base),,Current                 Outlook22020–21,4973
Transportation, Safe Restart Agreement,Current                 Outlook22020–21,2000
Transportation, Federal–Provincial Infrastructure Programs,Current                 Outlook22020–21,640
Transportation (Total),,Current                 Outlook22020–21,7613
Treasury Board Secretariat (Base),,Current                 Outlook22020–21,407
Treasury Board Secretariat, Employee and Pensioner Benefits17,Current                 Outlook22020–21,1389
Treasury Board Secretariat, Operating Contingency Fund,Current                 Outlook22020–21,2912
Treasury Board Secretariat, Capital Contingency Fund,Current                 Outlook22020–21,99
Treasury Board Secretariat (Total),,Current                 Outlook22020–21,4807
Interest on Debt18,,Current                 Outlook22020–21,12456
Total Expense,,Current                 Outlook22020–21,187042
