Ministry    Expense,variable,value
"Citizenship, Immigration and International    Trade",Plan 2016–17,220.8
Community and Social Services,Plan 2016–17,"11,467.5"
Community Safety and Correctional Services1,Plan 2016–17,"2,649.5"
"Economic Development, Employment and    Infrastructure / Research and Innovation1",Plan 2016–17,"1,177.0"
Education1,Plan 2016–17,"25,635.8"
Energy1,Plan 2016–17,322.1
Environment and Climate Change1,Plan 2016–17,531.4
Executive Offices,Plan 2016–17,44.0
Finance1,Plan 2016–17,963.1
"Francophone Affairs, Office of",Plan 2016–17,5.7
Government and Consumer Services,Plan 2016–17,607.6
Health and Long-Term Care,Plan 2016–17,"51,785.2"
Labour,Plan 2016–17,309.5
Municipal Affairs and Housing1,Plan 2016–17,900.0
Natural Resources and Forestry1,Plan 2016–17,750.6
Northern Development and Mines,Plan 2016–17,790.7
"Tourism, Culture and Sport1",Plan 2016–17,"1,250.8"
"Training, Colleges and Universities",Plan 2016–17,"7,876.8"
Transportation1,Plan 2016–17,"3,850.9"
Treasury Board Secretariat1,Plan 2016–17,316.9
Interest on Debt3,Plan 2016–17,"11,756.0"
Other Expense1,Plan 2016–17,"4,056.8"
Year-End Savings4,Plan 2016–17,(800.0)
Total Expense,Plan 2016–17,"133,895.4"
Aboriginal    Affairs - One-Time Investments including Settlements,Plan 2016–17,–
Aboriginal    Affairs -  Green Investment Fund Initiatives,Plan 2016–17,–
"Agriculture,    Food and Rural Affairs - Time-Limited Investments in Infrastructure",Plan 2016–17,–
"Agriculture,    Food and Rural Affairs - Time-Limited Assistance",Plan 2016–17,–
Community    Safety and Correctional Services - Time-Limited    Support for 2015 Pan/Parapan American Games Security,Plan 2016–17,–
"Economic    Development, Employment and Infrastructure / Research and Innovation - Green Investment Fund Initiatives",Plan 2016–17,–
"Economic    Development, Employment and Infrastructure / Research and Innovation - Federal–Provincial Infrastructure Programs",Plan 2016–17,618.7
Education - Teachers’ Pension Plan1,Plan 2016–17,(452.0)
Energy - Green Investment Fund Initiatives,Plan 2016–17,–
Energy - Ontario Clean Energy Benefit,Plan 2016–17,–
Energy - Strategic    Asset Management and Transformation Related to Hydro One,Plan 2016–17,70.9
Environment    and Climate Change - Green Investment Fund Initiatives,Plan 2016–17,–
Finance - Ontario Municipal Partnership Fund,Plan 2016–17,505.0
Finance - Power Supply Contract Costs,Plan 2016–17,643.1
Municipal    Affairs and Housing - Green    Investment Fund Initiatives,Plan 2016–17,–
"Municipal    Affairs and Housing - Time-Limited    Investments in Municipal, Social and Affordable Housing",Plan 2016–17,160.3
Municipal    Affairs and Housing - Time-Limited Investments,Plan 2016–17,–
Natural    Resources and Forestry - Emergency Forest Firefighting,Plan 2016–17,69.8
"Tourism,    Culture and Sport - Time-Limited    Investments to Support 2015 Pan/ Parapan American Games",Plan 2016–17,88.6
Transportation - Green Investment Fund Initiatives,Plan 2016–17,–
Treasury    Board Secretariat - Capital Contingency Fund,Plan 2016–17,100.0
Treasury    Board Secretariat - Operating Contingency Fund,Plan 2016–17,"1,100.0"
Treasury    Board Secretariat - Employee and Pensioner Benefits,Plan 2016–17,"1,152.5"
Total Other Expense,Plan 2016–17,"4,056.8"
