Revenue Category,Revenue Item,variable,value
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2018 Revenue.Revenue Item,Vehicle and Driver Registration Fees
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2018 Revenue.Revenue Item,Miscellaneous Other Non-Tax Revenue
Other Non-Tax Revenue,Other Fees and Licences,2018 Revenue.Revenue Item,Other Fees and Licences
Other Non-Tax Revenue,Reimbursements,2018 Revenue.Revenue Item,Reimbursements
Other Non-Tax Revenue,Royalties,2018 Revenue.Revenue Item,Royalties
Other Non-Tax Revenue,Power Supply Contract Recoveries,2018 Revenue.Revenue Item,Power Supply Contract Recoveries
Other Non-Tax Revenue,Carbon Allowance Proceeds,2018 Revenue.Revenue Item,Carbon Allowance Proceeds
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2018 Revenue.Revenue Item,Electricity Debt Retirement Charge
Other Non-Tax Revenue,Sales and Rentals,2018 Revenue.Revenue Item,Sales and Rentals
Taxation Revenue,Education Property Tax,2018 Revenue.Revenue Item,Education Property Tax
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2018 Revenue.Revenue Item,Net Reduction of Power Purchase Contract Liability
Government of Canada,Social Housing Agreement,2018 Revenue.Revenue Item,Social Housing
Income from Government Business Enterprises,Liquor Control Board of Ontario,2018 Revenue.Revenue Item,Liquor Control Board of Ontario
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2018 Revenue.Revenue Item,Ontario Lottery and Gaming Corporation
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2018 Revenue.Revenue Item,Ontario Portion of the Federal Cannabis Excise Duty
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2018 Revenue.Revenue Item,Direct Transfers to Broader Public-Sector Organizations
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2018 Revenue.Revenue Item,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges"
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2018 Revenue.Revenue Item,Ontario Power Generation Inc./Hydro One Ltd.1
Income from Government Business Enterprises,Ontario Cannabis Store,2018 Revenue.Revenue Item,
Taxation Revenue,Personal Income Tax,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Sales Taxes,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Corporations Tax,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Employer Health Tax,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Ontario Health Premium,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Gasoline Tax,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Land Transfer Tax,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Tobacco Tax,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Fuel Tax,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,"Beer, Wine and Spirits Taxes",2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Electricity Payments in Lieu of Taxes,2019 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Other Taxes,2019 Revenue.Revenue Category,Taxation Revenue
Government of Canada,Canada Health Transfer,2019 Revenue.Revenue Category,Government of Canada
Government of Canada,Canada Social Transfer,2019 Revenue.Revenue Category,Government of Canada
Government of Canada,Equalization,2019 Revenue.Revenue Category,Government of Canada
Government of Canada,Infrastructure Programs,2019 Revenue.Revenue Category,Government of Canada
Government of Canada,Labour Market Programs,2019 Revenue.Revenue Category,Government of Canada
Government of Canada,Other Federal Payments,2019 Revenue.Revenue Category,Government of Canada
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Other Fees and Licences,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Reimbursements,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Royalties,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Power Supply Contract Recoveries,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Carbon Allowance Proceeds,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Sales and Rentals,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Taxation Revenue,Education Property Tax,2019 Revenue.Revenue Category,Taxation Revenue
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2019 Revenue.Revenue Category,Other Non-Tax Revenue
Government of Canada,Social Housing Agreement,2019 Revenue.Revenue Category,Government of Canada
Income from Government Business Enterprises,Liquor Control Board of Ontario,2019 Revenue.Revenue Category,Income from Government Business Enterprises
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2019 Revenue.Revenue Category,Income from Government Business Enterprises
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2019 Revenue.Revenue Category,Taxation Revenue
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2019 Revenue.Revenue Category,Government of Canada
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2019 Revenue.Revenue Category,Other Non-Tax Revenue
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2019 Revenue.Revenue Category,Income from Government Business Enterprises
Income from Government Business Enterprises,Ontario Cannabis Store,2019 Revenue.Revenue Category,Income from Government Business Enterprises
Taxation Revenue,Personal Income Tax,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Sales Taxes,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Corporations Tax,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Employer Health Tax,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Ontario Health Premium,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Gasoline Tax,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Land Transfer Tax,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Tobacco Tax,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Fuel Tax,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,"Beer, Wine and Spirits Taxes",2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Electricity Payments in Lieu of Taxes,2017 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Other Taxes,2017 Revenue.Revenue Category,Taxation Revenue
Government of Canada,Canada Health Transfer,2017 Revenue.Revenue Category,Government of Canada
Government of Canada,Canada Social Transfer,2017 Revenue.Revenue Category,Government of Canada
Government of Canada,Equalization,2017 Revenue.Revenue Category,Government of Canada
Government of Canada,Infrastructure Programs,2017 Revenue.Revenue Category,Government of Canada
Government of Canada,Labour Market Programs,2017 Revenue.Revenue Category,Government of Canada
Government of Canada,Other Federal Payments,2017 Revenue.Revenue Category,Government of Canada
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Other Fees and Licences,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Reimbursements,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Royalties,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Power Supply Contract Recoveries,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Carbon Allowance Proceeds,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Sales and Rentals,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Taxation Revenue,Education Property Tax,2017 Revenue.Revenue Category,Taxation Revenue
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2017 Revenue.Revenue Category,Other Non-Tax Revenue
Government of Canada,Social Housing Agreement,2017 Revenue.Revenue Category,Government of Canada
Income from Government Business Enterprises,Liquor Control Board of Ontario,2017 Revenue.Revenue Category,Government Business Enterprises
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2017 Revenue.Revenue Category,Government Business Enterprises
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2017 Revenue.Revenue Category,
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2017 Revenue.Revenue Category,
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2017 Revenue.Revenue Category,
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2017 Revenue.Revenue Category,
Income from Government Business Enterprises,Ontario Cannabis Store,2017 Revenue.Revenue Category,
Taxation Revenue,Personal Income Tax,2017 Revenue.Revenue Item,Personal Income Tax
Taxation Revenue,Sales Taxes,2017 Revenue.Revenue Item,Sales Taxes
Taxation Revenue,Corporations Tax,2017 Revenue.Revenue Item,Corporations Tax
Taxation Revenue,Employer Health Tax,2017 Revenue.Revenue Item,Employer Health Tax
Taxation Revenue,Ontario Health Premium,2017 Revenue.Revenue Item,Ontario Health  Premium
Taxation Revenue,Gasoline Tax,2017 Revenue.Revenue Item,Gasoline Tax
Taxation Revenue,Land Transfer Tax,2017 Revenue.Revenue Item,Land Transfer Tax
Taxation Revenue,Tobacco Tax,2017 Revenue.Revenue Item,Tobacco Tax
Taxation Revenue,Fuel Tax,2017 Revenue.Revenue Item,Fuel Tax
Taxation Revenue,"Beer, Wine and Spirits Taxes",2017 Revenue.Revenue Item,"Beer, Wine and Spirits Taxes"
Taxation Revenue,Electricity Payments in Lieu of Taxes,2017 Revenue.Revenue Item,Electricity Payments in  Lieu of Taxes
Taxation Revenue,Other Taxes,2017 Revenue.Revenue Item,Other Taxes
Government of Canada,Canada Health Transfer,2017 Revenue.Revenue Item,Canada Health  Transfer
Government of Canada,Canada Social Transfer,2017 Revenue.Revenue Item,Canada Social  Transfer
Government of Canada,Equalization,2017 Revenue.Revenue Item,Equalization
Government of Canada,Infrastructure Programs,2017 Revenue.Revenue Item,Infrastructure  Programs
Government of Canada,Labour Market Programs,2017 Revenue.Revenue Item,Labour Market  Programs
Government of Canada,Other Federal Payments,2017 Revenue.Revenue Item,Other Federal  Payments
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2017 Revenue.Revenue Item,Vehicle and Driver  Registration Fees
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2017 Revenue.Revenue Item,Miscellaneous Other  Non-Tax Revenue
Other Non-Tax Revenue,Other Fees and Licences,2017 Revenue.Revenue Item,Other Fees and  Licences
Other Non-Tax Revenue,Reimbursements,2017 Revenue.Revenue Item,Reimbursements
Other Non-Tax Revenue,Royalties,2017 Revenue.Revenue Item,Royalties
Other Non-Tax Revenue,Power Supply Contract Recoveries,2017 Revenue.Revenue Item,Power Supply Contract  Recoveries
Other Non-Tax Revenue,Carbon Allowance Proceeds,2017 Revenue.Revenue Item,Carbon Allowance  Proceeds
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2017 Revenue.Revenue Item,Electricity Debt Retirement  Charge
Other Non-Tax Revenue,Sales and Rentals,2017 Revenue.Revenue Item,Sales and Rentals
Taxation Revenue,Education Property Tax,2017 Revenue.Revenue Item,Education Property  Tax2
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2017 Revenue.Revenue Item,Net Reduction of  Power Purchase Contract Liability
Government of Canada,Social Housing Agreement,2017 Revenue.Revenue Item,Social Housing
Income from Government Business Enterprises,Liquor Control Board of Ontario,2017 Revenue.Revenue Item,Liquor Control Board  of Ontario
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2017 Revenue.Revenue Item,Ontario Lottery and  Gaming Corporation
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2017 Revenue.Revenue Item,
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2017 Revenue.Revenue Item,
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2017 Revenue.Revenue Item,
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2017 Revenue.Revenue Item,
Income from Government Business Enterprises,Ontario Cannabis Store,2017 Revenue.Revenue Item,
Taxation Revenue,Personal Income Tax,Actual                2018–19,35381
Taxation Revenue,Sales Taxes,Actual                2018–19,27804
Taxation Revenue,Corporations Tax,Actual                2018–19,16606
Taxation Revenue,Employer Health Tax,Actual                2018–19,6544
Taxation Revenue,Ontario Health Premium,Actual                2018–19,3819
Taxation Revenue,Gasoline Tax,Actual                2018–19,2709
Taxation Revenue,Land Transfer Tax,Actual                2018–19,2761
Taxation Revenue,Tobacco Tax,Actual                2018–19,1241
Taxation Revenue,Fuel Tax,Actual                2018–19,774
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual                2018–19,607
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual                2018–19,435
Taxation Revenue,Other Taxes,Actual                2018–19,653
Government of Canada,Canada Health Transfer,Actual                2018–19,14852
Government of Canada,Canada Social Transfer,Actual                2018–19,5451
Government of Canada,Equalization,Actual                2018–19,963
Government of Canada,Infrastructure Programs,Actual                2018–19,605
Government of Canada,Labour Market Programs,Actual                2018–19,1015
Government of Canada,Other Federal Payments,Actual                2018–19,1420
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual                2018–19,1991
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual                2018–19,1873
Other Non-Tax Revenue,Other Fees and Licences,Actual                2018–19,1088
Other Non-Tax Revenue,Reimbursements,Actual                2018–19,998
Other Non-Tax Revenue,Royalties,Actual                2018–19,251
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual                2018–19,173
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual                2018–19,472
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual                2018–19,15
Other Non-Tax Revenue,Sales and Rentals,Actual                2018–19,1477
Taxation Revenue,Education Property Tax,Actual                2018–19,6171
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual                2018–19,41
Government of Canada,Social Housing Agreement,Actual                2018–19,394
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual                2018–19,2276
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual                2018–19,2464
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Actual                2018–19,19
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Actual                2018–19,390
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Actual                2018–19,9237
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Actual                2018–19,772
Income from Government Business Enterprises,Ontario Cannabis Store,Actual                2018–19,-42
Taxation Revenue,Personal Income Tax,Actual2019–20,37743
Taxation Revenue,Sales Taxes,Actual2019–20,28619
Taxation Revenue,Corporations Tax,Actual2019–20,15414
Taxation Revenue,Employer Health Tax,Actual2019–20,6731
Taxation Revenue,Ontario Health Premium,Actual2019–20,4059
Taxation Revenue,Gasoline Tax,Actual2019–20,2783
Taxation Revenue,Land Transfer Tax,Actual2019–20,3067
Taxation Revenue,Tobacco Tax,Actual2019–20,1118
Taxation Revenue,Fuel Tax,Actual2019–20,807
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual2019–20,582
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual2019–20,505
Taxation Revenue,Other Taxes,Actual2019–20,623
Government of Canada,Canada Health Transfer,Actual2019–20,15640
Government of Canada,Canada Social Transfer,Actual2019–20,5650
Government of Canada,Equalization,Actual2019–20,0
Government of Canada,Infrastructure Programs,Actual2019–20,400
Government of Canada,Labour Market Programs,Actual2019–20,1054
Government of Canada,Other Federal Payments,Actual2019–20,1756
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual2019–20,2055
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual2019–20,1222
Other Non-Tax Revenue,Other Fees and Licences,Actual2019–20,1156
Other Non-Tax Revenue,Reimbursements,Actual2019–20,1005
Other Non-Tax Revenue,Royalties,Actual2019–20,283
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual2019–20,122
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual2019–20,0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual2019–20,0
Other Non-Tax Revenue,Sales and Rentals,Actual2019–20,1369
Taxation Revenue,Education Property Tax,Actual2019–20,6179
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual2019–20,30
Government of Canada,Social Housing Agreement,Actual2019–20,484
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual2019–20,2402
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual2019–20,2309
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Actual2019–20,48
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Actual2019–20,414
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Actual2019–20,9281
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Actual2019–20,1167
Income from Government Business Enterprises,Ontario Cannabis Store,Actual2019–20,19
Taxation Revenue,Personal Income Tax,Interim12020‑21,35876
Taxation Revenue,Sales Taxes,Interim12020‑21,26042
Taxation Revenue,Corporations Tax,Interim12020‑21,11435
Taxation Revenue,Employer Health Tax,Interim12020‑21,6480
Taxation Revenue,Ontario Health Premium,Interim12020‑21,3958
Taxation Revenue,Gasoline Tax,Interim12020‑21,2120
Taxation Revenue,Land Transfer Tax,Interim12020‑21,3481
Taxation Revenue,Tobacco Tax,Interim12020‑21,1103
Taxation Revenue,Fuel Tax,Interim12020‑21,711
Taxation Revenue,"Beer, Wine and Spirits Taxes",Interim12020‑21,615
Taxation Revenue,Electricity Payments in Lieu of Taxes,Interim12020‑21,557
Taxation Revenue,Other Taxes,Interim12020‑21,581
Government of Canada,Canada Health Transfer,Interim12020‑21,16208
Government of Canada,Canada Social Transfer,Interim12020‑21,5815
Government of Canada,Equalization,Interim12020‑21,0
Government of Canada,Infrastructure Programs,Interim12020‑21,1025
Government of Canada,Labour Market Programs,Interim12020‑21,1521
Government of Canada,Other Federal Payments,Interim12020‑21,8450
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Interim12020‑21,2065
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Interim12020‑21,1241
Other Non-Tax Revenue,Other Fees and Licences,Interim12020‑21,1042
Other Non-Tax Revenue,Reimbursements,Interim12020‑21,1174
Other Non-Tax Revenue,Royalties,Interim12020‑21,342
Other Non-Tax Revenue,Power Supply Contract Recoveries,Interim12020‑21,114
Other Non-Tax Revenue,Carbon Allowance Proceeds,Interim12020‑21,0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Interim12020‑21,0
Other Non-Tax Revenue,Sales and Rentals,Interim12020‑21,754
Taxation Revenue,Education Property Tax,Interim12020‑21,6000
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Interim12020‑21,28
Government of Canada,Social Housing Agreement,Interim12020‑21,331
Income from Government Business Enterprises,Liquor Control Board of Ontario,Interim12020‑21,2452
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Interim12020‑21,300
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Interim12020‑21,140
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Interim12020‑21,395
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Interim12020‑21,8353
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Interim12020‑21,1034
Income from Government Business Enterprises,Ontario Cannabis Store,Interim12020‑21,70
Taxation Revenue,Personal Income Tax,Plan2021–22,36351
Taxation Revenue,Sales Taxes,Plan2021–22,27632
Taxation Revenue,Corporations Tax,Plan2021–22,14389
Taxation Revenue,Employer Health Tax,Plan2021–22,6445
Taxation Revenue,Ontario Health Premium,Plan2021–22,4141
Taxation Revenue,Gasoline Tax,Plan2021–22,2421
Taxation Revenue,Land Transfer Tax,Plan2021–22,3890
Taxation Revenue,Tobacco Tax,Plan2021–22,1060
Taxation Revenue,Fuel Tax,Plan2021–22,814
Taxation Revenue,"Beer, Wine and Spirits Taxes",Plan2021–22,618
Taxation Revenue,Electricity Payments in Lieu of Taxes,Plan2021–22,454
Taxation Revenue,Other Taxes,Plan2021–22,605
Government of Canada,Canada Health Transfer,Plan2021–22,16737
Government of Canada,Canada Social Transfer,Plan2021–22,6005
Government of Canada,Equalization,Plan2021–22,0
Government of Canada,Infrastructure Programs,Plan2021–22,1086
Government of Canada,Labour Market Programs,Plan2021–22,1316
Government of Canada,Other Federal Payments,Plan2021–22,1577
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Plan2021–22,2096
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Plan2021–22,1322
Other Non-Tax Revenue,Other Fees and Licences,Plan2021–22,1208
Other Non-Tax Revenue,Reimbursements,Plan2021–22,1031
Other Non-Tax Revenue,Royalties,Plan2021–22,284
Other Non-Tax Revenue,Power Supply Contract Recoveries,Plan2021–22,102
Other Non-Tax Revenue,Carbon Allowance Proceeds,Plan2021–22,0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Plan2021–22,0
Other Non-Tax Revenue,Sales and Rentals,Plan2021–22,1402
Taxation Revenue,Education Property Tax,Plan2021–22,5754
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Plan2021–22,5
Government of Canada,Social Housing Agreement,Plan2021–22,299
Income from Government Business Enterprises,Liquor Control Board of Ontario,Plan2021–22,2435
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Plan2021–22,1266
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Plan2021–22,245
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Plan2021–22,424
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Plan2021–22,9758
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Plan2021–22,670
Income from Government Business Enterprises,Ontario Cannabis Store,Plan2021–22,170
