Category,Subcategory,variable,value
Board of Internal Economy (Total),,Interim  2017–18,252
Children and Youth Services (Total),,Interim  2017–18,4455
Citizenship and Immigration (Total),,Interim  2017–18,108
"Children, Community and Social Services(Base)",,Interim  2017–18,12378
"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,Interim  2017–18,9
"Children, Community and Social Services(Total)",,Interim  2017–18,12387
Community Safety and Correctional Services (Base),,Interim  2017–18,2806
Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,Interim  2017–18,0
Community Safety and Correctional Services (Total),,Interim  2017–18,2806
"Economic Development, Job Creation and Trade (Total)",,Interim  2017–18,1026
Education (Base),,Interim  2017–18,27494
Education, Teachers’ Pension Plan,Interim  2017–18,-460
Education (Total),,Interim  2017–18,27034
"Energy, Northern Development and Mines (Base)",,Interim  2017–18,355
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Interim  2017–18,1247
"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,Interim  2017–18,0
"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,Interim  2017–18,188
"Energy, Northern Development and Mines (Total)",,Interim  2017–18,1790
"Environment, Conservation and Parks",,Interim  2017–18,783
Executive Offices (Base),,Interim  2017–18,58
Executive Offices, Disaster Relief,Interim  2017–18,4
Executive Offices (Total),,Interim  2017–18,62
Finance (Base),,Interim  2017–18,885
Finance, Ontario Municipal Partnership Fund,Interim  2017–18,506
Finance, Power Supply Contract Costs,Interim  2017–18,182
Finance (Total),,Interim  2017–18,1573
Francophone Affairs (Total),,Interim  2017–18,6
Government and Consumer Services (Total),,Interim  2017–18,619
Health and Long-Term Care (Total),,Interim  2017–18,58290
Indigenous Affairs (Base),,Interim  2017–18,92
Indigenous Affairs, One-Time Investments including Settlements,Interim  2017–18,22
Indigenous Affairs (Total),,Interim  2017–18,114
Infrastructure (Base),,Interim  2017–18,266
Infrastructure, Federal–Provincial Infrastructure Programs,Interim  2017–18,142
Infrastructure (Total),,Interim  2017–18,408
International Trade (Total),,Interim  2017–18,52
"Labour, Training and Skills Development (Total)",,Interim  2017–18,324
Municipal Affairs/Housing (Base),,Interim  2017–18,1051
Municipal Affairs/Housing, Time-Limited Investments,Interim  2017–18,23
Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",Interim  2017–18,297
Municipal Affairs/Housing (Total),,Interim  2017–18,1371
Natural Resources and Forestry (Base),,Interim  2017–18,801
Emergency Forest Firefighting,,Interim  2017–18,117
Natural Resources and Forestry (Total),,Interim  2017–18,919
Northern Development and Mines (Total),,Interim  2017–18,764
Seniors Affairs (Total),,Interim  2017–18,30
Status of Women (Total),,Interim  2017–18,28
"Heritage, Sport, Tourism and Culture Industries (Base)",,Interim  2017–18,1568
"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,Interim  2017–18,0
"Heritage, Sport, Tourism and Culture Industries (Total)",,Interim  2017–18,1568
Transportation (Base),,Interim  2017–18,4199
Transportation, Time-Limited Investments in Infrastructure,Interim  2017–18,896
Transportation (Total),,Interim  2017–18,5095
Treasury Board Secretariat (Base),,Interim  2017–18,230
Treasury Board Secretariat, Employee and Pensioner Benefits,Interim  2017–18,1155
Treasury Board Secretariat, Operating Contingency Fund,Interim  2017–18,50
Treasury Board Secretariat, Capital Contingency Fund,Interim  2017–18,0
Treasury Board Secretariat (Total),,Interim  2017–18,1435
Interest on Debt1,,Interim  2017–18,11965
Year-End Savings2,,Interim  2017–18,0
PRRT Savings,,Interim  2017–18,0
Total Expense,,Interim  2017–18,149494
Accessibility Directorate of Ontario (Total),,Plan  2018–19,21
Advanced Education and Skills Development (Total),,Plan  2018–19,11788
"Agriculture, Food and Rural Affairs (Base)",,Plan  2018–19,1099
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Plan  2018–19,100
"Agriculture, Food and Rural Affairs (Total)",,Plan  2018–19,1199
Attorney General (Total),,Plan  2018–19,2013
Board of Internal Economy (Total),,Plan  2018–19,352
Children and Youth Services (Total),,Plan  2018–19,4598
Citizenship and Immigration (Total),,Plan  2018–19,122
"Children, Community and Social Services(Base)",,Plan  2018–19,13313
"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,Plan  2018–19,0
"Children, Community and Social Services(Total)",,Plan  2018–19,13313
Community Safety and Correctional Services (Base),,Plan  2018–19,3027
Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,Plan  2018–19,0
Community Safety and Correctional Services (Total),,Plan  2018–19,3027
"Economic Development, Job Creation and Trade (Total)",,Plan  2018–19,1072
Education (Base),,Plan  2018–19,29075
Education, Teachers’ Pension Plan,Plan  2018–19,-861
Education (Total),,Plan  2018–19,28214
"Energy, Northern Development and Mines (Base)",,Plan  2018–19,375
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Plan  2018–19,1581
"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,Plan  2018–19,0
"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,Plan  2018–19,35
"Energy, Northern Development and Mines (Total)",,Plan  2018–19,1990
"Environment, Conservation and Parks",,Plan  2018–19,1326
Executive Offices (Base),,Plan  2018–19,58
Executive Offices, Disaster Relief,Plan  2018–19,0
Executive Offices (Total),,Plan  2018–19,58
Finance (Base),,Plan  2018–19,986
Finance, Ontario Municipal Partnership Fund,Plan  2018–19,510
Finance, Power Supply Contract Costs,Plan  2018–19,183
Finance (Total),,Plan  2018–19,1679
Francophone Affairs (Total),,Plan  2018–19,8
Government and Consumer Services (Total),,Plan  2018–19,585
Health and Long-Term Care (Total),,Plan  2018–19,61278
Indigenous Affairs (Base),,Plan  2018–19,101
Indigenous Affairs, One-Time Investments including Settlements,Plan  2018–19,0
Indigenous Affairs (Total),,Plan  2018–19,101
Infrastructure (Base),,Plan  2018–19,213
Infrastructure, Federal–Provincial Infrastructure Programs,Plan  2018–19,603
Infrastructure (Total),,Plan  2018–19,817
International Trade (Total),,Plan  2018–19,61
"Labour, Training and Skills Development (Total)",,Plan  2018–19,331
Municipal Affairs/Housing (Base),,Plan  2018–19,1007
Municipal Affairs/Housing, Time-Limited Investments,Plan  2018–19,17
Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",Plan  2018–19,324
Municipal Affairs/Housing (Total),,Plan  2018–19,1348
Natural Resources and Forestry (Base),,Plan  2018–19,780
Emergency Forest Firefighting,,Plan  2018–19,70
Natural Resources and Forestry (Total),,Plan  2018–19,850
Northern Development and Mines (Total),,Plan  2018–19,814
Seniors Affairs (Total),,Plan  2018–19,46
Status of Women (Total),,Plan  2018–19,37
"Heritage, Sport, Tourism and Culture Industries (Base)",,Plan  2018–19,1514
"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,Plan  2018–19,0
"Heritage, Sport, Tourism and Culture Industries (Total)",,Plan  2018–19,1514
Transportation (Base),,Plan  2018–19,4678
Transportation, Time-Limited Investments in Infrastructure,Plan  2018–19,888
Transportation (Total),,Plan  2018–19,5566
Treasury Board Secretariat (Base),,Plan  2018–19,347
Treasury Board Secretariat, Employee and Pensioner Benefits,Plan  2018–19,1271
Treasury Board Secretariat, Operating Contingency Fund,Plan  2018–19,1325
Treasury Board Secretariat, Capital Contingency Fund,Plan  2018–19,275
Treasury Board Secretariat (Total),,Plan  2018–19,3218
Interest on Debt1,,Plan  2018–19,12543
Year-End Savings2,,Plan  2018–19,-1225
PRRT Savings,,Plan  2018–19,-200
Total Expense,,Plan  2018–19,158464
