Revenue Category,Revenue Item,variable,value
Taxation Revenue,Corporations Tax,Interim1 2018–19,15196
Taxation Revenue,Education Property Tax,Interim1 2018–19,6005
Taxation Revenue,Employer Health Tax,Interim1 2018–19,6588
Taxation Revenue,Ontario Health Premium,Interim1 2018–19,3806
Taxation Revenue,Gasoline Tax,Interim1 2018–19,2733
Taxation Revenue,Land Transfer Tax,Interim1 2018–19,2679
Taxation Revenue,Tobacco Tax,Interim1 2018–19,1267
Taxation Revenue,Fuel Tax,Interim1 2018–19,762
Taxation Revenue,"Beer, Wine and Spirits Taxes",Interim1 2018–19,612
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,Interim1 2018–19,17
Taxation Revenue,Electricity Payments in Lieu of Taxes,Interim1 2018–19,350
Taxation Revenue,Other Taxes,Interim1 2018–19,632
Total Taxation Revenue,,Interim1 2018–19,103552
Government of Canada,Canada Health Transfer,Interim1 2018–19,14852
Government of Canada,Canada Social Transfer,Interim1 2018–19,5451
Government of Canada,Equalization,Interim1 2018–19,963
Government of Canada,Infrastructure Programs,Interim1 2018–19,779
Government of Canada,Labour Market Programs,Interim1 2018–19,997
Government of Canada,Social Housing Agreement,Interim1 2018–19,386
Government of Canada,Other Federal Payments,Interim1 2018–19,1261
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,Interim1 2018–19,322
Total Government of Canada,,Interim1 2018–19,25011
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Interim1 2018–19,2311
Income from Government Business Enterprises,Liquor Control Board of Ontario,Interim1 2018–19,2261
Income from Government Business Enterprises,Ontario Cannabis Store,Interim1 2018–19,-25
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.2,Interim1 2018–19,318
Total Income from Government Business Enterprises,,Interim1 2018–19,4865
Other Non-Tax Revenue,Reimbursements,Interim1 2018–19,992
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Interim1 2018–19,2046
Other Non-Tax Revenue,Electricity Debt Retirement Charge3,Interim1 2018–19,15
Other Non-Tax Revenue,Power Supply Contract Recoveries,Interim1 2018–19,183
Other Non-Tax Revenue,Sales and Rentals4,Interim1 2018–19,1347
Other Non-Tax Revenue,Carbon Allowance Proceeds5,Interim1 2018–19,472
Other Non-Tax Revenue,Other Fees and Licences,Interim1 2018–19,1005
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Interim1 2018–19,41
Other Non-Tax Revenue,Royalties,Interim1 2018–19,306
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",Interim1 2018–19,9024
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Interim1 2018–19,1923
Total Other Non-Tax Revenue,,Interim1 2018–19,17354
Total Revenue,,Interim1 2018–19,150782
Taxation Revenue,Personal Income Tax,Plan2019–20,36600
Taxation Revenue,Sales Taxes,Plan2019–20,28076
Taxation Revenue,Corporations Tax,Plan2019–20,15171
Taxation Revenue,Education Property Tax,Plan2019–20,6085
Taxation Revenue,Employer Health Tax,Plan2019–20,6837
Taxation Revenue,Ontario Health Premium,Plan2019–20,4021
Taxation Revenue,Gasoline Tax,Plan2019–20,2766
Taxation Revenue,Land Transfer Tax,Plan2019–20,2877
Taxation Revenue,Tobacco Tax,Plan2019–20,1213
Taxation Revenue,Fuel Tax,Plan2019–20,776
Taxation Revenue,"Beer, Wine and Spirits Taxes",Plan2019–20,618
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,Plan2019–20,70
Taxation Revenue,Electricity Payments in Lieu of Taxes,Plan2019–20,488
Taxation Revenue,Other Taxes,Plan2019–20,540
Total Taxation Revenue,,Plan2019–20,106138
Government of Canada,Canada Health Transfer,Plan2019–20,15646
Government of Canada,Canada Social Transfer,Plan2019–20,5653
Government of Canada,Equalization,Plan2019–20,0
Government of Canada,Infrastructure Programs,Plan2019–20,1043
Government of Canada,Labour Market Programs,Plan2019–20,1036
Government of Canada,Social Housing Agreement,Plan2019–20,359
Government of Canada,Other Federal Payments,Plan2019–20,1386
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,Plan2019–20,330
Total Government of Canada,,Plan2019–20,25453
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Plan2019–20,2414
Income from Government Business Enterprises,Liquor Control Board of Ontario,Plan2019–20,2339
Income from Government Business Enterprises,Ontario Cannabis Store,Plan2019–20,10
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.2,Plan2019–20,1058
Total Income from Government Business Enterprises,,Plan2019–20,5821
Other Non-Tax Revenue,Reimbursements,Plan2019–20,981
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Plan2019–20,2066
Other Non-Tax Revenue,Electricity Debt Retirement Charge3,Plan2019–20,0
Other Non-Tax Revenue,Power Supply Contract Recoveries,Plan2019–20,125
Other Non-Tax Revenue,Sales and Rentals4,Plan2019–20,1590
Other Non-Tax Revenue,Carbon Allowance Proceeds5,Plan2019–20,0
Other Non-Tax Revenue,Other Fees and Licences,Plan2019–20,1080
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Plan2019–20,30
Other Non-Tax Revenue,Royalties,Plan2019–20,287
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",Plan2019–20,9364
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Plan2019–20,1230
Total Other Non-Tax Revenue,,Plan2019–20,16753
Total Revenue,,Plan2019–20,154165
