Category,SubCategory,variable,value
Health and Long-Term Care,Health and Long-Term Care (Base),2014–15,49983
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,2014–15,0
Health and Long-Term Care (Total),,2014–15,49983
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),2014–15,67
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,2014–15,0
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,2014–15,3
Indigenous Relations and Reconciliation (Total),,2014–15,71
Infrastructure,Infrastructure (Base),2014–15,229
Infrastructure,Federal–Provincial Infrastructure Programs,2014–15,0
Infrastructure (Total),,2014–15,229
International Trade (Total),,2014–15,17
Labour (Total),,2014–15,305
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),2014–15,889
Municipal Affairs / Housing,Green Investment Fund Initiatives,2014–15,0
Municipal Affairs / Housing,Time-Limited Investments,2014–15,7
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",2014–15,153
Municipal Affairs / Housing (Total),,2014–15,1050
Natural Resources and Forestry,Natural Resources and Forestry (Base),2014–15,713
Natural Resources and Forestry,Emergency Forest Firefighting,2014–15,78
Natural Resources and Forestry (Total),,2014–15,791
Northern Development and Mines (Total),,2014–15,804
Seniors Affairs (Total),,2014–15,17
Status of Women (Total),,2014–15,20
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",2014–15,1246
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,2014–15,405
"Tourism, Culture and Sport (Total)",,2014–15,1650
Transportation,Transportation (Base),2014–15,2941
Transportation,Green Investment Fund Initiatives,2014–15,0
Transportation,Time-Limited Investments in Infrastructure,2014–15,0
Transportation (Total),,2014–15,2941
Treasury Board Secretariat,Treasury Board Secretariat (Base),2014–15,237
Treasury Board Secretariat,Employee and Pensioner Benefits,2014–15,1186
Treasury Board Secretariat,Operating Contingency Fund,2014–15,0
Treasury Board Secretariat,Capital Contingency Fund,2014–15,0
Treasury Board Secretariat (Total),,2014–15,1423
Interest on Debt3,,2014–15,10635
Year-End Savings4,,2014–15,0
Total Expense,,2014–15,128861
Accessibility Directorate of Ontario (Total),,Actual2015–16,15
Advanced Education and Skills Development (Total),,Actual2015–16,7655
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",Actual2015–16,883
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,Actual2015–16,0
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,Actual2015–16,47
"Agriculture, Food and Rural Affairs (Total)",,Actual2015–16,929
Attorney General (Total),,Actual2015–16,1859
Board of Internal Economy1 (Total),,Actual2015–16,205
"Children, Community and Social Services",,Actual2015–16,4297
Citizenship and Immigration (Total),,Actual2015–16,102
"Children, Community and Social Services",Community and Social Services (Base),Actual2015–16,11298
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,Actual2015–16,0
"Children, Community and Social Services (Total)",,Actual2015–16,11298
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),Actual2015–16,2565
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,Actual2015–16,122
Community Safety and Correctional Services (Total),,Actual2015–16,2687
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",Actual2015–16,908
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,Actual2015–16,0
"Economic Development and Growth / Research, Innovation and Science (Total)",,Actual2015–16,908
Education,Education (Base),Actual2015–16,24998
Education,Teachers’ Pension Plan2,Actual2015–16,110
Education (Total),,Actual2015–16,25108
"Energy, Northern Development and Mines",Energy (Base),Actual2015–16,328
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,Actual2015–16,0
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,Actual2015–16,0
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,Actual2015–16,860
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,Actual2015–16,44
"Energy, Northern Development and Mines (Total)",,Actual2015–16,1232
Environment and Climate Change,Environment and Climate Change (Base),Actual2015–16,503
Environment and Climate Change,Green Investment Fund Initiatives,Actual2015–16,0
Environment and Climate Change (Total),,Actual2015–16,503
Executive Offices,Executive Offices (Base),Actual2015–16,35
Executive Offices,Time-Limited Assistance,Actual2015–16,0
Executive Offices (Total),,Actual2015–16,35
Finance,Finance (Base),Actual2015–16,1048
Finance,Ontario Municipal Partnership Fund,Actual2015–16,513
Finance,Power Supply Contract Costs,Actual2015–16,875
Finance (Total),,Actual2015–16,2436
"Francophone Affairs, Office of (Total)",,Actual2015–16,8
Government and Consumer Services (Total),,Actual2015–16,602
Health and Long-Term Care,Health and Long-Term Care (Base),Actual2015–16,51011
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,Actual2015–16,0
Health and Long-Term Care (Total),,Actual2015–16,51011
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),Actual2015–16,75
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,Actual2015–16,0
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,Actual2015–16,5
Indigenous Relations and Reconciliation (Total),,Actual2015–16,79
Infrastructure,Infrastructure (Base),Actual2015–16,213
Infrastructure,Federal–Provincial Infrastructure Programs,Actual2015–16,0
Infrastructure (Total),,Actual2015–16,213
International Trade (Total),,Actual2015–16,21
Labour (Total),,Actual2015–16,305
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),Actual2015–16,923
Municipal Affairs / Housing,Green Investment Fund Initiatives,Actual2015–16,0
Municipal Affairs / Housing,Time-Limited Investments,Actual2015–16,1
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",Actual2015–16,165
Municipal Affairs / Housing (Total),,Actual2015–16,1088
Natural Resources and Forestry,Natural Resources and Forestry (Base),Actual2015–16,723
Natural Resources and Forestry,Emergency Forest Firefighting,Actual2015–16,95
Natural Resources and Forestry (Total),,Actual2015–16,818
Northern Development and Mines (Total),,Actual2015–16,701
Seniors Affairs (Total),,Actual2015–16,20
Status of Women (Total),,Actual2015–16,26
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",Actual2015–16,1431
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,Actual2015–16,839
"Tourism, Culture and Sport (Total)",,Actual2015–16,2270
Transportation,Transportation (Base),Actual2015–16,3284
Transportation,Green Investment Fund Initiatives,Actual2015–16,0
Transportation,Time-Limited Investments in Infrastructure,Actual2015–16,0
Transportation (Total),,Actual2015–16,3284
Treasury Board Secretariat,Treasury Board Secretariat (Base),Actual2015–16,221
Treasury Board Secretariat,Employee and Pensioner Benefits,Actual2015–16,987
Treasury Board Secretariat,Operating Contingency Fund,Actual2015–16,0
Treasury Board Secretariat,Capital Contingency Fund,Actual2015–16,0
Treasury Board Secretariat (Total),,Actual2015–16,1208
Interest on Debt3,,Actual2015–16,10967
Year-End Savings4,,Actual2015–16,0
Total Expense,,Actual2015–16,131891
Accessibility Directorate of Ontario (Total),,Interim2016–17,17
Advanced Education and Skills Development (Total),,Interim2016–17,7807
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",Interim2016–17,971
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,Interim2016–17,3
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,Interim2016–17,100
"Agriculture, Food and Rural Affairs (Total)",,Interim2016–17,1074
Attorney General (Total),,Interim2016–17,1942
Board of Internal Economy1 (Total),,Interim2016–17,226
"Children, Community and Social Services",,Interim2016–17,4447
Citizenship and Immigration (Total),,Interim2016–17,105
"Children, Community and Social Services",Community and Social Services (Base),Interim2016–17,11697
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,Interim2016–17,23
"Children, Community and Social Services (Total)",,Interim2016–17,11720
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),Interim2016–17,2689
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,Interim2016–17,0
Community Safety and Correctional Services (Total),,Interim2016–17,2689
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",Interim2016–17,960
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,Interim2016–17,99
"Economic Development and Growth / Research, Innovation and Science (Total)",,Interim2016–17,1059
Education,Education (Base),Interim2016–17,25741
Education,Teachers’ Pension Plan2,Interim2016–17,-502
Education (Total),,Interim2016–17,25239
"Energy, Northern Development and Mines",Energy (Base),Interim2016–17,352
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,Interim2016–17,400
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,Interim2016–17,108
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,Interim2016–17,21
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,Interim2016–17,45
"Energy, Northern Development and Mines (Total)",,Interim2016–17,926
Environment and Climate Change,Environment and Climate Change (Base),Interim2016–17,530
Environment and Climate Change,Green Investment Fund Initiatives,Interim2016–17,1
Environment and Climate Change (Total),,Interim2016–17,531
Executive Offices,Executive Offices (Base),Interim2016–17,44
Executive Offices,Time-Limited Assistance,Interim2016–17,1
Executive Offices (Total),,Interim2016–17,46
Finance,Finance (Base),Interim2016–17,902
Finance,Ontario Municipal Partnership Fund,Interim2016–17,505
Finance,Power Supply Contract Costs,Interim2016–17,739
Finance (Total),,Interim2016–17,2146
"Francophone Affairs, Office of (Total)",,Interim2016–17,5
Government and Consumer Services (Total),,Interim2016–17,614
Health and Long-Term Care,Health and Long-Term Care (Base),Interim2016–17,52201
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,Interim2016–17,5
Health and Long-Term Care (Total),,Interim2016–17,52206
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),Interim2016–17,83
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,Interim2016–17,5
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,Interim2016–17,11
Indigenous Relations and Reconciliation (Total),,Interim2016–17,99
Infrastructure,Infrastructure (Base),Interim2016–17,193
Infrastructure,Federal–Provincial Infrastructure Programs,Interim2016–17,132
Infrastructure (Total),,Interim2016–17,325
International Trade (Total),,Interim2016–17,31
Labour (Total),,Interim2016–17,310
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),Interim2016–17,898
Municipal Affairs / Housing,Green Investment Fund Initiatives,Interim2016–17,92
Municipal Affairs / Housing,Time-Limited Investments,Interim2016–17,7
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",Interim2016–17,544
Municipal Affairs / Housing (Total),,Interim2016–17,1541
Natural Resources and Forestry,Natural Resources and Forestry (Base),Interim2016–17,753
Natural Resources and Forestry,Emergency Forest Firefighting,Interim2016–17,109
Natural Resources and Forestry (Total),,Interim2016–17,862
Northern Development and Mines (Total),,Interim2016–17,837
Seniors Affairs (Total),,Interim2016–17,20
Status of Women (Total),,Interim2016–17,23
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",Interim2016–17,1455
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,Interim2016–17,82
"Tourism, Culture and Sport (Total)",,Interim2016–17,1537
Transportation,Transportation (Base),Interim2016–17,3668
Transportation,Green Investment Fund Initiatives,Interim2016–17,20
Transportation,Time-Limited Investments in Infrastructure,Interim2016–17,0
Transportation (Total),,Interim2016–17,3688
Treasury Board Secretariat,Treasury Board Secretariat (Base),Interim2016–17,240
Treasury Board Secretariat,Employee and Pensioner Benefits,Interim2016–17,1163
Treasury Board Secretariat,Operating Contingency Fund,Interim2016–17,30
Treasury Board Secretariat,Capital Contingency Fund,Interim2016–17,0
Treasury Board Secretariat (Total),,Interim2016–17,1433
Interest on Debt3,,Interim2016–17,11250
Year-End Savings4,,Interim2016–17,0
Total Expense,,Interim2016–17,134752
Accessibility Directorate of Ontario (Total),,Plan2017–18,20
Advanced Education and Skills Development (Total),,Plan2017–18,8410
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",Plan2017–18,949
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,Plan2017–18,0
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,Plan2017–18,77
"Agriculture, Food and Rural Affairs (Total)",,Plan2017–18,1026
Attorney General (Total),,Plan2017–18,1938
Board of Internal Economy1 (Total),,Plan2017–18,226
"Children, Community and Social Services",,Plan2017–18,4444
Citizenship and Immigration (Total),,Plan2017–18,112
"Children, Community and Social Services",Community and Social Services (Base),Plan2017–18,12410
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,Plan2017–18,9
"Children, Community and Social Services (Total)",,Plan2017–18,12419
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),Plan2017–18,2777
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,Plan2017–18,0
Community Safety and Correctional Services (Total),,Plan2017–18,2777
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",Plan2017–18,971
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,Plan2017–18,0
"Economic Development and Growth / Research, Innovation and Science (Total)",,Plan2017–18,971
Education,Education (Base),Plan2017–18,26518
Education,Teachers’ Pension Plan2,Plan2017–18,-531
Education (Total),,Plan2017–18,25987
"Energy, Northern Development and Mines",Energy (Base),Plan2017–18,512
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,Plan2017–18,1438
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,Plan2017–18,0
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,Plan2017–18,0
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,Plan2017–18,100
"Energy, Northern Development and Mines (Total)",,Plan2017–18,2050
Environment and Climate Change,Environment and Climate Change (Base),Plan2017–18,1023
Environment and Climate Change,Green Investment Fund Initiatives,Plan2017–18,0
Environment and Climate Change (Total),,Plan2017–18,1023
Executive Offices,Executive Offices (Base),Plan2017–18,56
Executive Offices,Time-Limited Assistance,Plan2017–18,0
Executive Offices (Total),,Plan2017–18,56
Finance,Finance (Base),Plan2017–18,933
Finance,Ontario Municipal Partnership Fund,Plan2017–18,505
Finance,Power Supply Contract Costs,Plan2017–18,292
Finance (Total),,Plan2017–18,1730
"Francophone Affairs, Office of (Total)",,Plan2017–18,5
Government and Consumer Services (Total),,Plan2017–18,593
Health and Long-Term Care,Health and Long-Term Care (Base),Plan2017–18,53763
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,Plan2017–18,0
Health and Long-Term Care (Total),,Plan2017–18,53763
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),Plan2017–18,86
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,Plan2017–18,0
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,Plan2017–18,5
Indigenous Relations and Reconciliation (Total),,Plan2017–18,91
Infrastructure,Infrastructure (Base),Plan2017–18,173
Infrastructure,Federal–Provincial Infrastructure Programs,Plan2017–18,689
Infrastructure (Total),,Plan2017–18,862
International Trade (Total),,Plan2017–18,62
Labour (Total),,Plan2017–18,312
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),Plan2017–18,955
Municipal Affairs / Housing,Green Investment Fund Initiatives,Plan2017–18,0
Municipal Affairs / Housing,Time-Limited Investments,Plan2017–18,10
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",Plan2017–18,297
Municipal Affairs / Housing (Total),,Plan2017–18,1262
Natural Resources and Forestry,Natural Resources and Forestry (Base),Plan2017–18,755
Natural Resources and Forestry,Emergency Forest Firefighting,Plan2017–18,70
Natural Resources and Forestry (Total),,Plan2017–18,824
Northern Development and Mines (Total),,Plan2017–18,767
Seniors Affairs (Total),,Plan2017–18,35
Status of Women (Total),,Plan2017–18,26
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",Plan2017–18,1390
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,Plan2017–18,0
"Tourism, Culture and Sport (Total)",,Plan2017–18,1390
Transportation,Transportation (Base),Plan2017–18,4214
Transportation,Green Investment Fund Initiatives,Plan2017–18,0
Transportation,Time-Limited Investments in Infrastructure,Plan2017–18,1113
Transportation (Total),,Plan2017–18,5326
Treasury Board Secretariat,Treasury Board Secretariat (Base),Plan2017–18,337
Treasury Board Secretariat,Employee and Pensioner Benefits,Plan2017–18,1208
Treasury Board Secretariat,Operating Contingency Fund,Plan2017–18,515
Treasury Board Secretariat,Capital Contingency Fund,Plan2017–18,100
Treasury Board Secretariat (Total),,Plan2017–18,2160
Interest on Debt3,,Plan2017–18,11581
Year-End Savings4,,Plan2017–18,-1200
Total Expense,,Plan2017–18,141050
