Revenue Category,Revenue Item,variable,value
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual                2018–19,41
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual                2018–19,15
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual                2018–19,472
Other Non-Tax Revenue,Total,Actual                2018–19,17616
Total Revenue,,Actual                2018–19,153700
Taxation Revenue,Personal Income Tax,Actual2019–20,37743
Taxation Revenue,Sales Taxes,Actual2019–20,28619
Taxation Revenue,Corporations Tax,Actual2019–20,15414
Taxation Revenue,Education Property Tax,Actual2019–20,6179
Taxation Revenue,Employer Health Tax,Actual2019–20,6731
Taxation Revenue,Ontario Health Premium,Actual2019–20,4059
Taxation Revenue,Gasoline Tax,Actual2019–20,2783
Taxation Revenue,Land Transfer Tax,Actual2019–20,3067
Taxation Revenue,Tobacco Tax,Actual2019–20,1118
Taxation Revenue,Fuel Tax,Actual2019–20,807
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual2019–20,582
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual2019–20,505
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Actual2019–20,48
Taxation Revenue,Other Taxes,Actual2019–20,623
Taxation Revenue,Total,Actual2019–20,108278
Government of Canada,Canada Health Transfer,Actual2019–20,15640
Government of Canada,Canada Social Transfer,Actual2019–20,5650
Government of Canada,Equalization,Actual2019–20,0
Government of Canada,Infrastructure Programs,Actual2019–20,400
Government of Canada,Labour Market Programs,Actual2019–20,1054
Government of Canada,Social Housing Agreement,Actual2019–20,484
Government of Canada,Other Federal Payments,Actual2019–20,1756
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Actual2019–20,414
Government of Canada,Total,Actual2019–20,25398
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual2019–20,2402
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Actual2019–20,1167
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual2019–20,2309
Income from Government Business Enterprises,Ontario Cannabis Store,Actual2019–20,19
Income from Government Business Enterprises,Total,Actual2019–20,5897
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Actual2019–20,9281
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual2019–20,2055
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual2019–20,1222
Other Non-Tax Revenue,Other Fees and Licences,Actual2019–20,1156
Other Non-Tax Revenue,Sales and Rentals,Actual2019–20,1369
Other Non-Tax Revenue,Reimbursements,Actual2019–20,1005
Other Non-Tax Revenue,Royalties,Actual2019–20,283
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual2019–20,122
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual2019–20,30
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual2019–20,0
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual2019–20,0
Other Non-Tax Revenue,Total,Actual2019–20,16523
Total Revenue,,Actual2019–20,156096
Taxation Revenue,Personal Income Tax,Interim12020‑21,35876
Taxation Revenue,Sales Taxes,Interim12020‑21,26042
Taxation Revenue,Corporations Tax,Interim12020‑21,11435
Taxation Revenue,Education Property Tax,Interim12020‑21,6000
Taxation Revenue,Employer Health Tax,Interim12020‑21,6480
Taxation Revenue,Ontario Health Premium,Interim12020‑21,3958
Taxation Revenue,Gasoline Tax,Interim12020‑21,2120
Taxation Revenue,Land Transfer Tax,Interim12020‑21,3481
Taxation Revenue,Tobacco Tax,Interim12020‑21,1103
Taxation Revenue,Fuel Tax,Interim12020‑21,711
Taxation Revenue,"Beer, Wine and Spirits Taxes",Interim12020‑21,615
Taxation Revenue,Electricity Payments in Lieu of Taxes,Interim12020‑21,557
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Interim12020‑21,140
Taxation Revenue,Other Taxes,Interim12020‑21,581
Taxation Revenue,Total,Interim12020‑21,99099
Government of Canada,Canada Health Transfer,Interim12020‑21,16208
Government of Canada,Canada Social Transfer,Interim12020‑21,5815
Government of Canada,Equalization,Interim12020‑21,0
Government of Canada,Infrastructure Programs,Interim12020‑21,1025
Government of Canada,Labour Market Programs,Interim12020‑21,1521
Government of Canada,Social Housing Agreement,Interim12020‑21,331
Government of Canada,Other Federal Payments,Interim12020‑21,8450
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Interim12020‑21,395
Government of Canada,Total,Interim12020‑21,33745
Income from Government Business Enterprises,Liquor Control Board of Ontario,Interim12020‑21,2452
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Interim12020‑21,1034
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Interim12020‑21,300
Income from Government Business Enterprises,Ontario Cannabis Store,Interim12020‑21,70
Income from Government Business Enterprises,Total,Interim12020‑21,3856
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Interim12020‑21,8353
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Interim12020‑21,2065
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Interim12020‑21,1241
Other Non-Tax Revenue,Other Fees and Licences,Interim12020‑21,1042
Other Non-Tax Revenue,Sales and Rentals,Interim12020‑21,754
Other Non-Tax Revenue,Reimbursements,Interim12020‑21,1174
Other Non-Tax Revenue,Royalties,Interim12020‑21,342
Other Non-Tax Revenue,Power Supply Contract Recoveries,Interim12020‑21,114
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Interim12020‑21,28
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Interim12020‑21,0
Other Non-Tax Revenue,Carbon Allowance Proceeds,Interim12020‑21,0
Other Non-Tax Revenue,Total,Interim12020‑21,15113
Total Revenue,,Interim12020‑21,151813
Taxation Revenue,Personal Income Tax,Plan2021–22,36351
Taxation Revenue,Sales Taxes,Plan2021–22,27632
Taxation Revenue,Corporations Tax,Plan2021–22,14389
Taxation Revenue,Education Property Tax,Plan2021–22,5754
Taxation Revenue,Employer Health Tax,Plan2021–22,6445
Taxation Revenue,Ontario Health Premium,Plan2021–22,4141
Taxation Revenue,Gasoline Tax,Plan2021–22,2421
Taxation Revenue,Land Transfer Tax,Plan2021–22,3890
Taxation Revenue,Tobacco Tax,Plan2021–22,1060
Taxation Revenue,Fuel Tax,Plan2021–22,814
Taxation Revenue,"Beer, Wine and Spirits Taxes",Plan2021–22,618
Taxation Revenue,Electricity Payments in Lieu of Taxes,Plan2021–22,454
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Plan2021–22,245
Taxation Revenue,Other Taxes,Plan2021–22,605
Taxation Revenue,Total,Plan2021–22,104819
Government of Canada,Canada Health Transfer,Plan2021–22,16737
Government of Canada,Canada Social Transfer,Plan2021–22,6005
Government of Canada,Equalization,Plan2021–22,0
Government of Canada,Infrastructure Programs,Plan2021–22,1086
Government of Canada,Labour Market Programs,Plan2021–22,1316
Government of Canada,Social Housing Agreement,Plan2021–22,299
Government of Canada,Other Federal Payments,Plan2021–22,1577
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Plan2021–22,424
Government of Canada,Total,Plan2021–22,27444
Income from Government Business Enterprises,Liquor Control Board of Ontario,Plan2021–22,2435
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Plan2021–22,670
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Plan2021–22,1266
Income from Government Business Enterprises,Ontario Cannabis Store,Plan2021–22,170
Income from Government Business Enterprises,Total,Plan2021–22,4541
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Plan2021–22,9758
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Plan2021–22,2096
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Plan2021–22,1322
Other Non-Tax Revenue,Other Fees and Licences,Plan2021–22,1208
Other Non-Tax Revenue,Sales and Rentals,Plan2021–22,1402
Other Non-Tax Revenue,Reimbursements,Plan2021–22,1031
Other Non-Tax Revenue,Royalties,Plan2021–22,284
Other Non-Tax Revenue,Power Supply Contract Recoveries,Plan2021–22,102
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Plan2021–22,5
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Plan2021–22,0
Other Non-Tax Revenue,Carbon Allowance Proceeds,Plan2021–22,0
Other Non-Tax Revenue,Total,Plan2021–22,17208
Total Revenue,,Plan2021–22,154012
