2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
,,"Energy, Northern Development and Mines    (Base)13",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines    (Base)13",,Actual                2017–18,
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,Actual                2017–18,1283.0
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,Actual                2017–18,1283.0
,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,Actual                2017–18,
,,"Environment, Conservation and Parks", Time-Limited Investments,"Environment, Conservation and Parks",,"Environment, Conservation and Parks", Time-Limited Investments,Actual                2017–18,145.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,Actual                2017–18,706.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,Actual                2017–18,706.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,Actual                2017–18,706.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,Actual                2017–18,706.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,Actual                2017–18,851.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,Actual                2017–18,851.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,Actual                2017–18,851.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,Actual                2017–18,851.0
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,Actual                2017–18,37.0
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,Actual                2017–18,37.0
,,Finance, COVID‑19 Response: Support for People and Jobs Fund,,,Finance, COVID‑19 Response: Support for People and Jobs Fund,Actual                2017–18,0.0
,,Finance, Time-Limited Investments,,,Finance, Time-Limited Investments,Actual                2017–18,0.0
,,Finance, Investment Management Corporation of Ontario9,,,Finance, Investment Management Corporation of Ontario9,Actual                2017–18,0.0
,,Finance, COVID‑19 Time-Limited Funding17,,,Finance, COVID‑19 Time-Limited Funding17,Actual                2017–18,
,,Finance (Base),,Finance (Base),,Finance (Base),,Actual                2017–18,843.0
,,Francophone Affairs, COVID‑19 Time-Limited Funding18,,,Francophone Affairs, COVID‑19 Time-Limited Funding18,Actual                2017–18,
,,Francophone Affairs (Base),,,,Francophone Affairs (Base),,Actual                2017–18,
,,Francophone Affairs (Total),,Francophone Affairs (Total),,Francophone Affairs (Total),,Actual                2017–18,6.0
,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,Actual                2017–18,
,,Health (Total),,,,Health (Total),,Actual                2017–18,54982.0
,,Health (Total)20,,,,Health (Total)20,,Actual                2017–18,
,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,Actual                2017–18,
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Actual                2017–18,509.0
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,Actual                2017–18,145.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual                2017–18,940.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual                2017–18,940.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual                2017–18,940.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual                2017–18,940.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Actual                2017–18,1594.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Actual                2017–18,1594.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Actual                2017–18,1594.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Actual                2017–18,1594.0
,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,Actual                2017–18,
,,Indigenous Affairs (Base),,Indigenous Affairs (Base),,Indigenous Affairs (Base),,Actual                2017–18,86.0
,,Indigenous Affairs (Total),,Indigenous Affairs (Total),,Indigenous Affairs (Total),,Actual                2017–18,1208.0
,,Infrastructure, Municipal Infrastructure Program Investments12,,,Infrastructure, Municipal Infrastructure Program Investments12,Actual                2017–18,0.0
,,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),,,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),Actual                2017–18,0.0
,,Infrastructure, COVID‑19 Time-Limited Funding26,,,Infrastructure, COVID‑19 Time-Limited Funding26,Actual                2017–18,
,,Infrastructure (Base),,Infrastructure (Base),,Infrastructure (Base),,Actual                2017–18,227.0
,,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,,,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,Actual                2017–18,
,,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,,,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,Actual                2017–18,
,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,Actual                2017–18,916.0
,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,Actual                2017–18,208.0
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,Actual                2017–18,128.0
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,Actual                2017–18,128.0
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,Actual                2017–18,1253.0
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,Actual                2017–18,1253.0
,,Long-Term Care (Total),,Health and Long-Term Care (Total),,Long-Term Care (Total),,Actual                2017–18,4163.0
,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,Actual                2017–18,
,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,Actual                2017–18,392.0
,,Municipal Affairs and Housing, Safe Restart Agreement,,,Municipal Affairs and Housing, Safe Restart Agreement,Actual                2017–18,0.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,Actual                2017–18,417.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,Actual                2017–18,417.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,Actual                2017–18,417.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,Actual                2017–18,417.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Actual                2017–18,609.0
,,PRRT Savings,,PRRT Savings,,,,Actual                2017–18,
,,Seniors and Accessibility, Time-Limited Investments,,,Seniors and Accessibility, Time-Limited Investments,Actual                2017–18,0.0
,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,Actual                2017–18,
,,Seniors and Accessibility (Base),,,,Seniors and Accessibility (Base),,Actual                2017–18,48.0
,,Seniors and Accessibility (Total),,,,Seniors and Accessibility (Total),,Actual                2017–18,48.0
,,Solicitor    General, COVID‑19 Time-Limited Funding34,,,Solicitor    General, COVID‑19 Time-Limited Funding34,Actual                2017–18,
,,Solicitor    General (Base),,,,Solicitor    General (Base),,Actual                2017–18,
,,Solicitor General (Total),,,,Solicitor General (Total),,Actual                2017–18,2561.0
,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,Actual                2017–18,
,,Transportation, COVID‑19 Time-Limited Funding36,,,Transportation, COVID‑19 Time-Limited Funding36,Actual                2017–18,
,,Transportation, Federal–Provincial Infrastructure Programs,,,Transportation, Federal–Provincial Infrastructure Programs,Actual                2017–18,404.0
,,Transportation, Safe Restart Agreement,,,Transportation, Safe Restart Agreement,Actual                2017–18,0.0
,,Transportation (Base),,Transportation (Base),,Transportation (Base),,Actual                2017–18,4184.0
,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,Actual                2017–18,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Actual                2017–18,194.0
,,Executive Offices, Disaster Relief,Executive Offices, Disaster Relief,,,Actual                2017–18,
,,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,Actual                2017–18,1122.0
Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,,,Actual                2017–18,
Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,,,Actual                2017–18,
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Actual                2017–18,
Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,Actual                2017–18,1742.0
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,,,Actual                2017–18,
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,Actual                2017–18,16300.0
Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,,,Actual                2017–18,
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,,,Actual                2017–18,
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,,,Actual                2017–18,
Education (Total),,Education (Total),,Education (Total),,Education (Total),,Actual                2017–18,28923.0
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,,,Actual                2017–18,
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,,,Actual                2017–18,
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual                2017–18,2834.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117.0
Executive Offices,Time-Limited Assistance,Executive Offices, Time-Limited Assistance,,,Executive Offices, Time-Limited Assistance,Actual                2017–18,0.0
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Actual                2017–18,37.0
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Actual                2017–18,37.0
Finance,Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Actual                2017–18,506.0
Finance,Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,Actual                2017–18,191.0
Finance (Total),,Finance (Total),,Finance (Total),,Finance (Total),,Actual                2017–18,1540.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Actual                2017–18,1650.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Actual                2017–18,1650.0
Infrastructure,Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Actual                2017–18,248.0
Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,Actual                2017–18,475.0
International Trade (Total),,International Trade (Total),,International Trade (Total),,,,Actual                2017–18,
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",,,Actual                2017–18,
Natural Resources and Forestry,Emergency Forest Firefighting,Natural Resources and Forestry, Emergency Forest Firefighting,,,Natural Resources and Forestry, Emergency Forest Firefighting,Actual                2017–18,117.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Actual                2017–18,726.0
Seniors Affairs (Total),,Seniors Affairs (Total),,Seniors Affairs (Total),,,,Actual                2017–18,
Status of Women (Total),,Status of Women (Total),,Status of Women (Total),,,,Actual                2017–18,
Total Expense,,Total Expense,,Total Expense,,Total Expense,,Actual                2017–18,154266.0
Transportation,Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,,,Actual                2017–18,
Transportation (Total),,Transportation (Total),,Transportation (Total),,Transportation (Total),,Actual                2017–18,4588.0
Treasury Board Secretariat,Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Actual                2017–18,0.0
Treasury Board Secretariat,Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Actual                2017–18,0.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Actual                2017–18,1636.0
