Revenue Category,Revenue Item,variable,value
Taxation Revenue,Corporations Tax,Actual                2018–19,16606
Taxation Revenue,Education Property Tax,Actual                2018–19,6171
Taxation Revenue,Employer Health Tax,Actual                2018–19,6544
Taxation Revenue,Ontario Health Premium,Actual                2018–19,3819
Taxation Revenue,Gasoline Tax,Actual                2018–19,2709
Taxation Revenue,Land Transfer Tax,Actual                2018–19,2761
Taxation Revenue,Tobacco Tax,Actual                2018–19,1241
Taxation Revenue,Fuel Tax,Actual                2018–19,774
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual                2018–19,607
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual                2018–19,435
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Actual                2018–19,19
Taxation Revenue,Other Taxes,Actual                2018–19,653
Taxation Revenue,Total,Actual                2018–19,105524
Government of Canada,Canada Health Transfer,Actual                2018–19,14852
Government of Canada,Canada Social Transfer,Actual                2018–19,5451
Government of Canada,Equalization,Actual                2018–19,963
Government of Canada,Infrastructure Programs,Actual                2018–19,605
Government of Canada,Labour Market Programs,Actual                2018–19,1015
Government of Canada,Social Housing Agreement,Actual                2018–19,394
Government of Canada,Other Federal Payments,Actual                2018–19,1420
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Actual                2018–19,390
Government of Canada,Total,Actual                2018–19,25090
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual                2018–19,2276
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Actual                2018–19,772
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual                2018–19,2464
Income from Government Business Enterprises,Ontario Cannabis Store,Actual                2018–19,-42
Income from Government Business Enterprises,Total,Actual                2018–19,5470
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Actual                2018–19,9237
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual                2018–19,1991
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual                2018–19,1873
Other Non-Tax Revenue,Other Fees and Licences,Actual                2018–19,1088
Other Non-Tax Revenue,Sales and Rentals,Actual                2018–19,1477
Other Non-Tax Revenue,Reimbursements,Actual                2018–19,998
Other Non-Tax Revenue,Royalties,Actual                2018–19,251
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual                2018–19,173
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual                2018–19,41
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual                2018–19,15
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual                2018–19,472
Other Non-Tax Revenue,Total,Actual                2018–19,17616
Total Revenue,,Actual                2018–19,153700
Taxation Revenue,Personal Income Tax,Actual                  2019–20,37743
Taxation Revenue,Sales Taxes,Actual                  2019–20,28619
Taxation Revenue,Corporations Tax,Actual                  2019–20,15414
Taxation Revenue,Education Property Tax,Actual                  2019–20,6179
Taxation Revenue,Employer Health Tax,Actual                  2019–20,6731
Taxation Revenue,Ontario Health Premium,Actual                  2019–20,4059
Taxation Revenue,Gasoline Tax,Actual                  2019–20,2783
Taxation Revenue,Land Transfer Tax,Actual                  2019–20,3067
Taxation Revenue,Tobacco Tax,Actual                  2019–20,1118
Taxation Revenue,Fuel Tax,Actual                  2019–20,807
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual                  2019–20,582
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual                  2019–20,505
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Actual                  2019–20,48
Taxation Revenue,Other Taxes,Actual                  2019–20,623
Taxation Revenue,Total,Actual                  2019–20,108278
Government of Canada,Canada Health Transfer,Actual                  2019–20,15640
Government of Canada,Canada Social Transfer,Actual                  2019–20,5650
Government of Canada,Equalization,Actual                  2019–20,0
Government of Canada,Infrastructure Programs,Actual                  2019–20,400
Government of Canada,Labour Market Programs,Actual                  2019–20,1054
Government of Canada,Social Housing Agreement,Actual                  2019–20,484
Government of Canada,Other Federal Payments,Actual                  2019–20,1756
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Actual                  2019–20,414
Government of Canada,Total,Actual                  2019–20,25398
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual                  2019–20,2402
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Actual                  2019–20,1167
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual                  2019–20,2309
Income from Government Business Enterprises,Ontario Cannabis Store,Actual                  2019–20,19
Income from Government Business Enterprises,Total,Actual                  2019–20,5897
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Actual                  2019–20,9281
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual                  2019–20,2055
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual                  2019–20,1222
Other Non-Tax Revenue,Other Fees and Licences,Actual                  2019–20,1156
Other Non-Tax Revenue,Sales and Rentals,Actual                  2019–20,1369
Other Non-Tax Revenue,Reimbursements,Actual                  2019–20,1005
Other Non-Tax Revenue,Royalties,Actual                  2019–20,283
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual                  2019–20,122
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual                  2019–20,30
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual                  2019–20,0
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual                  2019–20,0
Other Non-Tax Revenue,Total,Actual                  2019–20,16523
Total Revenue,,Actual                  2019–20,156096
Taxation Revenue,Personal Income Tax,Current                  Outlook12020–21,36901
Taxation Revenue,Sales Taxes,Current                  Outlook12020–21,24879
Taxation Revenue,Corporations Tax,Current                  Outlook12020–21,9941
Taxation Revenue,Education Property Tax,Current                  Outlook12020–21,6060
Taxation Revenue,Employer Health Tax,Current                  Outlook12020–21,6346
Taxation Revenue,Ontario Health Premium,Current                  Outlook12020–21,4007
Taxation Revenue,Gasoline Tax,Current                  Outlook12020–21,2379
Taxation Revenue,Land Transfer Tax,Current                  Outlook12020–21,3384
Taxation Revenue,Tobacco Tax,Current                  Outlook12020–21,1108
Taxation Revenue,Fuel Tax,Current                  Outlook12020–21,672
Taxation Revenue,"Beer, Wine and Spirits Taxes",Current                  Outlook12020–21,593
Taxation Revenue,Electricity Payments in Lieu of Taxes,Current                  Outlook12020–21,486
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Current                  Outlook12020–21,145
Taxation Revenue,Other Taxes,Current                  Outlook12020–21,561
Taxation Revenue,Total,Current                  Outlook12020–21,97462
Government of Canada,Canada Health Transfer,Current                  Outlook12020–21,16252
Government of Canada,Canada Social Transfer,Current                  Outlook12020–21,5832
Government of Canada,Equalization,Current                  Outlook12020–21,0
Government of Canada,Infrastructure Programs,Current                  Outlook12020–21,1013
Government of Canada,Labour Market Programs,Current                  Outlook12020–21,1091
Government of Canada,Social Housing Agreement,Current                  Outlook12020–21,331
Government of Canada,Other Federal Payments,Current                  Outlook12020–21,8434
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Current                  Outlook12020–21,407
Government of Canada,Total,Current                  Outlook12020–21,33360
Income from Government Business Enterprises,Liquor Control Board of Ontario,Current                  Outlook12020–21,2377
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Current                  Outlook12020–21,893
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Current                  Outlook12020–21,200
Income from Government Business Enterprises,Ontario Cannabis Store,Current                  Outlook12020–21,80
Income from Government Business Enterprises,Total,Current                  Outlook12020–21,3550
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Current                  Outlook12020–21,9740
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Current                  Outlook12020–21,2061
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Current                  Outlook12020–21,1377
Other Non-Tax Revenue,Other Fees and Licences,Current                  Outlook12020–21,1105
Other Non-Tax Revenue,Sales and Rentals,Current                  Outlook12020–21,1045
Other Non-Tax Revenue,Reimbursements,Current                  Outlook12020–21,961
Other Non-Tax Revenue,Royalties,Current                  Outlook12020–21,278
Other Non-Tax Revenue,Power Supply Contract Recoveries,Current                  Outlook12020–21,107
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Current                  Outlook12020–21,28
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Current                  Outlook12020–21,0
Other Non-Tax Revenue,Carbon Allowance Proceeds,Current                  Outlook12020–21,0
Other Non-Tax Revenue,Total,Current                  Outlook12020–21,16702
Total Revenue,,Current                  Outlook12020–21,151074
