Revenue Category,Revenue Item,variable,value
Taxation Revenue,Tobacco Tax,Interim 2016–17,1247
Taxation Revenue,Fuel Tax,Interim 2016–17,736
Taxation Revenue,"Beer, Wine and Spirits Taxes",Interim 2016–17,594
Taxation Revenue,Electricity Payments in  Lieu of Taxes,Interim 2016–17,373
Taxation Revenue,Other Taxes,Interim 2016–17,457
Total Taxation Revenue,,Interim 2016–17,95063
Government of Canada,Canada Health  Transfer,Interim 2016–17,13910
Government of Canada,Canada Social  Transfer,Interim 2016–17,5146
Government of Canada,Equalization,Interim 2016–17,2304
Government of Canada,Infrastructure  Programs,Interim 2016–17,837
Government of Canada,Labour Market  Programs,Interim 2016–17,974
Government of Canada,Social Housing,Interim 2016–17,434
Government of Canada,Other Federal  Payments,Interim 2016–17,790
Total Government of Canada,,Interim 2016–17,24395
Government Business Enterprises,Ontario Lottery and  Gaming Corporation,Interim 2016–17,2134
Government Business Enterprises,Liquor Control Board  of Ontario,Interim 2016–17,2321
Government Business Enterprises,Ontario Power  Generation Inc./Hydro One Ltd./ Brampton Distribution Holdco Inc.,Interim 2016–17,842
Total Government Business Enterprises,,Interim 2016–17,5297
Other Non-Tax Revenue,Reimbursements,Interim 2016–17,979
Other Non-Tax Revenue,Vehicle and Driver  Registration Fees,Interim 2016–17,1721
Other Non-Tax Revenue,Electricity Debt Retirement  Charge,Interim 2016–17,625
Other Non-Tax Revenue,Power Supply Contract  Recoveries,Interim 2016–17,739
Other Non-Tax Revenue,Sales and Rentals,Interim 2016–17,1980
Other Non-Tax Revenue,Carbon Allowance  Proceeds,Interim 2016–17,0
Other Non-Tax Revenue,Other Fees and  Licences,Interim 2016–17,1007
Other Non-Tax Revenue,Net Reduction of  Power Purchase Contract Liability,Interim 2016–17,129
Other Non-Tax Revenue,Royalties,Interim 2016–17,278
Other Non-Tax Revenue,Miscellaneous Other  Non-Tax Revenue,Interim 2016–17,1015
Total Other Non-Tax Revenue,,Interim 2016–17,8473
Total Revenue,,Interim 2016–17,133228
Taxation Revenue,Personal Income Tax,Plan 2017–18,35032
Taxation Revenue,Sales Taxes,Plan 2017–18,26011
Taxation Revenue,Corporations Tax,Plan 2017–18,13817
Taxation Revenue,Education Property  Tax2,Plan 2017–18,6002
Taxation Revenue,Employer Health Tax,Plan 2017–18,6117
Taxation Revenue,Ontario Health  Premium,Plan 2017–18,3789
Taxation Revenue,Gasoline Tax,Plan 2017–18,2663
Taxation Revenue,Land Transfer Tax,Plan 2017–18,3139
Taxation Revenue,Tobacco Tax,Plan 2017–18,1291
Taxation Revenue,Fuel Tax,Plan 2017–18,746
Taxation Revenue,"Beer, Wine and Spirits Taxes",Plan 2017–18,619
Taxation Revenue,Electricity Payments in  Lieu of Taxes,Plan 2017–18,405
Taxation Revenue,Other Taxes,Plan 2017–18,466
Total Taxation Revenue,,Plan 2017–18,100097
Government of Canada,Canada Health  Transfer,Plan 2017–18,14340
Government of Canada,Canada Social  Transfer,Plan 2017–18,5307
Government of Canada,Equalization,Plan 2017–18,1424
Government of Canada,Infrastructure  Programs,Plan 2017–18,2328
Government of Canada,Labour Market  Programs,Plan 2017–18,977
Government of Canada,Social Housing,Plan 2017–18,412
Government of Canada,Other Federal  Payments,Plan 2017–18,893
Total Government of Canada,,Plan 2017–18,25681
Government Business Enterprises,Ontario Lottery and  Gaming Corporation,Plan 2017–18,2134
Government Business Enterprises,Liquor Control Board  of Ontario,Plan 2017–18,2137
Government Business Enterprises,Ontario Power  Generation Inc./Hydro One Ltd./ Brampton Distribution Holdco Inc.,Plan 2017–18,617
Total Government Business Enterprises,,Plan 2017–18,4888
Other Non-Tax Revenue,Reimbursements,Plan 2017–18,984
Other Non-Tax Revenue,Vehicle and Driver  Registration Fees,Plan 2017–18,1934
Other Non-Tax Revenue,Electricity Debt Retirement  Charge,Plan 2017–18,623
Other Non-Tax Revenue,Power Supply Contract  Recoveries,Plan 2017–18,292
Other Non-Tax Revenue,Sales and Rentals,Plan 2017–18,3006
Other Non-Tax Revenue,Carbon Allowance  Proceeds,Plan 2017–18,1778
Other Non-Tax Revenue,Other Fees and  Licences,Plan 2017–18,984
Other Non-Tax Revenue,Net Reduction of  Power Purchase Contract Liability,Plan 2017–18,74
Other Non-Tax Revenue,Royalties,Plan 2017–18,265
Other Non-Tax Revenue,Miscellaneous Other  Non-Tax Revenue,Plan 2017–18,1044
Total Other Non-Tax Revenue,,Plan 2017–18,10984
Total Revenue,,Plan 2017–18,141650
