Column1,variable,value
"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.",Column4,"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16."
"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.",Column4,"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans."
Note: Numbers may not add due to rounding.,Column4,Note: Numbers may not add due to rounding.
Ministry Expense,Column5,Plan 2015–16
,Column5,
Aboriginal Affairs1,Column5,74.5
"Agriculture, Food and Rural Affairs1",Column5,"1,028.8"
Attorney General,Column5,"1,779.8"
Board of Internal Economy2,Column5,210.5
Children and Youth Services,Column5,"4,315.7"
"Citizenship, Immigration and International Trade",Column5,158.6
Community and Social Services,Column5,"11,114.9"
Community Safety and Correctional Services1,Column5,"2,466.6"
"Economic Development, Employment and Infrastructure / Research and Innovation1",Column5,"1,219.9"
Education1,Column5,"25,230.7"
Energy1,Column5,322.9
Environment and Climate Change1,Column5,503.3
Executive Offices,Column5,33.8
Finance1,Column5,860.9
"Francophone Affairs, Office of",Column5,8.4
Government and Consumer Services,Column5,601.9
Health and Long-Term Care,Column5,"50,770.9"
Labour,Column5,310.5
Municipal Affairs and Housing1,Column5,920.0
Natural Resources and Forestry1,Column5,720.2
Northern Development and Mines,Column5,756.7
"Tourism, Culture and Sport1",Column5,"1,274.3"
"Training, Colleges and Universities",Column5,"7,809.7"
Transportation,Column5,"3,456.8"
Treasury Board Secretariat1,Column5,490.2
Interest on Debt3,Column5,"11,410.1"
Other Expense1,Column5,"5,541.5"
Program Review Savings Target,Column5,(490)
Year-End Savings4,Column5,"(1,000.00)"
Total Expense,Column5,"131,902.0"
"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.",Column5,"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense."
2 The 2014–15 amount includes projected expenses for the 2014 general election.,Column5,2 The 2014–15 amount includes projected expenses for the 2014 general election.
"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.",Column5,"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16."
"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.",Column5,"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans."
Note: Numbers may not add due to rounding.,Column5,Note: Numbers may not add due to rounding.
