Revenue Category,Revenue Item,variable,value
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual2016–17,334
Taxation Revenue,Other Taxes,Actual2016–17,453
Taxation Revenue,Total,Actual2016–17,94346
Government of Canada,Canada Health Transfer,Actual2016–17,13910
Government of Canada,Canada Social Transfer,Actual2016–17,5146
Government of Canada,Equalization,Actual2016–17,2304
Government of Canada,Infrastructure Programs,Actual2016–17,732
Government of Canada,Labour Market Programs,Actual2016–17,965
Government of Canada,Social Housing,Actual2016–17,441
Government of Canada,Other Federal Payments,Actual2016–17,761
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,Actual2016–17,285
Government of Canada,Total,Actual2016–17,24544
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual2016–17,2358
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual2016–17,2349
Income from Government Business Enterprises,Ontario Cannabis Retail Corporation,Actual2016–17,0
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.1,Actual2016–17,860
Income from Government Business Enterprises,Total,Actual2016–17,5567
Other Non-Tax Revenue,Reimbursements,Actual2016–17,988
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual2016–17,1727
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual2016–17,621
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual2016–17,838
Other Non-Tax Revenue,Sales and Rentals,Actual2016–17,1999
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual2016–17,0
Other Non-Tax Revenue,Other Fees and Licences,Actual2016–17,763
Other Non-Tax Revenue,Net Reduction of Power Purchase Contract Liability,Actual2016–17,129
Other Non-Tax Revenue,Royalties,Actual2016–17,272
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",Actual2016–17,7957
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual2016–17,983
Other Non-Tax Revenue,Total,Actual2016–17,16277
Total Revenue,,Actual2016–17,140734
Taxation Revenue,Personal Income Tax,Interim2017–18,32319
Taxation Revenue,Sales Taxes,Interim2017–18,25954
Taxation Revenue,Corporations Tax,Interim2017–18,15800
Taxation Revenue,Education Property Tax,Interim2017–18,5968
Taxation Revenue,Employer Health Tax,Interim2017–18,6184
Taxation Revenue,Ontario Health Premium,Interim2017–18,3679
Taxation Revenue,Gasoline Tax,Interim2017–18,2675
Taxation Revenue,Land Transfer Tax,Interim2017–18,3091
Taxation Revenue,Tobacco Tax,Interim2017–18,1251
Taxation Revenue,Fuel Tax,Interim2017–18,768
Taxation Revenue,"Beer, Wine and Spirits Taxes",Interim2017–18,607
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,Interim2017–18,0
Taxation Revenue,Electricity Payments in Lieu of Taxes,Interim2017–18,499
Taxation Revenue,Other Taxes,Interim2017–18,558
Taxation Revenue,Total,Interim2017–18,99353
Government of Canada,Canada Health Transfer,Interim2017–18,14359
Government of Canada,Canada Social Transfer,Interim2017–18,5314
Government of Canada,Equalization,Interim2017–18,1424
Government of Canada,Infrastructure Programs,Interim2017–18,1533
Government of Canada,Labour Market Programs,Interim2017–18,969
Government of Canada,Social Housing,Interim2017–18,412
Government of Canada,Other Federal Payments,Interim2017–18,1020
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,Interim2017–18,297
Government of Canada,Total,Interim2017–18,25328
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Interim2017–18,2509
Income from Government Business Enterprises,Liquor Control Board of Ontario,Interim2017–18,2196
Income from Government Business Enterprises,Ontario Cannabis Retail Corporation,Interim2017–18,-8
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.1,Interim2017–18,1445
Income from Government Business Enterprises,Total,Interim2017–18,6142
Other Non-Tax Revenue,Reimbursements,Interim2017–18,996
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Interim2017–18,1962
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Interim2017–18,604
Other Non-Tax Revenue,Power Supply Contract Recoveries,Interim2017–18,182
Other Non-Tax Revenue,Sales and Rentals,Interim2017–18,2439
Other Non-Tax Revenue,Carbon Allowance Proceeds,Interim2017–18,2395
Other Non-Tax Revenue,Other Fees and Licences,Interim2017–18,995
Other Non-Tax Revenue,Net Reduction of Power Purchase Contract Liability,Interim2017–18,74
Other Non-Tax Revenue,Royalties,Interim2017–18,297
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",Interim2017–18,8283
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Interim2017–18,1086
Other Non-Tax Revenue,Total,Interim2017–18,19313
Total Revenue,,Interim2017–18,150136
Taxation Revenue,Personal Income Tax,Plan2018–19,35612
Taxation Revenue,Sales Taxes,Plan2018–19,26808
Taxation Revenue,Corporations Tax,Plan2018–19,15137
Taxation Revenue,Education Property Tax,Plan2018–19,6076
Taxation Revenue,Employer Health Tax,Plan2018–19,6554
Taxation Revenue,Ontario Health Premium,Plan2018–19,3914
Taxation Revenue,Gasoline Tax,Plan2018–19,2699
Taxation Revenue,Land Transfer Tax,Plan2018–19,3142
Taxation Revenue,Tobacco Tax,Plan2018–19,1250
Taxation Revenue,Fuel Tax,Plan2018–19,784
Taxation Revenue,"Beer, Wine and Spirits Taxes",Plan2018–19,638
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,Plan2018–19,35
Taxation Revenue,Electricity Payments in Lieu of Taxes,Plan2018–19,369
Taxation Revenue,Other Taxes,Plan2018–19,563
Taxation Revenue,Total,Plan2018–19,103581
Government of Canada,Canada Health Transfer,Plan2018–19,14934
Government of Canada,Canada Social Transfer,Plan2018–19,5486
Government of Canada,Equalization,Plan2018–19,963
Government of Canada,Infrastructure Programs,Plan2018–19,1703
Government of Canada,Labour Market Programs,Plan2018–19,998
Government of Canada,Social Housing,Plan2018–19,386
Government of Canada,Other Federal Payments,Plan2018–19,1235
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,Plan2018–19,301
Government of Canada,Total,Plan2018–19,26006
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Plan2018–19,2245
Income from Government Business Enterprises,Liquor Control Board of Ontario,Plan2018–19,2234
Income from Government Business Enterprises,Ontario Cannabis Retail Corporation,Plan2018–19,-40
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.1,Plan2018–19,853
Income from Government Business Enterprises,Total,Plan2018–19,5292
Other Non-Tax Revenue,Reimbursements,Plan2018–19,995
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Plan2018–19,2003
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Plan2018–19,0
Other Non-Tax Revenue,Power Supply Contract Recoveries,Plan2018–19,183
Other Non-Tax Revenue,Sales and Rentals,Plan2018–19,1409
Other Non-Tax Revenue,Carbon Allowance Proceeds,Plan2018–19,1979
Other Non-Tax Revenue,Other Fees and Licences,Plan2018–19,1003
Other Non-Tax Revenue,Net Reduction of Power Purchase Contract Liability,Plan2018–19,41
Other Non-Tax Revenue,Royalties,Plan2018–19,295
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",Plan2018–19,8552
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Plan2018–19,1122
Other Non-Tax Revenue,Total,Plan2018–19,17582
Total Revenue,,Plan2018–19,152461
