Column1,2017FullCategory,2017FullSubcategory,variable,value
Column99,Attorney General, COVID‑19 Time-Limited Funding7,2018,
Column100,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",2018,42.0
Column101,Attorney General (Base),,2018,1700.0
Column102,COVID‑19 Health Response21,,2018,
Column103,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,2018,0.0
Column104,Children and Youth Services (Total),,2018,
Column105,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,2018,
Column106,Colleges and Universities, COVID‑19 Time-Limited Funding9,2018,
Column107,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,2018,209.0
Column108,Colleges and Universities, Student Financial Assistance,2018,1663.0
Column109,Colleges and Universities (Base),,2018,8595.0
Column110,Colleges and Universities6 (Total),,2018,10467.0
Column111,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,2018,
Column112,"Economic Development, Job Creation and Trade", Time-Limited Investments,2018,422.0
Column113,"Economic Development, Job Creation and Trade", Time-Limited Investments,2018,422.0
Column114,"Economic Development, Job Creation and Trade (Base)",,2018,418.0
Column115,"Economic Development, Job Creation and Trade (Base)",,2018,418.0
Column116,"Economic Development, Job Creation and Trade (Total)",,2018,840.0
Column117,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,2018,840.0
Column118,"Economic Development, Job Creation and Trade (Total)",,2018,840.0
Column119,Education, COVID‑19 Time-Limited Funding12,2018,
Column120,Education (Base),,2018,27265.0
Column121,Emergency Forest Firefighting,,2018,
Column122,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,2018,
Column123,"Energy, Northern Development and Mines    (Base)13",,2018,
Column124,"Energy, Northern Development and Mines (Base)8",,2018,1283.0
Column125,"Energy, Northern Development and Mines (Base)8",,2018,1283.0
Column126,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,2018,
Column127,"Environment, Conservation and Parks", Time-Limited Investments,2018,145.0
Column128,"Environment, Conservation and Parks (Base)",,2018,706.0
Column129,"Environment, Conservation and Parks (Base)",,2018,706.0
Column130,"Environment, Conservation and Parks (Base)",,2018,706.0
Column131,"Environment, Conservation and Parks (Base)",,2018,706.0
Column132,"Environment, Conservation and Parks (Total)",,2018,851.0
Column133,"Environment, Conservation and Parks (Total)",,2018,851.0
Column134,"Environment, Conservation and Parks (Total)",,2018,851.0
Column135,"Environment, Conservation and Parks (Total)",,2018,851.0
Column136,Executive Offices, Disaster Relief,2018,
Column137,Executive Offices (Base),,2018,37.0
Column138,Executive Offices (Base),,2018,37.0
Column139,Finance, COVID‑19 Response: Support for People and Jobs Fund,2018,0.0
Column140,Finance, Time-Limited Investments,2018,0.0
Column141,Finance, Investment Management Corporation of Ontario9,2018,0.0
Column142,Finance, COVID‑19 Time-Limited Funding17,2018,
Column143,Finance (Base),,2018,843.0
Column144,Francophone Affairs, COVID‑19 Time-Limited Funding18,2018,
Column145,Francophone Affairs (Base),,2018,
Column146,Francophone Affairs (Total),,2018,6.0
Column147,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,2018,
Column148,Health (Total),,2018,54982.0
Column149,Health (Total)20,,2018,
Column150,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,2018,
Column151,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,2018,509.0
Column152,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,2018,145.0
Column153,"Heritage, Sport, Tourism and Culture Industries (Base)",,2018,940.0
Column154,"Heritage, Sport, Tourism and Culture Industries (Base)",,2018,940.0
Column155,"Heritage, Sport, Tourism and Culture Industries (Base)",,2018,940.0
Column156,"Heritage, Sport, Tourism and Culture Industries (Base)",,2018,940.0
Column157,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2018,1594.0
Column158,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2018,1594.0
Column159,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2018,1594.0
Column160,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2018,1594.0
Column161,Indigenous Affairs, One-Time Investments including Settlements,2018,1122.0
Column162,Indigenous Affairs, COVID‑19 Time-Limited Funding23,2018,
Column163,Indigenous Affairs (Base),,2018,86.0
Column164,Indigenous Affairs (Total),,2018,1208.0
Column165,Infrastructure, Municipal Infrastructure Program Investments12,2018,0.0
Column166,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),2018,0.0
Column167,Infrastructure, COVID‑19 Time-Limited Funding26,2018,
Column168,Infrastructure (Base),,2018,227.0
Column169,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,2018,
Column170,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,2018,
Column171,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,2018,916.0
Column172,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,2018,208.0
Column173,"Labour, Training and Skills Development (Base)",,2018,128.0
Column174,"Labour, Training and Skills Development (Base)",,2018,128.0
Column175,"Labour, Training and Skills Development14 (Total)",,2018,1253.0
Column176,"Labour, Training and Skills Development14 (Total)",,2018,1253.0
Column177,Long-Term Care (Total),,2018,4163.0
Column178,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,2018,
Column179,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,2018,392.0
Column180,Municipal Affairs and Housing, Safe Restart Agreement,2018,0.0
Column181,Municipal Affairs and Housing (Base),,2018,417.0
Column182,Municipal Affairs and Housing (Base),,2018,417.0
Column183,Municipal Affairs and Housing (Base),,2018,417.0
Column184,Municipal Affairs and Housing (Base),,2018,417.0
Column185,Natural Resources and Forestry (Base),,2018,609.0
Column186,Natural Resources and Forestry (Base),,2018,609.0
Column187,Natural Resources and Forestry (Base),,2018,609.0
Column188,Natural Resources and Forestry (Base),,2018,609.0
Column189,Natural Resources and Forestry (Base),,2018,609.0
Column190,Natural Resources and Forestry (Base),,2018,609.0
Column191,Natural Resources and Forestry (Base),,2018,609.0
Column192,Natural Resources and Forestry (Base),,2018,609.0
Column193,PRRT Savings,,2018,
Column194,Seniors and Accessibility, Time-Limited Investments,2018,0.0
Column195,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,2018,
Column196,Seniors and Accessibility (Base),,2018,48.0
Column197,Seniors and Accessibility (Total),,2018,48.0
Column198,Solicitor    General, COVID‑19 Time-Limited Funding34,2018,
Column199,Solicitor    General (Base),,2018,
Column200,Solicitor General (Total),,2018,2561.0
Column201,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,2018,
Column202,Transportation, COVID‑19 Time-Limited Funding36,2018,
Column203,Transportation, Federal–Provincial Infrastructure Programs,2018,404.0
Column204,Transportation, Safe Restart Agreement,2018,0.0
Column205,Transportation (Base),,2018,4184.0
Column206,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,2018,
Column207,Treasury Board Secretariat (Base),,2018,194.0
Column208,Treasury Board Secretariat (Base),,2018,194.0
Column209,Treasury Board Secretariat (Base),,2018,194.0
Column210,Treasury Board Secretariat (Base),,2018,194.0
Column211,Treasury Board Secretariat (Base),,2018,194.0
Column212,Treasury Board Secretariat (Base),,2018,194.0
Column213,Treasury Board Secretariat (Base),,2018,194.0
Column214,Treasury Board Secretariat (Base),,2018,194.0
Column215,"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",2018,
Column216,"Agriculture, Food and Rural Affairs",Time-Limited Assistance,2018,
Column217,"Children, Community and Social Services",Community and Social Services (Base),2018,
Column218,Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),2018,
Column219,"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",2018,
Column220,"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,2018,
Column221,"Economic Development and Growth / Research, Innovation and Science (Total)",,2018,
Column222,Education,Education (Base),2018,
Column223,"Energy, Northern Development and Mines",Energy (Base),2018,
Column224,"Energy, Northern Development and Mines",Green Investment Fund Initiatives,2018,
Column225,Environment and Climate Change,Environment and Climate Change (Base),2018,
Column226,Environment and Climate Change,Green Investment Fund Initiatives,2018,
Column227,Environment and Climate Change (Total),,2018,
Column228,Executive Offices,Executive Offices (Base),2018,
Column229,Finance,Finance (Base),2018,
Column230,"Francophone Affairs, Office of (Total)",,2018,
Column231,Health and Long-Term Care,Health and Long-Term Care (Base),2018,
Column232,Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,2018,
Column233,Health and Long-Term Care (Total),,2018,
Column234,Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),2018,
Column235,Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,2018,
Column236,Indigenous Relations and Reconciliation,One-Time Investments including Settlements,2018,
Column237,Indigenous Relations and Reconciliation (Total),,2018,
Column238,Infrastructure,Infrastructure (Base),2018,
Column239,Labour (Total),,2018,
Column240,Municipal Affairs / Housing,Municipal Affairs / Housing (Base),2018,
Column241,Municipal Affairs / Housing,Green Investment Fund Initiatives,2018,
Column242,Natural Resources and Forestry,Natural Resources and Forestry (Base),2018,
Column243,"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",2018,
Column244,"Tourism, Culture and Sport (Total)",,2018,
Column245,Transportation,Transportation (Base),2018,
Column246,Transportation,Green Investment Fund Initiatives,2018,
Column247,Treasury Board Secretariat,Treasury Board Secretariat (Base),2018,
Column2,Accessibility Directorate of Ontario (Total),,2019,
Column3,Advanced Education and Skills Development (Total),,2019,
Column4,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,2019,
Column5,Attorney General (Total),,2019,1787.0
Column6,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,2019,
Column7,"Children, Community and Social Services (Total)",,2019,16841.0
Column8,"Children, Community and Social Services (Total)",,2019,16841.0
Column9,"Children, Community and Social Services (Total)",,2019,16841.0
Column10,"Children, Community and Social Services (Total)",,2019,16841.0
Column11,"Children, Community and Social Services (Total)",,2019,16841.0
Column12,"Children, Community and Social Services (Total)",,2019,16841.0
Column13,"Children, Community and Social Services (Total)",,2019,16841.0
Column14,"Children, Community and Social Services (Total)",,2019,16841.0
Column15,Citizenship and Immigration (Total),,2019,
Column16,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,2019,
Column17,Community Safety and Correctional Services (Total),,2019,
Column18,Education (Total),,2019,30424.0
Column19,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,2019,
Column20,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,2019,
Column21,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,2019,4243.0
Column22,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column23,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column24,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column25,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column26,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column27,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column28,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column29,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column30,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column31,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column32,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column33,"Energy, Northern Development and Mines (Total)",,2019,5605.0
Column34,Executive Offices, Time-Limited Assistance,2019,0.0
Column35,Executive Offices (Total),,2019,34.0
Column36,Executive Offices (Total),,2019,34.0
Column37,Finance, Ontario Municipal Partnership Fund,2019,510.0
Column38,Finance, Power Supply Contract Costs,2019,173.0
Column39,Finance (Total),,2019,1636.0
Column40,Government and Consumer Services (Total),,2019,1664.0
Column41,Government and Consumer Services (Total),,2019,1664.0
Column42,Infrastructure, Federal–Provincial Infrastructure Programs,2019,352.0
Column43,Infrastructure (Total),,2019,513.0
Column44,International Trade (Total),,2019,
Column45,Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",2019,
Column46,Natural Resources and Forestry, Emergency Forest Firefighting,2019,208.0
Column47,Natural Resources and Forestry (Total),,2019,713.0
Column48,Natural Resources and Forestry (Total),,2019,713.0
Column49,Natural Resources and Forestry (Total),,2019,713.0
Column50,Natural Resources and Forestry (Total),,2019,713.0
Column51,Natural Resources and Forestry (Total),,2019,713.0
Column52,Natural Resources and Forestry (Total),,2019,713.0
Column53,Natural Resources and Forestry (Total),,2019,713.0
Column54,Natural Resources and Forestry (Total),,2019,713.0
Column55,Seniors Affairs (Total),,2019,
Column56,Status of Women (Total),,2019,
Column57,Total Expense,,2019,161135.0
Column58,Transportation, Time-Limited Investments in Infrastructure,2019,
Column59,Transportation (Total),,2019,4840.0
Column60,Treasury Board Secretariat, Capital Contingency Fund,2019,0.0
Column61,Treasury Board Secretariat, Operating Contingency Fund,2019,0.0
Column62,Treasury Board Secretariat (Total),,2019,1365.0
Column63,Treasury Board Secretariat (Total),,2019,1365.0
Column64,Treasury Board Secretariat (Total),,2019,1365.0
Column65,Treasury Board Secretariat (Total),,2019,1365.0
Column66,Treasury Board Secretariat (Total),,2019,1365.0
Column67,Treasury Board Secretariat (Total),,2019,1365.0
Column68,Treasury Board Secretariat (Total),,2019,1365.0
Column69,Treasury Board Secretariat (Total),,2019,1365.0
Column70,Treasury Board Secretariat, Employee and Pensioner Benefits17,2019,1165.0
Column71,Board of Internal Economy (Total),,2019,371.0
Column72,Year-End Savings,,2019,
Column73,Education, Teachers’ Pension Plan,2019,1678.0
Column74,Municipal Affairs and Housing, Time-Limited Investments,2019,636.0
Column75,Interest on Debt18,,2019,12384.0
Column76,Municipal Affairs and Housing (Total),,2019,1478.0
Column77,Municipal Affairs and Housing (Total),,2019,1478.0
Column78,Municipal Affairs and Housing (Total),,2019,1478.0
Column79,Municipal Affairs and Housing (Total),,2019,1478.0
Column80,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,2019,
Column81,"Agriculture, Food and Rural Affairs (Total)5",,2019,1065.0
Column82,"Agriculture, Food and Rural Affairs (Total)5",,2019,1065.0
Column83,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column84,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column85,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column86,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column87,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column88,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column89,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column90,"Agriculture, Food and Rural Affairs (Base)",,2019,330.0
Column91,Community Safety and Correctional Services (Base),,2019,
Column92,Government and Consumer Services, Realty,2019,1012.0
Column93,Government and Consumer Services (Base),,2019,651.0
Column94,Government and Consumer Services (Base),,2019,651.0
Column95,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,2019,
Column96,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,2019,96.0
Column97,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,2019,257.0
Column98,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,2019,383.0
Column99,Attorney General, COVID‑19 Time-Limited Funding7,2019,
Column100,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",2019,17.0
Column101,Attorney General (Base),,2019,1771.0
Column102,COVID‑19 Health Response21,,2019,
Column103,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,2019,0.0
Column104,Children and Youth Services (Total),,2019,
Column105,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,2019,
Column106,Colleges and Universities, COVID‑19 Time-Limited Funding9,2019,
Column107,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,2019,119.0
Column108,Colleges and Universities, Student Financial Assistance,2019,2043.0
Column109,Colleges and Universities (Base),,2019,9030.0
Column110,Colleges and Universities6 (Total),,2019,11192.0
Column111,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,2019,
Column112,"Economic Development, Job Creation and Trade", Time-Limited Investments,2019,430.0
Column113,"Economic Development, Job Creation and Trade", Time-Limited Investments,2019,430.0
Column114,"Economic Development, Job Creation and Trade (Base)",,2019,356.0
Column115,"Economic Development, Job Creation and Trade (Base)",,2019,356.0
Column116,"Economic Development, Job Creation and Trade (Total)",,2019,786.0
Column117,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,2019,786.0
Column118,"Economic Development, Job Creation and Trade (Total)",,2019,786.0
Column119,Education, COVID‑19 Time-Limited Funding12,2019,
Column120,Education (Base),,2019,28746.0
Column121,Emergency Forest Firefighting,,2019,
Column122,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,2019,
Column123,"Energy, Northern Development and Mines    (Base)13",,2019,
Column124,"Energy, Northern Development and Mines (Base)8",,2019,1362.0
Column125,"Energy, Northern Development and Mines (Base)8",,2019,1362.0
Column126,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,2019,
Column127,"Environment, Conservation and Parks", Time-Limited Investments,2019,223.0
Column128,"Environment, Conservation and Parks (Base)",,2019,464.0
Column129,"Environment, Conservation and Parks (Base)",,2019,464.0
Column130,"Environment, Conservation and Parks (Base)",,2019,464.0
Column131,"Environment, Conservation and Parks (Base)",,2019,464.0
Column132,"Environment, Conservation and Parks (Total)",,2019,687.0
Column133,"Environment, Conservation and Parks (Total)",,2019,687.0
Column134,"Environment, Conservation and Parks (Total)",,2019,687.0
Column135,"Environment, Conservation and Parks (Total)",,2019,687.0
Column136,Executive Offices, Disaster Relief,2019,
Column137,Executive Offices (Base),,2019,34.0
Column138,Executive Offices (Base),,2019,34.0
Column139,Finance, COVID‑19 Response: Support for People and Jobs Fund,2019,0.0
Column140,Finance, Time-Limited Investments,2019,0.0
Column141,Finance, Investment Management Corporation of Ontario9,2019,67.0
Column142,Finance, COVID‑19 Time-Limited Funding17,2019,
Column143,Finance (Base),,2019,885.0
Column144,Francophone Affairs, COVID‑19 Time-Limited Funding18,2019,
Column145,Francophone Affairs (Base),,2019,
Column146,Francophone Affairs (Total),,2019,6.0
Column147,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,2019,
Column148,Health (Total),,2019,57573.0
Column149,Health (Total)20,,2019,
Column150,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,2019,
Column151,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,2019,588.0
Column152,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,2019,40.0
Column153,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019,935.0
Column154,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019,935.0
Column155,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019,935.0
Column156,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019,935.0
Column157,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019,1562.0
Column158,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019,1562.0
Column159,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019,1562.0
Column160,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019,1562.0
Column161,Indigenous Affairs, One-Time Investments including Settlements,2019,215.0
Column162,Indigenous Affairs, COVID‑19 Time-Limited Funding23,2019,
Column163,Indigenous Affairs (Base),,2019,75.0
Column164,Indigenous Affairs (Total),,2019,290.0
Column165,Infrastructure, Municipal Infrastructure Program Investments12,2019,0.0
Column166,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),2019,0.0
Column167,Infrastructure, COVID‑19 Time-Limited Funding26,2019,
Column168,Infrastructure (Base),,2019,161.0
Column169,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,2019,
Column170,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,2019,
Column171,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,2019,943.0
Column172,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,2019,183.0
Column173,"Labour, Training and Skills Development (Base)",,2019,130.0
Column174,"Labour, Training and Skills Development (Base)",,2019,130.0
Column175,"Labour, Training and Skills Development14 (Total)",,2019,1257.0
Column176,"Labour, Training and Skills Development14 (Total)",,2019,1257.0
Column177,Long-Term Care (Total),,2019,4329.0
Column178,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,2019,
Column179,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,2019,367.0
Column180,Municipal Affairs and Housing, Safe Restart Agreement,2019,0.0
Column181,Municipal Affairs and Housing (Base),,2019,475.0
Column182,Municipal Affairs and Housing (Base),,2019,475.0
Column183,Municipal Affairs and Housing (Base),,2019,475.0
Column184,Municipal Affairs and Housing (Base),,2019,475.0
Column185,Natural Resources and Forestry (Base),,2019,505.0
Column186,Natural Resources and Forestry (Base),,2019,505.0
Column187,Natural Resources and Forestry (Base),,2019,505.0
Column188,Natural Resources and Forestry (Base),,2019,505.0
Column189,Natural Resources and Forestry (Base),,2019,505.0
Column190,Natural Resources and Forestry (Base),,2019,505.0
Column191,Natural Resources and Forestry (Base),,2019,505.0
Column192,Natural Resources and Forestry (Base),,2019,505.0
Column193,PRRT Savings,,2019,
Column194,Seniors and Accessibility, Time-Limited Investments,2019,0.0
Column195,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,2019,
Column196,Seniors and Accessibility (Base),,2019,52.0
Column197,Seniors and Accessibility (Total),,2019,52.0
