Category,Subcategory,variable,value
Government    and Consumer Services, COVID‑19 Time-Limited Funding19,Actual                 2018–19,0
Government    and Consumer Services (Total),,Actual                 2018–19,1718
Health (Total)20,,Actual                 2018–19,57566
COVID‑19 Health Response21,,Actual                 2018–19,0
"Heritage,    Sport, Tourism and Culture Industries (Base)",,Actual                 2018–19,934
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Actual                 2018–19,588
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits –    Amounts Related to Prior Years,Actual                 2018–19,40
"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,Actual                 2018–19,0
"Heritage,    Sport, Tourism and Culture Industries (Total)",,Actual                 2018–19,1562
Indigenous Affairs (Base),,Actual                 2018–19,75
Indigenous Affairs, One-Time Investments including Settlements,Actual                 2018–19,215
Indigenous Affairs, COVID‑19 Time-Limited Funding23,Actual                 2018–19,0
Indigenous Affairs (Total),,Actual                 2018–19,289
Infrastructure    (Base),,Actual                 2018–19,161
Infrastructure, Federal–Provincial Infrastructure    Programs24,Actual                 2018–19,352
Infrastructure, Waterfront Toronto Revitalization (Port    Lands Flood Protection),Actual                 2018–19,0
Infrastructure, Municipal Infrastructure Program    Investments25,Actual                 2018–19,0
Infrastructure, COVID‑19 Time-Limited Funding26,Actual                 2018–19,0
Infrastructure    (Total),,Actual                 2018–19,512
"Labour, Training and Skills Development    (Base)",,Actual                 2018–19,175
"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,Actual                 2018–19,183
"Labour, Training and Skills Development", Demand-Driven Employment and Training    Programs,Actual                 2018–19,943
"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,Actual                 2018–19,0
"Labour, Training and Skills Development    (Total)",,Actual                 2018–19,1301
Long-Term    Care (Total)29,,Actual                 2018–19,4329
Municipal Affairs and Housing (Base),,Actual                 2018–19,474
Municipal Affairs and Housing, Safe Restart Agreement30,Actual                 2018–19,0
Municipal Affairs and Housing, Time-Limited Investments,Actual                 2018–19,636
Municipal Affairs and Housing, Social Housing Agreement – Payments to    Service Managers31,Actual                 2018–19,367
Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,Actual                 2018–19,0
Municipal Affairs and Housing (Total),,Actual                 2018–19,1477
Natural    Resources and Forestry (Base),,Actual                 2018–19,500
Natural    Resources and Forestry, Emergency Forest Firefighting,Actual                 2018–19,208
Natural    Resources and Forestry (Total),,Actual                 2018–19,708
Seniors and Accessibility (Base),,Actual                 2018–19,51
Seniors and Accessibility, Time-Limited Investments,Actual                 2018–19,0
Seniors and Accessibility, COVID‑19 Time-Limited Funding33,Actual                 2018–19,0
Seniors and Accessibility (Total),,Actual                 2018–19,51
Solicitor    General (Base),,Actual                 2018–19,2670
Solicitor    General, COVID‑19 Time-Limited Funding34,Actual                 2018–19,0
Solicitor    General (Total),,Actual                 2018–19,2670
Transportation (Base),,Actual                 2018–19,4536
Transportation, Safe Restart Agreement,Actual                 2018–19,0
Transportation, Federal–Provincial Infrastructure Programs,Actual                 2018–19,297
Transportation, COVID‑19 Time-Limited Funding36,Actual                 2018–19,0
Transportation (Total),,Actual                 2018–19,4833
Treasury Board Secretariat (Base),,Actual                 2018–19,227
Treasury Board Secretariat, Employee and Pensioner Benefits37,Actual                 2018–19,1165
Treasury Board Secretariat, Operating Contingency Fund,Actual                 2018–19,0
Treasury Board Secretariat, Capital Contingency Fund,Actual                 2018–19,0
Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,Actual                 2018–19,0
Treasury Board Secretariat (Total),,Actual                 2018–19,1392
Interest    on Debt39,,Actual                 2018–19,12384
Total    Expense,,Actual                 2018–19,161135
"Agriculture, Food and Rural Affairs (Base)",,Actual                 2019–20,297
"Agriculture, Food and Rural Affairs", Federal–Provincial Infrastructure Programs3,Actual                 2019–20,94
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments4,Actual                 2019–20,222
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and    Time-Limited Programs5,Actual                 2019–20,518
"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,Actual                 2019–20,0
"Agriculture, Food and Rural Affairs (Total)",,Actual                 2019–20,1130
Attorney General (Base),,Actual                 2019–20,1734
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Actual                 2019–20,192
Attorney General, COVID‑19 Time-Limited Funding7,Actual                 2019–20,0
Attorney General (Total),,Actual                 2019–20,1927
Board of Internal Economy (Total),,Actual                 2019–20,257
"Children, Community and Social Services    (Base)",,Actual                 2019–20,17070
"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,Actual                 2019–20,0
"Children, Community and Social Services    (Total)",,Actual                 2019–20,17070
Colleges and Universities (Base),,Actual                 2019–20,9220
Colleges and Universities, Student Financial Assistance,Actual                 2019–20,1296
Colleges and Universities, Time-Limited Infrastructure Funding under    the Strategic Investment Fund,Actual                 2019–20,2
Colleges and Universities, COVID‑19 Time-Limited Funding9,Actual                 2019–20,0
Colleges and Universities (Total),,Actual                 2019–20,10519
"Economic Development, Job Creation and Trade    (Base)",,Actual                 2019–20,315
"Economic Development, Job Creation and Trade", Time-Limited Investments,Actual                 2019–20,263
"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,Actual                 2019–20,0
"Economic Development, Job Creation and Trade    (Total)",,Actual                 2019–20,579
Education (Base),,Actual                 2019–20,30177
Education, Teachers’ Pension Plan,Actual                 2019–20,1570
Education, COVID‑19 Time-Limited Funding12,Actual                 2019–20,0
Education (Total),,Actual                 2019–20,31748
"Energy, Northern Development and Mines    (Base)13",,Actual                 2019–20,1099
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual                 2019–20,5484
"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,Actual                 2019–20,0
"Energy, Northern Development and Mines    (Total)",,Actual                 2019–20,6583
"Environment, Conservation and Parks (Base)",,Actual                 2019–20,612
"Environment, Conservation and Parks", Time-Limited Investments,Actual                 2019–20,2
"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,Actual                 2019–20,0
"Environment, Conservation and Parks (Total)",,Actual                 2019–20,614
Executive Offices (Base),,Actual                 2019–20,32
Executive Offices, Time-Limited Assistance,Actual                 2019–20,0
Executive Offices (Total),,Actual                 2019–20,32
Finance    (Base),,Actual                 2019–20,804
Finance, Investment Management Corporation of    Ontario16,Actual                 2019–20,88
Finance, Ontario Municipal Partnership Fund,Actual                 2019–20,503
Finance, Power Supply Contract Costs,Actual                 2019–20,122
Finance, COVID‑19 Response: Support for People    and Jobs Fund,Actual                 2019–20,0
Finance, COVID‑19 Time-Limited Funding17,Actual                 2019–20,0
Finance    (Total),,Actual                 2019–20,1518
Francophone Affairs (Base),,Actual                 2019–20,5
Francophone Affairs, COVID‑19 Time-Limited Funding18,Actual                 2019–20,0
Francophone Affairs (Total),,Actual                 2019–20,5
Government    and Consumer Services (Base),,Actual                 2019–20,683
Government    and Consumer Services, Realty,Actual                 2019–20,924
Government    and Consumer Services, COVID‑19 Time-Limited Funding19,Actual                 2019–20,0
Government    and Consumer Services (Total),,Actual                 2019–20,1607
Health (Total)20,,Actual                 2019–20,59286
COVID‑19 Health Response21,,Actual                 2019–20,0
"Heritage,    Sport, Tourism and Culture Industries (Base)",,Actual                 2019–20,907
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Actual                 2019–20,656
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits –    Amounts Related to Prior Years,Actual                 2019–20,80
"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,Actual                 2019–20,0
"Heritage,    Sport, Tourism and Culture Industries (Total)",,Actual                 2019–20,1643
Indigenous Affairs (Base),,Actual                 2019–20,71
Indigenous Affairs, One-Time Investments including Settlements,Actual                 2019–20,16
Indigenous Affairs, COVID‑19 Time-Limited Funding23,Actual                 2019–20,0
Indigenous Affairs (Total),,Actual                 2019–20,86
Infrastructure    (Base),,Actual                 2019–20,81
Infrastructure, Federal–Provincial Infrastructure    Programs24,Actual                 2019–20,160
Infrastructure, Waterfront Toronto Revitalization (Port    Lands Flood Protection),Actual                 2019–20,116
Infrastructure, Municipal Infrastructure Program    Investments25,Actual                 2019–20,0
Infrastructure, COVID‑19 Time-Limited Funding26,Actual                 2019–20,0
Infrastructure    (Total),,Actual                 2019–20,358
"Labour, Training and Skills Development    (Base)",,Actual                 2019–20,121
"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,Actual                 2019–20,152
"Labour, Training and Skills Development", Demand-Driven Employment and Training    Programs,Actual                 2019–20,922
"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,Actual                 2019–20,0
"Labour, Training and Skills Development    (Total)",,Actual                 2019–20,1194
Long-Term    Care (Total)29,,Actual                 2019–20,4423
Municipal Affairs and Housing (Base),,Actual                 2019–20,540
Municipal Affairs and Housing, Safe Restart Agreement30,Actual                 2019–20,0
Municipal Affairs and Housing, Time-Limited Investments,Actual                 2019–20,317
Municipal Affairs and Housing, Social Housing Agreement – Payments to    Service Managers31,Actual                 2019–20,341
Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,Actual                 2019–20,0
Municipal Affairs and Housing (Total),,Actual                 2019–20,1197
Natural    Resources and Forestry (Base),,Actual                 2019–20,529
Natural    Resources and Forestry, Emergency Forest Firefighting,Actual                 2019–20,136
Natural    Resources and Forestry (Total),,Actual                 2019–20,665
Seniors and Accessibility (Base),,Actual                 2019–20,52
Seniors and Accessibility, Time-Limited Investments,Actual                 2019–20,0
Seniors and Accessibility, COVID‑19 Time-Limited Funding33,Actual                 2019–20,0
Seniors and Accessibility (Total),,Actual                 2019–20,52
Solicitor    General (Base),,Actual                 2019–20,2763
Solicitor    General, COVID‑19 Time-Limited Funding34,Actual                 2019–20,0
Solicitor    General (Total),,Actual                 2019–20,2763
Transportation (Base),,Actual                 2019–20,4950
Transportation, Safe Restart Agreement,Actual                 2019–20,0
Transportation, Federal–Provincial Infrastructure Programs,Actual                 2019–20,188
Transportation, COVID‑19 Time-Limited Funding36,Actual                 2019–20,0
Transportation (Total),,Actual                 2019–20,5138
Treasury Board Secretariat (Base),,Actual                 2019–20,214
Treasury Board Secretariat, Employee and Pensioner Benefits37,Actual                 2019–20,1665
Treasury Board Secretariat, Operating Contingency Fund,Actual                 2019–20,0
Treasury Board Secretariat, Capital Contingency Fund,Actual                 2019–20,0
Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,Actual                 2019–20,0
Treasury Board Secretariat (Total),,Actual                 2019–20,1879
Interest    on Debt39,,Actual                 2019–20,12495
Total    Expense,,Actual                 2019–20,164768
"Agriculture, Food and Rural Affairs (Base)",,Interim2                 2020‑21,301
"Agriculture, Food and Rural Affairs", Federal–Provincial Infrastructure Programs3,Interim2                 2020‑21,0
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments4,Interim2                 2020‑21,0
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and    Time-Limited Programs5,Interim2                 2020‑21,392
"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,Interim2                 2020‑21,83
"Agriculture, Food and Rural Affairs (Total)",,Interim2                 2020‑21,777
Attorney General (Base),,Interim2                 2020‑21,1645
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Interim2                 2020‑21,26
Attorney General, COVID‑19 Time-Limited Funding7,Interim2                 2020‑21,32
Attorney General (Total),,Interim2                 2020‑21,1703
Board of Internal Economy (Total),,Interim2                 2020‑21,280
"Children, Community and Social Services    (Base)",,Interim2                 2020‑21,17736
"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,Interim2                 2020‑21,88
"Children, Community and Social Services    (Total)",,Interim2                 2020‑21,17824
Colleges and Universities (Base),,Interim2                 2020‑21,9375
Colleges and Universities, Student Financial Assistance,Interim2                 2020‑21,895
Colleges and Universities, Time-Limited Infrastructure Funding under    the Strategic Investment Fund,Interim2                 2020‑21,0
Colleges and Universities, COVID‑19 Time-Limited Funding9,Interim2                 2020‑21,0
Colleges and Universities (Total),,Interim2                 2020‑21,10270
"Economic Development, Job Creation and Trade    (Base)",,Interim2                 2020‑21,358
"Economic Development, Job Creation and Trade", Time-Limited Investments,Interim2                 2020‑21,262
"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,Interim2                 2020‑21,3508
"Economic Development, Job Creation and Trade    (Total)",,Interim2                 2020‑21,4128
Education (Base),,Interim2                 2020‑21,30561
Education, Teachers’ Pension Plan,Interim2                 2020‑21,1608
Education, COVID‑19 Time-Limited Funding12,Interim2                 2020‑21,1573
Education (Total),,Interim2                 2020‑21,33742
"Energy, Northern Development and Mines    (Base)13",,Interim2                 2020‑21,1034
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Interim2                 2020‑21,5903
"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,Interim2                 2020‑21,460
"Energy, Northern Development and Mines    (Total)",,Interim2                 2020‑21,7396
"Environment, Conservation and Parks (Base)",,Interim2                 2020‑21,628
"Environment, Conservation and Parks", Time-Limited Investments,Interim2                 2020‑21,0
"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,Interim2                 2020‑21,15
"Environment, Conservation and Parks (Total)",,Interim2                 2020‑21,643
Executive Offices (Base),,Interim2                 2020‑21,38
Executive Offices, Time-Limited Assistance,Interim2                 2020‑21,2
Executive Offices (Total),,Interim2                 2020‑21,40
Finance    (Base),,Interim2                 2020‑21,804
Finance, Investment Management Corporation of    Ontario16,Interim2                 2020‑21,141
Finance, Ontario Municipal Partnership Fund,Interim2                 2020‑21,502
Finance, Power Supply Contract Costs,Interim2                 2020‑21,114
Finance, COVID‑19 Response: Support for People    and Jobs Fund,Interim2                 2020‑21,0
Finance, COVID‑19 Time-Limited Funding17,Interim2                 2020‑21,376
Finance    (Total),,Interim2                 2020‑21,1937
Francophone Affairs (Base),,Interim2                 2020‑21,6
Francophone Affairs, COVID‑19 Time-Limited Funding18,Interim2                 2020‑21,1
Francophone Affairs (Total),,Interim2                 2020‑21,7
Government    and Consumer Services (Base),,Interim2                 2020‑21,717
Government    and Consumer Services, Realty,Interim2                 2020‑21,1234
Government    and Consumer Services, COVID‑19 Time-Limited Funding19,Interim2                 2020‑21,407
Government    and Consumer Services (Total),,Interim2                 2020‑21,2359
Health (Total)20,,Interim2                 2020‑21,61159
COVID‑19 Health Response21,,Interim2                 2020‑21,8410
"Heritage,    Sport, Tourism and Culture Industries (Base)",,Interim2                 2020‑21,889
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Interim2                 2020‑21,512
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits –    Amounts Related to Prior Years,Interim2                 2020‑21,65
"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,Interim2                 2020‑21,66
"Heritage,    Sport, Tourism and Culture Industries (Total)",,Interim2                 2020‑21,1531
Indigenous Affairs (Base),,Interim2                 2020‑21,83
Indigenous Affairs, One-Time Investments including Settlements,Interim2                 2020‑21,165
Indigenous Affairs, COVID‑19 Time-Limited Funding23,Interim2                 2020‑21,14
Indigenous Affairs (Total),,Interim2                 2020‑21,261
Infrastructure    (Base),,Interim2                 2020‑21,155
Infrastructure, Federal–Provincial Infrastructure    Programs24,Interim2                 2020‑21,235
Infrastructure, Waterfront Toronto Revitalization (Port    Lands Flood Protection),Interim2                 2020‑21,103
Infrastructure, Municipal Infrastructure Program    Investments25,Interim2                 2020‑21,198
Infrastructure, COVID‑19 Time-Limited Funding26,Interim2                 2020‑21,0
Infrastructure    (Total),,Interim2                 2020‑21,691
"Labour, Training and Skills Development    (Base)",,Interim2                 2020‑21,154
"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,Interim2                 2020‑21,98
"Labour, Training and Skills Development", Demand-Driven Employment and Training    Programs,Interim2                 2020‑21,1473
"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,Interim2                 2020‑21,65
"Labour, Training and Skills Development    (Total)",,Interim2                 2020‑21,1790
Long-Term    Care (Total)29,,Interim2                 2020‑21,5582
Municipal Affairs and Housing (Base),,Interim2                 2020‑21,483
Municipal Affairs and Housing, Safe Restart Agreement30,Interim2                 2020‑21,1900
Municipal Affairs and Housing, Time-Limited Investments,Interim2                 2020‑21,255
Municipal Affairs and Housing, Social Housing Agreement – Payments to    Service Managers31,Interim2                 2020‑21,314
Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,Interim2                 2020‑21,797
Municipal Affairs and Housing (Total),,Interim2                 2020‑21,3749
Natural    Resources and Forestry (Base),,Interim2                 2020‑21,556
Natural    Resources and Forestry, Emergency Forest Firefighting,Interim2                 2020‑21,120
Natural    Resources and Forestry (Total),,Interim2                 2020‑21,676
Seniors and Accessibility (Base),,Interim2                 2020‑21,56
Seniors and Accessibility, Time-Limited Investments,Interim2                 2020‑21,126
Seniors and Accessibility, COVID‑19 Time-Limited Funding33,Interim2                 2020‑21,26
Seniors and Accessibility (Total),,Interim2                 2020‑21,209
Solicitor    General (Base),,Interim2                 2020‑21,2923
Solicitor    General, COVID‑19 Time-Limited Funding34,Interim2                 2020‑21,48
Solicitor    General (Total),,Interim2                 2020‑21,2971
Transportation (Base),,Interim2                 2020‑21,5016
Transportation, Safe Restart Agreement,Interim2                 2020‑21,2000
Transportation, Federal–Provincial Infrastructure Programs,Interim2                 2020‑21,755
Transportation, COVID‑19 Time-Limited Funding36,Interim2                 2020‑21,175
Transportation (Total),,Interim2                 2020‑21,7946
Treasury Board Secretariat (Base),,Interim2                 2020‑21,344
Treasury Board Secretariat, Employee and Pensioner Benefits37,Interim2                 2020‑21,1340
Treasury Board Secretariat, Operating Contingency Fund,Interim2                 2020‑21,0
Treasury Board Secretariat, Capital Contingency Fund,Interim2                 2020‑21,0
Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,Interim2                 2020‑21,60
Treasury Board Secretariat (Total),,Interim2                 2020‑21,1744
Interest    on Debt39,,Interim2                 2020‑21,12456
Total    Expense,,Interim2                 2020‑21,190281
"Agriculture, Food and Rural Affairs (Base)",,Plan                 2021–22,311
"Agriculture, Food and Rural Affairs", Federal–Provincial Infrastructure Programs3,Plan                 2021–22,0
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments4,Plan                 2021–22,0
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and    Time-Limited Programs5,Plan                 2021–22,417
"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,Plan                 2021–22,26
"Agriculture, Food and Rural Affairs (Total)",,Plan                 2021–22,754
Attorney General (Base),,Plan                 2021–22,1675
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Plan                 2021–22,0
Attorney General, COVID‑19 Time-Limited Funding7,Plan                 2021–22,0
Attorney General (Total),,Plan                 2021–22,1675
Board of Internal Economy (Total),,Plan                 2021–22,273
"Children, Community and Social Services    (Base)",,Plan                 2021–22,17842
"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,Plan                 2021–22,69
"Children, Community and Social Services    (Total)",,Plan                 2021–22,17911
Colleges and Universities (Base),,Plan                 2021–22,9313
Colleges and Universities, Student Financial Assistance,Plan                 2021–22,1352
Colleges and Universities, Time-Limited Infrastructure Funding under    the Strategic Investment Fund,Plan                 2021–22,0
Colleges and Universities, COVID‑19 Time-Limited Funding9,Plan                 2021–22,13
Colleges and Universities (Total),,Plan                 2021–22,10678
"Economic Development, Job Creation and Trade    (Base)",,Plan                 2021–22,378
"Economic Development, Job Creation and Trade", Time-Limited Investments,Plan                 2021–22,214
"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,Plan                 2021–22,294
"Economic Development, Job Creation and Trade    (Total)",,Plan                 2021–22,885
Education (Base),,Plan                 2021–22,31263
Education, Teachers’ Pension Plan,Plan                 2021–22,1631
Education, COVID‑19 Time-Limited Funding12,Plan                 2021–22,59
Education (Total),,Plan                 2021–22,32953
"Energy, Northern Development and Mines    (Base)13",,Plan                 2021–22,1084
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Plan                 2021–22,6494
"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,Plan                 2021–22,62
"Energy, Northern Development and Mines    (Total)",,Plan                 2021–22,7640
"Environment, Conservation and Parks (Base)",,Plan                 2021–22,684
"Environment, Conservation and Parks", Time-Limited Investments,Plan                 2021–22,0
"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,Plan                 2021–22,2
"Environment, Conservation and Parks (Total)",,Plan                 2021–22,687
Executive Offices (Base),,Plan                 2021–22,40
Executive Offices, Time-Limited Assistance,Plan                 2021–22,0
Executive Offices (Total),,Plan                 2021–22,40
Finance    (Base),,Plan                 2021–22,851
Finance, Investment Management Corporation of    Ontario16,Plan                 2021–22,185
Finance, Ontario Municipal Partnership Fund,Plan                 2021–22,502
Finance, Power Supply Contract Costs,Plan                 2021–22,102
Finance, COVID‑19 Response: Support for People    and Jobs Fund,Plan                 2021–22,0
Finance, COVID‑19 Time-Limited Funding17,Plan                 2021–22,35
Finance    (Total),,Plan                 2021–22,1675
Francophone Affairs (Base),,Plan                 2021–22,6
Francophone Affairs, COVID‑19 Time-Limited Funding18,Plan                 2021–22,2
Francophone Affairs (Total),,Plan                 2021–22,9
Government    and Consumer Services (Base),,Plan                 2021–22,743
Government    and Consumer Services, Realty,Plan                 2021–22,1145
Government    and Consumer Services, COVID‑19 Time-Limited Funding19,Plan                 2021–22,0
Government    and Consumer Services (Total),,Plan                 2021–22,1888
Health (Total)20,,Plan                 2021–22,64017
COVID‑19 Health Response21,,Plan                 2021–22,5144
"Heritage,    Sport, Tourism and Culture Industries (Base)",,Plan                 2021–22,1016
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Plan                 2021–22,602
"Heritage,    Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits –    Amounts Related to Prior Years,Plan                 2021–22,0
"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,Plan                 2021–22,205
"Heritage,    Sport, Tourism and Culture Industries (Total)",,Plan                 2021–22,1824
Indigenous Affairs (Base),,Plan                 2021–22,86
Indigenous Affairs, One-Time Investments including Settlements,Plan                 2021–22,0
Indigenous Affairs, COVID‑19 Time-Limited Funding23,Plan                 2021–22,4
Indigenous Affairs (Total),,Plan                 2021–22,90
Infrastructure    (Base),,Plan                 2021–22,365
Infrastructure, Federal–Provincial Infrastructure    Programs24,Plan                 2021–22,590
Infrastructure, Waterfront Toronto Revitalization (Port    Lands Flood Protection),Plan                 2021–22,156
Infrastructure, Municipal Infrastructure Program    Investments25,Plan                 2021–22,200
Infrastructure, COVID‑19 Time-Limited Funding26,Plan                 2021–22,234
Infrastructure    (Total),,Plan                 2021–22,1544
"Labour, Training and Skills Development    (Base)",,Plan                 2021–22,175
"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,Plan                 2021–22,89
"Labour, Training and Skills Development", Demand-Driven Employment and Training    Programs,Plan                 2021–22,1169
"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,Plan                 2021–22,288
"Labour, Training and Skills Development    (Total)",,Plan                 2021–22,1721
Long-Term    Care (Total)29,,Plan                 2021–22,5764
Municipal Affairs and Housing (Base),,Plan                 2021–22,512
Municipal Affairs and Housing, Safe Restart Agreement30,Plan                 2021–22,0
Municipal Affairs and Housing, Time-Limited Investments,Plan                 2021–22,349
Municipal Affairs and Housing, Social Housing Agreement – Payments to    Service Managers31,Plan                 2021–22,284
Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,Plan                 2021–22,286
Municipal Affairs and Housing (Total),,Plan                 2021–22,1432
Natural    Resources and Forestry (Base),,Plan                 2021–22,573
Natural    Resources and Forestry, Emergency Forest Firefighting,Plan                 2021–22,100
Natural    Resources and Forestry (Total),,Plan                 2021–22,673
Seniors and Accessibility (Base),,Plan                 2021–22,66
Seniors and Accessibility, Time-Limited Investments,Plan                 2021–22,9
Seniors and Accessibility, COVID‑19 Time-Limited Funding33,Plan                 2021–22,6
Seniors and Accessibility (Total),,Plan                 2021–22,82
