Category,Subcategory,variable,value
Natural Resources and Forestry (Base),,Interim22018–19,622
Natural Resources and Forestry, Emergency Forest Firefighting,Interim22018–19,212
Natural Resources and Forestry (Total),,Interim22018–19,834
Seniors and Accessibility (Total),,Interim22018–19,59
Solicitor General (Total),,Interim22018–19,2907
"Tourism, Culture and Sport (Base)",,Interim22018–19,1552
"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,Interim22018–19,0
"Tourism, Culture and Sport (Total)",,Interim22018–19,1552
"Training, Colleges and Universities (Base)",,Interim22018–19,9951
"Training, Colleges and Universities", Student Financial Assistance,Interim22018–19,2043
"Training, Colleges and Universities", Time-Limited Infrastructure Funding under the Strategic Investment Fund,Interim22018–19,114
"Training, Colleges and Universities (Total)",,Interim22018–19,12108
Transportation (Base),,Interim22018–19,4460
Transportation, Federal–Provincial Infrastructure Programs,Interim22018–19,217
Transportation (Total),,Interim22018–19,4676
Treasury Board Secretariat (Base),,Interim22018–19,233
Treasury Board Secretariat, Employee and Pensioner Benefits5,Interim22018–19,1287
Treasury Board Secretariat, Operating Contingency Fund,Interim22018–19,200
Treasury Board Secretariat, Capital Contingency Fund,Interim22018–19,50
Treasury Board Secretariat (Total),,Interim22018–19,1770
Interest on Debt6,,Interim22018–19,12534
Year-End Savings,,Interim22018–19,0
Total Expense,,Interim22018–19,162518
"Agriculture, Food and Rural Affairs (Base)",,Plan2019–20,840
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Plan2019–20,38
"Agriculture, Food and Rural Affairs (Total)",,Plan2019–20,878
Attorney General (Total),,Plan2019–20,1934
Board of Internal Economy (Total),,Plan2019–20,295
"Children, Community and Social Services (Total)",,Plan2019–20,16666
"Economic Development, Job Creation and Trade (Total)",,Plan2019–20,782
Education (Base),,Plan2019–20,29818
Education, Teachers’ Pension Plan3,Plan2019–20,1732
Education (Total),,Plan2019–20,31550
"Energy, Northern Development and Mines (Base)",,Plan2019–20,1172
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Plan2019–20,4013
"Energy, Northern Development and Mines (Total)",,Plan2019–20,5185
"Environment, Conservation and Parks (Base)",,Plan2019–20,631
"Environment, Conservation and Parks", Time-Limited Investments,Plan2019–20,0
"Environment, Conservation and Parks (Total)",,Plan2019–20,631
Executive Offices (Total),,Plan2019–20,40
Finance (Base),,Plan2019–20,833
Finance, Ontario Municipal Partnership Fund,Plan2019–20,505
Finance, Power Supply Contract Costs,Plan2019–20,125
Finance (Total),,Plan2019–20,1463
Francophone Affairs (Total),,Plan2019–20,6
Government and Consumer Services (Total),,Plan2019–20,666
Health and Long-Term Care (Total),,Plan2019–20,63510
Indigenous Affairs (Base),,Plan2019–20,74
Indigenous Affairs, One-Time Investments including Settlements4,Plan2019–20,0
Indigenous Affairs (Total),,Plan2019–20,74
Infrastructure (Base),,Plan2019–20,390
Infrastructure, Federal–Provincial Infrastructure Programs,Plan2019–20,134
Infrastructure (Total),,Plan2019–20,524
"Labour, Training and Skills Development14 (Total)",,Plan2019–20,306
Municipal Affairs and Housing (Base),,Plan2019–20,847
Municipal Affairs and Housing, Time-Limited Investments,Plan2019–20,271
Municipal Affairs and Housing (Total),,Plan2019–20,1118
Natural Resources and Forestry (Base),,Plan2019–20,602
Natural Resources and Forestry, Emergency Forest Firefighting,Plan2019–20,70
Natural Resources and Forestry (Total),,Plan2019–20,672
Seniors and Accessibility (Total),,Plan2019–20,51
Solicitor General (Total),,Plan2019–20,2965
"Tourism, Culture and Sport (Base)",,Plan2019–20,1493
"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,Plan2019–20,0
"Tourism, Culture and Sport (Total)",,Plan2019–20,1493
"Training, Colleges and Universities (Base)",,Plan2019–20,9999
"Training, Colleges and Universities", Student Financial Assistance,Plan2019–20,1372
"Training, Colleges and Universities", Time-Limited Infrastructure Funding under the Strategic Investment Fund,Plan2019–20,0
"Training, Colleges and Universities (Total)",,Plan2019–20,11371
Transportation (Base),,Plan2019–20,4549
Transportation, Federal–Provincial Infrastructure Programs,Plan2019–20,638
Transportation (Total),,Plan2019–20,5188
Treasury Board Secretariat (Base),,Plan2019–20,287
Treasury Board Secretariat, Employee and Pensioner Benefits5,Plan2019–20,1352
Treasury Board Secretariat, Operating Contingency Fund,Plan2019–20,775
Treasury Board Secretariat, Capital Contingency Fund,Plan2019–20,325
Treasury Board Secretariat (Total),,Plan2019–20,2739
Interest on Debt6,,Plan2019–20,13335
Year-End Savings,,Plan2019–20,0
Total Expense,,Plan2019–20,163444
