Revenue Category,Revenue Item,variable,value
Government of Canada,Canada Social Transfer,Interim 2015–16,4984
Government of Canada,Equalization,Interim 2015–16,2363
Government of Canada,Infrastructure Programs,Interim 2015–16,168
Government of Canada,Labour Market Programs,Interim 2015–16,927
Government of Canada,Social Housing,Interim 2015–16,448
Government of Canada,Wait Times Reduction Fund,Interim 2015–16,0
Government of Canada,Other Federal Payments,Interim 2015–16,899
Total Government of Canada,,Interim 2015–16,22873
Government Business Enterprises,Ontario Lottery and Gaming Corporation,Interim 2015–16,2079
Government Business Enterprises,Liquor Control Board of Ontario,Interim 2015–16,1938
Government Business Enterprises,Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,Interim 2015–16,330
Total Government Business Enterprises,,Interim 2015–16,4347
Other Non-Tax Revenue,Reimbursements,Interim 2015–16,979
Other Non-Tax Revenue,Vehicle and Driver Registration    Fees,Interim 2015–16,1592
Other Non-Tax Revenue,Electricity Debt Retirement    Charge,Interim 2015–16,868
Other Non-Tax Revenue,Power Supply Contract Recoveries,Interim 2015–16,784
Other Non-Tax Revenue,Sales and Rentals,Interim 2015–16,2174
Other Non-Tax Revenue,Cap-and-Trade Proceeds,Interim 2015–16,0
Other Non-Tax Revenue,Other Fees and Licences,Interim 2015–16,940
Other Non-Tax Revenue,Net Reduction of Power Purchase    Contract Liability,Interim 2015–16,172
Other Non-Tax Revenue,Royalties,Interim 2015–16,271
Other Non-Tax Revenue,Miscellaneous Other Non-Tax    Revenue3,Interim 2015–16,781
Total Other Non-Tax Revenue,,Interim 2015–16,8561
Total Revenue,,Interim 2015–16,126547
Taxation Revenue,Personal Income Tax,Plan 2016–17,32167
Taxation Revenue,Sales Tax1,Plan 2016–17,23976
Taxation Revenue,Corporations Tax,Plan 2016–17,12050
Taxation Revenue,Education Property Tax2,Plan 2016–17,5834
Taxation Revenue,Employer Health Tax,Plan 2016–17,6007
Taxation Revenue,Ontario Health Premium,Plan 2016–17,3604
Taxation Revenue,Gasoline Tax,Plan 2016–17,2522
Taxation Revenue,Land Transfer Tax,Plan 2016–17,2051
Taxation Revenue,Tobacco Tax,Plan 2016–17,1221
Taxation Revenue,Fuel Tax,Plan 2016–17,790
Taxation Revenue,Beer and Wine Tax,Plan 2016–17,611
Taxation Revenue,Electricity Payments in Lieu of    Taxes,Plan 2016–17,515
Taxation Revenue,Other Taxes,Plan 2016–17,471
Total Taxation Revenue,,Plan 2016–17,91819
Government of Canada,Canada Health Transfer,Plan 2016–17,13858
Government of Canada,Canada Social Transfer,Plan 2016–17,5128
Government of Canada,Equalization,Plan 2016–17,2304
Government of Canada,Infrastructure Programs,Plan 2016–17,1017
Government of Canada,Labour Market Programs,Plan 2016–17,989
Government of Canada,Social Housing,Plan 2016–17,434
Government of Canada,Wait Times Reduction Fund,Plan 2016–17,0
Government of Canada,Other Federal Payments,Plan 2016–17,914
Total Government of Canada,,Plan 2016–17,24644
Government Business Enterprises,Ontario Lottery and Gaming Corporation,Plan 2016–17,1953
Government Business Enterprises,Liquor Control Board of Ontario,Plan 2016–17,2025
Government Business Enterprises,Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,Plan 2016–17,1049
Total Government Business Enterprises,,Plan 2016–17,5027
Other Non-Tax Revenue,Reimbursements,Plan 2016–17,983
Other Non-Tax Revenue,Vehicle and Driver Registration    Fees,Plan 2016–17,1751
Other Non-Tax Revenue,Electricity Debt Retirement    Charge,Plan 2016–17,625
Other Non-Tax Revenue,Power Supply Contract Recoveries,Plan 2016–17,643
Other Non-Tax Revenue,Sales and Rentals,Plan 2016–17,2421
Other Non-Tax Revenue,Cap-and-Trade Proceeds,Plan 2016–17,478
Other Non-Tax Revenue,Other Fees and Licences,Plan 2016–17,987
Other Non-Tax Revenue,Net Reduction of Power Purchase    Contract Liability,Plan 2016–17,129
Other Non-Tax Revenue,Royalties,Plan 2016–17,287
Other Non-Tax Revenue,Miscellaneous Other Non-Tax    Revenue3,Plan 2016–17,795
Total Other Non-Tax Revenue,,Plan 2016–17,9099
Total Revenue,,Plan 2016–17,130589
