BRIDGE_FLUGBEWEGUNG_POSITION.dss_create_time,BRIDGE_FLUGBEWEGUNG_POSITION.dss_update_time,BRIDGE_FLUGBEWEGUNG_POSITION.FACT_FLUGBEWEGUNG_SK,BRIDGE_FLUGBEWEGUNG_POSITION.FACT_POSITION_SK,BRIDGE_FLUGBEWEGUNG_POSITION.FlugbewegungsnummerFirstLeg,BRIDGE_FLUGBEWEGUNG_POSITION.FlugbewegungsnummerLastLeg,BRIDGE_FLUGBEWEGUNG_POSITION.LegTyp
2018-10-17 14:54:43.000,2018-11-02 05:45:37.000,236583,88164,206042.0,206048.0,
2018-10-17 14:54:44.000,2018-11-02 05:45:36.000,182975,67780,206102.0,206107.0,LastLeg
2018-10-17 14:54:40.000,2018-11-02 05:45:33.000,124645,51966,156461.0,156463.0,
2018-10-17 14:55:07.000,2018-11-02 05:45:51.000,716200,251314,710901.0,710903.0,FirstLeg
2018-10-17 14:55:00.000,2018-11-02 05:45:46.000,304983,152998,403209.0,403213.0,LastLeg
2018-10-17 14:55:07.000,2018-11-02 05:45:49.000,629418,246198,662822.0,662824.0,
2018-10-17 14:54:59.000,2018-11-02 05:45:50.000,694843,222137,721563.0,721954.0,
2018-10-17 14:55:03.000,2018-11-02 05:45:45.000,396915,139408,395898.0,395901.0,FirstLeg
2018-10-17 14:55:00.000,2018-11-02 05:45:50.000,527332,267071,505376.0,505378.0,
2018-10-17 14:54:40.000,2018-11-02 05:45:35.000,104720,63002,118818.0,118820.0,LastLeg
2018-10-17 14:54:35.000,2018-11-02 05:45:33.000,68510,48576,57933.0,57933.0,FirstLeg
2018-10-17 14:55:02.000,2018-11-02 05:45:44.000,458853,176923,458531.0,458533.0,
2018-10-17 14:54:50.000,2018-11-02 05:45:37.000,271571,172964,334707.0,334709.0,FirstLeg
2018-10-17 14:54:56.000,2018-11-02 05:45:47.000,676827,217420,649056.0,649058.0,FirstLeg
2018-10-17 14:54:47.000,2018-11-02 05:45:38.000,296903,80435,318226.0,319542.0,
2018-10-17 14:54:32.000,2018-11-02 05:45:31.000,68767,28303,74324.0,74326.0,
2018-10-17 14:54:51.000,2018-11-02 05:45:51.000,626507,259385,633031.0,633033.0,
2018-10-17 14:54:37.000,2018-11-02 05:45:33.000,193317,12037,150780.0,150782.0,
2018-10-17 14:55:00.000,2018-11-02 05:45:51.000,628194,235089,670442.0,670443.0,FirstLeg
2018-10-17 14:54:47.000,2018-11-02 05:45:44.000,287441,86724,293015.0,293018.0,FirstLeg
2018-10-17 14:54:44.000,2018-11-02 05:45:43.000,188796,71744,214249.0,214251.0,FirstLeg
2018-10-17 14:54:39.000,2018-11-02 05:45:34.000,236630,122984,224461.0,224463.0,FirstLeg
2018-10-17 14:54:42.000,2018-11-02 05:45:36.000,217088,45345,206019.0,206019.0,FirstLeg
2018-10-17 14:55:07.000,2018-11-02 05:45:51.000,655967,260670,664627.0,664629.0,FirstLeg
2018-10-17 14:54:35.000,2018-11-02 05:45:30.000,20226,249406,14295.0,14297.0,LastLeg
2018-10-17 14:55:03.000,2018-11-02 05:45:42.000,474088,201350,467062.0,467064.0,LastLeg
2018-10-17 14:55:04.000,2018-11-02 05:45:52.000,587586,253067,549690.0,549692.0,FirstLeg
2018-10-17 14:54:55.000,2018-11-02 05:45:49.000,635281,234845,654861.0,654863.0,LastLeg
2018-10-17 14:54:48.000,2018-11-02 05:45:39.000,278993,121536,306150.0,306152.0,LastLeg
2018-10-17 14:55:03.000,2018-11-02 05:45:44.000,604983,282455,612498.0,612500.0,FirstLeg
2018-10-17 14:54:48.000,2018-11-02 05:45:40.000,341100,119813,316080.0,316082.0,
2018-10-17 14:54:55.000,2018-11-02 05:45:47.000,531909,208273,518246.0,518247.0,LastLeg
2018-10-17 14:54:43.000,2018-11-02 05:45:37.000,194828,60443,187495.0,187497.0,FirstLeg
2018-10-17 14:54:38.000,2018-11-02 05:45:31.000,43838,26410,43275.0,43276.0,FirstLeg
2018-10-17 14:54:36.000,2018-11-02 05:45:33.000,105287,89367,147782.0,147786.0,FirstLeg
2018-10-17 14:55:04.000,2018-11-02 05:45:44.000,473309,209967,457297.0,457299.0,LastLeg
2018-10-17 14:54:37.000,2018-11-02 05:45:37.000,251868,166663,251251.0,251253.0,LastLeg
2018-10-17 14:54:51.000,2018-11-02 05:45:45.000,323911,121557,299673.0,299678.0,
2018-10-17 14:54:40.000,2018-11-02 05:45:34.000,122495,30156,110429.0,110431.0,
2018-10-17 14:54:39.000,2018-11-02 05:45:32.000,59373,39740,143154.0,143157.0,LastLeg
2018-10-17 14:54:59.000,2018-11-02 05:45:43.000,656698,4338,648405.0,648407.0,FirstLeg
2018-10-17 14:54:36.000,2018-11-02 05:45:31.000,21473,9036,39070.0,39072.0,FirstLeg
2018-10-17 14:55:03.000,2018-11-02 05:45:44.000,581100,212679,536578.0,536579.0,LastLeg
2018-10-17 14:54:48.000,2018-11-02 05:45:40.000,217279,105672,285910.0,286145.0,
2018-10-17 14:55:04.000,2018-11-02 05:45:49.000,480495,195544,471159.0,471161.0,LastLeg
2018-10-17 14:55:06.000,2018-11-02 05:45:48.000,594374,256707,576240.0,576240.0,FirstLeg
2018-10-17 14:55:00.000,2018-11-02 05:45:40.000,428624,195156,427736.0,427738.0,
2018-10-17 14:54:55.000,2018-11-02 05:45:49.000,596487,269854,621310.0,621312.0,FirstLeg
2018-10-17 14:54:44.000,2018-11-02 05:45:35.000,274349,173165,239965.0,239966.0,LastLeg
2018-10-17 14:54:33.000,2018-11-02 05:45:30.000,10256,33529,22260.0,22260.0,FirstLeg
2018-10-17 14:54:57.000,2018-11-02 05:45:50.000,691381,289887,722475.0,722483.0,LastLeg
2018-10-17 14:54:33.000,2018-11-02 05:45:30.000,35148,21863,49653.0,49653.0,FirstLeg
2018-10-17 14:54:45.000,2018-11-02 05:45:37.000,272776,78078,244484.0,244486.0,FirstLeg
2018-10-17 14:54:48.000,2018-11-02 05:45:43.000,366116,130623,315506.0,315509.0,
2018-10-17 14:54:43.000,2018-11-02 05:45:40.000,235082,134430,221659.0,221661.0,LastLeg
2018-10-17 14:54:55.000,2018-11-02 05:45:46.000,508591,267474,498303.0,498304.0,FirstLeg
2018-10-17 14:54:57.000,2018-11-02 05:45:46.000,594440,316596,607190.0,607190.0,FirstLeg
2018-10-17 14:55:01.000,2018-11-02 05:45:51.000,493914,244976,511572.0,511574.0,
2018-10-17 14:55:00.000,2018-11-02 05:45:43.000,363843,169052,384197.0,384201.0,LastLeg
2018-10-17 14:54:42.000,2018-11-02 05:45:37.000,226245,106433,202562.0,202564.0,FirstLeg
2018-10-17 14:55:03.000,2018-11-02 05:45:49.000,617151,221030,619240.0,619241.0,FirstLeg
2018-10-17 14:55:07.000,2018-11-02 05:45:49.000,674476,301635,708428.0,708430.0,
2018-10-17 14:54:32.000,2018-11-02 05:45:37.000,80537,29771,85282.0,85284.0,LastLeg
2018-10-17 14:54:57.000,2018-11-02 05:45:42.000,539183,227677,543004.0,543006.0,FirstLeg
2018-10-17 14:54:41.000,2018-11-02 05:45:34.000,115037,60393,170513.0,170516.0,FirstLeg
2018-10-17 14:54:38.000,2018-11-02 05:45:40.000,173674,43706,131342.0,131348.0,
2018-10-17 14:55:02.000,2018-11-02 05:45:44.000,396398,138399,374680.0,374681.0,FirstLeg
2018-10-17 14:54:43.000,2018-11-02 05:45:33.000,243737,119548,236228.0,236231.0,LastLeg
2018-10-17 14:54:41.000,2018-11-02 05:45:37.000,154922,62098,144365.0,144367.0,LastLeg
2018-10-17 14:54:49.000,2018-11-02 05:45:39.000,265287,135647,266992.0,266994.0,LastLeg
2018-10-17 14:55:06.000,2018-11-02 05:45:48.000,572910,268950,563465.0,563470.0,
2018-10-17 14:54:36.000,2018-11-02 05:45:32.000,32353,55807,35021.0,35023.0,FirstLeg
2018-10-17 14:54:40.000,2018-11-02 05:45:39.000,269672,113829,255652.0,255656.0,
2018-10-17 14:55:05.000,2018-11-02 05:45:45.000,691343,314588,691462.0,691464.0,LastLeg
2018-10-17 14:54:51.000,2018-11-02 05:45:46.000,678611,248989,696891.0,696893.0,
2018-10-17 14:54:55.000,2018-11-02 05:45:47.000,478590,267274,472078.0,472080.0,
2018-10-17 14:54:54.000,2018-11-02 05:45:52.000,680320,225520,666096.0,666099.0,
2018-10-17 14:54:45.000,2018-11-02 05:45:37.000,178852,92888,211446.0,211448.0,LastLeg
2018-10-17 14:55:01.000,2018-11-02 05:45:35.000,401746,210835,406885.0,406887.0,LastLeg
