Code_Adresse,Code postal,Ville,Cle_departement
"AD0043","07100","ANNONAY","CD7CP67"
"AD0044","07200","AUBENAS","CD7CP67"
"AD0045","08090","CHARLEVILLE-MEZIERES","CD8CP67"
"AD0046","08200","SEDAN","CD8CP67"
"AD0047","09100","PAMIERS","CD9CP67"
"AD0048","10600","LA CHAPELLE-SAINT-LUC","CD10CP67"
"AD0049","10300","SAINTE-SAVINE","CD10CP67"
"AD0050","10100","ROMILLY-SUR-SEINE","CD10CP67"
"AD0051","10120","SAINT-ANDRE-LES-VERGERS","CD10CP67"
"AD0052","10000","TROYES","CD10CP67"
"AD0053","11000","CARCASSONNE","CD11CP67"
"AD0054","11400","CASTELNAUDARY","CD11CP67"
"AD0055","11300","LIMOUX","CD11CP67"
"AD0056","11100","NARBONNE","CD11CP67"
"AD0057","11200","LEZIGNAN-CORBIERES","CD11CP67"
"AD0058","12850","ONET-LE-CHATEAU","CD12CP67"
"AD0059","12000","RODEZ","CD12CP67"
"AD0060","12100","MILLAU","CD12CP67"
"AD0061","12200","VILLEFRANCHE-DE-ROUERGUE","CD12CP67"
"AD0062","13210","SAINT-REMY-DE-PROVENCE","CD13CP67"
"AD0063","13800","ISTRES","CD13CP67"
"AD0064","13080","AIX-EN-PROVENCE","CD13CP67"
"AD0065","13190","ALLAUCH","CD13CP67"
"AD0066","13320","BOUC-BEL-AIR","CD13CP67"
"AD0067","13300","SALON-DE-PROVENCE","CD13CP67"
"AD0068","13000","MARSEILLE","CD13CP67"
"AD0069","13160","CHATEAURENARD","CD13CP67"
"AD0070","13340","ROGNAC","CD13CP67"
"AD0071","13380","PLAN-DE-CUQUES","CD13CP67"
"AD0072","13280","ARLES","CD13CP67"
"AD0073","13400","AUBAGNE","CD13CP67"
"AD0074","13500","MARTIGUES","CD13CP67"
"AD0075","13110","PORT-DE-BOUC","CD13CP67"
"AD0076","13127","VITROLLES","CD13CP67"
"AD0077","13150","TARASCON","CD13CP67"
"AD0078","13240","SEPTEMES-LES-VALLONS","CD13CP67"
"AD0079","13140","MIRAMAS","CD13CP67"
"AD0080","13270","FOS-SUR-MER","CD13CP67"
"AD0081","13170","LES PENNES-MIRABEAU","CD13CP67"
"AD0082","13600","LA CIOTAT","CD13CP67"
"AD0083","13530","TRETS","CD13CP67"
"AD0084","13310","SAINT-MARTIN-DE-CRAU","CD13CP67"
"AD0085","13700","MARIGNANE","CD13CP67"
"AD0086","13120","GARDANNE","CD13CP67"
"AD0087","13130","BERRE-L'ETANG","CD13CP67"
"AD0088","13390","AURIOL","CD13CP67"
"AD0089","13220","CHATEAUNEUF-LES-MARTIGUES","CD13CP67"
"AD0090","14500","VIRE","CD14CP67"
"AD0091","14123","IFS","CD14CP67"
"AD0092","14100","LISIEUX","CD14CP67"
"AD0093","14400","BAYEUX","CD14CP67"
"AD0094","14200","HEROUVILLE-SAINT-CLAIR","CD14CP67"
"AD0095","14000","CAEN","CD14CP67"
"AD0096","15000","AURILLAC","CD15CP67"
"AD0097","16100","COGNAC","CD16CP67"
"AD0098","16000","ANGOULEME","CD16CP67"
"AD0099","17100","SAINTES","CD17CP67"
"AD0100","17000","LA ROCHELLE","CD17CP67"
"AD0101","17200","ROYAN","CD17CP67"
"AD0102","17300","ROCHEFORT","CD17CP67"
"AD0103","18200","SAINT-AMAND-MONTROND","CD18CP67"
"AD0104","18100","VIERZON","CD18CP67"
"AD0105","18000","BOURGES","CD18CP67"
"AD0106","19000","TULLE","CD19CP67"
"AD0107","19200","USSEL","CD19CP67"
"AD0108","19100","BRIVE-LA-GAILLARDE","CD19CP67"
"AD0109","21300","CHENOVE","CD21CP67"
"AD0110","21200","BEAUNE","CD21CP67"
"AD0111","21000","DIJON","CD21CP67"
"AD0112","21240","TALANT","CD21CP67"
"AD0113","22440","PLOUFRAGAN","CD22CP67"
"AD0114","22000","SAINT-BRIEUC","CD22CP67"
"AD0115","22300","LANNION","CD22CP67"
"AD0116","22100","DINAN","CD22CP67"
"AD0117","22400","LAMBALLE","CD22CP67"
"AD0118","22190","PLERIN","CD22CP67"
"AD0119","23000","GUERET","CD23CP67"
"AD0120","24000","PERIGUEUX","CD24CP67"
"AD0121","24100","BERGERAC","CD24CP67"
"AD0122","25700","VALENTIGNEY","CD25CP67"
"AD0123","25300","PONTARLIER","CD25CP67"
"AD0124","25200","MONTBELIARD","CD25CP67"
"AD0125","25400","AUDINCOURT","CD25CP67"
"AD0126","25000","BESANCON","CD25CP67"
"AD0127","26100","ROMANS-SUR-ISERE","CD26CP67"
"AD0128","26000","VALENCE","CD26CP67"
"AD0129","26200","MONTELIMAR","CD26CP67"
"AD0130","26500","BOURG-LES-VALENCE","CD26CP67"
"AD0131","26700","PIERRELATTE","CD26CP67"
"AD0132","26300","BOURG-DE-PEAGE","CD26CP67"
"AD0133","27140","GISORS","CD27CP67"
"AD0134","27400","LOUVIERS","CD27CP67"
"AD0135","27300","BERNAY","CD27CP67"
"AD0136","27200","VERNON","CD27CP67"
"AD0137","27100","VAL-DE-REUIL","CD27CP67"
"AD0138","27000","EVREUX","CD27CP67"
"AD0139","28110","LUCE","CD28CP67"
"AD0140","28000","CHARTRES","CD28CP67"
"AD0141","28100","DREUX","CD28CP67"
"AD0142","28500","VERNOUILLET","CD28CP67"
"AD0143","28200","CHATEAUDUN","CD28CP67"
"AD0144","28300","MAINVILLIERS","CD28CP67"
"AD0145","28400","NOGENT-LE-ROTROU","CD28CP67"
"AD0146","29480","LE RELECQ-KERHUON","CD29CP67"
"AD0147","29300","QUIMPERLE","CD29CP67"
"AD0148","29470","PLOUGASTEL-DAOULAS","CD29CP67"
"AD0149","29490","GUIPAVAS","CD29CP67"
"AD0150","29900","CONCARNEAU","CD29CP67"
"AD0151","29600","MORLAIX","CD29CP67"
"AD0152","29280","PLOUZANE","CD29CP67"
"AD0153","29000","QUIMPER","CD29CP67"
"AD0154","29100","DOUARNENEZ","CD29CP67"
"AD0155","29800","LANDERNEAU","CD29CP67"
"AD0156","29200","BREST","CD29CP67"
"AD0157","30300","BEAUCAIRE","CD30CP67"
"AD0158","30130","PONT-SAINT-ESPRIT","CD30CP67"
"AD0159","30800","SAINT-GILLES","CD30CP67"
"AD0160","30000","NIMES","CD30CP67"
"AD0161","30200","BAGNOLS-SUR-CEZE","CD30CP67"
"AD0162","30100","ALES","CD30CP67"
"AD0163","30600","VAUVERT","CD30CP67"
"AD0164","30400","VILLENEUVE-LES-AVIGNON","CD30CP67"
"AD0165","31800","SAINT-GAUDENS","CD31CP67"
"AD0166","31770","COLOMIERS","CD31CP67"
"AD0167","31600","MURET","CD31CP67"
"AD0168","31520","RAMONVILLE-SAINT-AGNE","CD31CP67"
"AD0169","31320","CASTANET-TOLOSAN","CD31CP67"
"AD0170","31170","TOURNEFEUILLE","CD31CP67"
"AD0171","31700","BLAGNAC","CD31CP67"
"AD0172","31000","TOULOUSE","CD31CP67"
"AD0173","31240","SAINT-JEAN","CD31CP67"
"AD0174","31240","L'UNION","CD31CP67"
"AD0175","31650","SAINT-ORENS-DE-GAMEVILLE","CD31CP67"
"AD0176","31470","FONSORBES","CD31CP67"
"AD0177","31270","CUGNAUX","CD31CP67"
"AD0178","31130","BALMA","CD31CP67"
"AD0179","31830","PLAISANCE-DU-TOUCH","CD31CP67"
"AD0180","32810","AUCH","CD32CP67"
"AD0181","33110","LE BOUSCAT","CD33CP67"
"AD0182","33500","LIBOURNE","CD33CP67"
"AD0183","33270","FLOIRAC","CD33CP67"
"AD0184","33170","GRADIGNAN","CD33CP67"
"AD0185","33000","BORDEAUX","CD33CP67"
"AD0186","33130","BEGLES","CD33CP67"
"AD0187","33260","LA TESTE-DE-BUCH","CD33CP67"
"AD0188","33320","EYSINES","CD33CP67"
"AD0189","33120","ARCACHON","CD33CP67"
"AD0190","33470","GUJAN-MESTRAS","CD33CP67"
"AD0191","33510","ANDERNOS-LES-BAINS","CD33CP67"
"AD0192","33160","SAINT-MEDARD-EN-JALLES","CD33CP67"
"AD0193","33290","BLANQUEFORT","CD33CP67"
"AD0194","33520","BRUGES","CD33CP67"
"AD0195","33310","LORMONT","CD33CP67"
"AD0196","33140","VILLENAVE-D'ORNON","CD33CP67"
"AD0197","33610","CESTAS","CD33CP67"
"AD0198","33440","AMBARES-ET-LAGRAVE","CD33CP67"
"AD0199","33400","TALENCE","CD33CP67"
"AD0200","33600","PESSAC","CD33CP67"
"AD0201","33700","MERIGNAC","CD33CP67"
"AD0202","33150","CENON","CD33CP67"
"AD0203","34130","MAUGUIO","CD34CP67"
"AD0204","34170","CASTELNAU-LE-LEZ","CD34CP67"
"AD0205","34970","LATTES","CD34CP67"
"AD0206","34300","AGDE","CD34CP67"
"AD0207","34500","BEZIERS","CD34CP67"
"AD0208","34140","MEZE","CD34CP67"
"AD0209","34200","SETE","CD34CP67"
"AD0210","34110","FRONTIGNAN","CD34CP67"
"AD0211","34000","MONTPELLIER","CD34CP67"
"AD0212","34400","LUNEL","CD34CP67"
"AD0213","35000","RENNES","CD35CP67"
"AD0214","35400","SAINT-MALO","CD35CP67"
"AD0215","35800","DINARD","CD35CP67"
"AD0216","35170","BRUZ","CD35CP67"
"AD0217","35830","BETTON","CD35CP67"
"AD0218","35300","FOUGERES","CD35CP67"
"AD0219","35500","VITRE","CD35CP67"
"AD0220","35136","SAINT-JACQUES-DE-LA-LANDE","CD35CP67"
"AD0221","35510","CESSON-SEVIGNE","CD35CP67"
"AD0222","36100","ISSOUDUN","CD36CP67"
"AD0223","36000","CHATEAUROUX","CD36CP67"
"AD0224","37540","SAINT-CYR-SUR-LOIRE","CD37CP67"
"AD0225","37530","AMBOISE","CD37CP67"
"AD0226","37170","CHAMBRAY-LES-TOURS","CD37CP67"
"AD0227","37000","TOURS","CD37CP67"
"AD0228","37700","SAINT-PIERRE-DES-CORPS","CD37CP67"
"AD0229","37300","JOUE-LES-TOURS","CD37CP67"
"AD0230","37270","MONTLOUIS-SUR-LOIRE","CD37CP67"
"AD0231","37550","SAINT-AVERTIN","CD37CP67"
"AD0232","37230","FONDETTES","CD37CP67"
"AD0233","37520","LA RICHE","CD37CP67"
"AD0234","38500","VOIRON","CD38CP67"
"AD0235","38400","SAINT-MARTIN-D'HERES","CD38CP67"
"AD0236","38240","MEYLAN","CD38CP67"
"AD0237","38600","FONTAINE","CD38CP67"
"AD0238","38130","ECHIROLLES","CD38CP67"
"AD0239","39000","GRENOBLE","CD38CP67"
"AD0240","38300","BOURGOIN-JALLIEU","CD38CP67"
"AD0241","38800","LE PONT-DE-CLAIX","CD38CP67"
"AD0242","38120","SAINT-EGREVE","CD38CP67"
"AD0243","38090","VILLEFONTAINE","CD38CP67"
"AD0244","38360","SASSENAGE","CD38CP67"
"AD0245","38080","L'ISLE-D'ABEAU","CD38CP67"
"AD0246","38170","SEYSSINET-PARISET","CD38CP67"
"AD0247","38200","VIENNE","CD38CP67"
"AD0248","39200","SAINT-CLAUDE","CD39CP67"
"AD0249","39100","DOLE","CD39CP67"
"AD0250","39570","LONS-LE-SAUNIER","CD39CP67"
"AD0251","40600","BISCARROSSE","CD40CP67"
"AD0252","40100","DAX","CD40CP67"
"AD0253","40220","TARNOS","CD40CP67"
"AD0254","40000","MONT-DE-MARSAN","CD40CP67"
"AD0255","40990","SAINT-PAUL-LES-DAX","CD40CP67"
"AD0256","41200","ROMORANTIN-LANTHENAY","CD41CP67"
"AD0257","41100","VENDOME","CD41CP67"
"AD0258","41000","BLOIS","CD41CP67"
"AD0259","42800","RIVE-DE-GIER","CD42CP67"
"AD0260","42700","FIRMINY","CD42CP67"
"AD0261","42600","MONTBRISON","CD42CP67"
"AD0262","42000","SAINT-ETIENNE","CD42CP67"
"AD0263","42500","LE CHAMBON-FEUGEROLLES","CD42CP67"
"AD0264","42400","SAINT-CHAMOND","CD42CP67"
"AD0265","42170","SAINT-JUST-SAINT-RAMBERT","CD42CP67"
"AD0266","42230","ROCHE-LA-MOLIERE","CD42CP67"
"AD0267","42300","ROANNE","CD42CP67"
"AD0268","42153","RIORGES","CD42CP67"
"AD0269","43000","LE PUY-EN-VELAY","CD43CP67"
"AD0270","44470","CARQUEFOU","CD44CP67"
"AD0271","44800","SAINT-HERBLAIN","CD44CP67"
"AD0272","44210","PORNIC","CD44CP67"
"AD0273","44340","BOUGUENAIS","CD44CP67"
"AD0274","44230","SAINT-SEBASTIEN-SUR-LOIRE","CD44CP67"
"AD0275","44220","COUERON","CD44CP67"
"AD0276","44700","ORVAULT","CD44CP67"
"AD0277","44380","PORNICHET","CD44CP67"
"AD0278","44120","VERTOU","CD44CP67"
"AD0279","44000","NANTES","CD44CP67"
"AD0280","44980","SAINTE-LUCE-SUR-LOIRE","CD44CP67"
"AD0281","44400","REZE","CD44CP67"
"AD0282","44110","CHATEAUBRIANT","CD44CP67"
"AD0283","44350","GUERANDE","CD44CP67"
"AD0284","44250","SAINT-BREVIN-LES-PINS","CD44CP67"
"AD0285","44500","LA BAULE-ESCOUBLAC","CD44CP67"
"AD0286","44240","LA CHAPELLE-SUR-ERDRE","CD44CP67"
"AD0287","44600","SAINT-NAZAIRE","CD44CP67"
"AD0288","45200","AMILLY","CD45CP67"
"AD0289","45800","SAINT-JEAN-DE-BRAYE","CD45CP67"
"AD0290","45500","GIEN","CD45CP67"
"AD0291","45200","MONTARGIS","CD45CP67"
"AD0292","45120","CHALETTE-SUR-LOING","CD45CP67"
"AD0293","45400","FLEURY-LES-AUBRAIS","CD45CP67"
"AD0294","45770","SARAN","CD45CP67"
"AD0295","45140","SAINT-JEAN-DE-LA-RUELLE","CD45CP67"
"AD0296","45000","ORLEANS","CD45CP67"
"AD0297","45160","OLIVET","CD45CP67"
"AD0298","46000","CAHORS","CD46CP67"
"AD0299","47000","AGEN","CD47CP67"
"AD0300","47300","VILLENEUVE-SUR-LOT","CD47CP67"
"AD0301","47200","MARMANDE","CD47CP67"
"AD0302","48000","MENDE","CD48CP67"
"AD0303","49280","CHOLET","CD49CP67"
"AD0304","49000","ANGERS","CD49CP67"
"AD0305","49800","TRELAZE","CD49CP67"
"AD0306","49240","AVRILLE","CD49CP67"
"AD0307","49130","LES PONTS-DE-CE","CD49CP67"
"AD0308","49400","SAUMUR","CD49CP67"
"AD0309","50120","EQUEURDREVILLE-HAINNEVILLE","CD50CP67"
"AD0310","50110","TOURLAVILLE","CD50CP67"
"AD0311","50400","GRANVILLE","CD50CP67"
"AD0312","50100","CHERBOURG-OCTEVILLE","CD50CP67"
"AD0313","50000","SAINT-LO","CD50CP67"
"AD0314","51100","REIMS","CD51CP67"
"AD0315","51200","EPERNAY","CD51CP67"
"AD0316","51300","VITRY-LE-FRANCOIS","CD51CP67"
"AD0317","51000","CHALONS-EN-CHAMPAGNE","CD51CP67"
"AD0318","51430","TINQUEUX","CD51CP67"
"AD0319","52000","CHAUMONT","CD52CP67"
"AD0320","52100","SAINT-DIZIER","CD52CP67"
"AD0321","53200","CHATEAU-GONTIER","CD53CP67"
"AD0322","53100","MAYENNE","CD53CP67"
"AD0323","53000","LAVAL","CD53CP67"
"AD0324","54400","LONGWY","CD54CP67"
"AD0325","54100","NANCY","CD54CP67"
"AD0326","54700","PONT-A-MOUSSON","CD54CP67"
"AD0327","54300","LUNEVILLE","CD54CP67"
"AD0328","54500","VANDOEUVRE-LES-NANCY","CD54CP67"
"AD0329","54110","DOMBASLE-SUR-MEURTHE","CD54CP67"
"AD0330","54200","TOUL","CD54CP67"
"AD0331","54600","VILLERS-LES-NANCY","CD54CP67"
"AD0332","54520","LAXOU","CD54CP67"
"AD0333","55100","VERDUN","CD55CP67"
"AD0334","55000","BAR-LE-DUC","CD55CP67"
"AD0335","56400","AURAY","CD56CP67"
"AD0336","56300","PONTIVY","CD56CP67"
"AD0337","56100","LORIENT","CD56CP67"
"AD0338","56000","VANNES","CD56CP67"
"AD0339","56600","LANESTER","CD56CP67"
"AD0340","56700","HENNEBONT","CD56CP67"
"AD0341","56270","PLOEMEUR","CD56CP67"
"AD0342","56520","GUIDEL","CD56CP67"
"AD0343","56890","SAINT-AVE","CD56CP67"
"AD0344","57350","STIRING-WENDEL","CD57CP67"
"AD0345","57970","YUTZ","CD57CP67"
"AD0346","57190","FLORANGE","CD57CP67"
"AD0347","57360","AMNEVILLE","CD57CP67"
"AD0348","57600","FORBACH","CD57CP67"
"AD0349","57140","WOIPPY","CD57CP67"
"AD0350","57800","FREYMING-MERLEBACH","CD57CP67"
"AD0351","57000","METZ","CD57CP67"
"AD0352","57700","HAYANGE","CD57CP67"
"AD0353","57290","FAMECK","CD57CP67"
"AD0354","57100","THIONVILLE","CD57CP67"
"AD0355","57400","SARREBOURG","CD57CP67"
"AD0356","57210","MAIZIERES-LES-METZ","CD57CP67"
"AD0357","57500","SAINT-AVOLD","CD57CP67"
"AD0358","57200","SARREGUEMINES","CD57CP67"
"AD0359","57158","MONTIGNY-LES-METZ","CD57CP67"
"AD0360","57150","CREUTZWALD","CD57CP67"
"AD0361","58200","COSNE-COURS-SUR-LOIRE","CD58CP67"
"AD0362","58000","NEVERS","CD58CP67"
"AD0363","59100","ROUBAIX","CD59CP67"
"AD0364","59150","WATTRELOS","CD59CP67"
"AD0365","59223","RONCQ","CD59CP67"
"AD0366","59610","FOURMIES","CD59CP67"
"AD0367","59000","LILLE","CD59CP67"
"AD0368","59370","MONS-EN-BAROEUL","CD59CP67"
"AD0369","59139","WATTIGNIES","CD59CP67"
"AD0370","59450","SIN-LE-NOBLE","CD59CP67"
"AD0371","59580","ANICHE","CD59CP67"
"AD0372","59120","LOOS","CD59CP67"
"AD0373","59250","HALLUIN","CD59CP67"
"AD0374","59300","VALENCIENNES","CD59CP67"
"AD0375","59110","LA MADELEINE","CD59CP67"
"AD0376","59390","LYS-LEZ-LANNOY","CD59CP67"
"AD0377","59880","SAINT-SAULVE","CD59CP67"
"AD0378","59190","HAZEBROUCK","CD59CP67"
"AD0379","59860","BRUAY-SUR-L'ESCAUT","CD59CP67"
"AD0380","59690","VIEUX-CONDE","CD59CP67"
"AD0381","59820","GRAVELINES","CD59CP67"
"AD0382","59330","HAUTMONT","CD59CP67"
"AD0383","59350","SAINT-ANDRE-LEZ-LILLE","CD59CP67"
"AD0384","59600","MAUBEUGE","CD59CP67"
"AD0385","59200","TOURCOING","CD59CP67"
"AD0386","59540","CAUDRY","CD59CP67"
"AD0387","59960","NEUVILLE-EN-FERRAIN","CD59CP67"
"AD0388","59210","COUDEKERQUE-BRANCHE","CD59CP67"
"AD0389","59170","CROIX","CD59CP67"
"AD0390","59410","ANZIN","CD59CP67"
"AD0391","59560","COMINES","CD59CP67"
"AD0392","59770","MARLY","CD59CP67"
"AD0393","59790","RONCHIN","CD59CP67"
"AD0394","59140","DUNKERQUE","CD59CP67"
"AD0395","59282","DOUCHY-LES-MINES","CD59CP67"
"AD0396","59230","SAINT-AMAND-LES-EAUX","CD59CP67"
"AD0397","59500","DOUAI","CD59CP67"
"AD0398","59280","ARMENTIERES","CD59CP67"
"AD0399","59290","WASQUEHAL","CD59CP67"
"AD0400","59420","MOUVAUX","CD59CP67"
"AD0401","59113","SECLIN","CD59CP67"
"AD0402","59130","LAMBERSART","CD59CP67"
"AD0403","59270","BAILLEUL","CD59CP67"
"AD0404","59400","CAMBRAI","CD59CP67"
"AD0405","59700","MARCQ-EN-BAROEUL","CD59CP67"
"AD0406","59220","DENAIN","CD59CP67"
"AD0407","59510","HEM","CD59CP67"
"AD0408","59590","RAISMES","CD59CP67"
"AD0409","59320","HAUBOURDIN","CD59CP67"
"AD0410","59760","GRANDE-SYNTHE","CD59CP67"
"AD0411","59155","FACHES-THUMESNIL","CD59CP67"
"AD0412","59490","SOMAIN","CD59CP67"
"AD0413","60200","COMPIEGNE","CD60CP67"
"AD0414","60180","NOGENT-SUR-OISE","CD60CP67"
"AD0415","60110","MERU","CD60CP67"
"AD0416","60300","SENLIS","CD60CP67"
"AD0417","60400","NOYON","CD60CP67"
"AD0418","60100","CREIL","CD60CP67"
"AD0419","60800","CREPY-EN-VALOIS","CD60CP67"
"AD0420","60700","PONT-SAINTE-MAXENCE","CD60CP67"
"AD0421","60155","BEAUVAIS","CD60CP67"
"AD0422","60160","MONTATAIRE","CD60CP67"
"AD0423","60500","CHANTILLY","CD60CP67"
"AD0424","60600","CLERMONT","CD60CP67"
"AD0425","61100","FLERS","CD61CP67"
"AD0426","61200","ARGENTAN","CD61CP67"
"AD0427","61000","ALENCON","CD61CP67"
"AD0428","62680","MERICOURT","CD62CP67"
"AD0429","62800","LIEVIN","CD62CP67"
"AD0430","62260","AUCHEL","CD62CP67"
"AD0431","62110","HENIN-BEAUMONT","CD62CP67"
"AD0432","62500","SAINT-OMER","CD62CP67"
"AD0433","62440","HARNES","CD62CP67"
"AD0434","62000","ARRAS","CD62CP67"
"AD0435","62290","NOEUX-LES-MINES","CD62CP67"
"AD0436","62640","MONTIGNY-EN-GOHELLE","CD62CP67"
"AD0437","62100","CALAIS","CD62CP67"
"AD0438","62200","BOULOGNE-SUR-MER","CD62CP67"
"AD0439","62630","ETAPLES","CD62CP67"
"AD0440","62190","LILLERS","CD62CP67"
"AD0441","62400","BETHUNE","CD62CP67"
"AD0442","62220","CARVIN","CD62CP67"
"AD0443","62160","BULLY-LES-MINES","CD62CP67"
"AD0444","62700","BRUAY-LA-BUISSIERE","CD62CP67"
"AD0445","62210","AVION","CD62CP67"
"AD0446","62230","OUTREAU","CD62CP67"
"AD0447","62710","COURRIERES","CD62CP67"
"AD0448","62219","LONGUENESSE","CD62CP67"
"AD0449","62300","LENS","CD62CP67"
"AD0450","62600","BERCK","CD62CP67"
"AD0451","62280","SAINT-MARTIN-BOULOGNE","CD62CP67"
"AD0452","63430","PONT-DU-CHATEAU","CD63CP67"
"AD0453","63800","COURNON-D'AUVERGNE","CD63CP67"
"AD0454","63000","CLERMONT-FERRAND","CD63CP67"
"AD0455","63500","ISSOIRE","CD63CP67"
"AD0456","63400","CHAMALIERES","CD63CP67"
"AD0457","63300","THIERS","CD63CP67"
"AD0458","63360","GERZAT","CD63CP67"
"AD0459","63200","RIOM","CD63CP67"
"AD0460","63110","BEAUMONT","CD63CP67"
"AD0461","64700","HENDAYE","CD64CP67"
"AD0462","64000","PAU","CD64CP67"
"AD0463","64400","OLORON-SAINTE-MARIE","CD64CP67"
"AD0464","64140","LONS","CD64CP67"
"AD0465","64100","BAYONNE","CD64CP67"
"AD0466","64200","BIARRITZ","CD64CP67"
"AD0467","64600","ANGLET","CD64CP67"
"AD0468","64300","ORTHEZ","CD64CP67"
"AD0469","64500","SAINT-JEAN-DE-LUZ","CD64CP67"
"AD0470","64140","BILLERE","CD64CP67"
"AD0471","65000","TARBES","CD65CP67"
"AD0472","65100","LOURDES","CD65CP67"
"AD0473","66750","SAINT-CYPRIEN","CD66CP67"
"AD0474","66240","SAINT-ESTEVE","CD66CP67"
"AD0475","66140","CANET-EN-ROUSSILLON","CD66CP67"
"AD0476","66000","PERPIGNAN","CD66CP67"
"AD0477","67540","OSTWALD","CD67CP67"
"AD0478","67210","OBERNAI","CD67CP67"
"AD0479","67700","SAVERNE","CD67CP67"
"AD0480","67000","STRASBOURG","CD67CP67"
"AD0481","67240","BISCHWILLER","CD67CP67"
"AD0482","67800","BISCHHEIM","CD67CP67"
"AD0483","67300","SCHILTIGHEIM","CD67CP67"
"AD0484","67400","ILLKIRCH-GRAFFENSTADEN","CD67CP67"
"AD0485","67600","SELESTAT","CD67CP67"
"AD0486","67800","HOENHEIM","CD67CP67"
"AD0487","67150","ERSTEIN","CD67CP67"
"AD0488","67500","HAGUENAU","CD67CP67"
"AD0489","67380","LINGOLSHEIM","CD67CP67"
"AD0490","68310","WITTELSHEIM","CD68CP67"
"AD0491","68000","COLMAR","CD68CP67"
"AD0492","68260","KINGERSHEIM","CD68CP67"
"AD0493","68128","SAINT-LOUIS","CD68CP67"
"AD0494","68110","ILLZACH","CD68CP67"
"AD0495","68270","WITTENHEIM","CD68CP67"
"AD0496","68700","CERNAY","CD68CP67"
"AD0497","68400","RIEDISHEIM","CD68CP67"
"AD0498","68170","RIXHEIM","CD68CP67"
"AD0499","68500","GUEBWILLER","CD68CP67"
"AD0500","68100","MULHOUSE","CD68CP67"
"AD0501","69600","OULLINS","CD69CP67"
"AD0502","69200","VENISSIEUX","CD69CP67"
"AD0503","69400","VILLEFRANCHE-SUR-SAONE","CD69CP67"
"AD0504","69160","TASSIN-LA-DEMI-LUNE","CD69CP67"
"AD0505","69780","MIONS","CD69CP67"
"AD0506","69960","CORBAS","CD69CP67"
"AD0507","69300","CALUIRE-ET-CUIRE","CD69CP67"
"AD0508","69190","SAINT-FONS","CD69CP67"
"AD0509","69230","SAINT-GENIS-LAVAL","CD69CP67"
"AD0510","69000","LYON","CD69CP67"
"AD0511","69800","SAINT-PRIEST","CD69CP67"
"AD0512","69740","GENAS","CD69CP67"
"AD0513","69120","VAULX-EN-VELIN","CD69CP67"
"AD0514","69100","VILLEURBANNE","CD69CP67"
"AD0515","69340","FRANCHEVILLE","CD69CP67"
"AD0516","69530","BRIGNAIS","CD69CP67"
"AD0517","69330","MEYZIEU","CD69CP67"
"AD0518","69500","BRON","CD69CP67"
"AD0519","69140","RILLIEUX-LA-PAPE","CD69CP67"
"AD0520","69130","ECULLY","CD69CP67"
"AD0521","69150","DECINES-CHARPIEU","CD69CP67"
"AD0522","69170","TARARE","CD69CP67"
"AD0523","69700","GIVORS","CD69CP67"
"AD0524","69110","SAINTE-FOY-LES-LYON","CD69CP67"
