Calendar Year,Calendar Month,Calendar Yr-Mo,Calendar Yr Mo Sort,Calendar Month Sort,Product Subcategory,Sales Plan Amt,Sales Territory Region
2017,May,2017-May,201705,5,Bike Stands,270.3,Germany
2017,Jun,2017-Jun,201706,6,Jerseys,2626.5304,Northwest
2015,Apr,2015-Apr,201504,4,Mountain Bikes,7926.7266,Northwest
2017,Sep,2017-Sep,201709,9,Helmets,2394.7156,Germany
2017,Sep,2017-Sep,201709,9,Helmets,4648.0716,Australia
2017,Nov,2017-Nov,201711,11,Bottles and Cages,434.8872,France
2018,Jan,2018-Jan,201801,1,Bike Stands,111.3,Northwest
2017,Nov,2017-Nov,201711,11,Mountain Bikes,73367.7415,Germany
2017,Jan,2017-Jan,201701,1,Road Bikes,8660.6386,Canada
2017,Mar,2017-Mar,201703,3,Mountain Bikes,30694.9875,Northwest
2018,Jan,2018-Jan,201801,1,Vests,167.64,United Kingdom
2017,Jun,2017-Jun,201706,6,Fenders,681.38,Australia
2017,Nov,2017-Nov,201711,11,Fenders,597.856,Northwest
2017,Apr,2017-Apr,201704,4,Shorts,1222.0254,Northwest
2017,Jul,2017-Jul,201707,7,Vests,428.625,Northwest
2017,Jul,2017-Jul,201707,7,Bottles and Cages,455.8872,Germany
2015,May,2015-May,201505,5,Road Bikes,26210.0486,France
