Clearing Date,Due Date,Customer Index,Value,Invoice Number
2018-07-31 00:00:00.000,2018-10-04 00:00:00.000,129,3787,"Inv00123"
2018-03-23 00:00:00.000,2018-11-21 00:00:00.000,17,3065,"Inv00124"
2018-01-01 00:00:00.000,2018-08-21 00:00:00.000,165,5413,"Inv00125"
2018-12-08 00:00:00.000,2019-03-29 00:00:00.000,16,8726,"Inv00126"
2019-02-23 00:00:00.000,2019-09-26 00:00:00.000,47,8447,"Inv00127"
2018-12-13 00:00:00.000,2019-04-25 00:00:00.000,141,4970,"Inv00128"
2019-06-12 00:00:00.000,2020-01-04 00:00:00.000,31,9407,"Inv00129"
2018-02-22 00:00:00.000,2018-06-21 00:00:00.000,97,6624,"Inv00130"
2018-05-03 00:00:00.000,2018-12-27 00:00:00.000,111,5765,"Inv00131"
2019-03-09 00:00:00.000,2019-09-11 00:00:00.000,120,5560,"Inv00132"
2018-10-17 00:00:00.000,2019-04-07 00:00:00.000,143,4761,"Inv00133"
2018-08-16 00:00:00.000,2018-11-09 00:00:00.000,4,3946,"Inv00134"
2018-04-06 00:00:00.000,2018-10-06 00:00:00.000,55,1689,"Inv00135"
2019-03-25 00:00:00.000,2019-07-17 00:00:00.000,115,10513,"Inv00136"
2019-08-15 00:00:00.000,2019-09-03 00:00:00.000,33,4848,"Inv00137"
2018-12-04 00:00:00.000,2019-07-07 00:00:00.000,58,7039,"Inv00138"
2018-02-27 00:00:00.000,2018-12-07 00:00:00.000,66,3000,"Inv00139"
2019-04-28 00:00:00.000,2019-12-08 00:00:00.000,134,4646,"Inv00140"
2018-09-13 00:00:00.000,2019-01-04 00:00:00.000,33,3010,"Inv00141"
2018-10-22 00:00:00.000,2019-08-01 00:00:00.000,106,8916,"Inv00142"
2018-11-10 00:00:00.000,2019-02-26 00:00:00.000,174,10573,"Inv00143"
2018-05-13 00:00:00.000,2018-05-16 00:00:00.000,150,8856,"Inv00144"
2018-07-30 00:00:00.000,2019-03-17 00:00:00.000,61,3675,"Inv00145"
2018-03-02 00:00:00.000,2018-08-12 00:00:00.000,10,6046,"Inv00146"
2019-01-11 00:00:00.000,2019-02-05 00:00:00.000,15,5751,"Inv00147"
2018-04-19 00:00:00.000,2018-09-18 00:00:00.000,80,1669,"Inv00148"
2019-08-14 00:00:00.000,2020-06-17 00:00:00.000,30,9882,"Inv00149"
2018-03-04 00:00:00.000,2018-11-02 00:00:00.000,174,8241,"Inv00150"
2018-10-10 00:00:00.000,2019-05-01 00:00:00.000,55,3265,"Inv00151"
2018-06-23 00:00:00.000,2018-11-13 00:00:00.000,157,8304,"Inv00152"
2019-07-10 00:00:00.000,2019-12-22 00:00:00.000,124,3919,"Inv00153"
2019-04-24 00:00:00.000,2020-01-29 00:00:00.000,12,4958,"Inv00154"
2018-06-23 00:00:00.000,2018-09-27 00:00:00.000,48,5488,"Inv00155"
2019-03-06 00:00:00.000,2019-07-19 00:00:00.000,126,8450,"Inv00156"
2018-06-13 00:00:00.000,2019-04-10 00:00:00.000,68,3688,"Inv00157"
2018-02-27 00:00:00.000,2018-08-11 00:00:00.000,142,7319,"Inv00158"
2018-01-20 00:00:00.000,2018-10-08 00:00:00.000,163,4868,"Inv00159"
2018-07-25 00:00:00.000,2018-09-04 00:00:00.000,57,2389,"Inv00160"
2019-05-19 00:00:00.000,2019-06-15 00:00:00.000,16,2037,"Inv00161"
2018-07-09 00:00:00.000,2018-08-01 00:00:00.000,69,9821,"Inv00162"
2018-05-30 00:00:00.000,2018-11-16 00:00:00.000,61,7021,"Inv00163"
2018-11-03 00:00:00.000,2019-08-16 00:00:00.000,147,5972,"Inv00164"
2018-06-12 00:00:00.000,2019-02-07 00:00:00.000,85,9354,"Inv00165"
2018-08-05 00:00:00.000,2018-09-17 00:00:00.000,111,9402,"Inv00166"
2018-01-29 00:00:00.000,2018-09-11 00:00:00.000,110,10222,"Inv00167"
2018-11-04 00:00:00.000,2019-05-15 00:00:00.000,49,1999,"Inv00168"
2018-05-12 00:00:00.000,2018-11-10 00:00:00.000,104,6673,"Inv00169"
2019-07-05 00:00:00.000,2020-01-14 00:00:00.000,47,8466,"Inv00170"
2019-01-10 00:00:00.000,2019-06-11 00:00:00.000,19,5549,"Inv00171"
2019-04-26 00:00:00.000,2019-09-05 00:00:00.000,163,4044,"Inv00172"
2019-08-15 00:00:00.000,2020-05-25 00:00:00.000,109,2035,"Inv00173"
2018-07-30 00:00:00.000,2019-03-27 00:00:00.000,83,1819,"Inv00174"
2018-12-12 00:00:00.000,2019-05-04 00:00:00.000,145,6856,"Inv00175"
2018-02-21 00:00:00.000,2018-09-30 00:00:00.000,173,3246,"Inv00176"
2019-02-09 00:00:00.000,2019-03-20 00:00:00.000,11,6538,"Inv00177"
2018-09-19 00:00:00.000,2019-03-02 00:00:00.000,110,2637,"Inv00178"
2019-09-04 00:00:00.000,2019-10-31 00:00:00.000,40,9611,"Inv00179"
2018-03-15 00:00:00.000,2018-04-13 00:00:00.000,77,9181,"Inv00180"
2019-08-12 00:00:00.000,2019-11-19 00:00:00.000,171,3500,"Inv00181"
2019-01-31 00:00:00.000,2019-02-13 00:00:00.000,56,6464,"Inv00182"
2018-08-10 00:00:00.000,2019-04-20 00:00:00.000,18,7107,"Inv00183"
2018-04-06 00:00:00.000,2018-11-21 00:00:00.000,40,10422,"Inv00184"
2018-11-02 00:00:00.000,2019-04-16 00:00:00.000,108,2532,"Inv00185"
2018-05-20 00:00:00.000,2018-09-10 00:00:00.000,108,3401,"Inv00186"
2019-09-26 00:00:00.000,2020-08-14 00:00:00.000,140,8957,"Inv00187"
2018-03-25 00:00:00.000,2019-02-11 00:00:00.000,110,1647,"Inv00188"
2018-01-19 00:00:00.000,2018-04-15 00:00:00.000,40,4109,"Inv00189"
2018-08-09 00:00:00.000,2018-12-14 00:00:00.000,104,1774,"Inv00190"
2018-12-15 00:00:00.000,2019-01-21 00:00:00.000,117,6821,"Inv00191"
2019-08-11 00:00:00.000,2020-04-10 00:00:00.000,154,3862,"Inv00192"
2018-12-09 00:00:00.000,2019-04-04 00:00:00.000,25,3158,"Inv00193"
2018-09-16 00:00:00.000,2019-06-11 00:00:00.000,14,8197,"Inv00194"
2019-06-24 00:00:00.000,2020-01-12 00:00:00.000,136,6674,"Inv00195"
2019-06-11 00:00:00.000,2019-11-02 00:00:00.000,17,4305,"Inv00196"
2019-03-05 00:00:00.000,2019-05-06 00:00:00.000,16,4116,"Inv00197"
2019-04-05 00:00:00.000,2019-10-01 00:00:00.000,120,9931,"Inv00198"
2019-09-27 00:00:00.000,2020-01-23 00:00:00.000,151,8297,"Inv00199"
2018-08-05 00:00:00.000,2018-12-17 00:00:00.000,69,8797,"Inv00200"
2018-11-12 00:00:00.000,2018-12-30 00:00:00.000,139,1571,"Inv00201"
2018-09-21 00:00:00.000,2019-03-13 00:00:00.000,11,5431,"Inv00202"
2019-03-19 00:00:00.000,2019-06-08 00:00:00.000,92,5420,"Inv00203"
2018-04-25 00:00:00.000,2018-07-26 00:00:00.000,48,4593,"Inv00204"
2018-09-27 00:00:00.000,2019-01-04 00:00:00.000,137,9085,"Inv00205"
2018-12-13 00:00:00.000,2019-06-30 00:00:00.000,74,9658,"Inv00206"
2019-06-03 00:00:00.000,2020-01-09 00:00:00.000,120,6520,"Inv00207"
2018-12-11 00:00:00.000,2019-08-21 00:00:00.000,51,8145,"Inv00208"
2018-09-30 00:00:00.000,2019-08-08 00:00:00.000,85,7709,"Inv00209"
2018-11-21 00:00:00.000,2019-04-14 00:00:00.000,55,6600,"Inv00210"
2018-05-26 00:00:00.000,2018-06-02 00:00:00.000,51,2834,"Inv00211"
2019-01-30 00:00:00.000,2019-09-12 00:00:00.000,160,5006,"Inv00212"
2018-11-09 00:00:00.000,2019-07-11 00:00:00.000,95,6936,"Inv00213"
2019-03-10 00:00:00.000,2019-11-21 00:00:00.000,106,5066,"Inv00214"
2019-07-19 00:00:00.000,2019-08-25 00:00:00.000,47,2928,"Inv00215"
2018-08-25 00:00:00.000,2018-08-25 00:00:00.000,120,2179,"Inv00216"
2018-07-12 00:00:00.000,2019-05-19 00:00:00.000,70,6982,"Inv00217"
2018-07-06 00:00:00.000,2018-11-06 00:00:00.000,138,4984,"Inv00218"
2018-04-06 00:00:00.000,2018-04-24 00:00:00.000,125,5302,"Inv00219"
2018-12-04 00:00:00.000,2019-03-14 00:00:00.000,105,9332,"Inv00220"
2018-05-23 00:00:00.000,2018-07-20 00:00:00.000,22,9255,"Inv00221"
2019-01-08 00:00:00.000,2019-06-11 00:00:00.000,82,2703,"Inv00222"
2018-08-20 00:00:00.000,2018-11-24 00:00:00.000,66,10004,"Inv00223"
2019-07-12 00:00:00.000,2020-04-12 00:00:00.000,132,3939,"Inv00224"
2018-11-01 00:00:00.000,2019-01-26 00:00:00.000,85,1582,"Inv00225"
2018-05-02 00:00:00.000,2018-10-28 00:00:00.000,25,7777,"Inv00226"
2019-03-12 00:00:00.000,2020-01-06 00:00:00.000,57,5011,"Inv00227"
2019-04-22 00:00:00.000,2019-04-26 00:00:00.000,42,8880,"Inv00228"
2019-01-27 00:00:00.000,2019-06-12 00:00:00.000,51,9987,"Inv00229"
2019-05-14 00:00:00.000,2019-11-06 00:00:00.000,37,6965,"Inv00230"
2018-04-14 00:00:00.000,2018-07-01 00:00:00.000,163,9968,"Inv00231"
2019-05-30 00:00:00.000,2019-09-04 00:00:00.000,47,7099,"Inv00232"
2018-05-10 00:00:00.000,2018-06-21 00:00:00.000,167,5893,"Inv00233"
2019-09-02 00:00:00.000,2019-11-06 00:00:00.000,42,3959,"Inv00234"
2018-02-11 00:00:00.000,2018-03-16 00:00:00.000,8,2900,"Inv00235"
2018-02-09 00:00:00.000,2018-10-14 00:00:00.000,101,5430,"Inv00236"
2019-05-21 00:00:00.000,2019-12-29 00:00:00.000,57,8384,"Inv00237"
2018-08-30 00:00:00.000,2019-02-10 00:00:00.000,84,6330,"Inv00238"
2018-10-23 00:00:00.000,2019-04-02 00:00:00.000,83,5263,"Inv00239"
2018-03-18 00:00:00.000,2018-11-05 00:00:00.000,10,8922,"Inv00240"
2018-03-15 00:00:00.000,2018-11-23 00:00:00.000,137,5180,"Inv00241"
2018-04-21 00:00:00.000,2018-12-25 00:00:00.000,112,5598,"Inv00242"
2018-01-31 00:00:00.000,2018-07-28 00:00:00.000,119,4063,"Inv00243"
2019-04-01 00:00:00.000,2019-11-18 00:00:00.000,117,6641,"Inv00244"
2018-12-06 00:00:00.000,2019-02-16 00:00:00.000,94,4413,"Inv00245"
2018-12-24 00:00:00.000,2019-08-01 00:00:00.000,154,5481,"Inv00246"
2018-05-19 00:00:00.000,2018-11-24 00:00:00.000,125,4784,"Inv00247"
2018-10-26 00:00:00.000,2019-02-10 00:00:00.000,96,5664,"Inv00248"
2019-04-21 00:00:00.000,2020-01-03 00:00:00.000,39,6083,"Inv00249"
2019-04-25 00:00:00.000,2019-10-27 00:00:00.000,18,6551,"Inv00250"
2018-09-12 00:00:00.000,2019-07-31 00:00:00.000,76,3988,"Inv00251"
2019-07-30 00:00:00.000,2019-08-23 00:00:00.000,74,3107,"Inv00252"
2019-04-21 00:00:00.000,2019-05-29 00:00:00.000,127,3351,"Inv00253"
2018-02-26 00:00:00.000,2018-08-10 00:00:00.000,81,2361,"Inv00254"
2019-02-09 00:00:00.000,2019-03-25 00:00:00.000,170,10115,"Inv00255"
2019-03-31 00:00:00.000,2019-04-23 00:00:00.000,41,6349,"Inv00256"
2018-01-10 00:00:00.000,2018-06-04 00:00:00.000,48,4483,"Inv00257"
2018-10-02 00:00:00.000,2019-06-04 00:00:00.000,20,5405,"Inv00258"
2018-09-14 00:00:00.000,2019-02-19 00:00:00.000,71,2321,"Inv00259"
2018-06-25 00:00:00.000,2018-09-21 00:00:00.000,9,9656,"Inv00260"
2019-09-20 00:00:00.000,2019-09-22 00:00:00.000,129,2011,"Inv00261"
2019-05-27 00:00:00.000,2019-11-10 00:00:00.000,42,1940,"Inv00262"
2019-03-20 00:00:00.000,2019-09-22 00:00:00.000,128,1755,"Inv00263"
2018-09-24 00:00:00.000,2019-02-19 00:00:00.000,33,9814,"Inv00264"
2019-04-13 00:00:00.000,2019-11-13 00:00:00.000,39,8450,"Inv00265"
2018-06-26 00:00:00.000,2018-09-07 00:00:00.000,58,10072,"Inv00266"
2018-08-16 00:00:00.000,2019-01-02 00:00:00.000,12,7455,"Inv00267"
2018-10-04 00:00:00.000,2018-11-04 00:00:00.000,107,5696,"Inv00268"
2019-08-25 00:00:00.000,2019-09-12 00:00:00.000,159,2512,"Inv00269"
2018-03-19 00:00:00.000,2018-06-05 00:00:00.000,118,2449,"Inv00270"
2019-02-16 00:00:00.000,2019-04-08 00:00:00.000,18,7961,"Inv00271"
2018-08-10 00:00:00.000,2019-05-28 00:00:00.000,99,9307,"Inv00272"
2018-03-08 00:00:00.000,2019-01-21 00:00:00.000,18,6123,"Inv00273"
2018-04-29 00:00:00.000,2018-11-08 00:00:00.000,24,5657,"Inv00274"
2018-02-19 00:00:00.000,2018-04-30 00:00:00.000,140,4408,"Inv00275"
2018-10-03 00:00:00.000,2019-08-14 00:00:00.000,84,4048,"Inv00276"
2019-09-04 00:00:00.000,2019-12-23 00:00:00.000,105,7692,"Inv00277"
2018-12-12 00:00:00.000,2019-09-08 00:00:00.000,31,9143,"Inv00278"
2018-11-11 00:00:00.000,2019-01-31 00:00:00.000,60,8373,"Inv00279"
2019-09-12 00:00:00.000,2020-04-22 00:00:00.000,17,6247,"Inv00280"
2018-05-19 00:00:00.000,2018-08-31 00:00:00.000,40,7006,"Inv00281"
2018-08-30 00:00:00.000,2019-04-07 00:00:00.000,18,4947,"Inv00282"
2018-09-10 00:00:00.000,2019-06-23 00:00:00.000,63,5304,"Inv00283"
2018-06-29 00:00:00.000,2018-10-13 00:00:00.000,152,9648,"Inv00284"
2018-11-17 00:00:00.000,2019-01-24 00:00:00.000,122,7337,"Inv00285"
2018-03-30 00:00:00.000,2018-09-11 00:00:00.000,107,2183,"Inv00286"
2018-11-26 00:00:00.000,2019-02-22 00:00:00.000,62,2851,"Inv00287"
2019-09-07 00:00:00.000,2019-10-08 00:00:00.000,104,5641,"Inv00288"
2018-12-22 00:00:00.000,2019-10-19 00:00:00.000,117,9850,"Inv00289"
2019-08-03 00:00:00.000,2019-11-29 00:00:00.000,91,7105,"Inv00290"
2019-02-23 00:00:00.000,2019-10-26 00:00:00.000,73,8067,"Inv00291"
2018-10-08 00:00:00.000,2019-06-30 00:00:00.000,54,5774,"Inv00292"
2019-03-18 00:00:00.000,2019-03-21 00:00:00.000,15,10306,"Inv00293"
2018-02-11 00:00:00.000,2018-08-05 00:00:00.000,141,5469,"Inv00294"
2019-04-27 00:00:00.000,2019-10-23 00:00:00.000,30,6891,"Inv00295"
2019-03-23 00:00:00.000,2019-06-14 00:00:00.000,77,2313,"Inv00296"
2018-11-13 00:00:00.000,2018-11-29 00:00:00.000,133,7237,"Inv00297"
2018-04-10 00:00:00.000,2018-11-08 00:00:00.000,152,2257,"Inv00298"
2018-05-23 00:00:00.000,2019-02-09 00:00:00.000,175,10192,"Inv00299"
2018-07-27 00:00:00.000,2019-01-28 00:00:00.000,29,4530,"Inv00300"
2019-05-15 00:00:00.000,2019-08-19 00:00:00.000,31,3232,"Inv00301"
2018-02-02 00:00:00.000,2018-05-02 00:00:00.000,6,8627,"Inv00302"
2018-11-26 00:00:00.000,2019-09-27 00:00:00.000,82,10312,"Inv00303"
2019-04-28 00:00:00.000,2020-03-22 00:00:00.000,17,3849,"Inv00304"
2019-05-26 00:00:00.000,2020-04-19 00:00:00.000,106,8529,"Inv00305"
2018-07-27 00:00:00.000,2018-09-04 00:00:00.000,59,3620,"Inv00306"
2019-09-12 00:00:00.000,2020-06-25 00:00:00.000,9,4154,"Inv00307"
2019-05-28 00:00:00.000,2020-01-06 00:00:00.000,23,5545,"Inv00308"
2019-03-06 00:00:00.000,2019-12-03 00:00:00.000,70,10176,"Inv00309"
2019-07-31 00:00:00.000,2020-06-16 00:00:00.000,91,8308,"Inv00310"
2019-07-12 00:00:00.000,2020-02-08 00:00:00.000,13,9391,"Inv00311"
2018-09-23 00:00:00.000,2018-11-30 00:00:00.000,108,7657,"Inv00312"
2018-03-20 00:00:00.000,2018-08-07 00:00:00.000,102,7743,"Inv00313"
2019-08-31 00:00:00.000,2020-01-14 00:00:00.000,55,6196,"Inv00314"
2019-05-23 00:00:00.000,2019-10-21 00:00:00.000,158,9534,"Inv00315"
2019-03-20 00:00:00.000,2019-10-05 00:00:00.000,127,9738,"Inv00316"
2018-09-13 00:00:00.000,2019-04-20 00:00:00.000,120,5435,"Inv00317"
2018-01-11 00:00:00.000,2018-10-24 00:00:00.000,166,3603,"Inv00318"
2018-04-17 00:00:00.000,2018-09-28 00:00:00.000,76,2268,"Inv00319"
2018-04-15 00:00:00.000,2018-12-25 00:00:00.000,20,5545,"Inv00320"
2018-11-21 00:00:00.000,2019-10-06 00:00:00.000,144,6498,"Inv00321"
2018-09-16 00:00:00.000,2019-02-12 00:00:00.000,157,9722,"Inv00322"
2018-03-09 00:00:00.000,2018-05-08 00:00:00.000,134,4179,"Inv00323"
2018-06-25 00:00:00.000,2018-10-09 00:00:00.000,140,5550,"Inv00324"
