Items,Category,Month,Values,Type,Index Type
"COS - Labor Burden","COGS",2017-07-01 00:00:00.000,14755.341206500287,"Expenses",2
"COS - Labor Burden","COGS",2017-08-01 00:00:00.000,15493.108266825302,"Expenses",2
"COS - Labor Burden","COGS",2017-09-01 00:00:00.000,15802.970432161808,"Expenses",2
"COS - Labor Burden","COGS",2017-10-01 00:00:00.000,15802.970432161808,"Expenses",2
"COS - Labor Burden","COGS",2017-11-01 00:00:00.000,16277.059545126662,"Expenses",2
"COS - Labor Burden","COGS",2017-12-01 00:00:00.000,15951.518354224127,"Expenses",2
"COS - Labor Burden","COGS",2018-01-01 00:00:00.000,15153.94243651292,"Expenses",2
"COS - Labor Burden","COGS",2018-02-01 00:00:00.000,14699.324163417532,"Expenses",2
"COS - Labor Burden","COGS",2018-03-01 00:00:00.000,14699.324163417532,"Expenses",2
"COS - Labor Burden","COGS",2018-04-01 00:00:00.000,14405.337680149181,"Expenses",2
"COS - Labor Burden","COGS",2018-05-01 00:00:00.000,14837.497810553657,"Expenses",2
"COS - Materials","COGS",2015-05-01 00:00:00.000,384865.47349113127,"Expenses",2
"COS - Materials","COGS",2015-06-01 00:00:00.000,373319.50928639731,"Expenses",2
"COS - Materials","COGS",2015-07-01 00:00:00.000,380785.89947212528,"Expenses",2
"COS - Materials","COGS",2015-08-01 00:00:00.000,388401.6174615678,"Expenses",2
"COS - Materials","COGS",2015-09-01 00:00:00.000,384517.60128695209,"Expenses",2
"COS - Materials","COGS",2015-10-01 00:00:00.000,392207.95331269113,"Expenses",2
"COS - Materials","COGS",2015-11-01 00:00:00.000,380441.71471331036,"Expenses",2
"COS - Materials","COGS",2015-12-01 00:00:00.000,365224.04612477793,"Expenses",2
"COS - Materials","COGS",2016-01-01 00:00:00.000,368876.28658602579,"Expenses",2
"COS - Materials","COGS",2016-02-01 00:00:00.000,376253.81231774628,"Expenses",2
"COS - Materials","COGS",2016-03-01 00:00:00.000,391303.96481045615,"Expenses",2
"COS - Materials","COGS",2016-04-01 00:00:00.000,371738.76656993333,"Expenses",2
"COS - Materials","COGS",2016-05-01 00:00:00.000,379173.54190133204,"Expenses",2
"COS - Materials","COGS",2016-06-01 00:00:00.000,386757.01273935876,"Expenses",2
"COS - Materials","COGS",2016-07-01 00:00:00.000,379021.87248457153,"Expenses",2
"COS - Materials","COGS",2016-08-01 00:00:00.000,360070.778860343,"Expenses",2
"COS - Materials","COGS",2016-09-01 00:00:00.000,356470.07107173948,"Expenses",2
"COS - Materials","COGS",2016-10-01 00:00:00.000,356470.07107173948,"Expenses",2
"COS - Materials","COGS",2016-11-01 00:00:00.000,363599.47249317425,"Expenses",2
"COS - Materials","COGS",2016-12-01 00:00:00.000,374507.45666796953,"Expenses",2
"COS - Materials","COGS",2017-01-01 00:00:00.000,367017.3075346101,"Expenses",2
"COS - Materials","COGS",2017-02-01 00:00:00.000,363347.134459264,"Expenses",2
"COS - Materials","COGS",2017-03-01 00:00:00.000,356080.19177007867,"Expenses",2
"COS - Materials","COGS",2017-04-01 00:00:00.000,373884.20135858265,"Expenses",2
"COS - Materials","COGS",2017-05-01 00:00:00.000,366406.51733141096,"Expenses",2
"COS - Materials","COGS",2017-06-01 00:00:00.000,359078.38698478276,"Expenses",2
"COS - Materials","COGS",2017-07-01 00:00:00.000,351896.8192450871,"Expenses",2
"COS - Materials","COGS",2017-08-01 00:00:00.000,348377.85105263622,"Expenses",2
"COS - Materials","COGS",2017-09-01 00:00:00.000,351861.62956316257,"Expenses",2
"COS - Materials","COGS",2017-10-01 00:00:00.000,344824.39697189926,"Expenses",2
"COS - Materials","COGS",2017-11-01 00:00:00.000,341376.15300218028,"Expenses",2
"COS - Materials","COGS",2017-12-01 00:00:00.000,337962.39147215849,"Expenses",2
"COS - Materials","COGS",2018-01-01 00:00:00.000,327823.51972799376,"Expenses",2
"COS - Materials","COGS",2018-02-01 00:00:00.000,331101.75492527371,"Expenses",2
"COS - Materials","COGS",2018-03-01 00:00:00.000,347656.84267153736,"Expenses",2
"COS - Materials","COGS",2018-04-01 00:00:00.000,365039.68480511423,"Expenses",2
"COS - Materials","COGS",2018-05-01 00:00:00.000,372340.47850121651,"Expenses",2
"COS - Subcontractors","COGS",2015-05-01 00:00:00.000,458642.81820329296,"Expenses",2
"COS - Subcontractors","COGS",2015-06-01 00:00:00.000,467815.6745673588,"Expenses",2
"COS - Subcontractors","COGS",2015-07-01 00:00:00.000,467815.6745673588,"Expenses",2
"COS - Subcontractors","COGS",2015-08-01 00:00:00.000,463137.51782168524,"Expenses",2
"COS - Subcontractors","COGS",2015-09-01 00:00:00.000,472400.26817811892,"Expenses",2
"COS - Subcontractors","COGS",2015-10-01 00:00:00.000,496020.28158702492,"Expenses",2
"COS - Subcontractors","COGS",2015-11-01 00:00:00.000,496020.28158702492,"Expenses",2
"COS - Subcontractors","COGS",2015-12-01 00:00:00.000,515861.0928505059,"Expenses",2
"COS - Subcontractors","COGS",2016-01-01 00:00:00.000,536495.53656452615,"Expenses",2
"COS - Subcontractors","COGS",2016-02-01 00:00:00.000,515035.7151019451,"Expenses",2
"COS - Subcontractors","COGS",2016-03-01 00:00:00.000,520186.07225296454,"Expenses",2
"COS - Subcontractors","COGS",2016-04-01 00:00:00.000,525387.93297549419,"Expenses",2
"COS - Subcontractors","COGS",2016-05-01 00:00:00.000,504372.41565647436,"Expenses",2
"COS - Subcontractors","COGS",2016-06-01 00:00:00.000,524547.31228273339,"Expenses",2
"COS - Subcontractors","COGS",2016-07-01 00:00:00.000,550774.67789687007,"Expenses",2
"COS - Subcontractors","COGS",2016-08-01 00:00:00.000,561790.17145480751,"Expenses",2
"COS - Subcontractors","COGS",2016-09-01 00:00:00.000,567408.07316935551,"Expenses",2
"COS - Subcontractors","COGS",2016-10-01 00:00:00.000,573082.15390104917,"Expenses",2
"COS - Subcontractors","COGS",2016-11-01 00:00:00.000,601736.26159610169,"Expenses",2
"COS - Subcontractors","COGS",2016-12-01 00:00:00.000,583684.17374821857,"Expenses",2
"COS - Subcontractors","COGS",2017-01-01 00:00:00.000,560336.80679828988,"Expenses",2
"COS - Subcontractors","COGS",2017-02-01 00:00:00.000,577146.91100223863,"Expenses",2
"COS - Subcontractors","COGS",2017-03-01 00:00:00.000,571375.44189221621,"Expenses",2
"COS - Subcontractors","COGS",2017-04-01 00:00:00.000,599944.21398682706,"Expenses",2
"COS - Subcontractors","COGS",2017-05-01 00:00:00.000,593944.77184695879,"Expenses",2
"COS - Subcontractors","COGS",2017-06-01 00:00:00.000,593944.77184695879,"Expenses",2
"COS - Subcontractors","COGS",2017-07-01 00:00:00.000,582065.87641001958,"Expenses",2
"COS - Subcontractors","COGS",2017-08-01 00:00:00.000,587886.53517411987,"Expenses",2
"COS - Subcontractors","COGS",2017-09-01 00:00:00.000,576128.80447063746,"Expenses",2
"COS - Subcontractors","COGS",2017-10-01 00:00:00.000,553083.652291812,"Expenses",2
"COS - Subcontractors","COGS",2017-11-01 00:00:00.000,575206.99838348455,"Expenses",2
"COS - Subcontractors","COGS",2017-12-01 00:00:00.000,603967.34830265876,"Expenses",2
"COS - Subcontractors","COGS",2018-01-01 00:00:00.000,634165.7157177917,"Expenses",2
"COS - Subcontractors","COGS",2018-02-01 00:00:00.000,608799.08708908,"Expenses",2
"COS - Subcontractors","COGS",2018-03-01 00:00:00.000,620975.06883086171,"Expenses",2
"COS - Subcontractors","COGS",2018-04-01 00:00:00.000,602345.81676593586,"Expenses",2
"COS - Subcontractors","COGS",2018-05-01 00:00:00.000,626439.64943657338,"Expenses",2
"COS - Equipment","COGS",2015-05-01 00:00:00.000,13637.124318652628,"Expenses",2
"COS - Equipment","COGS",2015-06-01 00:00:00.000,14046.238048212208,"Expenses",2
"COS - Equipment","COGS",2015-07-01 00:00:00.000,14186.70042869433,"Expenses",2
"COS - Equipment","COGS",2015-08-01 00:00:00.000,13619.232411546554,"Expenses",2
"COS - Equipment","COGS",2015-09-01 00:00:00.000,14027.809383892953,"Expenses",2
"COS - Equipment","COGS",2015-10-01 00:00:00.000,13747.253196215093,"Expenses",2
"COS - Equipment","COGS",2015-11-01 00:00:00.000,13747.253196215093,"Expenses",2
"COS - Equipment","COGS",2015-12-01 00:00:00.000,14434.615856025848,"Expenses",2
"COS - Equipment","COGS",2016-01-01 00:00:00.000,14145.923538905332,"Expenses",2
"COS - Equipment","COGS",2016-02-01 00:00:00.000,14570.301245072493,"Expenses",2
"COS - Equipment","COGS",2016-03-01 00:00:00.000,14861.707269973944,"Expenses",2
"COS - Equipment","COGS",2016-04-01 00:00:00.000,14118.621906475246,"Expenses",2
"COS - Equipment","COGS",2016-05-01 00:00:00.000,13695.063249280989,"Expenses",2
"COS - Equipment","COGS",2016-06-01 00:00:00.000,13147.26071930975,"Expenses",2
"COS - Equipment","COGS",2016-07-01 00:00:00.000,12621.370290537359,"Expenses",2
"COS - Equipment","COGS",2016-08-01 00:00:00.000,12116.515478915864,"Expenses",2
"COS - Equipment","COGS",2016-09-01 00:00:00.000,12358.845788494182,"Expenses",2
"COS - Equipment","COGS",2016-10-01 00:00:00.000,12111.668872724298,"Expenses",2
"COS - Equipment","COGS",2016-11-01 00:00:00.000,11506.085429088083,"Expenses",2
"COS - Equipment","COGS",2016-12-01 00:00:00.000,11275.963720506323,"Expenses",2
"COS - Equipment","COGS",2017-01-01 00:00:00.000,11727.002269326576,"Expenses",2
"COS - Equipment","COGS",2017-02-01 00:00:00.000,12313.352382792906,"Expenses",2
"COS - Equipment","COGS",2017-03-01 00:00:00.000,12559.619430448764,"Expenses",2
"COS - Equipment","COGS",2017-04-01 00:00:00.000,12182.830847535302,"Expenses",2
"COS - Equipment","COGS",2017-05-01 00:00:00.000,12548.315772961361,"Expenses",2
"COS - Equipment","COGS",2017-06-01 00:00:00.000,12799.282088420588,"Expenses",2
"COS - Equipment","COGS",2017-07-01 00:00:00.000,12415.303625767969,"Expenses",2
"COS - Equipment","COGS",2017-08-01 00:00:00.000,12539.456662025648,"Expenses",2
"COS - Equipment","COGS",2017-09-01 00:00:00.000,12790.245795266161,"Expenses",2
"COS - Equipment","COGS",2017-10-01 00:00:00.000,12278.635963455514,"Expenses",2
"COS - Equipment","COGS",2017-11-01 00:00:00.000,12033.063244186404,"Expenses",2
"COS - Equipment","COGS",2017-12-01 00:00:00.000,12634.716406395724,"Expenses",2
"COS - Equipment","COGS",2018-01-01 00:00:00.000,12634.716406395724,"Expenses",2
"COS - Equipment","COGS",2018-02-01 00:00:00.000,13266.452226715512,"Expenses",2
"COS - Equipment","COGS",2018-03-01 00:00:00.000,13266.452226715512,"Expenses",2
"COS - Equipment","COGS",2018-04-01 00:00:00.000,13929.774838051286,"Expenses",2
"COS - Equipment","COGS",2018-05-01 00:00:00.000,14347.668083192826,"Expenses",2
"COS - Other Costs","COGS",2015-05-01 00:00:00.000,90251.855329996819,"Expenses",2
"COS - Other Costs","COGS",2015-06-01 00:00:00.000,90251.855329996819,"Expenses",2
"COS - Other Costs","COGS",2015-07-01 00:00:00.000,90251.855329996819,"Expenses",2
"COS - Other Costs","COGS",2015-08-01 00:00:00.000,92056.892436596754,"Expenses",2
"COS - Other Costs","COGS",2015-09-01 00:00:00.000,92056.892436596754,"Expenses",2
"COS - Other Costs","COGS",2015-10-01 00:00:00.000,87454.0478147669,"Expenses",2
"COS - Other Costs","COGS",2015-11-01 00:00:00.000,91826.750205505246,"Expenses",2
"COS - Other Costs","COGS",2015-12-01 00:00:00.000,87235.41269522997,"Expenses",2
"COS - Other Costs","COGS",2016-01-01 00:00:00.000,85490.704441325375,"Expenses",2
"COS - Other Costs","COGS",2016-02-01 00:00:00.000,85490.704441325375,"Expenses",2
"COS - Other Costs","COGS",2016-03-01 00:00:00.000,88055.425574565132,"Expenses",2
"COS - Other Costs","COGS",2016-04-01 00:00:00.000,87174.871318819482,"Expenses",2
"COS - Other Costs","COGS",2016-05-01 00:00:00.000,84559.6251792549,"Expenses",2
"COS - Other Costs","COGS",2016-06-01 00:00:00.000,83714.02892746235,"Expenses",2
"COS - Other Costs","COGS",2016-07-01 00:00:00.000,82039.7483489131,"Expenses",2
"COS - Other Costs","COGS",2016-08-01 00:00:00.000,78758.158414956575,"Expenses",2
"COS - Other Costs","COGS",2016-09-01 00:00:00.000,75607.8320783583,"Expenses",2
"COS - Other Costs","COGS",2016-10-01 00:00:00.000,76363.910399141881,"Expenses",2
"COS - Other Costs","COGS",2016-11-01 00:00:00.000,78654.827711116144,"Expenses",2
"COS - Other Costs","COGS",2016-12-01 00:00:00.000,78654.827711116144,"Expenses",2
"COS - Other Costs","COGS",2017-01-01 00:00:00.000,79441.3759882273,"Expenses",2
"COS - Other Costs","COGS",2017-02-01 00:00:00.000,77852.548468462759,"Expenses",2
"COS - Other Costs","COGS",2017-03-01 00:00:00.000,78631.073953147381,"Expenses",2
"COS - Other Costs","COGS",2017-04-01 00:00:00.000,82562.627650804759,"Expenses",2
"COS - Other Costs","COGS",2017-05-01 00:00:00.000,78434.496268264513,"Expenses",2
"COS - Other Costs","COGS",2017-06-01 00:00:00.000,81571.8761189951,"Expenses",2
"COS - Other Costs","COGS",2017-07-01 00:00:00.000,79940.4385966152,"Expenses",2
"COS - Other Costs","COGS",2017-08-01 00:00:00.000,79940.4385966152,"Expenses",2
"COS - Other Costs","COGS",2017-09-01 00:00:00.000,79940.4385966152,"Expenses",2
"COS - Other Costs","COGS",2017-10-01 00:00:00.000,82338.651754513659,"Expenses",2
"COS - Other Costs","COGS",2017-11-01 00:00:00.000,79868.492201878238,"Expenses",2
"COS - Other Costs","COGS",2017-12-01 00:00:00.000,80667.177123897025,"Expenses",2
"COS - Other Costs","COGS",2018-01-01 00:00:00.000,78247.161810180114,"Expenses",2
"COS - Other Costs","COGS",2018-02-01 00:00:00.000,76682.218573976512,"Expenses",2
"COS - Other Costs","COGS",2018-03-01 00:00:00.000,75915.396388236739,"Expenses",2
"COS - Other Costs","COGS",2018-04-01 00:00:00.000,74397.088460472,"Expenses",2
"COS - Other Costs","COGS",2018-05-01 00:00:00.000,71421.204922053119,"Expenses",2
"COS - Commissions","COGS",2015-05-01 00:00:00.000,210633.94200619328,"Expenses",2
"COS - Commissions","COGS",2015-06-01 00:00:00.000,208527.60258613134,"Expenses",2
"COS - Commissions","COGS",2015-07-01 00:00:00.000,200186.49848268606,"Expenses",2
"COS - Commissions","COGS",2015-08-01 00:00:00.000,200186.49848268606,"Expenses",2
"COS - Commissions","COGS",2015-09-01 00:00:00.000,198184.63349785918,"Expenses",2
"COS - Commissions","COGS",2015-10-01 00:00:00.000,190257.24815794482,"Expenses",2
"COS - Commissions","COGS",2015-11-01 00:00:00.000,199770.11056584207,"Expenses",2
"COS - Commissions","COGS",2015-12-01 00:00:00.000,199770.11056584207,"Expenses",2
"COS - Commissions","COGS",2016-01-01 00:00:00.000,209758.6160941342,"Expenses",2
"COS - Commissions","COGS",2016-02-01 00:00:00.000,207661.02993319288,"Expenses",2
"COS - Commissions","COGS",2016-03-01 00:00:00.000,209737.64023252481,"Expenses",2
"COS - Commissions","COGS",2016-04-01 00:00:00.000,201348.1346232238,"Expenses",2
"COS - Commissions","COGS",2016-05-01 00:00:00.000,199334.65327699156,"Expenses",2
"COS - Commissions","COGS",2016-06-01 00:00:00.000,203321.34634253138,"Expenses",2
"COS - Commissions","COGS",2016-07-01 00:00:00.000,213487.413659658,"Expenses",2
"COS - Commissions","COGS",2016-08-01 00:00:00.000,215622.28779625456,"Expenses",2
"COS - Commissions","COGS",2016-09-01 00:00:00.000,222090.95643014219,"Expenses",2
"COS - Commissions","COGS",2016-10-01 00:00:00.000,210986.40860863507,"Expenses",2
"COS - Commissions","COGS",2016-11-01 00:00:00.000,210986.40860863507,"Expenses",2
"COS - Commissions","COGS",2016-12-01 00:00:00.000,206766.6804364624,"Expenses",2
"COS - Commissions","COGS",2017-01-01 00:00:00.000,198496.01321900389,"Expenses",2
"COS - Commissions","COGS",2017-02-01 00:00:00.000,208420.81387995408,"Expenses",2
"COS - Commissions","COGS",2017-03-01 00:00:00.000,200083.98132475594,"Expenses",2
"COS - Commissions","COGS",2017-04-01 00:00:00.000,194081.46188501324,"Expenses",2
"COS - Commissions","COGS",2017-05-01 00:00:00.000,186318.2034096127,"Expenses",2
"COS - Commissions","COGS",2017-06-01 00:00:00.000,182591.83934142045,"Expenses",2
"COS - Commissions","COGS",2017-07-01 00:00:00.000,191721.4313084915,"Expenses",2
"COS - Commissions","COGS",2017-08-01 00:00:00.000,195555.85993466136,"Expenses",2
"COS - Commissions","COGS",2017-09-01 00:00:00.000,205333.6529313944,"Expenses",2
"COS - Commissions","COGS",2017-10-01 00:00:00.000,215600.33557796414,"Expenses",2
"COS - Commissions","COGS",2017-11-01 00:00:00.000,226380.35235686239,"Expenses",2
"COS - Commissions","COGS",2017-12-01 00:00:00.000,230907.95940399962,"Expenses",2
"COS - Commissions","COGS",2018-01-01 00:00:00.000,223980.72062187962,"Expenses",2
"COS - Commissions","COGS",2018-02-01 00:00:00.000,212781.68459078565,"Expenses",2
"COS - Commissions","COGS",2018-03-01 00:00:00.000,202142.60036124635,"Expenses",2
"COS - Commissions","COGS",2018-04-01 00:00:00.000,204164.02636485882,"Expenses",2
"COS - Commissions","COGS",2018-05-01 00:00:00.000,212330.58741945319,"Expenses",2
"COS - Prize Fund","COGS",2015-05-01 00:00:00.000,47628.863607280036,"Expenses",2
"COS - Prize Fund","COGS",2015-06-01 00:00:00.000,49057.729515498439,"Expenses",2
"COS - Prize Fund","COGS",2015-07-01 00:00:00.000,51020.038696118376,"Expenses",2
"COS - Prize Fund","COGS",2015-08-01 00:00:00.000,49999.637922196009,"Expenses",2
"COS - Prize Fund","COGS",2015-09-01 00:00:00.000,47499.65602608621,"Expenses",2
"COS - Prize Fund","COGS",2015-10-01 00:00:00.000,47024.659465825345,"Expenses",2
"COS - Prize Fund","COGS",2015-11-01 00:00:00.000,47494.906060483605,"Expenses",2
"COS - Prize Fund","COGS",2015-12-01 00:00:00.000,48919.753242298109,"Expenses",2
"COS - Prize Fund","COGS",2016-01-01 00:00:00.000,51365.740904413018,"Expenses",2
"COS - Prize Fund","COGS",2016-02-01 00:00:00.000,53420.370540589545,"Expenses",2
"COS - Prize Fund","COGS",2016-03-01 00:00:00.000,55022.981656807227,"Expenses",2
"COS - Prize Fund","COGS",2016-04-01 00:00:00.000,53372.292207103019,"Expenses",2
"COS - Prize Fund","COGS",2016-05-01 00:00:00.000,55507.183895387134,"Expenses",2
"COS - Prize Fund","COGS",2016-06-01 00:00:00.000,57727.471251202624,"Expenses",2
"COS - Prize Fund","COGS",2016-07-01 00:00:00.000,55418.37240115452,"Expenses",2
"COS - Prize Fund","COGS",2016-08-01 00:00:00.000,52647.453781096796,"Expenses",2
"COS - Prize Fund","COGS",2016-09-01 00:00:00.000,52120.97924328583,"Expenses",2
"COS - Prize Fund","COGS",2016-10-01 00:00:00.000,51078.559658420112,"Expenses",2
"COS - Prize Fund","COGS",2016-11-01 00:00:00.000,50567.774061835909,"Expenses",2
"COS - Prize Fund","COGS",2016-12-01 00:00:00.000,51579.129543072631,"Expenses",2
"COS - Prize Fund","COGS",2017-01-01 00:00:00.000,51063.338247641906,"Expenses",2
"COS - Prize Fund","COGS",2017-02-01 00:00:00.000,50552.704865165484,"Expenses",2
"COS - Prize Fund","COGS",2017-03-01 00:00:00.000,50552.704865165484,"Expenses",2
"COS - Prize Fund","COGS",2017-04-01 00:00:00.000,52069.28601112045,"Expenses",2
"COS - Prize Fund","COGS",2017-05-01 00:00:00.000,54152.05745156527,"Expenses",2
"COS - Prize Fund","COGS",2017-06-01 00:00:00.000,53069.016302533972,"Expenses",2
"COS - Prize Fund","COGS",2017-07-01 00:00:00.000,51476.945813457947,"Expenses",2
"COS - Prize Fund","COGS",2017-08-01 00:00:00.000,49417.867980919633,"Expenses",2
"COS - Prize Fund","COGS",2017-09-01 00:00:00.000,50900.404020347218,"Expenses",2
"COS - Prize Fund","COGS",2017-10-01 00:00:00.000,52936.420181161113,"Expenses",2
"COS - Prize Fund","COGS",2017-11-01 00:00:00.000,51348.327575726275,"Expenses",2
"COS - Prize Fund","COGS",2017-12-01 00:00:00.000,49807.877748454484,"Expenses",2
"COS - Prize Fund","COGS",2018-01-01 00:00:00.000,52298.271635877216,"Expenses",2
"COS - Prize Fund","COGS",2018-02-01 00:00:00.000,52821.254352235992,"Expenses",2
"COS - Prize Fund","COGS",2018-03-01 00:00:00.000,53349.466895758356,"Expenses",2
"COS - Prize Fund","COGS",2018-04-01 00:00:00.000,56016.940240546268,"Expenses",2
"COS - Prize Fund","COGS",2018-05-01 00:00:00.000,56016.940240546268,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-05-01 00:00:00.000,38916.758245048986,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-06-01 00:00:00.000,37360.087915247022,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-07-01 00:00:00.000,35865.684398637139,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-08-01 00:00:00.000,34072.400178705284,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-09-01 00:00:00.000,35776.020187640548,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-10-01 00:00:00.000,34344.979380134922,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-11-01 00:00:00.000,33658.079792532226,"Expenses",2
"COS - Prize Fund Constr.","COGS",2015-12-01 00:00:00.000,33658.079792532226,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-01-01 00:00:00.000,35340.983782158837,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-02-01 00:00:00.000,35340.983782158837,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-03-01 00:00:00.000,35694.39361998043,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-04-01 00:00:00.000,34980.505747580821,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-05-01 00:00:00.000,33581.285517677585,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-06-01 00:00:00.000,33581.285517677585,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-07-01 00:00:00.000,35260.349793561465,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-08-01 00:00:00.000,33849.935801819011,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-09-01 00:00:00.000,35203.933233891767,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-10-01 00:00:00.000,36964.12989558636,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-11-01 00:00:00.000,36594.488596630494,"Expenses",2
"COS - Prize Fund Constr.","COGS",2016-12-01 00:00:00.000,36960.433482596796,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-01-01 00:00:00.000,37330.037817422766,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-02-01 00:00:00.000,38823.239330119679,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-03-01 00:00:00.000,39987.936510023275,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-04-01 00:00:00.000,38388.419049622338,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-05-01 00:00:00.000,39156.187430614787,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-06-01 00:00:00.000,40330.873053533229,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-07-01 00:00:00.000,42347.416706209893,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-08-01 00:00:00.000,44041.313374458296,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-09-01 00:00:00.000,44041.313374458296,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-10-01 00:00:00.000,42720.073973224549,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-11-01 00:00:00.000,44428.876932153529,"Expenses",2
"COS - Prize Fund Constr.","COGS",2017-12-01 00:00:00.000,44428.876932153529,"Expenses",2
"COS - Prize Fund Constr.","COGS",2018-01-01 00:00:00.000,42651.721854867385,"Expenses",2
"COS - Prize Fund Constr.","COGS",2018-02-01 00:00:00.000,43078.239073416058,"Expenses",2
"COS - Prize Fund Constr.","COGS",2018-03-01 00:00:00.000,45232.15102708686,"Expenses",2
"COS - Prize Fund Constr.","COGS",2018-04-01 00:00:00.000,44779.829516816,"Expenses",2
"COS - Prize Fund Constr.","COGS",2018-05-01 00:00:00.000,46123.224402320477,"Expenses",2
"COS - Referral Fund","COGS",2015-05-01 00:00:00.000,10514.504783566081,"Expenses",2
"COS - Referral Fund","COGS",2015-06-01 00:00:00.000,10093.924592223437,"Expenses",2
"COS - Referral Fund","COGS",2015-07-01 00:00:00.000,10093.924592223437,"Expenses",2
"COS - Referral Fund","COGS",2015-08-01 00:00:00.000,10598.620821834611,"Expenses",2
"COS - Referral Fund","COGS",2015-09-01 00:00:00.000,10174.675988961224,"Expenses",2
"COS - Referral Fund","COGS",2015-10-01 00:00:00.000,10479.916268630062,"Expenses",2
"COS - Referral Fund","COGS",2015-11-01 00:00:00.000,10584.715431316363,"Expenses",2
"COS - Referral Fund","COGS",2015-12-01 00:00:00.000,10690.562585629526,"Expenses",2
"COS - Referral Fund","COGS",2016-01-01 00:00:00.000,10904.373837342117,"Expenses",2
"COS - Referral Fund","COGS",2016-02-01 00:00:00.000,10359.15514547501,"Expenses",2
