Season,Match_Key,match_date,Ground,Winner,match_result,Toss_Winner,Toss_Decision,Teams,Name,is_winner
"2012","20120517KXP",2012-05-17 00:00:00.000,"Dharamsala","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2012","20120517KXP",2012-05-17 00:00:00.000,"Dharamsala","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Chennai Super Kings",0
"2012","20120519DC",2012-05-19 00:00:00.000,"Dharamsala","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 1","Kings XI Punjab",0
"2012","20120519DC",2012-05-19 00:00:00.000,"Dharamsala","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 2","Delhi Capitals",1
"2013","20130403KKR",2013-04-03 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Kolkata Knight Riders",1
"2013","20130403KKR",2013-04-03 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Delhi Capitals",0
"2013","20130414RR",2013-04-14 00:00:00.000,"Jaipur","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 1","Rajasthan Royals",1
"2013","20130414RR",2013-04-14 00:00:00.000,"Jaipur","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 2","Kings XI Punjab",0
"2013","20130506KXP",2013-05-06 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2013","20130506KXP",2013-05-06 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Royal Challengers Bangalore",0
"2014","20140426RR",2014-04-26 00:00:00.000,"Abu Dhabi","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 1","Rajasthan Royals",1
"2014","20140426RR",2014-04-26 00:00:00.000,"Abu Dhabi","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 2","Royal Challengers Bangalore",0
"2014","20140514KXP",2014-05-14 00:00:00.000,"Hyderabad (Deccan)","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Sunrisers Hyderabad",0
"2014","20140514KXP",2014-05-14 00:00:00.000,"Hyderabad (Deccan)","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Kings XI Punjab",1
"2014","20140514KKR",2014-05-14 00:00:00.000,"Cuttack","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Kolkata Knight Riders",1
"2014","20140514KKR",2014-05-14 00:00:00.000,"Cuttack","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Mumbai Indians",0
"2014","20140522SH",2014-05-22 00:00:00.000,"Ranchi","Sunrisers Hyderabad","won by 6 Wickets","Sunrisers Hyderabad","field","Team 1","Chennai Super Kings",0
"2014","20140522SH",2014-05-22 00:00:00.000,"Ranchi","Sunrisers Hyderabad","won by 6 Wickets","Sunrisers Hyderabad","field","Team 2","Sunrisers Hyderabad",1
"2015","20150416RR",2015-04-16 00:00:00.000,"Visakhapatnam","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 1","Sunrisers Hyderabad",0
"2015","20150416RR",2015-04-16 00:00:00.000,"Visakhapatnam","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 2","Rajasthan Royals",1
"2015","20150420KKR",2015-04-20 00:00:00.000,"Delhi","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Delhi Capitals",0
"2015","20150420KKR",2015-04-20 00:00:00.000,"Delhi","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Kolkata Knight Riders",1
"2016","20160413MI",2016-04-13 00:00:00.000,"Kolkata","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 1","Kolkata Knight Riders",0
"2016","20160413MI",2016-04-13 00:00:00.000,"Kolkata","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 2","Mumbai Indians",1
"2016","20160419KKR",2016-04-19 00:00:00.000,"Mohali","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Kings XI Punjab",0
"2016","20160419KKR",2016-04-19 00:00:00.000,"Mohali","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Kolkata Knight Riders",1
"2016","20160420MI",2016-04-20 00:00:00.000,"Mumbai","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 1","Mumbai Indians",1
"2016","20160420MI",2016-04-20 00:00:00.000,"Mumbai","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 2","Royal Challengers Bangalore",0
"2016","20160428MI",2016-04-28 00:00:00.000,"Mumbai","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 1","Mumbai Indians",1
"2016","20160428MI",2016-04-28 00:00:00.000,"Mumbai","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 2","Kolkata Knight Riders",0
"2016","20160511MI",2016-05-11 00:00:00.000,"Bengaluru","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 1","Royal Challengers Bangalore",0
"2016","20160511MI",2016-05-11 00:00:00.000,"Bengaluru","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 2","Mumbai Indians",1
"2016","20160519GL",2016-05-19 00:00:00.000,"Kanpur","Gujarat Lions","won by 6 Wickets","Gujarat Lions","field","Team 1","Gujarat Lions",1
"2016","20160519GL",2016-05-19 00:00:00.000,"Kanpur","Gujarat Lions","won by 6 Wickets","Gujarat Lions","field","Team 2","Kolkata Knight Riders",0
"2016","20160520DC",2016-05-20 00:00:00.000,"Raipur","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 1","Delhi Capitals",1
"2016","20160520DC",2016-05-20 00:00:00.000,"Raipur","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 2","Sunrisers Hyderabad",0
"2016","20160521GL",2016-05-21 00:00:00.000,"Kanpur","Gujarat Lions","won by 6 Wickets","Gujarat Lions","field","Team 1","Gujarat Lions",1
"2016","20160521GL",2016-05-21 00:00:00.000,"Kanpur","Gujarat Lions","won by 6 Wickets","Gujarat Lions","field","Team 2","Mumbai Indians",0
"2016","20160522RCB",2016-05-22 00:00:00.000,"Raipur","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 1","Delhi Capitals",0
"2016","20160522RCB",2016-05-22 00:00:00.000,"Raipur","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 2","Royal Challengers Bangalore",1
"2017","20170408KXP",2017-04-08 00:00:00.000,"Indore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2017","20170408KXP",2017-04-08 00:00:00.000,"Indore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Rising Pune Supergiant",0
"2017","20170416MI",2017-04-16 00:00:00.000,"Mumbai","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 1","Mumbai Indians",1
"2017","20170416MI",2017-04-16 00:00:00.000,"Mumbai","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 2","Gujarat Lions",0
"2017","20170422RPS",2017-04-22 00:00:00.000,"Pune","Rising Pune Supergiant","won by 6 Wickets","Rising Pune Supergiant","field","Team 1","Rising Pune Supergiant",1
"2017","20170422RPS",2017-04-22 00:00:00.000,"Pune","Rising Pune Supergiant","won by 6 Wickets","Rising Pune Supergiant","field","Team 2","Sunrisers Hyderabad",0
"2017","20170502DC",2017-05-02 00:00:00.000,"Delhi","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 1","Delhi Capitals",1
"2017","20170502DC",2017-05-02 00:00:00.000,"Delhi","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 2","Sunrisers Hyderabad",0
"2017","20170507KKR",2017-05-07 00:00:00.000,"Bengaluru","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Royal Challengers Bangalore",0
"2017","20170507KKR",2017-05-07 00:00:00.000,"Bengaluru","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Kolkata Knight Riders",1
"2017","20170507GL",2017-05-07 00:00:00.000,"Mohali","Gujarat Lions","won by 6 Wickets","Gujarat Lions","field","Team 1","Kings XI Punjab",0
"2017","20170507GL",2017-05-07 00:00:00.000,"Mohali","Gujarat Lions","won by 6 Wickets","Gujarat Lions","field","Team 2","Gujarat Lions",1
"2017","20170519MI",2017-05-19 00:00:00.000,"Bengaluru","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 1","Mumbai Indians",1
"2017","20170519MI",2017-05-19 00:00:00.000,"Bengaluru","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 2","Kolkata Knight Riders",0
"2018","20180408KXP",2018-04-08 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2018","20180408KXP",2018-04-08 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Delhi Capitals",0
"2018","20180421RCB",2018-04-21 00:00:00.000,"Bengaluru","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 1","Royal Challengers Bangalore",1
"2018","20180421RCB",2018-04-21 00:00:00.000,"Bengaluru","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 2","Delhi Capitals",0
"2018","20180429KKR",2018-04-29 00:00:00.000,"Bengaluru","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Royal Challengers Bangalore",0
"2018","20180429KKR",2018-04-29 00:00:00.000,"Bengaluru","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Kolkata Knight Riders",1
"2018","20180503KKR",2018-05-03 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Kolkata Knight Riders",1
"2018","20180503KKR",2018-05-03 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Chennai Super Kings",0
"2018","20180504MI",2018-05-04 00:00:00.000,"Indore","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 1","Kings XI Punjab",0
"2018","20180504MI",2018-05-04 00:00:00.000,"Indore","Mumbai Indians","won by 6 Wickets","Mumbai Indians","field","Team 2","Mumbai Indians",1
"2018","20180505CSK",2018-05-05 00:00:00.000,"Pune","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 1","Chennai Super Kings",1
"2018","20180505CSK",2018-05-05 00:00:00.000,"Pune","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 2","Royal Challengers Bangalore",0
"2018","20180506KXP",2018-05-06 00:00:00.000,"Indore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2018","20180506KXP",2018-05-06 00:00:00.000,"Indore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Rajasthan Royals",0
"2018","20180515KKR",2018-05-15 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Kolkata Knight Riders",1
"2018","20180515KKR",2018-05-15 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Rajasthan Royals",0
"2019","20190324KKR",2019-03-24 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 1","Kolkata Knight Riders",1
"2019","20190324KKR",2019-03-24 00:00:00.000,"Kolkata","Kolkata Knight Riders","won by 6 Wickets","Kolkata Knight Riders","field","Team 2","Sunrisers Hyderabad",0
"2019","20190408KXP",2019-04-08 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2019","20190408KXP",2019-04-08 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Sunrisers Hyderabad",0
"2019","20190422DC",2019-04-22 00:00:00.000,"Jaipur","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 1","Rajasthan Royals",0
"2019","20190422DC",2019-04-22 00:00:00.000,"Jaipur","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 2","Delhi Capitals",1
"2019","20190423CSK",2019-04-23 00:00:00.000,"Chennai","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 1","Chennai Super Kings",1
"2019","20190423CSK",2019-04-23 00:00:00.000,"Chennai","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 2","Sunrisers Hyderabad",0
"2019","20190505KXP",2019-05-05 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2019","20190505KXP",2019-05-05 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Chennai Super Kings",0
"2019","20190510CSK",2019-05-10 00:00:00.000,"Visakhapatnam","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 1","Chennai Super Kings",1
"2019","20190510CSK",2019-05-10 00:00:00.000,"Visakhapatnam","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 2","Delhi Capitals",0
"2010","20100315DC",2010-03-15 00:00:00.000,"Cuttack","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 1","Rajasthan Royals",0
"2010","20100315DC",2010-03-15 00:00:00.000,"Cuttack","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 2","Delhi Capitals",1
"2010","20100418CSK",2010-04-18 00:00:00.000,"Dharamsala","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 1","Kings XI Punjab",0
"2010","20100418CSK",2010-04-18 00:00:00.000,"Dharamsala","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 2","Chennai Super Kings",1
"2008","20080505KXP",2008-05-05 00:00:00.000,"Bengaluru, Bangalore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Royal Challengers Bangalore",0
"2008","20080505KXP",2008-05-05 00:00:00.000,"Bengaluru, Bangalore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Kings XI Punjab",1
"2008","20080520RR",2008-05-20 00:00:00.000,"Kolkata","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 1","Kolkata Knight Riders",0
"2008","20080520RR",2008-05-20 00:00:00.000,"Kolkata","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 2","Rajasthan Royals",1
"2008","20080523KXP",2008-05-23 00:00:00.000,"Mohali, Chandigarh","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2008","20080523KXP",2008-05-23 00:00:00.000,"Mohali, Chandigarh","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Deccan Chargers",0
"2009","20090418MI",2009-04-18 00:00:00.000,"Cape Town","Mumbai Indians","won by 19 Runs","Chennai Super Kings","field","Team 1","Chennai Super Kings",0
"2009","20090418MI",2009-04-18 00:00:00.000,"Cape Town","Mumbai Indians","won by 19 Runs","Chennai Super Kings","field","Team 2","Mumbai Indians",1
"2009","20090419DC",2009-04-19 00:00:00.000,"Cape Town","Delhi Capitals","won by 10 Wickets","Delhi Capitals","field","Team 1","Delhi Capitals",1
"2009","20090419DC",2009-04-19 00:00:00.000,"Cape Town","Delhi Capitals","won by 10 Wickets","Delhi Capitals","field","Team 2","Kings XI Punjab",0
"2009","20090421KKR",2009-04-21 00:00:00.000,"Durban","Kolkata Knight Riders","won by 11 Runs","Kolkata Knight Riders","field","Team 1","Kings XI Punjab",0
"2009","20090421KKR",2009-04-21 00:00:00.000,"Durban","Kolkata Knight Riders","won by 11 Runs","Kolkata Knight Riders","field","Team 2","Kolkata Knight Riders",1
"2009","20090423TIE",2009-04-23 00:00:00.000,"Cape Town","tied","","Kolkata Knight Riders","field","Team 1","Kolkata Knight Riders",0
"2009","20090423TIE",2009-04-23 00:00:00.000,"Cape Town","tied","","Kolkata Knight Riders","field","Team 2","Rajasthan Royals",0
"2009","20090430CSK",2009-04-30 00:00:00.000,"Centurion","Chennai Super Kings","won by 38 Runs","Rajasthan Royals","field","Team 1","Chennai Super Kings",1
"2009","20090430CSK",2009-04-30 00:00:00.000,"Centurion","Chennai Super Kings","won by 38 Runs","Rajasthan Royals","field","Team 2","Rajasthan Royals",0
"2009","20090502CSK",2009-05-02 00:00:00.000,"Johannesburg","Chennai Super Kings","won by 18 Runs","Delhi Capitals","field","Team 1","Chennai Super Kings",1
"2009","20090502CSK",2009-05-02 00:00:00.000,"Johannesburg","Chennai Super Kings","won by 18 Runs","Delhi Capitals","field","Team 2","Delhi Capitals",0
"2009","20090505RR",2009-05-05 00:00:00.000,"Durban","Rajasthan Royals","won by 78 Runs","Kings XI Punjab","field","Team 1","Kings XI Punjab",0
"2009","20090505RR",2009-05-05 00:00:00.000,"Durban","Rajasthan Royals","won by 78 Runs","Kings XI Punjab","field","Team 2","Rajasthan Royals",1
"2009","20090507RR",2009-05-07 00:00:00.000,"Centurion","Rajasthan Royals","won by 7 Wickets","Rajasthan Royals","field","Team 1","Royal Challengers Bangalore",0
"2009","20090507RR",2009-05-07 00:00:00.000,"Centurion","Rajasthan Royals","won by 7 Wickets","Rajasthan Royals","field","Team 2","Rajasthan Royals",1
"2009","20090509KXP",2009-05-09 00:00:00.000,"Kimberley","Kings XI Punjab","won by 3 Wickets","Kings XI Punjab","field","Team 1","Deccan Chargers",0
"2009","20090509KXP",2009-05-09 00:00:00.000,"Kimberley","Kings XI Punjab","won by 3 Wickets","Kings XI Punjab","field","Team 2","Kings XI Punjab",1
"2009","20090510DC",2009-05-10 00:00:00.000,"Johannesburg","Delhi Capitals","won by 7 Wickets","Delhi Capitals","field","Team 1","Delhi Capitals",1
"2009","20090510DC",2009-05-10 00:00:00.000,"Johannesburg","Delhi Capitals","won by 7 Wickets","Delhi Capitals","field","Team 2","Kolkata Knight Riders",0
"2009","20090513DC",2009-05-13 00:00:00.000,"Durban","Delhi Capitals","won by 12 Runs","Deccan Chargers","field","Team 1","Deccan Chargers",0
"2009","20090513DC",2009-05-13 00:00:00.000,"Durban","Delhi Capitals","won by 12 Runs","Deccan Chargers","field","Team 2","Delhi Capitals",1
"2009","20090517KXP",2009-05-17 00:00:00.000,"Johannesburg","Kings XI Punjab","won by 1 Runs","Deccan Chargers","field","Team 1","Deccan Chargers",0
"2009","20090517KXP",2009-05-17 00:00:00.000,"Johannesburg","Kings XI Punjab","won by 1 Runs","Deccan Chargers","field","Team 2","Kings XI Punjab",1
"2009","20090520KKR",2009-05-20 00:00:00.000,"Durban","Kolkata Knight Riders","won by 4 Wickets","Kolkata Knight Riders","field","Team 1","Kolkata Knight Riders",1
"2009","20090520KKR",2009-05-20 00:00:00.000,"Durban","Kolkata Knight Riders","won by 4 Wickets","Kolkata Knight Riders","field","Team 2","Rajasthan Royals",0
"2009","20090521DC",2009-05-21 00:00:00.000,"Centurion","Delhi Capitals","won by 4 Wickets","Delhi Capitals","field","Team 1","Delhi Capitals",1
"2009","20090521DC",2009-05-21 00:00:00.000,"Centurion","Delhi Capitals","won by 4 Wickets","Delhi Capitals","field","Team 2","Mumbai Indians",0
"2009","20090524DC",2009-05-24 00:00:00.000,"Johannesburg","Deccan Chargers","won by 6 Runs","Royal Challengers Bangalore","field","Team 1","Royal Challengers Bangalore",0
"2009","20090524DC",2009-05-24 00:00:00.000,"Johannesburg","Deccan Chargers","won by 6 Runs","Royal Challengers Bangalore","field","Team 2","Deccan Chargers",1
"2011","20110415KKR",2011-04-15 00:00:00.000,"Jaipur","Kolkata Knight Riders","won by 9 Wickets","Kolkata Knight Riders","field","Team 1","Rajasthan Royals",0
"2011","20110415KKR",2011-04-15 00:00:00.000,"Jaipur","Kolkata Knight Riders","won by 9 Wickets","Kolkata Knight Riders","field","Team 2","Kolkata Knight Riders",1
"2011","20110418KTK",2011-04-18 00:00:00.000,"Kochi","Kochi Tuskers Kerala","won by 7 Wickets","Kochi Tuskers Kerala","field","Team 1","Kochi Tuskers Kerala",1
"2011","20110418KTK",2011-04-18 00:00:00.000,"Kochi","Kochi Tuskers Kerala","won by 7 Wickets","Kochi Tuskers Kerala","field","Team 2","Chennai Super Kings",0
"2011","20110421KXP",2011-04-21 00:00:00.000,"Mohali","Kings XI Punjab","won by 48 Runs","Rajasthan Royals","field","Team 1","Kings XI Punjab",1
"2011","20110421KXP",2011-04-21 00:00:00.000,"Mohali","Kings XI Punjab","won by 48 Runs","Rajasthan Royals","field","Team 2","Rajasthan Royals",0
"2011","20110424RR",2011-04-24 00:00:00.000,"Jaipur","Rajasthan Royals","won by 8 Wickets","Rajasthan Royals","field","Team 1","Rajasthan Royals",1
"2011","20110424RR",2011-04-24 00:00:00.000,"Jaipur","Rajasthan Royals","won by 8 Wickets","Rajasthan Royals","field","Team 2","Kochi Tuskers Kerala",0
"2011","20110425CSK",2011-04-25 00:00:00.000,"Chennai","Chennai Super Kings","won by 25 Runs","Pune Warriors","field","Team 1","Chennai Super Kings",1
"2011","20110425CSK",2011-04-25 00:00:00.000,"Chennai","Chennai Super Kings","won by 25 Runs","Pune Warriors","field","Team 2","Pune Warriors",0
"2011","20110427DC",2011-04-27 00:00:00.000,"Kochi","Deccan Chargers","won by 55 Runs","Kochi Tuskers Kerala","field","Team 1","Kochi Tuskers Kerala",0
"2011","20110427DC",2011-04-27 00:00:00.000,"Kochi","Deccan Chargers","won by 55 Runs","Kochi Tuskers Kerala","field","Team 2","Deccan Chargers",1
"2011","20110429RR",2011-04-29 00:00:00.000,"Jaipur","Rajasthan Royals","won by 7 Wickets","Rajasthan Royals","field","Team 1","Rajasthan Royals",1
"2011","20110429RR",2011-04-29 00:00:00.000,"Jaipur","Rajasthan Royals","won by 7 Wickets","Rajasthan Royals","field","Team 2","Mumbai Indians",0
"2011","20110505KTK",2011-05-05 00:00:00.000,"Kochi","Kochi Tuskers Kerala","won by 17 Runs","Kolkata Knight Riders","field","Team 1","Kochi Tuskers Kerala",1
"2011","20110505KTK",2011-05-05 00:00:00.000,"Kochi","Kochi Tuskers Kerala","won by 17 Runs","Kolkata Knight Riders","field","Team 2","Kolkata Knight Riders",0
"2011","20110509CSK",2011-05-09 00:00:00.000,"Jaipur","Chennai Super Kings","won by 63 Runs","Rajasthan Royals","field","Team 1","Rajasthan Royals",0
"2011","20110509CSK",2011-05-09 00:00:00.000,"Jaipur","Chennai Super Kings","won by 63 Runs","Rajasthan Royals","field","Team 2","Chennai Super Kings",1
"2011","20110510KXP",2011-05-10 00:00:00.000,"Mohali","Kings XI Punjab","won by 76 Runs","Mumbai Indians","field","Team 1","Kings XI Punjab",1
"2011","20110510KXP",2011-05-10 00:00:00.000,"Mohali","Kings XI Punjab","won by 76 Runs","Mumbai Indians","field","Team 2","Mumbai Indians",0
"2011","20110511RCB",2011-05-11 00:00:00.000,"Jaipur","Royal Challengers Bangalore","won by 9 Wickets","Royal Challengers Bangalore","field","Team 1","Rajasthan Royals",0
"2011","20110511RCB",2011-05-11 00:00:00.000,"Jaipur","Royal Challengers Bangalore","won by 9 Wickets","Royal Challengers Bangalore","field","Team 2","Royal Challengers Bangalore",1
