match_key,innings,team,batsman,player_key,batting_position,Season
"20090421KKR",1,"Kings XI Punjab","Yuvraj Singh",1042,5,"2009"
"20090421KKR",1,"Kings XI Punjab","DPMD Jayawardene",1044,6,"2009"
"20090421KKR",1,"Kings XI Punjab","T Kohli",1047,7,"2009"
"20090421KKR",1,"Kings XI Punjab","PP Chawla",1046,8,"2009"
"20090424KXP",2,"Kings XI Punjab","RS Bopara",1040,1,"2009"
"20090424KXP",2,"Kings XI Punjab","K Goel",1041,2,"2009"
"20090424KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2009"
"20090424KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2009"
"20090424KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2009"
"20090426KXP",1,"Kings XI Punjab","RS Bopara",1040,1,"2009"
"20090426KXP",1,"Kings XI Punjab","KC Sangakkara",1043,2,"2009"
"20090426KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,3,"2009"
"20090426KXP",1,"Kings XI Punjab","DPMD Jayawardene",1044,4,"2009"
"20090426KXP",1,"Kings XI Punjab","IK Pathan",1045,5,"2009"
"20090426KXP",1,"Kings XI Punjab","PP Chawla",1046,6,"2009"
"20090426KXP",1,"Kings XI Punjab","WA Mota",1093,7,"2009"
"20090429KXP",1,"Kings XI Punjab","RS Bopara",1040,1,"2009"
"20090429KXP",1,"Kings XI Punjab","K Goel",1041,2,"2009"
"20090429KXP",1,"Kings XI Punjab","KC Sangakkara",1043,3,"2009"
"20090429KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2009"
"20090429KXP",1,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2009"
"20090429KXP",1,"Kings XI Punjab","IK Pathan",1045,6,"2009"
"20090429KXP",1,"Kings XI Punjab","WA Mota",1093,7,"2009"
"20090429KXP",1,"Kings XI Punjab","PP Chawla",1046,8,"2009"
"20090429KXP",1,"Kings XI Punjab","RR Powar",1106,9,"2009"
"20090501RCB",2,"Kings XI Punjab","Yuvraj Singh",1042,1,"2009"
"20090501RCB",2,"Kings XI Punjab","K Goel",1041,2,"2009"
"20090501RCB",2,"Kings XI Punjab","SM Katich",1113,3,"2009"
"20090501RCB",2,"Kings XI Punjab","KC Sangakkara",1043,4,"2009"
"20090501RCB",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2009"
"20090501RCB",2,"Kings XI Punjab","IK Pathan",1045,6,"2009"
"20090501RCB",2,"Kings XI Punjab","PP Chawla",1046,7,"2009"
"20090501RCB",2,"Kings XI Punjab","TM Srivastava",1114,8,"2009"
"20090503KXP",2,"Kings XI Punjab","S Sohal",1124,1,"2009"
"20090503KXP",2,"Kings XI Punjab","KC Sangakkara",1043,2,"2009"
"20090503KXP",2,"Kings XI Punjab","SM Katich",1113,3,"2009"
"20090503KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,4,"2009"
"20090503KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,5,"2009"
"20090503KXP",2,"Kings XI Punjab","IK Pathan",1045,6,"2009"
"20090507CSK",2,"Kings XI Punjab","S Sohal",1124,1,"2009"
"20090507CSK",2,"Kings XI Punjab","K Goel",1041,2,"2009"
"20090507CSK",2,"Kings XI Punjab","SM Katich",1113,3,"2009"
"20090507CSK",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2009"
"20090507CSK",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2009"
"20090509KXP",2,"Kings XI Punjab","S Sohal",1124,1,"2009"
"20090509KXP",2,"Kings XI Punjab","SM Katich",1113,2,"2009"
"20090509KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2009"
"20090509KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2009"
"20090509KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2009"
"20090509KXP",2,"Kings XI Punjab","IK Pathan",1045,6,"2009"
"20090509KXP",2,"Kings XI Punjab","WA Mota",1093,7,"2009"
"20090509KXP",2,"Kings XI Punjab","B Lee",1134,8,"2009"
"20090509KXP",2,"Kings XI Punjab","PP Chawla",1046,9,"2009"
"20090515KXP",2,"Kings XI Punjab","S Sohal",1124,1,"2009"
"20090515KXP",2,"Kings XI Punjab","SM Katich",1113,2,"2009"
"20090515KXP",2,"Kings XI Punjab","LA Pomersbach",1139,3,"2009"
"20090515KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2009"
"20090515KXP",2,"Kings XI Punjab","KC Sangakkara",1043,5,"2009"
"20090515KXP",2,"Kings XI Punjab","IK Pathan",1045,6,"2009"
"20090517KXP",1,"Kings XI Punjab","S Sohal",1124,1,"2009"
"20090517KXP",1,"Kings XI Punjab","SM Katich",1113,2,"2009"
"20090517KXP",1,"Kings XI Punjab","LA Pomersbach",1139,3,"2009"
"20090517KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2009"
"20090517KXP",1,"Kings XI Punjab","KC Sangakkara",1043,5,"2009"
"20090517KXP",1,"Kings XI Punjab","WA Mota",1093,6,"2009"
"20090517KXP",1,"Kings XI Punjab","IK Pathan",1045,7,"2009"
"20090517KXP",1,"Kings XI Punjab","B Lee",1134,8,"2009"
"20090517KXP",1,"Kings XI Punjab","PP Chawla",1046,9,"2009"
"20090520CSK",2,"Kings XI Punjab","S Sohal",1124,1,"2009"
"20090520CSK",2,"Kings XI Punjab","SM Katich",1113,2,"2009"
"20090520CSK",2,"Kings XI Punjab","LA Pomersbach",1139,3,"2009"
"20090520CSK",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2009"
"20090520CSK",2,"Kings XI Punjab","KC Sangakkara",1043,5,"2009"
"20090520CSK",2,"Kings XI Punjab","WA Mota",1093,6,"2009"
"20090520CSK",2,"Kings XI Punjab","IK Pathan",1045,7,"2009"
"20090520CSK",2,"Kings XI Punjab","B Lee",1134,8,"2009"
"20090520CSK",2,"Kings XI Punjab","PP Chawla",1046,9,"2009"
"20090520CSK",2,"Kings XI Punjab","RR Powar",1106,10,"2009"
"20100316RCB",1,"Kings XI Punjab","RS Bopara",1040,1,"2010"
"20100316RCB",1,"Kings XI Punjab","MS Bisla",1155,2,"2010"
"20100316RCB",1,"Kings XI Punjab","Yuvraj Singh",1042,3,"2010"
"20100316RCB",1,"Kings XI Punjab","DPMD Jayawardene",1044,4,"2010"
"20100316RCB",1,"Kings XI Punjab","IK Pathan",1045,5,"2010"
"20100327KKR",2,"Kings XI Punjab","RS Bopara",1040,1,"2010"
"20100327KKR",2,"Kings XI Punjab","MS Bisla",1155,2,"2010"
"20100327KKR",2,"Kings XI Punjab","Yuvraj Singh",1042,3,"2010"
"20100327KKR",2,"Kings XI Punjab","KC Sangakkara",1043,4,"2010"
"20100327KKR",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2010"
"20100327KKR",2,"Kings XI Punjab","IK Pathan",1045,6,"2010"
"20100327KKR",2,"Kings XI Punjab","K Goel",1041,7,"2010"
"20100327KKR",2,"Kings XI Punjab","B Lee",1134,8,"2010"
"20100402RCB",1,"Kings XI Punjab","SE Marsh",1170,1,"2010"
"20100402RCB",1,"Kings XI Punjab","MS Bisla",1155,2,"2010"
"20100402RCB",1,"Kings XI Punjab","KC Sangakkara",1043,3,"2010"
"20100402RCB",1,"Kings XI Punjab","RS Bopara",1040,4,"2010"
"20100402RCB",1,"Kings XI Punjab","Yuvraj Singh",1042,5,"2010"
"20100402RCB",1,"Kings XI Punjab","IK Pathan",1045,6,"2010"
"20100402RCB",1,"Kings XI Punjab","B Lee",1134,7,"2010"
"20100404KXP",2,"Kings XI Punjab","MS Bisla",1155,1,"2010"
"20100404KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,2,"2010"
"20100404KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2010"
"20100404KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2010"
"20100409KXP",2,"Kings XI Punjab","AB Barath",1468,1,"2010"
"20100409KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,2,"2010"
"20100409KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2010"
"20100409KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2010"
"20100409KXP",2,"Kings XI Punjab","IK Pathan",1045,5,"2010"
"20100409KXP",2,"Kings XI Punjab","RS Sodhi",1474,6,"2010"
"20100411KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,1,"2010"
"20100411KXP",2,"Kings XI Punjab","IK Pathan",1045,2,"2010"
"20100411KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2010"
"20100411KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2010"
"20100411KXP",2,"Kings XI Punjab","AB Barath",1468,5,"2010"
"20100418CSK",1,"Kings XI Punjab","DPMD Jayawardene",1044,1,"2010"
"20100418CSK",1,"Kings XI Punjab","SE Marsh",1170,2,"2010"
"20100418CSK",1,"Kings XI Punjab","KC Sangakkara",1043,3,"2010"
"20100418CSK",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2010"
"20100418CSK",1,"Kings XI Punjab","IK Pathan",1045,5,"2010"
"20110413KXP",2,"Kings XI Punjab","PC Valthaty",1082,1,"2011"
"20110413KXP",2,"Kings XI Punjab","AC Gilchrist",1061,2,"2011"
"20110413KXP",2,"Kings XI Punjab","SE Marsh",1170,3,"2011"
"20110413KXP",2,"Kings XI Punjab","Sunny Singh",1171,4,"2011"
"20110413KXP",2,"Kings XI Punjab","AM Nayar",1006,5,"2011"
"20110413KXP",2,"Kings XI Punjab","KD Karthik",1076,6,"2011"
"20110416KXP",2,"Kings XI Punjab","AC Gilchrist",1061,1,"2011"
"20110416KXP",2,"Kings XI Punjab","PC Valthaty",1082,2,"2011"
"20110416KXP",2,"Kings XI Punjab","AM Nayar",1006,3,"2011"
"20110416KXP",2,"Kings XI Punjab","KD Karthik",1076,4,"2011"
"20110421KXP",1,"Kings XI Punjab","AC Gilchrist",1061,1,"2011"
"20110421KXP",1,"Kings XI Punjab","PC Valthaty",1082,2,"2011"
"20110421KXP",1,"Kings XI Punjab","SE Marsh",1170,3,"2011"
"20110421KXP",1,"Kings XI Punjab","KD Karthik",1076,4,"2011"
"20110421KXP",1,"Kings XI Punjab","AM Nayar",1006,5,"2011"
"20110421KXP",1,"Kings XI Punjab","R McLaren",1172,6,"2011"
"20110421KXP",1,"Kings XI Punjab","Sunny Singh",1171,7,"2011"
"20110421KXP",1,"Kings XI Punjab","PP Chawla",1046,8,"2011"
"20110430KKR",1,"Kings XI Punjab","AC Gilchrist",1061,1,"2011"
"20110430KKR",1,"Kings XI Punjab","PC Valthaty",1082,2,"2011"
"20110430KKR",1,"Kings XI Punjab","SE Marsh",1170,3,"2011"
"20110430KKR",1,"Kings XI Punjab","KD Karthik",1076,4,"2011"
"20110430KKR",1,"Kings XI Punjab","AM Nayar",1006,5,"2011"
"20110430KKR",1,"Kings XI Punjab","DJ Hussey",1137,6,"2011"
"20110430KKR",1,"Kings XI Punjab","Bipul Sharma",1215,7,"2011"
"20110430KKR",1,"Kings XI Punjab","P Kumar",1026,8,"2011"
"20110506RCB",2,"Kings XI Punjab","AC Gilchrist",1061,1,"2011"
"20110506RCB",2,"Kings XI Punjab","PC Valthaty",1082,2,"2011"
"20110506RCB",2,"Kings XI Punjab","AM Nayar",1006,3,"2011"
"20110506RCB",2,"Kings XI Punjab","SE Marsh",1170,4,"2011"
"20110506RCB",2,"Kings XI Punjab","KD Karthik",1076,5,"2011"
"20110506RCB",2,"Kings XI Punjab","Sunny Singh",1171,6,"2011"
"20110506RCB",2,"Kings XI Punjab","R McLaren",1172,7,"2011"
"20110506RCB",2,"Kings XI Punjab","PP Chawla",1046,8,"2011"
"20110506RCB",2,"Kings XI Punjab","RJ Harris",1126,9,"2011"
"20110506RCB",2,"Kings XI Punjab","P Kumar",1026,10,"2011"
"20110506RCB",2,"Kings XI Punjab","L Ablish",1219,11,"2011"
"20110510KXP",1,"Kings XI Punjab","PC Valthaty",1082,1,"2011"
"20110510KXP",1,"Kings XI Punjab","AC Gilchrist",1061,2,"2011"
"20110510KXP",1,"Kings XI Punjab","SE Marsh",1170,3,"2011"
"20110510KXP",1,"Kings XI Punjab","KD Karthik",1076,4,"2011"
"20110510KXP",1,"Kings XI Punjab","DJ Hussey",1137,5,"2011"
"20110510KXP",1,"Kings XI Punjab","Mandeep Singh",1222,6,"2011"
"20110510KXP",1,"Kings XI Punjab","Bipul Sharma",1215,7,"2011"
"20110510KXP",1,"Kings XI Punjab","RJ Harris",1126,8,"2011"
"20110510KXP",1,"Kings XI Punjab","P Kumar",1026,9,"2011"
"20110510KXP",1,"Kings XI Punjab","SJ Srivastava",1223,10,"2011"
"20110513KXP",2,"Kings XI Punjab","AC Gilchrist",1061,1,"2011"
"20110513KXP",2,"Kings XI Punjab","PC Valthaty",1082,2,"2011"
"20110513KXP",2,"Kings XI Punjab","SE Marsh",1170,3,"2011"
"20110513KXP",2,"Kings XI Punjab","KD Karthik",1076,4,"2011"
"20110513KXP",2,"Kings XI Punjab","DJ Hussey",1137,5,"2011"
"20110513KXP",2,"Kings XI Punjab","Mandeep Singh",1222,6,"2011"
"20110515KXP",1,"Kings XI Punjab","PC Valthaty",1082,1,"2011"
"20110515KXP",1,"Kings XI Punjab","AC Gilchrist",1061,2,"2011"
"20110515KXP",1,"Kings XI Punjab","SE Marsh",1170,3,"2011"
"20110515KXP",1,"Kings XI Punjab","DJ Hussey",1137,4,"2011"
"20110515KXP",1,"Kings XI Punjab","KD Karthik",1076,5,"2011"
"20110515KXP",1,"Kings XI Punjab","Mandeep Singh",1222,6,"2011"
"20110515KXP",1,"Kings XI Punjab","RJ Harris",1126,7,"2011"
"20110515KXP",1,"Kings XI Punjab","PP Chawla",1046,8,"2011"
"20110517KXP",1,"Kings XI Punjab","PC Valthaty",1082,1,"2011"
"20110517KXP",1,"Kings XI Punjab","AC Gilchrist",1061,2,"2011"
"20110517KXP",1,"Kings XI Punjab","SE Marsh",1170,3,"2011"
"20110517KXP",1,"Kings XI Punjab","DJ Hussey",1137,4,"2011"
"20120412KXP",2,"Kings XI Punjab","PC Valthaty",1082,1,"2012"
"20120412KXP",2,"Kings XI Punjab","SE Marsh",1170,2,"2012"
"20120412KXP",2,"Kings XI Punjab","AC Gilchrist",1061,3,"2012"
"20120412KXP",2,"Kings XI Punjab","Mandeep Singh",1222,4,"2012"
"20120412KXP",2,"Kings XI Punjab","PP Chawla",1046,5,"2012"
"20120415KXP",1,"Kings XI Punjab","AC Gilchrist",1061,1,"2012"
"20120415KXP",1,"Kings XI Punjab","Mandeep Singh",1222,2,"2012"
"20120415KXP",1,"Kings XI Punjab","SE Marsh",1170,3,"2012"
"20120415KXP",1,"Kings XI Punjab","DJ Hussey",1137,4,"2012"
"20120415KXP",1,"Kings XI Punjab","P Dogra",1256,5,"2012"
"20120415KXP",1,"Kings XI Punjab","Bipul Sharma",1215,6,"2012"
"20120415KXP",1,"Kings XI Punjab","AD Mascarenhas",1034,7,"2012"
"20120415KXP",1,"Kings XI Punjab","PP Chawla",1046,8,"2012"
"20120415KXP",1,"Kings XI Punjab","P Kumar",1026,9,"2012"
"20120415KXP",1,"Kings XI Punjab","Harmeet Singh",1247,10,"2012"
"20120415KXP",1,"Kings XI Punjab","BA Bhatt",1236,11,"2012"
"20120418KKR",1,"Kings XI Punjab","AC Gilchrist",1061,1,"2012"
"20120418KKR",1,"Kings XI Punjab","PC Valthaty",1082,2,"2012"
"20120418KKR",1,"Kings XI Punjab","SE Marsh",1170,3,"2012"
"20120418KKR",1,"Kings XI Punjab","Mandeep Singh",1222,4,"2012"
"20120418KKR",1,"Kings XI Punjab","DJ Hussey",1137,5,"2012"
"20120418KKR",1,"Kings XI Punjab","P Dogra",1256,6,"2012"
"20120418KKR",1,"Kings XI Punjab","AD Mascarenhas",1034,7,"2012"
"20120418KKR",1,"Kings XI Punjab","PP Chawla",1046,8,"2012"
"20120420RCB",1,"Kings XI Punjab","N Saini",1258,1,"2012"
"20120420RCB",1,"Kings XI Punjab","PC Valthaty",1082,2,"2012"
"20120420RCB",1,"Kings XI Punjab","SE Marsh",1170,3,"2012"
"20120420RCB",1,"Kings XI Punjab","DJ Hussey",1137,4,"2012"
"20120420RCB",1,"Kings XI Punjab","DA Miller",1259,5,"2012"
"20120420RCB",1,"Kings XI Punjab","Mandeep Singh",1222,6,"2012"
"20120420RCB",1,"Kings XI Punjab","Azhar Mahmood",1260,7,"2012"
"20120420RCB",1,"Kings XI Punjab","PP Chawla",1046,8,"2012"
"20120422KXP",2,"Kings XI Punjab","N Saini",1258,1,"2012"
"20120422KXP",2,"Kings XI Punjab","Mandeep Singh",1222,2,"2012"
"20120422KXP",2,"Kings XI Punjab","SE Marsh",1170,3,"2012"
"20120422KXP",2,"Kings XI Punjab","DJ Hussey",1137,4,"2012"
"20120422KXP",2,"Kings XI Punjab","Azhar Mahmood",1260,5,"2012"
"20120422KXP",2,"Kings XI Punjab","DA Miller",1259,6,"2012"
"20120428KXP",1,"Kings XI Punjab","Mandeep Singh",1222,1,"2012"
"20120428KXP",1,"Kings XI Punjab","SE Marsh",1170,2,"2012"
"20120428KXP",1,"Kings XI Punjab","Azhar Mahmood",1260,3,"2012"
"20120428KXP",1,"Kings XI Punjab","DA Miller",1259,4,"2012"
"20120428KXP",1,"Kings XI Punjab","DJ Hussey",1137,5,"2012"
"20120428KXP",1,"Kings XI Punjab","Bipul Sharma",1215,6,"2012"
"20120428KXP",1,"Kings XI Punjab","PP Chawla",1046,7,"2012"
"20120428KXP",1,"Kings XI Punjab","N Saini",1258,8,"2012"
"20120428KXP",1,"Kings XI Punjab","P Kumar",1026,9,"2012"
"20120502KXP",2,"Kings XI Punjab","Mandeep Singh",1222,1,"2012"
"20120502KXP",2,"Kings XI Punjab","SE Marsh",1170,2,"2012"
"20120502KXP",2,"Kings XI Punjab","N Saini",1258,3,"2012"
"20120502KXP",2,"Kings XI Punjab","DJ Hussey",1137,4,"2012"
"20120502KXP",2,"Kings XI Punjab","Azhar Mahmood",1260,5,"2012"
"20120502KXP",2,"Kings XI Punjab","AM Nayar",1006,6,"2012"
"20120502KXP",2,"Kings XI Punjab","P Dogra",1256,7,"2012"
"20120502KXP",2,"Kings XI Punjab","PP Chawla",1046,8,"2012"
"20120508KXP",1,"Kings XI Punjab","Mandeep Singh",1222,1,"2012"
"20120508KXP",1,"Kings XI Punjab","SE Marsh",1170,2,"2012"
"20120508KXP",1,"Kings XI Punjab","N Saini",1258,3,"2012"
"20120508KXP",1,"Kings XI Punjab","DJ Hussey",1137,4,"2012"
"20120508KXP",1,"Kings XI Punjab","Azhar Mahmood",1260,5,"2012"
"20120508KXP",1,"Kings XI Punjab","DA Miller",1259,6,"2012"
"20120508KXP",1,"Kings XI Punjab","SD Chitnis",1140,7,"2012"
"20120513KXP",2,"Kings XI Punjab","N Saini",1258,1,"2012"
"20120513KXP",2,"Kings XI Punjab","Mandeep Singh",1222,2,"2012"
"20120513KXP",2,"Kings XI Punjab","SE Marsh",1170,3,"2012"
"20120513KXP",2,"Kings XI Punjab","Azhar Mahmood",1260,4,"2012"
"20120513KXP",2,"Kings XI Punjab","DJ Hussey",1137,5,"2012"
"20120513KXP",2,"Kings XI Punjab","SD Chitnis",1140,6,"2012"
"20120513KXP",2,"Kings XI Punjab","PP Chawla",1046,7,"2012"
"20120513KXP",2,"Kings XI Punjab","Gurkeerat Singh",1269,8,"2012"
"20120517KXP",2,"Kings XI Punjab","AC Gilchrist",1061,1,"2012"
"20120517KXP",2,"Kings XI Punjab","Mandeep Singh",1222,2,"2012"
"20120517KXP",2,"Kings XI Punjab","N Saini",1258,3,"2012"
"20120517KXP",2,"Kings XI Punjab","DJ Hussey",1137,4,"2012"
"20120517KXP",2,"Kings XI Punjab","SD Chitnis",1140,5,"2012"
"20120517KXP",2,"Kings XI Punjab","Azhar Mahmood",1260,6,"2012"
