Season,match_key,innings,team,batsman,player_key,batting_position,R,B,fours,sixes,special_role
"2010","20100418CSK",2,"Chennai Super Kings","MS Dhoni",1014,5,0,2,0,0,"captain & wicket keeper"
"2011","20110411KKR",2,"Deccan Chargers","KC Sangakkara",1043,4,0,3,0,0,"captain & wicket keeper"
"2011","20110416KXP",1,"Deccan Chargers","DT Christian",1160,6,0,1,0,0,"normal player"
"2011","20110420KTK",2,"Kolkata Knight Riders","JH Kallis",1066,2,0,2,0,0,"normal player"
"2011","20110429RCB",1,"Royal Challengers Bangalore","TM Dilshan",1075,2,0,1,0,0,"normal player"
"2011","20110430KKR",2,"Kolkata Knight Riders","EJG Morgan",1156,2,0,1,0,0,"normal player"
"2011","20110502KTK",1,"Delhi Daredevils","NV Ojha",1116,3,0,3,0,0,"wicket keeper"
"2011","20110505KTK",2,"Kolkata Knight Riders","MV Boucher",1091,7,0,0,0,0,"wicket keeper"
"2011","20110527RCB",1,"Royal Challengers Bangalore","AB de Villiers",1074,4,0,3,0,0,"wicket keeper"
"2012","20120410KKR",1,"Kolkata Knight Riders","G Gambhir",1048,2,0,1,0,0,"captain"
"2012","20120418KKR",1,"Kings XI Punjab","AD Mascarenhas",1034,7,0,1,0,0,"normal player"
"2012","20120504CSK",2,"Deccan Chargers","PA Patel",1010,1,0,1,0,0,"wicket keeper"
"2012","20120509RCB",1,"Mumbai Indians","AT Rayudu",1169,5,0,2,0,0,"normal player"
"2012","20120509RCB",1,"Mumbai Indians","Harbhajan Singh",1007,8,0,1,0,0,"captain"
"2012","20120513KXP",1,"Deccan Chargers","PA Patel",1010,2,0,0,0,0,"wicket keeper"
"2012","20120514CSK",1,"Kolkata Knight Riders","G Gambhir",1048,1,0,2,0,0,"captain"
"2013","20130421KXP",2,"Kings XI Punjab","M Vohra",1287,3,0,1,0,0,"normal player"
"2013","20130425CSK",2,"Chennai Super Kings","RA Jadeja",1035,6,0,2,0,0,"normal player"
"2013","20130502CSK",2,"Kings XI Punjab","MS Gony",1079,8,0,3,0,0,"normal player"
"2013","20130502RCB",2,"Pune Warriors","R Sharma",1177,11,0,1,0,0,"normal player"
"2013","20130502RCB",2,"Pune Warriors","TL Suman",1107,3,0,1,0,0,"normal player"
"2013","20130516KXP",2,"Delhi Daredevils","V Sehwag",1049,5,0,2,0,0,"normal player"
"2013","20130521CSK",2,"Mumbai Indians","KD Karthik",1076,3,0,3,0,0,"wicket keeper"
"2014","20140416KKR",2,"Mumbai Indians","Harbhajan Singh",1007,7,0,4,0,0,"normal player"
"2014","20140513CSK",2,"Chennai Super Kings","R Ashwin",1152,5,0,0,0,0,"normal player"
"2014","20140524KKR",1,"Sunrisers Hyderabad","DJG Sammy",1303,5,0,3,0,0,"captain"
"2014","20140601KKR",1,"Kings XI Punjab","GJ Maxwell",1241,5,0,3,0,0,"normal player"
"2015","20150422CSK",2,"Royal Challengers Bangalore","RR Rossouw",1327,2,0,1,0,0,"normal player"
"2015","20150424RCB",1,"Rajasthan Royals","SPD Smith",1242,4,0,1,0,0,"normal player"
"2015","20150506RCB",2,"Kings XI Punjab","AR Patel",1319,7,0,1,0,0,"normal player"
"2016","20160410KKR",1,"Delhi Daredevils","CH Morris",1292,8,0,3,0,0,"normal player"
"2016","20160417KXP",2,"Kings XI Punjab","GJ Maxwell",1241,5,0,3,0,0,"normal player"
"2016","20160426RPS",1,"Sunrisers Hyderabad","AP Tare",1313,2,0,1,0,0,"normal player"
"2016","20160504KKR",2,"Kings XI Punjab","GJ Maxwell",1241,4,0,1,0,0,"normal player"
"2016","20160504KKR",2,"Kings XI Punjab","Gurkeerat Singh",1269,7,0,3,0,0,"normal player"
"2016","20160504KKR",2,"Kings XI Punjab","AR Patel",1319,8,0,2,0,0,"normal player"
"2016","20160514KKR",1,"Rising Pune Supergiants","AM Rahane",1111,1,0,3,0,0,"normal player"
"2016","20160521RPS",1,"Kings XI Punjab","F Behardien",1375,7,0,1,0,0,"normal player"
"2016","20160521RPS",1,"Kings XI Punjab","KJ Abbott",1362,9,0,1,0,0,"normal player"
"2017","20170416RPS",1,"Rising Pune Supergiant","AM Rahane",1111,1,0,3,0,0,"normal player"
"2017","20170416RPS",1,"Rising Pune Supergiant","SN Thakur",1352,7,0,1,0,0,"normal player"
"2017","20170417KKR",2,"Kolkata Knight Riders","C de Grandhomme",1394,2,0,2,0,0,"normal player"
"2017","20170418RCB",2,"Gujarat Lions","DR Smith",1088,1,0,2,0,0,"normal player"
"2017","20170507KKR",1,"Royal Challengers Bangalore","CH Gayle",1051,1,0,2,0,0,"normal player"
"2017","20170514RPS",2,"Rising Pune Supergiant","AM Rahane",1111,1,0,1,0,0,"normal player"
"2017","20170516RPS",2,"Mumbai Indians","KH Pandya",1359,7,0,1,0,0,"normal player"
"2017","20170516RPS",2,"Mumbai Indians","LMP Simmons",1329,1,0,5,0,0,"normal player"
"2008","20080418KKR",2,"Royal Challengers Bangalore","CL White",1190,5,6,10,0,0,"normal player"
"2008","20080418KKR",2,"Royal Challengers Bangalore","V Kohli",1024,3,1,5,0,0,"normal player"
"2008","20080418KKR",2,"Royal Challengers Bangalore","R Dravid",1023,1,2,3,0,0,"captain"
"2008","20080418KKR",2,"Royal Challengers Bangalore","Z Khan",1008,10,3,8,0,0,"normal player"
"2008","20080418KKR",2,"Royal Challengers Bangalore","W Jaffer",1125,2,6,16,0,0,"normal player"
"2008","20080418KKR",2,"Royal Challengers Bangalore","SB Joshi",1480,11,3,6,0,0,"normal player"
"2008","20080419CSK",1,"Chennai Super Kings","MS Dhoni",1014,4,2,3,0,0,"captain & wicket keeper"
"2008","20080419CSK",2,"Kings XI Punjab","IK Pathan",1045,6,3,5,0,0,"normal player"
"2008","20080420KKR",1,"Deccan Chargers","RP Singh",1089,10,1,2,0,0,"normal player"
"2008","20080420KKR",2,"Kolkata Knight Riders","LR Shukla",1055,7,4,6,0,0,"normal player"
"2008","20080420RCB",1,"Mumbai Indians","Harbhajan Singh",1007,8,2,2,0,0,"captain"
"2008","20080420RCB",2,"Royal Challengers Bangalore","B Akhil",1025,7,3,5,0,0,"normal player"
"2008","20080423CSK",1,"Chennai Super Kings","S Badrinath",1016,7,2,1,0,0,"normal player"
"2008","20080423CSK",2,"Mumbai Indians","L Ronchi",1131,1,2,3,0,0,"wicket keeper"
"2008","20080423CSK",2,"Mumbai Indians","A Nehra",1123,9,1,2,0,0,"normal player"
"2008","20080425KXP",1,"Kings XI Punjab","IK Pathan",1045,2,6,3,0,0,"normal player"
"2008","20080425KXP",1,"Kings XI Punjab","RR Sarwan",1490,5,7,9,0,0,"normal player"
"2008","20080425KXP",2,"Mumbai Indians","ST Jayasuriya",1001,2,1,7,0,0,"normal player"
"2008","20080425KXP",2,"Mumbai Indians","AM Nayar",1006,7,2,3,0,0,"normal player"
"2008","20080425KXP",2,"Mumbai Indians","DS Kulkarni",1129,10,2,16,0,0,"normal player"
"2008","20080425KXP",2,"Mumbai Indians","A Nehra",1123,11,2,10,0,0,"normal player"
"2008","20080426CSK",1,"Kolkata Knight Riders","M Kartik",1058,9,3,3,0,0,"normal player"
"2008","20080426CSK",1,"Kolkata Knight Riders","I Sharma",1059,10,4,3,0,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","MV Boucher",1091,5,4,6,0,0,"wicket keeper"
"2008","20080428CSK",2,"Royal Challengers Bangalore","P Kumar",1026,8,6,5,0,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","B Akhil",1025,10,2,3,0,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","DW Steyn",1028,11,1,2,0,0,"normal player"
"2008","20080501KXP",1,"Deccan Chargers","AC Gilchrist",1061,1,6,6,0,0,"wicket keeper"
"2008","20080501KXP",1,"Deccan Chargers","HH Gibbs",1062,3,7,9,0,0,"normal player"
"2008","20080501KXP",1,"Deccan Chargers","Y Venugopal Rao",1070,6,1,2,0,0,"normal player"
"2008","20080501KXP",1,"Deccan Chargers","SB Bangar",1085,7,3,8,0,0,"normal player"
"2008","20080501KXP",1,"Deccan Chargers","DNT Zoysa",1497,8,1,2,0,0,"normal player"
"2008","20080501KXP",1,"Deccan Chargers","D Kalyankrishna",1498,9,3,8,0,0,"normal player"
"2008","20080501KXP",1,"Deccan Chargers","RP Singh",1089,10,2,2,0,0,"normal player"
"2008","20080501KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,3,4,0,0,"wicket keeper"
"2008","20080503RCB",1,"Royal Challengers Bangalore","Misbah-ul-Haq",1501,5,3,5,0,0,"normal player"
"2008","20080503RCB",2,"Deccan Chargers","Shahid Afridi",1488,5,1,2,0,0,"normal player"
"2008","20080503RCB",2,"Deccan Chargers","SB Styris",1069,6,2,3,0,0,"normal player"
"2008","20080503RCB",2,"Deccan Chargers","AS Yadav",1483,8,3,4,0,0,"normal player"
"2008","20080528KXP",2,"Rajasthan Royals","M Kaif",1212,1,12,15,0,0,"normal player"
"2008","20080528KXP",2,"Rajasthan Royals","YK Pathan",1033,5,2,4,0,0,"normal player"
"2009","20090501RCB",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,7,9,0,0,"normal player"
"2009","20090501RCB",2,"Kings XI Punjab","IK Pathan",1045,6,7,10,0,0,"normal player"
"2009","20090502CSK",2,"Delhi Daredevils","M Manhas",1092,6,3,2,0,0,"normal player"
"2009","20090503KXP",1,"Kolkata Knight Riders","BB McCullum",1050,1,5,7,0,0,"captain"
"2009","20090507CSK",1,"Chennai Super Kings","JA Morkel",1065,5,4,5,0,0,"normal player"
"2009","20090512RCB",2,"Royal Challengers Bangalore","R Dravid",1023,5,10,12,0,0,"normal player"
"2009","20090517KXP",1,"Kings XI Punjab","S Sohal",1124,1,3,12,0,0,"normal player"
"2009","20090520CSK",2,"Kings XI Punjab","LA Pomersbach",1139,3,1,2,0,0,"normal player"
"2009","20090520CSK",2,"Kings XI Punjab","WA Mota",1093,6,12,19,0,0,"normal player"
"2009","20090520CSK",2,"Kings XI Punjab","PP Chawla",1046,9,1,1,0,0,"normal player"
"2009","20090520KKR",1,"Rajasthan Royals","YK Pathan",1033,6,1,5,0,0,"normal player"
"2009","20090523RCB",1,"Chennai Super Kings","MS Dhoni",1014,3,2,2,0,0,"captain & wicket keeper"
"2009","20090523RCB",1,"Chennai Super Kings","S Badrinath",1016,7,4,9,0,0,"normal player"
"2010","20100316RCB",2,"Royal Challengers Bangalore","V Kohli",1024,4,2,5,0,0,"normal player"
"2010","20100323RCB",1,"Royal Challengers Bangalore","EJG Morgan",1156,6,7,6,0,0,"normal player"
"2010","20100327KKR",2,"Kings XI Punjab","IK Pathan",1045,6,1,1,0,0,"normal player"
"2010","20100402RCB",1,"Kings XI Punjab","RS Bopara",1040,4,1,4,0,0,"normal player"
"2010","20100402RCB",1,"Kings XI Punjab","Yuvraj Singh",1042,5,2,3,0,0,"normal player"
"2010","20100402RCB",1,"Kings XI Punjab","B Lee",1134,7,3,3,0,0,"normal player"
"2010","20100403CSK",2,"Rajasthan Royals","AA Jhunjhunwala",1217,6,2,5,0,0,"normal player"
"2010","20100406CSK",2,"Mumbai Indians","DJ Bravo",1005,5,2,8,0,0,"normal player"
"2010","20100409KXP",1,"Mumbai Indians","AT Rayudu",1169,3,3,4,0,0,"wicket keeper"
"2010","20100409KXP",1,"Mumbai Indians","R Sathish",1200,6,4,5,0,0,"normal player"
"2010","20100409KXP",1,"Mumbai Indians","KA Pollard",1183,7,5,6,0,0,"normal player"
"2010","20100409KXP",1,"Mumbai Indians","R McLaren",1172,9,1,3,0,0,"normal player"
"2010","20100410RCB",1,"Kolkata Knight Riders","BB McCullum",1050,3,6,7,0,0,"normal player"
"2010","20100413CSK",1,"Kolkata Knight Riders","AD Mathews",1138,6,1,2,0,0,"normal player"
"2010","20100413CSK",1,"Kolkata Knight Riders","AB Agarkar",1057,9,6,6,0,0,"normal player"
"2010","20100414RCB",1,"Rajasthan Royals","SR Watson",1182,4,1,2,0,0,"normal player"
"2010","20100418CSK",2,"Chennai Super Kings","ML Hayden",1011,2,1,5,0,0,"normal player"
"2010","20100418CSK",2,"Chennai Super Kings","JA Morkel",1065,6,1,4,0,0,"normal player"
"2011","20110411KKR",2,"Deccan Chargers","A Mishra",1099,9,2,2,0,0,"normal player"
"2011","20110411KKR",2,"Deccan Chargers","I Sharma",1059,10,1,1,0,0,"normal player"
"2011","20110420KTK",2,"Kolkata Knight Riders","MS Bisla",1155,1,9,22,0,0,"wicket keeper"
"2011","20110425CSK",1,"Chennai Super Kings","MS Dhoni",1014,4,3,6,0,0,"captain & wicket keeper"
"2011","20110425CSK",1,"Chennai Super Kings","JA Morkel",1065,5,3,4,0,0,"normal player"
"2011","20110502KTK",1,"Delhi Daredevils","DA Warner",1121,1,3,7,0,0,"normal player"
"2011","20110502KTK",1,"Delhi Daredevils","Y Venugopal Rao",1070,5,1,10,0,0,"normal player"
"2011","20110502KTK",1,"Delhi Daredevils","RE van der Merwe",1104,8,2,4,0,0,"normal player"
"2011","20110502KTK",2,"Kochi Tuskers Kerala","M Klinger",1214,1,2,6,0,0,"normal player"
"2011","20110502KTK",2,"Kochi Tuskers Kerala","PA Patel",1010,3,1,3,0,0,"wicket keeper"
"2011","20110504CSK",2,"Chennai Super Kings","M Vijay",1118,2,3,14,0,0,"normal player"
"2012","20120407CSK",1,"Chennai Super Kings","F du Plessis",1238,3,3,2,0,0,"normal player"
"2012","20120407CSK",1,"Chennai Super Kings","S Badrinath",1016,4,10,16,0,0,"normal player"
"2012","20120407CSK",1,"Chennai Super Kings","RA Jadeja",1035,5,3,5,0,0,"normal player"
"2012","20120407CSK",1,"Chennai Super Kings","MS Dhoni",1014,6,4,6,0,0,"captain & wicket keeper"
"2012","20120407CSK",1,"Chennai Super Kings","JA Morkel",1065,8,3,8,0,0,"normal player"
"2012","20120407RCB",2,"Delhi Daredevils","GJ Maxwell",1241,5,3,7,0,0,"normal player"
"2012","20120410KKR",1,"Kolkata Knight Riders","JH Kallis",1066,1,5,8,0,0,"normal player"
"2012","20120417RCB",1,"Pune Warriors","MN Samuels",1243,4,8,15,0,0,"normal player"
"2012","20120418KKR",1,"Kings XI Punjab","AC Gilchrist",1061,1,5,9,0,0,"captain & wicket keeper"
"2012","20120418KKR",1,"Kings XI Punjab","SE Marsh",1170,3,1,6,0,0,"normal player"
"2012","20120418KKR",1,"Kings XI Punjab","P Dogra",1256,6,6,11,0,0,"normal player"
"2012","20120418KKR",2,"Kolkata Knight Riders","JH Kallis",1066,4,1,5,0,0,"normal player"
"2012","20120422KXP",2,"Kings XI Punjab","Mandeep Singh",1222,2,20,15,0,0,"normal player"
"2012","20120422KXP",2,"Kings XI Punjab","DA Miller",1259,6,8,13,0,0,"normal player"
"2012","20120423RCB",2,"Rajasthan Royals","BJ Hodge",1053,5,3,5,0,0,"normal player"
"2012","20120430KKR",1,"Chennai Super Kings","MS Dhoni",1014,5,1,4,0,0,"captain & wicket keeper"
"2012","20120430KKR",1,"Chennai Super Kings","JA Morkel",1065,7,8,9,0,0,"normal player"
"2012","20120506RCB",1,"Deccan Chargers","KC Sangakkara",1043,4,1,5,0,0,"captain"
"2012","20120507KKR",2,"Kolkata Knight Riders","JH Kallis",1066,3,1,4,0,0,"normal player"
"2012","20120507KKR",2,"Kolkata Knight Riders","YK Pathan",1033,4,11,15,0,0,"normal player"
"2012","20120507KKR",2,"Kolkata Knight Riders","MK Tiwary",1077,5,6,4,0,0,"normal player"
"2012","20120508KXP",1,"Kings XI Punjab","N Saini",1258,3,2,9,0,0,"wicket keeper"
"2012","20120509RCB",1,"Mumbai Indians","JEC Franklin",1194,1,1,9,0,0,"normal player"
"2013","20130404RCB",2,"Mumbai Indians","RG Sharma",1064,4,14,19,0,0,"normal player"
"2013","20130404RCB",2,"Mumbai Indians","Harbhajan Singh",1007,6,1,4,0,0,"captain"
"2013","20130414KKR",1,"Kolkata Knight Riders","EJG Morgan",1156,4,2,5,0,0,"normal player"
"2013","20130414KKR",1,"Kolkata Knight Riders","MS Bisla",1155,1,1,5,0,0,"wicket keeper"
"2013","20130420RCB",1,"Rajasthan Royals","STR Binny",1197,4,4,4,0,0,"normal player"
"2013","20130422CSK",2,"Chennai Super Kings","M Vijay",1118,1,2,5,0,0,"normal player"
"2013","20130422CSK",2,"Chennai Super Kings","MS Dhoni",1014,4,9,7,0,0,"captain & wicket keeper"
"2013","20130425CSK",2,"Chennai Super Kings","M Vijay",1118,2,3,5,0,0,"normal player"
"2013","20130425CSK",2,"Chennai Super Kings","CH Morris",1292,7,1,1,0,0,"normal player"
"2013","20130428CSK",1,"Chennai Super Kings","RA Jadeja",1035,5,1,4,0,0,"normal player"
"2013","20130502CSK",2,"Kings XI Punjab","Gurkeerat Singh",1269,6,2,4,0,0,"wicket keeper"
"2013","20130502RCB",2,"Pune Warriors","AM Nayar",1006,7,2,4,0,0,"normal player"
"2013","20130502RCB",2,"Pune Warriors","AB Dinda",1060,10,2,2,0,0,"normal player"
"2013","20130512KKR",2,"Kolkata Knight Riders","JH Kallis",1066,2,2,6,0,0,"normal player"
"2013","20130512KKR",2,"Kolkata Knight Riders","YK Pathan",1033,4,3,6,0,0,"normal player"
"2013","20130514KXP",1,"Royal Challengers Bangalore","MC Henriques",1056,5,11,11,0,0,"normal player"
"2013","20130514KXP",1,"Royal Challengers Bangalore","CA Pujara",1178,1,5,14,0,0,"normal player"
"2013","20130516KXP",2,"Delhi Daredevils","IK Pathan",1045,3,4,5,0,0,"normal player"
"2013","20130516KXP",2,"Delhi Daredevils","BJ Rohrer",1295,6,4,5,0,0,"normal player"
"2013","20130521CSK",2,"Mumbai Indians","Harbhajan Singh",1007,7,5,8,0,0,"normal player"
"2013","20130521CSK",2,"Mumbai Indians","SL Malinga",1132,9,1,1,0,0,"normal player"
"2014","20140416KKR",2,"Mumbai Indians","RG Sharma",1064,4,8,15,0,0,"captain"
"2014","20140417RCB",2,"Royal Challengers Bangalore","PA Patel",1010,1,1,3,0,0,"wicket keeper"
"2014","20140420KXP",1,"Rajasthan Royals","SV Samson",1293,3,3,9,0,0,"wicket keeper"
"2014","20140420KXP",1,"Rajasthan Royals","SR Watson",1182,4,3,7,0,0,"captain"
"2014","20140502CSK",1,"Chennai Super Kings","RA Jadeja",1035,5,6,9,0,0,"normal player"
"2014","20140504RCB",1,"Sunrisers Hyderabad","IK Pathan",1045,7,1,1,0,0,"normal player"
"2014","20140509KXP",2,"Royal Challengers Bangalore","Yuvraj Singh",1042,6,6,10,0,0,"normal player"
"2014","20140520KKR",1,"Chennai Super Kings","RA Jadeja",1035,6,10,9,0,0,"normal player"
"2014","20140601KKR",1,"Kings XI Punjab","GJ Bailey",1148,3,1,1,0,0,"captain"
"2015","20150420KKR",1,"Delhi Daredevils","Yuvraj Singh",1042,5,9,13,0,0,"normal player"
"2015","20150420KKR",1,"Delhi Daredevils","MA Agarwal",1163,1,1,3,0,0,"normal player"
"2015","20150424RCB",1,"Rajasthan Royals","JP Faulkner",1246,8,1,3,0,0,"normal player"
"2015","20150502RCB",2,"Royal Challengers Bangalore","V Kohli",1024,2,1,4,0,0,"captain"
"2015","20150504CSK",2,"Royal Challengers Bangalore","AB de Villiers",1074,3,2,4,0,0,"normal player"
"2015","20150504CSK",2,"Royal Challengers Bangalore","D Wiese",1347,5,9,7,0,0,"normal player"
"2015","20150507KKR",1,"Kolkata Knight Riders","AD Russell",1274,6,1,3,0,0,"normal player"
"2015","20150509KKR",1,"Kings XI Punjab","GJ Maxwell",1241,4,1,5,0,0,"normal player"
"2015","20150509KKR",1,"Kings XI Punjab","M Vohra",1287,2,2,3,0,0,"normal player"
"2015","20150509KKR",1,"Kings XI Punjab","M Vijay",1118,1,2,6,0,0,"normal player"
"2015","20150510RCB",2,"Mumbai Indians","RG Sharma",1064,3,18,22,0,0,"captain"
"2015","20150510RCB",2,"Mumbai Indians","KA Pollard",1183,4,1,4,0,0,"normal player"
"2015","20150520RCB",2,"Rajasthan Royals","CH Morris",1292,9,4,5,0,0,"normal player"
"2015","20150522CSK",1,"Royal Challengers Bangalore","CH Gayle",1051,1,1,5,0,0,"normal player"
"2015","20150522CSK",1,"Royal Challengers Bangalore","V Kohli",1024,2,1,2,0,0,"captain"
"2016","20160409RPS",1,"Mumbai Indians","HH Pandya",1346,3,1,2,0,0,"normal player"
"2016","20160410KKR",1,"Delhi Daredevils","SV Samson",1293,5,5,8,0,0,"wicket keeper"
"2016","20160417KXP",2,"Kings XI Punjab","M Vijay",1118,1,1,5,0,0,"normal player"
"2016","20160417KXP",2,"Kings XI Punjab","WP Saha",1102,6,3,7,0,0,"wicket keeper"
"2016","20160419KKR",2,"Kolkata Knight Riders","MK Pandey",1105,3,11,11,0,0,"normal player"
"2016","20160424KKR",1,"Rising Pune Supergiants","F du Plessis",1238,2,2,3,0,0,"normal player"
"2016","20160426RPS",1,"Sunrisers Hyderabad","NV Ojha",1116,7,2,2,0,0,"wicket keeper"
"2016","20160426RPS",1,"Sunrisers Hyderabad","DJ Hooda",1341,5,5,5,0,0,"normal player"
"2016","20160502KKR",2,"Kolkata Knight Riders","G Gambhir",1048,2,6,8,0,0,"captain"
"2016","20160504KKR",2,"Kings XI Punjab","Sandeep Sharma",1311,11,1,1,0,0,"normal player"
"2016","20160504KKR",2,"Kings XI Punjab","MM Sharma",1307,9,1,2,0,0,"normal player"
"2016","20160505RPS",2,"Rising Pune Supergiants","AM Rahane",1111,1,4,5,0,0,"normal player"
"2016","20160509RCB",1,"Royal Challengers Bangalore","AB de Villiers",1074,3,1,3,0,0,"normal player"
"2016","20160509RCB",1,"Royal Challengers Bangalore","TM Head",1363,6,6,9,0,0,"normal player"
"2016","20160517RPS",2,"Rising Pune Supergiants","AM Rahane",1111,1,2,6,0,0,"normal player"
"2016","20160518RCB",2,"Kings XI Punjab","M Vijay",1118,1,6,12,0,0,"captain"
"2016","20160521RPS",1,"Kings XI Punjab","DA Miller",1259,5,3,6,0,0,"normal player"
"2016","20160522KKR",1,"Kolkata Knight Riders","MK Pandey",1105,4,1,3,0,0,"normal player"
"2016","20160522KKR",1,"Kolkata Knight Riders","Shakib Al Hasan",1196,7,3,8,0,0,"normal player"
"2016","20160522RCB",1,"Delhi Daredevils","Q de Kock",1297,1,2,9,0,0,"wicket keeper"
"2016","20160522RCB",1,"Delhi Daredevils","SV Samson",1293,4,3,4,0,0,"normal player"
"2017","20170407KKR",1,"Gujarat Lions","SK Raina",1012,3,1,5,0,0,"captain"
"2017","20170416RPS",1,"Rising Pune Supergiant","MS Dhoni",1014,4,5,8,0,0,"wicket keeper"
"2017","20170417KKR",2,"Kolkata Knight Riders","CR Woakes",1387,7,1,1,0,0,"normal player"
"2017","20170422RPS",1,"Sunrisers Hyderabad","DA Warner",1121,1,4,7,0,0,"captain"
"2017","20170423KXP",2,"Gujarat Lions","KD Karthik",1076,4,3,3,0,0,"wicket keeper"
"2017","20170424RPS",1,"Rising Pune Supergiant","AM Rahane",1111,1,2,7,0,0,"normal player"
"2017","20170429RPS",1,"Rising Pune Supergiant","MK Tiwary",1077,4,1,2,0,0,"normal player"
"2017","20170430KXP",1,"Delhi Daredevils","CJ Anderson",1317,6,2,5,0,0,"normal player"
"2017","20170501RPS",2,"Rising Pune Supergiant","AM Rahane",1111,1,6,8,0,0,"normal player"
"2017","20170503RPS",1,"Kolkata Knight Riders","YK Pathan",1033,5,12,13,0,0,"normal player"
"2017","20170503RPS",1,"Kolkata Knight Riders","SP Narine",1253,1,1,4,0,0,"normal player"
"2017","20170506RPS",1,"Rising Pune Supergiant","Washington Sundar",1401,8,1,3,0,0,"normal player"
"2017","20170506RPS",1,"Rising Pune Supergiant","MS Dhoni",1014,5,5,9,0,0,"wicket keeper"
"2017","20170511KXP",1,"Kings XI Punjab","MJ Guptill",1361,1,2,5,0,0,"normal player"
"2017","20170511KXP",1,"Kings XI Punjab","AR Patel",1319,5,2,1,0,0,"normal player"
"2017","20170516RPS",2,"Mumbai Indians","HH Pandya",1346,6,1,2,0,0,"normal player"
"2008","20080418KKR",2,"Royal Challengers Bangalore","MV Boucher",1091,6,7,9,1,0,"wicket keeper"
"2008","20080420KKR",2,"Kolkata Knight Riders","WP Saha",1102,1,10,17,1,0,"wicket keeper"
"2008","20080420KKR",2,"Kolkata Knight Riders","SC Ganguly",1052,4,14,30,1,0,"captain"
"2008","20080426CSK",1,"Kolkata Knight Riders","SC Ganguly",1052,1,12,19,1,0,"captain"
"2009","20090418RCB",2,"Rajasthan Royals","SK Warne",1036,8,9,9,1,0,"captain"
