ID,School Name,URL Address,Address,Postal Code,Telephone Number,FAX Number,Email Address,MRT,BUS,Principal Name,Region,Zone,Type Of schools,Nature Of schools,Sessions,Level Of Schools,SAP,Autonomous,Gifted Education Programme,Integrated Programme,Mother Tongue Chinese,Mother Tongue Malay,Mother Tongue Tamil
32,"BOON LAY GARDEN PRIMARY SCHOOL","www.boonlaygardenpri.moe.edu.sg","20   BOON LAY DRIVE",649930,63160998,63160209,"BLGPS@MOE.EDU.SG","Lakeside & Boon Lay","30,99,154,178,180,187,240,246","MDM CHRISTINE LIM MIN HUI","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
39,"BUKIT PANJANG PRIMARY SCHOOL","http://www.bukitpanjangpri.moe.edu.sg","109  CASHEW ROAD",679676,67691912,67637462,"BPPS@MOE.EDU.SG","From Pending LRT station to Choa Chu Kang MRT station","75, 184","MR BUCKTHA SEELAN","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
40,"BUKIT TIMAH PRIMARY SCHOOL","http://www.bukittimahpri.moe.edu.sg","111  Lorong Kismis",598112,64662863,64692179,"bukittimahps@moe.edu.sg","Beauty World, Bukit Batok and Clementi Stations","","MDM LEN LENG LENG TERESA KELLY","BUKIT TIMAH","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
41,"BUKIT VIEW PRIMARY SCHOOL","http://www.bukitviewpri.moe.edu.sg","18   BUKIT BATOK STREET 21",659634,65661980,65635015,"bukitview_ps@moe.edu.sg","Bukit Batok MRT Station","173,157,178,852,66,106,61,506,963,77","MDM KOH YUEN CHOO","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
43,"CANBERRA PRIMARY SCHOOL","http://www.canberrapri.moe.edu.sg","21   ADMIRALTY DRIVE",757714,67597433,67587312,"CANBERRA_PS@MOE.EDU.SG","Sembawang MRT Station","Bus No. 859","MR WONG POO MUN","SEMBAWANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
46,"CANTONMENT PRIMARY SCHOOL","http://www.cantonmentpri.moe.edu.sg","1    Cantonment Close",88256,65119555,65119556,"cantonment_ps@moe.edu.sg","Tanjong Pagar Outram Park","75, 167, 196","MRS MANOKARA SUGUNAVATHI","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
47,"CASUARINA PRIMARY SCHOOL","http://www.casuarinapri.moe.edu.sg/","30   PASIR RIS ST 41",518935,65837132,65836227,"CASUARINA_PS@MOE.EDU.SG","Pasir Ris MRT Station","Nos. 12, 21 & 358","MDM ONG KWEE LAN","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
51,"CEDAR PRIMARY SCHOOL","Http://www.cedarpri.moe.edu.sg","15   CEDAR AVENUE",349700,62885633,62830113,"CEDAR_PS@MOE.EDU.SG","Potong Pasir MRT Station","8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155","MR CHRIS CHUA","TOA PAYOH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
53,"CHANGKAT PRIMARY SCHOOL","http://www.changkatpri.moe.edu.sg/","11   SIMEI ST 3",529896,67830923,67844740,"CHANGKAT_PS@MOE.EDU.SG","Simei MRT Station","9,38,5","MDM CHENG HUEY TENG","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
66,"CHONGZHENG PRIMARY SCHOOL","http://www.chongzhengpri.moe.edu.sg","1    TAMPINES STREET 21",529392,67819002,67845054,"czps@moe.edu.sg","Tampines MRT Station","3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518","MR LIM WEE JAMES","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
68,"CHUA CHU KANG PRIMARY SCHOOL","http://www.chuachukangpri.moe.edu.sg","20   CHOA CHU KANG AVENUE 2",689905,67661574,67661583,"cckps@moe.edu.sg","Choa Chu Kang MRT Station and Southview LRT Station","Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2 Bus Service 172, 301, 991 along Chua Chu Kang Ave 1","MDM KUEK YEN YEN SHEREE","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
72,"CLEMENTI PRIMARY SCHOOL","http://www.clementipri.moe.edu.sg","8    CLEMENTI AVE 3",129903,67797449,67732898,"admin_clementi_ps@moe.edu.sg","Clementi MRT Station","We are just beside Clementi Bus Interchange.","MR VIMALENTHIRAN S/O VIJAYASINGAM","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
75,"COMPASSVALE PRIMARY SCHOOL","http://www.compassvalepri.moe.edu.sg/","21   COMPASSVALE ST",545091,63882819,63882798,"cvps@moe.edu.sg","Sengkang","83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).","MR JEFFREY AW","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
77,"CONCORD PRIMARY SCHOOL","http://www.concordpri.moe.edu.sg/","3    CHOA CHU KANG AVE 4",689814,67632139,67632452,"CONCORD_PS@MOE.EDU.SG","Choa Chu Kang MRT Station","Bus 300 and 983","MR TAN SIEW TIONG","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
78,"CORPORATION PRIMARY SCHOOL","http://www.corporationpri.moe.edu.sg","31   JURONG WEST STREET 24",648347,67957381,67957098,"cps@moe.edu.sg","BOON LAY STATION LAKESIDE STATION","157 (from Boon Lay Interchange), or 185","MRS JENNIFER PANG CHEE CHYN","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
81,"DAMAI PRIMARY SCHOOL","http://www.damaipri.moe.edu.sg","52   BEDOK RESERVOIR CRESCENT",479226,64456483,64499681,"DAMAI_PS@MOE.EDU.SG","Bedok North MRT Station","Bus 228,66,65,22,21,5 and 506","MRS LEONG- TAN LING LING JENNY","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
83,"DAZHONG PRIMARY SCHOOL","http://www.dazhongpri.moe.edu.sg","35   BUKIT BATOK STREET 31",659441,65658002,65636421,"dazhong_ps@moe.edu.sg","Bukit Gombak","187, 188","MDM YAP SIU LIN","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
89,"EAST SPRING PRIMARY SCHOOL","http://www.eastspringpri.moe.edu.sg","31   TAMPINES ST 33",529258,67866192,67866649,"esps@moe.edu.sg","Tampines","291, 28,18","MR WONG KIN MUN","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
91,"EDGEFIELD PRIMARY SCHOOL","http://www.edgefieldpri.moe.edu.sg","41   EDGEFIELD PLAINS",828869,63126091,63126093,"edgefield_ps@moe.edu.sg","Punggol MRT","3, 34, 62, 82, 83, 136","MR MICHEL SAW MUN SEONG","PUNGGOL","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
93,"ELIAS PARK PRIMARY SCHOOL","http://www.eliasparkpri.moe.edu.sg","11   PASIR RIS STREET 52",518866,65844393,65844392,"epps@moe.edu.sg","Pasir Ris MRT","3, 15, 39, 53, 81, 88, 89, 357, 403, 518","MDM CHUA PEI PEI","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
96,"EUNOS PRIMARY SCHOOL","http://www.eunospri.moe.edu.sg/","95   JALAN EUNOS",419529,67463336,67488554,"eunos_ps@moe.edu.sg","Nearest MRT Station - Eunos","Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966","MDM PHUA YIN LIN GRACE","GEYLANG","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
97,"EVERGREEN PRIMARY SCHOOL","http://www.evergreenpri.moe.edu.sg/","31   WOODLANDS CIRCLE",738908,63687705,63688084,"EVERGREEN_PS@MOE.EDU.SG","Admiralty","913(front), 911 & 858(back)","MDM RABIATHUL BAZRIYA D/O ABU BAKAR","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
102,"FARRER PARK PRIMARY SCHOOL","http://www.farrerparkpri.moe.edu.sg","2    FARRER PARK ROAD",217567,62952272,62942272,"fpps@moe.edu.sg","Farrer Park MRT Station","","MISS CHEONG HWEE KHIM","KALLANG","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
103,"FENGSHAN PRIMARY SCHOOL","http://www.fengshanpri.moe.edu.sg","307  BEDOK NORTH ROAD",469680,65860123,65860122,"fsps@moe.edu.sg","Bedok MRT","18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45","MR POH CHEE YANG","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
104,"FERN GREEN PRIMARY SCHOOL","www.ferngreenpri.moe.edu.sg","70   Fernvale Link",797538,68343100,68343116,"ferngreen_ps@moe.edu.sg","Kupang LRT Station (SW3)","85, 102","MRS TANG- CHIM LEE MAI","SENG KANG","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
105,"FERNVALE PRIMARY SCHOOL","www.fernvalepri.moe.edu.sg","1    Fernvale Lane",797701,63153051,63153067,"fernvale_ps@moe.edu.sg","Fernvale LRT (Sengkang West Loop)","Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.","MDM BALAKRISHNA VYJANTHIMALA","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
106,"FIRST TOA PAYOH PRIMARY SCHOOL","http://www.firsttoapayohpri.moe.edu.sg","7    LORONG 8 TOA PAYOH",319252,62567822,62561102,"FTPPS@MOE.EDU.SG","Braddell & Toa Payoh Stations","157,153,105,159,88,FS238","MR CHUA CHOON GUAN","TOA PAYOH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
107,"FRONTIER PRIMARY SCHOOL","http://www.frontierpri.moe.edu.sg","20   Jurong West Street 61",648200,65789555,67908596,"frontier_ps@moe.edu.sg","Pioneer MRT Station (EW28)","241, 974, 179","MDM LEE YEW KOON TONNINE","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
108,"FUCHUN PRIMARY SCHOOL","http://www.fuchunpri.moe.edu.sg","23   WOODLANDS AVENUE 1",739063,63683925,63670117,"FCPS@MOE.EDU.SG","Marsiling","187,856,912,925,950,960,961,963,963E,963R,966","MRS EUNICE LIM","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
110,"FUHUA PRIMARY SCHOOL","http://www.fuhuapri.moe.edu.sg","65   JURONG EAST STREET 13",609647,65624370,65639542,"fhps@moe.edu.sg","JURONG EAST MRT STATION","JURONG EAST CENTRAL (BS28441): 41,49,52,105,160,160A,160M,176,183,334,506    JURONG EAST CENTRAL (BS28431):51,66,78,79,143, 143M, 176, 335","MR GANESAN S/O RAMAN","JURONG EAST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
112,"GAN ENG SENG PRIMARY SCHOOL","http://www.ganengsengpri.moe.edu.sg","100  REDHILL CLOSE",158901,64717451,64794152,"gesps@moe.edu.sg","Redhill","14, 63, 147, 196, 197, 855, 961","MR LEE WEI YAP, ROY","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
117,"GREENDALE PRIMARY SCHOOL","http://www.greendalepri.moe.edu.sg","50   Edgedale Plains",828848,68861413,68861419,"greendale_ps@moe.edu.sg","Punggol LRT:  Coral Edge","3,62, 83, 85, 386","MDM NG SOH HUA","PUNGGOL","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
119,"GREENRIDGE PRIMARY SCHOOL","http://www.greenridgepri.moe.edu.sg","11   JELAPANG ROAD",677744,67604265,67620189,"GRPS@MOE.EDU.SG","Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972","MDM ONG FEI MIN","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
121,"GREENWOOD PRIMARY SCHOOL","http://www.greenwoodpri.moe.edu.sg","11   WOODLANDS  DR  62",737942,63666158,63666159,"greenwood_ps@moe.edu.sg","Admiralty MRT Station","912, 913, 962","MDM TANG PEI LU TRICILIA","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
122,"GUANGYANG PRIMARY SCHOOL","http://www.guangyangpri.moe.edu.sg","6    Bishan Street 12",579806,62580455,62580010,"GYPS@MOE.EDU.SG","Bishan MRT","13,52,54,55,56,57,59,88,93,156,157,163,410","MR LAU ENOCH","BISHAN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
131,"HORIZON PRIMARY SCHOOL","http://www.horizonpri.moe.edu.sg","61   Edgedale Plains",828819,67535411,67523971,"horizon_ps@moe.edu.sg","Punggol MRT Station (NE17)  (LRT: Kadaloor [PE5] or Oasis [PE6])","3, 50, 83, 85, 569","MDM GRACE HO LI JUN","PUNGGOL","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
132,"HOUGANG PRIMARY SCHOOL","http://www.hougangpri.moe.edu.sg/","1    HOUGANG ST 93",534238,64897445,64897446,"HOUGANG_PS@MOE.EDU.SG","Ang Mo Kio, Buangkok, Hougang, Sengkang, Yio Chu Kang","SBS 43, 72, 88, 101, 109, 116, 156, 159, 325, 329","MR GOH WAI MIN, JASON","HOUGANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
135,"HUAMIN PRIMARY SCHOOL","http://www.huaminpri.moe.edu.sg","21   YISHUN AVENUE 11",768857,67529004,67552455,"huamin_ps@moe.edu.sg","Yishun MRT station","806, 804","MDM NOORISMAWATY BTE ISMAIL","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
137,"INNOVA PRIMARY SCHOOL","http://www.innovapri.moe.edu.sg/","80   Woodlands Drive 17",737888,68944693,68942573,"innova_pri@moe.edu.sg","Woodlands","900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901","MISS WINDERSALAM SHYAMALA DEVI","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
138,"JIEMIN PRIMARY SCHOOL","http://www.jieminpri.moe.edu.sg","2    YISHUN STREET 71",768515,67586472,67559958,"jiemin_ps@moe.edu.sg","Yishun MRT station","","MR ANDY MICKEY CHOONG TEK CHOY","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
139,"JING SHAN PRIMARY SCHOOL","http://www.jingshanpri.moe.edu.sg","5    ANG MO KIO ST 52",569228,64566305,64581619,"jsps@moe.edu.sg","ANG MO KIO MRT","Bus 265","MDM BOEY HUEY PENG SHARON","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
140,"JUNYUAN PRIMARY SCHOOL","https://junyuanpri.moe.edu.sg","2    Tampines Street 91",528906,67830375,67887395,"JUNYUAN_PS@MOE.EDU.SG","Tampines West (Downtown Line); Tampines (East-West Line)","76281: 22, 46, 129 76061: 10, 15, 20, 21, 23, 27, 31, 34, 39, 65, 67, 168, 292 75051: 5, 8, 18, 28, 59, 118","MR CHAN WENG CHEONG","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
143,"JURONG PRIMARY SCHOOL","http://www.jurongpri.moe.edu.sg","320  JURONG EAST Street 32",609476,65618837,65641964,"JPS@MOE.EDU.SG","Lakeside MRT Station, Jurong East MRT Station","","MR ONG THIAM HUAT ROBIN","JURONG EAST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
145,"JURONG WEST PRIMARY SCHOOL","http://www.jurongwestpri.moe.edu.sg","30   JURONG WEST ST 61",648368,67933419,67936593,"JWPS@MOE.EDU.SG","Pioneer MRT Station","","MR CHRIS LOH KAI MUN","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
148,"JUYING PRIMARY SCHOOL","http://www.juyingpri.moe.edu.sg/","31   JURONG WEST STREET 91",649037,67932039,67932040,"JUYING_PS@MOE.EDU.SG","Boon Lay MRT Station (Jurong Point)","SBS 99 (From Clementi Inter-change) SBS 241 (From Boon Lay Inter-change)","MRS SROYA JASWANT","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
150,"KEMING PRIMARY SCHOOL","http://www.kemingpri.moe.edu.sg","90   BUKIT BATOK EAST AVENUE 6",659762,68962054,65632356,"KMPS@MOE.EDU.SG","Bukit Batok","61,66,77,106,157,174,178,963","MRS YAP DAI JEE","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
154,"KRANJI PRIMARY SCHOOL","http://kranjipri.moe.edu.sg","11   CHOA CHU KANG STREET 54",689189,67634812,67634568,"kranji_ps@moe.edu.sg","YEW TEE MRT","Bus No 307, 302","MDM GOH MEEI YUNN","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
158,"LAKESIDE PRIMARY SCHOOL","http://www.lakesidepri.moe.edu.sg/","161  Corporation Walk",618310,62620918,62621021,"lakeside_ps@moe.edu.sg","LAKESIDE MRT","30, 49, 98, 98M","MDM TAN SIEW KHIAN FINELLA","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
159,"LIANHUA PRIMARY SCHOOL","http://www.lianhuapri.moe.edu.sg/","2    BUKIT BATOK STREET 52",659243,65639502,65639591,"lianhua_ps@moe.edu.sg","Bukit Gombak/Bukit Batok","","MISS KIEW HUI LI PAMELA","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
164,"MARSILING PRIMARY SCHOOL","http://www.marsilingpri.moe.edu.sg","31   WOODLANDS CENTRE ROAD",738927,62696193,62699050,"MARSILING_PS@MOE.EDU.SG","Marsiling MRT Station","856, 911, 912","MISS CHEE CHUERN HWEI CHERYL","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
167,"MAYFLOWER PRIMARY SCHOOL","http://www.mayflowerpri.moe.edu.sg","6    Ang Mo Kio Avenue 2",569948,64520849,64534116,"MAYFLOWER_PS@MOE.EDU.SG","Yio Chu Kang MRT Station.","13,86,138,162,269,851,852,853.","MRS LIM- CHUA SIOW LING","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
170,"MERIDIAN PRIMARY SCHOOL","http://www.meridianpri.moe.edu.sg/","20   PASIR RIS ST 71",518798,65832125,65834993,"MERIDIAN_PS@MOE.EDU.SG","Pasir Ris MRT Station","","MS LIZA BTE RAHMAT","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
185,"NAVAL BASE PRIMARY SCHOOL","http://www.navalbasepri.moe.edu.sg/","7    YISHUN AVE 4",769028,67537114,67555355,"NBPS@MOE.EDU.SG","Yishun MRT station","Feeder bus No. 811 from Yishun Interchange.","MRS SITA SINGH","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
