School Name,MOE Programmes,ID
"DUNMAN HIGH SCHOOL","MUSIC ELECTIVE PROGRAMME",87
"DUNMAN HIGH SCHOOL","BICULTURAL STUDIES PROGRAMME",87
"EUNOIA JUNIOR COLLEGE","MUSIC ELECTIVE PROGRAMME",95
"EUNOIA JUNIOR COLLEGE","BICULTURAL STUDIES PROGRAMME",95
"HWA CHONG INSTITUTION","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",136
"HWA CHONG INSTITUTION","BICULTURAL STUDIES PROGRAMME",136
"HWA CHONG INSTITUTION","ART ELECTIVE PROGRAMME",136
"JURONG PIONEER JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",142
"JURONG PIONEER JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (MALAY)",142
"JURONG WEST SECONDARY SCHOOL","ENHANCED ART PROGRAMME",146
"MARIS STELLA HIGH SCHOOL","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",163
"MERIDIAN SECONDARY SCHOOL","ENHANCED ART PROGRAMME",171
"METHODIST GIRLS' SCHOOL (SECONDARY)","MUSIC ELECTIVE PROGRAMME",173
"NAN CHIAU HIGH SCHOOL","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",177
"NAN CHIAU HIGH SCHOOL","ENHANCED ART PROGRAMME",177
"NAN HUA HIGH SCHOOL","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",179
"NANYANG GIRLS' HIGH SCHOOL","BICULTURAL STUDIES PROGRAMME",181
"NANYANG GIRLS' HIGH SCHOOL","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",181
"NANYANG GIRLS' HIGH SCHOOL","ART ELECTIVE PROGRAMME",181
"NANYANG JUNIOR COLLEGE","ART ELECTIVE PROGRAMME",182
"NANYANG JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",182
"NATIONAL JUNIOR COLLEGE","ART ELECTIVE PROGRAMME",184
"NATIONAL JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (MALAY)",184
"NATIONAL JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (TAMIL)",184
"NAVAL BASE SECONDARY SCHOOL","ENHANCED ART PROGRAMME",186
"NEW TOWN SECONDARY SCHOOL","ENHANCED ART PROGRAMME",188
"NGEE ANN SECONDARY SCHOOL","ENHANCED ART PROGRAMME",190
"ORCHID PARK SECONDARY SCHOOL","ENHANCED ART PROGRAMME",204
"RAFFLES GIRLS' SCHOOL (SECONDARY)","REGIONAL STUDIES PROGRAMME",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","MUSIC ELECTIVE PROGRAMME",237
"RAFFLES INSTITUTION","LANGUAGE ELECTIVE PROGRAMME (MALAY)",238
"RAFFLES INSTITUTION","REGIONAL STUDIES PROGRAMME",238
"RAFFLES INSTITUTION","LANGUAGE ELECTIVE PROGRAMME (ENGLISH)",238
"RAFFLES INSTITUTION","MUSIC ELECTIVE PROGRAMME",238
"RIVER VALLEY HIGH SCHOOL","BICULTURAL STUDIES PROGRAMME",241
"RIVERSIDE SECONDARY SCHOOL","LANGUAGE ELECTIVE PROGRAMME (TAMIL)",244
"SINGAPORE CHINESE GIRLS' SCHOOL","BICULTURAL STUDIES PROGRAMME",260
"ST. ANDREW'S SECONDARY SCHOOL","ENHANCED ART PROGRAMME",268
"ST. MARGARET'S SECONDARY SCHOOL","ENHANCED MUSIC PROGRAMME",279
"TAMPINES MERIDIAN JUNIOR COLLEGE","DRAMA ELECTIVE PROGRAMME",284
"TAMPINES MERIDIAN JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (MALAY)",284
"TANJONG KATONG GIRLS' SCHOOL","MUSIC ELECTIVE PROGRAMME",289
"TANJONG KATONG SECONDARY SCHOOL","LANGUAGE ELECTIVE PROGRAMME (MALAY)",291
"TANJONG KATONG SECONDARY SCHOOL","ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS)",291
"TEMASEK JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",297
"TEMASEK JUNIOR COLLEGE","MUSIC ELECTIVE PROGRAMME",297
"VICTORIA JUNIOR COLLEGE","DRAMA ELECTIVE PROGRAMME",304
"VICTORIA SCHOOL","ART ELECTIVE PROGRAMME",305
"VICTORIA SCHOOL","REGIONAL STUDIES PROGRAMME",305
"YISHUN INNOVA JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (MALAY)",331
"YISHUN TOWN SECONDARY SCHOOL","LANGUAGE ELECTIVE PROGRAMME (TAMIL)",334
"YUHUA SECONDARY SCHOOL","ENHANCED MUSIC PROGRAMME",338
"ZHONGHUA SECONDARY SCHOOL","ART ELECTIVE PROGRAMME",346
