Row ID,variable,value
402,Order ID,OrdID-2019-0004021
594,Order Date,2019-10-21 00:00:00.000
307,Order Date,2018-12-18 00:00:00.000
657,Order Date,2019-12-20 00:00:00.000
97,Order Date,2018-04-04 00:00:00.000
293,Order Date,2018-11-30 00:00:00.000
655,Order Date,2019-12-20 00:00:00.000
113,Order Date,2018-04-11 00:00:00.000
91,Order Date,2018-04-02 00:00:00.000
510,Order Date,2019-07-23 00:00:00.000
467,Order Date,2019-05-27 00:00:00.000
424,Order Date,2019-04-23 00:00:00.000
346,Order Date,2019-02-07 00:00:00.000
480,Order Date,2019-06-18 00:00:00.000
50,Order Date,2018-03-15 00:00:00.000
227,Order Date,2018-09-06 00:00:00.000
308,Order Date,2018-12-18 00:00:00.000
272,Order Date,2018-11-02 00:00:00.000
602,Order Date,2019-10-28 00:00:00.000
634,Order Date,2019-11-27 00:00:00.000
53,Order Date,2018-03-15 00:00:00.000
533,Order Date,2019-08-20 00:00:00.000
207,Order Date,2018-08-11 00:00:00.000
318,Order Date,2018-12-25 00:00:00.000
415,Order Date,2019-04-15 00:00:00.000
219,Order Date,2018-08-31 00:00:00.000
192,Order Date,2018-07-26 00:00:00.000
637,Order Date,2019-11-30 00:00:00.000
28,Order Date,2018-01-26 00:00:00.000
438,Order Date,2019-05-01 00:00:00.000
403,Order Date,2019-04-04 00:00:00.000
188,Order Date,2018-07-21 00:00:00.000
221,Order Date,2018-09-02 00:00:00.000
613,Order Date,2019-11-08 00:00:00.000
13,Order Date,2018-01-13 00:00:00.000
64,Order Date,2018-03-18 00:00:00.000
503,Order Date,2019-07-15 00:00:00.000
366,Order Date,2019-03-01 00:00:00.000
493,Order Date,2019-07-02 00:00:00.000
62,Order Date,2018-03-18 00:00:00.000
600,Order Date,2019-10-27 00:00:00.000
288,Order Date,2018-11-21 00:00:00.000
156,Order Date,2018-06-09 00:00:00.000
164,Order Date,2018-07-02 00:00:00.000
465,Order Date,2019-05-24 00:00:00.000
397,Order Date,2019-03-31 00:00:00.000
592,Order Date,2019-10-14 00:00:00.000
126,Order Date,2018-04-30 00:00:00.000
604,Order Date,2019-10-29 00:00:00.000
273,Order Date,2018-11-02 00:00:00.000
225,Order Date,2018-09-05 00:00:00.000
411,Order Date,2019-04-13 00:00:00.000
337,Order Date,2019-01-19 00:00:00.000
405,Order Date,2019-04-04 00:00:00.000
524,Order Date,2019-08-13 00:00:00.000
406,Order Date,2019-04-06 00:00:00.000
539,Order Date,2019-08-23 00:00:00.000
442,Order Date,2019-05-05 00:00:00.000
31,Order Date,2018-01-26 00:00:00.000
383,Order Date,2019-03-16 00:00:00.000
371,Order Date,2019-03-04 00:00:00.000
340,Order Date,2019-01-25 00:00:00.000
608,Order Date,2019-11-01 00:00:00.000
18,Order Date,2018-01-20 00:00:00.000
105,Order Date,2018-04-07 00:00:00.000
280,Order Date,2018-11-11 00:00:00.000
636,Order Date,2019-11-29 00:00:00.000
70,Order Date,2018-03-19 00:00:00.000
376,Order Date,2019-03-07 00:00:00.000
285,Order Date,2018-11-19 00:00:00.000
660,Order Date,2019-12-26 00:00:00.000
161,Order Date,2018-07-02 00:00:00.000
357,Order Date,2019-02-19 00:00:00.000
398,Order Date,2019-04-01 00:00:00.000
588,Order Date,2019-10-10 00:00:00.000
211,Order Date,2018-08-17 00:00:00.000
362,Order Date,2019-02-26 00:00:00.000
641,Order Date,2019-12-06 00:00:00.000
233,Order Date,2018-09-11 00:00:00.000
408,Order Date,2019-04-07 00:00:00.000
157,Order Date,2018-06-21 00:00:00.000
483,Order Date,2019-06-25 00:00:00.000
543,Order Date,2019-08-31 00:00:00.000
353,Order Date,2019-02-14 00:00:00.000
324,Order Date,2019-01-02 00:00:00.000
98,Order Date,2018-04-04 00:00:00.000
255,Order Date,2018-10-06 00:00:00.000
220,Order Date,2018-08-31 00:00:00.000
568,Order Date,2019-09-24 00:00:00.000
203,Order Date,2018-08-06 00:00:00.000
509,Order Date,2019-07-23 00:00:00.000
388,Order Date,2019-03-22 00:00:00.000
43,Order Date,2018-03-04 00:00:00.000
628,Order Date,2019-11-24 00:00:00.000
642,Order Date,2019-12-07 00:00:00.000
487,Order Date,2019-06-30 00:00:00.000
342,Order Date,2019-01-27 00:00:00.000
650,Order Date,2019-12-14 00:00:00.000
601,Order Date,2019-10-28 00:00:00.000
328,Order Date,2019-01-08 00:00:00.000
402,Order Date,2019-04-04 00:00:00.000
594,Delivery Date,2019-10-26 00:00:00.000
307,Delivery Date,2018-12-20 00:00:00.000
657,Delivery Date,2019-12-20 00:00:00.000
97,Delivery Date,2018-04-04 00:00:00.000
293,Delivery Date,2018-12-07 00:00:00.000
655,Delivery Date,2019-12-22 00:00:00.000
113,Delivery Date,2018-04-14 00:00:00.000
91,Delivery Date,2018-04-04 00:00:00.000
510,Delivery Date,2019-07-28 00:00:00.000
467,Delivery Date,2019-06-01 00:00:00.000
424,Delivery Date,2019-04-28 00:00:00.000
346,Delivery Date,2019-02-13 00:00:00.000
480,Delivery Date,2019-06-19 00:00:00.000
50,Delivery Date,2018-03-15 00:00:00.000
227,Delivery Date,2018-09-09 00:00:00.000
308,Delivery Date,2018-12-23 00:00:00.000
272,Delivery Date,2018-11-05 00:00:00.000
602,Delivery Date,2019-10-30 00:00:00.000
634,Delivery Date,2019-11-28 00:00:00.000
53,Delivery Date,2018-03-16 00:00:00.000
533,Delivery Date,2019-08-21 00:00:00.000
207,Delivery Date,2018-08-12 00:00:00.000
318,Delivery Date,2018-12-28 00:00:00.000
415,Delivery Date,2019-04-17 00:00:00.000
219,Delivery Date,2018-09-03 00:00:00.000
192,Delivery Date,2018-08-02 00:00:00.000
637,Delivery Date,2019-12-07 00:00:00.000
28,Delivery Date,2018-02-02 00:00:00.000
438,Delivery Date,2019-05-06 00:00:00.000
403,Delivery Date,2019-04-06 00:00:00.000
188,Delivery Date,2018-07-24 00:00:00.000
221,Delivery Date,2018-09-04 00:00:00.000
613,Delivery Date,2019-11-10 00:00:00.000
13,Delivery Date,2018-01-14 00:00:00.000
64,Delivery Date,2018-03-19 00:00:00.000
503,Delivery Date,2019-07-17 00:00:00.000
366,Delivery Date,2019-03-06 00:00:00.000
493,Delivery Date,2019-07-05 00:00:00.000
62,Delivery Date,2018-03-25 00:00:00.000
600,Delivery Date,2019-10-29 00:00:00.000
288,Delivery Date,2018-11-24 00:00:00.000
156,Delivery Date,2018-06-15 00:00:00.000
164,Delivery Date,2018-07-04 00:00:00.000
465,Delivery Date,2019-05-25 00:00:00.000
397,Delivery Date,2019-04-02 00:00:00.000
592,Delivery Date,2019-10-21 00:00:00.000
126,Delivery Date,2018-05-02 00:00:00.000
604,Delivery Date,2019-10-29 00:00:00.000
273,Delivery Date,2018-11-04 00:00:00.000
225,Delivery Date,2018-09-08 00:00:00.000
411,Delivery Date,2019-04-19 00:00:00.000
337,Delivery Date,2019-01-22 00:00:00.000
405,Delivery Date,2019-04-06 00:00:00.000
524,Delivery Date,2019-08-16 00:00:00.000
406,Delivery Date,2019-04-11 00:00:00.000
539,Delivery Date,2019-08-25 00:00:00.000
442,Delivery Date,2019-05-10 00:00:00.000
31,Delivery Date,2018-01-29 00:00:00.000
383,Delivery Date,2019-03-17 00:00:00.000
371,Delivery Date,2019-03-05 00:00:00.000
340,Delivery Date,2019-01-28 00:00:00.000
608,Delivery Date,2019-11-03 00:00:00.000
18,Delivery Date,2018-01-25 00:00:00.000
105,Delivery Date,2018-04-09 00:00:00.000
280,Delivery Date,2018-11-12 00:00:00.000
636,Delivery Date,2019-12-02 00:00:00.000
70,Delivery Date,2018-03-19 00:00:00.000
376,Delivery Date,2019-03-12 00:00:00.000
285,Delivery Date,2018-11-21 00:00:00.000
660,Delivery Date,2019-12-31 00:00:00.000
161,Delivery Date,2018-07-05 00:00:00.000
357,Delivery Date,2019-02-20 00:00:00.000
398,Delivery Date,2019-04-06 00:00:00.000
588,Delivery Date,2019-10-11 00:00:00.000
211,Delivery Date,2018-08-24 00:00:00.000
362,Delivery Date,2019-02-27 00:00:00.000
641,Delivery Date,2019-12-11 00:00:00.000
233,Delivery Date,2018-09-13 00:00:00.000
408,Delivery Date,2019-04-08 00:00:00.000
157,Delivery Date,2018-06-22 00:00:00.000
483,Delivery Date,2019-06-27 00:00:00.000
543,Delivery Date,2019-09-02 00:00:00.000
353,Delivery Date,2019-02-20 00:00:00.000
324,Delivery Date,2019-01-04 00:00:00.000
98,Delivery Date,2018-04-06 00:00:00.000
255,Delivery Date,2018-10-08 00:00:00.000
220,Delivery Date,2018-09-01 00:00:00.000
568,Delivery Date,2019-09-29 00:00:00.000
203,Delivery Date,2018-08-09 00:00:00.000
509,Delivery Date,2019-07-25 00:00:00.000
388,Delivery Date,2019-03-28 00:00:00.000
43,Delivery Date,2018-03-06 00:00:00.000
628,Delivery Date,2019-11-26 00:00:00.000
642,Delivery Date,2019-12-10 00:00:00.000
487,Delivery Date,2019-07-01 00:00:00.000
342,Delivery Date,2019-01-29 00:00:00.000
650,Delivery Date,2019-12-15 00:00:00.000
601,Delivery Date,2019-11-02 00:00:00.000
328,Delivery Date,2019-01-09 00:00:00.000
402,Delivery Date,2019-04-05 00:00:00.000
594,Delivery Mode,5-7 Day
307,Delivery Mode,2-3 Day
657,Delivery Mode,Pick up
97,Delivery Mode,Pick up
293,Delivery Mode,5-7 Day
655,Delivery Mode,2-3 Day
113,Delivery Mode,2-3 Day
91,Delivery Mode,Pick up
510,Delivery Mode,5-7 Day
467,Delivery Mode,5-7 Day
424,Delivery Mode,5-7 Day
346,Delivery Mode,5-7 Day
480,Delivery Mode,Pick up
50,Delivery Mode,Pick up
227,Delivery Mode,2-3 Day
308,Delivery Mode,5-7 Day
272,Delivery Mode,2-3 Day
602,Delivery Mode,Pick up
634,Delivery Mode,Express 1 Day
53,Delivery Mode,Pick up
533,Delivery Mode,Express 1 Day
207,Delivery Mode,Pick up
318,Delivery Mode,2-3 Day
415,Delivery Mode,2-3 Day
219,Delivery Mode,2-3 Day
192,Delivery Mode,5-7 Day
637,Delivery Mode,5-7 Day
28,Delivery Mode,5-7 Day
438,Delivery Mode,5-7 Day
403,Delivery Mode,2-3 Day
188,Delivery Mode,2-3 Day
221,Delivery Mode,2-3 Day
613,Delivery Mode,Pick up
13,Delivery Mode,Express 1 Day
64,Delivery Mode,Express 1 Day
503,Delivery Mode,Pick up
366,Delivery Mode,5-7 Day
493,Delivery Mode,2-3 Day
62,Delivery Mode,5-7 Day
600,Delivery Mode,2-3 Day
288,Delivery Mode,2-3 Day
156,Delivery Mode,5-7 Day
164,Delivery Mode,2-3 Day
465,Delivery Mode,Express 1 Day
397,Delivery Mode,Pick up
592,Delivery Mode,5-7 Day
126,Delivery Mode,2-3 Day
604,Delivery Mode,Pick up
273,Delivery Mode,2-3 Day
225,Delivery Mode,2-3 Day
411,Delivery Mode,5-7 Day
337,Delivery Mode,2-3 Day
405,Delivery Mode,2-3 Day
524,Delivery Mode,2-3 Day
406,Delivery Mode,5-7 Day
539,Delivery Mode,2-3 Day
442,Delivery Mode,5-7 Day
31,Delivery Mode,2-3 Day
383,Delivery Mode,Pick up
371,Delivery Mode,Express 1 Day
340,Delivery Mode,2-3 Day
608,Delivery Mode,2-3 Day
18,Delivery Mode,5-7 Day
105,Delivery Mode,2-3 Day
280,Delivery Mode,Pick up
636,Delivery Mode,2-3 Day
70,Delivery Mode,Pick up
376,Delivery Mode,5-7 Day
285,Delivery Mode,2-3 Day
660,Delivery Mode,5-7 Day
161,Delivery Mode,2-3 Day
357,Delivery Mode,Express 1 Day
398,Delivery Mode,5-7 Day
588,Delivery Mode,Express 1 Day
211,Delivery Mode,5-7 Day
362,Delivery Mode,Pick up
641,Delivery Mode,5-7 Day
233,Delivery Mode,2-3 Day
408,Delivery Mode,Express 1 Day
157,Delivery Mode,Pick up
483,Delivery Mode,Pick up
543,Delivery Mode,2-3 Day
353,Delivery Mode,5-7 Day
324,Delivery Mode,2-3 Day
98,Delivery Mode,Pick up
255,Delivery Mode,2-3 Day
220,Delivery Mode,Express 1 Day
568,Delivery Mode,5-7 Day
203,Delivery Mode,2-3 Day
509,Delivery Mode,2-3 Day
388,Delivery Mode,5-7 Day
43,Delivery Mode,2-3 Day
628,Delivery Mode,2-3 Day
642,Delivery Mode,2-3 Day
487,Delivery Mode,Express 1 Day
342,Delivery Mode,Pick up
650,Delivery Mode,Pick up
601,Delivery Mode,5-7 Day
328,Delivery Mode,Express 1 Day
402,Delivery Mode,Express 1 Day
594,Customer ID,CustID- 424
307,Customer ID,CustID- 104
657,Customer ID,CustID- 175
97,Customer ID,CustID- 290
293,Customer ID,CustID- 424
655,Customer ID,CustID- 186
113,Customer ID,CustID- 587
91,Customer ID,CustID- 290
510,Customer ID,CustID- 210
467,Customer ID,CustID- 453
424,Customer ID,CustID- 271
346,Customer ID,CustID- 146
480,Customer ID,CustID- 210
50,Customer ID,CustID- 397
227,Customer ID,CustID- 030
308,Customer ID,CustID- 453
272,Customer ID,CustID- 271
602,Customer ID,CustID- 494
634,Customer ID,CustID- 372
53,Customer ID,CustID- 210
533,Customer ID,CustID- 401
207,Customer ID,CustID- 424
318,Customer ID,CustID- 210
415,Customer ID,CustID- 096
219,Customer ID,CustID- 210
192,Customer ID,CustID- 096
637,Customer ID,CustID- 245
28,Customer ID,CustID- 204
438,Customer ID,CustID- 572
403,Customer ID,CustID- 102
188,Customer ID,CustID- 210
221,Customer ID,CustID- 372
613,Customer ID,CustID- 290
13,Customer ID,CustID- 590
64,Customer ID,CustID- 030
503,Customer ID,CustID- 271
366,Customer ID,CustID- 453
493,Customer ID,CustID- 372
62,Customer ID,CustID- 453
600,Customer ID,CustID- 210
288,Customer ID,CustID- 245
156,Customer ID,CustID- 587
164,Customer ID,CustID- 214
465,Customer ID,CustID- 210
397,Customer ID,CustID- 590
592,Customer ID,CustID- 104
126,Customer ID,CustID- 572
604,Customer ID,CustID- 271
273,Customer ID,CustID- 271
225,Customer ID,CustID- 146
411,Customer ID,CustID- 424
337,Customer ID,CustID- 146
405,Customer ID,CustID- 453
524,Customer ID,CustID- 372
406,Customer ID,CustID- 214
539,Customer ID,CustID- 204
442,Customer ID,CustID- 397
31,Customer ID,CustID- 572
383,Customer ID,CustID- 590
371,Customer ID,CustID- 210
340,Customer ID,CustID- 290
608,Customer ID,CustID- 453
18,Customer ID,CustID- 453
105,Customer ID,CustID- 030
280,Customer ID,CustID- 397
636,Customer ID,CustID- 372
70,Customer ID,CustID- 372
376,Customer ID,CustID- 494
285,Customer ID,CustID- 453
660,Customer ID,CustID- 401
161,Customer ID,CustID- 271
357,Customer ID,CustID- 102
398,Customer ID,CustID- 557
588,Customer ID,CustID- 587
211,Customer ID,CustID- 102
362,Customer ID,CustID- 102
641,Customer ID,CustID- 030
233,Customer ID,CustID- 152
408,Customer ID,CustID- 557
157,Customer ID,CustID- 494
483,Customer ID,CustID- 245
543,Customer ID,CustID- 210
353,Customer ID,CustID- 397
324,Customer ID,CustID- 214
98,Customer ID,CustID- 572
255,Customer ID,CustID- 214
220,Customer ID,CustID- 210
568,Customer ID,CustID- 146
203,Customer ID,CustID- 214
509,Customer ID,CustID- 096
388,Customer ID,CustID- 290
43,Customer ID,CustID- 214
628,Customer ID,CustID- 424
642,Customer ID,CustID- 572
487,Customer ID,CustID- 104
342,Customer ID,CustID- 290
650,Customer ID,CustID- 214
601,Customer ID,CustID- 557
328,Customer ID,CustID- 146
402,Customer ID,CustID- 334
594,City,Obuasi
307,City,Wa
657,City,Goaso
97,City,Cape Coast
293,City,Obuasi
655,City,Suhum
113,City,Cape Coast
91,City,Cape Coast
510,City,Bolgatanga
467,City,Tamale
424,City,Tamale
346,City,Bimbilla
480,City,Bolgatanga
50,City,Ashaiman 
227,City,Ahwiaa
308,City,Tamale
272,City,Tamale
602,City,Mampong
634,City,Akatsi
53,City,Bolgatanga
533,City,Tamale
207,City,Obuasi
318,City,Bolgatanga
415,City,Wa
219,City,Bolgatanga
192,City,Wa
637,City,Dzodze
28,City,Tarkwa
438,City,Mim
403,City,Tamale
188,City,Bolgatanga
221,City,Akatsi
613,City,Cape Coast
13,City,Mandela
64,City,Ahwiaa
503,City,Tamale
366,City,Tamale
493,City,Akatsi
62,City,Tamale
600,City,Bolgatanga
288,City,Dzodze
156,City,Cape Coast
164,City,Tamale
465,City,Bolgatanga
397,City,Mandela
592,City,Wa
126,City,Mim
604,City,Tamale
273,City,Tamale
225,City,Bimbilla
411,City,Obuasi
337,City,Bimbilla
405,City,Tamale
524,City,Akatsi
406,City,Tamale
539,City,Tarkwa
442,City,Ashaiman 
31,City,Mim
383,City,Mandela
371,City,Bolgatanga
340,City,Cape Coast
608,City,Tamale
18,City,Tamale
105,City,Ahwiaa
280,City,Ashaiman 
636,City,Akatsi
70,City,Akatsi
376,City,Mampong
285,City,Tamale
660,City,Tamale
161,City,Tamale
357,City,Tamale
398,City,Accra
588,City,Cape Coast
211,City,Tamale
362,City,Tamale
641,City,Ahwiaa
233,City,Koforidua
408,City,Accra
157,City,Mampong
483,City,Dzodze
543,City,Bolgatanga
353,City,Ashaiman 
324,City,Tamale
98,City,Mim
255,City,Tamale
220,City,Bolgatanga
568,City,Bimbilla
203,City,Tamale
509,City,Wa
388,City,Cape Coast
43,City,Tamale
628,City,Obuasi
642,City,Mim
487,City,Wa
342,City,Cape Coast
650,City,Tamale
601,City,Accra
328,City,Bimbilla
402,City,Effiduase
594,Product ID,ProdID-28001281
307,Product ID,ProdID-28001101
657,Product ID,ProdID-28001241
97,Product ID,ProdID-28000891
293,Product ID,ProdID-28000471
655,Product ID,ProdID-28001321
113,Product ID,ProdID-28001041
91,Product ID,ProdID-28000171
510,Product ID,ProdID-28000821
467,Product ID,ProdID-28001241
424,Product ID,ProdID-28000971
346,Product ID,ProdID-28000781
480,Product ID,ProdID-28000321
50,Product ID,ProdID-28000501
227,Product ID,ProdID-28000251
308,Product ID,ProdID-28001171
272,Product ID,ProdID-28000971
602,Product ID,ProdID-28000341
634,Product ID,ProdID-28000431
53,Product ID,ProdID-28000171
533,Product ID,ProdID-28000651
207,Product ID,ProdID-28000031
318,Product ID,ProdID-28000651
415,Product ID,ProdID-28001431
219,Product ID,ProdID-28000141
192,Product ID,ProdID-28000271
637,Product ID,ProdID-28000251
28,Product ID,ProdID-28000281
438,Product ID,ProdID-28001071
403,Product ID,ProdID-28000011
188,Product ID,ProdID-28000471
221,Product ID,ProdID-28000201
613,Product ID,ProdID-28000141
13,Product ID,ProdID-28000131
64,Product ID,ProdID-28000291
503,Product ID,ProdID-28000331
366,Product ID,ProdID-28000781
493,Product ID,ProdID-28000981
62,Product ID,ProdID-28000611
600,Product ID,ProdID-28000111
288,Product ID,ProdID-28000491
156,Product ID,ProdID-28001441
164,Product ID,ProdID-28000101
465,Product ID,ProdID-28000121
397,Product ID,ProdID-28000701
592,Product ID,ProdID-28000461
126,Product ID,ProdID-28001151
604,Product ID,ProdID-28000861
273,Product ID,ProdID-28000671
225,Product ID,ProdID-28001031
411,Product ID,ProdID-28001041
337,Product ID,ProdID-28000411
405,Product ID,ProdID-28001441
524,Product ID,ProdID-28000041
406,Product ID,ProdID-28000181
539,Product ID,ProdID-28001031
442,Product ID,ProdID-28000941
31,Product ID,ProdID-28000311
383,Product ID,ProdID-28000461
371,Product ID,ProdID-28000651
340,Product ID,ProdID-28001051
608,Product ID,ProdID-28000431
18,Product ID,ProdID-28000181
105,Product ID,ProdID-28000971
280,Product ID,ProdID-28001051
636,Product ID,ProdID-28001091
70,Product ID,ProdID-28000431
376,Product ID,ProdID-28000431
285,Product ID,ProdID-28000011
660,Product ID,ProdID-28000641
161,Product ID,ProdID-28001421
357,Product ID,ProdID-28000791
398,Product ID,ProdID-28000741
588,Product ID,ProdID-28000341
211,Product ID,ProdID-28000061
362,Product ID,ProdID-28001291
641,Product ID,ProdID-28000971
233,Product ID,ProdID-28001081
408,Product ID,ProdID-28000361
157,Product ID,ProdID-28001451
483,Product ID,ProdID-28001181
543,Product ID,ProdID-28000901
353,Product ID,ProdID-28001051
324,Product ID,ProdID-28000021
98,Product ID,ProdID-28000901
255,Product ID,ProdID-28000181
220,Product ID,ProdID-28000211
568,Product ID,ProdID-28000421
203,Product ID,ProdID-28000851
509,Product ID,ProdID-28000071
388,Product ID,ProdID-28000471
43,Product ID,ProdID-28000431
628,Product ID,ProdID-28000141
642,Product ID,ProdID-28001151
487,Product ID,ProdID-28000061
342,Product ID,ProdID-28001221
650,Product ID,ProdID-28000101
601,Product ID,ProdID-28000781
328,Product ID,ProdID-28000131
402,Product ID,ProdID-28000101
594,Unit cost,43
307,Unit cost,3435
657,Unit cost,773
97,Unit cost,354
293,Unit cost,571
655,Unit cost,127
113,Unit cost,1425
91,Unit cost,435
510,Unit cost,1122
467,Unit cost,773
424,Unit cost,335
346,Unit cost,1034
480,Unit cost,739
50,Unit cost,652
227,Unit cost,1728
308,Unit cost,1025
272,Unit cost,332
602,Unit cost,1360
634,Unit cost,258
53,Unit cost,435
533,Unit cost,1186
207,Unit cost,290
318,Unit cost,598
415,Unit cost,49
219,Unit cost,1179
192,Unit cost,292
637,Unit cost,3215
28,Unit cost,1069
438,Unit cost,836
403,Unit cost,322
188,Unit cost,571
221,Unit cost,1668
613,Unit cost,2356
13,Unit cost,480
64,Unit cost,1630
503,Unit cost,817
366,Unit cost,1034
493,Unit cost,7015
62,Unit cost,225
600,Unit cost,591
288,Unit cost,416
156,Unit cost,631
164,Unit cost,260
465,Unit cost,1956
397,Unit cost,784
592,Unit cost,1007
126,Unit cost,2170
604,Unit cost,536
273,Unit cost,539
225,Unit cost,1003
411,Unit cost,2923
337,Unit cost,377
405,Unit cost,942
524,Unit cost,1893
406,Unit cost,4228
539,Unit cost,2549
442,Unit cost,1094
31,Unit cost,1962
383,Unit cost,1007
371,Unit cost,1186
340,Unit cost,1995
608,Unit cost,258
18,Unit cost,1747
105,Unit cost,332
280,Unit cost,1840
636,Unit cost,466
70,Unit cost,256
376,Unit cost,258
285,Unit cost,150
660,Unit cost,696
161,Unit cost,247
357,Unit cost,1432
398,Unit cost,469
588,Unit cost,1360
211,Unit cost,230
362,Unit cost,145
641,Unit cost,335
233,Unit cost,819
408,Unit cost,210
157,Unit cost,478
483,Unit cost,8880
543,Unit cost,1168
353,Unit cost,1995
324,Unit cost,3409
98,Unit cost,854
255,Unit cost,1747
220,Unit cost,288
568,Unit cost,411
203,Unit cost,180
509,Unit cost,4051
388,Unit cost,1129
43,Unit cost,256
628,Unit cost,2356
642,Unit cost,4713
487,Unit cost,269
342,Unit cost,17
650,Unit cost,394
601,Unit cost,1034
328,Unit cost,1280
402,Unit cost,394
594,Quantity,6
307,Quantity,11
657,Quantity,15
97,Quantity,6
293,Quantity,12
655,Quantity,5
113,Quantity,3
91,Quantity,12
510,Quantity,19
467,Quantity,15
424,Quantity,13
346,Quantity,9
480,Quantity,9
50,Quantity,7
227,Quantity,6
308,Quantity,16
272,Quantity,13
602,Quantity,8
634,Quantity,17
53,Quantity,12
533,Quantity,5
207,Quantity,11
318,Quantity,6
415,Quantity,13
219,Quantity,17
192,Quantity,7
637,Quantity,7
28,Quantity,6
438,Quantity,7
403,Quantity,14
188,Quantity,7
221,Quantity,1
613,Quantity,4
13,Quantity,5
64,Quantity,7
503,Quantity,11
366,Quantity,9
493,Quantity,5
62,Quantity,16
600,Quantity,16
288,Quantity,2
156,Quantity,2
164,Quantity,10
465,Quantity,6
397,Quantity,10
592,Quantity,14
126,Quantity,2
604,Quantity,15
273,Quantity,13
225,Quantity,2
411,Quantity,4
337,Quantity,16
405,Quantity,6
524,Quantity,9
406,Quantity,8
539,Quantity,3
442,Quantity,17
31,Quantity,7
383,Quantity,14
371,Quantity,5
340,Quantity,14
608,Quantity,17
18,Quantity,6
105,Quantity,11
280,Quantity,1
636,Quantity,6
70,Quantity,15
376,Quantity,17
285,Quantity,4
660,Quantity,14
161,Quantity,6
357,Quantity,4
398,Quantity,7
588,Quantity,8
