OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,OrderType
2016-12-06 00:00:00.000,2003-10-29 00:00:00.000,SO59459,215,20216,9,3,1,Single Item
2016-09-24 00:00:00.000,2003-08-08 00:00:00.000,SO54889,489,22963,9,2,1,Single Item
2016-12-10 00:00:00.000,2003-11-25 00:00:00.000,SO59719,536,11841,6,1,3,Multiple Items
2016-03-21 00:00:00.000,2003-01-08 00:00:00.000,SO49739,377,13895,1,1,1,Single Item
2016-10-02 00:00:00.000,2003-08-29 00:00:00.000,SO55386,484,12345,9,4,3,Multiple Items
2017-01-29 00:00:00.000,2003-12-13 00:00:00.000,SO62973,536,20143,8,1,2,Multiple Items
2016-10-17 00:00:00.000,2003-07-14 00:00:00.000,SO56240,536,22747,4,1,1,Single Item
2017-05-07 00:00:00.000,2004-01-25 00:00:00.000,SO70028,528,21057,8,3,2,Multiple Items
2016-06-13 00:00:00.000,2003-05-28 00:00:00.000,SO50902,368,24506,9,1,1,Single Item
2017-06-21 00:00:00.000,2004-03-20 00:00:00.000,SO73465,360,13736,4,1,1,Single Item
2015-02-09 00:00:00.000,2002-01-01 00:00:00.000,SO45398,312,15059,10,1,1,Single Item
2017-02-16 00:00:00.000,2003-10-26 00:00:00.000,SO64283,214,21201,9,2,1,Single Item
2016-10-25 00:00:00.000,2003-09-02 00:00:00.000,SO56688,354,12674,9,1,1,Single Item
2017-02-19 00:00:00.000,2003-11-13 00:00:00.000,SO64482,474,20328,4,1,1,Single Item
2017-06-14 00:00:00.000,2004-03-30 00:00:00.000,SO72878,226,19222,1,2,1,Single Item
2016-12-12 00:00:00.000,2003-11-04 00:00:00.000,SO59837,478,12559,10,2,2,Multiple Items
2017-01-31 00:00:00.000,2003-10-03 00:00:00.000,SO63089,528,17846,7,2,2,Multiple Items
2017-05-24 00:00:00.000,2004-02-23 00:00:00.000,SO71237,214,17619,6,4,1,Single Item
2017-05-15 00:00:00.000,2004-04-25 00:00:00.000,SO70655,560,26014,4,1,1,Single Item
2016-09-04 00:00:00.000,2003-08-10 00:00:00.000,SO53813,538,12259,10,1,2,Multiple Items
2016-08-21 00:00:00.000,2003-06-15 00:00:00.000,SO52919,540,16232,1,2,1,Single Item
2016-11-03 00:00:00.000,2003-08-31 00:00:00.000,SO57362,529,19791,9,2,2,Multiple Items
2017-04-20 00:00:00.000,2004-01-29 00:00:00.000,SO68682,462,13075,9,5,2,Multiple Items
2017-01-01 00:00:00.000,2003-12-15 00:00:00.000,SO61311,479,22466,7,2,2,Multiple Items
2016-08-12 00:00:00.000,2003-06-26 00:00:00.000,SO52448,537,11637,4,1,1,Single Item
2017-03-26 00:00:00.000,2004-02-24 00:00:00.000,SO66909,478,15174,4,3,2,Multiple Items
2015-04-04 00:00:00.000,2002-01-13 00:00:00.000,SO45835,313,11688,1,1,1,Single Item
2017-05-25 00:00:00.000,2004-03-23 00:00:00.000,SO71348,574,11912,9,1,1,Single Item
2016-01-24 00:00:00.000,2002-12-09 00:00:00.000,SO48993,377,23410,9,1,1,Single Item
2016-08-16 00:00:00.000,2003-04-28 00:00:00.000,SO52627,220,24930,4,3,1,Single Item
2017-03-05 00:00:00.000,2003-11-20 00:00:00.000,SO65575,528,11276,6,2,2,Multiple Items
2017-05-23 00:00:00.000,2004-03-22 00:00:00.000,SO71201,488,26093,4,4,1,Single Item
2016-11-22 00:00:00.000,2003-10-20 00:00:00.000,SO58407,485,12681,9,2,2,Multiple Items
2016-12-02 00:00:00.000,2003-08-25 00:00:00.000,SO59161,478,23060,4,4,2,Multiple Items
2015-03-02 00:00:00.000,2001-11-28 00:00:00.000,SO45587,310,11531,4,1,1,Single Item
2016-09-14 00:00:00.000,2003-07-02 00:00:00.000,SO54354,537,11511,1,1,1,Single Item
2017-04-04 00:00:00.000,2004-01-19 00:00:00.000,SO67633,471,27250,1,4,1,Single Item
2016-10-05 00:00:00.000,2003-06-20 00:00:00.000,SO55558,539,16174,9,2,1,Single Item
2016-11-14 00:00:00.000,2003-08-21 00:00:00.000,SO57915,528,23490,1,1,3,Multiple Items
2017-02-17 00:00:00.000,2003-11-24 00:00:00.000,SO64299,538,19610,9,2,3,Multiple Items
2017-03-01 00:00:00.000,2003-12-13 00:00:00.000,SO65116,528,15608,8,1,2,Multiple Items
2016-12-23 00:00:00.000,2003-10-31 00:00:00.000,SO60591,475,18772,4,1,1,Single Item
2017-04-02 00:00:00.000,2004-02-10 00:00:00.000,SO67450,480,13599,10,3,2,Multiple Items
2015-08-12 00:00:00.000,2002-07-22 00:00:00.000,SO47163,362,12671,9,1,1,Single Item
2016-08-06 00:00:00.000,2003-07-04 00:00:00.000,SO52128,480,26195,4,2,2,Multiple Items
2017-03-27 00:00:00.000,2003-11-28 00:00:00.000,SO67015,567,14323,9,1,1,Single Item
2015-04-18 00:00:00.000,2002-02-03 00:00:00.000,SO45930,328,18148,7,1,1,Single Item
2016-04-14 00:00:00.000,2002-12-23 00:00:00.000,SO50035,373,24270,9,1,1,Single Item
2017-04-02 00:00:00.000,2004-01-08 00:00:00.000,SO67432,580,17989,8,1,1,Single Item
2017-02-07 00:00:00.000,2003-10-15 00:00:00.000,SO63742,214,20677,4,4,1,Single Item
2016-12-07 00:00:00.000,2003-08-09 00:00:00.000,SO59493,490,17479,9,2,1,Single Item
