member ID,Date registered,Active original,Gender,Year of Birth,State original,Post Code,Country,Fundraising Target,Updated Fundraising Target original,Amount Raised,Distance Target,Distance (km),Fitness App original,Activity,Profile Picture original,Blog Post original,Shared Page original,Why they are walking,Walking for,Solidarity wall original,Previous One Foot Forward member original,Team Captain,Team Name,Number of team members,Team Amount Raised,Team Distance,Org Captain,Organisation Name,Org Amount Raised,Org Distance,UTM Campaign,UTM Source,UTM Medium,UTM Content,UTM Term,Browser,Is 2021 original,Postcode Clean,State,Date only,Device,In Team original,In Org original,Why They Walked,Elevate original,Postcode,Metro,Updated Fundraising Target,Active,Fitness App,Profile Picture,Blog Post,Shared Page,Solidarity Wall,Previous One Foot Forward member,Team Captain YN,Org Captain YN,Is 2021,In Team,In Organisation,Elevate,Distance (km) (bins),Year of Birth (bins),Fundraisers,Distance Recorded,Distance Target (km) (bins),Distance Met,Funding Met
1809,2020-09-01 15:36:00.000,0,"Female",2003,"VIC",3046,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone9,3; iOS 13_6_1; en_AU; en-AU; scale=2.00; 750x1334; 241452311)",0,3046,"VIC",2020-01-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3046","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,2000,1557,"No",50,"",""
1980,2020-09-01 21:47:00.000,0,"Female",1983,"VIC",3196,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3196,"VIC",2020-01-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3196","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,1727,"No",50,"",""
2027,2020-09-02 07:20:00.000,0,"Female",1986,"VIC",3192,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10,2;FBMD/iPhone;FBSN/iOS;FBSV/13.5.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",0,3192,"VIC",2020-02-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3192","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,1774,"No",50,"",""
2033,2020-09-02 08:17:00.000,0,"Female",1973,"VIC",3152,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3152,"VIC",2020-02-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3152","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1970,1780,"No",50,"",""
2201,2020-09-02 19:30:00.000,0,"Female",1965,"VIC",3194,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone9,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3194,"VIC",2020-02-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3194","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1960,1947,"No",50,"",""
2210,2020-09-02 20:17:00.000,0,"Female",1994,"VIC",3550,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3550,"VIC",2020-02-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3550","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,1956,"No",50,"",""
2351,2020-09-03 08:57:00.000,0,"Female",1965,"VIC",3127,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3127,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3127","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1960,2097,"No",50,"",""
2388,2020-09-03 10:12:00.000,0,"Female",1977,"VIC",3818,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,2;FBMD/iPhone;FBSN/iOS;FBSV/13.3.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",0,3818,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3818","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1970,2134,"No",50,"",""
2419,2020-09-03 10:59:00.000,0,"Female",1981,"VIC",3029,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16C101 [FBAN/FBIOS;FBDV/iPhone9,4;FBMD/iPhone;FBSN/iOS;FBSV/12.1.2;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",0,3029,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3029","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,2165,"No",50,"",""
2438,2020-09-03 11:30:00.000,0,"Female",1965,"VIC",3551,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone8,4;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3551,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3551","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1960,2184,"No",50,"",""
2577,2020-09-03 16:03:00.000,0,"Female",1991,"VIC",3134,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 155.0.0.26.107 (iPhone12,1; iOS 13_5_1; en_AU; en-AU; scale=2.00; 828x1792; 238897012)",0,3134,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3134","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,2321,"No",50,"",""
2724,2020-09-03 19:56:00.000,0,"Female",1961,"VIC",3175,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,2;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",0,3175,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3175","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1960,2467,"No",50,"",""
2734,2020-09-03 20:07:00.000,0,"Female",1981,"VIC",3844,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone7,1;FBMD/iPhone;FBSN/iOS;FBSV/12.4.8;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",0,3844,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3844","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,2477,"No",50,"",""
2811,2020-09-03 21:53:00.000,0,"Female",1969,"VIC",3199,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3199,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3199","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1960,2554,"No",50,"",""
2816,2020-09-03 22:00:00.000,0,"Female",1996,"VIC",3070,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10,1;FBMD/iPhone;FBSN/iOS;FBSV/13.5.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3070,"VIC",2020-03-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3070","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,2559,"No",50,"",""
2883,2020-09-04 04:16:00.000,0,"Female",1979,"VIC",3064,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3064,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3064","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1970,2626,"No",50,"",""
2911,2020-09-04 07:41:00.000,0,"Female",1991,"VIC",3024,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,8;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3024,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3024","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,2654,"No",50,"",""
2917,2020-09-04 07:55:00.000,0,"Female",1982,"VIC",3140,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5;FBCR/]",0,3140,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3140","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,2660,"No",50,"",""
2953,2020-09-04 09:15:00.000,0,"Female",1978,"VIC",3631,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/13.5.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3631,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3631","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1970,2696,"No",50,"",""
3027,2020-09-04 11:29:00.000,0,"Female",1987,"VIC",3505,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10,1;FBMD/iPhone;FBSN/iOS;FBSV/13.5.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3505,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3505","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,2769,"No",50,"",""
3068,2020-09-04 13:06:00.000,0,"Female",1993,"VIC",3008,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10,1;FBMD/iPhone;FBSN/iOS;FBSV/13.3.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3008,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3008","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,2810,"No",50,"",""
3072,2020-09-04 13:17:00.000,0,"Female",1996,"VIC",3818,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,2;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",0,3818,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3818","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,2813,"No",50,"",""
3122,2020-09-04 15:14:00.000,0,"Female",1970,"VIC",3192,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/13.5.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3192,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3192","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1970,2862,"No",50,"",""
3131,2020-09-04 15:41:00.000,0,"Female",1993,"VIC",3978,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 150.0.0.22.119 (iPhone12,1; iOS 13_6_1; en_AU; en-AU; scale=2.00; 828x1792; 230167242)",0,3978,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3978","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,2871,"No",50,"",""
3146,2020-09-04 16:03:00.000,0,"Female",1983,"VIC",3355,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3355,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3355","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,2886,"No",50,"",""
3151,2020-09-04 16:13:00.000,0,"Female",1969,"VIC",3805,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone12,5; iOS 13_6_1; en_AU; en-GB; scale=3.00; 1242x2688; 241452311)",0,3805,"VIC",2020-04-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3805","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1960,2891,"No",50,"",""
