Product Name,Brand,Subcategory,Category,Weight (kg),Color,Manufacturer,Weight Category
"Speakers Type 3, Dell","Dell","Speakers","Audio",0.38699999999999996,"Purple","China","light"
"Speakers Type 4, Dell","Dell","Speakers","Audio",0.5805,"Yellow","USA","light"
"Speakers Type 5, Dell","Dell","Speakers","Audio",0.86,"Green","China","light"
"Speakers Type 6, Dell","Dell","Speakers","Audio",0.56975,"Navy","China","light"
"Speakers Type 7, Dell","Dell","Speakers","Audio",0.69875,"Green","USA","light"
"Desktop Type 1, Dell","Dell","Desktop","Computer",0.8,"Orange","USA","light"
"Desktop Type 4, Dell","Dell","Desktop","Computer",0.16,"Yellow","USA","light"
"Laptop Type 2, HP","HP","Laptop","Computer",0.319,"Green","China","light"
"Laptop Type 3, HP","HP","Laptop","Computer",0.725,"Orange","USA","light"
"Headphones Type 1, HP","HP","Headphones","Audio",0.1785,"Yellow","China","light"
"Headphones Type 2, HP","HP","Headphones","Audio",0.09799999999999999,"Navy","USA","light"
"Headphones Type 3, HP","HP","Headphones","Audio",0.13649999999999998,"Navy","China","light"
"Headphones Type 4, HP","HP","Headphones","Audio",0.3465,"Orange","USA","light"
"Headphones Type 5, HP","HP","Headphones","Audio",0.0175,"Blue","USA","light"
"Headphones Type 6, HP","HP","Headphones","Audio",0.18549999999999997,"Orange","China","light"
"Monitor Type 2, HP","HP","Monitor","Accessories",0.26599999999999996,"Orange","China","light"
"Monitor Type 3, HP","HP","Monitor","Accessories",0.24699999999999991,"Yellow","USA","light"
"Memory Type 1, HP","HP","Memory","Components",0.024749999999999998,"Yellow","China","light"
"Memory Type 2, HP","HP","Memory","Components",0.0092499999999999978,"Purple","USA","light"
"Memory Type 3, HP","HP","Memory","Components",0.019749999999999997,"Purple","USA","light"
"Memory Type 4, HP","HP","Memory","Components",0.021499999999999995,"Blue","China","light"
"Charger Type 1, HP","HP","Charger","Accessories",0.35700000000000004,"Red","USA","light"
"Charger Type 2, HP","HP","Charger","Accessories",0.259,"Yellow","USA","light"
"Hard Drive Type 1, HP","HP","Hard Drive","Components",0.047149999999999991,"Navy","China","light"
"Hard Drive Type 2, HP","HP","Hard Drive","Components",0.13119999999999998,"Red","China","light"
"Hard Drive Type 3, HP","HP","Hard Drive","Components",0,"Red","USA","light"
"Hard Drive Type 4, HP","HP","Hard Drive","Components",0.08199999999999999,"Red","USA","light"
"Hard Drive Type 5, HP","HP","Hard Drive","Components",0.18244999999999997,"Navy","China","light"
"Hard Drive Type 6, HP","HP","Hard Drive","Components",0.15784999999999996,"Yellow","China","light"
"Hard Drive Type 7, HP","HP","Hard Drive","Components",0.12709999999999996,"Green","USA","light"
"Hard Drive Type 8, HP","HP","Hard Drive","Components",0.18859999999999996,"Yellow","China","light"
"Microphone Type 1, HP","HP","Microphone","Audio",0.22800000000000004,"Purple","USA","light"
"Microphone Type 2, HP","HP","Microphone","Audio",0.24795,"Orange","China","light"
"Microphone Type 3, HP","HP","Microphone","Audio",0.24225000000000002,"Yellow","USA","light"
"Mouse Type 1, HP","HP","Mouse","Accessories",0.046000000000000006,"Green","USA","light"
"Mouse Type 2, HP","HP","Mouse","Accessories",0.071000000000000008,"Purple","China","light"
"Mouse Type 3, HP","HP","Mouse","Accessories",0.08900000000000001,"Green","USA","light"
"Mouse Type 4, HP","HP","Mouse","Accessories",0.073000000000000009,"Green","China","light"
"Mouse Type 5, HP","HP","Mouse","Accessories",0.042,"Orange","USA","light"
"Mouse Type 6, HP","HP","Mouse","Accessories",0.036000000000000004,"Blue","China","light"
"Mouse Type 7, HP","HP","Mouse","Accessories",0.06,"Green","China","light"
"Keyboard Type 1, HP","HP","Keyboard","Accessories",0.21300000000000005,"Red","China","light"
"Keyboard Type 2, HP","HP","Keyboard","Accessories",0.23100000000000004,"Green","USA","light"
"Keyboard Type 3, HP","HP","Keyboard","Accessories",0.24900000000000003,"Green","USA","light"
"Keyboard Type 4, HP","HP","Keyboard","Accessories",0.12900000000000003,"Green","China","light"
"Speakers Type 1, HP","HP","Speakers","Audio",0.38699999999999996,"Navy","China","light"
"Speakers Type 2, HP","HP","Speakers","Audio",0.50525,"Navy","China","light"
"Speakers Type 3, HP","HP","Speakers","Audio",0.55899999999999994,"Navy","USA","light"
"Speakers Type 4, HP","HP","Speakers","Audio",0.44075,"Purple","China","light"
"Speakers Type 5, HP","HP","Speakers","Audio",0.043,"Yellow","USA","light"
"Speakers Type 6, HP","HP","Speakers","Audio",0.98899999999999988,"Green","USA","light"
"Desktop Type 4, HP","HP","Desktop","Computer",0.8,"Green","USA","light"
"Desktop Type 5, HP","HP","Desktop","Computer",0,"Blue","USA","light"
"Desktop Type 10, HP","HP","Desktop","Computer",0.6,"Red","China","light"
"Desktop Type 12, HP","HP","Desktop","Computer",0.64,"Red","China","light"
"Laptop Type 2, Samsung","Samsung","Laptop","Computer",0.52199999999999991,"Navy","USA","light"
"Headphones Type 1, Samsung","Samsung","Headphones","Audio",0.259,"Purple","China","light"
"Headphones Type 2, Samsung","Samsung","Headphones","Audio",0.0875,"Orange","China","light"
"Headphones Type 3, Samsung","Samsung","Headphones","Audio",0.13649999999999998,"Red","USA","light"
"Headphones Type 4, Samsung","Samsung","Headphones","Audio",0.080499999999999988,"Navy","China","light"
"Headphones Type 5, Samsung","Samsung","Headphones","Audio",0.287,"Green","China","light"
"Headphones Type 6, Samsung","Samsung","Headphones","Audio",0.27649999999999997,"Blue","China","light"
"Monitor Type 2, Samsung","Samsung","Monitor","Accessories",0.53199999999999992,"Purple","USA","light"
"Monitor Type 3, Samsung","Samsung","Monitor","Accessories",0.20899999999999996,"Purple","USA","light"
"Monitor Type 4, Samsung","Samsung","Monitor","Accessories",0.3229999999999999,"Navy","USA","light"
"Memory Type 1, Samsung","Samsung","Memory","Components",0.014749999999999996,"Purple","USA","light"
"Memory Type 2, Samsung","Samsung","Memory","Components",0.016249999999999997,"Yellow","China","light"
"Memory Type 3, Samsung","Samsung","Memory","Components",0.011499999999999996,"Purple","USA","light"
"Memory Type 4, Samsung","Samsung","Memory","Components",0.014249999999999995,"Green","USA","light"
"Charger Type 1, Samsung","Samsung","Charger","Accessories",0.532,"Blue","USA","light"
"Charger Type 2, Samsung","Samsung","Charger","Accessories",0.126,"Green","USA","light"
"Hard Drive Type 1, Samsung","Samsung","Hard Drive","Components",0.055349999999999989,"Green","USA","light"
"Hard Drive Type 2, Samsung","Samsung","Hard Drive","Components",0.030749999999999993,"Orange","USA","light"
"Hard Drive Type 3, Samsung","Samsung","Hard Drive","Components",0.13734999999999997,"Green","China","light"
"Hard Drive Type 4, Samsung","Samsung","Hard Drive","Components",0.11274999999999999,"Navy","China","light"
"Hard Drive Type 5, Samsung","Samsung","Hard Drive","Components",0.18654999999999997,"Yellow","USA","light"
"Hard Drive Type 6, Samsung","Samsung","Hard Drive","Components",0.12915,"Blue","USA","light"
"Hard Drive Type 7, Samsung","Samsung","Hard Drive","Components",0.088149999999999978,"Blue","China","light"
"Hard Drive Type 8, Samsung","Samsung","Hard Drive","Components",0.11479999999999997,"Blue","USA","light"
"Microphone Type 1, Samsung","Samsung","Microphone","Audio",0.28215,"Yellow","USA","light"
"Microphone Type 2, Samsung","Samsung","Microphone","Audio",0.16245,"Yellow","USA","light"
"Microphone Type 3, Samsung","Samsung","Microphone","Audio",0.2736,"Yellow","China","light"
"Mouse Type 1, Samsung","Samsung","Mouse","Accessories",0.087000000000000008,"Blue","China","light"
"Mouse Type 2, Samsung","Samsung","Mouse","Accessories",0.085,"Navy","China","light"
"Mouse Type 3, Samsung","Samsung","Mouse","Accessories",0.028000000000000004,"Navy","China","light"
"Mouse Type 4, Samsung","Samsung","Mouse","Accessories",0.021,"Red","China","light"
"Mouse Type 5, Samsung","Samsung","Mouse","Accessories",0.086,"Purple","USA","light"
"Mouse Type 6, Samsung","Samsung","Mouse","Accessories",0.086,"Yellow","USA","light"
"Mouse Type 7, Samsung","Samsung","Mouse","Accessories",0.056000000000000008,"Red","China","light"
"Keyboard Type 1, Samsung","Samsung","Keyboard","Accessories",0.048000000000000008,"Red","China","light"
"Keyboard Type 2, Samsung","Samsung","Keyboard","Accessories",0.22800000000000004,"Navy","USA","light"
"Keyboard Type 3, Samsung","Samsung","Keyboard","Accessories",0.051000000000000004,"Purple","China","light"
"Keyboard Type 4, Samsung","Samsung","Keyboard","Accessories",0.234,"Yellow","China","light"
"Speakers Type 1, Samsung","Samsung","Speakers","Audio",0.903,"Yellow","USA","light"
"Speakers Type 2, Samsung","Samsung","Speakers","Audio",0.2365,"Red","USA","light"
"Speakers Type 3, Samsung","Samsung","Speakers","Audio",0.26875,"Blue","USA","light"
"Speakers Type 4, Samsung","Samsung","Speakers","Audio",0.37625,"Green","China","light"
"Speakers Type 5, Samsung","Samsung","Speakers","Audio",0.946,"Yellow","China","light"
"Speakers Type 6, Samsung","Samsung","Speakers","Audio",0.473,"Blue","China","light"
"Speakers Type 7, Samsung","Samsung","Speakers","Audio",0.26875,"Red","China","light"
"Desktop Type 3, Samsung","Samsung","Desktop","Computer",0.32,"Red","China","light"
"Laptop Type 3, Huawei","Huawei","Laptop","Computer",0.087,"Navy","USA","light"
"Laptop Type 6, Huawei","Huawei","Laptop","Computer",0,"Green","USA","light"
"Headphones Type 1, Huawei","Huawei","Headphones","Audio",0.182,"Navy","China","light"
"Headphones Type 2, Huawei","Huawei","Headphones","Audio",0.1925,"Orange","China","light"
"Headphones Type 3, Huawei","Huawei","Headphones","Audio",0.18899999999999997,"Yellow","China","light"
"Headphones Type 4, Huawei","Huawei","Headphones","Audio",0.063,"Navy","China","light"
"Headphones Type 5, Huawei","Huawei","Headphones","Audio",0.23799999999999996,"Navy","China","light"
"Headphones Type 6, Huawei","Huawei","Headphones","Audio",0.11549999999999999,"Blue","USA","light"
"Monitor Type 3, Huawei","Huawei","Monitor","Accessories",0.81699999999999973,"Purple","USA","light"
"Memory Type 1, Huawei","Huawei","Memory","Components",0.023749999999999997,"Orange","China","light"
"Memory Type 2, Huawei","Huawei","Memory","Components",0.017499999999999995,"Purple","USA","light"
"Memory Type 3, Huawei","Huawei","Memory","Components",0.0049999999999999992,"Purple","USA","light"
"Memory Type 4, Huawei","Huawei","Memory","Components",0.021249999999999995,"Blue","USA","light"
"Charger Type 1, Huawei","Huawei","Charger","Accessories",0.392,"Blue","China","light"
"Charger Type 2, Huawei","Huawei","Charger","Accessories",0.49000000000000005,"Green","USA","light"
"Hard Drive Type 1, Huawei","Huawei","Hard Drive","Components",0.077899999999999983,"Orange","USA","light"
"Hard Drive Type 2, Huawei","Huawei","Hard Drive","Components",0.022549999999999994,"Green","USA","light"
"Hard Drive Type 3, Huawei","Huawei","Hard Drive","Components",0.17424999999999996,"Orange","China","light"
"Hard Drive Type 4, Huawei","Huawei","Hard Drive","Components",0.061499999999999985,"Red","China","light"
"Hard Drive Type 5, Huawei","Huawei","Hard Drive","Components",0.047149999999999991,"Red","China","light"
"Hard Drive Type 6, Huawei","Huawei","Hard Drive","Components",0.010249999999999999,"Navy","USA","light"
"Hard Drive Type 7, Huawei","Huawei","Hard Drive","Components",0.045099999999999987,"Yellow","USA","light"
"Hard Drive Type 8, Huawei","Huawei","Hard Drive","Components",0.18859999999999996,"Purple","China","light"
"Microphone Type 1, Huawei","Huawei","Microphone","Audio",0.14820000000000003,"Yellow","USA","light"
"Microphone Type 2, Huawei","Huawei","Microphone","Audio",0.12255,"Orange","China","light"
"Microphone Type 3, Huawei","Huawei","Microphone","Audio",0.27930000000000005,"Red","USA","light"
"Mouse Type 1, Huawei","Huawei","Mouse","Accessories",0.049,"Green","USA","light"
"Mouse Type 2, Huawei","Huawei","Mouse","Accessories",0.071000000000000008,"Navy","USA","light"
"Mouse Type 3, Huawei","Huawei","Mouse","Accessories",0.007000000000000001,"Red","USA","light"
"Mouse Type 4, Huawei","Huawei","Mouse","Accessories",0.077,"Navy","USA","light"
"Mouse Type 5, Huawei","Huawei","Mouse","Accessories",0.007000000000000001,"Green","USA","light"
"Mouse Type 6, Huawei","Huawei","Mouse","Accessories",0.018000000000000002,"Blue","China","light"
"Mouse Type 7, Huawei","Huawei","Mouse","Accessories",0.0030000000000000005,"Green","USA","light"
"Keyboard Type 1, Huawei","Huawei","Keyboard","Accessories",0.012000000000000002,"Navy","China","light"
"Keyboard Type 2, Huawei","Huawei","Keyboard","Accessories",0.24900000000000003,"Blue","China","light"
"Keyboard Type 3, Huawei","Huawei","Keyboard","Accessories",0.21000000000000005,"Orange","USA","light"
"Keyboard Type 4, Huawei","Huawei","Keyboard","Accessories",0.060000000000000012,"Green","China","light"
"Speakers Type 1, Huawei","Huawei","Speakers","Audio",0.81700000000000006,"Orange","USA","light"
"Speakers Type 2, Huawei","Huawei","Speakers","Audio",0.12899999999999998,"Purple","USA","light"
"Speakers Type 3, Huawei","Huawei","Speakers","Audio",0.87075,"Blue","China","light"
"Speakers Type 4, Huawei","Huawei","Speakers","Audio",0.172,"Blue","China","light"
"Speakers Type 5, Huawei","Huawei","Speakers","Audio",0.096749999999999989,"Yellow","China","light"
"Speakers Type 6, Huawei","Huawei","Speakers","Audio",0.7525,"Navy","China","light"
"Speakers Type 7, Huawei","Huawei","Speakers","Audio",0.50525,"Navy","China","light"
"Desktop Type 10, Huawei","Huawei","Desktop","Computer",0.88,"Blue","China","light"
"Laptop Type 1, Dell","Dell","Laptop","Computer",3.5,"Navy","China","moderate"
"Laptop Type 2, Dell","Dell","Laptop","Computer",6.117,"Red","USA","heavy"
"Laptop Type 3, Dell","Dell","Laptop","Computer",2.8809999999999993,"Orange","USA","moderate"
"Laptop Type 4, Dell","Dell","Laptop","Computer",1.3389999999999997,"Purple","USA","moderate"
"Laptop Type 5, Dell","Dell","Laptop","Computer",1.086,"Purple","China","moderate"
"Laptop Type 6, Dell","Dell","Laptop","Computer",2.077,"Navy","China","moderate"
"Smart Watch Type 2, Dell","Dell","Smart Watch","Mobile Devices",2.2180500000000003,"Purple","USA","moderate"
"Monitor Type 1, Dell","Dell","Monitor","Accessories",1.7289999999999994,"Red","USA","moderate"
"Desktop Type 2, Dell","Dell","Desktop","Computer",3.36,"Navy","USA","moderate"
"Desktop Type 3, Dell","Dell","Desktop","Computer",3.96,"Green","China","moderate"
"Desktop Type 5, Dell","Dell","Desktop","Computer",1.44,"Yellow","USA","moderate"
"Desktop Type 6, Dell","Dell","Desktop","Computer",3,"Navy","USA","moderate"
"Desktop Type 7, Dell","Dell","Desktop","Computer",2.36,"Orange","USA","moderate"
"Desktop Type 8, Dell","Dell","Desktop","Computer",2.2,"Yellow","USA","moderate"
"Desktop Type 9, Dell","Dell","Desktop","Computer",1.24,"Blue","China","moderate"
"Desktop Type 10, Dell","Dell","Desktop","Computer",1.8,"Blue","China","moderate"
"Desktop Type 11, Dell","Dell","Desktop","Computer",3.12,"Navy","USA","moderate"
"Desktop Type 12, Dell","Dell","Desktop","Computer",3.56,"Yellow","China","moderate"
"Laptop Type 1, HP","HP","Laptop","Computer",2.407,"Blue","USA","moderate"
"Laptop Type 4, HP","HP","Laptop","Computer",2.639,"Navy","China","moderate"
"Laptop Type 5, HP","HP","Laptop","Computer",2.204,"Red","USA","moderate"
"Laptop Type 6, HP","HP","Laptop","Computer",1.392,"Blue","USA","moderate"
"Monitor Type 1, HP","HP","Monitor","Accessories",1.5009999999999997,"Red","China","moderate"
"Monitor Type 4, HP","HP","Monitor","Accessories",1.1779999999999997,"Red","USA","moderate"
"Speakers Type 7, HP","HP","Speakers","Audio",1.02125,"Red","USA","moderate"
"Desktop Type 1, HP","HP","Desktop","Computer",3,"Orange","China","moderate"
"Desktop Type 2, HP","HP","Desktop","Computer",2.92,"Purple","USA","moderate"
"Desktop Type 3, HP","HP","Desktop","Computer",2.04,"Green","China","moderate"
"Desktop Type 6, HP","HP","Desktop","Computer",4,"Purple","USA","moderate"
